LGA_CODE_2021,Num_pns_pres_Cen_Ngt_1_Fam_hh,Nu_pn_pre_Cen_Ngt_1_No_fam_hh,Num_pns_pres_Cen_Ngt_1_Tot,Num_pns_pres_Cen_Ngt_2_Fam_hh,Nu_pn_pre_Cen_Ngt_2_No_fam_hh,Num_pns_pres_Cen_Ngt_2_Tot,Num_pns_pres_Cen_Ngt_3_Fam_hh,Nu_pn_pre_Cen_Ngt_3_No_fam_hh,Num_pns_pres_Cen_Ngt_3_Tot,Num_pns_pres_Cen_Ngt_4_Fam_hh,Nu_pn_pre_Cen_Ngt_4_No_fam_hh,Num_pns_pres_Cen_Ngt_4_Tot,Num_pns_pres_Cen_Ngt_5_Fam_hh,Nu_pn_pre_Cen_Nt_5_Non_fam_hh,Nu_pn_pre_Cen_Ngt_5_Tot,Num_pn_pres_Cen_Ngt_6m_Fam_hh,Nu_pn_pre_Ce_Ngt_6m_No_fam_hh,Num_pns_pres_Cen_Ngt_6m_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
LGA17040,143,2648,2793,2513,792,3307,1007,267,1272,961,217,1173,451,113,561,220,95,319,5291,4122,9417
LGA17080,94,1861,1957,2002,285,2286,714,82,797,643,59,702,302,27,325,155,9,164,3905,2327,6228
LGA17100,120,3367,3487,4024,981,4995,2850,500,3347,2531,328,2857,1022,138,1160,597,72,668,11147,5370,16521
LGA17150,1023,18715,19742,25192,2705,27898,13040,566,13608,15121,354,15476,6350,153,6504,2271,60,2323,63002,22554,85555
LGA17200,1051,42938,43991,29807,10243,40055,8574,3191,11772,5015,1451,6471,1274,457,1733,560,211,771,46287,58497,104787
LGA17310,361,7110,7470,7359,1282,8639,3278,342,3618,2994,241,3234,1419,137,1557,766,58,824,16167,9171,25341
LGA17350,37,785,824,833,107,940,265,12,282,248,8,255,120,9,124,93,4,100,1601,925,2527
LGA17400,45,1117,1160,1058,247,1306,287,55,341,221,31,248,101,13,118,59,6,61,1772,1462,3233
LGA17420,570,7251,7816,15361,1123,16487,11507,388,11892,14837,330,15167,6298,163,6466,3128,71,3198,51702,9324,61028
LGA17550,548,11507,12063,12410,2593,15002,4876,606,5491,4612,334,4945,1989,147,2133,1000,59,1056,25436,15247,40683
