LGA_CODE_2021,P_PG_Deg_35_44_yr,P_PG_Deg_45_54_yr,P_PG_Deg_55_64_yr,P_PG_Deg_65_74_yr,P_PG_Deg_75_84_yr,P_PG_Deg_85_yr_over,P_PGuate_Deg_Tot,P_Grad_Dip_Cer_15_24_yr,P_Grad_Dip_Cer_25_34_yr,P_Grad_Dip_Cer_35_44_yr,P_Grad_Dip_Cer_45_54_yr,P_Grad_Dip_Cer_55_64_yr,P_Grad_Dip_Cer_65_74_yr,P_Grad_Dip_Cer_75_84_yr,P_Grad_Dip_Cer_85_yr_over,P_Grad_Dip_Cer_Tot,P_B_Deg_15_24_yr,P_B_Deg_25_34_yr,P_B_Deg_35_44_yr,P_B_Deg_45_54_yr,P_B_Deg_55_64_yr,P_B_Deg_65_74_yr,P_B_Deg_75_84_yr,P_B_Deg_85_yr_over,P_B_Deg_Tot,P_Adv_Dip_Dip_15_24,P_Adv_Dip_Dip_25_34,P_Adv_Dip_Dip_35_44,P_Adv_Dip_Dip_45_54,P_Adv_Dip_Dip_55_64,P_Adv_Dip_Dip_65_74,P_Adv_Dip_Dip_75_84,P_Adv_Dip_Dip_85_yr_over,P_Adv_Dip_Dip_Total,P_Cer_III_IV_15_24_yr,P_Cer_III_IV_25_34_yr,P_Cer_III_IV_35_44_yr,P_Cer_III_IV_45_54_yr,P_Cer_III_IV_55_64_yr,P_Cer_III_IV_65_74_yr,P_Cer_III_IV_75_84_yr,P_Cer_III_IV_85_yr_over,P_Cer_III_IV_Tot,P_Cer_I_II_15_24_yr,P_Cer_I_II_25_34_yr,P_Cer_I_II_35_44_yr,P_Cer_I_II_45_54_yr,P_Cer_I_II_55_64_yr,P_Cer_I_II_65_74_yr,P_Cer_I_II_75_84_yr,P_Cer_I_II_85_yr_over,P_Cer_I_II_Tot,P_Cer_nfd_15_24_yr,P_Cer_nfd_25_34_yr,P_Cer_nfd_35_44_yr,P_Cer_nfd_45_54_yr,P_Cer_nfd_55_64_yr,P_Cer_nfd_65_74_yr,P_Cer_nfd_75_84_yr,P_Cer_nfd_85_yr_over,P_Cer_nfd_Tot,P_Cer_Tot_15_24_yr,P_Cer_Tot_25_34_yr,P_Cer_Tot_35_44_yr,P_Cer_Tot_45_54_yr,P_Cer_Tot_55_64_yr,P_Cer_Tot_65_74_yr,P_Cer_Tot_75_84_yr,P_Cer_Tot_85_yr_over,P_Cer_Tot_Tot,P_lvl_educ_inad_desc_15_24,P_lvl_educ_inad_desc_25_34,P_lvl_educ_inad_desc_35_44,P_lvl_educ_inad_desc_45_54,P_lvl_educ_inad_desc_55_64,P_lvl_educ_inad_desc_65_74,P_lvl_educ_inad_desc_75_84,P_lvl_educ_inad_desc_85ov,P_lvl_educ_inad_desc_Tot,P_lvl_educ_ns_15_24,P_lvl_educ_ns_25_34,P_lvl_educ_ns_35_44,P_lvl_educ_ns_45_54,P_lvl_educ_ns_55_64,P_lvl_educ_ns_65_74,P_lvl_educ_ns_75_84,P_lvl_educ_ns_85ov,P_lvl_educ_ns_Tot,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
LGA27450,1469,1082,759,572,208,26,5210,70,542,811,809,714,561,158,14,3671,871,4273,4333,3423,2416,1870,713,134,18027,671,2318,2904,2984,2452,1731,749,159,13976,2172,5499,5102,5263,4630,2708,1182,270,26832,308,226,252,219,213,141,61,9,1421,136,224,337,422,490,387,179,45,2214,2621,5947,5690,5913,5324,3232,1420,317,30464,29,89,66,97,100,122,104,26,626,787,882,922,1072,1064,965,857,459,7005,5088,15097,16192,15374,12830,9056,4202,1142,78979
LGA27630,12,13,15,12,3,0,73,0,15,18,13,21,20,4,0,86,9,98,73,62,81,57,19,4,400,15,50,63,101,109,79,37,5,450,72,176,160,186,246,147,47,15,1048,10,10,14,10,13,4,0,0,62,7,6,14,15,26,9,4,0,80,85,196,185,210,288,155,46,15,1188,0,0,0,4,8,4,0,0,25,70,50,50,63,85,133,130,93,674,178,422,406,465,604,454,238,114,2892
LGA29399,55,56,34,17,4,0,201,6,12,24,20,29,16,5,0,111,120,216,147,148,104,63,9,0,806,42,68,49,48,48,25,6,0,282,118,139,46,51,72,22,3,0,457,15,8,0,3,0,3,0,0,26,10,5,3,5,4,4,0,0,32,144,154,51,56,78,29,6,0,518,0,4,0,3,4,0,0,0,16,264,187,105,134,110,59,19,0,881,573,677,428,474,406,204,47,4,2815
LGA29799,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,4,6,3,6,0,0,0,19,0,3,5,8,6,0,0,0,32,0,5,21,32,14,0,0,0,73,0,0,0,0,0,0,0,0,8,0,0,3,4,0,0,0,0,8,0,5,22,32,22,0,0,0,86,0,0,0,0,0,0,0,0,5,4,38,94,127,108,13,0,0,389,7,48,136,178,147,17,0,0,530
LGA30250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,8,0,3,0,0,0,21,0,3,3,5,0,0,0,0,18,0,4,10,9,6,0,0,0,39,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,6,16,11,11,3,0,0,47,0,0,0,0,0,0,0,0,0,22,35,24,16,12,3,0,0,108,30,54,44,35,33,12,0,0,203
LGA30300,6,11,12,3,3,0,62,0,9,14,7,15,3,4,0,54,43,115,56,71,44,33,8,0,378,6,30,56,67,44,38,18,0,259,75,139,111,115,106,82,15,4,647,19,5,9,5,3,0,0,0,51,9,0,6,10,13,8,4,0,61,102,149,130,128,124,96,22,4,759,0,3,0,0,0,0,0,0,12,52,57,47,72,85,51,48,25,434,206,385,317,367,332,233,97,29,1955
LGA30370,43,32,21,8,0,0,155,8,27,27,31,26,11,0,0,121,77,260,249,179,104,77,19,9,981,24,104,134,152,164,84,24,3,691,286,614,628,501,411,212,63,21,2732,76,36,29,26,20,13,0,0,189,16,29,32,37,32,25,5,3,174,380,674,688,558,462,247,72,18,3098,0,10,6,11,5,10,3,0,41,287,368,440,445,422,289,188,67,2499,774,1469,1587,1409,1200,731,310,100,7582
LGA30410,9,8,19,11,0,0,49,5,4,3,14,13,10,0,0,50,12,59,46,36,38,45,22,0,263,3,15,23,42,49,39,7,5,184,52,125,85,71,106,112,30,4,586,7,3,6,5,9,8,3,0,44,0,3,9,13,8,9,5,6,48,61,128,97,88,122,130,39,5,676,0,0,0,6,4,5,4,0,17,33,30,37,41,78,69,50,6,346,118,254,220,226,325,308,129,18,1593
LGA30450,0,3,0,5,0,0,13,0,0,5,5,0,0,0,0,4,0,8,10,8,10,10,0,0,43,0,6,4,3,9,11,0,0,29,31,8,5,17,14,11,7,0,92,0,4,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,10,31,7,9,15,16,16,10,0,108,0,0,0,0,0,0,0,0,3,11,8,6,11,12,24,11,0,88,48,31,26,40,55,61,24,0,285
LGA30760,5,0,0,3,0,0,15,0,8,0,4,9,6,0,0,24,12,27,30,20,26,21,6,0,142,3,13,27,23,38,32,7,0,142,38,58,56,45,50,39,19,3,303,8,3,0,10,3,6,0,0,23,5,4,6,9,3,4,4,0,30,56,67,64,56,54,45,18,3,365,0,0,0,0,0,4,0,0,10,26,18,19,26,42,54,34,20,245,93,141,146,133,164,162,67,27,940
LGA30900,0,0,5,0,0,0,9,0,0,0,0,0,3,0,0,3,5,10,4,0,3,7,3,0,29,0,0,4,6,5,16,0,0,35,16,21,11,12,18,12,6,0,90,6,0,0,0,4,0,0,0,13,0,0,0,0,0,0,6,0,12,17,26,12,16,19,14,7,0,110,0,0,0,0,0,0,0,0,0,7,7,9,13,23,18,5,0,82,33,40,35,35,61,54,17,0,272
LGA31000,30551,20445,12719,7111,2558,464,99452,735,7432,8476,8234,5626,3313,981,190,34990,22399,74279,63327,44974,25754,15811,6495,1679,254713,9544,19156,20363,20259,15338,9354,4344,1218,99577,17196,27579,23460,21882,18247,10858,5252,1732,126217,3909,1971,1426,1196,998,694,269,48,10513,1385,1879,2549,3018,2852,2290,1160,390,15528,22497,31432,27437,26094,22094,13844,6684,2177,152258,581,1184,1275,1095,930,815,593,247,6722,8219,12660,9676,7740,6446,5741,5474,4140,60089,65441,170264,161107,128845,88914,55986,27125,10110,707798
LGA31750,0,0,0,0,0,0,6,0,0,0,0,0,5,0,0,4,3,4,8,3,9,9,3,0,40,0,3,6,10,6,7,0,0,40,17,32,27,22,32,16,0,0,137,4,0,0,0,0,0,0,0,11,0,0,0,0,0,4,0,0,0,18,26,27,25,36,15,0,0,149,0,0,0,0,0,0,0,0,0,4,7,6,15,15,6,5,0,57,27,50,48,53,66,47,6,0,300
LGA31820,281,316,271,223,72,15,1413,20,160,233,235,266,191,57,13,1173,314,1492,1597,1414,1191,1012,376,70,7460,190,688,875,1198,1400,1110,485,79,6032,1504,2850,2829,3085,3458,2936,1306,249,18208,497,315,204,177,149,135,54,6,1540,142,148,193,249,298,292,167,24,1517,2133,3309,3234,3509,3903,3364,1519,282,21265,31,48,36,49,79,97,90,18,440,815,920,789,969,1141,1414,1172,473,7698,3515,6843,7048,7698,8246,7406,3770,951,45477
