LGA_CODE_2021,P_PG_Deg_35_44_yr,P_PG_Deg_45_54_yr,P_PG_Deg_55_64_yr,P_PG_Deg_65_74_yr,P_PG_Deg_75_84_yr,P_PG_Deg_85_yr_over,P_PGuate_Deg_Tot,P_Grad_Dip_Cer_15_24_yr,P_Grad_Dip_Cer_25_34_yr,P_Grad_Dip_Cer_35_44_yr,P_Grad_Dip_Cer_45_54_yr,P_Grad_Dip_Cer_55_64_yr,P_Grad_Dip_Cer_65_74_yr,P_Grad_Dip_Cer_75_84_yr,P_Grad_Dip_Cer_85_yr_over,P_Grad_Dip_Cer_Tot,P_B_Deg_15_24_yr,P_B_Deg_25_34_yr,P_B_Deg_35_44_yr,P_B_Deg_45_54_yr,P_B_Deg_55_64_yr,P_B_Deg_65_74_yr,P_B_Deg_75_84_yr,P_B_Deg_85_yr_over,P_B_Deg_Tot,P_Adv_Dip_Dip_15_24,P_Adv_Dip_Dip_25_34,P_Adv_Dip_Dip_35_44,P_Adv_Dip_Dip_45_54,P_Adv_Dip_Dip_55_64,P_Adv_Dip_Dip_65_74,P_Adv_Dip_Dip_75_84,P_Adv_Dip_Dip_85_yr_over,P_Adv_Dip_Dip_Total,P_Cer_III_IV_15_24_yr,P_Cer_III_IV_25_34_yr,P_Cer_III_IV_35_44_yr,P_Cer_III_IV_45_54_yr,P_Cer_III_IV_55_64_yr,P_Cer_III_IV_65_74_yr,P_Cer_III_IV_75_84_yr,P_Cer_III_IV_85_yr_over,P_Cer_III_IV_Tot,P_Cer_I_II_15_24_yr,P_Cer_I_II_25_34_yr,P_Cer_I_II_35_44_yr,P_Cer_I_II_45_54_yr,P_Cer_I_II_55_64_yr,P_Cer_I_II_65_74_yr,P_Cer_I_II_75_84_yr,P_Cer_I_II_85_yr_over,P_Cer_I_II_Tot,P_Cer_nfd_15_24_yr,P_Cer_nfd_25_34_yr,P_Cer_nfd_35_44_yr,P_Cer_nfd_45_54_yr,P_Cer_nfd_55_64_yr,P_Cer_nfd_65_74_yr,P_Cer_nfd_75_84_yr,P_Cer_nfd_85_yr_over,P_Cer_nfd_Tot,P_Cer_Tot_15_24_yr,P_Cer_Tot_25_34_yr,P_Cer_Tot_35_44_yr,P_Cer_Tot_45_54_yr,P_Cer_Tot_55_64_yr,P_Cer_Tot_65_74_yr,P_Cer_Tot_75_84_yr,P_Cer_Tot_85_yr_over,P_Cer_Tot_Tot,P_lvl_educ_inad_desc_15_24,P_lvl_educ_inad_desc_25_34,P_lvl_educ_inad_desc_35_44,P_lvl_educ_inad_desc_45_54,P_lvl_educ_inad_desc_55_64,P_lvl_educ_inad_desc_65_74,P_lvl_educ_inad_desc_75_84,P_lvl_educ_inad_desc_85ov,P_lvl_educ_inad_desc_Tot,P_lvl_educ_ns_15_24,P_lvl_educ_ns_25_34,P_lvl_educ_ns_35_44,P_lvl_educ_ns_45_54,P_lvl_educ_ns_55_64,P_lvl_educ_ns_65_74,P_lvl_educ_ns_75_84,P_lvl_educ_ns_85ov,P_lvl_educ_ns_Tot,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
LGA34590,2182,1296,795,496,149,32,6810,127,892,932,830,551,338,94,16,3781,1848,7123,7059,4430,2769,1912,657,124,25913,2042,5093,5594,4878,3608,2135,748,148,24255,7018,12775,11474,10105,8002,4947,1914,399,56630,1698,968,734,502,363,238,70,9,4579,569,753,944,997,885,683,279,68,5175,9284,14496,13146,11602,9246,5866,2266,479,66387,109,211,276,234,200,220,140,36,1419,3819,4435,3852,3143,2361,2240,1725,838,22413,17315,34020,33038,26421,19531,13213,5774,1659,150971
LGA34710,14,14,14,18,0,0,73,0,9,14,19,12,17,5,0,83,28,97,79,56,56,36,9,0,359,5,43,40,67,76,42,17,0,298,68,146,129,98,128,122,23,3,725,17,14,12,7,4,3,0,0,62,4,3,10,6,15,9,0,0,52,93,166,146,112,153,131,25,5,839,0,0,0,0,3,3,0,0,9,66,70,69,61,104,100,48,31,548,196,401,363,335,424,353,105,42,2208
LGA34770,461,375,322,163,34,5,1746,38,255,289,338,277,119,34,8,1360,590,2254,2328,1701,1166,689,205,58,8989,214,949,1387,1586,1413,767,279,56,6647,1976,5124,5002,4487,3937,2321,759,129,23733,512,296,251,185,122,81,23,4,1467,164,173,272,324,296,207,88,12,1536,2649,5597,5521,4989,4348,2606,869,149,26738,38,53,67,70,68,62,42,7,409,1290,1485,1498,1445,1444,1215,949,475,9798,4844,10959,11549,10505,9037,5623,2410,764,55686
LGA34800,8,0,6,0,0,0,8,0,0,0,0,9,0,0,0,17,10,26,30,9,11,21,0,0,114,7,13,17,9,10,11,4,0,73,27,80,91,41,43,40,7,4,332,3,0,6,3,3,0,0,0,13,0,0,4,0,4,5,0,0,11,29,87,94,49,56,42,7,4,367,0,0,0,0,5,0,0,0,3,39,163,165,140,91,48,13,0,667,89,290,315,207,186,126,27,4,1248
LGA34830,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,10,0,0,0,5,6,7,0,0,22,14,22,18,10,13,7,0,0,78,10,8,12,0,0,0,0,0,30,0,3,0,0,0,0,0,0,3,21,37,26,11,16,4,0,0,111,0,0,0,0,0,0,0,0,0,11,16,14,14,12,7,0,0,76,38,56,40,31,32,16,4,0,221
LGA34860,45,47,28,14,3,0,189,0,33,39,35,26,17,7,0,157,93,290,271,156,115,100,15,3,1029,25,104,192,174,176,91,28,3,803,300,572,457,422,354,197,37,7,2346,55,33,34,24,18,16,0,0,184,16,22,28,46,37,30,6,0,192,372,625,520,496,410,243,47,7,2723,4,8,17,9,14,5,3,0,63,222,236,230,250,236,214,134,77,1600,727,1339,1309,1163,1016,685,239,94,6568
LGA34880,86,80,88,53,28,0,392,4,26,45,58,64,43,16,0,253,56,409,354,352,293,255,86,22,1822,42,189,237,357,348,265,100,15,1551,259,566,636,714,722,540,212,38,3690,54,33,33,48,34,31,5,0,236,7,38,40,50,69,57,27,9,290,325,634,711,813,823,627,245,44,4217,8,23,20,9,24,26,18,3,126,321,394,323,337,417,395,245,82,2523,766,1725,1770,2005,2051,1672,740,170,10894
LGA35010,3256,2652,1904,1286,402,57,11294,190,1240,1737,1824,1360,966,301,39,7663,2640,9861,12021,9421,5688,4180,1746,315,45866,2126,6437,8319,8780,6856,4606,1822,367,39309,9271,16356,15964,15331,12556,8457,3806,796,82543,2128,1160,872,674,584,470,141,20,6045,764,934,1264,1550,1380,1284,557,107,7833,12158,18449,18097,17549,14524,10208,4504,929,96420,135,235,309,346,361,428,285,75,2173,3050,3524,3392,3227,2720,3135,2858,1784,23688,20358,41418,47124,43806,33411,24813,11915,3570,226418
LGA35250,4,0,10,3,0,0,17,0,0,5,0,5,0,0,0,6,0,17,14,8,3,0,0,0,42,0,4,7,3,8,0,0,0,24,4,13,16,16,12,3,0,0,62,0,0,0,3,3,0,0,0,7,0,0,0,0,0,0,0,0,4,10,16,15,15,16,3,0,0,70,0,0,0,0,0,0,0,0,0,9,22,18,17,3,8,7,0,81,19,58,54,47,46,12,10,0,242
LGA35300,133,59,68,18,6,0,412,4,74,74,34,40,13,3,0,255,179,596,379,195,165,93,25,4,1628,48,188,235,205,205,83,20,0,989,367,904,768,688,589,241,80,10,3642,104,54,35,18,17,8,0,0,233,21,40,37,46,25,14,5,0,187,490,1001,840,749,633,269,86,9,4067,6,15,9,12,16,12,0,0,61,447,520,480,490,486,348,129,28,2935,1178,2517,2137,1749,1610,837,272,37,10336
LGA35600,9,15,19,5,0,0,64,3,7,8,10,12,4,7,0,51,26,83,66,61,51,44,6,0,345,5,24,33,55,75,37,9,0,237,44,137,87,91,127,98,22,0,607,11,10,7,4,3,4,0,0,40,3,9,8,8,18,17,0,0,56,62,148,99,105,145,117,17,0,706,0,5,3,5,3,3,3,0,17,57,82,53,72,126,66,39,23,526,157,364,281,326,434,283,83,31,1949
LGA35670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,4,3,6,0,0,0,11,8,15,15,11,7,4,0,0,61,0,3,6,4,5,0,0,0,19,0,0,0,0,0,0,0,0,6,13,14,21,18,9,4,0,0,78,0,0,0,0,0,0,0,0,0,38,47,32,30,23,10,0,0,183,49,64,60,55,46,15,0,0,289
LGA35740,384,468,481,510,204,13,2251,11,73,175,289,334,307,94,13,1295,186,1024,1641,1771,1517,1425,641,113,8314,153,474,831,1190,1314,1158,596,104,5826,636,1015,1371,1786,1939,1501,669,160,9073,139,60,75,88,96,87,30,5,592,64,57,94,192,250,306,122,34,1133,842,1131,1543,2069,2287,1897,819,203,10792,11,19,47,63,80,110,88,26,454,330,442,485,544,631,696,705,469,4303,1544,3354,5105,6392,6649,6104,3154,943,33234
LGA35760,16,22,14,19,4,0,90,0,13,13,26,16,15,6,0,85,35,128,127,115,89,81,28,10,619,18,71,82,123,129,98,43,4,558,158,253,237,259,312,240,78,12,1549,50,26,29,22,20,14,0,0,167,14,12,9,22,32,28,5,0,129,227,287,275,302,373,288,87,13,1845,0,6,5,4,4,5,3,0,39,162,169,149,184,198,208,162,48,1295,450,695,666,777,822,704,337,80,4539
LGA35780,7,9,3,7,0,0,30,0,8,3,4,9,3,0,0,35,10,26,35,23,39,16,6,0,143,0,24,29,39,33,23,0,0,149,80,137,106,87,87,42,4,0,541,40,29,17,18,0,4,0,0,113,10,0,3,9,3,0,0,0,29,131,171,121,116,94,51,4,0,681,0,0,0,0,0,0,0,0,4,100,65,67,55,67,47,10,0,408,235,298,263,243,248,146,17,0,1451
LGA35790,0,3,7,0,0,0,19,0,4,0,4,0,0,0,0,13,5,6,9,11,9,0,0,0,39,5,9,10,9,6,0,0,0,37,16,33,32,23,31,7,0,0,133,10,0,3,6,4,0,0,0,27,0,3,0,0,0,0,0,0,3,25,37,37,25,33,9,0,0,165,0,0,0,0,0,0,0,0,0,38,31,14,35,23,10,5,0,148,67,87,71,73,85,24,3,0,417
LGA35800,9,5,8,3,3,0,31,0,3,4,0,3,5,0,0,23,8,42,19,15,26,32,4,0,137,5,16,20,19,39,30,8,3,134,23,49,35,48,56,53,15,5,280,5,4,0,3,4,3,0,0,19,0,0,0,0,7,15,0,0,20,21,52,39,55,65,61,17,5,320,0,0,0,0,0,0,0,0,0,16,16,16,23,43,54,28,3,200,48,132,105,121,185,185,64,10,850
LGA36070,6,3,0,0,0,0,12,0,0,3,0,0,0,0,0,3,0,12,3,3,0,0,0,0,23,3,4,7,4,7,0,0,0,22,16,28,27,22,10,7,0,0,108,8,0,4,3,10,0,0,0,28,0,0,6,0,0,0,0,0,8,23,31,29,29,18,7,0,0,142,0,0,0,0,0,0,0,0,0,20,42,29,20,14,12,4,0,136,48,88,79,64,37,21,0,0,330
LGA36150,4,5,0,9,0,0,19,0,3,0,3,0,3,5,0,11,0,21,10,5,14,20,6,0,81,6,3,5,5,17,19,3,0,65,15,35,29,25,38,23,9,0,175,3,3,0,0,9,0,0,0,15,0,0,0,5,4,4,0,0,14,18,40,29,34,48,27,9,0,204,0,0,0,0,0,0,0,0,4,0,9,9,11,16,17,4,3,69,28,71,57,69,105,87,24,9,452
LGA36250,1002,1080,911,618,215,48,4436,55,394,539,649,572,422,106,17,2761,1003,3192,3799,3455,2490,1971,743,172,16820,831,1837,2902,3313,2911,1910,806,193,14701,2824,4735,5184,5159,5095,3543,1606,372,28525,600,282,243,239,233,181,50,15,1831,206,248,370,498,576,500,278,63,2733,3623,5262,5797,5890,5905,4224,1936,447,33080,51,52,92,148,135,181,127,32,822,688,751,860,907,973,1133,1116,921,7356,6287,12023,14999,15444,13899,10453,5051,1832,79991
LGA36300,5,0,6,5,0,0,7,0,4,0,0,3,0,0,0,13,4,17,12,5,10,7,0,0,51,3,8,6,10,12,4,0,0,50,19,35,12,27,21,14,4,0,133,0,4,0,0,3,3,0,0,6,0,4,0,3,3,0,0,0,15,17,38,15,27,30,17,4,0,157,0,0,0,0,0,0,0,0,5,12,25,22,25,27,35,12,3,161,37,90,69,70,86,74,16,3,444
LGA36370,411,351,249,123,45,7,1555,27,190,219,225,207,99,28,4,997,487,1636,1644,1185,827,512,192,42,6522,202,738,895,897,843,555,176,45,4361,1448,3209,2750,2199,2153,1232,479,122,13603,490,271,189,133,81,54,12,3,1231,135,125,170,168,172,124,64,9,967,2073,3605,3111,2510,2403,1414,556,139,15806,22,42,41,47,56,35,29,13,272,875,964,892,842,783,785,676,444,6252,3703,7508,7219,6050,5374,3521,1701,691,35773
LGA36510,191,227,244,198,65,10,1029,7,74,125,134,130,110,20,9,603,159,610,801,795,663,575,237,45,3881,247,348,553,778,763,509,196,51,3447,638,1079,1397,1499,1525,960,363,50,7510,136,63,70,75,71,49,10,0,481,56,67,99,129,153,129,64,15,698,826,1204,1566,1702,1745,1136,441,63,8696,3,19,17,28,43,58,37,15,212,377,377,427,500,459,535,418,237,3336,1636,2717,3678,4161,4051,3118,1412,421,21201
LGA36580,50,65,74,51,16,0,295,4,48,62,53,59,52,14,0,282,55,295,351,301,249,208,78,15,1558,82,198,287,353,395,256,93,3,1673,390,738,840,899,849,615,199,30,4557,111,66,65,46,46,22,10,3,368,24,55,66,81,90,85,22,3,431,533,850,970,1025,985,725,237,30,5360,6,16,18,17,16,38,15,0,135,254,201,271,307,314,345,255,70,2006,940,1660,2001,2110,2090,1672,704,122,11300
LGA36630,82,71,72,58,26,0,379,6,41,57,63,70,56,14,0,301,111,384,399,387,336,292,84,19,2010,55,217,254,424,473,363,135,22,1947,466,933,843,965,1052,888,323,56,5532,149,115,65,64,76,46,5,0,521,44,45,53,94,100,103,28,9,469,656,1091,969,1126,1228,1034,355,63,6526,4,14,26,26,22,51,25,5,169,404,361,335,428,540,577,434,134,3207,1246,2156,2121,2528,2728,2428,1075,243,14534
LGA36660,89,129,134,111,48,9,582,9,51,57,107,103,75,27,4,428,115,446,496,480,476,441,174,38,2673,45,218,335,460,516,406,161,28,2170,598,1071,1023,1054,1101,885,311,57,6104,148,113,72,67,57,48,8,5,522,45,50,64,119,98,105,40,8,527,794,1235,1155,1236,1259,1044,363,75,7154,5,12,12,31,25,36,35,6,165,362,323,319,435,522,584,476,197,3224,1329,2344,2469,2868,3050,2694,1282,361,16391
LGA36720,2571,2481,2099,1699,641,104,11566,92,811,1345,1538,1414,1148,379,58,6779,1971,8944,9873,8401,6173,4901,2165,482,42911,1352,3969,5667,6616,5974,4678,2112,570,30936,5717,9708,10542,10904,10305,7056,3305,884,58422,1321,552,472,414,455,413,144,32,3790,469,547,774,1020,1127,1181,581,192,5891,7503,10809,11780,12341,11885,8646,4030,1106,68099,88,152,212,288,341,367,297,111,1844,2258,2678,2733,2742,2752,3095,3110,1890,21248,13359,29251,34180,34394,30639,24531,12730,4314,183394
LGA36820,77,135,122,140,44,9,577,5,55,71,86,105,84,24,0,427,56,334,441,458,436,462,143,22,2351,24,180,272,374,490,410,169,30,1948,329,694,726,833,1026,806,315,52,4782,108,47,46,36,53,27,3,0,321,21,29,45,70,80,101,44,5,395,453,773,816,937,1158,935,363,63,5506,4,4,15,18,20,34,24,10,129,385,343,294,417,487,572,360,188,3048,943,1736,1978,2426,2816,2633,1126,326,13983
LGA36910,1252,1096,910,586,219,23,5286,75,506,581,646,595,404,129,22,2967,1182,4350,4236,3245,2358,1860,760,182,18184,674,1822,2182,2567,2307,1592,718,170,12031,3687,6065,5083,4653,4159,2617,1135,255,27645,883,494,300,253,178,150,54,3,2314,250,251,306,461,404,374,189,67,2307,4816,6808,5693,5369,4741,3140,1379,325,32267,57,93,85,97,87,117,108,31,668,1444,1457,1322,1365,1421,1409,1433,844,10684,8315,16176,15349,14385,12418,9098,4744,1593,82079
LGA36950,21,6,11,10,0,0,71,0,15,12,22,9,7,0,0,68,14,102,74,54,58,14,0,0,312,12,41,63,56,47,21,0,0,241,58,133,135,109,82,27,6,0,558,39,19,17,7,6,3,0,0,92,4,12,15,11,4,10,0,0,44,101,164,166,123,98,35,6,0,696,0,0,0,0,0,0,0,0,0,85,61,56,55,59,30,12,0,350,213,404,387,321,279,114,26,4,1745
LGA36960,3,4,5,0,0,0,13,0,3,9,12,7,0,0,0,29,0,20,12,26,22,6,0,0,85,5,9,27,37,40,12,0,0,138,79,182,165,112,69,25,5,4,633,39,72,28,21,21,4,0,0,187,7,15,16,7,11,5,0,0,65,126,271,207,141,100,32,7,4,881,0,0,0,0,0,0,0,0,3,53,70,50,40,50,29,11,0,294,185,370,305,259,220,87,14,3,1443
LGA37010,1414,1204,943,564,188,21,5577,113,628,762,663,527,339,74,14,3111,1447,5466,4589,3663,2538,1602,632,107,20041,631,2187,2591,2974,2471,1544,537,97,13025,3550,7099,6476,5723,5288,3172,1187,223,32721,932,522,296,259,200,127,48,6,2396,246,325,389,453,467,348,152,35,2408,4732,7947,7162,6436,5953,3646,1380,264,37522,68,98,79,119,104,109,80,17,678,2610,2501,2015,1861,1750,1629,1083,570,14017,9662,19998,18607,16922,14275,9433,3966,1097,93966
LGA37300,20,16,4,0,0,0,68,0,15,21,12,8,3,0,0,61,20,141,90,68,30,9,0,0,358,21,40,57,72,49,20,4,0,256,94,306,232,212,149,34,3,0,1023,21,16,9,3,3,0,0,0,51,8,9,6,8,13,0,0,0,50,122,327,244,222,164,32,8,0,1118,0,0,0,4,0,0,0,0,6,92,156,124,116,89,23,3,0,601,263,704,550,507,344,93,11,5,2478
LGA37310,77,57,55,20,4,0,321,12,69,64,70,61,37,15,0,319,188,710,620,446,264,156,57,14,2459,86,290,437,449,398,229,68,21,1978,637,1412,1196,1168,926,521,169,28,6065,207,96,81,65,65,24,9,0,547,43,59,75,99,83,52,19,4,425,886,1565,1350,1328,1076,602,195,33,7032,8,23,12,23,22,21,17,3,129,529,827,671,701,582,423,259,119,4107,1714,3579,3226,3078,2463,1492,609,188,16348
LGA37340,141,103,116,122,27,0,693,3,61,85,86,102,100,15,0,455,246,1058,673,485,446,427,107,15,3464,131,508,532,557,568,443,155,19,2908,621,1509,1424,1411,1475,974,361,54,7830,178,99,89,70,71,52,11,3,563,40,63,101,105,128,114,47,0,592,836,1670,1609,1586,1676,1142,417,55,8991,7,32,26,32,20,41,27,0,201,558,1115,848,888,1105,898,371,78,5861,1790,4632,3912,3740,4042,3171,1125,170,22572
LGA37400,0,6,6,21,0,0,44,0,4,4,4,7,4,0,0,21,10,21,22,25,21,30,10,0,128,0,12,8,24,35,24,7,0,114,12,33,30,57,60,63,14,0,268,0,0,6,5,3,6,0,0,15,4,0,5,4,7,11,3,0,26,15,37,39,64,68,76,12,0,310,0,0,0,0,3,0,3,0,9,26,29,26,47,63,118,29,0,341,56,113,107,162,202,276,56,3,964
LGA37550,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,16,0,6,6,0,0,0,29,0,9,3,10,5,3,0,0,22,10,34,21,15,9,4,0,0,91,11,5,3,4,0,0,0,0,19,0,0,0,0,0,0,0,0,3,19,40,24,13,13,4,0,0,110,0,0,0,0,0,0,0,0,0,15,22,11,8,4,0,0,0,64,35,79,39,40,28,8,0,0,234
LGA37570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,4,4,0,0,8,10,13,7,13,8,0,3,0,48,0,0,0,5,3,0,0,0,8,0,0,0,0,0,0,0,0,4,6,13,7,20,8,0,0,0,60,0,0,0,0,0,0,0,0,0,3,7,3,0,3,4,0,0,26,15,25,19,27,12,6,0,0,102
LGA37600,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,8,0,7,5,10,6,0,0,0,39,4,15,13,19,18,3,0,0,70,56,96,83,62,44,10,0,0,339,21,25,7,8,7,4,0,0,74,5,5,11,9,6,0,0,0,44,75,130,102,81,52,18,0,0,456,0,0,0,0,0,0,0,0,0,44,25,20,17,16,12,8,0,131,124,183,139,130,101,37,9,0,713
LGA39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,8,6,3,4,0,3,0,0,0,9,4,20,6,9,0,5,0,0,37,0,0,8,0,0,0,0,0,10,0,0,0,4,0,0,0,0,6,4,17,15,15,3,3,0,0,56,0,0,0,0,0,0,0,0,0,13,57,78,46,16,6,0,0,223,20,79,96,65,27,12,0,0,308
LGA40070,741,425,362,322,153,40,3552,22,183,143,114,128,139,45,4,788,1140,2530,1120,610,567,571,260,64,6871,388,396,291,274,287,281,140,27,2076,378,419,314,294,314,168,70,36,1988,65,30,32,22,26,9,4,0,191,28,19,29,45,64,60,35,12,303,478,471,376,364,398,245,109,39,2482,71,49,30,24,24,25,20,8,236,675,829,606,537,477,375,245,220,3964,2895,5846,3307,2337,2245,1954,972,405,19964
LGA40120,544,664,504,382,129,21,2552,3,121,229,326,261,240,53,4,1236,287,1027,1570,1566,1193,944,377,66,7023,71,256,513,826,801,635,242,63,3407,455,765,904,1023,1045,653,266,59,5164,72,58,58,68,56,37,10,0,356,27,43,59,116,120,145,69,18,603,559,873,1020,1205,1215,833,346,72,6125,9,17,26,27,32,40,32,8,196,253,165,184,280,275,255,198,136,1751,1183,2755,4095,4892,4287,3330,1381,373,22297
LGA40150,23,25,12,14,3,0,93,0,17,13,16,12,16,4,0,79,35,118,97,81,58,31,13,5,436,10,99,101,126,128,65,12,0,538,167,427,379,394,301,158,59,7,1888,30,33,25,23,27,6,0,0,135,3,20,26,23,24,16,5,0,122,198,477,430,443,349,177,70,6,2144,0,3,7,7,8,4,3,0,35,95,95,93,112,118,71,54,14,648,342,824,758,807,686,382,158,22,3977
LGA40220,96,115,112,145,65,6,608,4,35,55,79,131,142,36,3,483,83,302,437,467,476,590,253,43,2648,35,169,270,395,554,635,269,41,2373,326,746,856,910,1016,872,387,105,5212,80,60,55,55,55,51,11,8,369,24,45,61,106,116,150,80,23,596,426,847,976,1071,1182,1070,480,131,6181,3,13,15,21,21,31,49,9,157,154,126,148,203,276,371,365,170,1820,710,1556,1992,2353,2745,2989,1510,412,14271
LGA40250,3,4,7,3,0,0,35,0,0,6,4,5,0,0,0,20,13,46,9,19,19,8,0,0,110,0,4,8,15,14,3,0,0,44,9,19,24,20,25,0,0,0,93,4,14,7,9,0,0,0,0,38,6,15,11,12,7,3,0,0,47,17,49,40,29,29,9,0,0,174,0,0,0,0,0,0,0,0,0,58,64,35,43,31,16,3,7,256,92,183,100,115,106,33,3,7,652
LGA40310,126,119,95,78,27,3,522,0,39,91,92,101,80,26,0,429,99,414,537,494,333,310,106,25,2316,32,183,366,456,439,331,135,21,1958,338,775,894,850,791,583,199,52,4483,69,75,70,43,37,34,12,0,333,30,37,68,103,102,61,40,9,457,437,890,1031,1003,928,678,251,64,5279,4,12,12,21,15,22,23,9,117,128,80,134,171,180,198,187,106,1172,699,1680,2295,2355,2095,1692,749,226,11799
LGA40430,7,0,12,8,0,0,35,4,0,0,5,6,4,0,0,26,8,34,35,27,28,25,4,0,150,3,15,17,33,30,40,18,6,160,30,48,54,67,79,88,31,0,409,0,0,3,9,3,5,0,0,20,0,8,3,6,12,5,5,0,38,37,58,63,80,95,103,35,3,473,0,0,0,0,5,3,3,0,13,17,17,24,27,34,46,53,18,234,64,124,146,168,210,231,116,24,1086
LGA40520,27,21,27,12,0,0,153,0,13,16,22,26,16,0,0,95,28,177,140,134,115,78,26,5,707,20,65,88,121,129,110,31,7,575,223,320,319,321,299,227,75,20,1809,32,46,26,23,8,12,7,0,153,6,15,18,42,35,29,18,3,155,263,378,364,383,343,273,94,28,2118,5,0,7,10,10,7,3,0,40,85,83,76,91,145,149,101,56,794,405,773,719,776,787,647,261,105,4477
LGA40700,1393,1185,868,682,331,63,5300,22,146,297,349,376,320,115,19,1645,641,1819,2276,2323,1700,1408,750,200,11120,102,273,446,666,657,693,456,152,3451,369,391,390,450,560,379,213,91,2844,48,26,23,37,31,28,22,6,223,30,24,59,111,125,137,109,42,631,445,449,475,591,717,548,337,138,3697,14,24,42,50,30,53,42,26,283,100,131,165,175,142,205,246,176,1342,1363,3595,5091,5339,4494,3909,2279,780,26840
LGA40910,1291,662,393,240,86,20,3981,18,193,306,255,203,178,55,12,1204,768,2660,2476,1629,961,650,357,90,9585,195,604,795,880,765,542,278,82,4134,535,1005,971,1184,1037,620,403,143,5893,70,58,76,49,53,36,13,5,360,49,81,98,154,147,118,74,30,753,652,1155,1143,1386,1234,779,486,170,7008,19,52,59,41,52,35,32,10,299,227,294,237,235,239,233,369,262,2090,1941,6181,6294,5082,3846,2656,1653,650,28305
LGA41010,21,10,11,3,4,0,58,0,15,11,10,11,6,3,0,47,13,72,48,42,29,18,11,0,234,7,27,45,51,60,35,12,0,234,52,115,91,106,86,78,17,0,548,6,11,7,0,3,4,0,0,38,5,16,6,8,11,6,3,0,47,60,137,106,117,98,89,18,0,635,0,0,0,0,3,0,0,0,4,57,63,47,59,58,50,29,11,387,138,327,276,296,268,207,74,12,1600
LGA41060,1712,918,648,391,121,30,5844,47,493,549,461,424,308,74,4,2370,1454,5895,4384,2854,1892,1375,443,103,18404,429,1541,1838,1942,1825,1178,448,117,9316,1477,3200,2770,3001,2746,1813,935,314,16253,232,269,173,152,153,97,33,5,1114,75,156,255,379,350,338,143,49,1750,1778,3627,3199,3531,3248,2251,1115,372,19116,48,97,102,107,98,96,61,26,629,599,849,674,743,740,712,683,409,5401,4470,14421,12462,10550,8877,6302,2936,1064,61088
LGA41140,40,45,42,37,11,0,220,0,15,21,30,45,40,11,0,156,38,156,196,177,147,148,50,7,919,7,60,102,125,166,133,43,11,648,100,264,264,297,314,213,73,13,1528,12,24,24,24,14,15,0,0,116,5,3,23,30,31,40,15,11,159,117,286,309,349,359,267,91,25,1804,0,4,6,5,7,6,7,3,28,67,66,57,99,121,120,94,43,670,236,626,737,835,882,748,302,88,4444
LGA41190,5,6,5,0,0,0,13,0,3,5,4,10,3,0,0,22,4,33,17,22,20,8,0,3,118,5,15,11,29,23,10,4,0,101,23,66,42,51,63,30,11,0,287,0,6,3,7,0,3,0,0,17,0,3,9,5,4,3,0,0,22,28,77,54,58,64,38,9,0,327,0,0,6,0,0,5,0,0,11,13,19,15,26,30,25,20,16,161,44,148,112,136,153,90,43,21,750
LGA41330,15,8,10,3,0,0,60,0,8,3,0,10,7,0,0,31,8,45,28,25,31,34,13,0,176,0,21,18,19,37,31,3,0,126,6,34,47,53,62,52,19,6,284,3,3,4,3,9,5,0,0,26,0,5,0,3,14,11,8,0,34,15,41,52,56,76,62,26,6,344,0,0,0,0,0,0,0,0,5,30,48,45,62,82,108,86,13,480,57,182,157,176,240,250,135,21,1216
LGA41560,30,21,29,14,3,0,134,4,23,32,31,29,31,4,5,158,48,163,151,127,132,148,51,11,830,19,73,106,151,218,214,80,9,871,206,387,389,446,506,434,198,55,2626,24,47,43,26,28,22,5,0,197,8,16,30,40,52,40,24,0,210,241,447,459,517,581,496,228,57,3032,0,5,7,7,18,16,10,0,67,106,107,129,134,230,266,264,130,1355,428,845,907,986,1242,1185,639,220,6443
LGA41750,0,0,4,6,0,0,7,0,0,4,0,9,0,0,0,9,3,18,24,13,10,21,3,0,83,4,16,14,15,23,17,0,0,86,9,29,27,20,41,34,5,4,168,0,4,5,3,6,0,0,0,15,0,4,3,0,0,3,0,0,15,9,37,33,20,47,40,4,4,198,0,0,0,0,0,5,0,0,4,11,10,15,13,22,23,10,3,109,28,76,87,55,118,110,20,4,503
