LGA_CODE_2021,OneMeth_Train_M,OneMeth_Train_F,OneMeth_Train_P,OneMeth_Bus_M,OneMeth_Bus_F,OneMeth_Bus_P,OneMeth_Ferry_M,OneMeth_Ferry_F,OneMeth_Ferry_P,OneMeth_Tram_lt_rail_M,OneMeth_Tram_lt_rail_F,OneMeth_Tram_lt_rail_P,OneMeth_Taxi_rs_serv_M,OneMeth_Taxi_rs_serv_F,OneMeth_Taxi_rs_serv_P,OneMeth_Car_as_driver_M,OneMeth_Car_as_driver_F,OneMeth_Car_as_driver_P,OneMeth_Car_as_passenger_M,OneMeth_Car_as_passenger_F,OneMeth_Car_as_passenger_P,OneMeth_Truck_M,OneMeth_Truck_F,OneMeth_Truck_P,OneMeth_Motorbike_scooter_M,OneMeth_Motorbike_scooter_F,OneMeth_Motorbike_scooter_P,OneMeth_Bicycle_M,OneMeth_Bicycle_F,OneMeth_Bicycle_P,OneMeth_Other_M,OneMeth_Other_F,OneMeth_Other_P,OneMeth_Walked_only_M,OneMeth_Walked_only_F,OneMeth_Walked_only_P,OneMeth_Tot_OneMeth_M,OneMeth_Tot_OneMeth_F,OneMeth_Tot_OneMeth_P,TwoMeth_Train_Bus_M,TwoMeth_Train_Bus_F,TwoMeth_Train_Bus_P,TwoMeth_Train_Ferry_M,TwoMeth_Train_Ferry_F,TwoMeth_Train_Ferry_P,TwoMeth_Trn_Trm_lt_rl_M,TwoMeth_Trn_Trm_lt_rl_F,TwoMeth_Trn_Trm_lt_rl_P,TwoMeth_Train_Car_as_drvr_M,TwoMeth_Train_Car_as_drvr_F,TwoMeth_Train_Car_as_drvr_P,TwoMeth_Trn_Car_as_pass_M,TwoMeth_Trn_Car_as_pass_F,TwoMeth_Trn_Car_as_pass_P,TwoMeth_Train_Other_M,TwoMeth_Train_Other_F,TwoMeth_Train_Other_P,TwoMeth_Train_Tot_M,TwoMeth_Train_Tot_F,TwoMeth_Train_Tot_P,TwoMeth_Bus_Ferry_M,TwoMeth_Bus_Ferry_F,TwoMeth_Bus_Ferry_P,TwoMeth_Bus_Trm_lt_rl_M,TwoMeth_Bus_Trm_lt_rl_F,TwoMeth_Bus_Trm_lt_rl_P,TwoMeth_Bus_Car_as_driver_M,TwoMeth_Bus_Car_as_driver_F,TwoMeth_Bus_Car_as_driver_P,TwoMeth_Bus_Car_as_pass_M,TwoMeth_Bus_Car_as_pass_F,TwoMeth_Bus_Car_as_pass_P,TwoMeth_Bus_Other_M,TwoMeth_Bus_Other_F,TwoMeth_Bus_Other_P,TwoMeth_Bus_Tot_M,TwoMeth_Bus_Tot_F,TwoMeth_Bus_Tot_P,TwoMeth_Other_TwoMeth_M,TwoMeth_Other_TwoMeth_F,TwoMeth_Other_TwoMeth_P,TwoMeth_Tot_TwoMeth_M,TwoMeth_Tot_TwoMeth_F,TwoMeth_Tot_TwoMeth_P,ThreeMeth_Trn_2_othr_mthd_M,ThreeMeth_Trn_2_othr_mthd_F,ThreeMeth_Trn_2_othr_mthd_P,ThreMth_Bu_2_ot_met_exc_tra_M,ThreMth_Bu_2_ot_met_exc_tra_F,ThreMth_Bu_2_ot_met_exc_tra_P,ThreeMeth_Oth_ThreeMeth_M,ThreeMeth_Oth_ThreeMeth_F,ThreeMeth_Oth_ThreeMeth_P,ThreeMeth_Tot_ThreeMeth_M,ThreeMeth_Tot_ThreeMeth_F,ThreeMeth_Tot_ThreeMeth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Meth_travel_to_work_NS_M,Meth_travel_to_work_NS_F,Meth_travel_to_work_NS_P,Tot_M,Tot_F,Tot_P
LGA11450,310,211,526,47,81,124,4,3,7,0,0,3,23,15,38,17335,11281,28619,786,855,1636,663,8,666,142,12,149,60,13,69,126,114,239,170,184,355,19664,12774,32432,60,82,139,0,0,0,0,0,0,164,80,249,9,25,42,0,3,4,243,192,433,0,0,0,0,0,0,7,10,17,12,13,25,0,4,3,22,24,45,164,66,225,424,281,704,49,49,97,6,3,9,5,0,4,57,49,106,6843,10240,17084,3569,5258,8832,118,100,220,30675,28707,59385
LGA11500,1123,1133,2253,152,227,381,0,4,7,0,0,0,59,58,118,18776,13304,32081,1137,1748,2885,477,11,492,202,11,217,63,9,75,186,133,319,309,370,674,22489,17008,39495,294,361,655,0,0,0,9,12,15,218,151,369,42,79,127,36,19,53,597,628,1221,0,0,0,0,0,0,11,7,23,14,27,38,4,8,17,32,40,72,160,108,269,788,780,1566,128,156,282,8,4,16,7,3,10,144,163,306,8378,10293,18670,6308,5858,12166,208,134,344,38315,34237,72551
LGA11520,653,664,1318,247,350,595,67,36,101,4,5,4,34,24,55,8278,5242,13521,295,659,953,176,3,179,166,11,177,128,38,167,110,69,182,355,460,818,10496,7565,18058,186,250,430,3,3,4,11,12,19,43,27,71,12,27,37,18,9,30,269,328,597,10,8,15,6,5,7,12,13,26,9,23,29,7,10,16,45,57,99,70,55,129,383,444,821,49,36,89,6,7,13,10,3,8,60,50,108,9973,11587,21557,2097,3195,5288,93,78,177,23098,22916,46010
LGA11570,2271,2002,4279,391,632,1022,5,0,3,8,4,13,117,97,213,29683,18605,48291,1413,2717,4127,769,13,782,375,43,416,210,53,264,445,291,738,828,1141,1966,36512,25604,62117,612,863,1472,5,3,7,16,36,61,252,134,386,42,101,148,73,35,101,992,1175,2173,0,0,0,6,4,9,27,30,53,17,78,99,15,16,38,63,128,192,332,214,545,1393,1520,2910,216,235,452,10,7,19,17,7,20,238,253,487,19429,23545,42976,12696,11061,23756,530,321,850,70802,62298,133101
LGA11600,0,0,0,43,5,51,0,0,0,0,0,0,0,0,0,555,346,904,50,56,104,27,0,32,0,0,0,0,0,4,22,5,25,65,57,125,770,484,1251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,11,9,3,16,0,0,0,0,0,0,0,0,0,3,0,3,119,90,213,28,48,78,4,7,14,940,635,1572
LGA11650,711,416,1125,345,480,823,24,4,30,0,4,0,30,40,65,41575,32438,74007,2325,2555,4879,1140,26,1169,415,39,449,216,65,273,293,212,506,851,1005,1859,47916,37273,85193,229,163,388,5,7,8,0,0,0,290,101,393,39,32,68,38,13,53,598,319,917,3,9,10,0,0,0,17,24,37,30,56,93,12,19,28,68,102,170,446,166,615,1109,590,1702,95,65,159,14,14,30,13,3,21,130,81,208,16930,22014,38943,9378,14515,23887,367,315,682,75829,74786,150616
LGA11700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,109,253,15,18,37,6,0,6,4,0,8,0,0,3,11,5,15,47,49,92,231,187,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,68,57,119,27,27,56,8,3,13,336,275,607
LGA11720,0,7,13,19,38,53,6,8,15,0,0,0,5,3,9,9367,7302,16675,464,461,932,291,11,300,65,8,73,32,7,34,43,42,84,186,196,381,10485,8083,18566,3,5,9,0,0,0,0,0,0,4,3,10,4,0,4,0,0,0,12,8,17,0,0,0,0,0,0,0,6,6,5,3,13,4,0,4,11,11,18,91,31,126,116,45,162,9,0,8,0,0,0,3,0,3,8,0,8,1311,2339,3649,1855,2716,4574,78,58,135,13852,13247,27097
LGA11730,5,0,5,19,31,49,0,0,0,3,0,3,9,4,18,6560,6313,12872,455,464,910,238,11,244,62,7,67,123,46,172,58,29,86,407,365,769,7925,7271,15197,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,3,0,3,5,0,5,0,0,0,16,0,16,94,46,141,112,47,160,0,0,0,0,5,5,4,0,4,9,7,11,945,1211,2155,933,1345,2274,104,87,189,10023,9970,19995
LGA11750,0,0,0,25,0,26,0,0,0,0,0,0,7,5,4,741,524,1269,57,46,103,34,4,37,6,0,3,11,0,13,13,0,14,64,66,131,948,650,1603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,13,17,0,15,0,0,0,0,0,0,0,0,0,0,0,0,76,91,171,135,98,230,6,8,14,1184,852,2034
LGA11800,9,3,6,93,118,214,4,0,4,0,0,0,15,31,44,11494,11095,22587,854,1025,1880,285,10,296,166,31,196,163,42,205,83,43,124,370,405,776,13538,12802,26339,0,6,6,0,0,0,0,0,0,8,4,4,0,0,0,3,0,3,10,7,10,0,0,0,0,0,0,6,4,8,5,12,19,0,0,0,9,18,29,109,72,182,126,97,227,0,0,0,0,4,4,7,0,7,7,4,11,1599,2170,3767,1419,2307,3727,106,102,214,16799,17483,34286
LGA12000,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,652,593,1247,57,37,91,25,3,26,6,0,6,4,0,4,11,0,14,55,50,99,807,690,1492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,13,15,3,15,0,0,0,0,0,0,0,0,0,0,0,0,126,132,262,41,114,156,14,9,22,1003,945,1953
LGA12150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,463,433,894,47,21,76,13,0,12,5,5,8,0,0,0,6,3,12,56,58,107,592,524,1120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,8,4,9,8,0,0,0,0,0,0,0,0,0,0,0,0,90,84,173,38,62,103,7,9,16,734,687,1423
LGA12160,0,0,0,27,7,38,0,0,0,0,0,0,0,0,0,1556,1360,2919,131,132,264,67,5,76,11,3,11,7,8,10,18,5,25,114,105,218,1936,1628,3566,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,7,25,18,10,30,0,0,0,0,0,0,0,0,0,0,0,0,233,256,486,152,253,402,31,15,51,2370,2165,4534
LGA12350,0,0,0,0,0,0,3,0,3,0,0,0,0,4,4,1821,1573,3398,146,111,255,85,3,87,13,5,24,5,0,7,30,5,36,133,103,233,2237,1807,4045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3,33,25,3,32,0,0,0,0,0,0,0,0,0,0,0,0,258,324,587,151,301,457,30,18,53,2706,2463,5171
