LGA_CODE_2021,OneMeth_Train_M,OneMeth_Train_F,OneMeth_Train_P,OneMeth_Bus_M,OneMeth_Bus_F,OneMeth_Bus_P,OneMeth_Ferry_M,OneMeth_Ferry_F,OneMeth_Ferry_P,OneMeth_Tram_lt_rail_M,OneMeth_Tram_lt_rail_F,OneMeth_Tram_lt_rail_P,OneMeth_Taxi_rs_serv_M,OneMeth_Taxi_rs_serv_F,OneMeth_Taxi_rs_serv_P,OneMeth_Car_as_driver_M,OneMeth_Car_as_driver_F,OneMeth_Car_as_driver_P,OneMeth_Car_as_passenger_M,OneMeth_Car_as_passenger_F,OneMeth_Car_as_passenger_P,OneMeth_Truck_M,OneMeth_Truck_F,OneMeth_Truck_P,OneMeth_Motorbike_scooter_M,OneMeth_Motorbike_scooter_F,OneMeth_Motorbike_scooter_P,OneMeth_Bicycle_M,OneMeth_Bicycle_F,OneMeth_Bicycle_P,OneMeth_Other_M,OneMeth_Other_F,OneMeth_Other_P,OneMeth_Walked_only_M,OneMeth_Walked_only_F,OneMeth_Walked_only_P,OneMeth_Tot_OneMeth_M,OneMeth_Tot_OneMeth_F,OneMeth_Tot_OneMeth_P,TwoMeth_Train_Bus_M,TwoMeth_Train_Bus_F,TwoMeth_Train_Bus_P,TwoMeth_Train_Ferry_M,TwoMeth_Train_Ferry_F,TwoMeth_Train_Ferry_P,TwoMeth_Trn_Trm_lt_rl_M,TwoMeth_Trn_Trm_lt_rl_F,TwoMeth_Trn_Trm_lt_rl_P,TwoMeth_Train_Car_as_drvr_M,TwoMeth_Train_Car_as_drvr_F,TwoMeth_Train_Car_as_drvr_P,TwoMeth_Trn_Car_as_pass_M,TwoMeth_Trn_Car_as_pass_F,TwoMeth_Trn_Car_as_pass_P,TwoMeth_Train_Other_M,TwoMeth_Train_Other_F,TwoMeth_Train_Other_P,TwoMeth_Train_Tot_M,TwoMeth_Train_Tot_F,TwoMeth_Train_Tot_P,TwoMeth_Bus_Ferry_M,TwoMeth_Bus_Ferry_F,TwoMeth_Bus_Ferry_P,TwoMeth_Bus_Trm_lt_rl_M,TwoMeth_Bus_Trm_lt_rl_F,TwoMeth_Bus_Trm_lt_rl_P,TwoMeth_Bus_Car_as_driver_M,TwoMeth_Bus_Car_as_driver_F,TwoMeth_Bus_Car_as_driver_P,TwoMeth_Bus_Car_as_pass_M,TwoMeth_Bus_Car_as_pass_F,TwoMeth_Bus_Car_as_pass_P,TwoMeth_Bus_Other_M,TwoMeth_Bus_Other_F,TwoMeth_Bus_Other_P,TwoMeth_Bus_Tot_M,TwoMeth_Bus_Tot_F,TwoMeth_Bus_Tot_P,TwoMeth_Other_TwoMeth_M,TwoMeth_Other_TwoMeth_F,TwoMeth_Other_TwoMeth_P,TwoMeth_Tot_TwoMeth_M,TwoMeth_Tot_TwoMeth_F,TwoMeth_Tot_TwoMeth_P,ThreeMeth_Trn_2_othr_mthd_M,ThreeMeth_Trn_2_othr_mthd_F,ThreeMeth_Trn_2_othr_mthd_P,ThreMth_Bu_2_ot_met_exc_tra_M,ThreMth_Bu_2_ot_met_exc_tra_F,ThreMth_Bu_2_ot_met_exc_tra_P,ThreeMeth_Oth_ThreeMeth_M,ThreeMeth_Oth_ThreeMeth_F,ThreeMeth_Oth_ThreeMeth_P,ThreeMeth_Tot_ThreeMeth_M,ThreeMeth_Tot_ThreeMeth_F,ThreeMeth_Tot_ThreeMeth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Meth_travel_to_work_NS_M,Meth_travel_to_work_NS_F,Meth_travel_to_work_NS_P,Tot_M,Tot_F,Tot_P
LGA15990,40,19,60,1612,1709,3318,172,74,242,0,0,4,58,63,120,25997,18777,44774,1215,1719,2938,748,12,757,819,111,927,587,162,744,321,211,531,1458,1649,3114,33035,24498,57536,113,98,218,17,11,24,0,0,0,29,10,39,0,0,0,4,4,8,167,123,288,39,24,66,9,7,20,86,73,162,52,105,156,40,24,67,232,234,465,325,174,498,722,527,1249,62,41,101,40,31,71,15,9,22,113,81,190,28650,30923,59578,6158,10127,16276,252,201,454,68927,66357,135285
LGA16100,0,0,0,3,5,6,0,0,0,0,0,0,0,0,0,906,690,1594,57,49,105,33,4,37,7,0,4,3,0,3,7,0,10,46,48,98,1067,793,1865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,3,18,12,7,20,0,0,0,0,0,0,5,0,0,5,0,0,177,174,350,103,133,234,16,16,37,1376,1122,2500
LGA16150,0,0,0,97,37,130,9,0,3,0,0,0,31,48,75,7309,6683,13995,608,608,1219,151,4,161,37,9,50,45,19,69,49,29,74,274,249,526,8607,7687,16289,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,14,0,14,0,5,9,0,4,4,19,9,27,65,39,105,81,59,139,0,0,0,0,3,4,4,0,4,5,5,10,901,1272,2175,783,1274,2056,55,39,90,10432,10335,20761
LGA16200,0,0,0,15,8,20,0,0,3,0,0,0,16,3,20,2203,1959,4166,187,154,349,56,0,54,28,3,34,15,3,16,22,7,29,141,136,281,2689,2284,4973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,22,12,33,21,12,34,0,0,0,0,0,0,0,4,3,4,4,4,310,359,673,239,310,548,23,13,37,3284,2980,6264
LGA16260,1905,1932,3839,668,957,1627,14,15,31,4,4,10,81,77,159,21839,13968,35806,792,2130,2923,372,0,372,364,38,401,233,69,304,284,233,515,1085,1306,2391,27646,20736,48376,795,1104,1889,8,3,9,32,34,59,175,118,296,35,73,103,51,33,87,1087,1360,2452,0,3,5,3,0,9,64,48,107,36,76,109,16,24,42,114,151,269,229,151,382,1430,1668,3098,246,277,519,15,20,37,10,3,11,273,299,566,27685,26180,53859,7812,8393,16207,320,202,520,65160,57469,122626
LGA16350,795,589,1386,147,229,378,12,0,10,3,0,3,68,65,135,29368,19448,48816,1629,1889,3518,1382,21,1402,304,19,327,112,20,128,237,178,410,555,582,1133,34603,23044,57644,259,292,553,0,0,0,12,5,13,198,123,322,36,42,78,40,13,54,539,485,1021,0,0,0,0,0,0,14,9,27,14,29,44,9,8,22,38,48,91,290,132,420,872,660,1533,110,101,216,11,11,20,9,6,13,130,116,248,10443,16384,26830,6784,8482,15262,241,173,414,53067,48861,101929
LGA16380,13,4,14,52,78,126,0,0,9,0,0,0,13,30,38,11748,11561,23311,735,955,1690,352,16,366,170,24,198,99,29,133,77,43,117,425,440,867,13695,13177,26868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,3,6,0,0,0,0,0,0,4,10,15,0,13,17,5,0,3,11,17,31,140,89,229,160,112,275,0,3,3,0,4,4,3,0,3,3,9,6,1978,2539,4519,1497,2497,3986,79,95,174,17402,18424,35831
LGA16400,0,0,8,41,65,113,3,3,5,3,0,3,5,9,14,9628,7605,17231,546,529,1072,314,3,316,79,7,83,56,14,66,62,50,117,285,265,550,11033,8546,19575,0,0,3,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,5,4,9,0,0,0,0,5,5,3,6,8,9,10,17,0,0,3,13,16,34,110,63,167,127,82,206,0,0,0,6,0,6,4,5,13,8,5,13,2472,3283,5753,2103,3025,5127,106,100,203,15850,15034,30877
LGA16490,0,4,5,105,167,271,6,0,3,3,0,3,28,20,49,13095,10731,23825,652,1023,1675,316,4,323,215,24,237,86,22,111,85,41,119,317,362,672,14911,12388,27300,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,4,0,4,7,0,6,0,0,0,0,6,5,17,32,48,12,24,43,4,6,9,41,67,106,154,90,251,200,162,360,0,0,0,3,9,14,9,3,12,15,13,28,1541,2095,3637,1203,2029,3230,63,46,114,17932,16731,34663
LGA16550,88,47,132,1105,1435,2543,5,0,6,198,144,333,58,87,146,11069,7516,18579,550,963,1511,308,5,316,543,110,652,471,208,680,150,123,277,1070,1722,2796,15617,12355,27970,182,203,389,0,0,0,48,27,77,16,0,12,4,0,7,4,8,13,256,239,496,0,5,4,58,72,135,46,24,66,24,51,72,39,47,86,166,196,363,175,94,270,597,528,1128,70,89,159,17,23,45,3,6,11,90,117,209,13978,16803,30782,3132,4790,7921,164,109,267,33581,34703,68286
LGA16610,0,0,0,8,4,6,4,0,4,0,0,0,4,0,5,3068,2786,5858,230,220,450,124,6,131,51,5,57,44,12,63,14,15,32,139,141,282,3691,3196,6889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,38,18,56,40,23,59,0,0,0,0,0,0,0,0,0,0,0,0,393,516,907,485,702,1180,51,28,78,4655,4467,9122
LGA16700,778,859,1636,614,722,1334,14,17,29,0,3,8,25,48,64,11361,7653,19015,397,990,1382,214,3,216,198,28,230,121,29,148,147,113,260,714,775,1487,14582,11239,25822,304,394,699,9,0,10,5,14,17,62,30,93,21,53,71,23,19,45,418,518,938,3,3,7,5,9,15,25,20,44,19,43,60,11,23,37,70,98,162,136,86,225,621,704,1327,94,115,209,13,15,26,0,3,4,109,127,242,14849,15143,29993,3168,4559,7722,140,96,233,33475,31868,65343
LGA16900,74,30,106,61,79,143,0,0,7,0,0,0,10,8,19,11257,8524,19784,517,598,1108,260,10,270,91,11,100,52,8,66,88,51,140,131,176,309,12545,9496,22042,7,13,19,0,0,0,0,0,0,28,9,37,10,8,11,0,0,6,48,27,74,0,0,0,0,0,0,3,9,17,7,14,18,4,0,4,14,25,36,88,42,128,147,87,236,10,9,15,0,0,0,0,0,0,6,9,14,2434,4007,6440,2200,3346,5546,81,69,153,17421,17010,34435
LGA16950,8,4,14,18,32,50,8,0,10,0,0,0,17,25,41,14342,12667,27012,907,1037,1946,468,11,477,172,14,190,157,52,209,123,56,177,555,580,1135,16769,14487,31255,0,7,7,0,0,0,0,0,0,6,5,12,0,0,0,3,0,3,9,8,14,0,0,0,0,0,0,4,7,13,3,13,15,0,0,7,12,26,32,176,75,245,193,109,299,3,3,6,0,0,0,5,0,7,11,8,16,2551,3344,5893,1997,3049,5045,162,149,310,21679,21143,42822
LGA17000,0,0,3,14,4,14,0,0,0,0,0,0,4,9,10,4413,2994,7410,202,235,438,127,3,132,41,3,42,9,4,14,76,25,112,438,106,542,5333,3383,8719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,5,4,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,3,5,40,17,57,42,22,69,0,0,4,0,0,0,0,0,0,3,0,3,584,1001,1588,840,1059,1896,31,23,56,6842,5487,12331
LGA17040,11,22,33,64,19,83,3,0,0,0,0,0,4,5,14,4080,3312,7388,332,392,721,102,0,102,40,6,43,28,6,40,111,61,175,548,559,1105,5327,4372,9701,15,0,13,0,0,0,0,0,0,29,29,56,9,8,15,0,0,0,49,37,87,0,0,0,0,0,0,0,0,4,0,3,8,0,3,3,7,5,12,70,45,115,122,89,216,6,3,8,0,0,0,3,0,5,13,13,18,978,1024,2000,1085,1210,2300,69,44,114,7593,6749,14346
LGA17080,0,0,0,41,12,56,0,0,0,0,0,0,0,0,4,2400,1928,4329,186,161,345,75,0,75,26,4,28,11,3,14,31,15,52,167,156,323,2939,2282,5222,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,4,3,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,6,44,10,51,44,15,60,0,0,0,0,0,0,0,0,0,0,0,0,333,379,714,229,401,635,38,21,54,3588,3099,6685
LGA17100,979,954,1940,68,73,143,0,0,0,4,0,6,14,23,45,4639,2486,7126,181,437,617,74,0,75,136,15,151,41,13,51,77,41,120,203,200,402,6424,4251,10674,286,376,662,8,3,8,4,4,9,58,22,72,8,42,52,19,12,29,378,450,830,0,0,0,0,0,0,5,0,5,0,8,5,0,0,0,6,9,12,47,24,69,433,478,911,67,74,132,0,4,3,0,0,5,64,78,142,4180,4077,8258,1214,1406,2619,64,37,104,12375,10334,22709
LGA17150,1273,1005,2276,57,96,158,4,4,14,0,0,0,32,43,78,27692,18672,46369,1146,1537,2686,776,11,786,303,27,329,214,48,263,216,185,397,701,1096,1793,32421,22723,55149,174,143,318,3,0,8,15,17,36,223,101,323,42,53,90,42,16,50,495,330,827,0,0,0,0,0,0,5,12,18,0,4,5,4,5,11,14,14,31,218,114,338,726,468,1194,60,56,111,0,0,0,8,3,9,67,59,124,19135,24370,43506,6494,10073,16566,166,133,298,59001,57834,116838
LGA17200,2621,1973,4591,1771,1956,3735,23,14,41,291,274,565,233,212,444,10588,5819,16406,544,1005,1545,126,5,132,861,148,1005,1539,502,2047,1007,429,1435,6612,5295,11911,26224,17628,43847,890,843,1727,11,12,22,60,50,115,55,31,84,26,30,57,125,51,177,1165,1020,2185,8,4,9,81,74,157,36,20,50,20,45,67,65,64,130,204,203,410,242,115,355,1616,1334,2944,257,173,434,36,32,70,14,10,32,310,216,532,34004,31106,65108,6394,7414,13811,253,203,459,68800,57904,126707
LGA17310,0,0,0,33,34,62,0,5,4,0,0,0,20,21,39,9406,8424,17824,743,783,1521,367,15,378,142,16,157,59,11,68,86,47,134,367,350,722,11220,9699,20919,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,11,4,12,0,5,5,0,0,6,12,9,25,104,60,166,121,74,188,0,0,0,0,5,5,0,0,0,0,5,10,1554,2169,3720,1519,2235,3754,103,66,169,14513,14248,28760
LGA17350,0,0,0,11,0,9,0,0,0,0,0,0,0,0,0,912,824,1733,64,57,118,38,0,38,5,3,14,13,5,12,10,4,17,87,94,186,1138,985,2122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,22,18,8,21,0,0,0,0,0,0,0,0,0,0,0,0,146,166,316,87,134,224,3,6,15,1396,1306,2703
LGA17400,0,0,0,13,14,22,0,0,0,0,0,0,0,0,0,748,698,1442,51,60,112,46,0,48,8,5,9,8,3,12,18,7,26,65,66,127,950,848,1802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,3,15,10,9,15,0,0,0,3,0,3,0,0,0,0,0,0,243,208,455,61,147,208,20,17,37,1296,1235,2521
LGA17420,497,400,898,518,518,1027,0,0,0,5,6,15,25,17,35,19399,13632,33029,806,1288,2090,510,6,517,138,10,149,77,12,89,224,146,372,348,407,760,22558,16431,38984,255,233,490,0,0,0,10,5,11,131,84,214,19,29,49,15,11,30,428,364,787,0,0,0,12,7,13,51,35,88,14,38,49,18,11,28,94,91,184,164,107,271,688,556,1242,92,93,191,11,7,24,3,0,8,104,104,212,21460,22259,43711,4807,7120,11926,150,125,271,49764,46597,96356
LGA17550,15,0,9,93,86,178,0,0,0,0,0,0,13,16,29,13067,12282,25346,707,918,1624,382,15,398,171,20,194,197,115,314,102,56,161,476,557,1034,15212,14071,29286,0,0,0,0,0,0,0,0,0,19,8,26,3,0,8,0,0,0,23,7,35,0,0,0,0,0,0,6,0,9,5,17,27,3,3,8,14,27,41,132,68,205,173,100,276,8,0,3,4,5,6,3,0,5,11,4,16,2531,3461,5987,1901,3060,4960,145,138,282,19976,20835,40812
LGA17620,0,0,0,7,3,11,0,0,0,0,0,0,0,4,0,2369,2021,4388,136,141,284,75,7,80,25,0,27,23,3,27,61,23,81,128,184,311,2824,2384,5208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,41,12,53,41,20,62,0,0,0,0,0,0,0,0,0,0,0,4,386,481,867,341,384,722,30,24,53,3624,3291,6914
LGA17640,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,1155,1072,2228,54,69,126,94,9,94,22,3,24,3,0,6,24,8,32,87,88,181,1447,1255,2696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,5,31,27,8,30,0,0,0,0,0,0,4,0,4,7,0,7,479,415,901,133,233,359,20,16,35,2111,1923,4031
LGA17650,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,727,675,1404,29,49,76,35,7,39,11,0,15,7,0,5,8,3,14,51,33,82,873,769,1642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,8,10,3,10,0,0,0,0,0,0,0,0,0,0,0,0,272,342,613,156,234,389,8,8,15,1324,1358,2679
LGA17750,5,0,7,87,67,150,8,7,13,0,0,0,25,32,61,12143,11030,23174,910,906,1812,196,11,208,134,16,145,105,32,134,409,125,539,854,635,1491,14877,12862,27737,0,0,0,0,0,0,0,0,0,3,7,8,0,0,0,0,0,0,9,7,10,0,0,0,0,0,0,9,0,13,12,8,26,3,0,6,26,14,38,131,79,206,161,91,258,0,0,0,0,4,4,9,3,11,9,11,18,1288,1631,2918,1050,1951,3005,103,74,181,17479,16627,34109
LGA17850,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,358,307,662,31,22,51,17,0,21,9,0,10,0,0,0,8,3,13,62,36,99,496,371,866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,207,187,394,40,65,103,9,7,16,751,628,1377
LGA17900,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,522,479,1006,30,55,82,19,0,27,6,3,7,11,7,13,11,11,24,103,76,183,712,639,1352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,16,8,3,16,0,0,0,0,0,0,0,0,3,0,0,3,121,128,249,84,110,199,7,9,19,938,896,1834
LGA17950,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,398,309,712,25,25,50,17,0,17,6,0,6,4,0,0,7,4,11,36,48,80,491,386,883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,98,92,193,9,35,44,14,6,18,622,529,1152
LGA18020,0,0,0,7,0,13,0,0,0,0,0,0,0,0,0,973,945,1918,60,80,142,86,3,88,20,5,29,6,0,5,21,8,30,126,132,259,1304,1186,2484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,0,0,0,0,0,0,4,0,5,12,3,17,15,7,26,0,0,0,0,0,0,3,0,3,3,0,3,335,292,620,127,169,296,20,18,40,1806,1667,3470
LGA18050,333,251,586,316,449,764,27,13,39,0,5,5,47,38,86,4708,2863,7566,194,319,516,117,0,120,404,92,491,260,103,360,86,66,150,568,884,1451,7050,5092,12137,336,265,597,8,5,10,3,0,5,15,9,26,5,3,10,13,6,20,370,285,658,0,0,0,0,0,0,6,7,17,12,6,19,21,17,36,36,31,65,68,30,102,475,353,827,67,36,100,0,0,5,3,0,3,71,36,109,9782,10870,20650,1415,2235,3652,96,81,179,18894,18665,37556
LGA18100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407,394,799,25,33,54,30,0,30,5,0,7,4,0,8,13,3,17,58,50,110,543,480,1022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,11,10,0,11,0,0,0,0,0,0,0,0,0,0,0,0,161,128,289,56,69,124,11,8,16,771,686,1459
LGA18200,0,0,0,15,11,23,0,0,0,0,0,0,0,0,0,1198,953,2148,91,82,176,31,0,31,8,3,11,9,0,10,19,3,26,99,77,177,1474,1124,2595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,21,13,11,16,0,0,0,0,0,0,0,0,0,0,0,0,188,209,398,87,155,246,19,19,34,1773,1522,3297
LGA18250,555,615,1173,313,373,681,0,0,0,3,0,3,26,24,51,4593,2989,7580,210,513,718,58,0,59,135,26,156,99,22,124,81,67,139,732,899,1628,6809,5515,12327,126,170,293,0,0,0,6,14,15,20,13,34,9,16,21,19,19,38,176,223,404,0,0,0,3,8,9,14,14,28,11,13,23,14,10,22,31,45,80,54,27,84,261,300,561,29,30,57,4,0,7,0,0,3,37,35,67,10256,9845,20096,1520,2440,3963,60,55,119,18950,18187,37134
LGA18350,48,28,79,33,31,67,0,0,0,0,0,0,9,10,18,7063,5999,13064,432,510,949,329,11,337,46,8,53,25,11,35,56,37,95,351,341,691,8394,7004,15395,3,4,4,3,0,3,0,0,0,3,3,10,4,0,3,3,4,6,16,12,26,0,0,0,0,0,0,0,4,9,3,4,9,0,0,3,4,20,21,64,40,104,85,68,149,5,3,9,0,0,0,0,0,3,10,0,7,2829,3066,5895,1020,1619,2639,83,72,156,12421,11832,24254
LGA18400,71,31,100,6,5,14,0,0,0,0,0,0,6,0,5,8393,5567,13964,457,371,830,594,8,599,56,3,59,11,0,11,51,36,88,182,162,343,9827,6179,16011,8,0,10,0,0,0,0,0,0,45,20,63,0,4,3,0,0,0,57,26,80,0,0,0,0,0,0,3,3,6,0,6,5,0,0,3,8,7,15,80,24,102,143,49,196,11,3,13,0,0,0,3,0,4,14,4,20,2230,4023,6255,1579,2272,3849,61,64,121,13850,12599,26456
LGA18450,472,255,723,297,405,698,9,0,9,4,5,7,51,48,101,27560,19606,47168,1270,1593,2860,573,6,580,297,23,327,348,70,419,188,144,332,925,1016,1938,31992,23185,55169,49,51,101,0,0,0,3,5,3,125,55,183,17,17,32,26,10,35,216,138,351,0,0,0,0,0,0,24,19,41,21,49,74,14,14,25,58,76,141,245,131,379,527,349,874,31,26,53,3,14,24,13,6,11,47,43,87,11230,14785,26012,5998,8986,14992,167,140,311,49956,47489,97447
LGA18500,239,174,414,165,184,355,78,25,99,0,0,3,33,28,55,3297,2214,5510,205,307,514,45,0,45,135,24,158,119,39,156,72,72,138,583,661,1246,4969,3726,8695,92,109,195,5,0,7,0,0,0,11,3,19,3,7,8,8,5,15,123,126,243,10,0,10,5,0,5,11,4,13,0,9,8,3,8,12,27,28,51,49,33,85,196,181,379,27,14,40,0,0,4,6,0,6,38,17,54,7474,8107,15580,994,1570,2570,62,69,129,13734,13668,27402
LGA18710,0,0,0,28,23,48,0,0,0,0,3,3,0,0,0,2945,2627,5582,165,212,375,139,6,141,28,6,33,12,3,15,26,13,36,152,128,277,3493,3026,6518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,10,0,10,10,0,0,0,6,12,18,38,31,61,39,42,85,0,0,0,4,5,6,3,0,4,8,4,10,648,800,1442,344,533,875,26,19,46,4552,4427,8980
LGA19399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,63,167,9,7,21,4,0,4,8,0,7,30,25,61,11,3,12,47,60,107,209,170,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,5,5,10,0,0,0,0,0,0,6,0,6,6,0,6,91,84,174,22,34,57,3,0,6,337,292,631
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,22,0,22,0,0,0,0,0,0,0,0,0,0,0,0,29,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,3,35
LGA20110,0,0,0,18,11,33,0,0,0,0,0,0,0,0,3,1780,1643,3427,134,125,254,40,0,43,26,0,27,60,25,88,27,18,41,223,214,439,2316,2048,4363,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,33,3,40,35,10,41,0,0,0,0,0,0,0,0,0,0,0,0,551,618,1168,416,522,938,28,31,55,3347,3225,6571
LGA20260,5,0,6,3,22,26,0,0,0,0,0,0,3,6,9,1611,1424,3037,148,149,298,35,0,35,8,8,8,17,4,24,14,8,21,194,121,314,2032,1739,3771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,13,11,9,18,0,0,0,0,0,0,0,0,4,0,0,4,291,343,633,190,320,515,27,25,52,2563,2432,4993
LGA20570,96,41,142,113,169,277,12,0,15,5,6,4,83,82,162,17503,15247,32750,1206,1338,2544,212,7,219,71,8,86,245,63,307,90,37,126,600,636,1237,20240,17637,37875,3,9,10,0,0,0,7,8,15,35,13,45,0,0,0,9,0,11,60,23,85,0,0,0,0,0,0,5,4,7,9,22,31,7,16,22,26,43,66,170,119,289,255,190,442,20,17,32,7,10,11,12,0,12,38,25,59,3730,4549,8271,2121,3940,6067,135,124,261,26513,26464,52974
LGA20660,825,642,1465,190,232,424,12,8,13,28,27,53,57,47,101,15433,11942,27372,632,917,1552,191,3,189,120,9,125,290,84,371,160,91,250,671,766,1442,18598,14763,33363,91,96,188,0,0,0,46,60,106,125,92,216,14,26,44,41,20,53,308,292,605,0,0,0,17,17,38,10,15,25,11,31,43,8,13,23,49,77,125,135,106,237,495,471,965,71,77,143,12,9,14,0,0,5,86,83,167,10196,11099,21295,2789,5028,7812,115,76,193,32284,31511,63797
LGA20740,7,0,12,14,18,33,6,0,7,5,0,3,0,3,3,5255,4389,9642,289,329,619,105,7,105,28,3,35,78,33,114,35,20,53,261,257,512,6084,5062,11144,0,0,0,0,0,0,0,0,0,4,0,5,4,0,0,0,0,0,7,7,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,4,40,30,69,52,30,83,0,0,6,0,0,6,4,0,4,7,4,10,1313,1717,3029,824,1353,2175,95,77,175,8372,8247,16624
LGA20830,86,41,128,24,14,41,3,3,5,0,0,0,14,11,24,9102,7467,16570,527,561,1087,214,3,216,58,4,65,35,15,42,47,31,76,317,273,589,10423,8421,18847,9,13,26,0,0,0,0,0,0,22,8,35,8,3,9,9,0,8,53,28,77,0,0,0,0,0,0,9,3,8,5,3,8,0,0,0,11,6,21,100,42,139,158,75,239,8,5,23,0,0,0,3,0,3,16,7,27,1771,2393,4168,993,1942,2935,92,83,174,13464,12924,26391
LGA20910,593,446,1037,59,85,148,5,0,5,17,14,34,34,27,57,10035,7912,17953,405,629,1027,73,3,77,85,8,95,308,90,398,85,74,154,410,565,976,12112,9854,21968,56,43,96,0,0,0,27,41,66,68,49,110,16,23,35,26,7,36,187,157,346,0,0,0,0,0,4,4,4,8,3,10,13,4,0,9,10,15,30,72,72,149,274,252,525,35,40,77,0,4,7,4,5,6,45,50,93,10625,10883,21504,2134,3553,5691,105,95,195,25292,24689,49980
