LGA_CODE_2021,P_Sol_sp_En_Tot_2011_2015,P_Sol_sp_En_Tot_2016,P_Sol_sp_En_Tot_2017,P_Sol_sp_En_Tot_2018,P_Sol_sp_En_Tot_2019,P_Sol_sp_En_Tot_2020,P_Sol_sp_En_Tot_2021,P_Sol_sp_En_Tot_Yr_arr_ns,P_Sol_sp_En_Tot_YoA_Tot,P_LanProf_En_ns_B_2005,P_LanProf_En_ns_2005_2010,P_LanProf_En_ns_2011_2015,P_LanProf_En_ns_2016,P_LanProf_En_ns_2017,P_LanProf_En_ns_2018,P_LanProf_En_ns_2019,P_LanProf_En_ns_2020,P_LanProf_En_ns_2021,P_LanProf_En_ns_Yr_arr_ns,P_LanProf_En_ns_Tot,P_Tot_B_2005,P_Tot_2005_2010,P_Tot_2011_2015,P_Tot_2016,P_Tot_2017,P_Tot_2018,P_Tot_2019,P_Tot_2020,P_Tot_2021,P_Tot_Yr_arrival_ns,P_Tot_YoA_Tot
LGA13800,404,154,145,141,124,36,8,77,3098,6,0,0,0,0,0,0,0,0,33,42,6309,765,759,211,213,194,161,52,11,285,8960
LGA13850,5,3,6,6,12,3,3,3,90,0,0,0,0,0,0,0,0,0,0,0,103,18,15,6,6,6,23,8,3,14,199
LGA13910,118,37,28,28,62,18,8,16,599,0,0,0,0,0,0,0,0,0,5,5,859,141,171,41,42,36,78,24,9,59,1467
LGA14000,6813,1698,1781,1697,1799,681,220,467,42143,34,7,6,0,0,4,0,0,0,281,336,31716,10863,8518,2076,2081,1989,2089,857,296,1066,61558
LGA14100,179,43,52,20,36,25,0,18,1756,3,0,0,0,0,0,0,0,0,206,209,2584,354,298,66,79,48,66,39,12,250,3799
LGA14170,4128,1246,1499,1552,1594,509,131,983,33344,16,0,6,3,3,0,0,0,0,133,169,34828,7204,7453,1918,2126,2181,2195,826,264,1604,60592
LGA14220,83,29,28,26,69,45,37,17,522,0,0,0,0,0,0,0,0,0,0,0,573,187,146,34,51,34,86,57,43,60,1270
LGA14300,17,26,49,53,26,14,15,4,253,0,0,0,0,0,0,0,0,0,92,92,172,39,37,26,53,54,34,14,17,105,553
LGA14350,91,40,38,44,34,18,7,17,596,0,0,0,0,0,0,0,0,0,93,93,1682,174,192,69,48,53,47,22,12,217,2513
LGA14400,84,20,16,14,18,15,3,19,649,0,0,0,0,0,0,0,0,0,30,34,2369,376,268,52,56,47,63,28,8,107,3378
LGA14500,4851,1115,1087,1072,1254,764,238,456,31859,24,4,4,0,0,5,0,0,0,41,78,29062,8638,6918,1512,1427,1444,1624,946,345,772,52689
LGA14550,44,12,6,3,18,7,9,7,224,6,0,0,0,0,0,0,0,0,9,12,696,89,65,17,7,4,20,8,16,48,975
LGA14600,35,10,35,20,19,0,0,4,152,0,0,0,0,0,0,0,0,0,0,0,107,25,42,10,38,23,29,9,8,6,297
LGA14650,1362,345,353,310,349,107,46,191,7780,28,0,0,0,0,0,5,0,0,65,99,14665,2956,2409,520,503,461,515,200,76,659,22965
LGA14700,1558,429,426,456,476,179,93,92,8625,0,0,0,0,0,0,0,0,0,25,28,7441,2329,2384,596,584,616,624,267,117,194,15160
LGA14750,147,43,49,92,109,41,0,22,815,0,0,0,0,0,0,0,0,0,3,3,469,141,195,58,61,105,126,44,3,42,1234
LGA14850,269,64,65,97,106,39,15,28,1434,4,0,0,0,0,0,0,0,0,6,13,2938,524,469,102,93,134,144,60,33,141,4639
LGA14870,96,24,20,25,37,7,4,22,664,0,0,0,0,0,0,0,0,0,57,62,1569,151,142,33,28,27,53,12,11,139,2168
LGA14900,11338,3175,2677,2222,2707,883,213,1421,85340,36,10,9,0,6,6,0,3,0,818,904,57310,15384,12698,3437,2927,2480,2937,1010,250,2649,101074
LGA14920,15,14,3,14,3,4,0,0,103,0,0,0,0,0,0,0,0,0,0,0,231,23,43,14,6,20,7,4,0,11,356
LGA14950,5,0,4,0,0,0,0,4,35,0,0,0,0,0,0,0,0,0,0,0,120,7,15,7,5,3,0,3,0,3,163
LGA15050,853,157,151,183,190,59,24,46,3468,0,0,0,0,0,0,0,0,0,20,20,4286,1428,1323,240,187,248,264,95,28,178,8271
LGA15240,357,105,90,136,152,67,19,86,2257,21,0,0,0,0,0,0,0,0,32,52,7353,716,587,137,133,171,213,100,37,464,9916
LGA15270,98,35,43,22,42,23,0,16,605,0,0,0,0,0,0,0,0,0,0,0,1448,191,193,45,55,50,64,26,3,74,2147
LGA15300,68,12,27,30,51,19,6,5,377,0,0,0,0,0,0,0,0,0,0,0,328,114,114,20,33,35,62,24,5,21,771
LGA15350,593,170,215,203,227,141,36,53,3584,5,0,0,0,0,0,0,0,0,3,12,5222,1354,1323,292,381,399,405,254,94,178,9894
LGA15520,55,30,21,45,40,19,4,28,347,0,0,0,0,0,0,0,0,0,0,3,538,71,93,30,29,53,47,25,4,70,964
LGA15560,27,7,4,9,9,0,0,3,100,0,0,0,0,0,0,0,0,0,0,0,107,27,36,7,4,11,9,0,0,9,215
LGA15650,119,20,29,32,64,8,5,10,532,0,0,0,0,0,0,0,0,0,66,64,641,196,225,43,39,59,96,18,9,94,1427
LGA15700,54,14,22,15,43,14,7,11,417,6,0,0,0,0,0,0,0,0,4,10,1574,133,119,26,32,33,57,20,7,102,2109
LGA15750,42,16,16,14,34,22,4,3,251,0,0,0,0,0,0,0,0,0,3,9,314,75,67,21,29,23,42,26,4,22,625
LGA15800,20,5,4,19,13,8,0,13,130,0,0,0,0,0,0,0,0,0,5,5,154,26,35,10,5,22,30,8,7,21,320
LGA15850,11,6,4,3,7,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,166,20,24,9,7,9,12,0,0,8,255
LGA15900,2470,834,971,1050,1126,433,106,285,13192,14,3,0,0,3,0,3,0,0,192,216,11496,3211,3657,1060,1218,1306,1463,612,205,755,24981
LGA15950,2262,712,742,843,931,428,167,139,12992,10,0,0,0,0,0,0,0,0,10,26,12943,3635,4228,1131,1266,1297,1424,727,282,304,27234
LGA15990,4399,1364,1394,1509,1791,661,135,454,29769,34,4,7,0,5,4,7,0,0,226,290,43215,11846,10397,2532,2462,2566,2958,1319,339,1450,79097
LGA16100,18,8,16,14,20,9,0,5,196,0,0,0,0,0,0,0,0,0,29,26,379,47,40,13,18,19,29,10,0,47,596
LGA16150,583,142,167,174,164,80,11,32,2366,5,0,4,0,0,0,0,0,0,4,14,2211,680,789,185,211,200,199,112,15,116,4724
LGA16200,72,22,15,36,14,16,3,4,326,5,0,0,0,0,0,0,0,0,0,6,425,114,116,32,20,44,23,20,6,25,824
LGA16260,19781,6064,7022,7952,8545,3150,871,1566,114544,43,18,18,4,8,11,8,11,12,422,546,53114,21630,22197,6773,7725,8763,9411,3548,1012,2391,136575
LGA16350,5211,1084,914,878,990,389,100,417,30557,26,8,7,4,0,5,0,0,0,356,406,29112,8317,6619,1355,1202,1101,1219,506,147,1230,50807
LGA16380,436,109,145,127,144,57,21,61,2448,17,0,0,0,0,3,0,0,0,29,47,7373,1026,910,186,240,214,251,104,42,402,10750
LGA16400,278,59,107,113,117,39,18,48,2112,12,0,0,0,0,0,0,0,0,25,43,6306,839,726,129,168,186,178,123,57,293,9004
LGA16490,1140,325,385,348,311,96,22,100,6105,3,0,0,0,0,0,0,0,0,7,14,6283,1644,1599,406,439,408,380,138,52,252,11591
LGA16550,3439,1222,1378,1709,2217,922,178,410,27810,32,0,4,3,0,8,0,0,0,612,660,25491,6132,7078,2095,2347,2895,3599,1544,362,1431,52974
LGA16610,51,15,8,32,34,9,9,12,339,0,0,0,0,0,0,0,0,0,4,4,996,118,110,23,24,43,44,12,8,72,1447
LGA16700,8178,2370,2566,2659,3206,1375,303,722,50125,12,4,8,7,0,0,8,0,7,286,328,29143,9160,9555,2700,2907,3017,3674,1632,354,1234,63375
LGA16900,501,91,102,94,111,35,17,104,4803,14,0,0,0,0,0,0,0,0,67,78,9435,930,845,148,158,161,159,64,20,340,12259
LGA16950,573,186,154,185,245,97,24,110,3856,23,0,0,0,0,0,0,0,0,135,160,10770,1101,1045,269,225,267,339,162,37,662,14872
LGA17000,120,35,22,41,52,32,18,7,676,0,0,0,0,0,0,0,0,3,4,5,1120,386,250,56,31,58,73,39,39,55,2110
LGA17040,139,44,55,79,222,72,32,37,1258,8,0,0,0,0,0,0,0,0,25,31,2255,352,310,64,103,121,282,115,42,147,3791
LGA17080,85,21,27,32,29,21,3,11,488,0,0,0,0,0,0,0,0,0,59,65,756,191,140,28,45,39,48,30,9,106,1397
LGA17100,3424,1204,1510,2092,2090,581,135,472,23482,6,0,4,0,0,3,3,0,0,25,49,10677,3522,3755,1331,1644,2239,2260,628,151,582,26795
LGA17150,2672,551,543,480,544,206,68,279,20204,35,5,0,0,0,0,5,0,0,183,238,28620,5687,4925,1002,847,860,882,394,179,881,44262
LGA17200,12057,4398,4920,5481,7500,2943,816,1145,63138,34,11,15,5,10,12,22,5,0,389,496,33923,12634,18292,6156,6782,7706,10203,4195,1431,2167,103500
LGA17310,662,235,313,349,407,122,55,67,2927,7,0,4,0,0,0,0,0,0,12,27,2065,559,876,271,378,377,458,154,66,178,5381
LGA17350,25,10,0,7,4,7,4,3,115,0,0,0,0,0,0,0,0,0,0,0,189,41,37,17,7,13,8,4,4,13,326
LGA17400,19,3,9,3,15,3,0,25,148,0,0,0,0,0,0,0,0,0,0,4,454,44,37,9,9,3,19,0,0,44,623
LGA17420,8569,1961,1930,1722,1888,899,300,644,55730,25,0,6,3,0,0,0,3,0,164,209,40703,13977,10696,2445,2432,2157,2335,1158,403,1140,77443
LGA17550,665,217,167,173,179,79,9,73,3414,18,0,0,0,0,0,0,0,0,115,139,9818,1776,1435,343,270,282,334,166,57,635,15106
LGA17620,75,22,32,52,111,37,23,11,496,0,0,0,0,0,0,0,0,0,4,0,579,153,159,47,48,71,144,45,25,47,1315
LGA17640,21,11,3,5,0,0,0,9,131,0,0,0,0,0,0,0,0,0,0,0,528,47,36,10,8,13,5,0,3,19,668
LGA17650,13,0,0,0,0,3,0,0,86,0,0,0,0,0,0,0,0,0,0,0,311,39,26,7,9,4,4,8,0,14,420
LGA17750,1224,387,429,459,662,227,97,59,5028,4,0,0,0,0,0,0,0,0,12,17,2506,1163,1507,426,485,509,722,263,111,160,7845
LGA17850,0,5,0,5,0,4,0,0,30,0,0,0,0,0,0,0,0,0,0,3,129,16,4,3,0,5,4,8,0,4,174
LGA17900,15,3,11,10,9,17,6,9,204,0,0,0,0,0,0,0,0,0,5,4,322,38,23,3,19,14,10,20,6,16,472
LGA17950,14,3,7,7,26,9,5,0,79,0,0,0,0,0,0,0,0,0,0,0,48,15,26,3,7,8,26,4,4,3,153
LGA18020,20,7,10,11,8,4,6,0,151,0,0,0,0,0,0,0,0,0,0,0,427,36,35,5,12,11,12,9,5,16,575
LGA18050,1636,558,673,813,1025,404,64,199,10787,11,0,6,0,3,6,0,0,0,89,113,12501,3081,4200,1337,1480,1790,2152,926,197,556,28217
LGA18100,4,0,0,0,3,0,5,0,39,0,0,0,0,0,0,0,0,0,0,0,141,5,18,0,0,3,6,0,6,9,199
LGA18200,35,18,14,9,17,14,19,9,210,0,0,0,0,0,0,0,0,0,0,0,276,45,58,26,14,13,22,20,20,22,508
LGA18250,3738,1096,1205,1307,1606,740,279,359,24667,16,4,0,0,0,0,4,0,0,260,280,17384,4934,4813,1315,1476,1543,1873,877,346,772,35334
LGA18350,453,122,119,159,168,72,10,70,2692,7,0,0,0,0,0,0,0,0,10,21,6542,964,763,160,178,206,234,127,24,358,9564
LGA18400,157,18,32,24,46,21,0,43,1675,3,0,0,0,0,0,0,0,0,4,6,4796,419,346,40,53,56,68,36,7,168,5992
LGA18450,3098,982,853,1106,1329,588,78,536,23517,60,0,9,0,0,8,0,0,0,310,383,28732,4023,4592,1228,1104,1368,1643,791,140,1371,44989
LGA18500,822,219,223,283,292,173,47,106,5777,20,0,0,0,0,0,0,0,0,153,171,10467,2014,2153,560,562,641,689,400,133,477,18101
LGA18710,72,17,8,11,24,0,3,9,447,3,0,0,0,0,0,0,0,0,4,5,1361,203,177,21,12,15,37,12,5,54,1890
LGA19399,7,0,0,4,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,60,13,20,0,0,3,7,0,0,12,122
LGA19799,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
LGA20110,80,24,30,38,32,10,3,29,630,0,0,0,3,0,0,0,0,0,3,8,1316,167,144,45,43,63,52,11,7,73,1918
LGA20260,74,16,41,48,57,27,29,8,479,0,0,0,0,0,0,0,0,0,203,199,556,142,122,29,52,55,72,38,38,245,1340
LGA20570,1264,357,340,430,518,210,38,116,5939,12,0,3,0,0,0,0,0,0,29,46,6179,2002,1879,452,439,563,632,287,56,363,12847
LGA20660,2905,643,713,758,751,316,64,343,18561,14,8,0,0,0,0,0,0,0,15,49,17638,4426,4035,846,947,952,947,399,124,611,30922
LGA20740,230,52,39,60,55,30,12,63,1439,11,0,0,0,0,0,0,0,0,6,19,4499,486,478,101,66,88,92,55,12,261,6135
LGA20830,312,70,106,95,189,66,12,47,2061,9,0,0,0,0,0,0,0,0,0,14,4510,808,569,115,150,131,237,90,20,221,6861
LGA20910,1450,384,429,450,569,314,75,210,10818,15,0,3,0,0,0,0,0,0,37,56,15646,3690,3395,741,815,780,930,513,132,554,27199
LGA21010,57,12,24,44,39,13,4,13,403,6,0,0,0,0,0,0,0,0,0,7,903,121,99,24,39,60,54,23,7,47,1373
LGA21110,5598,1539,1570,1715,2078,939,248,528,35003,16,0,4,4,0,0,0,0,0,19,48,28516,7333,7481,1921,1975,2121,2456,1173,320,928,54228
LGA21180,10578,2487,2569,3056,3630,1169,291,2159,79535,51,13,21,6,7,5,6,0,0,165,277,52589,11963,11852,2760,2819,3306,3899,1270,344,2684,93480
LGA21270,19,6,12,11,31,11,9,5,147,0,0,0,0,0,0,0,0,0,0,0,226,45,38,8,14,17,39,12,9,17,421
LGA21370,230,69,77,89,126,44,8,42,1119,6,0,0,0,0,0,0,0,0,11,18,1604,310,369,87,87,121,155,59,14,152,2956
LGA21450,3837,772,795,716,833,272,95,217,15777,14,6,11,0,0,0,0,0,0,30,62,11639,6161,5056,967,951,844,989,320,123,566,27618
LGA21610,24136,4706,4926,4642,5164,1896,697,1498,115287,65,29,41,6,9,0,10,3,3,153,314,61790,36523,27969,5342,5556,5167,5653,2108,798,2446,153355
LGA21670,55,12,17,14,21,12,0,12,292,3,0,0,0,0,0,0,0,0,0,5,941,68,78,21,17,19,29,15,0,67,1248
LGA21750,167,66,88,133,132,36,31,20,1030,0,0,0,0,0,0,0,0,0,0,8,1210,249,260,83,100,162,151,40,27,72,2359
LGA21830,58,17,13,29,32,14,10,9,313,0,0,0,0,0,0,0,0,0,0,5,705,148,119,31,20,37,52,24,8,55,1202
LGA21890,3814,1077,1375,1782,1750,536,104,839,31952,29,4,0,0,0,0,0,0,0,114,153,25608,5256,5761,1496,1789,2237,2148,674,169,1264,46403
LGA22110,297,89,75,80,108,37,15,58,1475,6,0,0,0,0,0,0,0,0,7,16,4055,444,457,117,122,107,151,53,25,257,5796
LGA22170,1649,424,349,404,457,177,63,193,11344,19,0,4,0,0,0,0,0,0,92,115,18629,4303,3274,650,540,578,620,246,98,729,29663
LGA22250,32,17,10,9,18,12,0,5,195,0,0,0,0,0,0,0,0,0,0,0,383,57,46,20,14,11,27,12,3,20,599
LGA22310,5188,1451,1736,2065,2359,765,285,609,33455,11,5,6,0,6,4,4,0,0,45,87,27699,7331,7385,1949,2308,2688,2927,1020,414,1025,54742
LGA22410,94,23,39,38,30,15,5,14,470,3,0,0,0,0,0,0,0,0,3,10,1187,157,151,36,51,49,44,15,8,77,1779
LGA22490,52,13,10,3,12,0,3,13,444,4,3,0,0,0,0,0,0,0,4,11,1716,251,145,25,15,11,26,0,7,94,2298
LGA22620,1453,439,415,504,406,161,33,102,6027,6,0,5,0,0,0,0,0,0,39,53,5129,2135,1841,533,506,580,487,201,60,348,11822
LGA22670,13184,3279,3496,4287,4498,1492,445,1860,78733,55,17,18,0,12,6,6,3,0,227,345,42448,13881,14218,3516,3793,4560,4810,1594,484,2498,91808
LGA22750,4437,1228,1304,1467,1823,688,137,465,23367,54,3,5,0,0,8,6,5,0,435,518,24779,6251,6521,1603,1628,1821,2263,889,196,1624,47579
LGA22830,1761,503,523,626,763,248,95,214,8624,5,0,3,0,0,0,0,0,0,52,62,4302,2055,2092,566,569,695,805,285,117,402,11898
LGA22910,78,21,17,30,27,10,0,30,555,3,0,0,0,0,0,0,0,0,8,12,1718,179,171,34,33,40,42,15,0,98,2331
LGA22980,75,11,31,18,22,0,0,13,332,0,0,0,0,0,0,0,0,0,0,0,237,158,90,22,34,18,21,3,0,25,601
LGA23110,2185,588,654,684,836,213,58,411,16456,8,0,12,0,0,0,0,0,0,31,48,15766,3382,3557,835,870,915,1063,290,96,650,27408
LGA23190,169,31,53,68,50,37,0,8,750,0,0,0,0,0,0,0,0,0,0,0,622,275,235,47,61,85,73,43,3,40,1481
LGA23270,14645,5286,4300,3657,4608,1392,304,1373,80954,48,11,20,5,7,3,10,0,4,352,460,39526,18210,16403,5573,4613,3927,4880,1514,367,2136,97138
LGA23350,31,5,15,6,16,0,5,6,249,0,0,0,0,0,0,0,0,0,29,27,1074,123,106,13,21,16,24,6,6,89,1487
LGA23430,4087,1046,1100,1280,1349,438,102,601,29801,29,4,0,3,0,0,0,0,0,161,209,28692,7111,6374,1475,1466,1658,1675,542,157,1146,50310
LGA23670,5843,1070,1090,1014,1268,418,110,439,34744,29,7,4,0,0,0,0,0,0,95,140,28894,9827,7000,1310,1286,1190,1455,481,147,886,52474
LGA23810,563,135,130,169,245,114,42,144,3847,18,0,0,0,0,0,0,0,0,16,41,6533,984,863,188,168,227,304,128,57,409,9858
LGA23940,49,11,9,8,16,0,10,0,195,3,0,0,0,0,0,0,0,0,0,6,427,68,71,9,8,15,25,4,17,25,674
LGA24130,185,37,53,47,83,28,3,42,1428,6,0,0,0,0,0,0,0,0,24,32,4582,816,560,106,105,86,121,56,20,235,6688
LGA24210,6519,1456,1540,1519,1635,764,254,655,42178,22,3,14,0,0,3,0,0,4,73,123,29693,7718,7486,1659,1718,1738,1841,866,296,988,53998
LGA24250,53,18,14,18,30,13,0,14,285,0,0,0,0,0,0,0,0,0,0,0,790,93,101,20,14,22,38,29,5,50,1181
LGA24330,3169,921,1064,1375,1518,425,95,505,23458,26,6,4,3,6,6,0,0,0,41,84,16349,4079,4470,1183,1334,1657,1820,505,133,700,32234
LGA24410,3849,852,832,971,879,273,63,212,17282,15,0,0,6,0,0,4,0,0,74,100,14112,5214,4642,961,959,1091,1008,326,94,528,28950
LGA24600,11295,5000,6301,7489,9752,4147,974,863,61733,14,5,3,11,5,5,8,5,6,92,145,17097,9546,14390,5938,7467,8824,11600,5004,1360,1273,82497
LGA24650,9279,2239,1823,1740,2121,687,235,745,48494,27,17,14,0,8,0,0,0,0,630,699,26447,14401,11067,2589,2150,1964,2349,768,284,1711,63744
LGA24780,895,365,408,488,605,205,67,213,5318,7,4,0,8,0,0,0,0,0,15,37,3085,853,1117,420,466,537,674,226,85,331,7792
LGA24850,707,201,131,178,259,61,37,67,3688,7,0,0,0,0,0,0,0,0,14,19,3558,1403,1019,249,177,217,290,84,45,197,7248
LGA24900,200,93,95,99,131,25,6,39,1206,7,0,0,0,0,0,0,0,0,4,15,1687,323,287,126,104,130,148,48,12,124,2983
