LGA_CODE_2021,Iran_2016,Iran_2017,Iran_2018,Iran_2019,Iran_2020,Iran_2021,Iran_Yr_arrival_ns,Iran_Tot,Iraq_Before_1951,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2010,Iraq_2011_2015,Iraq_2016,Iraq_2017,Iraq_2018,Iraq_2019,Iraq_2020,Iraq_2021,Iraq_Yr_arrival_ns,Iraq_Tot,Ireland_Before_1951,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2010,Ireland_2011_2015,Ireland_2016,Ireland_2017,Ireland_2018,Ireland_2019,Ireland_2020,Ireland_2021,Ireland_Yr_arrival_ns,Ireland_Tot,Italy_Before_1951,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2010,Italy_2011_2015,Italy_2016,Italy_2017,Italy_2018,Italy_2019,Italy_2020,Italy_2021,Italy_Yr_arr_ns,Italy_Tot,Japan_Before_1951,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2010,Japan_2011_2015,Japan_2016,Japan_2017,Japan_2018,Japan_2019,Japan_2020,Japan_2021,Japan_Yr_arrival_ns,Japan_Tot,Korea_Rep_South_Before_1951,Korea_Rep_South_1951_1960,Korea_Rep_South_1961_1970,Korea_Rep_South_1971_1980,Korea_Rep_South_1981_1990,Korea_Rep_South_1991_2000,Korea_Rep_South_2001_2010,Korea_Rep_South_2011_2015,Korea_Rep_South_2016,Korea_Rep_South_2017,Korea_Rep_South_2018,Korea_Rep_South_2019,Korea_Rep_South_2020,Korea_Rep_South_2021,Korea_Rep_South_Yr_arrival_ns,Korea_Rep_South_Tot,Lebanon_Before_1951,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2010,Lebanon_2011_2015,Lebanon_2016,Lebanon_2017,Lebanon_2018,Lebanon_2019,Lebanon_2020,Lebanon_2021,Lebanon_Yr_arrival_ns,Lebanon_Tot,Malaysia_Before_1951,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2010,Malaysia_2011_2015,Malaysia_2016,Malaysia_2017,Malaysia_2018,Malaysia_2019,Malaysia_2020,Malaysia_2021,Malaysia_Yr_arrival_ns,Malaysia_Tot,Nepal_Before_1951,Nepal_1951_1960,Nepal_1961_1970,Nepal_1971_1980,Nepal_1981_1990,Nepal_1991_2000,Nepal_2001_2010,Nepal_2011_2015,Nepal_2016,Nepal_2017,Nepal_2018,Nepal_2019,Nepal_2020,Nepal_2021,Nepal_Yr_arrival_ns,Nepal_Tot,Netherlands_Before_1951,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2010,Netherlands_2011_2015,Netherlands_2016,Netherlands_2017,Netherlands_2018,Netherlands_2019,Netherlands_2020,Netherlands_2021,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1951,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2010,New_Zealand_2011_2015,New_Zealand_2016,New_Zealand_2017,New_Zealand_2018,New_Zealand_2019,New_Zealand_2020,New_Zealand_2021,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,North_Macedonia_Before_1951,North_Macedonia_1951_1960,North_Macedonia_1961_1970,North_Macedonia_1971_1980,North_Macedonia_1981_1990,North_Macedonia_1991_2000,North_Macedonia_2001_2010,North_Macedonia_2011_2015,North_Macedonia_2016,North_Macedonia_2017,North_Macedonia_2018,North_Macedonia_2019,North_Macedonia_2020,North_Macedonia_2021,North_Macedonia_Yr_arrival_ns,North_Macedonia_Tot,Pakistan_Before_1951,Pakistan_1951_1960,Pakistan_1961_1970,Pakistan_1971_1980,Pakistan_1981_1990,Pakistan_1991_2000,Pakistan_2001_2010,Pakistan_2011_2015,Pakistan_2016,Pakistan_2017,Pakistan_2018,Pakistan_2019,Pakistan_2020,Pakistan_2021,Pakistan_Yr_arrival_ns,Pakistan_Tot
LGA45090,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,14,25,21,20,3,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,3,4,16,24,40,41,5,0,4,10,0,0,4,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,3,3,0,0,6,0,0,37
LGA45120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,6,3,4,4,6,0,0,3,0,0,0,0,4,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
LGA45290,17,18,9,31,11,3,9,184,0,0,0,0,0,10,4,0,0,3,3,0,0,0,0,34,0,10,11,7,15,3,18,14,3,0,0,4,0,0,0,85,39,653,430,43,16,10,16,30,7,11,10,23,3,0,29,1312,0,3,0,0,5,15,14,7,3,6,4,16,18,0,0,97,0,0,0,0,7,10,90,50,8,23,9,11,8,0,3,223,0,4,6,9,4,3,10,5,0,3,0,0,0,0,0,46,0,6,10,26,69,35,88,69,23,18,26,30,10,3,3,420,0,0,0,0,0,0,22,41,21,44,46,31,14,0,5,229,4,33,5,7,3,8,12,8,0,0,0,0,0,0,3,81,3,8,25,50,54,43,54,22,4,9,3,5,4,4,10,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,31,26,24,8,21,3,17,5,0,141
LGA45340,11,0,0,11,0,0,5,323,0,0,0,0,0,19,24,26,8,14,3,0,0,0,5,101,0,12,86,70,67,28,73,61,0,0,0,0,0,0,16,423,21,175,123,40,17,17,23,22,8,0,5,0,0,0,19,468,0,3,0,0,0,17,48,24,3,4,9,6,7,0,0,122,0,0,0,4,17,14,65,16,3,4,3,8,0,0,0,151,0,0,20,59,25,22,33,12,6,0,0,0,0,0,5,188,0,3,26,31,63,17,59,54,12,3,6,11,0,0,0,294,0,0,0,0,0,0,46,19,4,0,4,7,0,0,0,89,21,492,150,64,46,19,47,25,0,6,0,8,0,0,16,893,4,18,89,311,452,298,276,127,9,18,16,9,10,12,54,1711,0,0,3,9,0,9,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,55,114,81,19,8,13,14,12,3,10,338
LGA45400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA45540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,6,6,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
LGA45680,18,5,0,18,11,0,0,192,0,0,0,0,0,24,55,11,0,0,0,5,0,5,0,98,0,15,61,27,13,0,12,14,0,0,5,0,0,0,7,156,21,134,131,32,4,9,6,7,0,0,0,0,0,0,18,369,0,0,0,0,0,6,3,4,0,0,3,0,0,0,0,13,0,0,0,0,9,6,12,5,0,0,0,0,0,0,0,25,0,0,4,3,7,0,14,0,11,0,0,0,0,0,3,49,0,3,11,13,17,6,11,48,15,15,38,20,0,0,3,208,0,0,0,0,0,0,74,262,46,82,44,51,6,4,13,581,8,182,63,14,15,3,6,0,0,0,0,0,0,0,8,312,0,0,22,97,129,114,134,52,7,13,7,9,4,14,10,617,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,54,161,24,44,13,30,18,7,14,369
LGA45890,40,39,37,37,12,7,5,639,0,0,0,0,0,70,142,45,0,9,0,3,0,0,12,282,0,19,25,37,37,12,38,35,0,0,0,0,0,3,9,220,34,505,414,66,32,15,38,61,7,4,12,10,3,0,39,1229,0,3,0,0,9,26,54,25,4,4,0,11,0,0,6,130,0,0,0,3,16,25,191,95,14,18,14,13,6,0,6,391,0,3,14,36,26,21,35,11,5,5,3,0,5,0,9,166,0,0,18,51,87,68,319,162,39,62,36,36,22,0,11,899,0,0,0,0,0,0,177,146,59,64,88,87,21,0,13,655,10,143,49,12,7,9,27,0,0,0,0,0,0,0,6,262,7,8,55,123,204,134,173,103,12,20,13,13,11,10,34,911,0,3,16,8,5,10,8,3,0,0,0,0,0,0,0,44,0,0,0,0,0,6,136,400,52,61,104,143,70,15,30,1015
LGA46090,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,0,17,18,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,3,0,0,0,0,14,0,0,0,0,0,0,4,3,0,8,0,0,0,0,0,25,3,18,7,3,0,0,0,0,0,0,0,0,0,0,0,37,0,0,10,5,18,14,9,3,4,0,0,0,0,0,8,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,0,0,0,19
LGA46300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,10,0,17,10,0,0,0,0,3,0,0,0,0,0,0,4,31,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,3,4,0,0,0,0,0,23,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,6,0,30,4,0,0,0,0,0,3,0,0,0,0,0,0,45,0,0,6,18,23,12,30,6,0,0,0,0,0,0,4,109,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6
LGA46450,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,13,12,37,27,0,0,0,0,0,0,0,0,0,0,0,10,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,13,4,36,8,4,0,0,5,0,0,0,0,0,0,0,0,56,0,0,3,16,25,9,19,10,3,3,8,3,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,13,10,0,0,6,0,0,0,33
LGA46510,7,0,0,4,9,0,7,66,0,0,0,0,0,6,5,9,0,4,0,0,0,0,5,24,0,0,3,7,3,0,5,0,0,0,0,0,0,0,0,34,6,156,132,27,4,5,0,14,0,4,3,0,0,0,11,367,0,4,0,0,4,3,16,4,0,0,0,0,0,0,0,25,0,0,0,0,3,6,21,7,4,3,3,3,0,0,0,55,0,0,0,9,3,6,6,5,0,0,0,0,0,0,0,31,0,0,6,10,23,11,40,21,6,3,4,18,3,0,0,152,0,0,0,0,0,4,14,29,13,16,29,19,0,0,3,125,0,17,9,3,0,0,4,0,0,0,0,0,0,0,0,39,0,4,12,29,19,25,31,18,0,0,0,0,0,5,4,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,7,14,13,24,16,24,10,0,0,117
