LGA_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
LGA22250,1674,931,888,1004,1294,1638,1688,1047,399,10562
LGA22310,25900,17621,22217,21757,20260,15832,12743,7123,3941,147403
LGA22410,3078,1943,1879,2056,2681,3295,2912,1488,576,19917
LGA22490,5496,2796,2517,3315,3659,3162,2465,989,260,24656
LGA22620,22734,14452,15733,14685,14648,15052,13027,7373,3075,120784
LGA22670,27477,19960,27775,23091,18510,16664,13275,8046,3441,158237
LGA22750,47765,32349,38040,34267,32937,31639,28367,16298,6801,268473
LGA22830,13221,8039,8958,8172,8555,8385,6911,4097,1642,67982
LGA22910,2378,1181,1314,1781,2424,2876,2765,1285,457,16472
LGA22980,848,514,608,536,656,907,770,536,274,5644
LGA23110,16807,8987,12358,14146,12786,10924,7892,4520,2109,90528
LGA23190,3740,2369,2561,2282,2443,2723,2168,1398,660,20356
LGA23270,54731,31811,40143,37150,28692,24614,16119,7823,2450,243524
LGA23350,3006,1537,1446,1899,2401,2744,2385,1206,398,17029
LGA23430,27075,16895,19755,22656,22718,18979,15019,9393,4374,156863
LGA23670,27136,18947,20172,22267,21481,20347,15666,8803,3576,158406
LGA23810,13752,8756,9913,8948,9303,10452,9053,5042,2029,77237
LGA23940,1156,636,635,684,978,1370,1303,639,304,7707
LGA24130,10186,5448,4407,6627,7771,6861,5697,2926,891,50802
LGA24210,20142,14645,13337,16031,16626,15722,12787,9935,4493,123723
LGA24250,1802,963,891,1148,1271,1682,1586,735,230,10315
LGA24330,13166,8996,19053,15110,10864,8154,5208,2655,1332,84526
LGA24410,20926,12870,14943,16764,15243,13421,10487,6385,2885,113926
LGA24600,10474,32105,53517,23836,12357,9670,6748,3280,1304,153293
LGA24650,43605,22599,28339,30503,22406,15036,10577,4291,1145,178500
LGA24780,10550,6463,7647,6697,7092,7465,6104,3496,1526,57048
LGA24850,10289,6014,7023,6558,6375,5856,4375,2144,719,49344
LGA24900,5061,2959,3085,3034,3718,4392,4338,2661,1031,30276
LGA24970,29638,27259,29322,25972,23754,19919,16104,12212,6202,190387
LGA25060,19467,14164,18292,17432,16849,13847,10613,6739,3179,120582
LGA25150,7590,4057,4694,5107,5025,4558,3780,1802,631,37238
LGA25250,26351,19504,36595,28310,20628,15663,10489,7535,4633,169709
LGA25340,27772,17554,14766,17943,22731,22783,22933,15255,5958,167690
LGA25430,2838,1575,1739,2258,2774,3278,3295,1755,653,20168
LGA25490,3287,1735,1731,1865,2243,2604,2283,1040,362,17156
LGA25620,2260,1387,1295,1590,2163,2597,2353,1197,338,15182
LGA25710,11644,8365,5532,7602,9793,9032,6364,2807,873,62007
LGA25810,1806,1144,1370,1166,1459,1899,1765,996,377,11979
LGA25900,11452,9000,22975,18112,14433,11347,7760,4109,1433,100625
LGA25990,1120,672,646,768,1121,1212,1271,592,189,7585
LGA26080,328,229,184,241,331,587,762,501,172,3331
LGA26170,5149,2836,2656,3120,3900,4772,4655,2374,854,30320
LGA26260,2818,1734,1700,1702,2008,2386,2259,1310,578,16508
LGA26350,11851,12534,23529,14857,12412,10437,8704,5954,2749,103030
LGA26430,1622,938,914,1128,1367,1910,2023,1048,426,11378
LGA26490,7443,3703,3688,5347,5176,4918,4443,2016,721,37457
LGA26610,3984,2309,3053,2704,2372,2881,2256,1319,594,21478
LGA26670,957,465,470,617,742,1073,984,498,209,6012
LGA26700,5194,3073,3094,3289,3864,4063,3719,2328,971,29597
LGA26730,6161,3990,4544,4250,4451,4555,3920,2294,1113,35280
LGA26810,7786,4763,5225,5229,5483,6512,6162,3027,1023,45200
LGA26890,669,313,365,386,510,676,597,314,141,3960
LGA26980,26906,22657,23585,23285,22643,18548,15034,10566,5442,168655
LGA27070,48710,27526,35795,37230,27832,22607,16991,8905,3327,228924
LGA27170,8670,5405,5868,5451,5186,4929,4233,2252,840,42837
LGA27260,74140,33993,50990,57034,31345,21859,14235,5994,1851,291436
LGA27350,9414,9049,26361,15027,10166,8365,6143,3235,1299,89061
LGA27450,28850,18048,18979,20188,21298,19828,15708,8338,2630,153862
LGA27630,1017,591,586,575,728,1109,970,596,278,6457
LGA29399,594,1115,827,479,530,464,249,59,8,4325
LGA29799,0,9,52,140,182,158,16,0,0,565
LGA30250,248,188,198,140,150,108,42,5,0,1085
LGA30300,862,525,553,497,623,683,585,254,68,4654
LGA30370,3062,1639,2062,2255,2202,2200,1510,849,261,16044
LGA30410,516,275,348,322,410,577,632,302,70,3446
LGA30450,45,67,39,38,61,96,108,47,0,497
LGA30760,309,193,214,217,239,346,386,187,62,2158
LGA30900,109,64,76,49,74,111,102,23,0,610
LGA31000,216728,171634,206045,189151,163213,126394,92569,52586,22646,1240959
LGA31750,57,58,70,76,74,105,80,21,0,541
LGA31820,16345,10409,10181,10060,12065,14499,15216,9022,2754,100544
LGA31900,2795,1821,1814,1731,2147,2464,2356,1359,498,16991
LGA31950,96,111,115,111,140,294,249,63,0,1171
LGA32080,32092,19841,22597,23053,24067,21928,17388,8303,2586,171857
LGA32250,510,363,358,321,376,594,697,273,17,3501
LGA32260,5231,2772,3319,3182,3790,5113,4936,2319,747,31411
LGA32270,6479,3513,4664,4809,4477,4206,2534,925,206,31821
LGA32310,2366,1497,1281,1434,1682,1878,1879,895,254,13169
LGA32330,423,196,165,120,116,100,33,16,5,1169
LGA32450,776,614,832,826,803,809,757,173,28,5612
LGA32500,994,565,967,797,971,1425,1227,298,24,7271
LGA32600,59,25,58,39,56,86,71,21,0,417
LGA32750,32,48,63,49,61,80,57,16,0,407
LGA32770,443,268,253,174,152,123,36,6,4,1458
LGA32810,2071,1154,1881,1702,2020,2771,2647,1120,222,15588
LGA33100,139,82,102,124,180,365,431,103,15,1535
LGA33200,272,165,240,139,243,314,323,115,31,1846
LGA33220,16898,10366,9527,10659,13187,17590,20235,11192,3237,112896
LGA33360,13731,7151,8002,8463,9080,9034,6465,2581,680,65201
LGA33430,110375,75840,86286,84805,83538,73299,63409,37082,13125,627764
LGA33610,2162,1035,1220,1245,1298,1444,1167,685,240,10486
LGA33620,8863,5238,4925,5493,6824,8474,8239,4206,1193,53449
LGA33800,1670,1035,960,969,1369,1936,2025,1151,459,11576
LGA33830,280,134,170,116,125,90,53,11,6,987
LGA33960,53555,30558,35120,32704,27384,22510,15490,7952,2604,227873
LGA33980,4677,3159,6148,6024,5759,4568,1776,542,102,32756
LGA34420,272,172,186,102,162,85,53,12,0,1040
LGA34530,7265,4218,4020,4565,4948,5961,5497,2732,769,39982
LGA34570,162,115,104,67,89,54,30,11,6,634
LGA34580,7804,5087,5088,4900,5266,5334,4215,2218,661,40580
LGA34590,77405,45820,49506,46721,42102,35456,27632,13712,4073,342435
LGA34710,721,397,492,492,494,682,668,241,92,4285
LGA34770,24514,14182,15117,15547,15629,15715,11612,5868,2007,120196
LGA34800,151,148,346,358,275,284,211,53,8,1834
LGA34830,128,73,88,54,47,54,31,9,0,467
LGA34860,2703,1528,1759,1779,1816,1871,1481,711,230,13870
LGA34880,3921,2394,2913,2689,3138,3413,3080,1705,479,23729
LGA35010,94285,56858,57917,61887,62629,54275,48115,26536,8475,470970
LGA35250,238,176,147,143,124,104,37,30,0,1001
LGA35300,4489,2782,3583,2906,2625,2500,1539,590,113,21134
LGA35600,697,382,552,417,534,785,608,240,117,4326
LGA35670,242,153,118,116,105,80,32,4,0,853
LGA35740,8533,5106,4349,6157,8190,9265,9583,5504,1680,58365
LGA35760,1581,993,1033,1015,1327,1620,1610,921,283,10383
LGA35780,990,479,463,359,314,348,225,29,5,3199
LGA35790,635,332,308,228,249,206,89,15,0,2070
LGA35800,373,142,206,166,231,353,368,152,40,2034
LGA36070,131,107,140,138,109,61,33,9,0,730
LGA36150,135,51,101,78,113,186,143,51,11,866
LGA36250,28393,18199,16030,19409,21510,21351,18597,10338,3815,157650
LGA36300,167,68,121,103,96,155,137,37,7,897
LGA36370,16675,10493,10996,10116,9552,9788,7728,4445,1789,81585
LGA36510,7581,4367,3926,4984,6120,6506,5764,3024,965,43250
LGA36580,4641,2508,2456,2895,3382,3733,3425,1642,350,25036
LGA36630,5621,3408,3212,3145,4004,4872,5149,2713,813,32938
LGA36660,6277,3668,3472,3518,4493,5362,5415,3019,999,36217
LGA36720,59777,37482,37745,42085,45335,44808,41863,25159,9216,343461
LGA36820,4581,2508,2450,2685,3461,4473,4567,2266,723,27711
LGA36910,33971,22078,21710,20266,20705,20319,17881,11211,4365,172512
LGA36950,939,542,571,499,455,430,220,63,12,3736
LGA36960,1263,497,620,509,409,352,202,66,18,3933
LGA37010,37254,27757,27629,24794,24428,22887,17901,8816,2780,194244
LGA37300,1058,565,870,681,674,492,155,43,5,4537
LGA37310,7230,4009,4839,4386,4746,4499,3540,1828,620,35708
LGA37340,6631,4186,6111,5235,5526,6503,5690,2317,542,42752
LGA37400,199,104,158,146,227,365,410,122,23,1748
LGA37550,357,161,168,98,110,70,36,8,0,1009
LGA37570,77,31,54,29,36,36,13,8,0,279
LGA37600,745,474,393,273,257,211,94,31,3,2494
LGA39799,6,24,87,111,79,34,14,0,0,354
LGA40070,1754,6386,6708,3763,2900,2887,2611,1377,594,28990
LGA40120,7258,4675,3396,4770,5998,5808,4834,2317,755,39817
LGA40150,1838,1125,1219,1161,1431,1458,911,403,91,9638
LGA40220,4062,2446,2189,2596,3425,4317,5165,3017,931,28142
LGA40250,561,440,479,314,286,218,80,27,19,2426
LGA40310,4380,2534,2298,2963,3371,3513,3227,1750,675,24713
LGA40430,384,163,175,188,306,459,525,309,111,2612
LGA40520,1667,1148,1152,1119,1340,1536,1480,745,352,10545
LGA40700,7773,5742,4185,5623,6182,5614,5403,3556,1567,45644
LGA40910,8895,6431,7445,7395,6922,6232,5082,4012,1896,54305
LGA41010,731,364,492,393,501,508,487,193,47,3727
LGA41060,18458,13828,18109,15645,15603,15274,12301,7679,3727,120629
LGA41140,1530,797,863,976,1209,1454,1364,757,261,9206
LGA41190,338,144,186,172,216,287,234,122,57,1759
LGA41330,239,131,245,220,246,383,398,247,28,2138
LGA41560,2148,1225,1272,1344,1714,2388,2674,1586,516,14870
LGA41750,209,80,109,130,117,234,192,72,20,1150
LGA41830,243,129,177,149,193,337,399,172,49,1848
LGA41960,199,92,134,133,153,214,238,101,29,1290
LGA42030,4378,2903,3092,2834,2953,3331,2613,1824,830,24760
LGA42110,635,339,340,376,499,776,660,324,107,4054
LGA42250,1447,899,791,1118,1304,1308,1028,422,134,8450
LGA42600,4982,3889,3948,4336,4761,5366,5265,3057,1521,37129
LGA42750,792,358,515,520,620,894,819,394,120,5027
LGA43080,158,84,90,88,124,164,143,75,41,964
LGA43220,223,68,110,129,119,152,113,80,37,1033
LGA43360,319,202,209,221,249,344,403,216,86,2249
LGA43650,3148,2076,1548,1869,2248,2236,1512,686,223,15548
LGA43710,1188,488,534,747,841,892,785,320,79,5884
LGA43790,2007,1091,1189,1155,1497,1633,1711,967,393,11634
LGA44000,19,13,14,9,21,22,10,4,0,102
LGA44060,15220,11147,14044,13200,11194,11086,9668,5203,2705,93468
LGA44210,1187,697,736,815,1230,1740,1798,817,211,9224
LGA44340,11643,8386,7056,8569,9203,8216,7171,4688,2268,67204
LGA44550,7632,4590,4798,4952,5191,4617,3967,2002,739,38477
LGA44620,4873,3149,3415,3054,3314,3336,2919,1797,796,26653
LGA44830,429,208,230,259,381,647,597,289,87,3123
LGA45040,3655,2383,2629,2377,2656,2935,2502,1638,618,21394
LGA45090,1603,845,1044,1134,1060,1146,947,562,210,8558
LGA45120,816,378,386,468,528,720,672,390,135,4495
LGA45290,5322,4544,5692,4873,4533,4464,3826,2578,1345,37173
LGA45340,30964,19917,21070,22218,22331,21776,19686,10483,3855,172314
LGA45400,148,65,77,89,96,153,161,68,52,907
LGA45540,206,133,116,159,212,322,326,170,45,1683
LGA45680,22658,13087,15693,12613,11171,10820,7139,3941,1594,98729
LGA45890,22303,15438,22226,19691,16071,15154,11475,6120,2967,131443
LGA46090,2576,1551,2150,1698,1757,1961,1510,835,263,14311
LGA46300,2582,1618,1796,1611,1772,1886,1609,956,429,14250
LGA46450,3044,2019,1912,1757,2218,2410,2085,1348,513,17307
LGA46510,3844,2751,3536,3203,2726,2711,1904,863,474,22009
LGA46670,1593,1083,1254,1074,1277,1427,1312,674,274,9951
LGA46860,233,113,145,163,198,298,292,159,26,1624
LGA46970,997,639,1725,1404,1087,744,113,20,3,6740
LGA47140,28361,18827,21140,20319,17475,16259,12626,7044,2574,144634
LGA47290,323,177,246,246,244,296,247,138,69,1987
LGA47490,409,126,203,231,276,376,424,139,58,2240
LGA47630,1243,739,876,840,951,909,722,408,169,6859
LGA47700,17465,11657,11965,13330,13001,12278,10976,6737,2464,99881
LGA47800,881,492,593,536,631,907,732,483,138,5406
LGA47910,475,193,235,271,336,453,480,278,120,2824
LGA47980,6016,4438,4734,4993,5005,4569,4273,2575,1574,38181
LGA48050,2000,1128,1035,1278,1561,2292,3399,2313,900,15907
LGA48130,1284,708,667,713,851,989,878,455,189,6740
LGA48260,1211,979,911,962,1062,1006,980,638,338,8090
LGA48340,1895,1182,1015,1210,1576,1842,1688,846,305,11556
LGA48410,8965,7698,10985,8608,7256,6706,5062,3592,2307,61183
LGA48540,3807,2464,2794,2393,2998,3064,2114,1407,447,21484
LGA48640,243,92,111,142,151,188,139,64,43,1176
LGA48750,787,430,370,490,697,1069,1226,563,174,5808
LGA48830,1581,742,877,986,1205,2138,2413,1313,419,11678
LGA49399,471,554,1012,855,1096,1273,793,191,29,6261
LGA49799,0,0,0,16,10,0,0,0,0,34
LGA50080,6798,4196,4154,4214,4881,5284,4591,2784,1144,38047
LGA50210,22012,10594,13720,15076,10646,9021,6873,3278,1023,92236
LGA50250,1763,1055,3120,3053,2872,2293,1033,233,18,15435
LGA50280,3371,1253,1755,2546,2381,2248,1843,741,286,16423
LGA50350,2779,1604,2142,2316,2070,1915,1518,815,353,15517
LGA50420,11004,7264,11283,10380,8510,7565,6425,3793,1627,67849
LGA50490,6730,4915,8381,6485,4985,4417,3207,1794,868,41791
LGA50560,207,101,117,155,212,284,333,164,50,1616
LGA50630,375,138,244,294,324,324,199,83,20,2005
LGA50770,364,136,128,208,231,291,237,163,32,1784
LGA50840,865,395,408,539,693,887,875,403,104,5172
LGA50910,157,63,77,98,135,126,121,86,41,905
LGA50980,4631,2146,3558,3382,3083,3717,3626,1114,138,25391
LGA51080,224,86,116,127,123,177,98,55,14,1017
LGA51120,179,80,108,113,123,137,136,64,23,968
LGA51190,5429,3551,4177,4049,4247,4309,3640,2064,957,32415
LGA51260,7738,3657,3812,5029,5335,5270,5335,2839,1039,40061
LGA51310,5679,3421,2729,3693,4281,3505,2526,1618,957,28418
LGA51330,17397,13571,14490,13722,11426,9792,7894,4215,1562,94067
LGA51400,4024,2215,1802,2335,2583,2154,1538,662,132,17447
LGA51470,66,48,54,90,68,97,93,47,4,567
LGA51540,1194,619,914,851,972,1348,1569,593,98,8164
LGA51610,316,141,116,192,253,250,187,66,9,1530
LGA51680,1112,652,474,655,883,935,623,298,74,5707
LGA51710,280,155,392,321,318,264,205,42,4,1979
LGA51750,1773,1558,1155,1159,1434,1234,1133,991,522,10949
LGA51820,22912,13834,17264,17903,15271,12482,9213,4689,1796,115368
LGA51860,128,52,77,84,76,143,89,42,10,709
LGA51890,1551,912,902,993,1117,1257,1124,548,179,8585
LGA51960,686,464,765,684,780,645,339,88,14,4478
LGA52030,137,59,87,92,109,224,214,103,23,1052
LGA52100,167,79,109,116,113,134,152,68,38,964
LGA52170,1245,1004,827,811,1082,1037,890,541,205,7636
LGA52240,200,79,87,133,156,173,135,78,12,1043
LGA52310,141,65,79,72,128,161,138,60,12,864
LGA52380,8,45,102,74,102,110,89,29,0,559
LGA52450,259,254,149,147,138,153,136,62,24,1318
LGA52520,298,113,169,206,151,219,131,74,32,1392
LGA52590,480,253,421,412,474,645,641,263,70,3649
LGA52660,2987,1500,1747,1842,1770,1662,1372,856,358,14086
LGA52730,1099,523,435,727,823,1025,1002,538,160,6328
LGA52800,1761,1139,1546,1205,1161,1265,936,198,34,9242
LGA52870,1024,537,483,649,801,949,903,454,120,5931
LGA52940,139,55,51,83,96,86,119,38,10,685
LGA53010,123,39,77,96,103,112,83,38,4,670
LGA53080,87,83,159,105,213,188,161,46,10,1048
LGA53150,1362,895,710,893,1156,1046,813,463,259,7605
LGA53220,1566,1584,4953,4692,4062,2818,805,125,9,20614
LGA53290,2717,1529,1568,1660,1867,1872,1461,895,284,13849
LGA53360,844,470,898,768,731,1025,1265,416,44,6465
LGA53430,4560,3234,4389,4443,4284,4344,3522,1892,876,31539
LGA53570,774,456,581,540,707,837,905,451,84,5336
LGA53640,250,97,182,157,148,178,140,34,8,1205
LGA53710,165,75,67,112,121,158,157,67,24,940
LGA53780,26295,16183,17259,19420,15724,12590,9967,5071,1864,124367
LGA53800,7870,4561,4604,4810,5174,5090,4166,2193,842,39311
LGA53920,989,667,752,653,578,585,500,125,17,4870
LGA53990,5964,3143,3113,3619,3555,3529,2840,1391,394,27553
LGA54060,569,302,269,387,479,673,741,388,81,3893
LGA54130,247,73,133,161,147,185,146,42,10,1142
LGA54170,29839,19062,15776,20727,21990,20733,17272,7717,2839,155950
LGA54200,11346,6677,6197,7748,7552,6896,5990,3511,1264,57181
LGA54280,6412,3686,5139,4684,4145,3679,1949,697,197,30581
LGA54310,5631,2576,4997,5350,4197,3000,1392,360,24,27539
