LGA_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Prim_Other_Non_Govt_M,Prim_Other_Non_Govt_F,Prim_Other_Non_Govt_P,Primary_Tot_M,Primary_Tot_F,Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_Ed_Ft_15_24_yr_M,Tert_Voc_Ed_Ft_15_24_yr_F,Tert_Voc_Ed_Ft_15_24_yr_P,Tert_Voc_Ed_Ft_25_yr_over_M,Tert_Voc_Ed_Ft_25_yr_over_F,Tert_Voc_Ed_Ft_25_yr_over_P,Tert_Voc_Ed_Pt_15_24_yr_M,Tert_Voc_Ed_Pt_15_24_yr_F,Tert_Voc_Ed_Pt_15_24_yr_P,Tert_Voc_Ed_Pt_25_yr_over_M,Tert_Voc_Ed_Pt_25_yr_over_F,Tert_Voc_Ed_Pt_25_yr_over_P,Tert_Voc_Ed_Ft_Pt_st_ns_M,Tert_Voc_Ed_Ft_Pt_st_ns_F,Tert_Voc_Ed_Ft_Pt_st_ns_P,Tert_Voc_Ed_Tot_M,Tert_Voc_Ed_Tot_F,Tert_Voc_Ed_Tot_P,Tert_Uni_oth_edu_Ft_15_24_M,Tert_Uni_oth_edu_Ft_15_24_F,Tert_Uni_oth_edu_Ft_15_24_P,Tert_Uni_oth_edu_Ft_25ov_M,Tert_Uni_oth_edu_Ft_25ov_F,Tert_Uni_oth_edu_Ft_25ov_P,Tert_Uni_oth_edu_Pt_15_24_M,Tert_Uni_oth_edu_Pt_15_24_F,Tert_Uni_oth_edu_Pt_15_24_P,Tert_Uni_oth_edu_Pt_25ov_M,Tert_Uni_oth_edu_Pt_25ov_F,Tert_Uni_oth_edu_Pt_25ov_P,Tert_Uni_oth_edu_F_Pt_st_ns_M,Tert_Uni_oth_edu_F_Pt_st_ns_F,Tert_Uni_oth_edu_F_Pt_st_ns_P,Tert_Uni_oth_edu_Tot_M,Tert_Uni_oth_edu_Tot_F,Tert_Uni_oth_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Oth_type_Edu_inst_Ftime_stu_M,Oth_type_Edu_inst_Ftime_stu_F,Oth_type_Edu_inst_Ftime_stu_P,Oth_type_Edu_inst_Ptime_stu_M,Oth_type_Edu_inst_Ptime_stu_F,Oth_type_Edu_inst_Ptime_stu_P,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_M,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_F,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_P,Oth_type_educ_institut_Tot_M,Oth_type_educ_institut_Tot_F,Oth_type_educ_institut_Tot_P,Type_educ_institution_ns_M,Type_educ_institution_ns_F,Type_educ_institution_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
LGA10800,55,56,114,186,179,361,49,56,105,5,0,8,241,238,476,140,126,264,9,10,22,8,13,23,152,153,304,7,5,8,3,4,5,19,18,39,13,42,58,0,0,0,43,68,110,3,20,19,5,5,7,4,7,14,8,36,44,0,0,0,21,62,86,61,133,201,0,0,5,5,6,15,0,0,0,7,7,14,323,261,586,6,0,7,846,850,1696
LGA10850,93,88,185,282,283,568,40,53,94,22,23,40,341,355,697,163,157,317,54,53,104,58,52,105,271,257,526,4,8,15,5,16,20,39,30,63,26,50,79,0,0,0,78,106,183,11,30,42,4,14,18,8,5,12,21,68,88,0,0,0,39,120,157,116,226,342,3,3,10,10,14,23,0,0,0,9,21,30,253,235,493,0,0,0,1086,1183,2274
LGA10900,845,794,1638,2334,2262,4591,423,388,814,497,436,938,3255,3092,6345,1690,1645,3331,519,488,1007,579,517,1105,2795,2654,5444,120,136,259,97,153,253,376,201,572,318,603,918,3,3,6,919,1091,2004,527,648,1171,183,346,525,123,135,258,441,890,1330,0,8,8,1274,2019,3289,2194,3117,5306,73,86,159,123,223,351,3,3,6,203,311,513,1152,1248,2401,41,41,84,10475,11262,21735
LGA10950,34,28,60,56,58,109,57,49,105,0,0,0,111,106,218,57,65,124,3,3,5,5,7,15,65,82,145,0,3,3,0,0,4,20,10,28,9,19,27,0,0,0,34,37,69,4,0,10,0,3,3,0,0,6,3,19,18,0,0,0,8,29,39,49,65,109,0,3,9,0,5,5,0,0,0,3,6,11,117,98,216,0,0,5,377,383,766
LGA11150,31,13,49,47,46,93,41,51,87,6,3,10,97,94,192,27,26,61,7,17,26,3,0,5,44,43,84,6,0,7,3,0,3,9,5,12,5,20,20,0,0,0,16,29,49,3,10,13,0,6,6,0,8,4,0,17,13,0,0,0,12,34,46,31,59,88,6,0,9,0,10,7,0,0,0,6,9,18,235,225,458,4,0,11,447,454,903
LGA11200,16,9,23,49,31,80,10,21,31,0,0,0,65,51,114,36,30,62,0,0,0,0,0,4,35,35,70,0,0,0,0,3,0,4,0,3,6,8,13,0,0,0,9,14,23,4,8,8,3,0,4,0,0,0,0,5,3,0,0,0,9,17,20,13,32,47,0,0,0,0,0,0,0,0,0,0,0,0,117,116,235,0,0,4,242,247,494
LGA11250,164,157,324,553,536,1091,74,74,149,5,7,11,641,620,1257,437,453,885,0,0,0,4,9,14,444,457,900,28,15,41,16,27,51,72,55,128,77,148,225,0,0,5,193,247,443,14,37,61,20,52,75,10,19,24,57,138,189,0,3,3,101,248,347,296,500,798,11,12,25,17,41,60,0,0,5,34,49,84,763,815,1579,7,10,15,2339,2611,4955
LGA11300,254,263,516,616,645,1259,270,278,545,116,160,278,1008,1084,2090,415,544,959,309,276,580,209,268,483,934,1091,2021,227,160,388,198,268,466,165,90,256,225,288,509,4,6,7,811,812,1619,1192,1263,2454,471,482,948,169,134,304,190,255,442,7,10,15,2026,2139,4167,2844,2958,5799,273,318,588,264,300,558,3,0,3,537,616,1154,1110,1158,2265,97,82,177,6783,7254,14036
LGA11350,312,294,606,816,785,1602,163,166,332,271,284,560,1253,1241,2493,522,467,991,178,195,375,284,310,593,983,979,1960,30,42,67,70,151,218,102,80,178,207,324,528,5,0,4,408,596,1003,84,149,235,86,199,286,29,47,76,129,349,476,0,0,3,333,741,1078,743,1341,2080,24,38,66,98,196,293,0,0,0,128,239,362,1784,1839,3622,84,77,157,5288,6000,11281
LGA11400,141,144,283,472,450,922,128,124,250,75,64,134,673,634,1308,263,243,502,116,125,240,138,144,279,517,506,1023,9,13,21,10,6,14,71,40,113,50,71,119,4,0,4,131,137,273,36,69,104,10,18,21,13,24,35,32,86,116,0,0,0,91,186,275,220,325,548,5,13,20,7,31,36,0,0,0,15,46,60,479,509,992,0,7,5,2057,2165,4222
LGA11450,1993,1788,3783,4286,4143,8427,1264,1338,2600,828,868,1696,6386,6356,12742,2283,2150,4429,1376,1348,2728,749,753,1507,4418,4260,8681,157,224,383,110,223,334,689,337,1030,473,790,1257,5,0,9,1437,1573,3012,813,1341,2154,220,453,674,165,237,397,423,812,1242,0,9,7,1620,2853,4474,3063,4432,7495,127,149,277,219,353,575,3,4,8,357,507,859,1853,1968,3827,68,96,168,18138,19411,37549
LGA11500,2043,1805,3848,6233,5921,12154,1125,1174,2299,1123,1061,2179,8502,8170,16671,4145,3933,8077,1343,1348,2691,734,771,1505,6235,6071,12305,256,335,593,324,578,903,627,329,957,685,1144,1824,9,8,13,1898,2395,4298,1562,2020,3582,578,839,1415,238,298,532,520,879,1401,9,14,21,2903,4051,6953,4822,6465,11286,256,340,594,342,533,875,6,5,10,604,883,1485,5107,5388,10491,147,169,324,27458,28949,56409
LGA11520,916,806,1713,1656,1633,3286,1054,989,2046,351,414,768,3068,3036,6110,839,819,1656,1060,1045,2104,611,658,1273,2517,2529,5040,128,155,284,188,298,479,232,127,358,365,589,956,0,5,7,919,1167,2084,1267,1419,2689,495,589,1078,211,190,400,479,707,1179,4,7,16,2457,2910,5366,3389,4081,7470,184,159,340,289,420,709,4,3,9,472,586,1057,1963,2153,4114,99,130,227,12416,13313,25734
LGA11570,3829,3448,7271,9677,8783,18458,3565,3441,7003,2727,2742,5471,16002,14997,30990,7472,7068,14544,3395,3238,6631,2118,2218,4333,13016,12552,25572,876,732,1613,1230,1434,2664,1224,527,1747,1464,2184,3647,26,37,61,4819,4910,9722,5339,6077,11417,2085,1825,3905,670,745,1418,1179,1568,2750,31,29,53,9305,10242,19545,14160,15182,29344,1204,897,2104,1048,1360,2408,38,27,62,2281,2287,4567,13235,12418,25654,340,379,715,62865,61254,124116
LGA11600,25,35,58,101,93,195,16,28,44,0,0,0,122,122,240,58,52,111,14,13,24,3,0,5,74,65,135,0,0,4,3,7,12,11,10,20,5,19,29,0,0,0,24,37,65,0,11,12,3,5,10,5,6,6,3,12,24,0,0,0,16,34,45,37,69,109,0,0,3,6,10,15,0,0,0,7,13,23,198,158,353,13,5,18,474,459,937
LGA11650,4261,3854,8112,10310,9476,19790,2343,2272,4612,1804,1617,3420,14483,13396,27879,7326,7055,14378,2018,1953,3968,1789,1873,3663,11155,10886,22046,415,573,997,339,654,993,1791,1009,2795,1415,2602,4023,24,21,46,3988,4859,8845,1875,2755,4632,659,1185,1844,414,640,1049,1030,2286,3315,11,20,32,3983,6890,10872,7985,11759,19740,259,314,565,503,823,1327,13,10,17,768,1146,1912,8532,9721,18252,177,174,354,47362,50928,98295
LGA11700,15,13,25,46,41,95,5,8,7,0,0,0,53,47,102,22,31,57,0,0,0,0,4,4,28,37,60,0,0,0,0,0,4,0,3,3,3,12,13,0,0,0,6,16,16,0,0,0,0,0,0,0,5,6,3,9,6,0,0,0,6,16,17,7,28,39,0,5,5,0,10,6,0,0,0,0,9,10,246,211,459,0,0,0,352,344,694
LGA11720,850,749,1595,1994,1932,3925,524,508,1027,324,276,600,2841,2714,5560,1343,1322,2658,316,303,622,313,322,633,1973,1947,3916,87,110,198,54,137,193,311,236,544,246,521,766,7,0,5,701,1002,1708,164,319,482,64,164,233,48,116,163,132,370,501,0,4,4,410,977,1385,1120,1979,3092,64,61,124,90,139,230,0,0,0,158,197,358,3020,1477,4491,13,30,43,9969,9093,19062
LGA11730,480,457,944,1519,1389,2911,290,280,567,192,149,339,2004,1822,3826,1103,1059,2166,243,265,501,210,151,359,1556,1473,3029,51,62,115,49,110,163,176,132,304,182,363,547,9,0,3,462,671,1129,54,129,183,35,117,149,32,51,84,113,295,413,3,0,5,237,603,837,702,1268,1968,29,35,67,57,100,160,0,5,6,88,139,227,2828,1968,4794,67,19,84,7730,7150,14875
LGA11750,44,33,74,79,104,183,59,68,124,7,8,14,146,179,323,93,89,187,5,3,5,4,5,11,105,97,207,4,0,4,5,3,10,16,8,28,19,31,55,0,0,0,47,46,95,7,11,19,4,0,3,0,7,7,18,25,36,0,0,0,25,43,70,71,91,167,0,0,0,0,10,12,0,0,0,3,10,12,406,319,728,3,6,3,782,722,1509
LGA11800,840,798,1640,2135,2009,4145,684,719,1405,444,420,860,3273,3153,6424,1510,1553,3060,481,472,955,468,478,939,2464,2500,4961,111,138,254,121,197,324,345,240,583,438,678,1115,0,7,8,1021,1268,2282,230,445,668,130,242,374,55,109,163,239,539,777,4,0,6,654,1340,1992,1675,2605,4286,64,72,139,100,191,298,9,4,13,175,275,444,2432,2592,5020,141,132,278,10992,12056,23047
LGA12000,62,44,101,122,146,272,59,55,113,5,5,9,186,204,390,89,101,189,29,23,44,35,36,65,144,155,305,10,3,14,4,5,12,21,10,30,11,17,28,0,0,0,43,34,82,14,24,35,4,8,16,3,4,6,9,28,36,0,0,0,24,66,92,68,100,170,7,9,16,10,7,19,0,0,0,16,19,30,128,135,264,0,0,0,604,662,1261
LGA12150,40,39,80,93,68,162,70,54,115,0,0,0,158,124,284,91,65,156,6,3,12,9,22,31,107,93,207,0,5,3,0,5,5,4,5,13,3,24,28,0,0,0,9,36,46,8,16,19,0,4,5,0,0,0,7,20,31,0,0,0,16,44,60,25,79,104,0,0,0,0,4,5,0,0,0,0,4,8,255,284,539,3,0,3,595,621,1213
LGA12160,116,111,227,306,277,577,139,117,254,6,9,21,450,404,852,235,177,411,99,108,210,29,28,62,369,318,686,9,16,28,8,8,13,41,30,70,29,71,98,0,0,0,84,127,211,12,40,56,9,10,22,0,13,16,13,43,53,0,0,0,33,104,140,111,237,351,3,9,15,7,17,27,0,0,0,13,26,36,514,431,949,10,9,19,1582,1535,3118
LGA12350,125,130,255,341,309,652,114,104,218,10,14,27,468,428,895,267,236,499,73,117,193,26,22,47,368,379,739,10,11,22,7,9,22,56,48,101,46,92,137,0,0,0,120,162,285,13,35,45,4,16,24,11,12,27,17,55,70,0,0,0,48,120,166,172,278,451,5,6,13,11,17,30,0,0,0,19,25,43,544,513,1057,7,7,7,1696,1755,3454
LGA12380,2376,2085,4460,6535,6226,12765,2258,2240,4497,1141,1162,2300,9968,9666,19630,4228,4035,8260,2023,2128,4153,962,984,1945,7236,7158,14397,798,647,1454,969,1154,2124,713,397,1110,1044,1498,2538,11,16,22,3532,3710,7245,3655,4003,7666,1547,1567,3111,507,502,1015,716,952,1669,32,21,51,6465,7051,13512,10037,10790,20823,1268,924,2189,1013,999,2009,34,16,54,2317,1938,4254,9720,8253,17970,284,290,576,41937,40173,82113
LGA12390,672,681,1356,1506,1414,2920,611,659,1269,323,276,601,2438,2352,4791,950,928,1884,449,444,893,278,283,558,1685,1661,3338,60,90,155,63,99,166,252,189,446,230,426,659,3,0,9,610,815,1419,91,232,323,81,150,233,24,72,97,159,394,551,0,0,3,365,839,1204,975,1654,2630,64,59,123,94,116,213,0,4,9,164,174,335,2792,2372,5161,34,33,69,8756,8927,17689
LGA12700,113,107,221,337,296,633,61,72,125,26,29,52,423,391,812,219,207,420,46,42,89,35,33,74,295,285,579,5,8,16,6,9,17,61,34,88,29,41,69,0,0,0,98,93,192,24,42,66,6,21,28,8,13,19,29,65,98,0,3,3,66,153,215,166,253,411,0,8,8,4,16,30,0,0,0,4,26,33,186,207,396,0,0,0,1196,1273,2464
LGA12730,82,68,152,239,199,436,76,81,159,11,13,25,325,290,618,205,208,413,8,25,29,23,30,55,239,263,502,6,15,22,4,11,11,38,29,70,29,56,85,0,0,0,75,110,186,6,16,27,0,8,12,0,17,15,14,40,55,0,0,0,27,85,116,100,199,300,0,4,5,9,18,26,3,0,3,12,22,31,401,381,779,4,6,8,1160,1228,2388
LGA12750,302,260,565,940,846,1788,252,265,512,109,93,203,1302,1205,2508,654,612,1269,217,237,456,154,158,306,1029,1001,2034,35,27,58,26,51,76,154,109,263,142,255,402,8,3,13,365,450,815,66,120,189,24,89,108,24,32,52,83,211,295,3,0,7,201,450,653,568,897,1463,20,21,33,39,98,136,0,0,0,55,113,170,1590,1603,3195,26,16,44,4876,5101,9982
LGA12850,1546,1352,2892,5914,5427,11345,1880,1825,3704,525,528,1054,8358,7802,16155,6033,5566,11604,1521,1715,3237,517,578,1089,8081,7886,15967,509,520,1026,556,923,1482,632,275,907,754,1175,1928,14,15,31,2471,2901,5369,2880,3625,6502,601,665,1267,371,401,776,337,517,857,13,16,33,4203,5228,9431,6692,8160,14858,476,593,1065,576,986,1563,35,26,62,1081,1609,2689,6541,6496,13039,146,172,319,32444,33479,65920
LGA12870,123,107,231,351,332,682,111,91,197,4,10,13,465,432,895,242,256,493,49,71,118,24,28,49,308,354,665,11,18,26,12,18,32,45,36,81,32,90,124,0,0,0,101,158,258,16,37,56,4,21,24,6,13,15,7,49,56,0,0,0,34,119,150,135,282,414,11,11,20,9,22,31,0,0,0,19,29,48,496,419,917,5,16,17,1552,1640,3183
LGA12900,115,111,225,255,265,524,138,150,289,15,12,28,410,432,838,112,124,233,193,216,407,16,15,34,324,354,678,9,9,18,0,9,15,43,35,73,22,73,88,5,0,5,80,118,203,17,17,38,0,21,23,4,24,27,18,58,76,0,0,0,44,123,167,124,243,366,3,10,16,13,23,39,0,5,5,16,34,48,402,378,782,10,0,10,1401,1549,2948
LGA12930,1482,1238,2717,3844,3442,7281,1248,1198,2441,539,630,1168,5635,5276,10915,2690,2310,5002,1178,1385,2558,759,818,1579,4636,4519,9150,440,302,739,468,576,1043,529,236,769,697,1021,1717,14,3,21,2151,2142,4294,2802,2956,5767,1015,1084,2102,336,366,706,571,817,1388,10,12,19,4751,5234,9981,6924,7385,14309,539,484,1023,456,562,1023,9,15,28,1008,1061,2068,3392,3788,7178,194,188,383,23267,23454,46724
LGA12950,53,45,89,97,83,179,73,88,161,0,3,4,172,167,340,96,86,187,14,5,17,8,19,28,118,118,230,0,4,3,3,9,11,10,9,14,5,25,31,0,0,0,24,47,69,5,7,8,0,5,5,0,3,3,0,11,16,0,0,0,7,23,27,27,70,99,0,0,0,5,6,3,0,0,0,3,6,8,279,267,538,3,0,3,646,664,1317
LGA13010,59,62,117,230,204,438,53,98,148,12,0,10,298,299,598,217,213,432,4,11,8,8,14,19,231,234,461,8,15,18,4,14,16,24,28,55,31,64,99,0,0,0,68,117,181,8,21,32,11,18,29,7,13,16,4,48,49,0,0,0,31,93,124,99,218,313,4,5,4,5,20,22,0,0,0,4,16,29,576,481,1065,9,5,12,1276,1316,2588
LGA13310,334,312,642,976,927,1901,279,277,555,32,31,67,1291,1236,2531,713,664,1383,209,193,400,38,29,73,962,892,1851,57,44,98,34,39,70,163,129,292,154,258,411,0,3,7,406,468,876,189,179,373,133,116,249,16,46,64,95,215,313,0,4,4,432,560,998,843,1030,1874,78,56,139,47,67,116,0,0,0,122,133,252,1521,1001,2523,21,16,38,5090,4623,9718
LGA13340,127,106,239,309,270,582,87,96,179,113,103,218,506,471,974,238,218,457,62,43,108,159,160,317,456,422,878,7,10,21,7,15,16,45,24,73,33,68,102,3,0,3,94,120,211,22,45,61,11,19,25,8,10,14,19,57,82,0,0,0,53,134,185,144,256,400,13,6,18,6,22,29,0,0,0,22,32,56,473,449,919,4,0,4,1735,1735,3470
LGA13450,302,286,583,863,771,1634,244,291,537,39,35,72,1149,1097,2248,474,438,909,393,409,799,27,23,54,893,872,1760,25,27,51,23,43,66,153,81,236,104,191,295,6,0,4,300,347,648,67,99,169,32,60,91,34,47,84,66,123,190,0,0,3,197,332,533,500,682,1184,33,29,65,38,77,111,5,0,9,74,104,177,1196,1073,2271,91,41,137,4207,4153,8356
LGA13550,196,155,350,412,352,760,174,173,348,80,69,148,661,590,1254,170,133,303,125,196,321,74,68,139,369,395,771,12,11,21,10,14,25,56,44,99,53,119,170,0,0,0,135,187,321,25,43,64,9,17,24,6,21,26,23,109,128,0,0,0,59,184,240,188,370,560,9,6,20,8,34,40,0,0,0,17,40,56,604,555,1158,25,5,29,2065,2122,4183
LGA13660,45,55,95,193,173,367,28,21,47,3,4,9,225,203,425,93,101,203,0,6,10,27,20,48,124,133,256,0,0,0,0,0,0,15,17,28,8,28,42,0,0,0,24,44,68,6,17,19,0,7,6,0,7,11,8,14,27,0,0,0,16,47,61,40,87,132,4,6,12,7,7,12,0,0,0,10,13,21,231,224,463,0,0,3,676,721,1396
LGA13800,827,731,1554,2117,1956,4075,402,450,852,378,333,707,2906,2741,5646,1161,1114,2273,600,562,1162,506,501,1005,2261,2185,4447,96,131,224,62,139,194,558,245,804,251,474,724,3,0,8,965,985,1950,325,621,946,108,267,372,101,125,229,158,362,522,0,4,4,689,1379,2067,1655,2370,4028,66,70,140,77,158,235,0,3,4,148,236,377,1537,1463,3002,38,33,67,9369,9750,19118
LGA13850,25,32,55,86,73,167,10,13,25,0,0,0,99,92,195,58,60,121,0,5,3,6,4,8,60,69,133,0,0,3,0,3,0,8,8,14,7,24,30,0,0,0,16,35,53,5,9,7,0,0,0,0,0,0,0,8,11,0,0,0,12,19,26,29,55,80,0,3,0,0,5,7,0,0,0,6,4,7,188,167,348,0,0,0,401,415,818
LGA13910,215,186,402,600,550,1144,208,190,395,32,47,77,836,785,1623,323,325,651,231,221,451,39,53,87,590,600,1186,16,17,36,13,35,50,79,76,154,50,136,186,5,5,3,166,269,430,31,58,94,9,35,40,8,24,28,29,84,111,0,0,0,74,201,276,236,478,713,16,16,33,9,31,37,0,0,0,21,46,70,745,704,1452,4,10,18,2654,2805,5466
