LGA_CODE_2021,P_Oth_svc_15_19_yr,P_Oth_svc_20_24_yr,P_Oth_svc_25_34_yr,P_Oth_svc_35_44_yr,P_Oth_svc_45_54_yr,P_Oth_svc_55_64_yr,P_Oth_svc_65_74_yr,P_Oth_svc_75_84_yr,P_Oth_svc_85_yr_over,P_Oth_svc_Tot,P_Inad_desc_Ns_15_19,P_Inad_desc_Ns_20_24,P_Inad_desc_Ns_25_34,P_Inad_desc_Ns_35_44,P_Inad_desc_Ns_45_54,P_Inad_desc_Ns_55_64,P_Inad_desc_Ns_65_74,P_Inad_desc_Ns_75_84,P_Inad_desc_Ns_85_yr_over,P_Inad_desc_Ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
LGA11650,282,570,1230,1238,1229,969,256,26,0,5790,311,551,1210,1283,1313,947,303,102,24,6051,9800,13194,28593,31952,33226,26259,6709,811,69,150616
LGA11700,0,0,6,0,4,0,0,0,0,11,4,9,0,0,6,9,0,0,0,30,19,44,110,81,118,142,69,25,0,607
LGA11720,87,158,390,221,210,128,25,10,0,1238,90,133,290,228,215,170,53,13,5,1186,1796,2641,6491,5699,5453,3922,976,112,14,27097
LGA11730,45,67,141,136,193,150,35,0,0,772,65,72,155,150,165,166,68,17,6,857,1303,1480,3318,3604,4416,4374,1289,180,22,19995
LGA11750,0,6,14,13,9,14,3,0,0,60,10,5,14,10,14,15,9,0,0,62,99,158,459,411,370,399,118,23,7,2034
LGA11800,85,137,313,290,282,199,62,3,0,1379,88,124,276,322,260,214,83,21,3,1389,2385,2597,6510,7118,7508,6177,1802,171,20,34286
LGA12000,11,9,18,17,6,11,4,0,0,70,5,11,12,11,19,14,6,4,3,75,132,137,345,352,404,389,150,43,7,1953
LGA12150,0,5,8,7,8,8,3,0,0,42,6,3,15,16,12,15,4,0,0,71,60,92,290,251,281,301,128,29,6,1423
LGA12160,13,20,27,31,25,18,5,0,0,142,15,21,26,30,41,44,22,10,0,211,254,344,753,837,949,978,330,84,10,4534
LGA12350,9,24,36,27,50,40,16,0,0,205,23,16,46,50,50,31,33,10,0,245,337,434,913,889,1094,978,410,108,7,5171
LGA12380,68,205,595,513,476,371,96,7,0,2341,153,792,2155,1386,964,704,154,12,10,6324,2706,9925,24857,21270,14039,10326,2432,164,20,85733
LGA12390,66,112,240,176,160,143,60,8,4,976,69,88,264,183,174,134,68,32,0,1017,1664,2145,6206,5069,4676,4188,1363,230,27,25573
LGA12700,14,25,49,35,37,38,9,0,0,206,11,17,22,27,60,43,17,5,0,203,254,300,662,867,1006,952,305,72,11,4429
LGA12730,7,12,17,31,27,26,16,0,0,132,13,11,25,27,34,27,20,7,0,157,244,263,633,632,788,816,321,58,9,3765
LGA12750,47,52,97,106,150,116,47,3,0,616,50,48,111,101,120,151,65,15,0,668,985,961,2421,2723,3436,3634,1213,131,10,15504
LGA12850,69,247,563,574,614,409,108,10,0,2585,175,508,1058,1006,1117,850,182,23,3,4918,2680,7483,14763,12165,13086,10761,2456,162,10,63568
LGA12870,11,18,52,31,37,27,15,0,0,194,21,16,42,37,58,49,19,3,3,242,378,414,850,915,1180,1179,403,66,11,5388
LGA12900,21,15,36,31,25,33,13,0,0,176,23,16,33,31,29,29,18,8,3,191,300,346,778,762,814,788,312,60,15,4186
LGA12930,65,195,421,467,481,440,95,22,0,2190,57,374,918,805,646,476,137,21,8,3441,2365,7494,17336,15350,13835,10734,2694,311,22,70141
LGA12950,0,6,11,10,13,9,3,5,0,58,7,4,12,9,14,24,10,5,0,87,87,82,306,304,372,395,189,42,8,1784
LGA13010,10,7,35,34,24,34,7,0,0,160,15,15,27,32,25,35,19,6,3,169,236,229,523,554,690,730,332,75,14,3382
LGA13310,33,62,140,112,117,89,20,8,0,586,40,60,134,88,102,99,26,5,3,552,921,1233,3055,2844,2876,2645,792,96,12,14476
LGA13340,9,12,31,40,42,34,11,0,0,183,22,22,27,36,36,44,13,11,3,215,321,319,733,956,1038,1065,396,102,15,4944
LGA13450,46,60,125,96,72,67,29,0,0,499,52,92,194,141,129,101,44,21,4,778,957,1163,3084,2711,2696,2315,787,134,12,13860
LGA13550,21,31,65,40,40,44,16,3,0,266,14,16,57,47,26,35,14,4,0,216,355,522,1348,1208,1039,1049,381,69,10,5988
LGA13660,0,3,16,8,12,3,8,0,0,48,0,10,9,15,14,13,10,6,0,77,82,124,266,356,424,434,192,61,11,1948
LGA13800,112,160,380,339,334,257,70,11,0,1663,76,173,319,331,320,248,104,22,5,1598,2172,3209,6895,6309,7235,5650,1554,221,16,33262
LGA13850,3,10,3,3,10,10,3,0,0,44,4,8,14,16,16,18,5,0,0,78,65,122,236,180,244,325,107,29,0,1296
LGA13910,27,33,64,51,61,41,24,0,0,308,37,40,71,62,67,62,34,21,0,385,505,640,1437,1472,1637,1628,621,139,17,8097
LGA14000,106,207,344,478,555,433,117,22,0,2275,73,212,530,807,681,463,144,41,8,2957,3391,6104,11669,18452,18050,12704,3620,519,44,74555
LGA14100,6,16,26,26,46,35,11,4,0,171,11,27,47,46,67,45,26,4,0,273,297,511,807,1228,1616,1112,482,112,15,6178
LGA14170,66,219,838,708,634,428,147,13,0,3045,55,297,1211,978,732,393,152,26,3,3842,2302,7714,28423,25078,20543,12678,3641,394,25,100794
LGA14220,21,31,64,49,53,42,20,3,0,296,18,37,60,54,49,48,30,14,5,312,487,594,1287,1280,1473,1360,470,128,21,7099
LGA14300,3,8,12,16,15,15,4,0,0,71,9,11,19,10,19,21,3,0,0,81,153,211,478,465,520,477,179,37,7,2519
LGA14350,20,35,77,70,73,72,28,3,0,375,31,33,69,82,109,94,36,17,0,478,710,830,1786,1881,2287,2488,732,128,14,10850
LGA14400,21,29,43,49,67,59,14,3,0,298,21,24,52,63,75,55,11,7,0,299,730,746,1677,2140,2271,2074,602,87,10,10320
LGA14500,62,137,228,268,325,252,104,18,3,1393,74,143,348,641,656,379,135,35,7,2417,2661,5034,7699,13381,15021,10198,3556,707,68,58314
LGA14550,10,7,28,22,25,13,9,0,0,108,19,12,20,27,36,46,12,16,0,188,209,191,448,581,761,906,377,62,13,3549
LGA14600,11,10,14,10,10,24,6,0,0,90,5,10,26,23,21,26,11,6,0,135,109,171,491,483,483,499,234,59,12,2547
LGA14650,272,448,860,803,847,577,182,33,4,4027,175,331,701,791,729,511,138,36,13,3424,6600,8755,19156,20918,21198,16025,3689,437,27,96808
LGA14700,17,51,159,148,119,81,31,5,0,615,20,49,231,242,139,104,33,9,0,826,632,1461,5469,5742,4291,2781,1034,179,9,21593
LGA14750,23,24,47,33,38,26,8,4,0,206,21,30,58,42,38,35,10,3,0,225,397,444,996,947,1021,965,270,43,3,5084
LGA14850,43,69,166,141,194,141,47,8,0,815,53,66,139,167,178,143,59,19,0,819,1347,1531,3476,3872,4389,4028,1262,177,25,20102
LGA14870,29,41,57,52,54,55,21,9,0,317,20,33,64,51,73,63,19,8,0,323,501,719,1574,1513,1841,1746,469,92,5,8451
LGA14900,114,275,693,673,628,422,103,13,0,2912,202,495,1199,1244,1052,738,134,18,8,5095,4484,9572,20886,21330,18506,12421,2601,205,21,90030
LGA14920,6,14,17,12,26,21,11,0,0,110,11,15,19,18,33,22,13,11,0,146,178,204,479,569,659,613,278,56,0,3031
LGA14950,3,3,9,3,21,3,0,0,0,37,3,5,9,9,12,3,5,0,0,47,82,95,185,231,286,335,130,44,6,1393
LGA15050,134,235,517,382,308,211,53,3,0,1846,93,197,422,361,283,201,54,15,0,1635,2982,4174,10304,9629,8574,6001,1304,136,19,43109
LGA15240,64,91,217,247,306,251,93,4,0,1271,110,115,210,259,321,303,142,43,14,1519,2323,2349,5283,6018,7655,7914,2543,405,44,34544
LGA15270,34,47,118,73,83,70,28,5,0,457,19,34,90,68,80,66,29,21,0,416,701,828,2308,2295,2516,2102,688,160,25,11624
LGA15300,12,33,50,34,44,28,13,0,0,222,15,17,50,39,41,56,23,10,0,242,253,455,1122,928,1068,1015,407,87,12,5348
LGA15350,15,33,60,65,77,46,35,4,0,336,10,38,115,140,132,93,40,23,3,601,458,966,2516,2959,3215,2422,1047,288,27,13888
LGA15520,15,16,30,33,31,30,12,0,0,163,18,14,38,35,42,56,28,4,0,240,331,339,923,1034,1222,1192,461,96,11,5616
LGA15560,4,4,14,10,13,8,0,0,0,46,3,3,7,7,6,14,10,0,0,60,70,119,305,264,319,388,121,27,3,1629
LGA15650,26,37,81,60,49,39,8,0,0,301,17,32,72,47,50,35,19,12,0,282,502,645,1696,1596,1564,1193,303,64,4,7563
LGA15700,20,17,53,45,42,55,20,4,0,245,25,23,57,60,84,76,24,10,5,360,473,434,1073,1233,1568,1698,521,101,11,7124
LGA15750,20,27,45,55,35,52,12,0,0,246,20,33,56,43,64,53,17,12,0,292,344,496,1240,1127,1178,1188,418,65,14,6075
LGA15800,6,8,16,15,22,14,5,0,0,92,6,11,10,22,14,17,8,3,0,77,108,142,385,445,475,526,181,33,13,2311
LGA15850,8,10,27,13,19,20,9,0,0,106,9,12,19,14,22,26,11,6,0,131,141,201,493,462,506,532,225,50,4,2616
LGA15900,145,366,724,580,519,369,114,17,0,2830,133,363,749,562,525,355,94,28,6,2822,4943,10411,21568,17675,16019,11480,2686,331,25,85131
LGA15950,17,76,282,218,178,126,35,13,0,950,13,92,536,436,254,192,78,20,4,1628,621,2589,12536,10360,7001,4858,2061,446,24,40495
LGA15990,251,421,983,927,1007,764,234,41,0,4630,237,456,1294,1552,1505,984,274,83,16,6398,6934,10693,24113,29709,33122,22612,6916,1106,89,135285
LGA16100,0,6,12,9,11,15,3,0,0,62,11,14,22,25,32,37,15,14,0,168,128,165,385,428,538,527,273,59,0,2500
LGA16150,56,89,218,180,159,108,36,3,0,854,56,65,160,111,131,83,32,11,3,652,1352,1784,4809,4467,4074,3154,980,132,11,20761
LGA16200,28,34,63,37,40,36,16,3,0,262,24,17,60,40,42,28,14,4,7,229,417,570,1253,1170,1255,1135,371,77,14,6264
LGA16260,67,268,808,815,689,555,144,14,3,3372,106,524,2026,1813,929,649,165,35,5,6257,3263,10714,35926,33722,20781,14054,3728,405,31,122626
LGA16350,219,408,960,806,693,500,140,7,0,3737,226,523,1221,1147,1022,684,197,28,7,5050,5747,10251,24207,23888,19837,14322,3372,290,22,101929
LGA16380,76,144,279,303,327,277,73,0,0,1477,81,112,197,195,251,203,64,34,13,1154,2725,2859,5900,6893,8142,7008,1981,281,36,35831
LGA16400,87,121,266,257,268,255,68,5,0,1337,76,113,231,230,286,208,76,20,9,1247,2218,2598,5291,6089,6996,5986,1484,204,15,30877
LGA16490,74,142,278,242,236,169,51,13,0,1203,63,113,292,262,252,168,48,9,6,1215,1847,2826,7745,7743,7711,5254,1348,162,20,34663
LGA16550,60,164,561,453,393,282,75,17,5,2014,64,251,908,732,527,318,133,32,3,2965,2066,5680,18858,16159,13493,8940,2693,369,30,68286
LGA16610,33,40,80,54,56,63,12,3,0,337,30,39,74,78,85,74,32,21,5,441,640,828,1601,1628,1919,1806,568,120,20,9122
LGA16700,51,167,455,440,394,331,87,17,0,1936,43,219,951,829,477,373,104,15,6,3016,1917,5601,18517,16709,11594,8401,2334,248,21,65343
LGA16900,79,165,316,269,280,189,54,0,0,1348,73,121,330,240,233,182,60,13,0,1239,2357,3345,7499,7393,7332,5344,1080,76,8,34435
LGA16950,86,147,370,314,327,278,87,12,0,1621,126,133,311,296,351,299,104,31,11,1658,2797,3378,8097,8293,8971,8511,2423,320,29,42822
LGA17000,48,72,143,88,116,55,13,0,0,542,42,59,86,97,96,50,21,7,0,460,1049,1235,2577,2458,2616,1842,468,79,5,12331
LGA17040,29,41,84,61,77,56,30,4,0,375,33,61,123,90,96,83,31,10,8,540,908,1532,2955,2417,2937,2561,827,181,21,14346
LGA17080,17,21,38,26,38,32,11,0,0,182,16,29,52,62,68,60,27,7,3,315,385,496,1102,1273,1411,1426,495,91,16,6685
LGA17100,11,48,150,127,89,88,25,9,0,540,18,173,506,307,147,129,26,6,0,1313,487,2837,7876,4855,3176,2555,774,128,16,22709
LGA17150,257,390,947,886,934,715,191,43,0,4384,172,346,916,1021,972,673,243,56,19,4417,6391,10268,22286,25867,26561,19219,5484,696,64,116838
LGA17200,37,275,1169,804,479,302,92,17,0,3184,63,635,2647,1396,635,410,119,33,3,5946,1698,12163,51494,30669,16540,10326,3287,486,45,126707
LGA17310,96,113,263,236,208,185,62,4,3,1175,90,107,224,182,202,150,62,33,11,1064,2104,2350,6120,5728,5773,4817,1599,255,29,28760
LGA17350,13,14,24,21,18,9,6,0,0,100,16,7,13,15,14,17,7,7,0,96,187,217,419,465,554,565,265,40,3,2703
LGA17400,11,0,8,17,15,14,8,5,0,72,16,5,17,20,24,36,17,6,0,136,141,146,321,364,513,622,328,79,12,2521
LGA17420,173,337,529,619,708,448,196,30,0,3042,127,313,733,1210,986,584,219,46,3,4223,4951,8484,15695,25576,22318,14205,4508,584,33,96356
LGA17550,88,140,313,375,326,267,82,8,0,1590,128,144,371,408,371,307,120,40,10,1900,2748,2989,6688,8489,9066,8145,2367,274,38,40812
LGA17620,21,27,62,45,31,38,8,4,0,241,18,24,43,40,52,41,18,8,8,250,409,532,1345,1409,1372,1235,490,98,21,6914
LGA17640,6,18,23,25,29,30,16,0,0,146,14,10,19,25,30,24,21,10,0,153,198,247,533,687,879,940,406,126,12,4031
LGA17650,8,10,15,14,22,13,3,0,0,83,11,7,19,13,18,19,0,0,4,91,154,171,407,487,613,576,212,47,9,2679
LGA17750,88,196,333,280,224,221,66,13,3,1424,76,165,299,264,216,179,61,31,8,1294,2860,3993,7758,6719,6063,4979,1501,211,26,34109
LGA17850,3,0,7,10,4,4,3,0,0,33,5,0,0,9,10,15,0,7,0,44,61,81,206,212,270,304,185,50,0,1377
LGA17900,3,4,9,13,9,9,4,0,0,42,4,0,14,18,5,11,10,5,0,60,65,131,345,307,347,407,193,36,3,1834
LGA17950,3,3,5,5,12,3,0,0,0,25,9,3,11,3,10,10,8,5,3,53,59,88,218,183,235,259,76,27,4,1152
LGA18020,9,10,18,11,23,11,3,4,0,93,15,7,21,34,22,36,15,4,0,152,173,195,577,562,709,786,348,98,16,3470
LGA18050,27,73,387,236,186,105,42,7,0,1056,38,112,824,526,320,166,52,27,7,2072,779,2209,12781,9202,6849,4033,1436,244,26,37556
LGA18100,0,0,7,5,4,14,0,0,0,35,0,0,8,5,12,15,8,5,0,51,87,71,226,247,302,333,146,42,3,1459
LGA18200,5,8,24,22,29,21,7,0,0,111,14,13,22,33,24,26,7,3,0,145,177,233,582,634,714,696,213,46,5,3297
LGA18250,37,82,182,250,204,162,52,9,0,976,31,99,341,459,334,212,70,21,5,1579,1137,2723,7518,10205,8324,5154,1769,265,32,37134
LGA18350,71,97,174,179,189,164,48,11,6,934,84,63,141,155,231,202,102,31,5,1015,1502,1751,3864,4388,5460,4803,2031,421,32,24254
LGA18400,91,115,240,254,270,153,39,0,0,1160,80,119,226,239,278,206,51,13,0,1221,1869,2497,5217,5585,5924,4137,1102,123,6,26456
LGA18450,214,470,839,717,704,568,127,20,0,3658,143,409,842,758,685,510,117,34,7,3502,5594,10649,21692,20848,20270,14776,3249,337,28,97447
LGA18500,25,34,158,118,106,103,51,10,0,603,19,96,369,310,296,192,112,51,14,1457,583,1928,6955,5734,5200,4039,2232,654,78,27402
LGA18710,24,32,55,69,73,42,14,6,0,312,25,25,48,61,60,31,18,0,4,275,628,612,1374,1872,2294,1511,541,134,16,8980
LGA19399,0,0,4,3,0,0,0,0,0,11,0,5,3,5,0,4,0,0,0,18,19,36,102,119,125,142,72,18,3,631
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,12,4,0,0,35
LGA20110,6,18,35,34,35,33,11,3,0,180,12,13,39,61,40,28,31,5,0,229,361,430,1057,1276,1427,1400,534,77,4,6571
LGA20260,9,4,34,29,23,33,7,0,0,130,14,20,31,12,22,44,19,6,4,166,288,389,965,860,1013,1008,391,63,12,4993
LGA20570,77,227,460,357,330,275,82,5,3,1820,99,177,399,294,331,274,75,30,8,1695,3416,5348,11972,11045,10599,8247,2098,227,24,52974
LGA20660,67,169,435,435,453,339,118,15,4,2036,55,186,488,544,487,341,134,29,8,2265,2736,5366,13468,15114,13819,9878,3026,352,33,63797
LGA20740,19,51,139,121,153,121,42,0,0,650,58,48,95,98,147,125,70,18,3,655,939,1066,2722,3221,3607,3673,1203,170,16,16624
LGA20830,40,129,264,207,246,232,67,9,0,1199,61,73,219,218,202,177,62,19,4,1034,1553,2220,5586,5143,5369,4705,1499,290,30,26391
LGA20910,54,129,191,230,363,272,112,21,0,1373,84,158,307,441,589,412,182,46,10,2220,2766,4053,6528,9712,13289,9700,3311,572,41,49980
LGA21010,17,19,31,31,52,47,18,3,0,218,12,18,51,32,58,62,27,13,0,278,349,433,1037,1023,1269,1452,585,98,12,6256
LGA21110,98,257,435,329,449,395,136,23,6,2118,120,295,725,705,723,507,179,42,13,3301,4021,9002,17524,16735,18921,14005,4919,839,80,86044
LGA21180,65,327,931,786,724,487,125,12,0,3465,169,574,1588,1183,1110,819,182,15,5,5645,3361,8655,21324,17974,16374,12195,2706,203,10,82804
LGA21270,6,9,13,15,10,21,11,0,0,84,8,7,11,9,21,21,19,5,0,102,143,158,404,393,570,657,299,51,6,2678
LGA21370,45,82,156,123,147,155,47,8,0,758,50,53,119,119,156,135,54,24,9,720,1152,1380,2995,3039,3758,3640,1175,193,26,17368
LGA21450,112,220,718,531,465,305,84,11,0,2447,95,266,736,755,605,420,119,33,3,3040,3240,5306,14649,13895,11580,7638,1900,241,32,58473
LGA21610,186,669,1652,1601,1298,881,219,14,0,6526,339,990,2609,2578,1909,1441,284,45,13,10201,8274,16779,41250,44853,34415,22368,4703,397,34,173078
LGA21670,9,21,38,25,29,33,12,5,0,174,11,12,47,29,49,56,19,11,0,236,298,364,786,740,1034,1063,339,51,5,4679
LGA21750,16,41,70,71,71,56,25,0,0,344,35,19,87,64,92,71,41,20,6,426,735,807,2073,1964,2189,2064,806,124,25,10782
LGA21830,11,33,36,28,43,41,10,3,0,211,24,25,44,49,58,56,45,16,0,319,458,573,1217,1239,1624,1627,627,163,10,7547
LGA21890,52,188,731,598,527,337,77,10,0,2512,73,321,1036,776,584,360,107,21,0,3280,2426,6529,22997,19117,15656,9346,2112,168,12,78360
LGA22110,31,75,144,126,171,141,66,0,0,755,60,63,121,117,164,158,79,35,7,804,1151,1281,3229,3350,4045,4320,1605,283,38,19304
LGA22170,88,263,676,576,534,404,109,19,0,2676,92,252,716,785,722,537,147,32,8,3301,3509,5667,15114,15560,14637,10872,2658,277,16,68304
LGA22250,6,14,38,27,14,37,18,0,0,160,10,18,32,21,56,50,21,13,0,222,214,303,663,749,941,1024,383,90,11,4372
LGA22310,56,176,523,490,509,356,128,19,0,2255,95,244,856,867,680,368,167,44,12,3337,3063,6759,18544,18382,16787,11056,3866,508,62,79020
LGA22410,21,37,65,59,68,47,24,0,0,312,29,36,53,56,82,61,41,14,6,382,544,624,1422,1521,1963,1955,674,149,16,8870
LGA22490,41,40,80,122,103,68,31,6,0,492,28,42,89,101,110,92,23,7,0,484,837,851,2071,2747,2978,2058,583,84,7,12224
LGA22620,93,194,511,430,379,375,113,8,0,2102,122,185,411,398,369,347,88,36,10,1977,3624,5415,12233,11549,11229,9389,2462,297,30,56237
LGA22670,55,282,757,746,607,362,104,13,0,2918,123,576,1728,1351,1046,774,171,22,7,5791,2258,7123,19449,15905,12054,8558,2130,177,14,67664
LGA22750,193,512,1132,936,817,674,180,35,0,4490,196,462,1121,971,952,685,235,61,15,4714,7357,12720,30166,27480,25742,19800,5283,576,56,129180
LGA22830,63,137,300,232,291,211,65,13,0,1305,66,122,294,279,283,199,81,16,17,1362,1877,2631,6421,5862,6246,5212,1636,220,31,30137
LGA22910,9,12,49,53,54,51,23,0,0,244,19,19,34,42,76,74,29,13,0,307,298,327,982,1348,1780,1744,596,104,11,7185
LGA22980,6,8,10,8,8,11,4,3,0,59,6,3,18,8,15,18,17,6,0,89,119,156,486,376,475,578,163,58,11,2409
LGA23110,37,113,305,373,329,250,64,4,0,1484,46,141,468,446,391,254,79,15,9,1843,1779,3197,9716,11410,10020,7001,1505,138,10,44777
LGA23190,29,43,101,79,73,68,23,6,0,424,14,24,80,59,55,55,19,21,4,333,611,846,2046,1812,1971,1899,572,124,12,9888
LGA23270,104,400,1022,917,703,495,107,17,0,3769,213,621,1670,1401,1066,673,146,8,4,5806,4723,10557,27537,25341,18625,13042,2690,197,10,102724
LGA23350,15,25,49,36,72,45,11,6,0,261,24,27,35,42,72,59,33,13,0,314,528,440,1153,1525,1994,1845,631,134,21,8266
LGA23430,92,249,579,636,645,494,165,23,0,2884,98,266,809,818,861,601,163,41,11,3662,3757,6339,16279,18948,18785,12773,3590,388,28,80890
LGA23670,85,314,661,631,768,593,159,13,4,3230,107,285,798,964,858,706,187,31,7,3937,4072,7316,16477,18300,17490,13788,3556,310,15,81332
LGA23810,76,154,325,249,219,189,53,9,0,1272,64,117,293,235,288,199,91,24,0,1307,2108,2916,7081,6417,6428,5621,1433,171,18,32181
LGA23940,3,3,14,16,11,10,7,0,0,67,8,11,24,13,29,37,22,13,4,168,145,158,438,486,640,752,351,79,17,3057
LGA24130,54,79,154,206,222,172,51,6,0,940,51,62,146,195,243,167,58,24,9,949,1529,1643,3566,5589,6465,4639,1391,249,20,25095
LGA24210,61,149,349,426,508,403,121,19,0,2039,71,211,547,603,568,423,151,39,4,2623,2715,5343,10554,12704,13031,10199,3172,579,42,58334
LGA24250,5,15,34,34,46,27,18,0,0,183,11,5,20,38,41,36,27,5,5,188,254,252,717,931,999,1051,419,58,7,4686
LGA24330,22,106,486,349,282,170,53,0,0,1474,34,189,719,505,343,218,54,11,0,2073,1240,3860,15238,12244,8277,4774,1009,71,3,46721
LGA24410,71,215,466,496,504,404,112,17,0,2278,72,201,612,581,547,360,107,27,15,2519,2976,5007,12341,13827,12494,9271,2373,278,31,58594
LGA24600,40,298,978,473,221,192,60,12,0,2281,79,631,1699,676,328,239,76,30,0,3751,2349,14075,40196,17922,8650,5591,1937,322,21,91064
LGA24650,102,292,812,735,585,291,95,9,0,2925,160,413,1048,1179,792,410,87,9,5,4108,4238,7428,19983,22556,16550,8681,1750,104,5,81295
LGA24780,49,102,257,180,144,156,49,3,0,934,77,125,286,199,276,187,61,24,4,1243,1503,2178,5491,4861,5155,4582,1300,146,24,25240
LGA24850,45,72,228,207,180,131,43,8,0,910,51,114,260,240,222,163,56,15,6,1120,1428,2121,5347,5088,4863,3632,1003,116,9,23608
LGA24900,31,56,104,92,80,75,24,6,3,475,39,47,95,83,103,91,37,18,4,517,834,978,2325,2291,2750,2676,866,136,19,12876
LGA24970,74,280,629,566,659,469,165,33,0,2878,115,414,1285,1032,867,558,177,49,14,4513,3807,10154,22392,20720,18422,12569,3481,512,48,92109
LGA25060,37,137,473,405,408,326,110,20,4,1918,72,210,614,593,555,363,111,21,6,2548,2745,5847,15026,14499,13686,9264,2509,259,10,63848
