LGA_CODE_2021,P_55_64_Ud_wk_L_5_hrs,P_55_64_Ud_wk_5_14_hrs,P_55_64_Ud_wk_15_29_hrs,P_55_64_Ud_wk_30h_more,P_55_64_no_Ud_wk,P_55_64_Ud_wk_ns,P_55_64_OS_vis,P_55_64_yr_Tot,P_65_74_Ud_wk_L_5_hrs,P_65_74_Ud_wk_5_14_hrs,P_65_74_Ud_wk_15_29_hrs,P_65_74_Ud_wk_30h_more,P_65_74_no_Ud_wk,P_65_74_Ud_wk_ns,P_65_74_OS_vis,P_65_74_yr_Tot,P_75_84_Ud_wk_L_5_hrs,P_75_84_Ud_wk_5_14_hrs,P_75_84_Ud_wk_15_29_hrs,P_75_84_Ud_wk_30h_more,P_75_84_no_Ud_wk,P_75_84_Ud_wk_ns,P_75_84_OS_vis,P_75_84_yr_Tot,P_85ov_Ud_wk_L_5_h,P_85ov_Ud_wk_5_14_h,P_85ov_Ud_wk_15_29_h,P_85ov_Ud_wk_30h_more,P_85ov_no_Ud_wk,P_85ov_Ud_wk_ns,P_85ov_OS_vis,P_85_yr_over_Tot,P_Tot_Ud_wk_L_5_hrs,P_Tot_Ud_wk_5_14_hrs,P_Tot_Ud_wk_15_29_hrs,P_Tot_Ud_wk_30h_more,P_Tot_no_Ud_wk,P_Tot_Ud_wk_ns,P_Tot_OS_vis,P_Total_Tot
LGA32770,40,38,6,0,20,14,0,123,11,9,0,0,6,6,0,36,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,4,340,319,40,6,237,76,3,1020
LGA32810,509,805,346,204,518,388,16,2788,417,621,369,243,567,429,8,2657,147,214,128,102,355,173,7,1131,35,25,18,13,99,39,0,222,2468,3424,1532,1063,2985,2048,151,13665
LGA33100,66,109,33,27,94,39,0,365,50,97,50,47,140,51,0,431,13,5,10,12,45,16,0,103,4,0,0,0,0,4,0,15,239,319,146,122,402,176,6,1406
LGA33200,46,77,29,22,79,58,0,314,40,74,38,29,89,53,0,323,8,25,14,12,42,11,0,115,4,0,0,0,21,7,0,31,244,353,147,119,432,277,3,1576
LGA33220,2649,5142,2755,2106,3896,1044,27,17620,2096,4624,3588,3047,5657,1226,38,20272,1126,1983,1524,1432,4083,1045,21,11205,364,343,203,191,1675,452,4,3244,15842,24174,12842,10581,25134,7420,153,96146
LGA33360,1379,2669,1301,963,1990,737,15,9056,696,1465,1007,900,1806,587,21,6489,271,444,345,352,891,278,8,2583,71,87,44,44,322,116,0,684,9281,14052,6267,5297,12175,4388,90,51554
LGA33430,13354,23498,10416,5892,15927,4214,295,73595,8435,16371,10325,6518,17762,3992,291,63703,4362,7372,4892,3531,13477,3456,128,37211,1433,1540,812,622,6268,2448,33,13155,107768,140653,59963,39825,132399,36786,1720,519120
LGA33610,268,390,179,119,337,144,0,1444,154,255,172,135,331,111,0,1168,65,105,85,102,248,75,0,685,37,32,19,13,116,23,0,240,1569,2178,939,774,2029,834,11,8338
LGA33620,1275,2511,1416,1055,1666,541,19,8485,911,1871,1469,1411,2091,495,12,8255,491,724,619,620,1397,365,3,4214,120,160,97,57,630,123,0,1192,7939,11470,6218,5368,10249,3339,52,44636
LGA33800,329,542,288,242,410,127,4,1942,224,437,307,347,555,155,0,2025,97,202,142,166,425,114,0,1151,49,59,28,23,229,70,0,459,1640,2420,1240,1178,2537,889,14,9918
LGA33830,26,21,8,7,21,5,0,90,11,14,4,7,11,0,0,53,0,10,6,0,0,0,0,11,0,0,0,0,3,0,0,6,157,151,63,129,160,47,0,703
LGA33960,3757,6888,3171,2082,5556,1064,76,22588,1875,3665,2452,2069,4577,857,66,15554,924,1459,1057,901,2920,694,13,7964,302,366,191,113,1198,432,0,2608,33403,47539,20441,15501,45550,11886,311,174631
LGA33980,559,829,306,243,856,1774,3,4568,205,310,176,140,486,456,9,1782,57,84,51,46,197,116,5,546,15,14,3,8,50,19,0,102,3726,5261,1860,1521,5010,10700,105,28177
LGA34420,24,6,3,16,9,24,0,85,14,6,4,14,6,8,0,53,0,0,0,0,0,7,0,12,0,0,0,0,0,0,0,0,267,65,50,138,83,164,0,770
LGA34530,893,1872,953,601,1194,445,0,5968,634,1308,936,796,1372,455,12,5504,317,529,379,359,872,282,4,2739,81,101,56,55,373,109,0,769,5892,8715,4382,3321,7164,3246,46,32753
LGA34570,15,9,10,3,11,8,0,54,10,0,8,3,6,6,0,30,0,0,3,0,6,4,0,11,0,0,0,0,6,0,0,6,139,91,66,27,87,59,0,476
LGA34580,841,1556,839,640,1162,298,0,5334,421,887,750,744,1163,256,5,4216,238,366,279,314,810,213,0,2224,70,91,37,45,307,106,0,661,5854,8291,4279,3556,8207,2593,82,32854
LGA34590,5841,10507,5020,3314,8881,1901,82,35541,3308,6336,4355,3439,8669,1518,76,27702,1546,2504,1763,1351,5480,1074,27,13737,420,428,205,165,2336,516,7,4079,49881,67603,29801,23211,75486,19037,415,265442
LGA34710,124,202,68,43,148,95,0,682,101,142,69,75,217,65,0,671,28,40,22,24,107,23,0,244,11,13,3,5,52,5,0,92,713,945,310,291,846,452,15,3574
LGA34770,2606,4654,2257,1552,3413,1229,31,15743,1344,2495,1862,1699,3245,960,30,11645,641,956,706,806,2080,680,8,5884,217,242,123,124,989,309,7,2011,18328,25354,11143,9061,23247,8544,157,95830
LGA34800,38,53,18,12,70,95,0,284,30,45,8,12,65,51,0,211,10,10,7,7,16,7,0,53,0,5,0,0,5,0,0,8,226,295,97,68,325,669,4,1683
LGA34830,17,8,5,5,9,12,0,54,24,0,0,0,3,3,0,31,0,0,0,0,5,0,0,9,0,0,0,0,0,0,0,0,106,45,34,42,53,59,8,348
LGA34860,304,484,233,160,469,223,6,1874,206,313,198,161,412,192,0,1481,89,103,81,96,222,120,0,711,19,34,13,13,84,64,0,230,2108,2689,1171,936,2786,1491,19,11192
LGA34880,475,1027,519,358,643,395,14,3430,383,728,455,472,751,299,9,3092,149,330,254,281,501,193,0,1705,51,73,42,45,198,64,0,479,3190,4771,2345,1988,4224,3291,197,20000
LGA35010,9263,18326,8528,5247,10970,1944,114,54387,5594,12322,8821,6641,12769,1959,94,48212,3056,5388,3816,3153,9407,1712,47,26583,982,1083,519,418,4393,1081,11,8485,76171,107533,49095,35134,89159,19597,861,377544
LGA35250,22,8,7,5,56,0,0,100,4,5,4,0,20,7,0,37,3,8,0,0,19,3,0,30,0,0,0,0,0,0,0,0,136,71,38,37,423,68,0,766
LGA35300,370,624,280,170,598,457,15,2519,192,296,154,125,458,313,5,1546,72,82,57,53,201,119,0,590,9,11,12,5,47,29,6,114,2998,4000,1548,1158,4149,2799,59,16705
LGA35600,139,205,89,60,182,108,0,785,83,132,88,64,191,59,0,608,23,42,16,24,101,34,0,240,18,12,7,4,60,19,0,117,700,839,351,297,978,463,8,3639
LGA35670,11,27,0,0,12,28,0,80,6,12,0,0,7,12,0,32,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,81,164,20,13,123,207,0,609
LGA35740,1542,3238,1666,923,1429,472,38,9300,1222,2785,1941,1240,1901,490,50,9632,707,1247,856,705,1547,440,28,5535,192,215,139,113,725,293,6,1685,9280,14657,7576,5017,9998,3303,257,50092
LGA35760,262,424,232,191,358,150,0,1619,181,345,204,235,471,170,0,1610,96,126,124,141,336,103,0,925,18,35,21,19,156,36,0,283,1407,2030,1023,996,2267,1073,282,9080
LGA35780,76,87,22,24,88,53,0,348,32,38,19,14,85,40,0,225,3,6,0,0,13,9,3,32,0,0,0,0,0,0,0,5,520,481,133,154,619,309,4,2212
LGA35790,57,36,9,13,68,13,0,208,27,8,10,0,40,3,0,89,5,5,0,0,4,3,0,15,0,0,0,0,0,0,0,0,457,211,100,38,513,118,4,1442
LGA35800,46,100,35,34,100,39,0,353,53,62,45,31,132,48,0,368,19,27,12,11,60,17,0,152,3,4,7,6,25,0,0,40,249,409,181,129,547,151,7,1665
LGA36070,12,11,10,17,5,14,0,61,4,4,6,4,4,15,0,33,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,62,91,107,115,96,127,0,600
LGA36150,43,47,14,16,50,12,0,186,18,47,17,8,43,7,0,143,13,6,8,3,13,4,0,51,4,0,0,0,3,4,0,11,173,199,70,64,180,46,0,728
LGA36250,3879,7597,3539,1905,3787,643,23,21367,2256,5057,3569,2509,4490,716,36,18635,1215,2184,1684,1273,3246,741,13,10351,408,507,260,181,1644,811,6,3824,27288,38525,18019,11578,28182,5665,160,129415
LGA36300,25,36,24,22,25,26,0,155,13,20,11,6,46,37,0,137,4,3,0,6,13,13,0,41,0,3,0,0,3,4,0,7,119,160,79,57,157,164,5,734
LGA36370,1590,2861,1378,899,2410,653,9,9800,873,1734,1246,1021,2286,573,18,7746,473,783,501,529,1713,438,4,4442,206,208,113,100,855,309,5,1791,12126,16840,7443,5714,17483,5305,101,65013
LGA36510,1001,2037,1149,804,1085,416,4,6511,581,1405,1038,984,1390,368,9,5770,327,582,441,430,979,270,0,3024,119,110,73,72,430,160,0,965,6295,9589,5155,4204,7528,2886,59,35723
LGA36580,560,1022,640,503,787,222,5,3741,356,688,559,656,953,214,3,3427,163,274,207,254,567,187,3,1645,50,25,25,21,167,55,0,350,3472,5038,2752,2579,4976,1576,33,20424
LGA36630,691,1314,746,615,1067,430,8,4884,524,1050,809,849,1449,477,3,5153,263,484,323,416,939,286,0,2714,80,103,67,61,399,111,0,813,4437,6616,3435,3244,6842,2739,33,27349
LGA36660,832,1619,873,628,1021,389,4,5364,597,1249,974,863,1315,428,3,5414,330,565,424,437,967,295,0,3023,121,123,73,75,492,113,0,996,5285,7718,4191,3434,6770,2543,41,29985
LGA36720,7727,15562,7409,4127,7849,2142,87,44895,5131,11899,8065,5388,9243,2147,110,41976,2808,5526,3972,2994,7936,1920,70,25223,1003,1219,674,586,4454,1275,8,9225,56660,83075,39466,26153,61537,16779,761,284446
LGA36820,702,1337,697,560,785,394,4,4470,538,1023,802,713,1058,438,12,4576,221,398,374,360,668,246,3,2263,56,82,54,40,329,158,0,723,3906,5897,3175,2751,4852,2547,377,23507
LGA36910,3505,6705,3040,1879,4058,1133,23,20348,2089,4448,3114,2609,4559,1060,17,17901,1244,2167,1643,1510,3750,894,12,11221,456,548,320,269,2247,530,0,4366,27287,38264,17185,13093,34074,8646,191,138733
LGA36950,98,86,28,21,156,32,0,429,37,47,11,12,100,14,0,220,4,7,0,0,24,15,4,64,0,0,0,0,10,0,0,12,612,608,192,175,967,243,6,2796
LGA36960,106,72,40,25,80,34,0,352,59,39,30,14,41,18,0,202,20,11,8,0,22,4,0,66,4,5,0,0,8,0,0,18,792,602,284,225,600,168,0,2669
LGA37010,3814,7334,3259,1970,5016,1495,40,22931,2091,4435,2852,2240,5007,1270,47,17945,1029,1612,1207,1065,3128,772,22,8832,330,332,212,116,1382,403,8,2784,31134,43343,17669,12333,39087,13427,396,157384
LGA37300,76,130,62,29,112,81,0,492,22,46,25,6,39,15,0,155,3,3,0,0,21,5,0,43,0,0,0,0,6,0,0,5,647,901,313,230,834,558,0,3474
LGA37310,721,1179,570,448,1073,510,3,4503,387,769,507,520,1024,340,0,3543,197,328,219,263,613,211,0,1828,64,80,49,32,298,100,0,620,5031,6711,3138,2842,7034,3726,132,28610
LGA37340,1007,1760,779,471,1511,979,23,6531,696,1244,789,596,1608,764,28,5722,252,432,278,244,814,296,10,2331,53,60,38,27,294,61,0,542,6451,8552,3740,2750,9297,5332,411,36531
LGA37400,65,89,26,30,95,59,0,365,49,76,28,33,111,112,0,410,18,19,5,5,40,31,0,120,6,6,0,0,10,0,0,23,276,348,123,105,365,333,3,1555
LGA37550,34,11,3,0,15,0,0,70,21,6,0,0,5,3,0,36,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,320,100,24,11,154,47,0,653
LGA37570,17,0,0,0,14,0,0,36,9,0,0,0,7,0,0,13,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,77,13,0,0,101,9,0,199
LGA37600,133,11,10,13,30,10,0,211,55,7,4,5,13,6,0,94,16,0,0,3,10,4,0,31,5,0,0,0,0,0,0,3,1128,132,85,113,226,73,0,1744
LGA39799,0,5,0,6,9,16,0,34,0,3,0,0,3,6,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,21,6,5,81,220,24,380
LGA40070,549,937,304,144,497,457,44,2929,388,777,356,172,583,341,21,2633,204,313,195,103,370,191,3,1379,38,75,40,21,270,149,0,597,5797,6664,2015,1019,7871,3864,401,27628
LGA40120,1020,2315,1153,567,561,205,3,5812,557,1503,1126,830,660,164,5,4833,246,582,433,416,516,121,0,2317,90,136,84,68,311,72,0,759,7003,10911,5470,3492,4370,1308,30,32589
LGA40150,231,421,252,146,329,80,0,1461,92,206,142,169,255,47,3,913,54,63,39,54,150,43,0,403,19,13,9,7,29,12,0,91,1511,2117,1047,837,1757,534,12,7816
LGA40220,748,1478,780,467,653,193,0,4321,617,1457,1093,772,991,236,3,5165,294,707,566,422,833,188,0,3017,114,132,74,63,467,86,0,936,4404,7129,3901,2744,4674,1234,22,24104
LGA40250,51,58,27,6,45,24,0,218,22,9,9,0,27,8,0,80,3,4,0,0,10,7,0,27,4,5,0,0,8,7,0,19,452,567,267,97,254,230,4,1867
LGA40310,603,1273,641,356,514,122,0,3513,378,870,687,535,631,135,0,3228,192,359,291,296,515,103,0,1750,64,98,49,47,357,59,0,673,4123,6335,3152,2150,3725,840,19,20342
LGA40430,73,135,64,54,98,33,0,459,50,109,79,96,156,28,0,525,23,52,39,41,120,30,0,309,4,8,9,8,67,5,0,111,349,541,311,299,558,179,0,2235
LGA40520,264,485,223,142,320,103,0,1538,165,349,246,225,381,118,0,1480,90,137,85,82,289,58,5,744,35,49,26,9,184,42,0,353,1608,2392,1185,866,2230,600,118,8986
LGA40700,1098,2172,1016,503,732,83,24,5639,771,1895,1154,566,928,94,19,5427,491,1001,657,438,864,117,10,3570,237,312,154,94,701,66,3,1571,8737,11839,5676,3133,7640,848,110,37978
LGA40910,1102,2135,1028,550,1275,149,21,6257,628,1432,931,697,1271,126,19,5103,489,954,620,468,1285,203,13,4024,229,301,151,111,948,163,3,1899,9528,12939,5823,3795,11847,1491,89,45504
LGA41010,95,158,79,37,101,43,0,504,58,130,86,44,131,36,0,487,18,38,31,29,59,10,0,193,0,8,5,0,29,4,0,47,543,857,413,248,647,301,6,3002
LGA41060,2725,5102,2238,1260,3424,524,39,15314,1604,3274,2154,1454,3390,429,45,12344,975,1647,1204,778,2679,401,8,7687,444,494,276,204,2072,238,3,3731,21810,29176,12330,7721,27055,4074,207,102379
LGA41140,250,514,220,164,211,98,0,1456,166,336,266,207,297,90,0,1365,75,142,120,116,230,70,0,757,18,39,17,13,148,27,0,261,1459,2246,1127,856,1456,533,4,7686
LGA41190,57,80,39,28,55,26,0,287,30,57,29,43,57,19,0,234,12,27,20,27,25,12,0,122,3,8,3,7,23,8,0,57,278,376,170,209,259,130,0,1423
LGA41330,54,115,31,24,87,74,8,392,43,79,37,29,111,99,0,398,25,31,15,10,71,80,0,247,0,6,0,0,4,11,0,28,279,402,168,109,492,451,8,1911
LGA41560,364,716,377,249,512,171,0,2388,290,598,513,440,679,163,0,2678,131,273,232,235,550,167,0,1586,34,68,31,33,260,81,0,516,2095,3245,1800,1458,3145,975,5,12731
LGA41750,41,67,39,26,45,21,0,234,37,37,34,15,47,20,0,192,4,13,8,11,39,3,0,72,0,6,3,0,8,0,0,20,170,250,148,98,185,95,0,944
LGA41830,46,108,46,35,65,32,3,337,39,86,73,57,104,38,0,399,14,32,13,25,58,26,0,172,4,3,0,0,32,3,0,49,223,445,228,169,377,165,6,1612
LGA41960,37,65,36,20,38,14,0,214,31,50,40,41,57,17,0,235,13,20,12,14,38,8,0,101,5,4,0,4,14,4,0,29,196,274,157,131,230,97,0,1091
LGA42030,562,1150,526,291,694,106,4,3330,299,670,446,350,740,106,9,2620,179,348,285,210,682,120,0,1826,106,122,52,48,387,116,0,830,4034,5886,2659,1834,5046,910,21,20398
LGA42110,127,230,111,100,140,62,0,776,76,170,101,100,170,45,0,660,36,62,53,53,97,33,4,328,6,18,10,8,51,10,0,107,597,947,472,411,704,289,3,3424
LGA42250,198,404,215,132,185,178,0,1308,113,227,185,179,201,127,0,1029,39,65,49,64,123,74,0,422,10,12,15,9,43,44,0,134,1236,1794,983,689,1084,1206,5,7008
LGA42600,1087,2097,823,359,829,173,6,5375,750,1664,1043,503,1120,185,11,5272,381,773,487,310,954,149,7,3060,177,218,135,86,831,85,0,1524,7299,10252,4297,2204,7008,1082,62,32211
LGA42750,129,324,144,92,110,90,0,899,100,229,164,108,139,73,3,819,36,89,64,63,97,46,0,394,9,21,16,7,38,28,0,120,716,1303,670,485,649,419,3,4248
LGA43080,29,44,25,13,32,18,5,164,14,26,27,20,41,11,0,143,4,11,7,17,28,9,0,75,0,13,4,4,18,0,0,41,159,198,115,101,174,70,0,812
LGA43220,28,57,29,12,30,0,0,152,9,39,14,17,31,9,0,113,7,11,15,9,29,17,0,80,3,6,0,0,22,7,0,37,144,238,124,88,155,64,0,815
LGA43360,66,91,71,36,59,20,0,344,43,91,74,54,120,21,0,403,24,42,21,40,74,18,0,216,11,9,6,5,46,7,0,86,317,526,272,233,451,127,0,1930
LGA43650,361,761,405,263,357,85,0,2236,182,392,274,231,352,78,0,1512,73,110,115,114,243,33,3,694,24,34,12,9,120,18,0,223,2696,3642,1821,1315,2392,540,9,12408
LGA43710,148,289,172,93,128,73,0,895,96,192,157,140,129,67,0,785,37,68,55,47,86,36,0,320,6,16,8,8,43,5,0,79,866,1334,749,585,700,453,5,4695
LGA43790,266,556,262,142,292,105,4,1634,186,369,318,249,437,146,3,1708,99,174,137,127,331,95,0,967,41,49,32,18,210,45,0,392,1701,2618,1345,989,2211,762,128,9755
