LGA_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christian_Assyrian_Apostol_M,Christian_Assyrian_Apostol_F,Christian_Assyrian_Apostol_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christian_Churches_Christ_M,Christian_Churches_Christ_F,Christian_Churches_Christ_P,Christian_Eastern_Orthodox_M,Christian_Eastern_Orthodox_F,Christian_Eastern_Orthodox_P,Christian_Jehovah_Witnesses_M,Christian_Jehovah_Witnesses_F,Christian_Jehovah_Witnesses_P,Christian_Latter_Day_Saints_M,Christian_Latter_Day_Saints_F,Christian_Latter_Day_Saints_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christian_Oriental_Orthodox_M,Christian_Oriental_Orthodox_F,Christian_Oriental_Orthodox_P,Christian_Other_Protestant_M,Christian_Other_Protestant_F,Christian_Other_Protestant_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christian_Presbyt_Reformed_M,Christian_Presbyt_Reformed_F,Christian_Presbyt_Reformed_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christian_Sevnth_day_Advent_M,Christian_Sevnth_day_Advent_F,Christian_Sevnth_day_Advent_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Oth_Rel_Aus_Abor_Trad_Rel_M,Oth_Rel_Aus_Abor_Trad_Rel_F,Oth_Rel_Aus_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Oth_Relig_Oth_Rel_Groups_M,Oth_Relig_Oth_Rel_Groups_F,Oth_Relig_Oth_Rel_Groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_No_Religion_M,SB_OSB_NRA_No_Religion_F,SB_OSB_NRA_No_Religion_P,SB_OSB_NRA_Sec_Beliefs_M,SB_OSB_NRA_Sec_Beliefs_F,SB_OSB_NRA_Sec_Beliefs_P,SB_OSB_NRA_Oth_Sp_Beliefs_M,SB_OSB_NRA_Oth_Sp_Beliefs_F,SB_OSB_NRA_Oth_Sp_Beliefs_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
LGA10850,9,22,38,726,753,1482,0,0,0,66,67,121,0,0,0,881,953,1830,0,0,0,4,7,13,4,5,11,0,0,0,15,15,24,0,0,0,12,9,19,32,38,72,108,131,241,11,6,14,4,6,10,168,198,361,75,71,143,0,4,4,2092,2261,4353,0,5,3,11,9,20,0,3,3,0,0,0,0,0,3,12,24,32,11,22,36,1260,1120,2377,5,7,10,3,0,4,1266,1128,2395,297,282,579,0,0,0,3692,3730,7422
LGA10900,428,660,1090,4837,5768,10603,4,6,7,781,873,1656,131,137,268,6161,7290,13450,29,32,62,291,297,585,120,163,282,70,81,152,114,122,237,15,15,34,114,144,257,367,400,773,783,934,1715,60,76,142,44,77,125,745,999,1749,1047,1198,2242,35,57,95,15749,18684,34430,150,134,284,113,134,247,86,97,183,8,12,23,25,19,46,203,302,508,240,335,574,18611,17772,36387,238,179,419,117,197,314,18969,18149,37116,2010,1981,3992,41,41,84,37787,40204,77990
LGA10950,3,9,13,271,283,551,0,0,0,14,10,24,0,0,0,390,401,792,0,0,0,0,3,3,4,4,3,0,0,0,3,0,8,0,0,0,0,0,7,5,4,10,30,21,52,0,0,0,3,0,5,83,84,169,14,14,23,0,0,0,820,829,1645,13,9,27,7,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352,304,655,0,0,3,0,0,0,356,301,663,130,92,221,0,0,5,1325,1252,2579
LGA11150,8,3,12,185,187,371,0,0,0,13,22,32,0,0,0,394,454,841,0,0,0,3,4,4,5,6,3,0,0,0,0,0,4,0,0,0,0,0,3,9,4,16,25,38,64,5,0,4,3,5,5,25,17,42,24,21,49,0,0,0,688,761,1445,11,12,24,8,0,10,0,0,0,0,4,4,0,0,0,0,0,0,0,7,7,316,221,534,4,0,5,0,3,6,320,227,540,229,234,458,4,0,11,1271,1245,2512
LGA11200,0,0,3,124,120,249,0,0,0,7,9,16,3,4,10,119,120,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,3,10,16,12,13,21,0,0,0,4,13,17,4,8,9,19,21,37,0,0,0,300,324,620,8,7,15,0,0,0,0,0,0,0,5,5,6,0,8,4,3,4,3,7,14,278,244,525,0,0,0,5,0,4,277,250,527,115,126,248,0,0,4,717,715,1430
LGA11250,41,43,84,736,830,1570,0,0,0,68,89,157,0,0,0,1426,1757,3183,17,22,38,24,27,49,10,14,28,15,15,27,44,70,116,6,5,17,43,53,95,40,60,99,79,73,147,48,78,128,13,20,33,440,641,1082,101,132,233,0,0,0,3118,3878,7003,35,30,70,26,24,51,0,0,3,0,0,4,0,4,0,25,33,61,24,37,61,4477,4178,8657,29,24,50,5,16,24,4515,4220,8734,870,889,1760,7,10,15,8647,9132,17779
LGA11300,1355,1784,3137,652,751,1399,0,4,4,188,206,391,0,0,4,4220,4645,8865,4,7,9,717,827,1543,49,59,106,11,11,20,19,15,36,84,76,161,68,70,140,68,101,165,362,509,872,16,23,36,20,21,40,203,230,434,398,463,860,13,3,16,7086,8025,15108,2323,1710,4032,436,353,786,19,21,40,0,0,0,23,18,41,73,70,139,92,90,184,6864,7013,13878,44,41,85,18,30,48,6929,7087,14015,1384,1427,2810,97,82,177,19712,20571,40289
LGA11350,294,452,738,1212,1299,2506,0,0,0,46,58,107,0,0,0,1741,2150,3890,0,5,5,66,87,150,47,57,104,6,4,4,21,30,54,4,4,9,28,38,65,91,122,215,215,244,458,0,4,5,32,57,92,295,362,657,176,238,416,7,11,20,3989,4766,8759,72,79,144,36,33,68,227,223,450,9,9,17,30,25,51,93,149,240,127,180,310,10263,10778,21041,73,69,146,131,228,360,10473,11075,21549,2299,2256,4551,84,77,157,17591,19134,36727
LGA11400,18,32,48,1470,1639,3106,0,0,0,146,161,305,35,39,76,1707,1794,3505,0,0,5,10,6,20,4,6,11,5,5,5,3,10,11,0,0,0,32,35,67,49,52,99,159,176,329,4,14,18,4,10,21,409,445,850,156,137,291,8,9,13,4202,4534,8741,10,5,17,18,3,25,0,4,9,0,0,0,4,10,11,11,25,36,16,34,47,1940,1709,3648,14,15,26,3,11,10,1961,1729,3692,576,566,1139,0,7,5,6803,6916,13714
LGA11450,780,1034,1813,7574,8924,16490,286,253,531,649,726,1374,59,58,121,18158,19549,37700,14,21,39,1530,1590,3129,178,224,399,186,169,361,85,108,195,344,321,662,237,271,510,729,848,1577,573,697,1272,42,87,133,143,181,320,674,901,1577,1682,1846,3523,62,72,132,33206,36842,70053,2186,2108,4299,2863,2895,5759,35,26,58,0,4,5,613,546,1156,193,227,421,807,782,1584,15656,14214,29873,106,99,200,41,64,112,15805,14383,30188,2609,2526,5137,68,96,168,58361,60692,119053
LGA11500,2088,2676,4770,8424,10012,18432,121,123,245,1120,1260,2382,154,141,289,18891,21232,40117,68,94,163,1611,1634,3239,348,438,785,707,769,1472,114,131,244,637,623,1258,503,492,996,1148,1380,2522,1133,1273,2408,90,128,217,436,479,913,1021,1184,2199,2786,3103,5887,99,96,199,39401,44578,83984,6264,6114,12380,10376,10024,20403,32,30,56,11,10,21,850,802,1644,431,558,990,1290,1364,2655,20379,18197,38576,197,118,312,107,142,246,20675,18456,39130,6307,6404,12709,147,169,324,86582,89822,176407
LGA11520,1122,1750,2864,2521,3077,5610,23,37,55,310,376,683,4,3,6,14150,15795,29950,7,14,23,1881,2054,3935,75,112,192,30,32,62,54,69,133,244,266,511,125,156,282,221,292,507,927,1116,2042,18,22,38,33,37,71,463,633,1095,738,880,1613,22,21,43,21853,25003,46854,1795,1542,3338,892,899,1797,84,90,174,0,0,5,82,73,160,137,158,292,223,233,458,14107,13823,27932,130,139,263,49,77,133,14290,14035,28330,2622,2671,5295,99,130,227,42975,46354,89330
LGA11570,10071,12368,22437,6818,7914,14732,46,42,92,1682,2016,3698,10,7,21,38209,41131,79344,84,86,173,15395,15916,31312,335,450,785,290,302,591,131,189,328,1406,1428,2829,699,797,1501,1000,1233,2237,1620,1908,3530,123,178,304,232,282,509,1539,1926,3469,4077,4359,8441,151,164,317,73867,80333,154200,4193,3680,7870,45668,41678,87347,102,101,204,9,4,10,471,434,905,567,614,1181,1048,1055,2098,34393,30070,64458,311,197,508,127,198,327,34833,30463,65296,15255,14329,29591,340,379,715,185368,184386,369754
LGA11600,6,3,8,217,227,442,0,0,0,21,23,45,0,0,0,371,339,709,0,0,0,0,0,0,0,0,0,3,0,3,11,9,18,0,0,0,10,4,15,7,7,18,41,31,69,3,3,5,11,0,13,91,104,198,32,32,66,0,0,0,833,790,1618,35,23,50,33,12,44,5,3,5,0,0,0,24,10,38,4,0,5,26,15,38,493,366,861,3,5,3,0,0,0,500,369,863,210,165,380,13,5,18,1656,1371,3028
LGA11650,1325,2085,3409,25863,32115,57980,7,8,20,2323,2870,5199,128,146,267,34880,40369,75246,113,171,286,1191,1260,2453,573,808,1380,323,371,695,298,373,669,176,163,339,1535,1681,3216,1372,1776,3149,3131,3730,6860,259,374,632,639,719,1355,3520,4741,8256,3614,4182,7795,122,156,278,80057,96017,176075,1183,1034,2217,811,699,1508,222,243,467,58,50,110,279,264,542,411,575,987,752,886,1637,71195,65379,136576,574,453,1031,282,484,765,72051,66319,138372,10835,11209,22049,177,174,354,167425,178681,346101
LGA11700,3,5,11,115,115,236,0,0,0,5,6,14,0,0,0,204,209,406,0,0,0,0,0,3,0,0,0,0,0,0,9,3,13,0,0,0,4,0,4,6,8,16,16,17,33,0,0,0,0,3,3,31,32,65,12,11,19,0,0,0,399,414,809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,7,376,320,699,0,0,3,0,0,0,378,324,702,255,208,459,0,0,0,1043,945,1992
LGA11720,137,243,381,5622,6573,12197,0,0,0,338,362,704,0,0,3,5366,5941,11312,14,17,25,83,78,164,87,132,221,60,74,134,34,49,89,6,6,11,150,187,332,190,206,396,626,755,1384,84,117,198,131,150,283,971,1344,2311,490,570,1061,21,14,41,14286,16582,30869,111,97,208,55,54,115,14,18,31,5,15,25,32,23,52,62,118,174,98,147,246,13676,12406,26083,97,75,176,38,65,106,13812,12546,26363,3386,1874,5250,13,30,43,31918,31590,63502
LGA11730,128,250,378,4984,5703,10678,0,0,0,315,332,654,0,0,0,4373,5033,9401,5,7,16,37,40,72,153,167,316,28,33,61,38,50,88,0,0,10,59,60,119,145,206,351,1178,1329,2503,88,105,190,66,91,158,719,837,1551,491,568,1058,0,6,10,12672,14568,27241,53,55,104,48,43,88,9,13,21,10,11,20,49,57,104,68,108,174,122,167,290,10977,9914,20891,83,65,145,38,60,97,11091,10039,21131,3310,2353,5665,67,19,84,27501,27503,55004
LGA11750,15,14,31,294,307,609,0,0,0,52,50,100,0,0,0,617,614,1237,0,0,0,3,6,5,0,0,0,4,4,8,3,5,11,0,0,0,10,3,8,8,8,18,33,38,72,3,0,3,3,5,5,80,76,156,28,29,47,0,0,0,1144,1146,2293,13,4,16,9,10,12,0,0,0,0,0,0,7,3,11,7,0,6,12,8,14,712,529,1237,9,4,12,5,0,6,721,530,1253,445,346,783,3,6,3,2356,2059,4411
LGA11800,343,491,839,5184,6252,11443,0,0,0,632,710,1337,5,9,13,6267,7413,13683,24,32,52,87,85,170,239,303,543,35,41,79,79,111,189,17,17,36,158,197,355,570,715,1292,1012,1189,2200,59,104,160,110,152,264,778,1079,1866,831,1104,1941,19,25,44,16124,19541,35663,180,166,345,249,206,457,39,38,74,17,18,33,956,894,1848,330,431,758,1304,1338,2646,16800,16132,32931,146,107,252,74,131,205,17013,16367,33381,3101,3088,6190,141,132,278,38502,41369,79880
LGA12000,4,0,5,350,453,798,0,0,0,17,21,38,0,0,0,637,654,1293,0,0,0,4,4,5,0,3,3,9,5,12,8,17,21,0,0,0,4,0,6,27,27,56,88,68,154,0,0,6,8,6,12,146,160,309,18,33,54,0,0,0,1318,1455,2772,7,6,12,4,0,8,0,0,0,0,0,0,0,0,0,0,3,7,0,3,8,617,565,1180,0,3,0,0,4,5,619,573,1191,166,155,322,0,0,0,2120,2195,4316
LGA12150,6,11,11,486,531,1016,0,0,0,3,4,6,0,0,0,526,531,1062,0,0,0,5,3,7,7,10,22,0,0,0,5,0,6,5,3,6,4,0,3,9,8,13,47,58,104,0,0,0,5,3,6,40,35,73,19,21,42,0,0,0,1158,1219,2375,10,9,17,5,3,9,0,0,0,0,0,0,0,0,0,0,8,12,0,8,8,458,388,844,3,9,7,3,0,7,461,396,858,294,277,574,3,0,3,1945,1914,3858
LGA12160,18,22,39,1372,1544,2916,0,0,0,56,69,128,0,0,0,1553,1601,3149,0,0,0,9,8,18,13,13,23,3,8,12,11,17,26,0,0,0,16,6,22,22,29,50,140,139,283,4,11,19,8,7,13,203,237,430,87,91,176,4,0,5,3503,3778,7285,14,16,33,5,10,16,0,6,9,0,0,5,7,6,16,12,11,20,22,22,40,1548,1407,2953,9,3,12,3,8,15,1560,1415,2976,558,461,1021,10,9,19,5702,5731,11434
LGA12350,29,34,62,1304,1455,2756,0,0,0,73,81,161,75,70,149,1593,1711,3301,0,4,4,27,29,50,49,67,118,22,21,42,11,10,19,3,7,7,19,16,34,36,47,87,211,263,473,3,16,24,8,4,13,202,248,450,99,116,214,3,4,12,3745,4160,7909,16,23,38,17,9,26,0,0,4,8,11,19,5,5,7,13,20,34,22,37,54,1859,1597,3455,13,12,27,8,12,18,1874,1618,3495,625,560,1185,7,7,7,6341,6449,12790
LGA12380,4185,5291,9476,3492,4005,7496,79,97,177,1055,1102,2154,13,10,24,24160,25896,50050,43,59,99,2797,2881,5678,183,261,443,194,206,392,54,55,115,449,513,965,468,458,927,766,939,1705,1295,1443,2736,63,90,153,163,214,381,1196,1292,2483,2541,2755,5299,113,114,234,39128,42391,81518,17134,14457,31590,28553,24941,53492,26,32,48,5,10,12,1173,882,2057,606,619,1222,1784,1512,3296,19098,15325,34421,144,101,249,89,117,206,19337,15543,34881,10969,9440,20415,284,290,576,121402,113891,235292
LGA12390,170,222,394,4606,5425,10030,0,0,3,456,477,937,7,3,8,6453,7477,13928,11,11,28,60,69,128,48,60,106,14,18,34,66,73,141,19,11,30,68,72,138,195,236,428,790,892,1684,59,84,138,57,57,116,945,1160,2109,586,677,1266,4,5,12,14439,16809,31253,646,595,1246,287,249,535,11,12,27,20,15,37,169,140,302,29,59,91,213,213,433,7913,7133,15047,58,37,92,21,29,56,7995,7201,15198,3137,2601,5738,34,33,69,26943,27944,54882
LGA12700,13,10,21,1129,1240,2372,0,0,0,86,99,185,0,0,0,789,869,1663,0,0,4,18,10,25,7,7,12,5,10,16,6,9,13,0,0,0,20,14,35,16,22,36,191,161,348,8,11,14,13,10,20,197,244,441,80,86,163,6,4,4,2561,2797,5353,11,6,15,0,0,0,4,4,8,0,0,0,0,0,0,10,11,24,10,16,20,1879,1691,3571,10,9,21,5,6,9,1889,1706,3603,282,268,547,0,0,0,4767,4808,9579
LGA12730,13,16,30,537,666,1205,0,0,0,70,64,130,0,0,0,866,974,1840,0,0,0,6,6,13,8,17,27,0,9,3,14,11,30,0,0,0,5,10,16,8,10,20,125,133,258,3,6,18,5,4,9,249,321,572,69,73,145,0,3,3,1970,2315,4286,22,9,34,6,5,6,0,0,0,0,6,8,0,0,0,4,11,17,14,17,28,1644,1469,3114,10,3,19,4,6,6,1655,1477,3130,450,417,861,4,6,8,4127,4264,8393
LGA12750,126,202,325,3191,3853,7041,0,0,0,162,166,328,0,0,0,3705,4094,7800,8,8,21,104,84,185,113,150,262,8,8,21,66,95,161,8,7,15,43,45,85,116,153,273,445,548,997,38,45,82,37,39,81,423,606,1021,338,394,731,6,17,28,8810,10321,19133,72,61,136,50,38,92,10,16,29,15,10,25,11,18,35,38,84,119,68,113,182,9007,8272,17278,87,73,158,30,72,103,9126,8418,17534,1926,1852,3783,26,16,44,20217,21042,41253
LGA12850,18813,22535,41353,2559,2866,5422,4781,5167,9951,1105,1191,2295,7,4,11,30847,32288,63135,16,21,39,3936,3867,7803,251,363,612,365,352,715,76,61,135,854,850,1705,349,403,748,488,600,1089,408,431,834,29,39,70,249,242,488,505,533,1045,4077,4267,8344,58,51,111,50972,53585,104565,666,616,1289,6836,6323,13155,22,17,36,3,0,4,78,54,129,834,915,1748,910,973,1882,16632,13696,30318,83,80,167,51,67,114,16763,13840,30602,7380,7168,14550,146,172,319,102517,105227,207740
LGA12870,18,36,49,916,1056,1971,0,0,0,74,77,150,0,0,0,1467,1614,3080,0,0,0,11,15,24,12,7,18,4,11,15,39,41,85,0,0,0,13,19,32,17,19,30,301,318,618,5,4,10,0,4,9,265,324,588,74,95,169,4,0,0,3195,3610,6804,10,7,19,16,12,28,3,6,0,0,0,0,5,4,5,9,4,13,10,6,20,2447,2191,4636,7,4,7,0,5,6,2461,2200,4656,557,467,1021,5,16,17,6267,6355,12620
LGA12900,13,19,38,938,1022,1963,0,0,0,65,81,141,0,0,0,1462,1552,3011,0,0,0,0,9,14,7,15,24,4,0,4,16,17,33,0,0,0,5,6,13,7,23,34,113,125,238,17,7,22,5,5,7,201,227,425,58,84,144,0,0,0,2903,3171,6070,15,17,30,5,3,12,0,0,5,0,0,0,0,4,5,0,5,7,0,7,9,1274,1170,2451,3,0,5,0,4,4,1276,1172,2456,444,399,837,10,0,10,4675,4792,9467
LGA12930,2984,4295,7276,4791,5627,10424,12,9,22,1141,1364,2509,6,9,19,14497,16344,30839,40,55,99,7719,8126,15845,163,205,368,117,121,236,56,79,139,805,790,1596,316,415,727,428,509,939,885,1063,1949,64,94,157,43,77,120,818,1029,1844,2064,2265,4329,78,92,169,34035,38268,72303,5780,4572,10351,3655,3295,6952,104,99,205,3,3,10,105,100,204,188,211,400,300,311,609,23194,21253,44443,185,115,303,82,129,213,23466,21501,44962,4509,4757,9268,194,188,383,75025,77288,152311
LGA12950,5,8,9,433,461,895,0,0,0,10,11,22,0,0,0,422,494,913,0,0,0,6,0,5,10,13,20,0,0,0,21,26,48,0,0,0,5,13,14,39,58,101,170,164,341,0,0,0,8,8,13,94,97,190,47,37,81,3,3,11,1270,1383,2651,3,0,3,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,565,507,1069,0,0,0,0,0,0,565,512,1069,310,295,601,3,0,3,2155,2194,4350
