LGA_CODE_2021,Median_age_persons,Med_mort_repaymnt_monthly,Med_tot_psnl_incom_weekly,Median_rent_weekly,Med_tot_family_inc_weekly,Avge_numbr_prsons_per_bedroom,Med_tot_hh_incom_weekly,Average_household_size
LGA27350,34,2321,1311,451,3138,1,2266,2
LGA27450,40,1950,810,380,2203,0.8,1877,2.7
LGA27630,51,672,625,165,1491,0.7,1108,2.1
LGA29399,28,1517,938,500,1766,1,2261,2.2
LGA29799,48,2167,2543,0,0,0,2250,0
LGA30250,29,0,337,125,785,1.2,1103,3.9
LGA30300,43,1122,780,200,1704,0.8,1353,2.4
LGA30370,40,1300,905,240,2138,0.8,1757,2.5
LGA30410,52,1083,769,156,1962,0.7,1309,2.3
LGA30450,55,520,868,100,2374,0.8,1437,2.3
LGA30760,51,867,695,157,1557,0.8,1224,2.3
LGA30900,47,1020,902,138,1875,1,1380,2.5
LGA31000,36,2019,943,410,2474,0.8,2064,2.5
LGA31750,46,750,1034,155,1968,0.9,1680,2.5
LGA31820,47,1300,590,285,1427,0.8,1153,2.4
LGA31900,46,1213,709,220,1804,0.8,1321,2.3
LGA31950,56,460,967,157,2125,1,1447,2.3
LGA32080,39,1582,801,340,1950,0.8,1569,2.5
LGA32250,51,1207,735,181,1704,1.1,1319,2.5
LGA32260,48,1300,646,255,1475,0.8,1206,2.3
LGA32270,37,1500,1034,250,2443,0.8,2040,2.6
LGA32310,44,1298,669,220,1734,0.8,1272,2.4
LGA32330,23,0,377,100,803,1,792,3.4
LGA32450,41,1200,1183,220,2321,0.8,1599,2.5
LGA32500,48,1300,746,200,1494,1,1309,2.3
LGA32600,49,243,813,148,1937,1,1394,2.7
LGA32750,46,953,976,142,2187,0.9,1760,2.1
LGA32770,25,737,362,120,882,1.5,1253,4.2
LGA32810,50,1517,761,323,1682,0.8,1346,2.3
LGA33100,59,867,776,200,1441,1,1395,2.2
LGA33200,50,758,817,161,1743,0.8,1352,2.3
LGA33220,51,1300,534,300,1293,0.7,1064,2.3
LGA33360,39,1600,754,277,2048,0.8,1622,2.5
LGA33430,39,1950,784,450,2010,0.8,1686,2.5
LGA33610,41,1300,768,250,1735,0.8,1390,2.5
