LGA_CODE_2021,Tot_Mgr,Tot_Pfn,Tot_Tch_trwk,Tot_Co_Pswk,Tot_Cl_Adwk,Tot_Sal,Tot_MchOp,Tot_Lab,Tot_Inad_ns,Tot_To
LGA51540,632,496,396,340,371,228,219,396,61,3137
LGA51610,162,92,109,68,95,47,76,64,9,720
LGA51680,427,315,566,287,368,164,299,294,48,2768
LGA51710,114,141,161,169,98,19,80,102,18,904
LGA51750,992,2254,253,530,529,360,73,175,70,5238
LGA51820,7040,13906,10062,7220,8245,4824,3904,5292,1017,61511
LGA51860,50,62,49,40,23,11,13,42,0,288
LGA51890,229,308,792,391,291,252,530,541,75,3402
LGA51960,118,176,433,109,139,76,559,157,36,1802
LGA52030,131,31,52,21,39,19,59,52,12,414
LGA52100,175,50,59,40,51,37,43,63,10,512
LGA52170,806,1772,179,366,365,283,56,103,77,4000
LGA52240,202,27,33,31,36,7,46,96,14,494
LGA52310,103,41,44,33,49,24,30,73,7,395
LGA52380,40,34,79,13,20,0,135,28,11,361
LGA52450,149,52,78,54,54,45,51,88,12,589
LGA52520,227,72,76,30,79,37,72,71,8,676
LGA52590,346,214,244,127,165,106,201,272,30,1707
LGA52660,683,898,1266,764,820,652,759,836,116,6793
LGA52730,512,559,389,270,235,174,120,306,46,2611
LGA52800,380,723,329,513,306,118,176,289,71,2899
LGA52870,463,394,448,265,249,149,305,378,44,2696
LGA52940,128,24,30,31,27,7,32,41,0,325
LGA53010,126,32,29,29,31,11,19,41,10,311
LGA53080,53,87,83,33,33,18,74,59,5,458
LGA53150,746,1472,316,398,399,296,74,176,46,3932
LGA53220,773,1385,3498,429,522,165,3125,1141,149,11195
LGA53290,1134,842,981,570,713,513,738,821,151,6470
LGA53360,489,544,523,373,376,213,151,328,66,3053
LGA53430,2436,6026,1802,1898,1497,935,506,882,233,16224
LGA53570,460,209,324,145,233,115,253,589,61,2387
LGA53640,206,44,88,25,48,24,63,99,12,609
LGA53710,128,43,57,32,47,17,45,47,8,428
LGA53780,4767,9639,9520,7250,7375,4891,5982,6819,1098,57349
LGA53800,1872,3018,2884,2399,2031,1627,1506,1997,268,17603
LGA53920,185,338,139,232,103,46,104,117,53,1311
LGA53990,1254,1785,2525,1436,1441,1013,1438,1889,236,13015
LGA54060,256,197,271,149,150,123,138,207,45,1529
LGA54130,236,57,72,32,46,20,45,83,8,594
LGA54170,11155,20699,12199,9455,11544,6761,3307,5517,1160,81796
LGA54200,3374,5324,4769,3112,4114,2185,2531,2339,484,28235
LGA54280,1475,2393,3508,1431,1691,997,2680,1458,282,15901
LGA54310,1379,2032,3467,1082,1356,610,1564,1416,273,13172
LGA54340,242,216,279,182,182,138,100,441,40,1814
LGA54410,102,55,62,58,36,24,47,77,11,467
LGA54480,127,15,14,12,15,4,34,41,4,262
LGA54550,321,94,105,56,72,44,85,170,16,950
LGA54620,182,71,128,44,49,20,122,71,12,691
LGA54690,69,10,16,16,19,5,26,24,3,184
LGA54760,166,40,31,22,24,15,32,54,6,379
LGA54830,1628,3100,3709,2786,2587,1764,2313,2493,344,20726
LGA54900,300,64,80,40,57,37,76,89,18,764
LGA54970,127,261,480,52,79,7,613,114,16,1753
LGA55040,157,203,367,64,97,26,475,178,17,1585
LGA55110,3325,5076,6234,5024,3644,3385,3482,3698,602,34482
LGA55180,888,521,568,439,412,323,375,822,71,4425
LGA55250,137,164,270,65,57,28,273,115,16,1120
LGA55320,7722,16856,5133,4980,6734,4090,1646,2845,729,50737
LGA55390,55,102,202,20,21,0,241,72,3,721
LGA55460,249,190,234,155,146,114,170,151,35,1432
LGA55530,92,19,19,17,15,10,29,26,3,226
LGA55600,263,122,147,109,108,61,117,144,18,1079
LGA55670,92,32,17,18,23,12,22,31,3,250
LGA55740,819,1694,265,481,418,312,92,228,66,4372
LGA55810,48,61,115,18,32,11,141,45,13,479
LGA55880,113,14,25,12,14,3,21,32,3,234
LGA55950,104,31,36,16,19,12,29,23,7,279
LGA56090,2265,3783,2975,2049,2336,1427,1271,1366,338,17812
LGA56160,18,13,14,4,0,0,0,14,4,69
LGA56230,752,761,1431,855,694,607,944,836,131,7016
LGA56300,145,90,77,62,52,28,45,107,10,610
LGA56370,146,34,38,20,23,19,27,55,5,359
LGA56460,338,362,306,276,219,156,155,283,36,2136
LGA56580,2010,4922,494,947,1058,665,151,369,156,10762
LGA56620,49,103,9,45,18,8,9,23,5,276
LGA56730,558,582,712,567,522,409,434,586,91,4463
LGA56790,361,222,203,172,150,103,150,261,35,1658
LGA56860,40,9,8,9,10,3,8,11,0,99
LGA56930,181,274,31,72,70,52,8,16,18,717
LGA57000,121,51,115,18,28,9,146,48,4,539
LGA57080,2478,6347,1700,2242,1868,1043,645,1149,269,17733
LGA57140,102,41,49,37,31,23,22,55,4,375
LGA57210,510,259,277,202,208,139,187,389,56,2235
LGA57280,836,1309,2267,684,930,433,1362,914,231,8971
LGA57350,102,24,30,34,20,17,22,37,0,290
LGA57420,219,130,339,67,95,38,298,183,43,1411
