RA_CODE_2021,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85_yr_over_Married,M_85_yr_over_Separated,M_85_yr_over_Divorced,M_85_yr_over_Widowed,M_85_yr_over_Never_married,M_85_yr_over_Tot,M_OS_visitors_Married,M_OS_visitors_Separated,M_OS_visitors_Divorced,M_OS_visitors_Widowed,M_OS_visitors_Never_married,M_OS_visitors_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85_yr_over_Married,F_85_yr_over_Separated,F_85_yr_over_Divorced,F_85_yr_over_Widowed,F_85_yr_over_Never_married,F_85_yr_over_Tot,F_OS_visitors_Married,F_OS_visitors_Separated,F_OS_visitors_Divorced,F_OS_visitors_Widowed,F_OS_visitors_Never_married,F_OS_visitors_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85_yr_over_Married,P_85_yr_over_Separated,P_85_yr_over_Divorced,P_85_yr_over_Widowed,P_85_yr_over_Never_married,P_85_yr_over_Tot,P_OS_vis_Married,P_OS_vis_Separated,P_OS_vis_Divorced,P_OS_vis_Widowed,P_OS_vis_Never_married,P_OS_vis_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot
RA25,0,0,0,0,0,0,0,0,0,0,4,4,17,0,0,0,15,30,63,11,15,0,40,131,127,9,7,0,20,163,113,11,8,0,5,141,6,0,5,0,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,32,38,0,102,493,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,19,17,6,0,6,0,8,14,0,0,5,0,18,18,12,0,6,3,4,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,6,3,38,72,0,0,0,0,0,0,0,0,0,0,4,4,21,0,0,0,29,52,66,11,19,0,43,140,127,9,11,0,38,182,124,11,11,4,9,158,6,0,5,0,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,32,51,4,139,565
RA30,100,30,23,21,104242,104417,2369,172,70,54,108303,110966,63773,3505,3607,177,162186,233250,131286,8812,13367,466,71549,225479,128151,11170,24572,1160,43963,209013,111091,8523,27535,2655,24121,173920,95786,5751,21846,5629,10259,139266,54979,2297,8950,8396,3453,78061,13617,433,1592,7451,942,24044,1966,118,281,112,1654,4132,603103,40797,101833,26120,530679,1302548,135,28,20,15,100054,100249,4682,399,110,55,106942,112191,85429,6173,5956,347,148883,246794,143005,12654,19846,1322,64570,241392,131347,14155,35815,3783,39550,224650,110135,10250,40666,9403,20130,190588,88169,5934,32219,21247,8577,156148,40215,1850,13474,31151,3093,89781,6859,270,2966,27302,1327,38713,1617,104,279,442,1399,3842,611596,51809,151361,95073,494516,1404353,234,55,40,41,204301,204668,7049,571,183,109,215239,223154,149201,9676,9564,530,311072,480046,274293,21465,33210,1784,136118,466872,259497,25327,60389,4936,83516,433666,221225,18770,68203,12061,44254,364513,183951,11684,54065,26879,18833,295415,95188,4147,22419,39547,6545,167844,20470,703,4562,34752,2271,62754,3586,223,561,557,3059,7975,1214703,92613,253190,121199,1025200,2706897
RA31,37,5,5,4,30933,30988,881,78,24,14,24980,25972,16165,1099,918,61,35482,53721,29458,2730,3519,132,18340,54175,34300,3717,7514,445,14308,60287,40053,3528,11020,1204,9983,65789,42176,2864,10303,2845,4335,62520,23487,1042,4122,3846,1482,33976,5063,176,652,2832,356,9071,362,19,64,28,318,792,191974,15258,38147,11404,140515,397297,57,15,11,3,29099,29188,1597,126,27,16,23200,24970,21052,1902,1542,126,31519,56131,33200,3908,5105,496,16514,59226,37380,4421,10483,1262,11888,65429,42914,3878,13750,3667,6817,71025,38990,2282,11092,8577,2755,63703,17069,703,4251,12517,941,35480,2494,85,809,9577,372,13332,238,24,69,70,290,694,194987,17344,47135,36316,123400,419181,96,21,14,10,60036,60175,2479,206,50,35,48179,50947,37214,2997,2458,189,66998,109855,62660,6638,8620,629,34853,113402,71678,8137,17997,1702,26201,125718,82967,7404,24772,4870,16800,136817,81170,5144,21400,11417,7092,126225,40554,1734,8376,16358,2423,69450,7555,262,1465,12405,726,22410,600,43,133,100,612,1483,386963,32598,85281,47718,263912,816483
RA32,30,12,4,3,21285,21342,519,68,15,12,20484,21099,11870,833,703,42,32320,45764,22928,1910,2788,98,16582,44305,26131,2710,5917,325,12817,47904,28607,2657,8381,881,9056,49576,26839,2113,7449,1963,3970,42334,13109,713,2685,2294,1269,20072,2604,98,369,1485,276,4840,963,39,96,32,1504,2627,133599,11155,28394,7144,119564,299859,27,14,0,8,20363,20408,830,64,28,23,18705,19646,14797,1235,996,99,28510,45644,24460,2618,3683,295,14401,45455,26074,2974,7410,895,10065,47420,28320,2545,9307,2502,5887,48563,23422,1503,6867,5356,2088,39234,9134,409,2327,6859,590,19318,1196,49,368,5020,171,6799,339,32,56,59,794,1280,128604,11442,31040,21117,101565,293768,58,27,4,15,41645,41747,1348,131,39,31,39186,40745,26672,2068,1697,149,60833,91407,47387,4528,6475,397,30982,89763,52209,5683,13322,1219,22886,95326,56931,5201,17682,3386,14938,98140,50263,3615,14316,7314,6056,81568,22241,1131,5007,9154,1856,39386,3796,149,731,6507,450,11634,1304,67,153,92,2295,3907,262200,22599,59432,28262,221130,593626
RA33,0,0,0,0,2069,2069,68,11,0,0,2423,2503,1766,107,114,9,4623,6614,3170,247,375,12,2293,6096,3671,356,817,57,1892,6787,4311,391,1228,135,1234,7296,3522,262,945,242,546,5520,1258,76,307,267,159,2067,199,5,30,107,26,375,116,10,5,11,154,292,18078,1468,3818,839,15416,39626,5,0,0,0,1728,1735,92,9,0,0,2260,2361,1774,113,103,13,3713,5709,2472,199,266,35,1721,4694,2792,254,595,102,1190,4940,3557,221,916,253,672,5622,2824,141,542,525,238,4279,822,32,142,608,42,1649,83,3,24,332,11,448,51,4,0,3,144,208,14472,968,2588,1870,11736,31637,3,0,0,0,3799,3802,155,21,3,0,4680,4862,3538,215,210,14,8342,12319,5640,444,644,46,4022,10791,6467,613,1420,157,3081,11729,7865,620,2147,385,1909,12923,6350,401,1488,773,784,9798,2086,107,443,878,202,3714,282,11,47,444,35,825,164,12,7,11,297,499,32555,2435,6409,2712,27149,71263
RA34,14,0,0,9,1655,1675,47,5,3,0,2044,2091,1089,70,47,7,3700,4913,1932,124,200,6,1948,4205,2416,239,501,39,1550,4736,3176,232,708,120,1071,5302,3078,202,701,245,447,4672,995,60,203,209,129,1598,124,7,21,77,36,263,77,0,9,4,83,172,12933,930,2380,716,12662,29631,3,0,0,0,1466,1470,65,0,3,0,1974,2040,1052,75,54,8,3153,4341,1543,117,173,21,1748,3607,1868,157,412,69,1295,3806,3046,181,620,251,734,4833,2482,89,463,422,289,3743,585,16,122,413,73,1216,62,0,17,261,11,355,21,0,0,3,57,87,10732,646,1861,1451,10806,25500,13,0,0,8,3121,3152,109,5,4,0,4016,4134,2140,142,106,12,6853,9251,3475,244,372,28,3698,7811,4287,397,910,108,2845,8546,6222,410,1328,372,1806,10132,5559,295,1163,666,735,8419,1581,77,322,622,205,2807,188,4,41,336,54,617,98,5,6,9,137,262,23668,1579,4243,2166,23469,55129
RA35,0,0,0,0,8,8,0,0,0,0,8,8,8,6,0,4,43,69,43,11,7,0,43,102,39,5,11,0,19,77,9,0,9,0,0,26,10,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,6,17,124,20,29,4,134,317,0,0,0,0,6,6,0,0,0,0,3,3,0,0,0,0,23,23,0,0,0,0,7,7,0,0,0,0,8,3,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,4,0,4,0,61,65,0,0,0,0,11,11,0,0,0,0,15,15,8,6,0,4,72,87,43,11,7,0,53,111,47,5,11,0,23,79,17,0,15,0,0,34,10,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,19,24,129,20,36,4,192,380
RA40,19,13,10,13,38933,38985,870,58,24,14,44021,44989,27266,1150,1286,47,63598,93347,51354,3154,4854,150,27955,87471,47801,4065,9337,492,20302,81992,46357,3528,12072,1216,13274,76453,42061,2425,9605,2710,5401,62201,25114,878,3781,3865,1472,35104,7636,196,725,4499,373,13427,564,37,73,25,401,1103,249027,15501,41776,13024,215736,535065,52,13,9,6,36865,36948,2056,168,60,16,40922,43219,36239,2028,2117,126,54183,94692,54535,4373,7138,541,24482,91072,48560,5082,13409,1526,16671,85245,46554,4074,17349,4186,10699,82859,39687,2360,14432,9837,4588,70902,19640,738,5780,15829,1452,43438,3849,116,1484,16105,577,22135,534,26,98,197,351,1196,251718,18981,61872,48362,190790,571722,74,23,20,15,75799,75937,2926,222,86,32,84945,88213,63506,3175,3401,175,117781,188034,105892,7526,11987,691,52441,178540,96361,9142,22748,2016,36973,167235,92905,7598,29425,5399,23978,159310,81745,4789,24039,12552,9992,133105,44755,1611,9557,19692,2927,78545,11486,313,2211,20602,950,35564,1093,59,174,222,754,2299,500747,34477,103643,61388,406525,1106785
RA41,3,0,0,7,4845,4859,99,3,0,0,3919,4027,2346,128,99,9,5312,7890,4859,353,496,17,3026,8757,6361,547,1351,66,2611,10944,7843,567,2169,194,2021,12788,8632,463,1909,505,832,12347,5067,187,730,696,271,6950,1143,22,111,650,50,1976,29,0,6,0,28,70,36385,2280,6872,2145,22919,70594,13,0,0,0,4707,4723,163,15,0,0,3568,3742,3155,205,182,15,4582,8142,5569,509,763,48,2498,9393,6937,621,1708,217,2076,11557,8275,581,2489,619,1397,13363,8265,368,2047,1498,589,12767,3789,110,772,2215,201,7088,620,15,131,1972,73,2810,19,0,10,6,23,68,36802,2430,8109,6593,19719,73647,10,0,0,8,9558,9577,255,20,4,0,7488,7765,5500,332,274,23,9898,16028,10436,859,1259,65,5528,18151,13299,1169,3060,286,4689,22500,16122,1150,4651,815,3420,26155,16895,834,3959,2004,1415,25107,8854,300,1501,2907,474,14038,1766,37,242,2617,127,4787,51,0,19,6,53,135,73180,4712,14981,8737,42637,144244
RA42,9,0,0,0,5656,5668,147,11,3,0,5015,5178,3033,182,146,3,8014,11384,5473,514,591,40,4231,10847,6722,717,1491,99,3853,12890,8779,814,2585,284,2825,15288,9168,668,2337,738,1100,14009,5018,193,762,929,341,7243,1184,33,133,780,86,2216,416,7,14,8,306,753,39948,3138,8070,2881,31431,85470,6,0,0,0,4961,4968,242,24,9,6,4217,4489,3620,326,239,16,6574,10773,5869,607,816,59,3446,10800,7055,782,1859,285,2719,12703,9002,741,2624,786,1633,14781,8355,465,1935,1969,525,13247,3834,135,693,3131,164,7957,570,18,136,2551,59,3336,52,8,11,7,63,140,38620,3106,8308,8802,24361,83198,16,0,0,0,10614,10636,391,34,11,5,9234,9666,6657,513,381,22,14586,22161,11348,1118,1402,98,7672,21647,13776,1504,3356,382,6578,25591,17778,1550,5209,1071,4456,30069,17524,1132,4269,2699,1623,27254,8855,330,1450,4058,503,15198,1752,55,276,3328,150,5555,470,14,26,16,368,893,78571,6242,16382,11679,55789,168665
RA43,0,0,0,0,1117,1117,20,0,0,0,1107,1128,945,53,42,4,2263,3299,1713,116,178,9,1150,3158,1925,151,347,19,886,3337,2210,204,631,63,680,3784,2019,127,518,130,240,3028,1089,42,162,192,67,1547,244,9,25,145,13,436,10,5,5,6,14,38,10170,702,1908,566,7526,20878,0,0,0,0,991,985,48,9,0,0,924,983,988,70,39,8,1597,2700,1481,132,164,10,774,2558,1619,175,365,58,584,2804,1979,158,608,152,342,3232,1791,95,416,364,110,2774,786,24,120,476,23,1428,116,3,35,446,12,614,5,4,0,0,11,25,8808,662,1758,1510,5365,18102,0,0,0,0,2101,2108,68,9,0,5,2033,2111,1926,118,85,8,3858,6000,3187,252,342,13,1924,5718,3546,331,714,79,1467,6140,4182,357,1237,219,1017,7019,3808,219,932,494,351,5797,1870,68,283,668,89,2980,363,13,68,590,27,1047,17,8,6,7,27,66,18979,1364,3666,2075,12890,38979
RA44,15,0,0,0,399,421,67,0,0,0,450,517,399,21,22,3,965,1403,737,50,61,3,472,1324,769,69,174,10,426,1453,942,83,264,34,342,1672,829,66,197,47,123,1260,289,19,75,48,55,486,60,3,6,27,12,107,9,0,0,0,9,16,4116,312,800,178,3251,8663,23,0,0,0,326,347,65,0,5,0,333,403,382,29,17,7,665,1091,484,39,40,19,299,877,503,59,105,34,304,1005,719,55,183,80,163,1203,658,23,125,134,55,991,182,0,27,114,13,344,20,0,9,94,3,128,5,0,0,0,15,20,3046,209,501,484,2162,6406,41,0,0,0,725,763,132,3,5,0,783,916,782,39,36,9,1624,2497,1221,92,99,25,766,2200,1274,125,279,49,732,2459,1665,142,448,117,509,2878,1494,83,317,176,180,2251,475,25,101,164,63,834,85,5,12,123,12,239,8,0,0,3,20,35,7166,527,1303,658,5419,15069
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,5,16,8,0,0,0,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,24,0,0,0,10,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,5,16,8,0,0,0,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,24,0,0,0,10,40
RA50,70,14,16,18,62034,62155,1262,81,43,30,63173,64592,40619,1928,1973,118,95271,139912,86433,5227,7457,214,43262,142591,80487,6322,13109,716,25948,126586,71488,4920,15974,1651,15215,109242,60244,3308,12743,3408,6281,85978,33259,1315,5140,4692,1986,46391,9153,270,967,4748,483,15624,1269,82,183,72,901,2510,384281,23470,57606,15664,314549,795570,72,21,10,21,59339,59453,2909,216,82,34,60446,63678,58710,3696,3507,201,84656,150769,95582,7340,11181,843,37258,152200,83643,7788,19518,2196,21932,135068,71832,5802,23359,5712,11667,118366,55237,3333,18666,13070,4920,95229,24599,1044,7777,18643,1691,53755,4788,170,1784,17502,625,24875,1052,64,171,387,743,2408,398418,29469,86049,58605,283276,855812,139,32,27,33,121376,121607,4169,294,130,59,123620,128270,99331,5628,5477,316,179924,290682,182018,12567,18631,1053,80516,294791,164133,14112,32624,2915,47880,261655,143319,10720,39329,7356,26883,227611,115480,6642,31409,16482,11202,181210,57855,2361,12921,23334,3670,100145,13943,446,2756,22250,1110,40499,2321,143,355,453,1642,4920,782697,52944,143656,74265,597823,1651383
RA51,7,0,0,4,6901,6909,164,11,0,5,5420,5608,3411,226,165,4,8407,12223,7460,658,796,22,4834,13766,8755,841,1668,85,3550,14897,9431,736,2401,239,2125,14932,9034,546,2176,554,824,13132,4679,189,742,683,204,6494,1039,23,119,537,57,1771,100,10,12,3,166,285,44075,3238,8086,2145,32485,90027,14,0,0,0,6483,6499,214,17,0,7,4498,4736,4538,356,307,32,7027,12254,8622,843,1145,101,4062,14776,9417,1001,2306,293,2922,15936,9862,772,3055,711,1487,15885,8234,451,2343,1605,529,13155,3371,112,820,2302,167,6765,538,17,176,1882,55,2669,52,5,16,17,76,173,44861,3577,10160,6949,27307,92852,17,0,4,3,13379,13413,379,30,0,10,9922,10344,7944,580,473,40,15436,24468,16085,1501,1940,124,8901,28546,18170,1837,3969,378,6474,30835,19293,1509,5455,944,3610,30818,17272,993,4518,2161,1352,26293,8044,297,1557,2990,366,13256,1574,45,291,2423,112,4443,154,13,28,20,242,465,88933,6813,18243,9094,59792,182875
RA52,15,0,9,0,5462,5488,151,12,0,3,4498,4671,3009,151,153,12,7429,10749,5860,495,551,27,4075,10997,6784,688,1301,96,3296,12166,7921,716,2071,293,2373,13375,7189,529,1851,542,992,11095,3722,198,679,655,299,5544,929,25,114,515,65,1655,97,10,12,9,118,253,35672,2821,6733,2154,28605,75992,8,6,0,0,5005,5015,251,30,5,9,3901,4197,3752,260,224,29,6233,10494,6307,611,799,99,3446,11258,6886,708,1672,236,2620,12114,7838,654,2317,643,1565,13014,6453,371,1743,1440,493,10501,2743,106,669,1990,136,5639,463,21,138,1585,35,2246,45,0,7,21,72,149,34737,2757,7570,6052,23507,74624,20,3,8,9,10464,10498,410,44,7,9,8406,8869,6762,412,376,41,13662,21244,12163,1102,1348,123,7520,22258,13672,1389,2976,331,5910,24285,15753,1367,4386,940,3940,26383,13642,901,3593,1979,1479,21591,6468,301,1345,2647,436,11185,1394,44,248,2105,111,3903,141,13,17,34,196,400,70413,5581,14303,8208,52115,150616
RA53,8,0,0,0,2338,2343,63,4,0,3,2467,2545,2103,111,108,11,5578,7909,4871,306,440,25,3118,8761,4547,479,857,45,2120,8050,4623,407,1197,125,1256,7605,3615,254,744,239,382,5218,1411,54,218,238,100,2024,239,12,27,106,17,398,69,9,12,0,124,219,21547,1636,3608,799,17494,45077,5,0,0,0,2005,2010,89,3,4,0,2161,2260,2464,145,144,14,4682,7451,4044,286,413,55,2275,7072,3456,338,734,87,1413,6035,3758,278,996,270,747,6038,3002,132,613,516,222,4490,927,40,180,525,44,1721,104,10,30,318,12,472,36,5,8,5,99,149,17899,1234,3118,1794,13655,37710,13,0,0,0,4341,4357,156,6,4,3,4629,4802,4572,258,252,22,10258,15363,8914,599,860,78,5389,15836,8010,821,1596,137,3533,14085,8381,681,2195,397,2002,13653,6619,386,1354,754,600,9712,2336,97,404,767,146,3746,346,17,51,428,32,870,109,9,19,10,225,367,39444,2875,6727,2593,31150,82788
RA54,28,0,0,3,1672,1707,188,13,6,4,3314,3525,3287,194,242,21,9560,13299,6702,530,842,21,4898,12990,6989,698,1547,71,3155,12458,6540,581,1621,190,1515,10451,4426,206,925,258,476,6278,1225,69,183,151,92,1721,98,6,10,63,12,192,171,8,28,3,261,478,29659,2306,5403,783,24955,63107,48,0,0,0,1486,1534,178,14,7,0,2503,2709,1778,133,156,20,5330,7420,2617,249,347,33,2438,5678,2600,369,779,132,1589,5464,3757,313,1105,301,852,6331,3309,124,586,449,241,4706,754,18,120,288,48,1229,40,0,4,129,13,179,47,4,9,4,242,301,15126,1227,3114,1353,14739,35550,78,0,3,3,3160,3245,366,33,16,7,5815,6231,5069,331,396,40,14887,20714,9320,775,1186,52,7331,18673,9593,1065,2322,202,4740,17922,10306,888,2729,485,2371,16781,7734,329,1505,709,715,10989,1980,92,303,436,142,2952,138,8,17,193,22,374,221,10,37,9,503,781,44785,3533,8515,2132,39690,98652
RA55,0,0,0,0,13,13,0,0,0,0,81,81,116,6,0,0,301,430,528,48,48,3,285,908,565,42,76,3,153,842,314,24,65,3,37,449,91,6,12,4,0,117,8,0,0,0,0,15,0,0,0,0,0,0,95,4,12,0,33,143,1728,131,216,13,908,3002,0,0,0,0,8,8,3,0,0,0,33,36,9,0,0,0,68,89,15,4,5,0,30,49,15,5,11,0,18,60,45,7,19,0,9,77,48,0,6,4,0,61,14,0,0,0,0,17,0,0,0,0,0,0,9,0,3,4,5,16,163,19,40,13,173,405,0,0,0,0,20,20,3,0,0,0,115,116,128,8,3,0,370,518,546,44,48,3,311,957,575,49,87,5,173,896,360,32,84,3,50,533,139,9,18,7,0,176,23,0,0,4,0,32,0,0,0,0,0,0,104,4,16,4,39,164,1892,147,262,29,1085,3410
RA61,8,3,0,0,9850,9865,262,18,11,11,10454,10753,8083,348,355,23,18398,27201,11229,753,1183,39,7830,21027,10969,1003,2464,128,5411,19981,11525,971,3262,398,3440,19593,10988,594,2614,803,1592,16590,6365,242,1087,1164,430,9287,1647,48,172,1075,108,3053,147,6,15,3,256,438,61227,3983,11168,3654,57765,137797,9,0,3,6,9327,9349,586,30,14,3,9863,10501,9727,593,558,34,15998,26909,11699,1108,1811,132,7624,22373,11614,1295,3544,393,5029,21872,11767,1140,4689,1089,2863,21544,10140,660,4029,2825,1239,18889,4880,193,1661,4298,439,11471,851,31,344,3711,166,5109,90,8,20,37,102,253,61363,5062,16670,12520,52646,148267,20,3,3,7,19179,19211,851,50,24,12,20317,21251,17815,943,908,56,34397,54112,22928,1859,2994,171,15451,43402,22583,2302,6011,519,10439,41850,23290,2108,7950,1486,6303,41136,21130,1250,6642,3628,2834,35482,11244,441,2749,5462,865,20757,2502,81,518,4791,270,8163,240,20,37,39,355,691,122590,9045,27839,16181,110409,286061
RA62,3,3,0,0,5405,5410,155,9,3,0,4596,4758,2845,169,168,8,7189,10372,4983,429,604,24,3994,10033,6409,689,1641,100,3479,12316,8783,764,2691,295,2584,15117,9004,636,2425,732,1153,13950,4788,199,839,929,318,7077,1019,24,113,621,74,1856,63,6,11,0,75,154,38050,2919,8493,2723,28853,81042,11,0,0,0,5001,5008,255,24,14,0,4234,4527,3639,320,272,19,6498,10747,5735,622,888,71,3741,11054,7140,773,2112,292,2897,13218,9328,747,3057,922,1765,15815,8126,450,2431,1899,672,13591,3340,114,814,2768,195,7236,485,15,168,1923,68,2657,25,0,15,13,40,103,38089,3062,9776,7915,25115,83958,14,5,0,0,10403,10424,415,31,13,3,8824,9285,6486,490,436,27,13685,21122,10713,1050,1492,97,7738,21092,13549,1461,3758,389,6373,25530,18114,1510,5751,1216,4346,30930,17133,1080,4862,2638,1828,27542,8136,308,1653,3699,514,14314,1506,37,283,2545,139,4513,90,6,24,13,123,254,76140,5985,18274,10631,53972,164997
RA63,0,0,0,0,150,150,10,0,0,0,195,200,176,12,10,0,410,606,234,14,35,0,248,531,295,30,98,4,222,652,454,58,184,24,147,868,461,41,175,27,74,778,201,12,40,42,26,317,31,0,5,30,4,75,4,0,3,0,20,27,1858,168,556,130,1503,4216,0,0,0,0,121,121,11,0,0,0,157,168,186,10,18,3,362,581,225,13,37,4,175,451,269,39,67,11,130,521,453,48,140,37,118,795,386,15,102,96,27,627,112,6,35,101,8,261,12,0,3,62,3,88,7,0,0,0,5,19,1668,144,397,310,1095,3613,0,0,0,0,268,268,18,0,0,0,350,372,360,23,22,3,772,1185,458,34,70,4,420,980,559,73,171,18,352,1171,913,108,325,58,260,1667,840,60,278,122,107,1407,318,14,68,139,36,574,48,0,9,91,7,158,13,0,5,0,20,41,3525,305,953,446,2597,7825
RA64,0,0,0,0,42,42,6,0,0,0,29,33,30,0,0,0,103,139,60,5,9,0,81,155,66,7,12,4,64,156,88,14,42,5,49,193,139,8,40,15,24,229,68,5,18,14,12,115,13,0,0,9,0,21,0,0,0,0,0,6,471,39,130,44,410,1099,0,0,0,0,22,22,3,0,0,0,26,34,33,5,3,0,84,122,67,9,5,0,61,149,62,7,21,0,51,134,101,12,31,9,36,197,121,8,31,24,9,192,38,0,18,34,0,99,3,0,3,26,0,34,0,0,0,0,0,5,443,34,120,99,292,982,0,0,0,0,66,66,9,0,0,0,63,67,68,3,7,0,190,266,133,8,17,0,145,306,126,18,35,4,114,293,193,26,72,15,89,386,260,21,70,40,33,420,114,4,36,48,12,221,15,0,9,32,0,56,0,0,0,0,0,3,911,78,248,143,706,2081
