RA_CODE_2021,M_15_19_Mgrs,M_15_19_Profnls,M_15_19_Techs_trades_workers,M_15_19_Comm_psnl_serv_wrkrs,M_15_19_Cler_admin_wrkrs,M_15_19_Sales_wrkrs,M_15_19_Mach_oper_dvrs,M_15_19_Labrs,M_15_19_Inad_desc_Ns,M_15_19_Tot,M_20_24_Mgrs,M_20_24_Profnls,M_20_24_Techs_trades_wrkrs,M_20_24_Comm_psnl_serv_wrkrs,M_20_24_Cler_admin_wrkrs,M_20_24_Sales_wrkrs,M_20_24_Mach_oper_dvrs,M_20_24_Labrs,M_20_24_Inad_desc_Ns,M_20_24_Tot,M_25_34_Mgrs,M_25_34_Profnls,M_25_34_Techs_trades_wrkrs,M_25_34_Comm_psnl_serv_wrkrs,M_25_34_Cler_admin_wrkrs,M_25_34_Sales_wrkrs,M_25_34_Mach_oper_dvrs,M_25_34_Labrs,M_25_34_Inad_desc_Ns,M_25_34_Tot,M_35_44_Mgrs,M_35_44_Profnls,M_35_44_Techs_trades_wrkrs,M_35_44_Comm_psnl_serv_wrkrs,M_35_44_Cler_admin_wrkrs,M_35_44_Sales_wrkrs,M_35_44_Mach_oper_dvrs,M_35_44_Labrs,M_35_44_Inad_desc_Ns,M_35_44_Tot,M_45_54_Mgrs,M_45_54_Profnls,M_45_54_Techs_trades_wrkrs,M_45_54_Comm_psnl_serv_wrkrs,M_45_54_Cler_admin_wrkrs,M_45_54_Sales_wrkrs,M_45_54_Mach_oper_dvrs,M_45_54_Labrs,M_45_54_Inad_desc_Ns,M_45_54_Tot,M_55_64_Mgrs,M_55_64_Profnls,M_55_64_Techs_trades_wrkrs,M_55_64_Comm_psnl_serv_wrkrs,M_55_64_Cler_admin_wrkrs,M_55_64_Sales_wrkrs,M_55_64_Mach_oper_dvrs,M_55_64_Labrs,M_55_64_Inad_desc_Ns,M_55_64_Tot,M_65_74_Mgrs,M_65_74_Profnls,M_65_74_Techs_trades_wrkrs,M_65_74_Comm_psnl_serv_wrkrs,M_65_74_Cler_admin_wrkrs,M_65_74_Sales_wrkrs,M_65_74_Mach_oper_dvrs,M_65_74_Labrs,M_65_74_Inad_desc_Ns,M_65_74_Tot,M_75_84_Mgrs,M_75_84_Profnls,M_75_84_Techs_trades_wrkrs,M_75_84_Comm_psnl_serv_wrkrs,M_75_84_Cler_admin_wrkrs,M_75_84_Sales_wrkrs,M_75_84_Mach_oper_dvrs,M_75_84_Labrs,M_75_84_Inad_desc_Ns,M_75_84_Tot,M_85_yr_over_Mgrs,M_85_yr_over_Profnls,M_85ov_Techs_trades_wrkrs,M_85ov_Com_psnl_serv_wrkrs,M_85_yr_over_Cler_admin_wrkrs,M_85_yr_over_Sales_wrkrs,M_85_yr_over_Mach_oper_dvrs,M_85_yr_over_Labrs,M_85_yr_over_Inad_desc_Ns,M_85_yr_over_Tot,M_Tot_Mgrs,M_Tot_Profnls,M_Tot_Techs_trades_wrkrs,M_Tot_Comm_psnl_serv_wrkrs,M_Tot_Cler_admin_wrkrs,M_Tot_Sales_wrkrs,M_Tot_Mach_oper_dvrs,M_Tot_Labrs,M_Tot_Inad_desc_Ns,M_Tot_Tot,F_15_19_Mgrs,F_15_19_Profnls,F_15_19_Techs_trades_workers,F_15_19_Comm_psnl_serv_wrkrs,F_15_19_Cler_admin_wrkrs,F_15_19_Sales_wrkrs,F_15_19_Mach_oper_dvrs,F_15_19_Labrs,F_15_19_Inad_desc_Ns,F_15_19_Tot,F_20_24_Mgrs,F_20_24_Profnls,F_20_24_Techs_trades_wrkrs,F_20_24_Comm_psnl_serv_wrkrs,F_20_24_Cler_admin_wrkrs,F_20_24_Sales_wrkrs,F_20_24_Mach_oper_dvrs,F_20_24_Labrs,F_20_24_Inad_desc_Ns,F_20_24_Tot,F_25_34_Mgrs,F_25_34_Profnls,F_25_34_Techs_trades_wrkrs,F_25_34_Comm_psnl_serv_wrkrs,F_25_34_Cler_admin_wrkrs,F_25_34_Sales_wrkrs,F_25_34_Mach_oper_dvrs,F_25_34_Labrs,F_25_34_Inad_desc_Ns,F_25_34_Tot,F_35_44_Mgrs,F_35_44_Profnls,F_35_44_Techs_trades_wrkrs,F_35_44_Comm_psnl_serv_wrkrs,F_35_44_Cler_admin_wrkrs,F_35_44_Sales_wrkrs,F_35_44_Mach_oper_dvrs,F_35_44_Labrs,F_35_44_Inad_desc_Ns,F_35_44_Tot,F_45_54_Mgrs,F_45_54_Profnls,F_45_54_Techs_trades_wrkrs,F_45_54_Comm_psnl_serv_wrkrs,F_45_54_Cler_admin_wrkrs,F_45_54_Sales_wrkrs,F_45_54_Mach_oper_dvrs,F_45_54_Labrs,F_45_54_Inad_desc_Ns,F_45_54_Tot,F_55_64_Mgrs,F_55_64_Profnls,F_55_64_Techs_trades_wrkrs,F_55_64_Comm_psnl_serv_wrkrs,F_55_64_Cler_admin_wrkrs,F_55_64_Sales_wrkrs,F_55_64_Mach_oper_dvrs,F_55_64_Labrs,F_55_64_Inad_desc_Ns,F_55_64_Tot,F_65_74_Mgrs,F_65_74_Profnls,F_65_74_Techs_trades_wrkrs,F_65_74_Comm_psnl_serv_wrkrs,F_65_74_Cler_admin_wrkrs,F_65_74_Sales_wrkrs,F_65_74_Mach_oper_dvrs,F_65_74_Labrs,F_65_74_Inad_desc_Ns,F_65_74_Tot,F_75_84_Mgrs,F_75_84_Profnls,F_75_84_Techs_trades_wrkrs,F_75_84_Comm_psnl_serv_wrkrs,F_75_84_Cler_admin_wrkrs,F_75_84_Sales_wrkrs,F_75_84_Mach_oper_dvrs,F_75_84_Labrs,F_75_84_Inad_desc_Ns,F_75_84_Tot,F_85_yr_over_Mgrs,F_85_yr_over_Profnls,F_85_yr_over_Techs_tra_wrkrs,F_85ov_Com_psnl_serv_wrkrs,F_85ov_Cler_admin_wrkrs,F_85_yr_over_Sales_wrkrs,F_85_yr_over_Mach_oper_dvrs,F_85_yr_over_Labrs,F_85_yr_over_Inad_desc_Ns,F_85_yr_over_Tot,F_Tot_Mgrs,F_Tot_Profnls,F_Tot_Techs_trades_wrkrs,F_Tot_Comm_psnl_serv_wrkrs,F_Tot_Cler_admin_wrkrs,F_Tot_Sales_wrkrs,F_Tot_Mach_oper_dvrs,F_Tot_Labrs,F_Tot_Inad_desc_Ns,F_Tot_Tot
RA25,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,3,4,0,0,0,3,4,0,11,3,11,6,7,0,0,5,7,0,39,9,10,11,0,4,0,11,6,4,44,0,8,7,3,0,0,12,8,0,43,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,31,39,6,4,0,31,33,5,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,0,0,0,0,0,22
RA30,670,1051,7993,4889,1317,10691,3422,14463,754,45244,3311,9858,19499,9267,5406,9427,7567,13314,1757,79418,19100,42452,45551,14221,12053,11083,18156,20123,4157,186895,34255,46986,39319,10485,12169,8766,17238,15292,3969,188486,35585,38091,32274,9771,11130,8403,17093,14293,3326,169967,22244,23510,22262,6236,8364,6541,14824,11570,2117,117679,6124,8006,5105,1516,2292,2447,4117,3427,666,33702,1089,1118,391,151,309,440,358,419,249,4530,91,59,19,4,26,27,15,21,71,332,122470,171126,172425,56545,53078,57826,82789,92928,17062,826242,786,1426,1621,13691,3483,21843,844,6700,752,51159,4001,14663,4249,22036,14081,14239,1672,5160,1319,81418,17894,62022,9681,31264,32775,14450,2668,9704,3228,183684,24705,61982,7669,26487,36645,11095,2089,8967,3121,182771,22841,47871,6665,25827,39771,12283,2352,10341,2461,170407,11427,27288,3873,17885,29711,9775,1793,9241,1414,112404,2475,5884,783,3333,7446,2679,413,2204,420,25638,292,441,66,173,647,280,23,216,157,2284,18,16,0,4,26,11,0,4,67,143,84435,221594,34606,140696,164587,86655,11852,52539,12934,809904
RA31,256,150,3743,1092,231,3265,810,4860,320,14725,731,1144,6243,1592,578,1678,1848,4195,400,18409,3550,4846,13102,2833,1454,2015,5146,6724,868,40544,6046,5883,11811,2514,1654,1698,6029,5216,1019,41866,7646,6244,10678,2729,2159,1867,7455,5340,1047,45161,6712,5086,8667,2224,1997,1766,7487,4913,805,39661,2814,1793,1996,528,569,710,1923,1317,289,11937,805,249,158,42,84,112,170,203,128,1940,101,13,11,0,15,11,4,13,48,208,28647,25404,56410,13554,8745,13113,30881,32782,4918,214455,226,240,707,3847,1069,6435,223,2229,283,15257,749,2517,1375,4869,2791,2831,347,1612,276,17370,3008,10236,2624,7668,7317,3502,736,3401,593,39074,4460,11428,2125,8005,8685,3240,681,3577,679,42879,5236,10642,2102,8951,10437,3968,830,4416,626,47209,3764,7638,1415,7119,8812,3346,719,4226,491,37526,1323,1744,277,1273,2121,828,133,1089,184,8972,321,114,33,68,225,67,0,104,96,1034,30,7,0,3,14,7,0,0,36,98,19122,44571,10649,41804,41477,24224,3673,20653,3262,209421
RA32,184,98,2546,839,153,2265,538,3093,229,9936,623,990,4593,1830,453,1195,1500,2758,310,14239,3107,4323,10073,3248,1010,1381,4132,4889,768,32940,5238,4430,8826,2234,1233,1096,5124,3584,723,32491,6294,4463,7808,2297,1446,1272,6180,3736,818,34309,5587,3547,6053,1638,1393,1193,5962,3726,677,29781,2630,1403,1492,375,386,439,1725,1171,246,9859,876,183,127,37,71,82,145,172,94,1776,103,8,3,0,3,7,9,17,23,170,24638,19445,41515,12501,6142,8930,25317,23138,3882,165515,151,201,541,2666,694,4528,130,1496,231,10643,573,2218,887,3637,1960,2051,408,1188,199,13121,2509,8810,1886,6021,5317,2533,843,2708,480,31108,3826,8747,1674,5772,6777,2437,752,2600,492,33079,4413,7544,1408,6151,7403,2952,874,3196,499,34441,3229,5257,990,4685,6207,2630,555,3241,380,27165,1210,1323,228,941,1613,722,128,861,182,7203,280,97,17,61,179,70,8,99,86,903,25,3,0,0,10,3,0,15,15,67,16227,34198,7637,29930,30165,17922,3698,15418,2557,157740
RA33,19,10,285,45,3,158,68,308,32,941,74,129,515,103,25,62,239,420,39,1602,555,541,1366,228,86,81,831,660,112,4456,832,373,1151,150,75,62,969,412,96,4117,1048,348,1015,137,95,68,1036,435,107,4287,994,353,851,113,127,80,1039,462,83,4115,539,116,194,30,46,25,271,158,40,1418,204,14,20,0,8,9,11,29,16,308,23,0,0,0,0,0,0,3,7,34,4287,1884,5389,812,454,554,4470,2898,530,21279,13,17,44,203,95,238,19,154,16,804,75,276,94,377,218,140,62,214,34,1486,359,945,221,631,615,199,170,418,75,3641,497,734,147,437,648,208,133,306,59,3164,634,517,132,472,674,269,165,391,50,3314,562,456,114,360,602,209,76,411,45,2838,269,99,24,82,164,62,14,105,22,846,81,11,11,6,28,0,0,13,23,172,8,0,0,0,3,0,0,0,8,26,2499,3051,791,2566,3042,1328,647,2017,348,16287
RA34,9,7,130,34,6,69,50,302,34,645,67,89,298,87,28,50,131,437,40,1232,370,425,830,211,91,74,438,555,89,3094,562,314,691,150,75,52,452,350,59,2710,655,313,642,164,129,62,605,401,91,3061,766,268,490,111,137,52,585,396,79,2882,398,112,140,36,33,27,171,138,47,1104,97,14,11,3,8,13,19,21,14,187,8,0,0,0,0,0,0,0,0,13,2934,1543,3240,794,510,401,2452,2609,446,14925,8,26,27,132,36,116,7,177,21,550,42,206,50,273,160,85,44,231,37,1140,277,667,104,494,441,135,95,327,55,2597,412,477,89,390,423,119,67,235,60,2276,508,438,124,382,451,153,84,283,49,2470,477,460,126,341,419,129,59,292,40,2343,203,119,41,70,122,40,6,89,26,709,52,14,4,0,3,0,0,12,6,98,0,0,0,0,0,0,0,0,3,6,1985,2401,563,2094,2056,782,372,1642,306,12199
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,3,4,0,16,0,8,0,0,0,0,3,12,0,28,0,9,0,0,0,0,9,10,0,25,0,5,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,29,0,5,0,0,21,32,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,3,0,0,3,0,13
RA40,220,292,2478,1909,401,3824,805,5552,279,15750,1234,3638,7625,4026,2073,3899,2573,5649,640,31354,7206,16811,17795,6713,5208,4487,7305,8959,1470,75956,12450,17529,14518,5091,5359,3275,6723,6385,1444,72771,13060,13721,12512,4238,4815,3125,6704,5912,1329,65412,9211,9854,9651,3219,3935,2586,6354,4890,962,50657,2645,3699,2309,785,1061,929,1412,1261,307,14398,470,565,232,54,142,166,107,153,118,2001,45,35,13,3,7,12,5,10,33,159,46537,66135,67133,26029,22995,22305,31984,38767,6579,328464,194,404,513,4501,960,8347,149,2405,233,17710,1364,5322,1721,9159,4659,6046,328,2176,474,31243,5878,24338,4068,14100,11637,5160,620,3852,1036,70699,8570,23325,3262,11463,13357,3855,534,3637,1007,69010,8299,17824,2751,10350,15214,4450,704,4250,864,64712,5084,12131,1871,8104,12889,4021,583,3983,556,49229,1113,2987,423,1520,3242,903,131,943,188,11452,107,216,47,89,276,85,13,79,89,994,10,9,6,4,10,11,0,12,32,91,30612,86561,14657,59294,62248,32880,3061,21333,4490,315134
RA41,37,17,532,152,30,432,91,901,55,2241,151,147,1029,221,89,271,244,791,62,2998,806,598,2002,335,192,289,636,1183,123,6166,1417,902,1834,346,267,304,794,1009,151,7042,1974,1050,1884,461,419,391,1061,1191,200,8632,1895,1013,1701,457,409,369,1235,1198,150,8426,1031,451,443,133,129,151,337,360,61,3097,290,57,48,5,19,14,32,60,52,582,32,0,6,4,0,0,0,4,7,55,7637,4226,9483,2115,1558,2228,4434,6696,862,39238,37,24,84,730,90,947,16,510,49,2493,120,301,227,786,325,560,58,369,33,2782,537,1431,456,1198,952,570,82,593,77,5891,978,1759,410,1268,1438,514,77,636,88,7172,1206,1843,493,1602,1811,742,106,860,123,8785,999,1552,369,1554,1739,665,95,865,92,7932,445,441,82,267,482,135,32,187,43,2104,118,38,5,13,53,13,3,35,35,313,9,0,0,0,0,0,0,0,7,18,4448,7392,2131,7420,6893,4148,468,4054,547,37496
RA42,63,26,738,145,34,523,145,992,51,2704,248,168,1227,182,67,284,439,932,78,3614,1137,862,2397,527,179,377,1187,1682,165,8508,1727,774,1793,437,247,323,1281,1265,181,8017,2242,818,1836,472,327,363,1622,1415,216,9302,2381,750,1699,424,339,381,1738,1434,240,9388,1285,320,472,104,113,121,512,410,97,3446,365,41,49,3,19,19,36,73,49,657,42,0,0,0,0,0,0,3,9,65,9488,3756,10197,2296,1328,2392,6952,8212,1074,45696,45,36,98,718,140,1078,34,454,45,2647,138,489,189,947,374,492,64,386,46,3130,569,2015,436,1600,1063,788,143,803,92,7502,913,1902,363,1507,1475,679,82,781,101,7807,1213,1620,409,1855,1884,922,133,1054,111,9202,1231,1326,331,1720,1632,829,127,1103,108,8411,579,323,80,323,439,144,32,300,85,2308,139,14,5,10,54,14,0,35,45,319,15,0,0,0,4,4,0,7,5,31,4838,7728,1916,8676,7075,4956,608,4926,648,41370
RA43,20,4,151,41,3,138,26,201,22,613,77,47,295,57,14,51,107,185,16,848,365,286,824,100,41,93,362,420,49,2542,578,253,671,96,72,80,367,301,47,2452,654,265,591,110,67,71,368,307,57,2492,647,235,461,101,74,90,394,353,51,2420,332,84,100,22,31,33,105,106,19,827,107,11,3,6,3,7,13,11,7,164,6,0,0,0,0,0,0,4,3,10,2779,1174,3107,526,310,558,1748,1893,277,12370,10,4,27,154,40,199,9,92,12,541,28,109,45,187,106,78,40,101,18,707,168,485,144,353,300,192,117,177,29,1958,264,487,111,325,372,170,58,171,36,1988,369,373,106,378,429,213,48,203,33,2151,340,302,69,368,369,178,27,235,25,1908,151,68,13,65,100,30,9,64,16,509,38,0,0,4,19,0,0,6,11,83,3,0,0,0,0,0,0,0,3,8,1357,1830,511,1834,1729,1063,301,1041,176,9848
RA44,12,4,25,12,0,27,12,44,6,143,24,22,72,32,0,5,52,75,7,287,109,127,238,68,20,27,158,139,23,906,200,82,202,42,25,20,163,109,22,853,208,86,213,38,25,24,189,111,23,911,249,84,163,56,43,36,169,108,19,922,117,38,35,8,6,14,56,59,9,340,26,10,0,0,0,0,0,6,6,51,0,0,0,0,0,0,0,0,0,3,948,440,952,254,119,146,798,646,122,4420,5,9,4,30,6,28,4,20,4,108,6,47,7,67,33,16,8,43,0,227,64,183,40,122,88,38,25,59,13,633,85,139,22,116,92,34,10,53,4,555,108,163,26,113,125,42,16,69,8,665,102,161,23,97,108,39,11,91,7,647,39,41,8,20,36,16,7,29,0,191,9,5,4,0,4,4,0,0,3,26,0,0,0,0,0,0,0,0,0,4,417,749,137,569,487,214,77,360,47,3055
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,4,9,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA50,315,584,4709,3167,647,6258,2119,8966,424,27202,1666,5403,12117,5997,2554,5841,4865,8171,951,47566,10568,26669,30762,8453,6765,5634,12755,11677,2461,115738,20773,30370,28575,6532,7228,4231,13098,8958,2309,122088,21220,23050,23336,5412,6408,3916,12230,7835,1960,105371,14867,15943,16797,3961,5389,3195,11030,6861,1316,79364,4325,5860,4109,1058,1696,1412,3054,2416,458,24390,658,925,323,92,227,220,234,373,152,3203,45,61,10,4,24,22,4,21,52,245,74430,108858,120746,34688,30950,30729,59397,55284,10084,525160,355,688,1009,8062,1735,12845,432,3874,407,29400,2061,7539,2974,13995,7283,9101,942,3145,667,47701,9983,37801,7355,19597,19273,8170,1966,5758,1702,111608,13110,37713,6059,17688,22086,6681,1756,6137,1573,112806,12332,28704,4876,16513,23244,7328,1818,6864,1287,102972,7288,17823,3235,11607,19027,6106,1351,5668,860,72960,1597,4482,719,2449,5105,1603,295,1476,269,17997,162,351,50,138,435,125,22,164,112,1563,12,13,6,0,24,7,0,10,40,103,46897,135110,26275,90061,98201,51970,8581,33095,6912,497104
RA51,43,33,861,266,39,735,200,1128,76,3373,125,185,1588,255,99,286,476,904,65,3984,765,896,3401,483,219,347,1185,1544,178,9037,1479,1332,3437,477,319,300,1702,1301,242,10601,1961,1509,3258,521,431,397,2110,1198,272,11660,1740,1275,2464,476,438,369,2065,1194,203,10224,882,494,560,114,166,170,600,388,84,3464,245,54,34,7,27,31,37,59,31,532,36,3,0,0,0,0,0,9,11,64,7291,5784,15605,2604,1744,2654,8389,7736,1155,52940,37,38,179,1005,182,1393,60,595,68,3551,166,361,316,948,500,544,101,424,62,3418,711,1933,725,1534,1399,745,233,913,98,8297,1194,2748,748,1910,2069,916,236,1018,151,10996,1366,2584,695,2181,2570,1072,300,1233,153,12154,1053,1845,472,1649,2098,943,242,981,94,9378,377,482,101,307,535,218,52,275,40,2390,84,27,11,18,44,8,7,37,24,258,13,0,0,0,0,0,0,0,3,21,4996,10015,3244,9562,9396,5839,1237,5479,692,50463
RA52,66,23,756,163,36,519,167,863,67,2661,183,183,1271,177,58,253,406,785,57,3372,882,910,2724,401,194,310,1216,1344,136,8112,1644,1026,2296,396,225,285,1262,1047,134,8324,2029,1062,2127,510,261,308,1713,994,179,9172,2006,985,1834,435,336,332,1883,1044,173,9031,1154,380,488,120,114,120,566,403,75,3416,371,54,40,17,20,24,43,79,38,687,56,0,0,0,0,0,0,9,11,84,8386,4625,11541,2216,1253,2152,7254,6578,862,44864,29,41,138,670,148,959,54,442,53,2547,107,439,259,697,446,420,130,313,45,2856,553,1861,481,1248,1273,587,224,673,87,6996,977,1961,418,1398,1592,620,265,715,87,8030,1239,1862,476,1545,1790,764,302,900,119,9000,1136,1464,362,1310,1681,674,226,933,106,7887,575,369,77,294,493,179,53,253,50,2346,143,35,9,13,56,16,8,45,28,340,6,0,0,0,0,0,0,0,4,10,4763,8025,2229,7182,7484,4203,1258,4285,578,40008
RA53,22,15,305,62,14,220,83,350,35,1109,121,81,627,87,36,86,222,356,33,1652,736,723,2018,245,163,157,755,742,118,5652,1230,782,2086,254,230,133,959,567,166,6410,1294,601,1530,217,207,119,1043,502,150,5671,1218,526,1005,148,176,134,1029,504,106,4849,571,153,226,48,60,54,269,170,35,1583,169,27,10,3,8,14,10,29,18,286,15,0,0,0,0,0,0,0,3,29,5383,2901,7809,1071,899,908,4384,3217,681,27243,11,14,71,222,105,326,26,157,24,958,73,244,102,318,283,165,90,144,26,1447,500,1358,348,737,944,336,210,416,68,4932,734,1176,296,746,1040,300,163,430,90,4970,770,805,219,627,897,320,173,383,58,4252,643,618,150,450,699,270,117,365,54,3366,270,171,34,112,197,45,30,107,17,978,56,9,0,9,15,13,3,20,7,136,3,0,0,0,0,0,0,0,0,8,3055,4398,1220,3213,4184,1776,811,2025,347,21028
RA54,12,18,115,31,13,81,64,190,18,542,51,220,552,106,37,50,385,420,29,1846,487,1252,2735,356,141,94,1642,920,130,7767,899,933,2689,286,180,60,1907,618,128,7696,1057,835,2218,258,191,68,2059,579,140,7391,859,634,1457,264,187,72,1751,476,83,5790,336,174,255,66,41,40,368,118,38,1436,59,9,17,0,8,3,17,9,11,145,6,0,0,0,0,0,0,5,3,16,3764,4069,10052,1369,792,474,8187,3339,584,32631,7,17,29,128,44,99,19,116,15,475,45,221,121,236,201,86,155,255,46,1372,320,1175,314,643,641,156,439,505,70,4264,463,794,244,462,590,149,301,303,61,3358,486,588,182,432,585,171,387,341,50,3225,477,629,140,370,619,211,235,322,42,3040,135,158,26,65,148,60,28,78,26,735,23,7,3,3,9,4,3,4,9,70,0,0,0,0,0,0,0,0,0,3,1958,3592,1060,2343,2840,947,1560,1933,315,16550
RA55,0,0,0,0,0,0,0,3,0,3,0,6,15,9,0,0,0,20,0,54,5,42,103,8,0,0,18,64,0,237,18,80,204,10,11,0,52,105,9,494,27,92,175,10,18,0,60,66,10,451,21,53,90,6,5,0,32,29,8,234,5,8,10,0,0,0,4,7,0,32,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,76,290,596,37,33,6,168,289,18,1517,0,0,0,0,0,0,0,0,0,7,0,0,7,7,0,0,0,10,0,23,3,15,8,12,3,0,0,18,0,54,0,8,8,3,0,0,0,9,0,28,3,9,6,0,3,0,0,10,0,32,11,8,0,5,0,0,0,6,0,29,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,21,40,28,25,9,0,4,49,5,186
RA61,81,60,853,434,98,922,201,1080,74,3808,354,649,2146,912,393,928,520,1163,142,7215,2089,3878,5366,2218,1305,1463,1996,2851,440,21610,3000,3851,3569,1367,1080,791,1484,1670,366,17173,3231,3454,2896,1201,1185,779,1506,1329,316,15911,2371,2585,2447,813,937,653,1651,1237,228,12924,702,981,642,225,242,235,407,363,81,3874,136,107,50,25,43,37,50,38,31,527,4,10,4,0,4,11,0,0,10,36,11976,15576,17979,7211,5287,5820,7809,9731,1690,83074,51,64,168,1091,273,1981,82,606,73,4399,276,1131,473,2175,1078,1462,65,497,102,7262,1539,6071,1134,4469,3082,1746,166,1352,314,19876,2130,5786,726,2869,3170,1080,121,976,265,17116,2074,4914,724,2703,3800,1183,152,1140,217,16899,1326,3424,532,2162,3213,994,142,1073,172,13036,312,847,130,461,760,231,39,318,49,3139,45,52,8,23,68,20,5,24,26,256,3,4,0,3,0,0,0,0,10,22,7750,22293,3895,15939,15446,8700,778,5987,1218,82001
RA62,100,16,667,131,32,452,125,678,54,2251,251,130,1202,229,104,264,366,770,67,3391,1034,803,2447,483,246,328,1062,1487,169,8065,1413,1005,1943,455,294,274,1190,1097,203,7869,1760,1112,1906,545,383,381,1484,1262,213,9045,1733,1035,1832,504,440,368,1716,1231,213,9065,856,431,427,134,132,135,439,357,102,3016,237,61,31,10,23,23,38,51,41,507,35,8,3,0,3,0,0,0,14,65,7420,4596,10458,2492,1650,2226,6421,6935,1072,43273,46,32,136,551,140,1004,24,389,36,2350,149,324,258,911,431,592,59,382,43,3148,611,1745,502,1630,1091,760,136,802,85,7363,895,1935,456,1523,1323,721,133,786,105,7886,1105,1845,471,1894,1839,873,138,1076,135,9372,1019,1621,393,1621,1752,706,120,1151,105,8478,358,366,82,246,387,145,26,228,66,1903,87,31,7,5,41,10,3,24,37,250,3,0,0,0,0,0,0,4,6,16,4271,7902,2306,8377,7007,4804,640,4839,624,40771
RA63,5,0,17,8,0,6,6,20,0,70,14,11,37,13,3,7,12,43,0,133,63,49,122,35,12,6,59,114,16,467,81,48,97,17,10,10,60,60,11,385,98,48,106,14,4,4,86,52,11,425,94,68,75,29,15,6,93,88,10,478,43,25,25,5,7,6,25,18,3,164,12,0,4,0,0,0,3,5,0,31,0,0,0,0,0,0,0,0,0,0,402,245,488,120,54,43,347,398,53,2156,0,0,4,13,4,21,0,11,0,55,5,10,12,26,10,6,3,26,0,104,43,89,28,88,42,21,11,71,4,391,42,56,19,52,40,24,7,52,5,291,61,45,12,57,59,33,7,56,5,328,47,54,12,80,50,42,7,67,0,363,24,17,5,11,24,11,3,18,8,113,8,0,0,0,0,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,225,273,80,327,226,160,35,295,23,1653
RA64,0,0,10,0,0,0,0,13,0,31,4,0,10,3,0,3,0,9,3,27,23,9,31,4,0,0,15,25,0,110,33,11,30,0,0,4,9,29,7,128,37,12,15,5,6,0,19,15,3,121,50,4,29,7,9,3,21,32,5,147,50,11,15,0,5,3,10,13,0,108,17,0,3,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,7,225,50,149,20,10,21,71,146,16,704,0,0,0,5,3,0,0,4,0,12,0,3,0,6,0,4,0,12,0,33,8,20,5,16,20,3,0,14,7,94,23,25,6,12,19,4,0,20,0,114,17,26,3,24,13,12,0,13,0,105,29,15,3,19,28,13,4,26,0,140,27,3,0,8,16,4,0,8,0,66,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,112,94,27,86,99,50,3,97,9,571
