RA_CODE_2021,M15_19_C_Own_chld_childr,M15_19_C_Oth_ch_chiln,M15_19_Ca_Ow_ch_ch_oth_ch_ch,M15_19_yr_C_for_Tot,M15_19_D_not_prov_ch_care,M15_19_U_ch_care_ns,M15_19_OS_vis,M15_19_yr_Tot,M20_24_C_Own_chld_childr,M20_24_C_Oth_ch_chiln,M20_24_Ca_Ow_ch_ch_oth_ch_ch,M20_24_yr_C_for_Tot,M20_24_D_not_prov_ch_care,M20_24_U_ch_care_ns,M20_24_OS_vis,M20_24_yr_Tot,M25_34_C_Own_chld_childr,M25_34_C_Oth_ch_chiln,M25_34_Ca_Ow_ch_ch_oth_ch_ch,M25_34_yr_C_for_Tot,M25_34_D_not_prov_ch_care,M25_34_U_ch_care_ns,M25_34_OS_vis,M25_34_yr_Tot,M35_44_C_Own_chld_childr,M35_44_C_Oth_ch_chiln,M35_44_Ca_Ow_ch_ch_oth_ch_ch,M35_44_yr_C_for_Tot,M35_44_D_not_prov_ch_care,M35_44_U_ch_care_ns,M35_44_OS_vis,M35_44_yr_Tot,M45_54_C_Own_chld_childr,M45_54_C_Oth_ch_chiln,M45_54_Ca_Ow_ch_ch_oth_ch_ch,M45_54_yr_C_for_Tot,M45_54_D_not_prov_ch_care,M45_54_U_ch_care_ns,M45_54_OS_vis,M45_54_yr_Tot,M55_64_C_Own_chld_childr,M55_64_C_Oth_ch_chiln,M55_64_Ca_Ow_ch_ch_oth_ch_ch,M55_64_yr_C_for_Tot,M55_64_D_not_prov_ch_care,M55_64_U_ch_care_ns,M55_64_OS_vis,M55_64_yr_Tot,M65_74_C_Own_chld_childr,M65_74_C_Oth_ch_chiln,M65_74_Ca_Ow_ch_ch_oth_ch_ch,M65_74_yr_C_for_Tot,M65_74_D_not_prov_ch_care,M65_74_U_ch_care_ns,M65_74_OS_vis,M65_74_yr_Tot,M75_84_C_Own_chld_childr,M75_84_C_Oth_ch_chiln,M75_84_Ca_Ow_ch_ch_oth_ch_ch,M75_84_yr_C_for_Tot,M75_84_D_not_prov_ch_care,M75_84_U_ch_care_ns,M75_84_OS_vis,M75_84_yr_Tot,M85ovr_C_Own_chld_childr,M85ovr_C_Oth_ch_chiln,M85ov_Ca_Ow_ch_ch_oth_ch_ch,M85ovr_C_for_Tot,M85ovr_D_not_prov_ch_care,M85ovr_U_ch_care_ns,M85ovr_OS_vis,M85ovr_Tot,MTot_C_Own_chld_childrn,MTot_C_Oth_ch_chiln,MTot_Ca_Ow_ch_ch_oth_ch_ch,MTot_C_for_Tot,MTot_D_not_prov_ch_care,MTot_U_ch_care_ns,MTot_OS_vis,MTot_Tot,F15_19_C_Own_chld_childr,F15_19_C_Oth_ch_chiln,F15_19_Ca_Ow_ch_ch_oth_ch_ch,F15_19_yr_C_for_Tot,F15_19_D_not_prov_ch_care,F15_19_U_ch_care_ns,F15_19_OS_vis,F15_19_yr_Tot,F20_24_C_Own_chld_childr,F20_24_C_Oth_ch_chiln,F20_24_Ca_Ow_ch_ch_oth_ch_ch,F20_24_yr_C_for_Tot,F20_24_D_not_prov_ch_care,F20_24_U_ch_care_ns,F20_24_OS_vis,F20_24_yr_Tot,F25_34_C_Own_chld_childr,F25_34_C_Oth_ch_chiln,F25_34_Ca_Ow_ch_ch_oth_ch_ch,F25_34_yr_C_for_Tot,F25_34_D_not_prov_ch_care,F25_34_U_ch_care_ns,F25_34_OS_vis,F25_34_yr_Tot,F35_44_C_Own_chld_childr,F35_44_C_Oth_ch_chiln,F35_44_Ca_Ow_ch_ch_oth_ch_ch,F35_44_yr_C_for_Tot,F35_44_D_not_prov_ch_care,F35_44_U_ch_care_ns,F35_44_OS_vis,F35_44_yr_Tot,F45_54_C_Own_chld_childr,F45_54_C_Oth_ch_chiln,F45_54_Ca_Ow_ch_ch_oth_ch_ch,F45_54_yr_C_for_Tot,F45_54_D_not_prov_ch_care,F45_54_U_ch_care_ns,F45_54_OS_vis,F45_54_yr_Tot,F55_64_C_Own_chld_childr,F55_64_C_Oth_ch_chiln,F55_64_Ca_Ow_ch_ch_oth_ch_ch,F55_64_yr_C_for_Tot,F55_64_D_not_prov_ch_care,F55_64_U_ch_care_ns,F55_64_OS_vis,F55_64_yr_Tot,F65_74_C_Own_chld_childr,F65_74_C_Oth_ch_chiln,F65_74_Ca_Ow_ch_ch_oth_ch_ch,F65_74_yr_C_for_Tot,F65_74_D_not_prov_ch_care,F65_74_U_ch_care_ns,F65_74_OS_vis,F65_74_yr_Tot,F75_84_C_Own_chld_childr,F75_84_C_Oth_ch_chiln,F75_84_Ca_Ow_ch_ch_oth_ch_ch,F75_84_yr_C_for_Tot,F75_84_D_not_prov_ch_care,F75_84_U_ch_care_ns,F75_84_OS_vis,F75_84_yr_Tot,F85ovr_C_Own_chld_childr,F85ovr_C_Oth_ch_chiln,F85ov_Ca_Ow_ch_ch_oth_ch_ch,F85ovr_C_for_Tot,F85ovr_D_not_prov_ch_care,F85ovr_U_ch_care_ns,F85ovr_OS_vis,F85ovr_Tot,FTot_C_Own_chld_childrn,FTot_C_Oth_ch_chiln,FTot_Ca_Ow_ch_ch_oth_ch_ch,FTot_C_for_Tot,FTot_D_not_prov_ch_care,FTot_U_ch_care_ns,FTot_OS_vis,FTot_Tot,P15_19_C_Own_chld_childr,P15_19_C_Oth_ch_chiln,P15_19_Ca_Ow_ch_ch_oth_ch_ch,P15_19_yr_C_for_Tot,P15_19_D_not_prov_ch_care,P15_19_U_ch_care_ns,P15_19_OS_vis,P15_19_yr_Tot,P20_24_C_Own_chld_childr,P20_24_C_Oth_ch_chiln,P20_24_Ca_Ow_ch_ch_oth_ch_ch,P20_24_yr_C_for_Tot,P20_24_D_not_prov_ch_care,P20_24_U_ch_care_ns,P20_24_OS_vis,P20_24_yr_Tot,P25_34_C_Own_chld_childr,P25_34_C_Oth_ch_chiln,P25_34_Ca_Ow_ch_ch_oth_ch_ch,P25_34_yr_C_for_Tot,P25_34_D_not_prov_ch_care,P25_34_U_ch_care_ns,P25_34_OS_vis,P25_34_yr_Tot,P35_44_C_Own_chld_childr,P35_44_C_Oth_ch_chiln,P35_44_Ca_Ow_ch_ch_oth_ch_ch,P35_44_yr_C_for_Tot,P35_44_D_not_prov_ch_care,P35_44_U_ch_care_ns,P35_44_OS_vis,P35_44_yr_Tot,P45_54_C_Own_chld_childr,P45_54_C_Oth_ch_chiln,P45_54_Ca_Ow_ch_ch_oth_ch_ch,P45_54_yr_C_for_Tot,P45_54_D_not_prov_ch_care,P45_54_U_ch_care_ns,P45_54_OS_vis,P45_54_yr_Tot
RA25,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,4,5,0,0,5,9,19,0,30,23,0,0,23,18,84,0,131,18,0,0,14,27,116,0,163,0,3,0,3,39,100,0,141,0,0,0,0,7,13,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,4,0,45,109,336,0,493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,16,0,17,0,0,0,0,3,8,0,14,0,0,0,0,7,13,0,18,0,0,0,0,6,16,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,19,49,0,72,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,4,11,0,0,7,13,38,0,52,25,0,0,25,20,96,0,140,18,0,0,14,36,128,0,182
RA30,354,4137,22,4518,94544,5353,135,104550,3234,3008,105,6349,97479,7147,350,111313,50875,4748,1214,56843,159779,16629,1116,234367,116737,3835,2641,123212,89052,13216,600,226077,71878,5030,1409,78322,119997,10696,512,209522,12264,11659,229,24156,141745,8023,577,174501,2063,16362,94,18528,113885,6854,577,139842,326,3944,26,4294,68461,5307,227,78287,21,164,3,190,20856,2995,49,24090,257754,52896,5750,316395,905791,76226,4132,1302548,604,7193,60,7858,87273,5114,143,100393,6741,5578,371,12690,92863,6633,318,112509,80432,8553,3269,92259,139562,14977,829,247620,145533,6256,5554,157339,72188,11864,456,241851,70471,12077,2257,84805,130334,9511,448,225103,5490,30928,399,36805,146077,7701,738,191326,1307,28516,207,30029,119078,7040,641,156786,307,4785,37,5128,77879,6784,215,90001,49,247,7,305,32450,5958,55,38772,310925,104130,12152,427208,897715,75595,3842,1404353,958,11333,81,12375,181817,10478,282,204945,9974,8591,475,19033,190342,13779,664,223817,131305,13303,4486,149096,299339,31607,1945,481984,262266,10086,8190,280548,161243,25078,1052,467925,142344,17104,3671,163119,250331,20211,963,434623
RA31,164,1383,17,1568,26894,2525,20,31013,1483,808,48,2339,21145,2488,64,26037,15774,1360,548,17679,30278,5767,262,53984,26938,1160,953,29043,20132,4999,143,54320,15853,2017,471,18347,37183,4758,78,60364,2963,4586,102,7646,53830,4309,79,65870,561,4743,31,5343,53268,3914,88,62614,100,976,5,1080,30231,2663,44,34016,12,51,0,65,7900,1112,10,9085,63849,17086,2181,83112,280865,32531,792,397297,313,2479,28,2821,24281,2080,17,29205,3112,1651,175,4938,18220,1813,71,25042,24867,2302,1624,28792,23401,3942,201,56338,35023,1863,2011,38892,16504,3825,77,59304,15774,5128,775,21683,39877,3873,75,65500,1387,11610,118,13119,54134,3778,104,71128,341,7836,46,8222,51809,3669,94,63796,96,1263,10,1375,31035,3070,46,35524,23,75,0,100,11421,1818,7,13346,80938,34214,4779,119930,270679,27874,694,419181,474,3867,47,4390,51178,4605,43,60220,4596,2455,225,7276,39370,4295,130,51077,40641,3663,2167,46472,53671,9704,465,110317,61956,3018,2966,67939,36640,8824,220,113623,31632,7144,1247,40022,77055,8639,149,125862
RA32,97,890,11,998,17865,2479,24,21367,900,548,34,1482,16203,3409,401,21502,10733,1051,372,12156,25831,7782,1303,47069,19572,883,711,21173,16269,6866,416,44723,11880,1432,387,13692,27635,6567,172,48073,2449,3035,77,5561,38095,5917,131,49703,450,3031,14,3497,34392,4444,121,42448,78,723,0,804,17008,2259,48,20121,8,29,0,41,4085,713,13,4848,46168,11626,1600,59401,197395,40433,2627,299859,220,1570,26,1812,16386,2215,12,20417,1931,1163,121,3218,14116,2313,201,19847,16834,1757,986,19578,20680,5378,567,46207,24817,1478,1405,27696,13465,4289,150,45606,11070,3344,515,14926,28249,4248,88,47519,983,7359,80,8417,36032,4111,112,48679,220,4977,27,5229,30529,3480,107,39340,62,872,11,942,16288,2087,32,19346,9,60,0,64,5643,1087,8,6806,56142,22575,3164,81878,181397,29214,1280,293768,317,2457,34,2806,34246,4692,40,41786,2834,1707,160,4696,30319,5722,608,41353,27572,2811,1356,31737,46515,13156,1872,93280,44390,2363,2117,48870,29734,11158,562,90326,22946,4774,897,28621,55885,10821,261,95592
RA33,20,96,0,119,1593,364,0,2072,126,75,4,202,1760,529,41,2541,1553,149,45,1757,3299,1557,145,6762,2375,126,65,2560,2065,1470,46,6141,1217,177,24,1415,3633,1741,12,6806,263,361,14,628,5147,1518,22,7321,35,246,0,283,4352,885,14,5532,7,40,0,47,1726,297,3,2073,0,3,0,3,290,76,0,380,5587,1282,159,7031,23871,8433,292,39626,45,143,7,196,1269,273,0,1738,293,140,14,442,1543,380,26,2392,2064,220,143,2424,2435,849,117,5827,2305,190,138,2638,1421,641,21,4714,906,366,52,1325,2918,697,8,4947,90,765,13,873,3939,816,12,5639,29,375,0,409,3299,571,9,4284,13,67,0,75,1320,247,3,1645,0,8,0,11,370,73,3,448,5737,2270,369,8378,18506,4544,208,31637,63,244,5,315,2859,634,8,3809,418,211,18,651,3302,916,67,4928,3618,368,195,4177,5737,2403,260,12582,4679,311,206,5200,3486,2111,63,10857,2119,544,79,2740,6554,2430,23,11753
RA34,27,101,3,128,1283,263,4,1676,167,98,4,268,1431,397,32,2123,1143,160,51,1359,2516,1036,74,4986,1565,130,56,1751,1581,872,39,4245,758,221,33,1021,2727,990,11,4742,163,273,17,449,3896,962,4,5307,37,185,0,228,3763,692,10,4678,11,23,0,36,1310,252,6,1608,0,0,0,0,221,36,0,263,3872,1201,167,5237,18727,5498,172,29631,53,166,6,224,1028,217,0,1470,331,168,24,527,1225,287,11,2056,1539,266,129,1932,1805,596,38,4383,1601,247,125,1974,1161,477,13,3619,586,352,61,991,2306,508,7,3817,90,508,14,614,3535,682,3,4837,26,272,7,300,2957,494,4,3750,3,30,0,33,1003,173,4,1216,0,4,0,4,298,51,0,355,4222,2023,360,6608,15323,3480,87,25500,74,271,7,354,2316,482,4,3151,499,273,28,796,2656,683,44,4178,2679,432,183,3293,4326,1636,119,9369,3164,378,184,3723,2741,1348,47,7862,1345,573,92,2017,5033,1493,16,8559
RA35,0,0,0,0,0,0,0,8,0,0,0,0,6,5,0,8,9,0,0,9,15,40,6,69,5,0,0,5,28,74,6,107,4,0,0,4,27,45,0,77,0,0,0,0,7,16,0,26,0,0,0,0,8,6,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,11,104,187,17,317,0,0,0,0,3,4,0,6,0,0,0,0,3,4,5,9,0,0,0,0,9,12,7,35,0,0,0,0,5,3,0,7,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,29,10,65,0,0,0,0,8,10,0,11,0,0,0,0,5,8,5,18,9,0,0,9,26,57,15,102,3,0,0,3,30,77,6,114,3,0,0,3,28,45,0,79
RA40,116,1580,13,1710,35632,1643,55,39036,822,1318,29,2169,40872,1948,82,45071,18834,2102,459,21388,67396,4555,232,93576,45079,1524,1242,47852,35744,3870,159,87629,27040,1866,735,29638,49121,3242,161,82153,4912,5884,119,10911,62844,2693,156,76608,837,10240,43,11125,48875,2207,179,62387,155,2667,9,2822,30606,1677,62,35165,9,139,0,156,12245,1024,18,13447,97804,27319,2645,127770,383339,22852,1103,535065,182,2623,17,2825,32649,1474,48,36992,1934,2394,106,4435,37058,1730,63,43283,30175,3606,1390,35175,55582,3939,194,94888,54996,2528,2668,60192,27596,3285,148,91224,25370,4659,1012,31043,51463,2738,143,85384,2294,15725,184,18207,62245,2407,256,83109,611,16834,88,17527,50991,2383,258,71158,152,2985,14,3154,37855,2432,75,43517,20,158,0,183,20086,1870,26,22165,115743,51504,5489,172738,375522,22261,1196,571722,303,4201,34,4535,68279,3121,101,76034,2760,3710,136,6603,77931,3683,140,88353,49008,5711,1854,56566,122974,8494,429,188460,100074,4056,3910,108045,63343,7157,306,178851,52410,6525,1746,60676,100584,5978,296,167535
RA41,21,216,0,240,4235,378,0,4857,131,137,3,275,3476,278,8,4029,2433,220,80,2726,4554,608,19,7907,4675,180,188,5044,3082,627,13,8769,3227,363,90,3679,6610,651,13,10954,632,1112,14,1759,10372,661,7,12796,120,1407,6,1536,10185,625,11,12356,23,294,0,322,6193,430,4,6954,0,11,0,14,1788,177,5,1982,11260,3954,376,15591,50493,4448,70,70594,42,392,3,431,3918,370,0,4721,283,272,10,574,3000,175,5,3747,3663,356,244,4257,3479,408,11,8158,5910,304,373,6587,2404,396,6,9404,2961,836,139,3935,7040,584,11,11567,250,2620,20,2887,9917,559,12,13373,70,2229,14,2315,9854,600,5,12769,16,310,3,330,6292,463,9,7095,6,19,0,25,2528,263,5,2817,13193,7334,811,21336,48435,3805,68,73647,64,610,3,674,8152,749,3,9575,418,411,15,839,6472,452,13,7774,6094,576,319,6985,8029,1013,35,16062,10582,487,561,11632,5493,1024,19,18170,6191,1204,230,7619,13646,1243,18,22521
RA42,38,245,6,289,4821,556,10,5677,236,168,3,411,4245,521,88,5268,3223,303,100,3620,6458,1303,400,11784,5174,206,201,5580,3970,1299,177,11020,2968,400,81,3447,8189,1250,46,12939,552,1235,16,1805,12266,1214,17,15300,118,1220,4,1341,11614,1046,19,14024,17,193,0,214,6333,695,4,7243,6,8,0,11,1946,264,0,2219,12337,3969,417,16722,59850,8148,753,85470,51,453,6,507,4030,439,5,4970,551,350,25,920,3271,299,5,4496,4751,471,307,5529,4507,735,45,10817,6255,363,409,7027,3021,752,24,10827,2613,1109,109,3836,8043,831,14,12716,236,2798,21,3059,10819,909,19,14803,70,1710,3,1787,10546,907,18,13260,24,259,0,283,6920,749,7,7963,0,16,0,16,2899,421,0,3336,14546,7528,883,22952,54064,6042,140,83198,89,696,4,793,8852,991,13,10643,786,517,29,1328,7522,818,96,9764,7968,777,407,9155,10966,2040,443,22602,11423,568,611,12605,6990,2051,200,21846,5584,1506,188,7280,16227,2082,62,25655
RA43,3,54,0,53,939,118,0,1117,43,43,0,82,902,147,5,1129,916,70,24,1014,1789,502,6,3304,1515,53,59,1628,1070,463,3,3163,827,102,19,953,1901,482,6,3340,145,279,3,430,2930,422,6,3791,29,279,0,310,2464,253,11,3038,4,61,0,61,1334,153,0,1552,0,4,0,4,384,50,5,439,3478,950,109,4534,13714,2591,38,20878,7,80,4,85,793,111,0,985,94,76,5,180,710,94,3,983,1111,114,73,1303,1159,235,0,2698,1480,69,111,1666,690,201,5,2563,594,234,39,860,1697,244,3,2806,58,608,9,671,2340,222,6,3236,16,400,3,423,2140,209,3,2773,3,55,0,57,1239,132,4,1434,0,0,0,0,527,87,0,614,3359,1646,246,5249,11294,1537,25,18102,8,129,4,140,1738,229,0,2108,135,123,5,259,1608,236,7,2115,2025,190,98,2314,2947,737,11,6012,2997,128,172,3291,1759,670,7,5729,1426,335,58,1813,3599,729,7,6148
RA44,0,61,5,71,275,74,0,421,21,53,6,84,335,101,0,517,316,90,34,441,685,281,3,1413,522,61,26,605,449,266,3,1327,256,85,16,354,774,324,0,1454,46,132,0,177,1198,298,7,1676,7,96,3,109,977,172,0,1265,8,15,0,19,384,91,0,486,0,3,0,6,79,29,0,107,1177,594,91,1863,5149,1631,16,8663,7,65,8,78,196,79,0,347,47,65,14,132,224,51,5,407,357,98,59,512,413,160,9,1096,381,73,58,513,260,100,0,876,156,155,15,321,560,127,0,1005,20,206,0,236,815,161,5,1210,7,131,0,137,704,149,0,991,0,23,0,24,267,55,0,344,0,0,0,0,100,30,0,128,975,818,163,1951,3533,906,20,6406,11,130,7,150,465,154,0,763,73,118,19,209,558,153,5,925,676,189,97,957,1102,438,11,2512,896,134,88,1116,707,368,3,2203,407,237,33,679,1335,442,0,2462
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,6,4,5,19,0,0,0,0,9,7,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,22,8,7,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,6,4,5,19,0,0,0,0,9,7,0,15
RA50,200,2938,22,3166,56242,2749,63,62219,1382,2047,45,3473,57529,3589,195,64786,30007,3391,801,34200,96937,8780,574,140487,72909,2575,2068,77544,57376,7660,402,142989,43439,3032,1143,47611,73105,5869,376,126960,7864,8665,214,16740,88031,4466,408,109652,1393,13663,58,15116,67373,3497,343,86323,254,3534,21,3812,39609,2970,123,46512,36,182,0,223,13476,1931,28,15655,157481,40021,4370,201871,549684,41508,2510,795570,313,4775,48,5136,51632,2687,71,59523,3470,4015,204,7691,52926,3060,189,63867,52102,6462,2591,61153,82003,7617,486,151252,91469,4665,5218,101353,44424,6424,247,152450,42097,8344,1909,52353,77757,4960,265,135335,3532,24624,300,28453,85986,3926,517,118888,964,23619,137,24719,66766,3748,450,95676,225,4296,32,4552,45272,3932,140,53892,35,251,0,282,21124,3472,50,24925,194197,81059,10436,285686,527895,39817,2408,855812,512,7715,74,8297,107872,5434,134,121742,4854,6063,244,11165,110461,6646,383,128653,82108,9849,3391,95355,178935,16391,1062,291735,164380,7240,7286,178899,101803,14088,648,295438,85539,11373,3051,99961,150869,10830,637,262294
RA51,28,312,3,336,6026,546,4,6918,253,172,8,431,4436,741,76,5683,3259,306,110,3677,6553,1994,91,12309,6791,267,286,7347,4562,1859,52,13818,4296,432,136,4863,8507,1532,26,14927,770,1202,23,2001,11770,1163,19,14955,129,1374,9,1510,10740,884,14,13143,19,249,3,273,5695,524,10,6505,4,12,0,13,1503,252,0,1771,15554,4322,575,20450,59793,9497,285,90027,32,563,0,601,5423,480,9,6510,498,311,30,844,3543,349,13,4751,5449,536,393,6376,5059,818,62,12316,8957,496,716,10160,3791,820,24,14798,4308,1200,233,5741,9321,874,18,15950,308,3219,33,3560,11492,831,25,15903,80,2264,12,2359,10049,750,15,13175,32,306,4,334,5845,582,8,6772,3,21,4,27,2265,380,5,2675,19672,8906,1426,30005,56786,5884,173,92852,59,871,6,939,11446,1032,15,13422,754,482,38,1274,7983,1091,88,10434,8708,843,501,10046,11613,2815,150,24621,15748,762,1000,17505,8359,2680,76,28619,8605,1632,373,10608,17824,2407,40,30873
RA52,18,249,3,276,4607,601,4,5490,211,155,8,378,3707,583,39,4710,2963,250,93,3304,5910,1531,97,10852,5037,213,189,5440,4021,1538,41,11043,3040,315,97,3453,7273,1438,15,12179,657,840,22,1517,10514,1340,19,13394,97,830,0,933,9106,1060,17,11114,25,156,0,183,4778,589,13,5554,3,8,0,9,1413,231,3,1657,12054,3022,416,15484,51338,8913,253,75992,41,455,10,506,3976,534,4,5021,529,287,34,855,2904,441,14,4211,4384,433,341,5155,4295,1049,47,10543,6305,400,474,7189,2973,1096,16,11277,2706,930,147,3790,7297,1028,16,12133,282,2069,27,2378,9599,1032,18,13031,54,1411,5,1471,8120,906,20,10520,22,218,0,241,4783,617,6,5648,0,17,0,15,1886,339,0,2247,14334,6223,1041,21600,45834,7044,149,74624,58,704,9,778,8588,1137,8,10509,746,444,40,1231,6612,1019,55,8928,7344,683,435,8456,10209,2577,145,21390,11345,618,665,12627,6994,2638,59,22315,5746,1250,244,7241,14573,2470,27,24313
RA53,22,100,0,129,1817,397,0,2345,112,86,9,206,1799,539,23,2567,1765,172,59,1990,4136,1783,85,7997,3632,154,118,3907,2944,1911,35,8801,1706,194,56,1958,4315,1778,21,8077,263,426,0,686,5377,1539,32,7635,39,349,0,390,4041,792,18,5235,6,68,0,81,1626,323,4,2027,0,0,0,0,329,72,0,398,7549,1560,239,9354,26381,9130,219,45077,24,207,4,229,1432,352,0,2014,214,146,18,378,1487,401,22,2288,2513,293,195,2998,3248,1204,72,7520,3573,232,305,4114,1932,1026,12,7080,1225,397,69,1685,3447,901,10,6044,95,913,3,1014,4162,862,14,6056,13,542,4,556,3309,620,18,4507,6,98,0,106,1350,268,0,1723,0,3,0,4,380,89,0,472,7664,2828,596,11089,20748,5718,149,37710,46,306,6,360,3255,746,6,4357,326,232,24,581,3288,937,47,4852,4279,464,254,4991,7390,2980,156,15517,7208,393,427,8018,4873,2939,45,15879,2927,591,126,3649,7762,2682,30,14121
RA54,23,191,3,222,1114,377,0,1707,165,172,28,361,2063,1107,65,3595,2092,325,145,2564,6273,4461,181,13476,3840,277,220,4341,4283,4367,97,13093,1973,331,86,2396,5912,4152,66,12527,296,460,23,776,6750,2921,42,10491,42,322,6,366,4902,1006,22,6303,5,42,0,45,1434,240,0,1720,0,0,0,8,155,28,0,193,8432,2120,517,11078,32894,18652,478,63107,54,256,23,331,905,305,6,1539,276,224,55,555,1524,628,70,2774,1674,360,251,2278,3521,1621,154,7569,2171,310,257,2738,1840,1105,19,5699,647,470,86,1202,3124,1139,12,5473,73,663,18,753,4573,1008,23,6352,20,426,14,451,3680,573,16,4722,0,52,3,50,982,193,0,1231,0,6,3,9,133,40,4,185,4919,2759,689,8370,20274,6605,301,35550,77,444,27,555,2016,677,6,3249,441,397,75,915,3590,1730,142,6373,3764,681,396,4841,9797,6080,332,21048,6009,591,474,7075,6123,5473,119,18791,2628,803,170,3599,9035,5286,77,18000
RA55,0,0,0,0,8,7,0,14,0,0,0,0,48,28,0,81,35,3,0,37,198,192,24,459,152,0,6,161,333,413,37,945,101,10,4,115,351,376,53,896,9,10,0,21,237,196,24,473,0,5,0,5,73,40,0,119,0,0,0,7,7,0,0,15,0,0,0,0,0,0,0,0,300,30,9,347,1254,1251,143,3002,0,0,0,0,5,3,0,8,0,0,0,0,23,15,0,37,4,3,0,8,52,28,3,94,8,0,0,4,23,20,7,55,0,0,0,3,34,23,0,57,0,0,0,0,55,29,3,86,0,11,0,11,36,11,0,61,0,4,0,4,6,5,0,17,0,0,0,0,0,0,4,3,5,21,0,26,233,123,16,405,0,0,0,0,8,10,0,19,0,4,0,4,75,43,0,121,39,10,0,52,246,224,33,549,154,0,6,165,359,429,37,999,104,9,4,110,387,391,61,951
RA61,26,421,3,456,8871,540,5,9872,362,344,11,723,9412,614,105,10858,5596,687,166,6458,19112,1633,175,27378,10649,433,400,11486,8414,1131,60,21089,6244,595,216,7054,12007,914,22,20008,1216,1537,31,2791,15969,838,24,19621,192,2460,10,2658,13153,784,25,16618,30,619,3,657,8038,598,8,9300,3,30,0,33,2723,297,5,3054,24318,7136,846,32303,97701,7351,438,137797,63,819,7,895,7986,468,5,9357,730,673,43,1445,8513,544,16,10516,8297,1198,521,10015,15629,1269,79,26990,12726,760,889,14373,7089,913,20,22393,6247,1541,327,8118,12980,775,31,21905,532,4161,32,4730,16091,726,46,21593,126,4153,18,4298,13763,836,26,18921,36,736,6,777,9899,800,16,11487,4,39,0,42,4541,523,9,5116,28752,14086,1848,44682,96481,6845,253,148267,89,1251,10,1350,16861,1003,13,19223,1092,1019,59,2172,17923,1164,117,21373,13892,1888,689,16476,34743,2898,257,54369,23370,1192,1289,25853,15506,2042,80,43486,12492,2138,545,15168,24989,1692,54,41910
RA62,25,212,0,244,4681,484,3,5411,283,168,4,456,4002,297,19,4779,3203,299,120,3620,6040,717,50,10423,5116,240,204,5562,3829,647,37,10073,2971,442,96,3507,8053,750,15,12329,689,1155,23,1864,12370,882,8,15127,128,1107,6,1240,11803,910,11,13967,27,208,0,235,6252,589,3,7075,0,0,0,0,1605,244,5,1853,12443,3846,446,16738,58643,5512,154,81042,42,407,7,457,4144,410,0,5014,583,361,25,970,3288,267,9,4537,4693,469,331,5493,4611,644,32,10784,6301,406,429,7141,3291,622,14,11070,2690,1196,131,4016,8539,664,5,13223,268,2813,33,3115,11920,782,12,15825,65,1687,6,1755,11042,792,11,13601,10,254,0,270,6287,684,11,7242,0,9,0,10,2320,326,3,2657,14655,7608,967,23233,55440,5182,103,83958,69,620,10,701,8829,891,3,10429,858,537,29,1430,7300,559,22,9310,7894,773,449,9117,10642,1362,84,21204,11417,648,634,12700,7127,1263,53,21145,5661,1638,218,7520,16595,1416,25,25554
RA63,0,3,0,5,119,33,0,150,12,3,0,12,155,40,5,207,133,20,7,153,380,70,14,620,215,9,7,230,232,68,5,537,139,18,0,155,433,64,0,648,38,44,0,85,708,87,0,877,5,46,0,50,660,61,0,775,0,3,0,3,273,40,0,317,0,0,0,3,59,14,0,71,547,145,12,701,3012,468,27,4216,3,14,0,15,82,14,0,121,18,6,3,30,110,20,0,169,186,16,9,220,274,84,5,585,215,13,9,240,163,47,4,454,64,42,5,116,354,50,0,521,9,100,0,111,610,75,0,799,0,63,0,63,517,48,0,628,0,5,0,5,230,27,0,261,0,0,0,0,68,13,0,83,507,261,39,803,2406,392,19,3613,4,20,0,22,205,46,0,268,30,12,3,48,260,62,4,373,323,36,17,373,656,160,22,1207,427,23,21,474,395,117,8,993,205,58,11,277,783,114,0,1175
