RA_CODE_2021,F_Kidney_disease_0_14,F_Kidney_disease_15_24,F_Kidney_disease_25_34,F_Kidney_disease_35_44,F_Kidney_disease_45_54,F_Kidney_disease_55_64,F_Kidney_disease_65_74,F_Kidney_disease_75_84,F_Kidney_disease_85_over,F_Kidney_disease_Tot,F_Lung_cond_0_14,F_Lung_cond_15_24,F_Lung_cond_25_34,F_Lung_cond_35_44,F_Lung_cond_45_54,F_Lung_cond_55_64,F_Lung_cond_65_74,F_Lung_cond_75_84,F_Lung_cond_85_over,F_Lung_cond_Tot,F_Mental_health_cond_0_14,F_Mental_health_cond_15_24,F_Mental_health_cond_25_34,F_Mental_health_cond_35_44,F_Mental_health_cond_45_54,F_Mental_health_cond_55_64,F_Mental_health_cond_65_74,F_Mental_health_cond_75_84,F_Mental_health_cond_85_over,F_Mental_health_cond_Tot,F_Stroke_0_14,F_Stroke_15_24,F_Stroke_25_34,F_Stroke_35_44,F_Stroke_45_54,F_Stroke_55_64,F_Stroke_65_74,F_Stroke_75_84,F_Stroke_85_over,F_Stroke_Tot,F_Oth_lt_health_cond_0_14,F_Oth_lt_health_cond_15_24,F_Oth_lt_health_cond_25_34,F_Oth_lt_health_cond_35_44,F_Oth_lt_health_cond_45_54,F_Oth_lt_health_cond_55_64,F_Oth_lt_health_cond_65_74,F_Oth_lt_health_cond_75_84,F_Oth_lt_health_cond_85_over,F_Oth_lt_health_cond_Tot,F_No_lt_health_cond_0_14,F_No_lt_health_cond_15_24,F_No_lt_health_cond_25_34,F_No_lt_health_cond_35_44,F_No_lt_health_cond_45_54,F_No_lt_health_cond_55_64,F_No_lt_health_cond_65_74,F_No_lt_health_cond_75_84,F_No_lt_health_cond_85_over,F_No_lt_health_cond_Tot,F_NS_0_14,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_over,F_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_Arthritis_0_14,P_Arthritis_15_24,P_Arthritis_25_34,P_Arthritis_35_44,P_Arthritis_45_54,P_Arthritis_55_64,P_Arthritis_65_74,P_Arthritis_75_84,P_Arthritis_85_over,P_Arthritis_Tot,P_Asthma_0_14,P_Asthma_15_24,P_Asthma_25_34,P_Asthma_35_44,P_Asthma_45_54,P_Asthma_55_64,P_Asthma_65_74,P_Asthma_75_84,P_Asthma_85_over,P_Asthma_Tot,P_Cancer_0_14,P_Cancer_15_24,P_Cancer_25_34,P_Cancer_35_44,P_Cancer_45_54,P_Cancer_55_64,P_Cancer_65_74,P_Cancer_75_84,P_Cancer_85_over,P_Cancer_Tot,P_Dementia_0_14,P_Dementia_15_24,P_Dementia_25_34,P_Dementia_35_44,P_Dementia_45_54,P_Dementia_55_64,P_Dementia_65_74,P_Dementia_75_84,P_Dementia_85_over,P_Dementia_Tot,P_Diabetes_0_14,P_Diabetes_15_24,P_Diabetes_25_34,P_Diabetes_35_44,P_Diabetes_45_54,P_Diabetes_55_64,P_Diabetes_65_74,P_Diabetes_75_84,P_Diabetes_85_over,P_Diabetes_Tot,P_Heart_disease_0_14,P_Heart_disease_15_24,P_Heart_disease_25_34,P_Heart_disease_35_44,P_Heart_disease_45_54,P_Heart_disease_55_64,P_Heart_disease_65_74,P_Heart_disease_75_84,P_Heart_disease_85_over,P_Heart_disease_Tot,P_Kidney_disease_0_14,P_Kidney_disease_15_24,P_Kidney_disease_25_34,P_Kidney_disease_35_44,P_Kidney_disease_45_54,P_Kidney_disease_55_64,P_Kidney_disease_65_74,P_Kidney_disease_75_84,P_Kidney_disease_85_over,P_Kidney_disease_Tot,P_Lung_cond_0_14,P_Lung_cond_15_24,P_Lung_cond_25_34,P_Lung_cond_35_44,P_Lung_cond_45_54,P_Lung_cond_55_64,P_Lung_cond_65_74,P_Lung_cond_75_84,P_Lung_cond_85_over,P_Lung_cond_Tot,P_Mental_health_cond_0_14,P_Mental_health_cond_15_24,P_Mental_health_cond_25_34,P_Mental_health_cond_35_44,P_Mental_health_cond_45_54,P_Mental_health_cond_55_64,P_Mental_health_cond_65_74,P_Mental_health_cond_75_84,P_Mental_health_cond_85_over,P_Mental_health_cond_Tot,P_Stroke_0_14,P_Stroke_15_24,P_Stroke_25_34,P_Stroke_35_44,P_Stroke_45_54,P_Stroke_55_64,P_Stroke_65_74,P_Stroke_75_84,P_Stroke_85_over,P_Stroke_Tot,P_Oth_lt_health_cond_0_14,P_Oth_lt_health_cond_15_24,P_Oth_lt_health_cond_25_34,P_Oth_lt_health_cond_35_44,P_Oth_lt_health_cond_45_54,P_Oth_lt_health_cond_55_64,P_Oth_lt_health_cond_65_74,P_Oth_lt_health_cond_75_84,P_Oth_lt_health_cond_85_over,P_Oth_lt_health_cond_Tot,P_No_lt_health_cond_0_14,P_No_lt_health_cond_15_24,P_No_lt_health_cond_25_34,P_No_lt_health_cond_35_44,P_No_lt_health_cond_45_54,P_No_lt_health_cond_55_64,P_No_lt_health_cond_65_74,P_No_lt_health_cond_75_84,P_No_lt_health_cond_85_over,P_No_lt_health_cond_Tot
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,5,0,0,0,18,0,0,16,8,13,16,0,0,0,49,0,0,17,14,18,24,0,0,0,72,0,0,0,4,0,6,0,0,0,15,0,0,0,5,4,5,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,9,0,3,10,34,38,31,7,0,0,123
RA30,203,309,666,978,1362,1957,2793,3390,2313,13977,532,313,543,1056,2865,6468,9757,7973,3118,32625,7530,34186,39391,33142,30942,23882,14592,7510,4722,195897,79,105,249,574,1248,2143,3383,3704,2353,13838,11503,13584,19571,22248,25194,25951,22385,13639,8181,162256,247849,139341,157772,151241,126412,88554,54071,21106,5259,991603,23571,16672,18548,16883,15120,12327,9593,6669,4686,124069,304068,212437,246794,241392,224650,190588,156148,89781,38713,1704580,558,2303,7233,15433,33567,57167,75770,55180,22329,269531,38365,36604,44532,44478,39282,32111,28031,15526,4872,283790,599,934,2296,5307,11643,20130,28944,22042,7707,99606,46,47,100,138,336,901,3454,8821,9900,23739,995,2306,4569,9636,19685,30945,37699,24773,7061,137665,1109,1253,1930,3610,9851,22296,37700,34465,16494,128716,525,595,1147,1781,2786,4158,6294,6924,3993,28191,1197,677,1095,2112,5199,11719,18096,15417,5499,61021,16531,52121,61507,54589,51601,40087,25774,12920,6682,321817,185,214,471,1065,2535,4878,7898,8314,4203,29765,29347,24522,31286,36905,43090,45516,39747,23630,12177,286222,499615,294984,321564,302884,252768,173619,102529,39998,9319,1997280
RA31,64,105,163,270,461,874,1440,1586,886,5847,155,94,168,435,1296,3408,4746,3335,1019,14645,2778,9010,10067,10008,10755,10618,6523,2896,1445,64098,32,34,85,229,526,1041,1561,1585,859,5941,3576,3244,4637,6018,7556,9645,8166,4588,2297,49733,69110,34065,33340,33391,33349,29822,20080,7798,1908,262856,8690,5206,4933,5188,5545,5335,4608,2987,1447,43925,88872,54158,56131,59226,65429,71025,63703,35480,13332,507360,195,709,2130,5213,12839,26989,37423,24864,8665,119035,13305,10117,11317,12172,12479,13577,12581,6604,1690,93848,174,238,593,1386,3471,7632,12371,8888,2646,37398,19,16,29,56,131,499,1362,3185,3209,8508,374,711,1353,2825,6748,12725,17089,10870,2720,55428,377,376,612,1174,3621,9624,17384,14695,6072,53943,164,192,308,498,932,1853,3149,3300,1542,11932,360,193,336,854,2431,6460,9682,7060,2005,29369,5961,14366,15673,16102,17949,18136,12388,5388,2125,108090,66,75,161,405,995,2160,3676,3539,1555,12635,9123,6358,7464,9839,13083,17402,15324,8339,3521,90462,138748,72898,68175,66447,66344,58724,39972,15795,3482,530586
RA32,45,59,98,177,341,543,803,764,418,3258,78,59,75,223,691,1867,2412,1522,446,7372,1281,5070,6194,6094,6255,5789,3282,1377,677,36006,21,26,53,106,307,596,792,720,406,3029,1935,2041,2813,3644,4732,5741,4412,2362,1200,28887,49917,25960,28041,26950,25234,21394,13389,4776,1079,196734,7432,5115,6030,5261,5355,5165,4050,2093,899,41410,63240,40056,45644,45455,47420,48563,39234,19318,6799,355734,95,405,1314,3126,7535,15759,20062,12333,4089,64720,7197,5978,7213,7404,7539,7885,6794,3054,720,53778,121,155,378,975,2334,4938,7472,4436,1249,22057,18,14,23,34,76,305,910,1853,1756,4980,184,448,844,1996,4634,8300,10140,5752,1361,33663,285,282,406,854,2463,6288,10028,7434,2826,30861,106,120,191,321,659,1211,1904,1630,752,6900,194,125,167,454,1344,3685,5131,3407,888,15387,2877,7767,9567,9982,10784,10238,6371,2545,1015,61142,48,55,103,224,568,1370,2083,1736,723,6904,5034,3889,4704,6144,8472,10610,8509,4411,1840,53612,101175,55005,57506,53661,51401,43490,27689,9781,1983,401677
RA33,0,3,6,23,30,64,87,67,27,313,9,0,0,14,58,171,233,112,32,634,60,356,528,430,439,519,252,79,28,2693,0,0,5,9,28,66,63,52,24,253,145,130,249,276,355,502,381,166,80,2293,5723,2701,3675,2789,2663,2458,1505,443,85,22037,916,694,929,733,793,907,607,239,63,5875,7119,4101,5709,4694,4940,5622,4279,1649,448,38552,15,32,112,259,677,1672,2114,1031,237,6143,719,550,835,765,781,914,718,261,56,5598,18,16,28,80,204,540,761,379,60,2095,0,0,0,0,3,27,73,118,127,352,23,49,119,284,609,1059,1209,485,97,3926,39,50,49,93,288,772,1105,642,168,3203,11,8,24,44,73,137,210,142,49,698,18,14,10,39,138,388,526,289,65,1492,145,530,810,702,817,969,570,179,38,4763,3,3,11,18,53,150,192,144,45,621,401,247,420,483,700,1002,814,320,130,4515,11576,5821,7824,6358,6067,5652,3416,987,155,47835
RA34,3,3,13,12,22,73,73,65,32,288,14,4,8,19,33,104,160,62,28,418,36,195,295,271,302,350,199,57,15,1722,0,0,5,7,14,42,52,39,22,184,107,106,160,207,269,404,285,120,45,1702,4631,2510,2931,2204,2033,2104,1332,334,63,18140,841,482,643,527,552,775,567,170,59,4609,5836,3515,4341,3607,3806,4833,3743,1216,355,31252,13,30,80,177,489,1254,1677,718,178,4610,505,391,518,530,535,700,662,243,47,4124,8,8,25,55,161,393,574,271,49,1551,0,0,0,0,9,34,82,98,86,313,11,46,126,287,592,1015,1016,391,82,3566,50,63,86,116,250,644,899,469,126,2704,5,10,18,24,60,143,165,127,57,602,29,9,13,25,63,250,388,175,48,1006,84,281,469,450,513,626,427,118,34,3002,0,3,12,18,31,96,164,89,39,455,280,186,262,349,495,761,638,238,80,3282,9286,5273,6234,4789,4622,4461,2993,780,117,38548
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,4,0,0,0,21,0,6,12,3,0,0,0,0,0,29,0,13,23,7,3,5,0,0,0,53,0,0,0,3,0,0,3,0,0,9,0,0,4,7,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,27,23,27,7,3,0,0,98
RA40,120,141,241,343,488,768,1211,1285,1038,5643,146,96,157,395,1113,2612,3820,3208,1591,13141,2280,12262,15320,12818,12290,11119,7218,3982,3067,80350,36,40,96,185,471,897,1417,1753,1448,6340,4186,5005,7721,8643,10138,11701,10270,6317,4513,68492,93150,54461,62364,57711,47594,38008,24132,10001,3010,390431,7117,5011,5184,5143,4942,4437,3447,2584,1669,39535,111924,80168,94692,91072,85245,82859,70902,43438,22135,682446,195,822,2817,5934,13619,26097,35262,27503,14262,126510,14616,14225,17535,17199,15283,14609,13095,7506,2941,117009,232,308,729,1785,3996,8142,12461,9409,4126,41188,10,27,38,63,148,458,1632,4445,6329,13152,402,946,2081,4761,9470,16165,20139,13677,5332,72970,402,422,710,1286,3999,9800,16645,15610,9641,58518,296,310,451,652,1030,1752,2686,2751,1850,11773,377,228,379,743,1985,4819,7232,6140,2874,24780,4571,18669,24188,21408,21174,18906,12442,6447,4219,132024,75,76,173,355,1012,2138,3510,3770,2543,13656,10722,9095,12113,14288,17463,20685,18172,10701,6642,119889,187221,117045,130207,117427,96947,74748,45416,18564,5324,792904
RA41,15,24,19,41,72,105,179,192,128,760,24,20,20,61,201,445,667,518,176,2120,349,1362,1611,1603,1916,1921,1271,634,332,10996,3,4,8,30,79,129,229,273,158,907,533,513,716,953,1384,1772,1641,827,454,8787,11062,5487,4819,5520,6086,6014,4486,1775,434,45680,1066,638,551,597,821,837,790,479,239,6023,13781,8462,8142,9393,11557,13363,12767,7088,2810,87361,40,114,311,833,2145,4718,6652,4890,1894,21597,2094,1643,1744,2047,2251,2553,2401,1297,368,16407,31,34,76,216,595,1321,2265,1686,529,6764,0,0,0,7,13,59,236,610,730,1660,59,115,182,413,1094,2260,3340,2281,764,10505,50,48,69,147,550,1651,3076,2753,1267,9617,31,39,43,75,142,264,426,427,207,1651,46,30,43,96,344,859,1357,1099,378,4257,708,2128,2488,2566,3157,3275,2373,1115,460,18273,4,8,25,41,154,325,578,628,303,2073,1326,958,1139,1521,2313,3228,2983,1538,707,15714,22326,11781,10085,11024,12421,12063,8813,3565,791,92862
RA42,22,11,27,56,82,172,261,240,150,1014,19,16,20,84,263,633,858,624,226,2744,301,1505,1965,1798,1982,2044,1250,633,388,11877,0,9,25,31,82,188,242,304,175,1066,563,543,842,1021,1379,1739,1344,852,558,8839,13048,5916,6389,6076,6684,6265,4535,1948,550,51409,1639,843,905,935,1096,1217,1061,761,404,8861,16551,9454,10773,10800,12703,14781,13247,7957,3336,99611,40,123,442,1006,2568,5677,7367,5180,2118,24522,2703,2195,2505,2449,2611,3035,2761,1549,453,20271,26,41,89,219,550,1380,2306,1718,555,6882,0,0,3,8,23,101,309,799,817,2069,78,139,296,633,1580,3290,4444,2857,869,14179,57,63,101,221,706,2049,3394,2942,1356,10891,42,32,50,101,166,410,587,542,271,2207,54,40,55,161,499,1252,1817,1299,437,5605,657,2391,3040,2930,3386,3593,2394,1055,547,20002,8,11,37,54,180,429,679,683,341,2419,1432,1083,1387,1710,2512,3330,2704,1503,830,16499,26073,13301,13751,12561,13764,13034,9181,3676,962,106307
RA43,0,0,8,16,16,25,38,37,19,164,7,3,12,12,38,99,135,92,42,429,50,264,352,313,331,391,238,85,26,2053,0,0,3,15,17,31,34,43,27,171,87,102,173,214,207,371,284,113,68,1627,3143,1276,1723,1544,1591,1524,1063,404,117,12387,355,214,285,233,280,285,251,139,83,2130,3822,1973,2700,2558,2804,3232,2774,1428,614,21900,3,26,84,175,425,1108,1374,875,326,4400,487,421,530,539,480,593,507,239,83,3880,5,5,21,44,119,307,458,329,116,1412,0,0,0,0,4,17,54,120,139,333,14,13,55,100,253,591,730,503,164,2418,15,9,26,27,120,347,641,524,272,1979,5,3,13,22,32,48,90,82,41,333,7,9,20,19,60,229,309,198,80,941,94,406,575,512,569,684,433,163,58,3494,0,0,4,23,32,98,99,110,55,422,250,198,287,346,416,662,552,226,116,3040,6367,2807,3915,3575,3520,3324,2188,838,184,26714
RA44,0,5,0,0,10,17,12,10,0,63,0,5,3,9,16,36,34,18,6,123,16,44,99,88,91,102,57,7,4,515,0,0,0,0,4,9,8,9,4,37,24,21,49,52,74,90,92,29,8,442,1061,524,697,517,548,539,382,92,25,4374,197,103,168,117,139,188,149,62,30,1156,1366,754,1091,877,1005,1203,991,344,128,7755,6,7,34,58,119,379,425,204,67,1298,109,85,175,162,163,202,173,57,16,1143,0,4,12,8,34,110,148,86,20,416,0,0,0,0,4,8,22,23,31,85,5,17,55,79,164,280,275,120,22,1019,19,13,18,31,67,195,221,129,58,752,0,3,7,5,22,37,30,24,8,133,3,0,7,8,22,86,99,51,12,297,31,75,176,156,165,204,103,26,12,941,0,0,0,3,11,29,48,28,9,128,71,38,91,90,168,233,172,58,15,945,2075,1189,1595,1328,1312,1256,865,233,38,9889
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,4,0,0,0,18
RA50,143,170,277,475,697,1052,1564,1702,1205,7297,210,148,264,489,1363,3224,4968,4173,1793,16628,3697,18419,22379,18984,16265,13205,7808,3944,2493,107190,54,50,120,308,645,1095,1748,2064,1538,7620,6420,7397,10445,12366,13384,14717,12566,7545,4586,89421,161552,83874,101437,100917,80280,58484,35576,13138,3649,638901,13172,8734,10093,9505,8635,6951,5417,4011,2901,69423,192775,123130,150769,152200,135068,118366,95229,53755,24875,1046174,364,1292,3817,8226,17683,31941,42589,31796,14239,151951,21866,19357,23241,23463,20382,17427,14530,7931,2742,150936,383,488,1201,2964,6287,11313,16489,12160,4532,55822,16,36,33,73,155,552,1832,5142,6178,14028,631,1298,2595,6257,12300,19855,24956,15982,5377,89245,492,493,801,1828,5431,12949,21440,19074,9621,72127,358,322,524,960,1407,2302,3489,3818,2267,15456,489,310,525,968,2503,5905,9509,8108,3274,31588,7853,27740,34572,30773,26978,21791,13453,6603,3493,173254,102,109,221,610,1292,2514,4245,4720,2742,16555,16081,13419,16543,19939,22974,25603,22502,12971,7004,157042,326147,178441,203535,201748,160492,115457,67566,25179,6423,1284988
RA51,16,8,28,61,91,131,220,209,134,890,31,16,19,60,187,475,738,481,183,2188,471,1786,2151,2277,2319,2008,1171,453,252,12890,4,7,18,52,88,144,273,271,176,1029,693,631,882,1219,1585,1890,1401,808,433,9533,16639,7245,7513,9020,8797,7369,4703,1728,397,63415,1901,1089,1070,1156,1299,1241,996,628,311,9684,20747,11243,12254,14776,15936,15885,13155,6765,2669,113421,55,154,435,1138,2694,5165,6730,4258,1654,22278,2973,1909,2122,2596,2540,2440,2181,1053,331,18146,47,35,123,316,731,1630,2400,1561,469,7307,0,3,6,8,13,79,267,592,624,1594,75,146,275,563,1350,2389,3354,1913,600,10667,51,57,85,183,588,1625,2976,2376,1082,9029,41,22,54,100,182,302,480,470,237,1892,60,36,52,104,329,937,1516,1091,332,4456,1067,2739,3233,3533,3723,3344,2138,864,369,21011,8,8,32,61,171,357,659,611,307,2218,1742,1260,1344,1923,2576,3272,2707,1479,651,16948,33704,15876,15145,17504,17467,14608,9428,3481,727,127930
RA52,13,13,21,34,75,132,188,196,117,793,18,21,15,54,162,418,590,397,151,1827,308,1374,1688,1640,1700,1538,896,442,235,9820,4,4,13,34,72,116,220,229,146,837,513,475,702,903,1166,1397,1180,679,392,7414,12973,5766,6243,6558,6380,5862,3630,1375,367,49156,2050,1160,1257,1337,1336,1344,1104,591,260,10451,16593,9213,10494,11258,12114,13014,10501,5639,2246,91070,41,114,347,795,2033,4158,5255,3510,1362,17616,2153,1720,1890,1919,2063,2140,1750,881,265,14780,20,26,93,201,575,1246,1837,1348,436,5787,0,0,5,10,35,62,189,564,611,1481,63,102,274,511,1226,2363,2807,1733,482,9554,40,32,77,140,573,1527,2438,2015,941,7778,29,16,50,66,161,294,424,424,229,1702,46,28,24,82,285,824,1238,866,302,3698,646,2145,2557,2544,2773,2714,1665,753,356,16150,9,10,23,49,132,271,501,533,261,1788,1305,937,1115,1451,1959,2565,2182,1249,605,13374,26092,12649,13231,13323,13269,12166,7573,2721,707,101727
RA53,6,3,15,21,49,52,69,50,23,291,14,0,11,14,65,143,201,108,21,574,113,412,757,703,572,481,241,83,22,3395,3,0,4,12,36,55,59,37,26,230,244,154,326,383,418,486,366,145,81,2598,7443,2715,4660,4275,3185,2865,1650,467,78,27331,1474,795,1286,1159,1038,1010,694,282,88,7823,9630,4272,7451,7072,6035,6038,4490,1721,472,47187,9,40,156,351,758,1583,1957,960,257,6070,884,565,1048,1076,899,886,685,242,51,6346,10,11,38,137,258,523,676,418,84,2159,0,0,3,0,8,22,61,96,92,288,32,52,146,277,619,992,1064,484,116,3786,35,29,46,92,266,652,979,591,182,2871,17,15,38,50,94,118,167,117,40,651,32,9,13,31,106,290,443,246,57,1236,239,651,1134,1132,1021,905,507,158,40,5786,3,0,7,25,62,120,193,123,48,572,561,295,538,652,786,910,777,302,117,4940,15084,5921,9616,9615,7552,6364,3582,998,155,58891
RA54,0,3,16,35,57,75,87,51,13,329,12,3,12,13,50,136,195,73,11,511,54,276,569,420,374,400,262,51,11,2410,0,0,3,6,29,34,70,32,10,194,127,105,263,291,364,500,430,104,23,2222,4925,2731,4538,3286,2786,2949,1793,317,28,23358,1216,936,1692,1190,1207,1144,660,210,41,8299,6502,4244,7420,5678,5464,6331,4706,1229,179,41750,8,37,136,297,731,1631,2165,731,100,5841,425,440,997,999,855,904,775,174,14,5594,7,14,44,105,219,565,783,287,41,2068,0,6,10,4,9,26,49,77,48,219,14,70,153,428,851,1209,1099,393,59,4287,43,42,75,143,398,845,1085,488,64,3182,13,6,28,66,116,156,183,113,23,706,22,11,30,36,126,296,477,204,19,1225,117,416,960,879,792,807,556,108,13,4647,0,0,10,18,64,83,185,95,21,474,320,204,491,625,785,1039,878,210,39,4580,10057,5994,11981,10106,8838,7436,4136,838,77,59456
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,4,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,16,3,20,43,24,30,46,21,5,0,190,0,12,29,20,23,26,13,5,0,127,4,39,89,49,60,77,61,17,0,395,0,0,6,13,26,28,28,3,0,114,0,3,18,34,23,17,15,0,0,115,0,0,0,0,5,8,11,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,7,4,4,0,37,0,0,0,0,5,13,13,6,0,38,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,3,0,3,0,15,0,0,21,24,19,6,0,4,0,70,0,0,0,0,0,0,0,0,0,5,0,0,0,9,21,11,7,0,0,59,3,79,249,445,397,225,56,7,0,1457
RA61,20,40,62,109,173,300,437,492,274,1902,37,22,43,125,367,817,1218,992,321,3943,848,4124,4817,4178,3968,3147,2041,950,596,24664,4,3,25,92,168,285,485,526,386,1975,1087,1404,2022,2286,2705,2856,2548,1577,996,17479,22925,12019,17515,12816,11139,9391,6159,2463,717,95135,2174,1535,1618,1448,1375,1263,1074,799,434,11726,28480,19843,26909,22373,21872,21544,18889,11471,5109,176496,71,289,914,2048,4507,8169,10983,7999,3470,38462,4289,3971,4583,4478,4073,3794,3557,1998,655,31402,45,102,197,506,1103,2196,3413,2531,979,11070,5,3,13,19,43,122,465,1051,1218,2936,124,260,586,1021,2014,3511,4543,3047,997,16099,107,115,159,322,966,2360,4137,3895,2012,14083,45,75,112,191,315,565,894,921,454,3572,69,50,101,246,674,1483,2213,1846,617,7295,1782,6345,7556,6726,6563,5292,3454,1567,851,40143,11,16,41,136,321,616,1079,1099,656,3977,2795,2537,3197,3664,4550,5047,4470,2662,1505,30431,45974,26298,37294,26460,22426,18420,11663,4700,1220,194451
RA62,15,19,33,54,109,213,321,339,177,1282,17,3,41,90,337,751,1085,641,206,3163,460,1685,2199,2158,2393,2344,1423,537,270,13472,4,5,18,39,131,205,297,301,182,1180,529,593,874,1144,1645,2116,1718,799,411,9822,12364,5900,6285,6049,6534,6615,4377,1713,437,50278,1491,845,826,863,996,1131,980,620,256,8008,15835,9537,10747,11054,13218,15815,13591,7236,2657,99690,46,142,496,1106,3116,6591,8522,5244,1816,27075,2691,2073,2320,2409,2653,2962,2754,1312,324,19497,31,26,89,233,662,1596,2456,1681,494,7274,7,0,3,13,29,90,195,519,497,1349,62,131,263,534,1358,2648,3578,2232,588,11402,71,61,96,199,692,1946,3252,2714,1073,10105,42,37,65,89,220,413,679,706,301,2553,39,20,81,179,618,1426,2119,1360,381,6214,946,2677,3367,3428,3972,4028,2603,979,374,22376,13,10,29,69,245,443,795,731,321,2647,1406,1127,1437,1835,2798,3860,3226,1455,625,17772,24738,12838,13305,12248,13302,13390,9043,3419,771,103057
RA63,0,0,0,3,0,16,13,13,5,51,0,0,0,0,12,31,42,19,4,112,14,44,76,95,83,115,54,26,8,513,0,0,0,0,3,15,8,10,3,45,13,19,25,42,54,87,69,39,11,365,433,161,360,238,245,330,216,50,10,2049,64,38,88,55,63,84,58,23,14,488,566,285,581,451,521,795,627,261,88,4165,0,4,12,38,137,337,379,220,62,1195,89,55,82,91,115,134,125,51,16,756,0,0,3,10,33,55,125,72,13,322,0,0,0,0,0,4,7,22,31,64,0,6,4,21,73,143,177,91,19,538,3,0,0,16,50,91,169,107,31,464,0,0,4,3,8,23,36,25,11,110,0,0,0,7,23,61,98,46,6,245,33,65,111,153,172,209,122,45,20,931,0,0,0,0,12,18,31,30,12,105,41,32,48,70,111,188,163,63,21,729,859,395,803,566,585,748,455,124,29,4556
RA64,0,0,0,0,0,0,6,9,4,14,0,0,0,0,5,3,18,9,0,41,4,14,19,26,17,19,24,9,7,138,0,0,0,0,0,3,3,6,0,17,9,4,4,7,8,17,19,6,4,82,138,38,80,89,77,88,73,24,7,601,29,4,11,25,16,15,14,8,7,134,180,58,122,149,134,197,192,99,34,1165,0,0,11,11,23,63,107,70,15,307,22,13,19,21,13,33,42,17,3,188,0,0,0,4,10,26,29,30,10,106,0,0,0,0,0,0,0,5,12,15,0,0,0,5,7,24,40,26,6,110,0,0,0,3,5,24,50,39,17,143,0,0,0,0,0,0,10,11,6,31,0,0,0,0,5,12,27,18,7,76,3,16,30,37,29,30,34,19,7,207,0,0,0,0,4,4,18,13,0,36,12,4,3,21,20,41,39,19,10,180,286,87,183,195,164,180,156,50,4,1311
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,11,0,4,7,3,7,10,3,0,0,36,0,0,0,3,4,3,0,0,0,15,0,7,13,12,18,11,9,0,0,72,0,0,0,0,5,10,11,0,0,24,0,0,0,3,4,6,0,0,0,20,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,10,0,0,0,0,0,0,7,0,0,10,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,5,0,0,3,0,3,7,0,0,0,17,0,0,0,0,0,0,3,0,0,6,0,0,0,5,0,9,3,0,0,19,0,15,37,37,37,26,12,0,0,166
