RA_CODE_2021,Neg_Nil_Inc_CF_no_chldren,Neg_Nil_Inc_CFwith_chldren,Neg_Nil_Inc_OnePF,Neg_Nil_Inc_Oth_family,Neg_Nil_Inc_Total,1_149_CF_no_chldren,1_149_CFwith_chldren,1_149_One_PF,1_149_Oth_family,1_149_Total,150_299_CF_no_chldren,150_299_CFwith_chldren,150_299_OnePF,150_299_Oth_family,150_299_Total,300_399_CF_no_chldren,300_399_CFwith_chldren,300_399_OnePF,300_399_Oth_family,300_399_Total,400_499_CF_no_chldren,400_499_CFwith_chldren,400_499_OnePF,400_499_Oth_family,400_499_Total,500_649_CF_no_chldren,500_649_CFwith_chldren,500_649_OnePF,500_649_Oth_family,500_649_Total,650_799_CF_no_chldren,650_799_CFwith_chldren,650_799_OnePF,650_799_Oth_family,650_799_Total,800_999_CF_no_chldren,800_999_CFwith_chldren,800_999_OnePF,800_999_Oth_family,800_999_Total,1000_1249_CF_no_chldren,1000_1249_CFwith_chldren,1000_1249_OnePF,1000_1249_Oth_family,1000_1249_Total,1250_1499_CF_no_chldren,1250_1499_CFwith_chldren,1250_1499_OnePF,1250_1499_Oth_family,1250_1499_Total,1500_1749_CF_no_chldren,1500_1749_CFwith_chldren,1500_1749_OnePF,1500_1749_Oth_family,1500_1749_Total,1750_1999_CF_no_chldren,1750_1999_CFwith_chldren,1750_1999_OnePF,1750_1999_Oth_family,1750_1999_Total,2000_2499_CF_no_chldren,2000_2499_CFwith_chldren,2000_2499_OnePF,2000_2499_Oth_family,2000_2499_Total,2500_2999_CF_no_chldren,2500_2999_CFwith_chldren,2500_2999_OnePF,2500_2999_Oth_family,2500_2999_Total,3000_3499_CF_no_chldren,3000_3499_CFwith_chldren,3000_3499_OnePF,3000_3499_Oth_family,3000_3499_Total,3500_3999_CF_no_chldren,3500_3999_CFwith_chldren,3500_3999_OnePF,3500_3999_Oth_family,3500_3999_Total,4000orMore_CF_no_chldren,4000orMore_CFwith_chldren,4000orMore_OnePF,4000orMore_Oth_family,4000orMore_Total,Part_IncStated_CF_no_chldren,Part_IncStated_CFwith_chldren,Part_IncStated_OnePF,Part_IncStated_Oth_family,Part_IncStated_Total,All_Inc_NS_CF_no_chldren,All_Inc_NS_CFwith_chldren,All_Inc_NS_OnePF,All_Inc_NS_Oth_family,All_Inc_NS_Total,Total_CF_no_chldren,Total_CFwith_chldren,Total_OnePF,Total_Oth_family,Total_Total
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA30,6188,1360,2759,250,10559,2365,386,776,110,3639,1770,564,1710,145,4191,1480,475,2832,106,4891,7137,1237,5402,307,14082,5681,2000,10097,431,18208,30953,4373,12211,801,48343,22874,6911,15633,1509,46925,25855,12669,17425,1617,57572,29857,20164,15514,1792,67330,18343,20176,11798,1199,51515,21316,22293,9598,1186,54400,46267,54301,15727,2113,118403,32277,46916,6353,1248,86792,23146,42110,4158,698,70109,14311,29656,1581,353,45899,34462,88431,4562,539,127994,13869,28885,9442,549,52738,3971,2697,1970,220,8861,342127,385606,149539,15169,892437
RA31,2296,311,595,61,3266,1217,90,216,27,1547,729,166,590,31,1522,717,114,1080,42,1948,3803,425,2212,87,6522,2749,580,3983,128,7442,17849,1497,4580,239,24162,10828,2278,5830,552,19490,10697,4164,5737,489,21091,11619,6344,4410,426,22800,6130,6144,3132,262,15667,6987,6633,2386,259,16261,13335,15284,3393,383,32394,8368,12383,1355,198,22300,5896,9921,748,74,16636,3136,6309,289,45,9782,6669,13429,736,93,20925,6682,12372,3038,180,22269,2400,900,849,94,4249,122101,99334,45157,3664,270259
RA32,1377,231,453,42,2105,660,69,157,32,918,433,136,431,50,1046,377,78,746,29,1225,1989,251,1356,82,3679,1385,376,2447,88,4305,8305,956,2889,141,12291,5165,1445,3567,326,10501,5700,2458,3554,311,12022,6542,3775,3031,336,13685,3862,3811,2167,204,10047,4782,4219,1723,208,10928,9621,9799,2516,323,22262,6379,8477,914,190,15962,4677,6967,569,85,12305,2514,4554,214,34,7323,5148,9880,567,69,15666,5170,8876,2255,148,16457,1484,681,597,88,2850,75582,67048,30162,2790,175581
RA33,159,37,51,6,255,57,9,13,4,81,43,22,84,3,147,41,14,107,0,159,219,57,187,28,486,117,37,265,8,436,648,129,264,32,1072,392,152,282,28,856,458,251,254,24,990,529,327,219,22,1099,284,326,156,14,781,406,356,117,14,893,791,866,202,27,1893,540,720,73,18,1347,510,684,55,13,1258,279,430,18,7,724,749,1075,68,17,1902,534,1023,233,24,1814,222,115,96,15,446,6971,6621,2738,306,16638
RA34,103,30,46,5,193,27,15,22,4,74,39,24,87,13,163,19,22,146,0,186,180,90,197,25,492,90,72,232,20,414,363,169,217,29,779,279,199,233,39,746,241,278,245,25,789,296,322,200,35,850,201,222,132,8,563,261,242,75,8,595,479,546,105,20,1148,384,419,40,10,844,273,319,37,10,634,167,222,15,8,409,341,497,38,7,881,362,899,243,18,1517,194,135,118,17,462,4297,4714,2437,298,11741
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA40,2274,510,1042,116,3935,930,154,335,57,1479,694,251,782,61,1799,520,247,1378,61,2203,3131,699,2516,185,6532,2490,1009,4414,239,8158,15112,2164,5265,420,22962,11239,3511,7013,713,22475,12214,6216,7375,729,26533,13630,9146,6436,850,30059,7837,8861,4762,464,21927,8588,9643,3879,503,22618,18222,23113,6169,784,48291,12408,19838,2594,442,35278,8493,16485,1477,238,26698,4871,11133,614,108,16724,10384,28782,1484,148,40797,5265,11370,4331,207,21163,1559,831,699,89,3182,139862,153963,62574,6404,362811
RA41,361,36,74,0,469,151,24,25,4,210,145,16,83,4,246,131,21,154,4,315,711,69,311,16,1105,552,95,582,12,1240,3439,289,651,41,4421,2553,454,838,72,3928,2562,781,808,68,4229,2702,1295,639,63,4701,1245,1228,444,34,2950,1454,1322,350,32,3164,2521,2873,455,52,5899,1535,2295,198,11,4040,1017,1726,105,12,2861,433,1090,52,7,1584,1058,2337,90,9,3496,1089,2150,585,15,3836,367,129,85,12,603,24037,18227,6543,472,49282
RA42,427,56,106,15,602,212,36,61,8,312,120,34,155,7,321,112,21,262,8,411,837,108,565,25,1536,581,124,863,35,1604,4029,370,921,64,5387,2455,509,1116,123,4195,2217,949,976,83,4231,2594,1438,791,77,4905,1275,1323,526,46,3164,1641,1348,363,48,3395,2801,3009,518,67,6397,1688,2229,224,34,4171,1158,1619,117,16,2913,578,917,32,9,1531,1117,1731,84,8,2941,1347,2238,630,28,4241,597,179,210,29,1012,25778,18239,8516,730,53268
RA43,83,22,22,0,136,38,3,6,0,48,33,3,27,3,71,29,3,43,0,73,174,14,75,0,265,114,27,113,3,262,707,51,150,10,922,449,83,174,22,724,478,184,173,10,847,586,307,131,15,1036,255,277,96,3,629,366,272,78,8,727,614,633,84,14,1346,383,491,29,9,914,260,390,20,3,670,136,226,5,0,369,340,515,28,3,884,372,570,130,10,1087,103,23,33,7,167,5533,4096,1431,129,11188
RA44,31,10,12,0,49,17,4,0,0,17,7,8,29,0,49,4,8,33,4,42,80,45,43,0,174,38,38,42,6,120,161,73,49,10,291,119,44,59,12,239,101,67,45,5,220,114,96,35,6,252,71,72,18,3,160,68,77,26,3,174,146,119,17,4,277,108,111,14,3,231,82,74,6,0,162,33,47,0,3,87,72,82,0,0,155,114,202,56,15,378,44,47,36,11,140,1409,1213,521,83,3224
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA50,4268,816,1548,165,6796,1566,207,501,86,2367,1238,367,1103,135,2834,890,352,1976,84,3308,4543,842,3378,251,9018,3554,1266,5892,286,10995,18479,2671,6511,442,28103,13172,4067,8173,849,26266,14594,7416,9021,833,31862,16380,10999,7948,979,36308,9982,11801,6245,687,28716,11449,13075,5283,668,30467,25092,32882,8960,1248,68177,19036,29005,3949,750,52740,15228,27384,2786,472,45874,9433,18761,1112,260,29565,24817,63279,3258,436,91789,14738,30735,6454,347,52271,2518,1600,1080,130,5328,210984,257513,85179,9110,562783
RA51,474,65,111,8,660,241,20,49,3,315,180,26,120,4,329,154,31,245,8,436,779,68,449,18,1315,549,111,805,21,1493,3227,261,871,39,4402,2056,368,1059,81,3567,2214,749,1105,65,4136,2370,1218,859,69,4510,1262,1269,574,48,3153,1562,1408,455,44,3467,3131,3408,736,69,7351,2143,3055,315,35,5541,1643,2585,182,27,4437,855,1640,78,14,2580,2013,3689,156,25,5877,2197,4440,832,33,7497,449,201,136,18,802,27480,24619,9141,626,61871
RA52,363,58,95,14,531,182,20,52,11,259,137,32,127,14,304,91,16,209,3,320,588,61,385,19,1053,415,98,597,21,1125,2474,222,680,34,3413,1536,354,747,68,2703,1624,576,748,69,3009,1803,911,596,62,3373,963,958,443,39,2403,1208,1076,369,38,2679,2489,2561,529,65,5640,1785,2164,234,42,4225,1362,1845,163,32,3402,760,1112,65,7,1949,1753,2750,151,24,4670,1706,2920,599,42,5263,419,161,169,24,770,21650,17891,6938,620,47101
RA53,115,27,45,3,192,47,11,12,7,81,23,9,54,5,94,19,6,93,6,129,145,41,135,10,319,99,38,161,9,311,515,68,165,22,776,361,119,201,19,705,407,204,218,23,849,458,301,191,25,980,252,323,178,9,760,393,386,157,18,945,979,1014,268,28,2292,807,939,85,19,1847,789,1007,97,10,1911,499,690,36,10,1237,1404,2447,107,12,3970,803,1455,260,17,2538,150,99,94,11,353,8279,9185,2557,263,20280
RA54,64,17,23,3,105,20,16,20,0,58,24,20,152,8,208,20,17,157,5,198,204,160,196,35,593,63,121,172,24,376,317,225,198,41,779,172,191,180,38,584,184,195,185,28,592,240,187,136,17,580,133,138,109,10,385,189,194,93,20,497,436,459,133,11,1041,389,401,58,7,853,362,420,42,13,830,239,237,14,4,503,522,682,34,5,1253,389,692,212,22,1315,118,96,112,18,340,4094,4465,2226,312,11089
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA61,495,97,191,23,794,203,41,69,12,327,178,59,197,20,448,165,35,394,15,604,838,161,781,37,1813,658,235,1432,53,2383,4014,531,1582,90,6209,2940,855,1989,199,5986,3429,1443,2076,175,7127,4195,2326,1707,172,8397,2391,2244,1205,97,5945,2572,2322,976,125,5993,5235,5534,1475,187,12422,3252,4669,550,77,8552,2155,3781,319,46,6303,1265,2523,102,15,3916,2596,5770,330,33,8733,1473,2909,1228,60,5669,421,166,222,31,848,38468,35699,16839,1451,92459
RA62,355,60,90,9,519,217,16,56,6,301,182,20,118,5,326,185,31,254,14,478,923,102,514,13,1556,670,138,896,22,1726,4533,417,1000,51,5996,2666,641,1163,107,4577,2504,1086,1069,86,4741,2680,1643,859,74,5258,1484,1465,533,39,3520,1628,1470,391,49,3539,2906,3032,520,59,6516,1675,2322,192,28,4223,1062,1593,103,10,2768,556,911,36,5,1507,986,1679,94,13,2773,1280,2217,729,27,4256,479,130,176,18,800,26972,18970,8798,639,55376
RA63,19,0,3,0,25,13,3,0,0,13,12,0,10,0,14,13,0,10,0,20,46,6,24,0,76,41,0,28,3,72,185,22,31,5,235,114,27,34,0,180,107,34,31,4,172,111,45,19,0,182,56,40,9,0,110,67,39,8,0,117,111,92,18,6,228,77,69,10,0,156,53,34,4,0,89,20,26,0,0,43,46,37,0,0,89,99,94,33,3,222,20,3,4,0,30,1202,572,283,26,2082
RA64,3,0,0,0,5,7,0,0,0,7,0,0,0,0,0,4,0,0,0,3,13,0,4,0,18,7,0,7,0,18,47,5,10,0,63,29,3,15,0,43,25,15,14,4,54,32,14,9,0,52,24,21,0,0,49,20,3,4,0,30,52,26,7,0,85,30,22,0,0,56,21,15,0,0,39,10,14,0,0,24,23,23,0,0,47,24,27,10,0,61,4,5,0,0,7,370,203,71,8,657
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA72,172,36,79,10,298,41,12,28,0,89,49,12,78,11,152,39,15,150,3,213,165,50,215,10,434,126,53,311,14,504,513,122,354,17,1011,429,191,384,37,1043,538,400,500,39,1482,781,573,508,51,1910,589,573,463,35,1663,698,718,398,53,1860,1947,2001,727,102,4776,1541,1823,304,70,3738,1230,1783,208,27,3252,822,1421,101,18,2354,1789,3752,255,36,5829,1232,2020,459,23,3736,143,102,90,7,347,12828,15671,5609,578,34687
RA73,63,13,29,3,105,53,48,60,10,172,23,49,155,6,231,15,24,108,9,156,146,127,131,19,419,45,69,135,8,262,226,137,157,24,545,147,130,148,23,452,161,169,202,19,546,230,174,162,20,585,142,167,125,11,445,164,180,106,9,461,540,505,161,25,1221,452,513,73,16,1063,406,484,57,11,959,222,330,28,9,588,507,726,53,8,1297,330,586,166,20,1100,61,65,74,6,206,3946,4496,2119,250,10807
RA74,29,12,10,5,55,93,98,97,10,298,47,145,401,20,605,10,42,183,3,241,363,502,284,32,1180,74,258,159,7,490,231,423,210,51,910,131,374,185,48,741,92,358,155,34,631,95,267,129,20,510,58,152,61,10,285,68,142,66,8,280,175,226,75,9,490,153,190,27,4,372,126,141,16,0,290,75,113,7,0,193,142,205,17,7,370,118,430,183,17,745,96,126,85,17,333,2173,4208,2345,289,9018
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA80,565,92,196,19,873,157,29,85,20,289,115,31,170,5,323,87,35,266,8,392,404,98,477,30,1006,380,183,697,32,1296,1722,313,760,59,2856,1530,479,977,99,3080,2256,849,1279,121,4503,3432,1401,1314,181,6323,2600,1506,1375,110,5593,2753,1821,1274,129,5976,6633,5232,2714,300,14883,5511,5438,1128,239,12306,4631,6191,939,137,11904,3369,5625,422,96,9510,8997,21650,1238,123,32005,1577,3012,1185,63,5828,266,200,134,15,610,46982,54184,16629,1773,119568
RA81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,7,3,0,3,0,3,4,0,0,0,5,4,0,0,0,7,8,0,0,0,9,12,10,3,0,21,21,7,0,0,27,7,13,0,0,19,0,9,0,0,18,20,34,0,0,51,0,7,0,0,13,0,0,0,0,6,77,86,20,4,189
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,3,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,3,0,0,0,0,0,0,0,0,0,6,4,0,0,0,3,3,0,0,0,6,0,3,0,0,6,8,7,5,3,21,24,18,25,10,76
RA94,3,0,0,0,7,8,0,0,0,8,0,4,0,0,3,4,0,0,0,10,11,0,6,0,17,15,0,4,0,21,45,9,9,0,58,36,8,15,0,54,34,17,18,0,72,49,26,8,4,85,37,21,9,0,64,35,28,3,4,70,55,62,13,0,122,35,57,4,0,91,22,37,3,0,64,19,27,6,0,49,38,48,0,0,82,27,50,13,0,89,4,0,0,0,11,473,396,112,13,990
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
