RA_CODE_2021,0_299_Separate_house,0_299_Sd_rw_tce_hse_th,0_299_Flat_apartment,0_299_Other_dwelling,0_299_Dwelling_structure_NS,0_299_Tot,300_449_Separate_house,300_449_Sd_rw_tce_hse_th,300_449_Flat_apartment,300_449_Other_dwelling,300_449_Dwg_structure_NS,300_449_Tot,450_599_Separate_house,450_599_Sd_rw_tce_hse_th,450_599_Flat_apartment,450_599_Other_dwelling,450_599_Dwg_structure_NS,450_599_Tot,600_799_Separate_house,600_799_Sd_rw_tce_hse_th,600_799_Flat_apartment,600_799_Other_dwelling,600_799_Dwg_structure_NS,600_799_Tot,800_999_Separate_house,800_999_Sd_rw_tce_hse_th,800_999_Flat_apartment,800_999_Other_dwelling,800_999_Dwg_structure_NS,800_999_Tot,1000_1399_Separate_house,1000_1399_Sd_rw_tce_hse_th,1000_1399_Flat_apartmnt,1000_1399_Other_dwelling,1000_1399_Dwg_structure_NS,1000_1399_Tot,1400_1799_Separate_house,1400_1799_Sd_rw_tce_hse_th,1400_1799_Flat_apartmnt,1400_1799_Other_dwelling,1400_1799_Dwg_structure_NS,1400_1799_Tot,1800_2399_Separate_house,1800_2399_Sd_rw_tce_hse_th,1800_2399_Flat_apartmnt,1800_2399_Other_dwelling,1800_2399_Dwg_structure_NS,1800_2399_Tot,2400_2999_Separate_house,2400_2999_Sd_rw_tce_hse_th,2400_2999_Flat_apartmnt,2400_2999_Other_dwelling,2400_2999_Dwg_structure_NS,2400_2999_Tot,3000_3999_Separate_house,3000_3999_Sd_rw_tce_hse_th,3000_3999_Flat_apartmnt,3000_3999_Other_dwelling,3000_3999_Dwg_structure_NS,3000_3999_Tot,4000_over_Separate_house,4000_over_Sd_rw_tce_hse_th,4000_over_Flat_apartmnt,4000_over_Other_dwelling,4000_over_Dwg_structure_NS,4000_over_Tot,M_rep_NS_Sep_house,M_rep_NS_Sd_rw_tce_hse_th,M_rep_NS_Flat_apart,M_rep_NS_Other_dwelling,M_rep_NS_Dwg_structu_ns,M_rep_NS_Tot,Tot_Sep_hse,Tot_Sd_row_tce_hse_th,Tot_Flat_apartment,Tot_Other_dwelling,Tot_Dwelling_structure_NS,Tot_Tot
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA30,14801,1411,1487,13,21,17733,5245,757,487,3,3,6498,4296,694,521,11,3,5532,7844,1346,1059,27,16,10282,11711,2176,1824,13,17,15744,40037,7784,6398,37,51,54318,60260,8655,7266,40,75,76294,91339,6931,6418,45,82,104809,45810,2249,2255,18,22,50350,36428,1499,1822,10,38,39793,24816,896,1421,12,31,27179,21180,1926,1708,21,26,24859,363779,36332,32657,236,389,433393
RA31,5271,157,85,46,23,5587,2632,118,56,4,4,2816,2605,127,57,13,7,2806,5417,203,101,38,7,5768,8209,298,163,33,16,8724,24459,658,277,85,24,25509,24619,426,159,47,23,25273,22898,238,118,48,32,23332,8329,77,36,24,12,8482,5647,50,28,11,13,5749,3443,42,25,20,16,3542,7261,144,52,29,8,7495,120783,2530,1170,396,202,125079
RA32,3491,126,128,38,22,3802,1689,88,83,21,4,1889,1723,132,110,13,8,1979,3543,243,272,34,4,4085,5091,288,331,31,14,5754,14932,562,549,55,20,16118,15681,323,349,53,28,16435,14264,186,231,37,26,14745,4847,53,73,15,8,4993,3478,46,55,16,5,3603,2215,26,53,24,20,2340,4537,112,144,32,22,4856,75483,2182,2372,370,186,80598
RA33,462,9,4,23,14,514,154,6,0,4,0,166,162,4,0,11,0,180,299,9,4,9,0,316,403,3,0,0,4,419,949,19,6,28,7,1009,813,10,0,8,5,838,776,14,8,16,3,815,263,0,6,4,0,271,212,0,0,4,0,225,213,0,6,7,4,227,429,7,7,12,6,453,5145,89,35,122,42,5426
RA34,286,11,0,17,29,342,100,0,0,11,0,115,150,5,0,0,0,159,218,0,0,15,4,237,217,13,0,10,5,246,344,11,0,17,7,386,205,9,0,19,0,234,203,10,0,26,7,246,74,8,0,15,8,94,58,4,0,4,0,68,118,5,0,16,12,145,187,3,0,17,10,217,2160,79,7,172,80,2491
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA40,7814,1038,315,13,15,9202,3551,542,166,8,0,4262,3317,530,185,4,4,4045,6375,1037,421,11,10,7859,9430,1514,770,10,6,11739,30437,4149,1808,20,59,36469,34016,4074,1210,11,57,39364,32199,3623,741,18,62,36635,12433,1311,217,11,25,13997,10134,941,160,9,16,11261,7224,602,144,8,14,7992,8021,961,303,6,19,9308,164970,20320,6436,112,298,192134
RA41,1236,20,7,0,5,1266,836,27,0,0,3,866,774,39,0,4,4,821,1525,38,7,3,0,1571,2057,40,5,0,10,2116,5516,62,6,5,9,5607,4834,25,5,0,7,4879,3863,14,0,6,9,3894,1428,6,0,0,7,1444,1048,0,0,0,0,1050,677,0,0,0,3,689,1152,20,0,4,3,1173,24954,281,34,36,63,25377
RA42,1314,97,11,13,0,1431,1128,146,7,0,5,1284,1278,134,11,3,7,1430,2517,244,30,17,5,2809,3204,231,16,10,0,3455,5536,231,22,14,12,5811,3296,67,12,14,7,3394,2041,46,3,14,3,2111,554,16,6,8,0,575,401,12,0,5,0,423,340,12,3,4,0,355,1191,73,10,4,9,1286,22799,1291,123,112,43,24371
RA43,311,6,0,4,0,327,205,8,0,0,0,220,186,7,0,5,0,201,408,22,4,8,0,437,533,22,3,3,0,562,1018,26,3,0,0,1054,766,12,0,8,0,788,511,12,0,7,0,522,161,3,0,0,0,168,120,0,0,0,0,122,88,4,0,0,0,93,254,10,0,4,0,272,4569,135,18,33,6,4765
RA44,74,0,0,0,4,76,54,0,0,0,0,59,43,0,0,0,0,46,82,0,0,3,0,86,92,0,0,0,0,90,199,0,0,3,5,208,100,0,0,3,4,107,80,0,0,0,5,80,20,0,0,0,0,19,17,0,0,0,4,19,13,0,0,0,0,19,55,0,0,0,0,56,819,0,5,23,18,863
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA50,11837,1352,481,9,5,13686,3908,461,173,4,0,4540,3496,451,220,0,0,4173,6194,934,400,12,3,7549,9058,1353,663,15,3,11091,33286,4934,2228,11,19,40479,49705,5869,2298,20,26,57921,70852,5877,1952,17,50,78746,32632,2341,785,9,20,35782,26160,1980,704,7,8,28870,20639,1281,503,9,13,22444,15941,1430,530,13,14,17920,283702,28260,10942,122,169,323203
RA51,1370,43,8,8,6,1425,626,29,8,3,0,666,582,25,7,0,0,616,1072,40,8,5,0,1129,1629,67,6,5,4,1710,5322,181,18,9,4,5530,6581,119,11,15,8,6737,7190,100,10,5,8,7319,2993,36,3,5,5,3045,2197,37,3,3,8,2245,1333,25,0,3,6,1375,1777,55,4,5,7,1853,32674,753,90,69,61,33649
RA52,1114,29,4,4,10,1160,607,13,0,0,0,620,567,27,4,0,0,597,1232,49,9,4,5,1290,1507,58,6,10,8,1588,4204,154,7,18,7,4390,3968,92,6,18,11,4097,3829,103,0,7,9,3947,1286,23,0,0,3,1321,999,28,4,0,0,1031,623,20,0,3,3,657,1267,20,5,9,5,1307,21209,628,46,85,51,22021
RA53,426,13,5,6,7,458,161,11,0,4,0,181,152,13,0,4,5,179,302,29,0,12,0,348,350,28,7,12,0,403,913,73,8,13,3,1012,933,48,0,8,0,997,1145,63,5,25,3,1242,570,19,0,4,0,602,545,9,0,6,3,565,390,7,0,8,0,415,390,14,0,10,0,416,6284,337,42,114,29,6812
RA54,124,8,0,30,6,167,67,0,0,9,4,82,62,0,0,19,0,76,99,3,0,13,3,116,112,6,0,26,0,144,255,5,4,44,3,311,200,12,4,33,0,250,259,6,4,48,3,325,128,5,0,21,6,157,100,3,0,21,5,127,89,5,0,24,15,134,106,3,0,24,4,140,1606,48,8,303,53,2021
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA61,2105,78,70,0,3,2258,1116,45,39,0,0,1210,1050,48,42,4,0,1145,2111,103,104,6,0,2326,3222,120,136,0,4,3490,9432,313,341,11,6,10102,8933,235,189,8,0,9366,7483,179,103,4,11,7778,2576,65,26,4,6,2675,1908,42,26,3,0,1982,1264,29,23,4,4,1320,1918,60,56,0,4,2038,43119,1316,1168,48,40,45691
RA62,1377,35,5,9,3,1420,1040,14,0,10,0,1065,1044,14,4,7,0,1069,2039,41,5,7,3,2090,2824,34,4,6,5,2872,6610,63,4,9,5,6699,4448,26,0,15,3,4496,2911,14,0,7,4,2941,851,0,4,0,0,859,636,3,3,3,4,643,422,0,0,5,0,427,1282,9,3,3,3,1301,25484,251,36,73,32,25881
RA63,77,4,0,0,4,80,105,0,0,0,0,104,63,0,0,0,0,67,113,0,0,0,4,114,95,0,0,0,0,92,132,0,0,0,0,131,77,0,0,0,0,77,41,0,0,0,0,41,21,0,0,0,0,21,12,0,0,0,0,12,12,0,0,0,0,12,53,0,0,0,0,51,790,8,0,9,3,804
RA64,24,0,0,0,0,24,11,0,0,0,0,11,13,0,0,0,0,13,24,0,0,0,0,21,24,0,0,0,0,24,45,0,0,0,6,43,23,0,0,0,0,23,17,0,0,0,0,17,11,0,0,0,0,10,5,0,0,0,0,5,5,0,0,0,0,5,16,0,0,0,0,16,214,0,0,0,4,217
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA72,432,25,77,7,0,537,127,10,29,4,0,169,120,15,34,5,0,175,267,43,77,3,0,387,341,52,132,4,0,528,1263,201,383,15,0,1864,1846,223,438,10,0,2516,3648,220,402,10,3,4271,2230,93,164,9,0,2500,1807,51,116,3,0,1991,1099,35,72,0,0,1207,753,55,89,5,0,908,13928,1019,2016,70,9,17048
RA73,113,16,3,11,0,152,51,12,0,3,0,68,52,6,4,0,0,62,80,28,5,7,3,122,160,50,9,7,0,237,455,157,7,16,6,651,763,162,8,6,8,942,909,90,4,12,8,1023,397,23,0,8,3,436,259,23,0,9,6,292,162,4,0,4,5,179,198,23,4,12,0,239,3607,597,47,101,52,4407
RA74,29,0,0,13,3,37,10,0,0,5,0,11,7,0,0,4,0,10,10,0,0,11,0,24,12,0,0,11,3,23,47,0,0,17,6,71,25,0,0,8,0,33,19,0,0,11,0,29,10,0,0,6,0,15,5,0,0,7,0,9,0,0,0,6,0,7,16,0,0,8,0,30,188,4,0,95,17,300
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA80,2150,359,244,0,0,2753,617,96,71,0,0,778,527,118,96,0,0,734,892,222,228,0,0,1339,1191,314,397,0,0,1901,3757,1237,1954,0,3,6954,5680,2353,2401,0,6,10442,11784,2768,2002,0,0,16557,7979,955,610,0,5,9549,7232,696,510,0,4,8455,4983,407,309,0,4,5705,2119,367,288,0,0,2767,48901,9892,9102,7,31,67930
RA81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,8,17,0,0,0,0,17,28,0,0,0,0,28,15,0,0,0,0,15,14,0,0,0,0,14,12,0,0,0,0,12,5,0,0,0,0,5,100,0,0,0,0,100
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA94,18,0,3,0,0,20,6,0,0,0,0,6,5,0,0,0,0,9,21,3,0,0,0,26,22,0,0,0,0,21,67,8,6,0,0,72,45,0,0,0,0,49,39,4,0,0,0,40,15,0,0,0,0,15,6,0,0,0,0,6,3,0,0,0,0,9,19,0,0,0,0,19,261,13,6,0,4,287
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
