RA_CODE_2021,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Agr_fstry_fsh_15_19,F_Agr_fstry_fsh_20_24,F_Agr_fstry_fsh_25_34,F_Agr_fstry_fsh_35_44,F_Agr_fstry_fsh_45_54,F_Agr_fstry_fsh_55_64,F_Agr_fstry_fsh_65_74,F_Agr_fstry_fsh_75_84,F_Agr_fstry_fsh_85_yr_over,F_Agr_fstry_fsh_Tot,F_Min_15_19_yr,F_Min_20_24_yr,F_Min_25_34_yr,F_Min_35_44_yr,F_Min_45_54_yr,F_Min_55_64_yr,F_Min_65_74_yr,F_Min_75_84_yr,F_Min_85_yr_over,F_Min_Tot,F_Manf_15_19_yr,F_Manf_20_24_yr,F_Manf_25_34_yr,F_Manf_35_44_yr,F_Manf_45_54_yr,F_Manf_55_64_yr,F_Manf_65_74_yr,F_Manf_75_84_yr,F_Manf_85_yr_over,F_Manf_Tot,F_Elec_gas_wtr_wst_sv_15_19,F_Elec_gas_wtr_wst_sv_20_24,F_Elec_gas_wtr_wst_sv_25_34,F_Elec_gas_wtr_wst_sv_35_44,F_Elec_gas_wtr_wst_sv_45_54,F_Elec_gas_wtr_wst_sv_55_64,F_Elec_gas_wtr_wst_sv_65_74,F_Elec_gas_wtr_wst_sv_75_84,F_Elec_gas_wtr_wst_sv_85_over,F_Elec_gas_wtr_wst_sv_Tot,F_Con_15_19_yr,F_Con_20_24_yr,F_Con_25_34_yr,F_Con_35_44_yr,F_Con_45_54_yr,F_Con_55_64_yr,F_Con_65_74_yr,F_Con_75_84_yr,F_Con_85_yr_over,F_Con_Tot,F_Whl_trd_15_19_yr,F_Whl_trd_20_24_yr,F_Whl_trd_25_34_yr,F_Whl_trd_35_44_yr,F_Whl_trd_45_54_yr,F_Whl_trd_55_64_yr,F_Whl_trd_65_74_yr,F_Whl_trd_75_84_yr,F_Whl_trd_85_yr_over,F_Whl_trd_Tot,F_Re_trd_15_19_yr,F_Re_trd_20_24_yr,F_Re_trd_25_34_yr,F_Re_trd_35_44_yr,F_Re_trd_45_54_yr,F_Re_trd_55_64_yr,F_Re_trd_65_74_yr,F_Re_trd_75_84_yr,F_Re_trd_85_yr_over,F_Re_trd_Tot,F_Acc_food_svc_15_19,F_Acc_food_svc_20_24,F_Acc_food_svc_25_34,F_Acc_food_svc_35_44,F_Acc_food_svc_45_54,F_Acc_food_svc_55_64,F_Acc_food_svc_65_74,F_Acc_food_svc_75_84,F_Acc_food_svc_85_yr_over,F_Acc_food_svc_Tot,F_Trp_pos_wh_15_19,F_Trp_pos_wh_20_24,F_Trp_pos_wh_25_34,F_Trp_pos_wh_35_44,F_Trp_pos_wh_45_54,F_Trp_pos_wh_55_64,F_Trp_pos_wh_65_74,F_Trp_pos_wh_75_84,F_Trp_pos_wh_85_yr_over,F_Trp_pos_wh_Tot,F_In_med_tcom_15_19,F_In_med_tcom_20_24,F_In_med_tcom_25_34,F_In_med_tcom_35_44,F_In_med_tcom_45_54,F_In_med_tcom_55_64,F_In_med_tcom_65_74,F_In_med_tcom_75_84,F_In_med_tcom_85_yr_over,F_In_med_tcom_Tot,F_Fin_in_svc_15_19,F_Fin_in_svc_20_24,F_Fin_in_svc_25_34,F_Fin_in_svc_35_44,F_Fin_in_svc_45_54,F_Fin_in_svc_55_64,F_Fin_in_svc_65_74,F_Fin_in_svc_75_84,F_Fin_in_svc_85_yr_over,F_Fin_in_svc_Tot,F_Rnt_hrg_rea_est_serv_15_19,F_Rnt_hrg_rea_est_serv_20_24,F_Rnt_hrg_rea_est_serv_25_34,F_Rnt_hrg_rea_est_serv_35_44,F_Rnt_hrg_rea_est_serv_45_54,F_Rnt_hrg_rea_est_serv_55_64,F_Rnt_hrg_rea_est_serv_65_74,F_Rnt_hrg_rea_est_serv_75_84,F_Rnt_hrg_rea_est_serv_85_ov,F_Rnt_hrg_rea_est_serv_Tot,F_Prof_sc_tech_serv_15_19,F_Prof_sc_tech_serv_20_24,F_Prof_sc_tech_serv_25_34,F_Prof_sc_tech_serv_35_44,F_Prof_sc_tech_serv_45_54,F_Prof_sc_tech_serv_55_64,F_Prof_sc_tech_serv_65_74,F_Prof_sc_tech_serv_75_84,F_Prof_sc_tech_serv_85_over,F_Prof_sc_tech_serv_Tot,F_Adm_sup_serv_15_19,F_Adm_sup_serv_20_24,F_Adm_sup_serv_25_34,F_Adm_sup_serv_35_44,F_Adm_sup_serv_45_54,F_Adm_sup_serv_55_64,F_Adm_sup_serv_65_74,F_Adm_sup_serv_75_84,F_Adm_sup_serv_85_over,F_Adm_sup_serv_Tot,F_PubAd_saf_15_19,F_PubAd_saf_20_24,F_PubAd_saf_25_34,F_PubAd_saf_35_44,F_PubAd_saf_45_54,F_PubAd_saf_55_64,F_PubAd_saf_65_74,F_PubAd_saf_75_84,F_PubAd_saf_85_over,F_PubAd_saf_Tot,F_Ed_trng_15_19,F_Ed_trng_20_24,F_Ed_trng_25_34,F_Ed_trng_35_44,F_Ed_trng_45_54,F_Ed_trng_55_64,F_Ed_trng_65_74,F_Ed_trng_75_84,F_Ed_trng_85_yr_over,F_Ed_trng_Tot,F_Hlth_cre_socia_assist_15_19,F_Hlth_cre_socia_assist_20_24,F_Hlth_cre_socia_assist_25_34,F_Hlth_cre_socia_assist_35_44,F_Hlth_cre_socia_assist_45_54,F_Hlth_cre_socia_assist_55_64,F_Hlth_cre_socia_assist_65_74,F_Hlth_cre_socia_assist_75_84,F_Hlth_cre_socia_assist_85ov,F_Hlth_cre_socia_assist_Tot,F_Arts_rec_svc_15_19,F_Arts_rec_svc_20_24,F_Arts_rec_svc_25_34,F_Arts_rec_svc_35_44,F_Arts_rec_svc_45_54,F_Arts_rec_svc_55_64,F_Arts_rec_svc_65_74,F_Arts_rec_svc_75_84,F_Arts_rec_svc_85_yr_over,F_Arts_rec_svc_Tot,F_Oth_svc_15_19_yr,F_Oth_svc_20_24_yr,F_Oth_svc_25_34_yr,F_Oth_svc_35_44_yr,F_Oth_svc_45_54_yr,F_Oth_svc_55_64_yr,F_Oth_svc_65_74_yr,F_Oth_svc_75_84_yr,F_Oth_svc_85_yr_over,F_Oth_svc_Tot
RA72,1754,3608,10301,8974,7605,5627,1787,179,14,39852,8,18,67,73,86,78,34,7,0,373,4,12,91,63,55,38,3,0,0,276,39,62,102,119,125,78,18,0,0,548,0,14,87,121,99,52,3,0,0,376,26,64,287,304,286,196,43,0,0,1204,10,31,87,90,94,49,13,0,0,374,458,399,738,519,515,397,123,10,0,3157,619,366,933,546,329,233,53,3,0,3091,33,67,177,176,179,140,30,4,0,804,10,23,77,62,20,32,11,0,0,235,4,35,207,155,133,64,22,0,0,625,8,44,147,129,122,86,39,10,0,590,42,153,680,538,401,298,95,7,3,2207,24,86,315,309,297,191,46,3,0,1276,74,498,1688,1811,1557,996,186,10,0,6814,100,272,1005,1261,1161,815,190,12,0,4813,118,604,2616,1895,1362,1067,285,12,0,7955,83,126,265,163,130,83,24,0,0,872,70,121,391,358,249,160,56,3,0,1400
RA73,462,816,2967,2621,2210,2170,732,75,9,12062,11,23,41,42,46,32,20,5,0,223,3,4,14,18,13,5,0,0,0,52,8,12,31,20,27,17,9,0,0,128,3,0,4,11,17,10,0,0,0,43,9,19,74,67,73,56,15,4,0,313,3,13,29,31,28,25,6,0,0,133,131,63,199,112,125,124,35,4,0,799,92,62,241,125,95,111,31,3,0,762,5,16,46,29,42,43,11,0,0,192,6,10,21,23,16,22,3,0,0,107,0,11,29,28,15,14,5,0,0,110,3,14,36,30,22,26,7,0,0,137,5,18,171,128,125,83,30,0,0,566,6,20,82,68,60,69,12,4,0,327,22,114,449,427,401,283,53,0,0,1756,67,87,376,341,413,370,90,0,0,1741,49,217,1021,722,617,551,142,9,0,3320,21,29,85,53,51,39,30,0,0,311,19,28,113,105,83,73,19,0,0,443
RA74,238,623,1763,1657,1473,1279,428,49,4,7511,77,128,119,64,51,61,20,0,0,522,3,19,55,58,53,22,0,0,0,212,5,4,4,9,9,9,3,0,0,46,0,0,0,4,5,0,0,0,0,8,4,7,25,29,30,27,10,0,0,128,0,3,11,4,0,10,4,0,0,34,39,42,136,108,93,77,24,4,0,522,39,83,158,75,80,65,17,0,0,516,7,3,33,15,25,17,5,0,0,100,0,0,5,7,6,5,0,0,0,20,0,0,16,15,3,13,7,0,0,53,0,4,5,7,8,17,0,0,0,46,0,10,44,34,25,29,15,3,0,160,10,18,33,40,38,25,11,0,0,172,18,61,179,200,201,129,40,3,0,828,26,92,324,299,280,223,52,5,0,1308,21,71,343,301,279,322,70,4,0,1406,11,31,54,57,47,30,16,5,0,242,5,4,32,37,31,23,8,0,0,144
RA75,3,12,33,60,75,60,4,0,0,249,0,3,0,0,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,8,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA80,6083,12873,32868,30302,24023,14516,4169,568,49,125452,9,25,45,42,29,48,34,4,0,237,0,0,12,12,3,3,0,0,0,27,164,151,265,210,205,129,41,10,0,1176,10,54,186,159,109,40,5,0,0,554,54,188,606,487,376,208,48,8,0,1976,24,71,114,97,110,78,20,0,0,511,1751,1772,1879,1013,859,725,248,28,0,8261,2254,1775,1685,781,486,372,83,9,0,7445,21,72,235,217,240,164,44,4,0,992,53,161,375,362,296,159,38,13,0,1464,20,148,543,510,340,211,55,8,0,1837,39,224,465,342,238,181,59,14,3,1564,174,1302,3460,2975,2032,1095,295,37,0,11371,80,297,951,733,617,470,130,11,3,3299,272,2446,9542,10961,9069,4342,577,24,0,37232,680,1374,3438,3894,3482,2147,546,48,0,15607,497,2303,6098,4860,3768,2731,685,43,0,20965,343,438,546,435,347,225,89,14,0,2443,305,536,941,761,632,414,132,8,0,3746
RA81,14,16,41,50,39,31,12,3,0,214,4,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,3,4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,8,0,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,11,17,6,5,0,0,0,45,0,0,7,6,12,3,0,0,0,26,3,5,6,5,9,3,0,0,0,28,0,5,9,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA91,21,33,56,16,15,7,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,25,8,6,3,0,0,0,59,0,0,3,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA94,45,60,188,211,242,301,142,21,3,1218,0,0,3,0,5,3,0,0,0,15,0,0,4,4,6,0,0,0,0,24,0,0,6,0,4,7,0,0,0,7,0,0,0,3,4,3,0,0,0,12,0,0,4,3,10,3,0,0,0,22,0,0,0,3,0,4,0,0,0,11,7,10,10,24,22,33,20,8,0,130,21,15,24,21,28,30,13,0,0,159,0,3,9,4,5,7,3,0,0,37,0,0,5,0,0,0,5,0,0,5,0,0,6,8,6,4,0,0,0,22,0,0,0,3,0,4,0,0,0,9,0,3,3,8,9,14,3,0,0,38,4,3,11,21,25,19,3,0,0,88,0,13,38,47,56,31,11,3,0,204,0,8,30,24,27,31,6,0,0,129,0,4,22,18,30,40,23,3,0,135,8,0,8,3,5,7,5,0,0,35,0,0,4,4,4,3,0,0,0,20
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
