RA_CODE_2021,OO_DS_Sep_hse,OO_DS_Sde_row_or_ter_h_t,OO_DS_Flt_apt,OO_DS_Oth_dwel,OO_DS_NS,Owned_Outright_Total,OWM_DS_Sep_hse,OWM_DS_Sde_row_or_ter_h_t,OWM_DS_Flt_apt,OWM_DS_Oth_dwel,OWM_DS_NS,Owned_with_mortgage_Total,R_REA_DS_Sep_hse,R_REA_DS_Sde_row_or_ter_h_t,R_REA_DS_Flt_apt,R_REA_DS_Oth_dwel,R_REA_DS_NS,R_Real_estate_agent_Total,R_SteTer_h_auth_DS_Separat_hs,R_ST_h_aut_DS_Sd_r_ter_h_t,R_SteT_h_auth_DS_Flt_apt,R_SteTer_h_auth_DS_Oth_dwel,R_SteTer_h_auth_DS_NS,R_SteTer_h_auth_Total,R_Com_hs_pr_DS_Sep_hse,R_Com_hs_pr_DS_Sd_ro_ter_h_t,R_Com_hs_pr_DS_Flt_apt,R_Com_hs_pr_DS_Oth_dwel,R_Com_hs_pr_DS_NS,R_Com_hs_pr_Total,R_Psn_ns_HH_DS_Sep_hse,R_Psn_ns_HH_DS_Sd_r_te_h_t,R_Psn_ns_HH_DS_Flt_apt,R_Psn_ns_HH_DS_Oth_dwe,R_Psn_ns_HH_DS_NS,R_Psn_ns_HH_Total,R_Oth_llord_type_DS_Sep_hse,R_Oth_lld_typ_DS_S_ro_ter_h_t,R_Oth_lld_type_DS_Flt_apt,R_Oth_llord_type_DS_Oth_dwel,R_Oth_llord_type_DS_NS,R_Oth_llord_type_Total,R_Llord_type_NS_DS_Sep_hse,R_Lld_ty_NS_DS_Sd_row_ter_h_t,R_Llord_typ_NS_DS_Flt_apt,R_Llord_type_NS_DS_Oth_dwel,R_Llord_type_NS_DS_NS,R_Llord_type_NS_Total,R_Total_DS_Sep_hse,R_Total_DS_Sde_row_or_ter_h_t,R_Total_DS_Flt_apt,R_Total_DS_Oth_dwel,R_Total_DS_NS,R_Total_Total,Oth_tenu_typ_DS_Sep_hse,Oth_ten_typ_DS_Sd_row_ter_h_t,Oth_tenu_typ_DS_Flt_apt,Oth_tenu_typ_DS_Oth_dwel,Oth_tenu_typ_DS_NS,Oth_tenu_typ_Total,Tenu_typ_NS_DS_Sep_hse,Ten_ty_NS_DS_Sd_row_ter_h_t,Tenu_typ_NS_DS_Flt_apt,Tenu_typ_NS_DS_Oth_dwel,Tenu_typ_NS_DS_NS,Tenu_typ_NS_Total,Total_DS_Sep_hse,Total_DS_Sde_row_or_ter_h_t,Total_DS_Flt_apt,Total_DS_Oth_dwel,Total_DS_NS,Total_Total
RA32,71752,2777,2777,5317,1149,83766,75483,2182,2372,370,186,80598,27985,9067,8716,136,189,46096,3988,1840,1300,32,30,7184,967,678,463,21,24,2149,14665,2154,1969,243,200,19235,5601,1107,974,1364,583,9634,346,135,104,24,4,617,53552,14978,13533,1830,1029,84911,4681,695,259,261,165,6065,16216,2677,2787,1739,481,23885,221673,23307,21736,9519,3006,279231
RA33,7196,88,36,1665,324,9318,5145,89,35,122,42,5426,1837,631,199,24,16,2712,1373,209,177,6,9,1782,322,44,55,3,0,432,1582,174,67,87,60,1975,1692,278,118,394,218,2697,54,14,13,4,0,92,6868,1355,637,512,313,9685,1714,99,75,170,122,2184,2441,209,122,809,90,3673,23374,1836,898,3276,894,30287
RA34,4163,101,21,2594,500,7386,2160,79,7,172,80,2491,688,215,70,27,9,1006,2541,360,141,11,23,3066,743,81,39,6,15,886,934,53,29,86,35,1125,1293,312,108,515,258,2482,74,10,10,4,0,93,6269,1023,379,657,342,8670,1158,139,42,207,207,1754,1744,213,120,833,136,3041,15498,1554,567,4461,1258,23347
RA35,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,3,8,5
RA40,135846,18189,6195,733,208,161175,164970,20320,6436,112,298,192134,42797,19934,17008,137,258,80133,9179,10037,3317,0,58,22591,2895,3291,1617,7,43,7854,21949,7624,5486,115,170,35345,2886,975,974,354,106,5284,472,357,228,12,9,1072,80172,42213,28636,625,646,152283,4626,5781,2382,58,73,12923,11256,4904,2757,507,172,19599,396874,91407,46407,2037,1402,538118
RA41,26781,688,77,420,86,28063,24954,281,34,36,63,25377,5049,747,218,11,16,6041,560,407,20,0,0,993,297,250,38,4,5,599,3778,263,66,43,31,4176,548,66,17,131,40,797,75,26,3,3,4,115,10314,1764,362,195,86,12723,1572,480,34,33,17,2122,3141,289,49,174,22,3670,66766,3506,558,857,274,71958
RA42,29502,1546,215,706,202,32167,22799,1291,123,112,43,24371,6021,2033,913,18,26,9014,1763,2358,614,5,14,4747,358,280,80,0,0,721,4665,658,180,63,48,5614,1296,207,78,304,115,2001,108,69,22,6,0,207,14207,5603,1883,405,206,22303,2011,519,61,65,37,2704,4268,1109,252,578,140,6342,72789,10069,2540,1865,633,87894
RA43,6452,176,81,224,63,6986,4569,135,18,33,6,4765,1261,223,164,6,0,1664,399,166,66,3,5,635,75,47,14,0,0,135,1338,107,82,21,19,1558,717,29,32,79,38,891,33,9,3,0,0,50,3820,584,361,109,64,4941,680,16,27,21,18,768,1106,130,56,162,31,1484,16617,1045,550,560,182,18943
RA44,1670,21,15,326,138,2169,819,0,5,23,18,863,216,6,22,4,7,256,571,30,6,5,8,621,154,6,4,5,0,172,343,10,15,15,17,401,260,24,23,113,67,478,21,0,5,0,0,29,1572,79,63,141,100,1957,376,41,9,29,62,520,493,23,25,148,34,732,4936,171,122,661,349,6241
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA50,185744,24384,8586,1631,171,220519,283702,28260,10942,122,169,323203,70692,28466,26677,104,144,126086,7130,8795,2843,7,26,18786,1215,2015,1011,6,21,4262,34527,10589,6454,130,90,51792,4057,1321,824,493,78,6775,605,379,180,9,5,1180,118224,51562,37990,744,355,208881,6339,5172,2182,87,47,13816,20330,6532,4671,1887,306,33731,614334,115913,64376,4474,1049,800154
RA51,26972,1197,160,703,81,29111,32674,753,90,69,61,33649,7043,1215,323,21,19,8635,1122,958,77,0,8,2168,155,298,85,0,3,542,5450,537,97,48,31,6178,812,111,28,366,19,1341,84,24,5,4,0,119,14675,3150,618,448,90,18983,1409,503,48,88,38,2080,4373,585,107,531,65,5656,80105,6189,1020,1833,335,89482
RA52,23494,822,55,877,117,25367,21209,628,46,85,51,22021,5741,1628,238,16,13,7638,1758,873,75,10,13,2720,366,398,59,12,4,835,4960,464,62,54,31,5563,1388,279,28,374,80,2141,86,49,5,7,0,153,14294,3685,471,461,146,19056,1965,316,39,91,34,2436,5150,800,121,931,80,7080,66103,6259,728,2445,422,75957
RA53,6534,298,65,1801,179,8885,6284,337,42,114,29,6812,2403,878,504,27,25,3837,1626,605,82,8,18,2331,240,112,43,10,6,410,1719,246,72,77,44,2159,3368,650,286,659,122,5087,57,21,5,4,0,92,9417,2507,991,791,213,13919,1595,163,104,129,99,2083,3171,770,293,667,117,5014,26993,4082,1492,3504,638,36711
RA54,2324,70,21,4848,444,7705,1606,48,8,303,53,2021,794,156,98,25,14,1088,2254,252,74,23,32,2632,1241,70,72,44,22,1447,811,85,19,257,90,1265,2691,235,76,1237,284,4526,58,11,8,18,4,93,7840,808,352,1598,447,11044,1440,124,49,395,251,2261,2211,302,131,1327,451,4416,15420,1352,559,8478,1641,27450
RA55,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,5,8,13
RA61,41967,1653,1690,234,56,45602,43119,1316,1168,48,40,45691,12992,2427,4028,121,40,19608,3521,1197,1260,0,32,6010,942,555,471,0,21,1993,7647,1111,1707,88,65,10618,766,174,245,109,14,1314,170,62,59,6,0,298,26039,5532,7767,326,178,39838,1421,444,336,28,15,2248,3821,775,795,249,43,5686,116369,9724,11752,886,335,139064
RA62,33021,670,117,464,67,34333,25484,251,36,73,32,25881,5423,991,150,44,7,6618,1838,944,66,0,5,2854,438,362,25,0,7,827,5436,519,93,67,23,6142,921,141,32,168,37,1301,130,59,0,3,0,195,14190,3021,377,276,80,17946,1593,128,6,61,25,1810,4156,442,69,336,23,5029,78447,4512,599,1212,228,84995
RA63,1710,15,0,38,21,1787,790,8,0,9,3,804,294,35,10,0,0,337,27,9,0,0,0,36,6,6,5,0,0,12,295,15,0,4,6,317,189,10,26,12,19,252,9,0,0,0,0,16,821,64,41,19,25,973,185,0,3,5,10,211,347,23,3,31,6,408,3854,115,51,99,65,4183
RA64,491,10,0,0,3,498,214,0,0,0,4,217,25,0,0,0,0,21,33,6,0,0,0,40,25,15,0,0,0,39,124,3,6,0,0,134,47,4,0,0,0,48,6,0,0,0,0,6,254,25,10,0,0,286,70,0,0,0,0,77,105,0,0,6,0,117,1132,37,14,10,5,1191
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA72,6494,569,1060,1037,52,9213,13928,1019,2016,70,9,17048,4274,1705,6214,18,36,12240,1153,761,706,4,14,2642,165,31,90,4,7,294,2161,617,1356,60,55,4244,1173,112,401,335,80,2098,61,18,55,4,3,140,8989,3245,8819,421,185,21661,502,91,153,52,35,826,2247,503,1100,772,128,4752,32155,5427,13148,2361,409,53503
RA73,2068,198,26,1270,304,3868,3607,597,47,101,52,4407,1079,1048,221,16,32,2400,1148,518,71,13,11,1761,464,120,25,10,23,637,798,296,40,101,63,1305,677,231,60,463,213,1640,45,15,6,4,0,66,4208,2226,419,612,344,7810,497,163,47,132,83,920,1022,322,84,680,167,2270,11404,3504,620,2793,944,19267
RA74,432,12,0,1372,187,2009,188,4,0,95,17,300,99,41,13,11,3,174,2687,300,60,8,23,3069,1164,124,39,18,17,1350,110,20,15,80,21,240,1023,283,123,263,153,1842,48,9,4,5,0,59,5129,769,247,384,214,6742,1447,138,73,195,109,1966,754,124,104,452,152,1585,7957,1048,424,2498,672,12596
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,6,0,7
RA80,35019,5883,4088,102,35,45133,48901,9892,9102,7,31,67930,9470,6297,13215,4,49,29026,4435,2736,1447,18,10,8645,394,324,299,0,8,1027,4855,2385,3480,9,42,10774,1687,480,591,40,32,2831,112,54,52,0,0,213,20941,12275,19090,71,144,52516,1058,843,843,4,23,2781,2959,1253,1972,181,25,6390,108877,30145,35098,367,262,174745
RA81,42,0,0,0,0,42,100,0,0,0,0,100,3,0,0,0,0,3,9,0,0,0,0,9,0,0,0,0,0,0,19,0,0,0,4,21,16,0,0,0,6,21,0,0,0,0,0,0,46,0,0,0,10,55,10,0,0,0,0,11,21,0,0,0,0,21,223,0,0,0,8,228
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA91,0,0,0,0,0,4,0,0,0,0,0,0,10,0,0,0,0,13,6,0,0,0,0,6,28,0,0,0,0,28,0,0,0,0,0,0,13,0,0,0,4,18,0,0,0,0,0,0,57,0,0,0,3,61,10,0,0,0,0,10,30,0,0,0,0,30,95,0,6,7,6,106
RA94,442,29,25,0,5,498,261,13,6,0,4,287,96,3,0,0,5,102,59,31,49,0,0,135,16,0,3,0,0,13,163,23,21,0,4,218,70,9,18,0,3,98,0,0,0,0,0,0,405,65,95,0,9,576,84,5,11,5,9,109,169,11,33,0,12,222,1366,125,174,6,33,1698
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
