RA_CODE_2021,P_PG_Deg_35_44_yr,P_PG_Deg_45_54_yr,P_PG_Deg_55_64_yr,P_PG_Deg_65_74_yr,P_PG_Deg_75_84_yr,P_PG_Deg_85_yr_over,P_PGuate_Deg_Tot,P_Grad_Dip_Cer_15_24_yr,P_Grad_Dip_Cer_25_34_yr,P_Grad_Dip_Cer_35_44_yr,P_Grad_Dip_Cer_45_54_yr,P_Grad_Dip_Cer_55_64_yr,P_Grad_Dip_Cer_65_74_yr,P_Grad_Dip_Cer_75_84_yr,P_Grad_Dip_Cer_85_yr_over,P_Grad_Dip_Cer_Tot,P_B_Deg_15_24_yr,P_B_Deg_25_34_yr,P_B_Deg_35_44_yr,P_B_Deg_45_54_yr,P_B_Deg_55_64_yr,P_B_Deg_65_74_yr,P_B_Deg_75_84_yr,P_B_Deg_85_yr_over,P_B_Deg_Tot,P_Adv_Dip_Dip_15_24,P_Adv_Dip_Dip_25_34,P_Adv_Dip_Dip_35_44,P_Adv_Dip_Dip_45_54,P_Adv_Dip_Dip_55_64,P_Adv_Dip_Dip_65_74,P_Adv_Dip_Dip_75_84,P_Adv_Dip_Dip_85_yr_over,P_Adv_Dip_Dip_Total,P_Cer_III_IV_15_24_yr,P_Cer_III_IV_25_34_yr,P_Cer_III_IV_35_44_yr,P_Cer_III_IV_45_54_yr,P_Cer_III_IV_55_64_yr,P_Cer_III_IV_65_74_yr,P_Cer_III_IV_75_84_yr,P_Cer_III_IV_85_yr_over,P_Cer_III_IV_Tot,P_Cer_I_II_15_24_yr,P_Cer_I_II_25_34_yr,P_Cer_I_II_35_44_yr,P_Cer_I_II_45_54_yr,P_Cer_I_II_55_64_yr,P_Cer_I_II_65_74_yr,P_Cer_I_II_75_84_yr,P_Cer_I_II_85_yr_over,P_Cer_I_II_Tot,P_Cer_nfd_15_24_yr,P_Cer_nfd_25_34_yr,P_Cer_nfd_35_44_yr,P_Cer_nfd_45_54_yr,P_Cer_nfd_55_64_yr,P_Cer_nfd_65_74_yr,P_Cer_nfd_75_84_yr,P_Cer_nfd_85_yr_over,P_Cer_nfd_Tot,P_Cer_Tot_15_24_yr,P_Cer_Tot_25_34_yr,P_Cer_Tot_35_44_yr,P_Cer_Tot_45_54_yr,P_Cer_Tot_55_64_yr,P_Cer_Tot_65_74_yr,P_Cer_Tot_75_84_yr,P_Cer_Tot_85_yr_over,P_Cer_Tot_Tot,P_lvl_educ_inad_desc_15_24,P_lvl_educ_inad_desc_25_34,P_lvl_educ_inad_desc_35_44,P_lvl_educ_inad_desc_45_54,P_lvl_educ_inad_desc_55_64,P_lvl_educ_inad_desc_65_74,P_lvl_educ_inad_desc_75_84,P_lvl_educ_inad_desc_85ov,P_lvl_educ_inad_desc_Tot,P_lvl_educ_ns_15_24,P_lvl_educ_ns_25_34,P_lvl_educ_ns_35_44,P_lvl_educ_ns_45_54,P_lvl_educ_ns_55_64,P_lvl_educ_ns_65_74,P_lvl_educ_ns_75_84,P_lvl_educ_ns_85ov,P_lvl_educ_ns_Tot,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
RA43,161,122,107,95,37,3,728,4,80,87,104,127,96,32,4,536,172,958,838,585,494,380,136,27,3589,61,348,479,595,654,475,183,30,2831,667,1826,1628,1552,1517,881,308,72,8449,90,144,142,97,97,55,13,0,634,44,78,118,136,129,114,40,7,671,803,2048,1894,1779,1737,1053,355,86,9748,9,30,42,37,32,43,15,12,219,468,784,705,759,783,634,421,208,4759,1530,4430,4202,3981,3949,2775,1186,364,22413
RA44,63,35,62,41,9,0,290,0,32,41,37,46,44,3,0,195,68,336,213,180,225,148,39,0,1208,19,119,171,191,240,195,38,4,973,189,503,487,541,530,347,73,13,2674,31,56,45,22,37,16,3,0,203,19,45,31,40,49,44,9,0,249,233,607,560,609,615,406,84,13,3128,6,6,5,4,7,12,7,0,49,317,470,403,492,519,397,199,73,2864,648,1645,1457,1547,1710,1244,379,99,8718
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,4,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,9,0,0,12,7,5,0,0,0,28
RA50,29946,19541,12675,7608,2726,550,98901,805,8107,10338,9495,7321,4300,1354,229,41957,20767,78889,78723,54427,34675,23130,9137,2328,302082,9762,28293,34479,32444,27238,18912,8436,2310,161872,30356,58608,53762,48399,42529,27364,12230,3344,276593,10323,4588,3313,2673,2208,1474,565,117,25255,2164,3124,4588,6046,5805,4591,2392,784,29491,42840,66320,61664,57119,50537,33429,15190,4238,331336,923,1975,2483,2265,2074,2210,1550,550,14021,12249,17471,16274,13658,12077,12191,11573,8292,103779,88994,225258,233900,188950,146590,101785,49966,18494,1053943
RA51,899,797,711,595,212,32,3809,46,412,731,778,686,470,124,16,3266,622,3507,4663,4201,3114,2417,947,209,19666,444,1870,2844,3250,3335,2491,1014,224,15469,3912,7464,8032,7878,7091,4522,1674,338,40903,1435,658,490,419,385,246,78,22,3726,229,286,518,734,753,644,260,59,3479,5576,8411,9039,9032,8225,5418,2011,415,48113,63,135,194,197,232,284,160,47,1316,1955,2175,2180,2383,2373,2339,1811,930,16143,8734,17051,20541,20633,18670,14004,6285,1869,107788
RA52,742,609,577,398,133,26,3162,37,366,503,539,514,354,78,14,2406,669,3041,3378,2852,2330,1679,604,141,14691,357,1455,2005,2253,2496,1897,748,154,11357,2877,6021,5594,5585,5361,3350,1216,282,30277,1194,615,412,368,321,185,56,6,3159,159,237,340,517,571,472,191,56,2547,4229,6872,6353,6475,6247,4010,1460,346,35981,45,111,126,169,157,193,117,46,957,2129,2461,2624,2725,2928,2750,1886,919,18425,7524,14922,15722,15622,15255,11273,5019,1641,86981
RA53,510,345,285,182,47,0,1924,24,295,377,284,242,144,22,0,1394,391,2586,2330,1495,1097,733,246,33,8906,172,963,1456,1305,1254,822,243,39,6250,1277,3923,3969,3153,2537,1462,365,51,16745,464,318,264,158,124,74,15,0,1411,68,145,211,250,277,206,70,11,1238,1807,4390,4443,3561,2941,1739,456,65,19392,34,59,80,84,84,86,35,10,462,1673,2996,2994,2820,2634,1654,763,196,15733,4116,11815,12188,9891,8530,5354,1817,346,54061
RA54,573,410,393,265,48,3,2401,15,265,234,274,304,228,19,0,1336,519,2782,1942,1433,1331,946,176,10,9132,169,1039,1192,1314,1449,1044,179,17,6399,1243,4625,4384,3756,3295,1809,385,26,19535,392,352,253,179,146,82,13,0,1417,74,183,201,196,275,230,48,5,1210,1721,5157,4829,4137,3716,2120,448,34,22156,14,55,43,50,56,66,25,4,309,2478,6165,5611,5445,4172,1896,568,78,26410,4958,16118,14419,13062,11421,6559,1455,146,68151
RA55,10,16,12,0,0,0,55,0,3,7,8,7,6,0,0,31,6,69,69,62,43,21,3,0,277,8,29,90,89,58,13,7,0,292,35,129,215,193,110,17,7,0,703,7,8,4,6,4,0,0,0,28,0,3,10,13,11,0,0,0,41,44,141,231,211,122,22,3,0,776,0,4,9,3,6,4,0,0,20,53,223,434,404,223,52,10,0,1408,112,476,858,801,465,123,24,0,2853
RA61,4817,3098,2415,1745,671,141,22163,105,1305,1626,1543,1445,1086,315,53,7484,2938,13413,10034,7572,5909,4660,1843,513,46885,839,3490,3983,4661,4289,3452,1676,500,22884,4346,10503,9205,8705,7892,4826,2349,664,48483,1058,1097,722,511,512,272,103,33,4305,327,520,563,717,899,907,429,190,4550,5733,12116,10486,9934,9300,6005,2885,883,57342,123,322,266,240,251,273,230,74,1779,2279,3008,2281,2167,2293,2641,2552,1327,18550,12281,42665,33490,29224,25905,19862,10168,3487,177082
RA62,815,749,923,725,269,31,4627,29,324,400,540,616,498,150,19,2572,570,3007,3203,2772,2966,2573,844,146,16077,236,1237,1866,2597,3073,2382,975,222,12588,2668,6627,6148,6474,6764,4194,1604,344,34819,678,715,521,438,436,261,75,16,3147,183,279,342,500,713,622,247,60,2953,3528,7624,7007,7409,7913,5080,1926,425,40919,64,104,94,128,161,193,126,33,900,1618,1612,1562,1888,2359,2735,2138,883,14790,6075,15000,14943,16077,18008,14185,6428,1762,92478
RA63,61,46,42,32,14,0,310,0,15,9,13,32,30,3,0,112,28,219,162,98,141,122,32,3,815,9,66,64,113,155,121,43,14,588,77,258,237,319,362,231,78,22,1581,25,23,19,14,25,13,6,0,118,0,11,10,24,40,33,15,0,136,101,292,262,354,430,276,95,22,1835,3,4,7,4,10,10,0,0,37,107,173,138,131,201,175,92,34,1059,262,894,707,759,1015,765,278,84,4752
RA64,9,15,5,18,8,0,65,0,10,5,10,10,12,5,0,44,0,37,49,45,35,39,19,0,218,3,20,25,20,37,30,17,5,166,23,77,73,75,91,73,23,7,436,3,4,7,3,3,3,0,0,26,0,6,3,5,14,10,4,0,48,25,82,85,87,106,87,32,5,510,0,0,3,0,4,0,0,0,9,12,32,44,32,31,53,35,11,251,42,194,219,204,217,239,110,28,1261
RA65,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,11,10,9,3,7,0,0,46,0,4,13,12,14,10,0,0,44,7,15,18,17,11,13,0,0,76,4,0,0,3,0,0,0,0,6,0,0,0,3,10,0,0,0,13,6,15,20,23,24,12,0,0,98,0,3,0,0,0,0,0,0,3,0,25,25,29,25,0,0,0,114,10,58,67,71,70,27,4,0,303
RA72,2262,1279,1031,584,141,11,8350,60,745,834,755,635,336,61,6,3442,1207,6610,4978,2999,2144,1459,406,67,19867,463,2125,2436,2480,1914,1121,328,36,10900,2182,5110,4637,3963,3366,1937,572,81,21855,675,421,280,189,137,113,24,4,1840,164,239,324,388,315,274,107,12,1818,3026,5764,5236,4545,3823,2322,704,99,25518,57,175,155,118,95,105,38,14,750,1976,3249,2761,2583,2366,1790,678,178,15587,6868,21621,18661,14754,11998,7723,2365,417,84411
RA73,624,362,406,233,53,0,2414,14,229,229,213,248,141,21,0,1089,266,2062,1307,902,874,600,119,13,6138,110,596,672,680,774,496,100,13,3444,577,1530,1354,1307,1294,840,180,21,7103,131,131,108,83,79,51,9,0,586,51,87,109,121,135,127,22,0,659,754,1741,1571,1511,1511,1015,217,28,8352,15,47,31,33,25,35,11,5,202,851,1307,1105,1173,1353,1051,264,62,7162,2026,6702,5547,4877,5192,3564,774,119,28805
RA74,205,122,168,127,16,0,923,0,83,108,102,125,96,7,0,524,131,853,540,399,536,343,49,0,2855,84,289,310,347,445,304,54,0,1831,473,990,945,924,886,559,78,9,4856,150,201,178,148,90,41,9,0,807,58,145,122,129,109,71,12,0,648,674,1344,1247,1203,1083,671,93,7,6318,0,3,6,9,5,0,4,0,31,1240,1641,1202,1160,1081,654,148,10,7128,2140,4481,3610,3344,3451,2188,364,18,19604
RA75,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,11,5,5,6,11,7,0,0,0,42,0,6,16,14,18,4,0,0,63,7,11,23,30,20,5,0,0,96,0,0,3,0,3,0,0,0,10,3,0,3,9,5,0,0,0,23,12,13,29,32,30,5,0,0,131,0,0,3,3,0,0,0,0,0,10,17,38,40,38,14,3,0,157,27,46,97,109,96,35,6,0,406
RA80,14774,9891,6584,4112,1691,394,52430,305,3260,3845,3436,2810,2172,715,81,16621,7768,25790,20545,14057,9566,7222,3434,955,89347,1955,6118,7627,7051,5424,3649,1762,552,34142,4420,9471,8016,6926,5360,3179,1711,564,39661,1042,709,528,420,364,290,105,41,3487,365,502,722,973,1123,1120,579,206,5582,5826,10680,9264,8318,6848,4590,2404,804,48724,182,399,412,287,280,286,217,97,2167,3427,4200,3192,2321,1937,1896,1598,1052,19621,20015,64875,59668,45362,33455,23921,11818,3940,263052
RA81,6,6,8,8,0,0,31,0,0,10,3,5,7,0,0,22,9,27,32,23,12,6,3,0,108,0,15,15,15,15,5,0,0,62,12,28,18,23,13,9,0,0,107,0,3,0,0,0,0,0,0,8,0,0,0,0,3,5,0,0,9,12,33,24,22,18,11,0,0,118,0,0,0,0,0,0,0,0,0,6,3,3,9,15,11,0,0,52,26,83,97,71,66,40,5,0,396
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA91,4,3,0,0,0,0,26,0,5,4,4,5,0,0,0,16,12,40,10,7,7,0,0,0,65,5,9,6,3,0,6,0,0,27,10,8,9,9,3,3,3,0,45,10,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,5,21,8,11,10,3,3,3,0,61,0,0,0,0,0,0,0,0,0,10,13,8,17,12,13,9,0,92,54,81,40,42,28,26,13,0,281
RA94,26,20,24,18,4,0,121,0,9,15,17,23,11,0,0,72,15,67,94,82,66,72,19,5,406,10,47,59,57,75,46,17,5,317,48,108,121,134,166,91,30,7,711,26,12,13,16,17,7,0,0,89,5,4,9,7,11,12,7,0,54,85,130,144,159,192,112,31,7,854,0,5,3,6,5,19,5,0,34,97,253,182,170,169,105,68,15,1052,198,528,517,512,547,383,155,32,2872
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
