RA_CODE_2021,M_PG_Deg_15_24_yr,M_PG_Deg_25_34_yr,M_PG_Deg_35_44_yr,M_PG_Deg_45_54_yr,M_PG_Deg_55_64_yr,M_PG_Deg_65_74_yr,M_PG_Deg_75_84_yr,M_PG_Deg_85_yr_over,M_PG_Deg_Tot,M_Grad_Dip_Cer_15_24,M_Grad_Dip_Cer_25_34,M_Grad_Dip_Cer_35_44,M_Grad_Dip_Cer_45_54,M_Grad_Dip_Cer_55_64,M_Grad_Dip_Cer_65_74,M_Grad_Dip_Cer_75_84,M_Grad_Dip_Cer_85_over,M_Grad_Dip_Cer_Tot,M_B_Deg_15_24_yr,M_B_Deg_25_34_yr,M_B_Deg_35_44_yr,M_B_Deg_45_54_yr,M_B_Deg_55_64_yr,M_B_Deg_65_74_yr,M_B_Deg_75_84_yr,M_B_Deg_85_yr_over,M_B_Deg_Tot,M_Adv_Dip_Dip_15_24_yr,M_Adv_Dip_Dip_25_34_yr,M_Adv_Dip_Dip_35_44_yr,M_Adv_Dip_Dip_45_54_yr,M_Adv_Dip_Dip_55_64_yr,M_Adv_Dip_Dip_65_74_yr,M_Adv_Dip_Dip_75_84_yr,M_Adv_Dip_Dip_85_yr_over,M_Adv_Dip_Dip_Total,M_Cer_III_IV_15_24_yr,M_Cer_III_IV_25_34_yr,M_Cer_III_IV_35_44_yr,M_Cer_III_IV_45_54_yr,M_Cer_III_IV_55_64_yr,M_Cer_III_IV_65_74_yr,M_Cer_III_IV_75_84_yr,M_Cer_III_IV_85_yr_over,M_Cer_III_IV_Tot,M_Cer_I_II_15_24_yr,M_Cer_I_II_25_34_yr,M_Cer_I_II_35_44_yr,M_Cer_I_II_45_54_yr,M_Cer_I_II_55_64_yr,M_Cer_I_II_65_74_yr,M_Cer_I_II_75_84_yr,M_Cer_I_II_85_yr_over,M_Cer_I_II_Tot,M_Cer_nfd_15_24_yr,M_Cer_nfd_25_34_yr,M_Cer_nfd_35_44_yr,M_Cer_nfd_45_54_yr,M_Cer_nfd_55_64_yr,M_Cer_nfd_65_74_yr,M_Cer_nfd_75_84_yr,M_Cer_nfd_85_yr_over,M_Cer_nfd_Tot,M_Cer_Tot_15_24_yr,M_Cer_Tot_25_34_yr,M_Cer_Tot_35_44_yr,M_Cer_Tot_45_54_yr,M_Cer_Tot_55_64_yr,M_Cer_Tot_65_74_yr,M_Cer_Tot_75_84_yr,M_Cer_Tot_85_yr_over,M_Cer_Tot_Tot,M_lvl_educ_inad_desc_15_24,M_lvl_educ_inad_desc_25_34,M_lvl_educ_inad_desc_35_44,M_lvl_educ_inad_desc_45_54,M_lvl_educ_inad_desc_55_64,M_lvl_educ_inad_desc_65_74,M_lvl_educ_inad_desc_75_84,M_lvl_educ_inad_desc_85ov,M_lvl_educ_inad_desc_Tot,M_lvl_educ_ns_15_24,M_lvl_educ_ns_25_34,M_lvl_educ_ns_35_44,M_lvl_educ_ns_45_54,M_lvl_educ_ns_55_64,M_lvl_educ_ns_65_74,M_lvl_educ_ns_75_84,M_lvl_educ_ns_85_yr_over,M_lvl_educ_ns_Tot,M_Tot_15_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_PG_Deg_15_24_yr,F_PG_Deg_25_34_yr,F_PG_Deg_35_44_yr,F_PG_Deg_45_54_yr,F_PG_Deg_55_64_yr,F_PG_Deg_65_74_yr,F_PG_Deg_75_84_yr,F_PG_Deg_85_yr_over,F_PGuate_Deg_Tot,F_Grad_Dip_Cer_15_24_yr,F_Grad_Dip_Cer_25_34_yr,F_Grad_Dip_Cer_35_44_yr,F_Grad_Dip_Cer_45_54_yr,F_Grad_Dip_Cer_55_64_yr,F_Grad_Dip_Cer_65_74_yr,F_Grad_Dip_Cer_75_84_yr,F_Grad_Dip_Cer_85_yr_over,F_Grad_Dip_Cer_Tot,F_B_Deg_15_24_yr,F_B_Deg_25_34_yr,F_B_Deg_35_44_yr,F_B_Deg_45_54_yr,F_B_Deg_55_64_yr,F_B_Deg_65_74_yr,F_B_Deg_75_84_yr,F_B_Deg_85_yr_over,F_B_Deg_Tot,F_Adv_Dip_Dip_15_24,F_Adv_Dip_Dip_25_34,F_Adv_Dip_Dip_35_44,F_Adv_Dip_Dip_45_54,F_Adv_Dip_Dip_55_64,F_Adv_Dip_Dip_65_74,F_Adv_Dip_Dip_75_84,F_Adv_Dip_Dip_85_over,F_Adv_Dip_Dip_Total,F_Cer_III_IV_15_24_yr,F_Cer_III_IV_25_34_yr,F_Cer_III_IV_35_44_yr,F_Cer_III_IV_45_54_yr,F_Cer_III_IV_55_64_yr,F_Cer_III_IV_65_74_yr,F_Cer_III_IV_75_84_yr,F_Cer_III_IV_85_yr_over,F_Cer_III_IV_Tot,F_Cer_I_II_15_24_yr,F_Cer_I_II_25_34_yr,F_Cer_I_II_35_44_yr,F_Cer_I_II_45_54_yr,F_Cer_I_II_55_64_yr,F_Cer_I_II_65_74_yr,F_Cer_I_II_75_84_yr,F_Cer_I_II_85_yr_over,F_Cer_I_II_Tot,F_Cer_nfd_15_24_yr,F_Cer_nfd_25_34_yr,F_Cer_nfd_35_44_yr,F_Cer_nfd_45_54_yr,F_Cer_nfd_55_64_yr,F_Cer_nfd_65_74_yr,F_Cer_nfd_75_84_yr,F_Cer_nfd_85_yr_over,F_Cer_nfd_Tot,F_Cer_Tot_15_24_yr,F_Cer_Tot_25_34_yr,F_Cer_Tot_35_44_yr,F_Cer_Tot_45_54_yr,F_Cer_Tot_55_64_yr,F_Cer_Tot_65_74_yr,F_Cer_Tot_75_84_yr,F_Cer_Tot_85_yr_over,F_Cer_Tot_Tot,F_lvl_educ_inad_desc_15_24,F_lvl_educ_inad_desc_25_34,F_lvl_educ_inad_desc_35_44,F_lvl_educ_inad_desc_45_54,F_lvl_educ_inad_desc_55_64,F_lvl_educ_inad_desc_65_74,F_lvl_educ_inad_desc_75_84,F_lvl_educ_inad_desc_85ov,F_lvl_educ_inad_desc_Tot,F_lvl_educ_ns_15_24_yr,F_lvl_educ_ns_25_34_yr,F_lvl_educ_ns_35_44_yr,F_lvl_educ_ns_45_54_yr,F_lvl_educ_ns_55_64_yr,F_lvl_educ_ns_65_74_yr,F_lvl_educ_ns_75_84_yr,F_lvl_educ_ns_85_yr_over,F_lvl_educ_ns_Tot,F_Tot_15_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_PG_Deg_15_24_yr,P_PG_Deg_25_34_yr
RA25,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,4,3,3,6,0,0,0,16,0,6,4,9,6,0,0,0,21,0,3,17,26,13,0,0,0,68,0,0,0,0,0,0,0,0,8,0,0,3,4,0,0,0,0,8,0,3,24,29,23,0,0,0,80,0,0,0,0,0,0,0,0,0,4,19,92,120,95,13,0,0,338,7,26,124,161,129,17,0,0,462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,5,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,16,8,13,16,0,0,0,49,0,20,14,19,18,0,0,0,63,0,0
RA30,890,15608,21937,16552,11744,7857,3269,606,78459,351,4023,5124,5512,4249,2864,929,155,23216,14490,52648,49081,37354,23710,17393,7483,1667,203821,8793,19529,23949,23954,19022,13049,5907,1357,115564,29179,58884,55505,52275,45765,33417,17836,4693,297548,6536,2905,1920,1353,981,695,318,55,14764,2078,2582,3515,3495,3074,2973,1694,434,19841,37791,64374,60939,57123,49822,37083,19847,5172,332149,602,1219,1450,1314,1099,1167,849,301,7991,12532,16722,14106,12267,9891,9317,8016,4349,87202,75454,174130,176581,154072,119543,88724,46294,13607,848409,1285,21471,25781,16673,10178,5444,1462,194,82492,1215,9416,10825,10273,7099,4569,1294,224,44923,22303,76234,70427,49387,28882,18220,7112,1696,274273,13414,30172,33811,34206,26123,15951,6637,1752,162079,26598,36758,34184,32656,25506,12223,3347,782,172057,6063,3644,3010,2667,2469,1909,552,94,20416,2572,3341,4624,6046,5986,4890,2141,632,30233,35234,43748,41820,41370,33965,19021,6035,1509,222704,684,1181,1428,1387,1485,1549,1081,375,9162,12178,16794,14222,12025,11124,11850,11834,9001,99038,86316,199021,198313,165332,118865,76612,35458,14762,894672,2167,37079
RA31,72,1347,1794,1904,1821,1537,618,99,9190,37,464,689,942,1033,852,261,42,4321,1398,5462,6136,5686,4759,4305,1617,320,29675,741,2546,4059,5469,5815,4685,1896,338,25545,8641,19759,19593,19787,20868,17603,7898,1603,115747,2381,1095,662,507,410,322,128,15,5531,546,613,808,1010,1038,1172,604,126,5916,11566,21468,21065,21302,22319,19094,8630,1744,127191,112,242,237,308,326,393,317,78,2009,4534,4636,4532,5107,5130,5169,4012,1637,34768,18457,36157,38507,40716,41197,36032,17358,4263,232698,118,1878,2497,2457,2049,1300,319,32,10645,240,1466,1891,2142,1897,1337,370,42,9380,2959,11515,12544,10180,7921,5609,2127,437,53297,1822,5717,7369,8844,8751,5843,2181,477,41001,8088,13109,12716,12499,11337,5289,1162,183,64386,2461,1528,1298,1110,1024,781,223,21,8448,748,898,1225,1664,1874,1537,612,139,8707,11300,15538,15241,15277,14236,7605,2002,348,81540,135,224,246,325,421,480,316,102,2233,4071,4299,4420,4729,5217,5983,5400,2883,36995,20641,40627,44205,43945,40484,28158,12711,4319,235090,184,3219
RA32,63,1121,1432,1352,1339,1048,383,51,6790,33,418,495,632,633,545,122,23,2897,1129,5273,4766,4188,3372,2878,1011,169,22781,487,2443,3305,4268,4128,3048,1061,153,18900,5860,14784,14771,14742,14701,10957,4447,801,81055,1469,748,475,427,300,218,73,10,3711,312,474,596,701,756,762,332,57,3990,7637,16005,15839,15874,15759,11934,4847,865,88762,103,188,183,247,247,260,185,33,1449,5684,7285,6630,6772,6601,5312,2984,950,42226,15141,32723,32657,33325,32088,25027,10599,2244,183801,104,1865,2209,1870,1528,845,213,21,8649,182,1320,1546,1537,1304,814,174,22,6907,2432,10345,9462,7505,5378,3645,1200,213,40188,1157,4362,5656,6223,5703,3475,1214,221,28008,5210,8926,8711,8068,6932,3065,635,104,41654,1564,948,867,706,707,401,97,15,5306,464,590,828,1097,1150,856,295,59,5343,7237,10459,10410,9877,8794,4319,1024,172,52299,95,172,200,234,253,332,171,39,1496,4611,5695,4750,4903,5139,4826,3202,1499,34633,15823,34221,34231,32150,28089,18267,7204,2195,172187,167,2990
RA33,3,135,134,87,123,100,23,5,609,0,46,46,58,58,55,12,0,276,152,641,421,305,348,285,51,11,2220,56,249,379,402,421,285,79,10,1873,657,2105,1936,1875,1948,1270,379,38,10211,167,73,43,59,47,23,7,0,416,33,60,65,108,91,106,26,0,479,855,2233,2042,2045,2083,1403,414,38,11109,11,15,23,23,24,28,16,3,134,878,1582,1515,1811,1624,1002,373,88,8881,1953,4903,4554,4732,4687,3155,967,149,25105,9,176,169,119,137,76,13,0,706,21,129,132,102,152,97,6,0,641,323,1246,833,573,518,351,80,19,3937,135,441,488,551,573,357,107,10,2661,517,983,813,753,616,300,41,5,4027,169,108,97,74,73,61,8,0,588,43,84,88,95,116,77,26,4,531,735,1175,1000,919,802,432,75,9,5144,8,21,24,20,21,30,3,0,130,680,908,721,787,938,711,322,107,5169,1907,4100,3364,3066,3149,2046,610,146,18394,12,317
RA34,5,81,66,64,89,106,23,0,428,0,31,27,42,42,59,6,0,220,83,382,276,217,252,277,41,0,1530,44,153,238,323,402,279,65,7,1511,582,1552,1299,1282,1269,1088,259,22,7362,150,118,63,65,52,26,8,0,488,29,36,52,63,85,81,18,3,368,760,1713,1420,1408,1406,1197,286,26,8209,8,11,3,6,22,15,9,0,67,687,1089,950,1048,1070,800,315,61,6035,1587,3455,2987,3118,3281,2732,747,102,18008,8,97,113,104,125,66,8,0,511,5,99,96,110,149,84,16,0,558,213,783,561,416,478,305,73,5,2828,104,288,331,449,527,328,65,3,2094,503,814,647,567,577,257,26,6,3401,149,133,87,78,88,51,9,0,596,40,55,69,72,85,71,16,3,412,696,995,803,719,746,382,52,10,4405,0,8,11,11,24,16,14,4,93,562,681,534,590,785,653,247,88,4147,1597,2948,2440,2395,2829,1838,472,111,14638,7,179
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,0,3,0,0,0,3,0,14,3,9,0,5,0,0,34,0,0,8,0,0,0,0,0,10,0,0,0,4,0,0,0,0,4,0,17,15,12,4,3,0,0,50,0,0,0,0,0,0,0,0,0,4,40,73,48,16,6,0,0,197,9,58,95,64,26,12,0,0,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,6,12,3,0,0,0,0,0,29,13,24,7,4,4,0,0,0,47,0,0
RA40,581,8153,9230,6054,4362,3329,1507,361,33586,129,1525,1985,2008,1861,1522,517,81,9626,6086,22146,19469,13637,9694,8070,3401,821,83309,2209,6827,8608,8652,7828,6183,2729,668,43707,9327,21845,19655,19825,18764,14128,7783,2543,113863,1595,1691,1054,705,550,373,135,33,6143,482,822,1177,1376,1438,1478,767,246,7793,11400,24359,21888,21902,20749,15980,8692,2826,127801,284,545,580,495,429,447,372,145,3297,3710,4797,4363,4018,3676,3384,2807,1756,28520,24405,68354,66121,56767,48603,38908,20020,6662,329845,607,11214,10701,5971,4060,2542,756,114,35960,331,3135,4120,3671,3230,2425,707,105,17713,8758,30310,26621,17946,11805,8470,3415,992,108315,2169,8481,10782,11721,10837,7634,3004,944,55570,8863,14994,13725,12579,10528,5154,1585,514,67933,1448,1870,1598,1294,1078,731,226,62,8300,749,1152,1595,2394,2299,1904,966,366,11429,11050,18017,16920,16270,13902,7785,2772,946,87660,249,511,522,485,551,580,403,146,3436,3550,4417,3969,3733,3771,4504,4893,3458,32279,26717,76076,73630,59785,48153,33928,15946,6702,340934,1193,19371
RA41,12,138,265,308,323,365,172,24,1606,4,52,102,155,213,239,65,6,836,216,729,973,1070,992,1190,471,98,5745,83,379,650,978,1139,1126,491,85,4923,1277,3000,3177,3485,3754,3088,1489,343,19608,209,208,152,118,105,74,35,7,910,48,96,144,197,272,291,159,38,1248,1537,3304,3476,3798,4134,3451,1682,387,21765,21,44,50,62,67,69,86,16,425,628,507,570,736,833,856,681,295,5105,2502,5157,6089,7107,7704,7295,3636,910,40396,14,329,407,457,391,313,87,10,2003,24,203,340,374,440,386,74,12,1860,480,1691,1988,1766,1542,1357,497,109,9427,154,803,1203,1660,1892,1511,557,101,7877,1139,2072,2175,2220,2116,1145,287,64,11227,248,262,276,237,210,167,29,13,1445,99,146,228,374,362,341,142,50,1738,1480,2476,2685,2829,2691,1659,462,135,14415,17,35,46,70,68,80,79,28,427,561,477,510,754,844,1057,900,551,5660,2730,6007,7172,7910,7869,6368,2668,946,41666,30,466
RA42,25,243,215,176,203,163,53,9,1071,5,63,92,100,160,126,34,6,585,159,1029,883,784,615,642,216,38,4375,94,407,607,862,894,913,283,52,4120,1660,3978,3589,3813,4160,3220,1384,326,22123,229,315,183,149,132,82,20,0,1116,62,108,145,252,250,274,117,25,1233,1952,4398,3920,4216,4540,3566,1522,350,24469,33,55,84,58,77,87,47,19,457,986,1009,996,1227,1444,1344,996,368,8359,3255,7206,6788,7422,7938,6838,3155,834,43443,37,401,317,227,230,131,25,8,1371,39,241,304,306,313,241,53,9,1509,501,2145,1993,1468,1213,869,347,78,8621,176,839,1095,1474,1657,1161,401,85,6891,1357,2594,2433,2497,2177,1002,226,59,12344,256,390,372,288,245,160,39,0,1744,109,165,231,312,331,221,96,10,1473,1721,3142,3035,3092,2750,1379,355,75,15563,22,36,46,63,82,81,57,24,401,798,848,911,1012,1293,1486,1360,677,8388,3292,7655,7695,7640,7554,5352,2602,951,42739,63,645
RA43,8,90,64,54,53,46,25,0,338,0,14,24,23,32,26,14,0,141,53,344,294,241,188,151,57,10,1339,25,110,197,230,259,214,79,12,1128,362,1239,1101,1021,1053,666,266,62,5771,52,75,57,32,37,20,5,0,273,20,37,51,60,57,60,17,5,312,435,1350,1204,1114,1148,742,293,68,6358,6,11,25,26,28,21,9,7,125,265,510,459,489,481,333,204,81,2817,791,2437,2265,2181,2190,1537,677,167,12243,9,102,102,61,58,50,12,0,396,4,61,62,80,95,74,15,0,390,116,615,548,348,302,224,78,20,2258,30,238,283,372,396,260,105,19,1701,304,579,531,528,467,216,37,11,2680,35,71,88,61,59,34,7,0,353,25,42,66,71,75,56,16,5,353,368,692,685,662,596,312,63,16,3394,0,20,12,10,13,27,10,4,92,207,270,243,269,303,298,221,128,1939,743,1992,1935,1801,1760,1238,506,191,10166,18,188
RA44,0,29,32,12,35,26,4,0,141,0,6,9,11,18,16,0,0,59,22,121,98,66,101,66,8,5,476,11,48,72,73,105,107,21,0,424,106,367,364,404,394,276,65,13,1981,24,24,23,10,12,7,0,0,104,10,26,19,19,28,27,8,0,134,137,421,403,435,436,306,70,13,2224,3,4,0,0,6,6,6,0,27,191,297,282,342,334,208,115,26,1797,360,926,899,936,1022,735,224,47,5143,4,46,31,19,33,14,0,0,149,0,25,28,25,31,28,8,0,142,47,214,122,117,125,85,24,0,730,11,73,97,117,133,92,20,3,550,79,136,124,136,139,76,5,0,690,12,32,19,13,21,3,3,0,106,10,24,14,22,16,18,6,0,108,95,185,155,172,178,99,19,0,909,0,0,0,0,7,9,4,0,22,127,171,119,157,182,185,85,47,1070,287,719,555,609,685,506,154,52,3569,3,79
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,4,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,9,0,0,12,7,5,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA50,785,10329,14243,10103,7116,4706,1946,410,49640,182,2391,3339,3321,2696,1676,578,87,14263,8644,31645,32855,23925,16265,11490,4476,1061,130376,4131,12044,15376,13869,11317,8946,4181,994,70838,15457,35420,33282,30443,29061,20871,10338,2821,177689,5190,2077,1139,800,572,399,141,25,10339,886,1316,1681,1897,1772,1605,877,237,10268,21527,38809,36107,33142,31402,22874,11360,3084,198292,493,962,1260,1120,903,888,666,233,6529,6249,8678,8277,6950,5685,5093,4441,2758,48126,42015,104867,111451,92424,75384,55661,27636,8622,518061,865,13871,15698,9441,5557,2908,777,143,49261,621,5717,6997,6177,4633,2622,783,143,27691,12123,47245,45860,30499,18411,11641,4666,1267,171708,5636,16247,19108,18580,15915,9966,4259,1319,91031,14894,23190,20478,17961,13470,6493,1893,527,98906,5129,2507,2177,1876,1639,1076,419,87,14921,1280,1809,2903,4147,4033,2987,1523,544,19223,21309,27514,25558,23983,19137,10552,3829,1160,133044,430,1012,1221,1147,1170,1317,884,313,7490,5999,8794,8005,6709,6393,7096,7128,5533,55655,46981,120396,122445,96530,71210,46121,22326,9876,535885,1651,24199
RA51,12,199,348,361,339,330,147,25,1749,4,83,185,214,211,157,47,7,918,216,1129,1473,1504,1226,1124,423,84,7178,159,646,1060,1245,1286,1119,498,80,6095,1971,4445,4825,4956,4855,3478,1411,298,26234,726,237,134,101,94,66,23,6,1387,83,101,179,217,267,262,124,22,1254,2772,4786,5143,5274,5207,3810,1554,326,28879,36,68,89,90,105,118,74,17,607,1086,1209,1158,1239,1157,1031,752,343,7969,4280,8129,9450,9921,9533,7692,3498,882,53388,30,340,550,434,374,265,71,4,2064,35,330,551,568,475,311,78,14,2360,407,2374,3190,2700,1887,1288,522,123,12489,280,1224,1782,1998,2049,1370,516,142,9365,1939,3019,3209,2927,2236,1045,262,38,14668,712,424,350,317,294,175,55,12,2338,149,187,339,517,488,383,137,36,2225,2798,3622,3896,3756,3012,1607,453,93,19230,31,68,100,106,124,161,88,32,707,871,967,1020,1143,1218,1308,1053,591,8178,4455,8922,11086,10712,9140,6311,2782,988,54397,37,537
RA52,26,261,316,284,269,228,90,23,1486,9,84,124,162,157,122,20,7,681,198,996,1131,1030,879,756,230,40,5260,93,483,762,850,981,827,322,62,4379,1614,3841,3512,3616,3682,2542,1022,234,20074,529,235,132,107,117,56,20,5,1202,62,83,136,178,211,214,80,32,984,2200,4162,3787,3898,4011,2818,1126,269,22265,22,55,53,72,82,75,46,19,420,1128,1352,1391,1499,1524,1333,844,326,9395,3663,7384,7568,7789,7905,6161,2680,738,43893,34,361,424,329,311,170,35,3,1672,27,287,373,384,359,232,54,8,1723,476,2040,2251,1816,1453,924,373,98,9429,259,973,1245,1407,1511,1067,425,97,6979,1257,2181,2083,1967,1674,807,186,42,10203,667,382,277,262,202,125,36,4,1956,99,159,204,344,362,258,109,24,1558,2027,2715,2560,2581,2242,1195,335,73,13723,28,57,73,97,80,117,70,31,542,1007,1111,1237,1226,1404,1420,1045,589,9033,3858,7539,8154,7831,7349,5114,2338,900,43089,57,611
RA53,10,205,219,159,132,102,27,0,868,6,63,98,90,70,49,7,0,386,93,848,826,584,467,310,121,12,3259,50,339,703,637,554,363,131,11,2786,785,2719,2883,2325,1947,1173,320,50,12202,217,112,80,49,41,27,8,0,535,38,66,88,100,97,96,30,4,527,1036,2907,3052,2471,2089,1292,358,56,13262,13,25,50,54,43,40,11,6,258,927,1728,1893,1819,1620,878,386,79,9323,2138,6123,6840,5813,4968,3048,1047,162,30140,16,310,291,188,157,81,16,0,1057,18,232,282,194,171,93,17,0,1003,298,1745,1502,906,633,419,125,24,5641,115,621,759,675,701,453,114,26,3461,497,1203,1080,826,592,287,49,3,4545,237,203,187,107,83,45,11,0,879,32,77,123,151,177,109,34,3,709,770,1488,1390,1083,851,441,101,5,6132,15,28,28,25,40,37,24,5,210,747,1270,1101,999,1014,776,374,118,6406,1979,5693,5348,4079,3563,2310,773,180,23921,27,521
RA54,37,340,302,254,216,151,35,0,1339,0,78,91,115,118,94,14,0,511,206,1294,1013,772,606,454,95,6,4443,75,514,735,821,723,555,107,7,3544,788,3676,3618,3094,2658,1508,338,27,15712,204,172,136,87,61,33,8,0,696,37,81,100,93,101,108,28,0,561,1029,3938,3856,3275,2820,1646,375,26,16970,10,26,22,34,28,29,10,0,157,1507,4479,4404,4221,3012,1114,293,34,19072,2866,10671,10420,9490,7533,4044,927,83,46033,19,317,270,159,176,111,20,0,1066,10,184,145,157,184,137,7,0,824,311,1486,933,662,723,488,84,4,4685,90,524,455,496,723,487,67,9,2858,462,943,763,664,636,297,44,0,3821,189,173,117,96,87,50,6,0,720,43,95,98,99,171,127,13,0,647,693,1218,978,858,894,474,67,7,5190,4,30,26,14,28,36,15,0,153,965,1692,1204,1230,1155,778,275,42,7341,2089,5448,3996,3574,3888,2520,529,66,22118,54,660
RA55,0,5,5,14,8,0,0,0,43,0,3,8,6,0,0,0,0,15,3,49,62,58,27,15,0,0,208,6,19,86,85,47,9,3,0,257,23,107,217,191,102,17,0,0,659,3,7,0,5,0,0,0,0,22,0,3,10,7,9,3,0,0,39,28,118,231,201,112,18,4,0,722,0,4,12,3,6,4,0,0,24,40,193,416,385,196,40,0,0,1274,75,396,816,754,397,86,7,0,2532,0,4,0,3,0,0,0,0,16,0,0,3,0,3,7,0,0,15,3,23,11,9,15,8,0,0,68,4,5,5,11,7,6,0,0,34,12,16,3,4,3,0,5,0,43,0,3,0,0,3,0,0,0,9,0,0,0,0,0,3,0,0,4,14,21,4,8,12,3,5,0,57,0,0,0,0,0,0,0,0,0,12,29,20,22,26,14,10,0,136,32,82,44,51,69,38,14,0,325,0,13
RA61,99,4242,2101,1393,1176,914,451,108,10493,20,405,498,580,539,409,129,20,2596,1227,6022,4203,3164,2473,2093,825,240,20242,373,1556,1727,1909,1820,1495,729,183,9793,2184,6221,5398,5288,5185,3555,2010,572,30412,462,460,254,156,147,69,27,14,1590,120,213,252,263,273,324,179,65,1685,2765,6893,5907,5701,5604,3951,2218,647,33688,51,173,131,112,105,98,91,20,788,1176,1603,1182,1106,1075,1118,967,431,8649,5720,20896,15740,13970,12796,10075,5399,1649,86246,168,4766,2716,1703,1239,837,212,31,11670,77,902,1128,967,907,676,189,33,4882,1715,7392,5824,4406,3438,2570,1024,272,26643,467,1929,2256,2752,2462,1959,949,314,13097,2160,4280,3808,3417,2706,1268,339,91,18072,597,638,464,364,365,200,75,23,2723,211,309,308,455,625,588,246,127,2863,2962,5226,4578,4229,3697,2056,665,234,23655,73,147,138,132,143,170,139,55,996,1101,1409,1108,1065,1223,1522,1585,901,9897,6561,21776,17750,15258,13110,9790,4762,1838,90835,273,9005
RA62,14,472,339,318,391,395,185,22,2137,0,73,111,156,195,202,62,6,810,198,1103,1090,990,1115,1128,370,60,6061,71,427,683,980,1229,1069,429,76,4971,1449,3819,3550,4011,4501,3212,1406,291,22240,273,253,161,113,133,82,29,10,1050,62,100,113,162,230,271,123,25,1083,1784,4180,3820,4288,4862,3568,1557,321,24376,21,56,49,59,60,94,53,14,405,831,825,773,986,1122,1266,902,350,7053,2922,7137,6860,7774,8984,7728,3552,848,45803,8,609,480,432,530,331,87,13,2489,26,252,284,382,423,287,84,13,1763,372,1902,2115,1781,1846,1442,472,84,10019,166,812,1188,1619,1843,1314,545,146,7624,1213,2813,2605,2463,2263,981,197,52,12582,411,461,361,326,307,178,46,10,2101,125,173,232,339,483,351,122,32,1863,1747,3446,3190,3129,3053,1512,368,100,16547,44,49,42,70,100,104,76,22,499,784,784,785,903,1234,1465,1240,533,7736,3152,7862,8081,8307,9027,6456,2870,913,46676,23,1089
RA63,3,53,33,26,27,19,3,0,165,0,9,3,4,10,11,3,0,37,15,106,63,45,69,63,11,7,377,3,27,34,49,65,58,16,5,265,43,154,160,226,265,188,73,19,1126,11,13,9,5,7,4,0,0,35,0,8,9,14,15,21,7,0,66,57,175,172,242,284,211,80,19,1227,0,4,4,0,7,8,0,0,20,68,81,83,73,106,95,47,12,564,144,453,393,436,558,460,163,42,2652,4,61,29,16,21,10,3,0,145,0,9,7,11,18,19,0,0,66,12,121,97,53,78,62,19,0,435,4,44,32,60,88,59,20,6,322,30,100,73,96,102,49,6,0,454,17,16,12,14,19,3,6,0,81,0,8,5,14,21,12,6,0,67,46,119,93,117,147,65,17,5,604,3,0,5,0,3,7,0,0,20,41,90,58,60,95,85,50,27,499,110,441,317,315,455,305,108,39,2097,6,110
