RA_CODE_2021,A_0_4_Indig_M,A_0_4_Indig_F,A_0_4_Indig_P,A_0_4_Non_Indig_M,A_0_4_Non_Indig_F,A_0_4_Non_Indig_P,A_0_4_Indig_status_ns_M,A_0_4_Indig_status_ns_F,A_0_4_Indig_status_ns_P,A_0_4_Tot_M,A_0_4_Tot_F,A_0_4_Tot_P,A_5_9_Indig_M,A_5_9_Indig_F,A_5_9_Indig_P,A_5_9_Non_Indig_M,A_5_9_Non_Indig_F,A_5_9_Non_Indig_P,A_5_9_Indig_status_ns_M,A_5_9_Indig_status_ns_F,A_5_9_Indig_status_ns_P,A_5_9_Tot_M,A_5_9_Tot_F,A_5_9_Tot_P,A_10_14_Indig_M,A_10_14_Indig_F,A_10_14_Indig_P,A_10_14_Non_Indig_M,A_10_14_Non_Indig_F,A_10_14_Non_Indig_P,A_10_14_Indig_status_ns_M,A_10_14_Indig_status_ns_F,A_10_14_Indig_status_ns_P,A_10_14_Tot_M,A_10_14_Tot_F,A_10_14_Tot_P,A_15_19_Indig_M,A_15_19_Indig_F,A_15_19_Indig_P,A_15_19_Non_Indig_M,A_15_19_Non_Indig_F,A_15_19_Non_Indig_P,A_15_19_Indig_status_ns_M,A_15_19_Indig_status_ns_F,A_15_19_Indig_status_ns_P,A_15_19_Tot_M,A_15_19_Tot_F,A_15_19_Tot_P,A_20_24_Indig_M,A_20_24_Indig_F,A_20_24_Indig_P,A_20_24_Non_Indig_M,A_20_24_Non_Indig_F,A_20_24_Non_Indig_P,A_20_24_Indig_status_ns_M,A_20_24_Indig_status_ns_F,A_20_24_Indig_status_ns_P,A_20_24_Tot_M,A_20_24_Tot_F,A_20_24_Tot_P,A_25_29_Indig_M,A_25_29_Indig_F,A_25_29_Indig_P,A_25_29_Non_Indig_M,A_25_29_Non_Indig_F,A_25_29_Non_Indig_P,A_25_29_Indig_status_ns_M,A_25_29_Indig_status_ns_F,A_25_29_Indig_status_ns_P,A_25_29_Tot_M,A_25_29_Tot_F,A_25_29_Tot_P,A_30_34_Indig_M,A_30_34_Indig_F,A_30_34_Indig_P,A_30_34_Non_Indig_M,A_30_34_Non_Indig_F,A_30_34_Non_Indig_P,A_30_34_Indig_status_ns_M,A_30_34_Indig_status_ns_F,A_30_34_Indig_status_ns_P,A_30_34_Tot_M,A_30_34_Tot_F,A_30_34_Tot_P,A_35_39_Indig_M,A_35_39_Indig_F,A_35_39_Indig_P,A_35_39_Non_Indig_M,A_35_39_Non_Indig_F,A_35_39_Non_Indig_P,A_35_39_Indig_status_ns_M,A_35_39_Indig_status_ns_F,A_35_39_Indig_status_ns_P,A_35_39_Tot_M,A_35_39_Tot_F,A_35_39_Tot_P,A_40_44_Indig_M,A_40_44_Indig_F,A_40_44_Indig_P,A_40_44_Non_Indig_M,A_40_44_Non_Indig_F,A_40_44_Non_Indig_P,A_40_44_Indig_status_ns_M,A_40_44_Indig_status_ns_F,A_40_44_Indig_status_ns_P,A_40_44_Tot_M,A_40_44_Tot_F,A_40_44_Tot_P,A_45_49_Indig_M,A_45_49_Indig_F,A_45_49_Indig_P,A_45_49_Non_Indig_M,A_45_49_Non_Indig_F,A_45_49_Non_Indig_P,A_45_49_Indig_status_ns_M,A_45_49_Indig_status_ns_F,A_45_49_Indig_status_ns_P,A_45_49_Tot_M,A_45_49_Tot_F,A_45_49_Tot_P,A_50_54_Indig_M,A_50_54_Indig_F,A_50_54_Indig_P,A_50_54_Non_Indig_M,A_50_54_Non_Indig_F,A_50_54_Non_Indig_P,A_50_54_Indig_status_ns_M,A_50_54_Indig_status_ns_F,A_50_54_Indig_status_ns_P,A_50_54_Tot_M,A_50_54_Tot_F,A_50_54_Tot_P,A_55_59_Indig_M,A_55_59_Indig_F,A_55_59_Indig_P,A_55_59_Non_Indig_M,A_55_59_Non_Indig_F,A_55_59_Non_Indig_P,A_55_59_Indig_status_ns_M,A_55_59_Indig_status_ns_F,A_55_59_Indig_status_ns_P,A_55_59_Tot_M,A_55_59_Tot_F,A_55_59_Tot_P,A_60_64_Indig_M,A_60_64_Indig_F,A_60_64_Indig_P,A_60_64_Non_Indig_M,A_60_64_Non_Indig_F,A_60_64_Non_Indig_P,A_60_64_Indig_status_ns_M,A_60_64_Indig_status_ns_F,A_60_64_Indig_status_ns_P,A_60_64_Tot_M,A_60_64_Tot_F,A_60_64_Tot_P,A_65_and_over_Indig_M,A_65_and_over_Indig_F,A_65_and_over_Indig_P,A_65_and_over_Non_Indig_M,A_65_and_over_Non_Indig_F,A_65_and_over_Non_Indig_P,A_65_and_over_Indig_stat_ns_M,A_65_and_over_Indig_stat_ns_F,A_65_and_over_Indig_stat_ns_P,A_65_and_over_Tot_M,A_65_and_over_Tot_F,A_65_and_over_Tot_P,Tot_Indig_M,Tot_Indig_F,Tot_Indig_P,Tot_Non_Indig_M,Tot_Non_Indig_F,Tot_Non_Indig_P,Tot_Indig_status_ns_M,Tot_Indig_status_ns_F,Tot_Indig_status_ns_P,Tot_Tot_M,Tot_Tot_F,Tot_Tot_P
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,9,0,9,4,0,4,0,0,0,0,0,0,3,4,7,3,5,10,0,0,0,12,4,15,16,12,26,25,15,44,0,0,0,17,5,23,33,8,39,49,10,60,0,0,0,26,0,25,55,6,61,79,6,85,5,0,5,24,0,26,64,12,72,91,13,105,0,0,0,21,3,23,54,3,55,77,8,80,0,0,0,27,5,29,62,10,76,84,16,101,0,0,0,18,0,21,33,3,41,50,3,61,0,0,0,7,0,7,13,0,13,16,0,16,3,3,7,146,19,164,336,49,387,493,72,565
RA30,5176,4993,10170,90545,84979,175524,3942,3721,7664,99664,93688,193352,5242,4951,10193,100018,94918,194933,4717,4407,9125,109974,104274,214251,5103,4980,10080,102650,96844,199490,4580,4284,8863,112326,106106,218434,4737,4516,9252,95688,91795,187480,3998,3933,7932,104417,100249,204668,4253,4553,8809,101491,102397,203888,5218,5239,10459,110966,112191,223154,3717,3950,7671,106451,110598,217046,6101,6294,12387,116265,120841,237110,3036,3180,6217,108215,116958,225178,5738,5814,11548,116985,125951,242935,2456,2715,5177,109735,118205,227941,5281,5469,10750,117471,126392,243866,2142,2352,4489,101344,108216,209563,4520,4435,8955,108002,114998,223007,2146,2417,4562,101049,108677,209726,4487,4235,8722,107684,115326,223009,1931,2260,4187,95403,103322,198728,3992,3743,7741,101326,109326,210654,1566,1801,3364,86368,93819,180187,3527,3489,7017,91459,99109,190565,1260,1397,2656,78093,87030,165120,3111,3054,6162,82464,91483,173943,1974,2484,4456,228677,269307,497983,10720,12857,23576,241369,284646,526016,44725,46549,91275,1505724,1587066,3092785,69930,70973,140902,1620382,1704580,3324963
RA31,3257,2897,6159,22329,21245,43578,1392,1271,2660,26978,25416,52396,3269,3219,6489,26345,25121,51469,1744,1689,3430,31358,30032,61389,3544,3370,6919,29695,28191,57887,2055,1859,3916,35291,33428,68722,2740,2864,5606,26404,24765,51172,1837,1560,3398,30988,29188,60175,2265,2155,4421,22098,21337,43438,1609,1476,3089,25972,24970,50947,1990,1827,3809,23199,23953,47155,1795,1610,3403,26980,27384,54368,1585,1600,3186,23366,25508,48877,1779,1639,3418,26741,28745,55485,1376,1486,2860,24330,27057,51383,1770,1708,3481,27478,30254,57728,1257,1318,2573,23746,26088,49831,1701,1568,3266,26701,28969,55668,1236,1431,2667,26168,28634,54803,1921,1779,3702,29325,31846,61172,1190,1353,2545,27801,30508,58315,1963,1727,3687,30962,33590,64545,1041,1170,2204,29206,32230,61441,1929,1789,3718,32174,35190,67364,880,974,1855,30911,33227,64140,1820,1636,3456,33617,35839,69452,1509,1734,3246,98305,104808,203113,5754,5966,11725,105572,112516,218089,27137,27405,54543,433924,452686,886605,29076,27272,56351,490143,507360,997497
RA32,3114,3046,6157,15253,14166,29423,1514,1421,2931,19882,18635,38515,3394,3194,6585,17832,16589,34423,1937,1793,3732,23163,21582,44742,3691,3574,7260,18808,17636,36444,2049,1824,3873,24550,23029,47580,3044,2998,6042,16421,15633,32054,1874,1772,3646,21342,20408,41747,2445,2289,4736,15822,15294,31117,2826,2059,4889,21099,19646,40745,2198,2171,4368,17729,17969,35704,3208,2516,5722,23131,22663,45793,1816,1942,3764,17644,18744,36389,3166,2295,5466,22629,22981,45612,1681,1778,3463,18062,19478,37543,3043,2068,5114,22790,23325,46111,1441,1669,3109,17309,18598,35901,2772,1865,4633,21517,22134,43647,1509,1666,3169,18950,19698,38649,2982,1952,4931,23434,23318,46746,1415,1545,2962,20137,20545,40679,2914,2020,4934,24466,24109,48576,1181,1335,2519,20648,21130,41775,2849,1955,4798,24677,24416,49101,976,1093,2066,21269,21180,42454,2648,1869,4520,24895,24143,49039,1597,1948,3546,59419,58067,117492,6217,5335,11555,67244,65349,132591,29507,30252,59756,295309,294739,590042,40005,30745,70752,364816,355734,720554
RA33,662,658,1317,1676,1521,3190,223,188,415,2556,2363,4924,705,729,1430,1688,1614,3307,215,227,444,2608,2570,5175,706,607,1314,1529,1369,2900,247,197,447,2481,2180,4660,559,521,1077,1265,1023,2286,245,191,440,2069,1735,3802,475,495,966,1558,1533,3093,469,344,807,2503,2361,4862,422,500,920,2123,2021,4145,711,406,1117,3254,2924,6183,377,435,819,2226,1971,4199,750,375,1125,3357,2782,6140,341,377,721,2138,1850,3987,712,325,1040,3197,2551,5746,298,291,593,1932,1570,3501,667,286,949,2903,2141,5045,348,365,714,2121,1715,3839,808,315,1124,3277,2399,5675,357,348,702,2311,1863,4175,846,330,1177,3507,2534,6050,316,293,614,2592,2132,4724,812,381,1195,3724,2805,6532,238,251,485,2702,2189,4893,632,382,1013,3577,2817,6390,362,414,779,6482,5214,11695,1119,746,1864,7965,6373,14333,6167,6280,12450,32349,27581,59930,8461,4685,13150,46978,38552,85527
RA34,999,971,1970,859,823,1682,160,126,284,2014,1923,3941,1132,1073,2204,882,921,1800,181,184,367,2193,2180,4373,1096,926,2022,663,643,1305,168,164,333,1932,1731,3662,852,816,1666,655,519,1174,173,136,312,1675,1470,3152,792,836,1627,972,976,1947,325,232,559,2091,2040,4134,735,768,1509,1285,1239,2528,448,275,723,2475,2288,4760,650,710,1359,1316,1105,2420,475,246,722,2442,2055,4497,544,610,1153,1206,1120,2324,412,226,639,2161,1957,4118,519,595,1111,1129,862,1990,398,197,596,2043,1649,3697,525,560,1084,1241,1023,2262,427,204,628,2194,1786,3981,540,542,1077,1507,1249,2754,495,240,732,2546,2023,4567,425,474,902,1656,1516,3171,458,293,753,2537,2282,4823,365,379,743,1945,1820,3760,457,350,810,2763,2548,5312,557,629,1187,5095,4061,9157,875,625,1503,6538,5311,11848,9735,9887,19618,20412,17867,38273,5454,3495,8948,35595,31252,66841
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,3,8,0,4,10,8,6,11,0,0,0,6,3,6,3,4,9,8,3,15,0,0,0,17,3,19,23,15,36,37,21,53,0,0,0,11,0,12,20,0,25,29,0,33,0,0,0,11,3,15,34,3,38,50,3,52,0,0,0,18,3,17,32,4,36,54,4,61,0,0,0,19,3,19,36,0,34,53,3,58,0,0,0,12,0,12,10,0,10,22,0,22,0,0,0,4,4,8,9,0,9,17,4,15,0,0,0,4,0,9,10,0,10,14,0,16,0,0,0,10,0,10,6,0,6,15,0,15,5,0,5,115,24,135,191,30,215,306,53,354
RA40,1347,1179,2520,34958,32986,67943,1050,1081,2130,37346,35242,72588,1337,1270,2602,38021,35815,73829,1256,1209,2461,40610,38288,78900,1361,1260,2625,37555,36001,73560,1268,1134,2408,40191,38401,78583,1201,1138,2335,36588,34709,71298,1194,1102,2299,38985,36948,75937,1109,1103,2217,42503,40738,83235,1377,1385,2758,44989,43219,88213,983,992,1967,44798,44129,88921,1669,1523,3197,47452,46646,94091,780,883,1669,43597,45669,89271,1511,1491,3011,45890,48051,93940,667,705,1370,43862,46103,89964,1537,1477,3016,46061,48290,94351,511,576,1082,39489,40959,80446,1412,1254,2657,41410,42786,84187,517,613,1136,39013,40447,79460,1356,1199,2557,40886,42259,83147,523,625,1150,39302,41271,80571,1276,1094,2365,41105,42983,84092,379,498,873,37783,40464,78250,1196,1040,2237,39367,41997,81361,334,414,747,35684,39442,75126,1070,1005,2078,37083,40865,77951,561,629,1189,106762,131470,238232,3412,4382,7794,110734,136484,247217,11604,11872,23479,619913,650197,1270112,20596,20374,40971,652114,682446,1334560
RA41,202,204,409,3790,3584,7370,172,168,339,4166,3955,8120,214,202,418,4489,4279,8764,250,226,474,4952,4704,9655,215,225,442,5010,4645,9653,265,249,519,5494,5119,10618,161,168,334,4462,4302,8770,227,246,472,4859,4723,9577,133,153,283,3674,3427,7110,219,156,380,4027,3742,7765,123,109,235,3476,3525,7001,187,190,381,3791,3827,7615,122,94,212,3774,4034,7803,207,189,392,4099,4321,8412,93,111,206,4091,4450,8541,208,192,401,4391,4755,9149,89,89,180,4078,4347,8422,208,198,404,4364,4635,9000,91,97,185,4769,5035,9806,244,273,519,5105,5404,10505,85,88,170,5464,5793,11257,292,276,572,5838,6160,11998,73,81,153,5738,6231,11970,302,261,562,6116,6570,12687,77,73,147,6310,6450,12760,287,266,555,6674,6790,13465,122,121,241,20208,21531,41735,941,1019,1958,21268,22665,43931,1799,1805,3607,79339,81632,160966,4010,3915,7929,85143,87361,172501
RA42,562,493,1054,4329,4228,8556,295,275,568,5184,4992,10171,529,511,1045,4938,4727,9671,361,364,728,5831,5607,11440,546,564,1108,5357,4986,10346,408,407,811,6315,5957,12269,477,421,894,4813,4231,9040,378,323,698,5668,4968,10636,372,331,706,4444,3886,8329,367,270,634,5178,4489,9666,320,334,655,4930,4752,9681,366,312,676,5622,5392,11014,320,328,647,5051,4728,9782,387,322,718,5763,5384,11141,290,271,564,4910,4916,9827,355,364,723,5560,5551,11108,234,242,472,4676,4679,9360,379,332,705,5282,5251,10538,232,269,495,5227,5249,10476,454,382,833,5906,5901,11811,241,268,508,6271,6158,12431,470,373,847,6979,6803,13780,228,241,472,6767,6515,13280,538,436,967,7531,7190,14726,208,196,400,7053,6952,14002,492,449,941,7756,7592,15345,316,331,650,21636,22645,44278,1512,1566,3079,23463,24544,48007,4867,4788,9656,90410,88649,179058,6769,6166,12933,102042,99611,201650
RA43,84,101,185,1080,1052,2128,80,62,150,1242,1215,2459,106,78,189,1210,1140,2348,93,95,190,1410,1314,2720,115,107,218,1197,1089,2283,103,98,200,1406,1296,2700,78,70,147,943,837,1777,95,82,176,1117,985,2108,69,73,142,932,821,1762,123,82,208,1128,983,2111,74,57,135,1275,1147,2414,209,116,327,1557,1314,2877,60,60,121,1456,1203,2660,229,120,348,1744,1381,3126,63,46,113,1381,1227,2614,214,103,320,1670,1378,3046,49,34,85,1257,1047,2297,188,101,291,1488,1181,2674,38,40,74,1336,1191,2528,210,111,317,1578,1338,2922,45,48,89,1483,1308,2790,219,111,331,1755,1461,3214,41,39,81,1660,1415,3075,214,107,323,1913,1564,3477,42,27,67,1655,1530,3191,175,108,282,1870,1667,3541,41,51,90,4613,4447,9060,363,314,678,5014,4813,9828,901,832,1739,21478,19450,40931,2525,1612,4137,24902,21900,46806
RA44,172,203,373,188,225,413,22,34,52,380,460,845,190,199,392,246,235,475,47,38,81,479,470,947,155,180,332,260,226,484,34,32,66,452,436,882,200,185,385,181,149,329,33,18,55,421,347,763,160,163,318,280,213,499,69,26,99,517,403,916,185,195,381,392,316,702,100,52,152,674,561,1236,166,178,344,442,289,733,124,64,189,736,533,1268,118,138,256,442,287,726,118,45,165,681,463,1145,117,116,231,411,267,673,122,30,149,644,409,1050,113,119,233,426,308,731,125,58,182,662,481,1141,127,131,251,508,355,865,157,38,195,793,518,1312,95,102,197,599,437,1035,131,64,199,828,593,1424,81,80,159,633,455,1086,129,71,200,844,607,1451,94,116,209,1519,1152,2670,247,193,437,1861,1461,3322,1970,2088,4057,6516,4910,11427,1459,761,2225,9952,7755,17708
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,8,0,8,0,0,0,4,0,4,3,0,3,4,0,4,0,0,0,0,0,0,4,0,4,4,0,4,0,0,0,4,0,4,0,0,0,5,0,5,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,26,8,0,8,34,0,34
RA50,2424,2267,4689,61347,58045,119393,2075,1907,3983,65845,62221,128064,2451,2237,4690,64149,61195,125346,2313,2272,4590,68917,65708,134623,2375,2344,4717,64031,60380,124413,2310,2126,4433,68715,64850,133563,2123,1989,4113,58080,55551,113627,1947,1910,3858,62155,59453,121607,1890,1816,3705,60319,59652,119964,2384,2215,4601,64592,63678,128270,1671,1769,3443,62891,65609,128497,2806,2869,5674,67369,70246,137619,1452,1539,2993,68160,76104,144258,2923,2887,5813,72535,80526,153066,1194,1257,2454,71620,77066,148687,2734,2881,5612,75551,81204,156757,1004,1045,2050,63456,67837,131293,2570,2116,4687,67038,71001,138034,946,1027,1973,60778,65269,126047,2246,2113,4360,63970,68407,132377,831,1013,1847,59664,63787,123448,2118,1867,3982,62615,66666,129277,744,834,1578,54834,59042,113873,1945,1674,3618,57522,61554,119071,558,648,1203,49544,54669,104219,1614,1499,3112,51716,56819,108533,851,1101,1954,141669,166232,307907,5473,6522,11990,147997,173859,321848,20527,20881,41407,940551,990436,1930985,35466,34854,70326,996537,1046174,2042711
RA51,408,324,730,5646,5345,10992,308,292,600,6361,5961,12320,437,382,818,6854,6323,13177,393,383,773,7683,7085,14770,412,401,807,7388,6854,14243,451,435,888,8249,7692,15942,380,369,750,6138,5792,11932,391,339,727,6909,6499,13413,374,240,614,4798,4191,8989,441,298,741,5608,4736,10344,355,210,565,4975,5030,10001,434,361,797,5756,5612,11366,359,182,542,5697,6093,11792,401,365,771,6461,6644,13104,256,185,443,6194,6948,13142,429,390,817,6887,7523,14407,218,181,404,6293,6719,13016,367,351,721,6883,7252,14137,218,182,399,6635,7187,13827,452,390,844,7310,7762,15065,149,169,315,6990,7608,14603,451,400,850,7591,8178,15771,164,158,325,6922,7408,14328,425,413,841,7513,7979,15490,121,117,240,6891,7424,14313,408,367,774,7419,7904,15329,180,202,379,20032,21087,41110,1195,1306,2502,21403,22593,43993,4015,3316,7334,101462,104006,205463,6552,6098,12650,112027,113421,225447
RA52,576,510,1089,4364,4161,8527,408,371,782,5356,5043,10404,589,546,1137,4901,4632,9532,523,490,1013,6014,5672,11683,631,646,1276,5059,4735,9790,552,493,1045,6237,5874,12111,556,538,1093,4504,4086,8588,429,391,821,5488,5015,10498,459,381,843,3783,3445,7229,429,369,798,4671,4197,8869,449,346,798,4385,4246,8628,540,429,974,5375,5018,10394,346,313,658,4486,4683,9169,539,482,1021,5375,5476,10849,323,304,623,4754,4884,9634,554,491,1046,5631,5677,11308,307,294,600,4460,4806,9264,595,475,1074,5362,5579,10945,300,286,594,4976,5108,10085,591,439,1034,5872,5841,11712,269,303,573,5412,5475,10885,616,492,1110,6298,6271,12572,249,280,530,5800,5739,11542,597,509,1102,6646,6532,13183,215,229,447,5888,5802,11693,622,445,1068,6730,6481,13206,332,444,774,16445,16526,32972,1518,1410,2927,18295,18379,36680,5606,5436,11044,79219,78337,157553,8515,7295,15809,93348,91070,184417
RA53,575,494,1074,2435,2330,4771,373,315,687,3385,3146,6533,596,528,1121,2580,2472,5051,475,444,919,3650,3447,7092,569,573,1139,2180,2074,4246,420,396,814,3167,3038,6210,500,478,977,1526,1280,2803,315,254,576,2343,2010,4357,416,372,785,1676,1538,3213,455,358,810,2545,2260,4802,354,405,768,2526,2459,4986,727,518,1245,3613,3387,6999,425,380,801,3058,3134,6190,815,551,1368,4301,4063,8361,357,341,696,3367,3130,6505,903,514,1416,4632,3984,8614,331,318,649,2973,2360,5330,826,407,1233,4129,3086,7217,287,269,555,2903,2366,5263,798,420,1218,3988,3048,7034,273,284,561,2957,2278,5234,831,426,1261,4065,2987,7056,218,254,473,2896,2350,5248,763,421,1181,3876,3025,6900,185,209,386,2879,2397,5275,669,417,1085,3739,3016,6747,261,319,586,6317,5485,11803,1061,877,1935,7640,6681,14329,5350,5213,10568,40282,35646,75930,9433,6319,15753,55065,47187,102253
RA54,870,804,1672,1223,1126,2349,252,237,493,2341,2168,4511,920,861,1778,1329,1200,2526,332,325,656,2577,2385,4963,841,851,1696,889,847,1740,258,247,499,1985,1948,3932,795,794,1592,635,526,1156,282,212,500,1707,1534,3245,734,779,1515,1789,1354,3143,1007,571,1574,3525,2709,6231,763,723,1489,3367,2216,5579,1910,771,2683,6042,3710,9751,777,704,1479,4163,2270,6441,2317,734,3050,7257,3709,10969,686,678,1363,4003,1862,5867,2260,560,2819,6947,3102,10050,606,568,1178,3529,1548,5073,1907,464,2371,6043,2580,8626,570,519,1089,3555,1518,5077,1948,516,2464,6074,2554,8627,505,549,1058,3825,1812,5636,2059,542,2604,6385,2900,9291,396,410,806,3564,2155,5719,1650,540,2193,5609,3110,8719,334,327,657,3317,2467,5786,1184,428,1613,4838,3218,8059,472,571,1042,6540,4824,11364,1176,725,1907,8191,6120,14314,9273,9139,18406,41727,25732,67460,18539,6880,25414,69531,41750,111284
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,5,7,11,3,3,6,13,8,20,4,0,4,49,21,73,29,15,41,81,36,116,0,0,0,89,29,120,60,14,72,152,43,196,3,0,4,153,29,178,132,9,138,283,40,327,9,0,14,233,13,254,195,10,207,441,29,470,3,0,3,251,13,263,213,11,216,465,24,483,3,3,8,227,11,238,190,6,196,418,23,440,9,0,14,221,24,245,182,11,193,418,36,453,0,0,3,170,27,195,135,11,145,305,43,341,0,0,3,92,28,114,55,14,71,150,40,188,0,0,0,88,57,143,45,24,64,131,77,209,39,6,48,1574,267,1836,1241,121,1364,2856,395,3250
RA61,767,682,1450,8227,7827,16056,303,301,609,9302,8811,18110,796,784,1579,8882,8511,17390,397,403,797,10070,9693,19765,885,845,1733,9380,8773,18154,410,355,765,10675,9974,20648,743,670,1414,8709,8344,17049,414,331,746,9865,9349,19211,679,658,1339,9612,9391,19006,459,448,908,10753,10501,21251,547,578,1117,12886,12482,25372,533,513,1050,13969,13567,27538,475,566,1041,12221,12314,24534,534,463,996,13234,13339,26572,427,489,918,10466,10951,21420,423,440,866,11322,11883,23205,344,414,761,8997,9718,18719,366,349,715,9707,10488,20197,328,362,686,9132,10141,19273,378,343,719,9837,10841,20679,341,403,743,9406,10251,19660,392,373,765,10146,11029,21173,282,335,614,9208,10038,19249,369,354,719,9859,10731,20584,272,297,572,9112,10201,19306,355,314,666,9736,10818,20551,426,499,925,27364,33525,60889,1145,1443,2587,28935,35465,64403,7307,7597,14905,153614,162468,316084,6477,6433,12915,167400,176496,343899
RA62,729,660,1384,3957,3792,7749,286,250,538,4970,4699,9669,764,748,1519,4433,4255,8689,325,279,597,5519,5278,10802,852,815,1673,4962,4701,9658,348,342,693,6163,5852,12023,733,670,1406,4366,4052,8420,310,283,594,5410,5008,10424,524,532,1051,3978,3753,7731,253,244,502,4758,4527,9285,426,498,924,4506,4499,9005,296,274,568,5230,5273,10504,403,454,855,4440,4707,9147,303,316,615,5145,5469,10617,332,473,801,4502,4838,9335,313,311,621,5142,5620,10760,295,395,691,4336,4759,9094,267,283,549,4898,5432,10332,340,411,745,5106,5329,10434,344,284,626,5786,6020,11810,379,443,820,5785,6394,12178,363,369,727,6524,7195,13724,301,398,700,6617,6926,13537,418,338,761,7336,7663,14996,324,327,654,7084,7439,14519,370,386,758,7778,8151,15934,617,614,1225,20980,21691,42674,1290,1181,2464,22886,23480,46367,7006,7438,14446,85047,87111,172164,5484,5142,10628,97546,99690,197235
RA63,18,17,38,157,156,310,10,21,36,188,196,383,27,17,49,151,153,300,21,19,45,198,192,389,21,38,57,139,128,268,23,13,35,181,180,361,25,25,47,103,79,186,21,10,35,150,121,268,18,20,35,148,127,278,35,23,54,200,168,372,17,13,28,259,245,507,33,44,76,308,300,613,20,22,41,237,217,460,41,34,77,297,274,574,26,13,39,236,201,438,39,29,67,302,243,546,13,9,24,191,180,365,24,21,48,226,215,436,18,12,30,244,180,428,32,15,50,297,207,503,16,27,46,309,252,561,32,28,56,358,310,670,12,10,19,376,331,712,37,34,73,424,379,805,9,23,33,389,355,744,45,34,84,448,409,856,37,23,62,1022,868,1892,105,82,185,1168,973,2138,286,266,562,3966,3475,7443,499,413,916,4753,4165,8917
RA64,5,5,9,55,41,93,0,12,14,59,53,116,8,9,17,52,62,112,0,3,4,64,71,140,7,0,15,50,47,97,0,10,8,63,56,124,7,3,9,31,18,49,6,0,6,42,22,66,4,4,6,31,28,58,3,0,3,33,34,67,5,7,14,54,49,95,11,7,16,66,60,130,3,3,5,67,55,122,7,3,14,77,62,135,5,10,16,59,60,122,3,9,18,70,79,152,5,5,8,72,58,129,10,11,17,78,74,154,4,4,10,61,42,107,7,0,12,74,54,126,8,6,16,71,66,139,8,9,17,86,81,164,5,6,13,87,96,180,3,9,11,97,115,208,9,8,16,86,68,157,8,4,10,101,78,179,16,16,32,319,286,605,29,25,56,366,324,695,96,85,179,1082,977,2058,109,101,208,1286,1165,2443
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,0,0,0,4,5,0,0,0,9,6,15,0,0,0,9,6,15,0,0,0,7,6,16,4,0,10,17,8,29,0,0,0,19,5,23,16,0,14,35,3,41,0,0,5,12,5,23,16,5,17,27,4,42,0,0,0,23,0,27,14,0,13,33,0,39,0,0,0,27,5,29,8,4,14,33,5,43,0,0,0,22,9,27,16,0,17,33,14,46,0,0,0,22,5,23,15,0,18,40,9,43,0,0,0,17,4,24,7,0,10,24,9,28,4,0,4,24,7,34,0,0,0,30,7,39,3,0,5,193,60,250,94,13,107,294,72,366
RA72,782,733,1512,3957,3746,7700,367,392,761,5104,4869,9978,765,747,1516,3892,3845,7737,423,470,900,5087,5065,10153,789,792,1582,3612,3331,6943,400,359,767,4806,4484,9290,674,700,1377,2995,2833,5823,301,325,628,3969,3858,7824,726,593,1316,3896,3441,7336,508,417,922,5127,4452,9571,716,616,1339,5155,5578,10740,660,647,1308,6533,6849,13383,608,558,1169,5558,6076,11633,666,651,1315,6830,7287,14121,530,495,1030,5043,5408,10449,555,569,1116,6129,6472,12599,452,470,919,4351,4569,8922,491,496,990,5295,5536,10825,467,471,935,4041,4026,8063,517,454,972,5022,4944,9963,389,457,843,4112,4022,8132,494,467,957,4993,4940,9936,320,380,698,3865,3655,7520,515,431,951,4699,4467,9165,218,289,513,3477,3502,6981,448,402,855,4144,4201,8344,345,484,828,8025,7355,15379,950,839,1789,9319,8679,17993,7785,7786,15572,61969,61385,123358,7300,6920,14229,77059,76095,153156
