RA_CODE_2021,1_74_RE_agent,1_74_StateTeHAuthority,1_74_Com_house_prov,1_74_Person_not_same_hh,1_74_Oth_type,1_74_Not_stated,1_74_Total,75_99_RE_agent,75_99_StateTeHAuthority,75_99_Com_house_prov,75_99_Person_not_same_hh,75_99_Oth_type,75_99_Not_stated,75_99_Total,100_149_RE_agent,100_149_StateTeHAuthority,100_149_Com_house_prov,100_149_Person_not_same_hh,100_149_Oth_type,100_149_Not_stated,100_149_Total,150_199_RE_agent,150_199_StateTeHAuthority,150_199_Com_house_prov,150_199_Person_not_same_hh,150_199_Oth_type,150_199_Not_stated,150_199_Total,200_224_RE_agent,200_224_StateTeHAuthority,200_224_Com_house_prov,200_224_Person_not_same_hh,200_224_Oth_type,200_224_Not_stated,200_224_Total,225_274_RE_agent,225_274_StateTeHAuthority,225_274_Com_house_prov,225_274_Person_not_same_hh,225_274_Oth_type,225_274_Not_stated,225_274_Total,275_349_RE_agent,275_349_StateTeHAuthority,275_349_Com_house_prov,275_349_Person_not_same_hh,275_349_Oth_type,275_349_Not_stated,275_349_Total,350_449_RE_agent,350_449_StateTeHAuthority,350_449_Com_house_prov,350_449_Person_not_same_hh,350_449_Oth_type,350_449_Not_stated,350_449_Total,450_549_RE_agent,450_549_StateTeHAuthority,450_549_Com_house_prov,450_549_Person_not_same_hh,450_549_Oth_type,450_549_Not_stated,450_549_Total,550_649_RE_agent,550_649_StateTeHAuthority,550_649_Com_house_prov,550_649_Person_not_same_hh,550_649_Oth_type,550_649_Not_stated,550_649_Total,650_749_RE_agent,650_749_StateTeHAuthority,650_749_Com_house_prov,650_749_Person_not_same_hh,650_749_Oth_type,650_749_Not_stated,650_749_Total,750_849_RE_agent,750_849_StateTeHAuthority,750_849_Com_house_prov,750_849_Person_not_same_hh,750_849_Oth_type,750_849_Not_stated,750_849_Total,850_949_RE_agent,850_949_StateTeHAuthority,850_949_Com_house_prov,850_949_Person_not_same_hh,850_949_Oth_type,850_949_Not_stated,850_949_Total,950oveRE_agent,950oveStateTeHAuthority,950oveCom_house_prov,950ovePerson_not_same_hh,950oveOth_type,950oveNot_stated,950oveTotal,Rent_NS_RE_agent,Rent_NS_StateTeRent_Hauth,Rent_NS_Com_house_prov,Rent_NS_Person_not_same_hh,Rent_NS_Oth_type,Rent_NS_Not_stated,Rent_NS_Total,Total_RE_agent,Total_StateTer_HAuthority,Total_Com_house_prov,Total_Person_not_same_hh,Total_Oth_type,Total_NS,Total_Total
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA30,230,1952,86,269,122,19,2681,75,2540,127,155,79,9,2998,644,11383,601,1289,450,81,14454,1779,5395,1213,2587,937,99,12019,2034,2212,744,2737,720,81,8534,10994,2269,905,4771,3040,145,22128,46007,1768,905,11888,3490,257,64315,116081,700,521,19372,7046,380,144103,68444,182,136,10296,2754,149,81959,27922,42,54,4183,931,69,33205,11282,28,20,1876,334,15,13544,5129,12,15,949,143,11,6258,2561,5,3,473,59,7,3118,3595,6,6,1005,206,13,4820,4682,2256,354,3484,1318,922,13004,301450,30761,5690,65345,21638,2262,427143
RA31,78,620,43,195,212,14,1162,44,731,76,147,131,7,1139,474,2751,291,1037,450,55,5056,2004,1566,620,1961,636,70,6855,3132,598,265,2650,554,57,7257,9812,608,297,4531,863,96,16211,20800,328,224,6136,993,125,28618,17809,114,109,3720,530,63,22344,4883,27,16,994,164,12,6082,1339,10,6,279,62,8,1703,408,6,3,126,55,0,593,141,3,3,68,45,0,256,75,0,0,23,25,0,124,123,0,0,129,74,0,330,1105,565,153,1383,859,274,4327,62216,7927,2103,23389,5652,777,102069
RA32,108,597,48,210,1682,8,2649,48,629,104,137,509,10,1439,406,2217,384,1078,860,37,4984,1642,1530,728,1902,696,97,6593,2644,524,218,2255,511,59,6214,7748,670,315,3273,1570,79,13646,12100,309,133,4255,1052,57,17905,13953,116,85,3211,821,53,18243,4518,32,14,934,215,18,5738,1252,3,0,290,88,0,1637,417,3,0,117,77,0,622,121,3,0,47,52,0,219,80,0,0,51,35,0,166,187,3,0,238,149,0,576,886,538,109,1232,1315,201,4289,46096,7184,2149,19235,9634,617,84911
RA33,28,240,54,48,993,3,1368,13,210,58,24,151,0,440,73,609,91,180,199,13,1163,228,403,107,265,145,14,1163,246,100,22,251,88,5,714,472,69,29,245,113,15,938,525,31,33,280,102,0,976,599,10,3,231,88,3,931,306,7,0,81,21,4,421,86,5,0,42,27,0,158,27,0,0,10,23,0,53,13,0,0,6,15,0,34,6,0,0,9,11,0,22,30,0,0,47,21,0,96,66,102,25,266,705,33,1201,2712,1782,432,1975,2697,92,9685
RA34,6,402,99,33,682,6,1222,8,306,93,21,115,5,543,66,1186,272,170,212,22,1920,165,690,277,220,188,27,1564,111,77,25,163,114,4,491,138,119,38,138,99,3,532,75,89,13,81,91,0,354,57,35,0,43,53,0,186,80,3,3,20,39,3,147,98,4,0,16,17,0,135,90,0,0,15,35,0,138,48,0,0,8,27,0,85,18,3,0,3,19,0,44,7,0,0,22,42,0,73,39,156,61,185,758,28,1223,1006,3066,886,1125,2482,93,8670
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA40,59,695,111,194,38,14,1104,32,1518,235,146,33,16,1980,348,9291,1185,1148,274,117,12361,1032,3935,2513,2014,292,104,9892,1384,1586,809,2185,265,48,6284,8120,1897,1132,5001,1311,135,17596,24436,1561,844,10645,1255,119,38861,28210,662,422,8483,921,88,38790,10207,109,66,2584,227,16,13206,3062,27,23,767,75,8,3952,1145,16,16,274,38,0,1486,500,20,3,160,18,0,702,274,13,0,77,10,0,379,344,6,3,191,44,4,595,987,1271,482,1484,483,398,5107,80133,22591,7854,35345,5284,1072,152283
RA41,13,26,4,66,36,3,148,7,46,22,36,20,0,131,71,409,97,239,104,8,917,328,175,221,491,117,14,1354,414,93,81,553,70,11,1217,1577,117,82,934,102,19,2823,2074,32,45,978,91,4,3225,1220,17,8,457,35,6,1742,189,4,3,85,17,0,308,55,0,3,31,5,0,98,17,3,0,17,9,0,46,9,0,0,5,4,0,20,4,0,0,0,7,0,8,11,0,0,28,13,0,56,69,71,36,254,168,38,634,6041,993,599,4176,797,115,12723
RA42,23,164,27,147,127,9,492,31,416,30,117,55,3,654,443,1875,204,710,293,29,3554,2003,1174,230,1279,365,48,5104,1242,406,68,983,198,10,2909,2428,300,56,1006,215,18,4027,1948,92,28,609,93,9,2781,594,27,11,176,40,4,856,94,15,3,62,27,0,210,16,3,8,16,21,0,56,5,3,0,13,35,0,54,8,0,0,22,18,0,47,4,6,0,0,14,0,21,14,0,0,40,37,0,93,164,264,54,436,453,75,1444,9014,4747,721,5614,2001,207,22303
RA43,3,27,6,39,38,0,114,3,52,21,30,24,0,136,20,248,30,177,189,8,670,159,128,45,305,205,12,853,163,46,6,224,97,3,541,346,68,11,263,65,6,758,506,31,4,224,40,5,804,341,4,0,104,21,4,481,60,0,0,17,11,0,92,13,0,0,4,8,0,25,3,0,0,3,5,0,15,6,0,0,0,9,0,15,0,0,0,5,0,0,3,5,0,0,29,15,0,48,39,37,5,118,160,17,376,1664,635,135,1558,891,50,4941
RA44,0,112,51,26,59,3,247,6,211,51,10,25,4,306,14,146,29,65,53,3,307,51,40,14,76,51,4,239,28,15,7,56,29,4,138,63,11,5,53,27,0,159,70,7,0,46,8,0,130,13,0,0,12,7,0,37,0,0,0,0,5,0,10,0,0,0,0,3,0,7,0,0,0,0,3,0,10,0,0,0,0,7,0,7,0,0,0,4,0,0,6,0,0,0,7,7,0,16,8,64,18,51,195,8,340,256,621,172,401,478,29,1957
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA50,129,706,85,250,41,11,1230,29,1144,147,178,31,12,1542,430,7269,613,1496,251,76,10137,1407,3378,1388,2213,368,74,8829,2665,1303,384,2641,332,53,7367,9483,1797,564,5356,1117,64,18375,29194,1295,382,12846,1530,147,45400,45990,564,290,15166,1561,167,63737,20263,97,63,5386,440,43,26294,7294,18,11,1804,120,15,9262,3191,21,15,805,66,7,4116,1687,19,5,446,50,0,2211,944,12,5,231,27,5,1222,1545,10,0,471,91,12,2134,1825,1148,306,2507,744,491,7019,126086,18786,4262,51792,6775,1180,208881
RA51,14,47,5,55,30,0,158,5,88,18,38,30,0,190,37,742,76,242,99,12,1202,134,460,204,344,121,13,1277,293,204,65,512,114,6,1178,891,257,66,894,180,16,2303,2383,169,42,1641,212,18,4462,3284,56,28,1458,155,15,4995,1064,8,0,346,33,4,1455,253,0,0,126,15,0,394,69,0,0,33,39,0,136,25,6,0,20,11,0,61,4,0,0,14,5,0,27,26,0,0,78,40,0,144,158,133,37,382,249,44,1012,8635,2168,542,6178,1341,119,18983
RA52,10,64,18,91,83,0,268,11,124,19,51,65,3,265,165,786,202,427,219,25,1826,523,525,305,632,272,33,2288,563,262,59,714,222,8,1830,1126,416,101,964,301,17,2925,2278,293,61,1237,281,13,4170,2020,60,19,772,130,9,3008,535,20,8,168,34,6,766,176,8,0,49,20,0,250,38,4,0,12,8,0,68,15,0,0,15,9,0,34,4,0,0,12,5,0,21,13,0,0,47,40,0,99,151,166,48,386,452,32,1235,7638,2720,835,5563,2141,153,19056
RA53,57,79,28,39,1036,5,1242,16,94,18,19,215,3,371,32,462,97,150,735,8,1494,107,374,82,226,382,6,1183,104,246,25,206,270,7,859,181,382,48,240,362,8,1216,392,336,44,309,323,3,1412,660,103,27,293,312,4,1402,651,30,0,143,159,0,978,470,3,0,76,65,0,620,325,7,0,63,57,0,450,229,6,0,50,45,0,332,162,5,0,28,36,0,237,234,9,0,79,146,0,464,225,183,35,237,931,42,1660,3837,2331,410,2159,5087,92,13919
RA54,21,616,461,28,1159,15,2293,6,363,311,19,154,10,865,8,539,255,90,698,11,1596,44,341,123,86,293,14,898,36,171,25,97,203,4,539,103,210,51,109,241,4,720,153,105,53,125,239,0,686,254,50,18,150,191,9,664,175,13,5,91,70,0,358,110,0,3,43,36,0,187,36,3,0,31,17,0,94,21,0,0,22,15,0,52,3,0,0,12,16,0,29,36,0,0,87,161,0,296,87,219,132,274,1040,28,1777,1088,2632,1447,1265,4526,93,11044
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
RA61,17,163,31,57,12,3,284,16,292,66,52,8,3,442,126,2060,258,358,65,36,2902,525,1263,631,763,136,29,3348,619,606,255,813,58,16,2372,1727,696,386,1386,151,30,4378,4349,416,178,2393,253,34,7623,6700,178,68,2575,285,34,9831,3330,24,21,1083,125,8,4589,1259,4,3,371,35,4,1684,398,6,6,159,11,0,583,148,3,0,67,10,0,231,60,3,0,27,6,0,100,53,0,0,97,13,0,164,279,296,82,414,138,94,1309,19608,6010,1993,10618,1314,298,39838
RA62,10,80,29,101,108,7,325,7,164,33,63,24,4,292,99,912,173,395,151,14,1747,514,610,231,764,171,35,2326,570,342,165,864,138,14,2105,1744,445,109,1403,198,31,3927,2284,114,37,1416,170,22,4036,1036,19,12,582,71,13,1723,187,8,5,99,13,0,311,46,3,0,32,5,0,88,10,3,0,13,3,0,29,3,0,0,11,4,0,14,0,0,0,6,0,0,11,3,0,0,42,15,0,59,107,150,41,362,221,62,941,6618,2854,827,6142,1301,195,17946
RA63,15,10,0,10,71,0,103,3,0,0,9,7,0,22,43,13,6,43,31,0,131,106,12,7,71,32,3,232,37,0,0,40,15,3,94,56,0,3,41,11,0,113,38,0,0,31,6,0,78,21,0,0,17,10,0,55,0,0,0,4,3,0,10,0,0,0,0,4,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,10,3,0,18,14,0,0,41,56,5,118,337,36,12,317,252,16,973
RA64,0,6,0,0,15,0,26,0,4,9,3,0,0,18,4,21,20,25,7,0,70,9,9,10,17,4,0,44,6,0,0,18,3,3,30,9,3,0,13,0,0,28,0,0,0,22,3,0,31,0,0,0,8,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,3,0,17,12,0,28,21,40,39,134,48,6,286
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA72,6,144,16,11,24,0,208,9,363,7,11,4,6,398,29,699,50,78,38,4,908,107,394,32,145,42,6,720,163,152,42,193,56,3,615,665,218,46,296,736,16,1971,1912,164,36,728,360,13,3200,3394,94,19,1129,261,16,4914,2754,64,9,718,122,15,3681,1692,8,0,317,58,3,2084,732,3,0,132,24,3,897,285,0,0,67,17,0,373,132,5,0,27,13,0,180,139,4,0,130,85,0,357,224,338,35,259,259,52,1162,12240,2642,294,4244,2098,140,21661
RA73,8,330,249,15,146,21,771,0,318,75,8,41,4,444,5,421,117,36,141,3,722,13,217,47,61,99,5,448,21,91,46,58,68,0,288,95,103,29,93,234,3,565,398,52,20,157,159,4,784,728,41,4,271,114,8,1162,570,17,5,243,74,0,901,269,7,0,107,33,3,426,116,0,0,41,18,0,173,54,0,0,17,20,0,91,23,0,0,10,8,0,45,22,0,0,36,64,0,118,81,164,42,131,438,14,871,2400,1761,637,1305,1640,66,7810
RA74,4,1111,614,11,333,26,2090,0,590,238,0,190,8,1023,4,500,191,7,188,6,904,14,354,112,16,144,4,646,7,113,29,10,130,0,290,13,107,23,19,76,0,234,26,34,14,26,61,0,166,30,21,0,29,39,0,124,21,4,3,10,25,0,65,9,0,0,9,11,0,26,0,0,0,6,10,0,27,3,0,0,8,5,0,16,0,0,0,0,7,0,10,3,0,0,16,30,0,49,21,230,121,88,586,17,1070,174,3069,1350,240,1842,59,6742
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA80,13,420,15,39,21,0,515,0,468,42,23,7,3,555,34,3238,107,164,42,12,3598,94,1189,170,306,69,9,1838,75,597,71,297,46,11,1091,295,646,112,463,510,3,2030,1108,603,182,900,559,9,3369,6725,650,185,2608,635,13,10823,9710,252,45,2693,355,10,13064,5989,42,16,1525,215,13,7811,2577,14,8,647,83,7,3332,981,11,3,313,35,0,1341,429,10,0,117,14,3,565,588,4,3,219,28,6,842,408,501,66,462,212,117,1759,29026,8645,1027,10774,2831,213,52516
RA81,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,5,0,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,5,0,7,0,0,0,0,0,0,3,0,4,0,0,0,0,8,0,0,0,3,0,0,13,0,0,0,7,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,7,3,9,0,21,21,0,55
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA91,0,0,23,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,3,0,8,0,6,0,0,3,0,5,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,13,6,28,0,18,0,61
RA94,0,17,0,5,35,0,59,0,19,0,7,7,0,32,0,28,0,23,9,0,62,10,29,0,25,13,0,76,8,0,0,36,0,0,55,11,14,3,37,4,0,73,35,6,0,28,0,0,72,22,0,0,20,5,0,45,7,0,3,4,4,0,22,0,0,0,5,5,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,8,7,10,0,19,21,0,55,102,135,13,218,98,0,576
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
