RA_CODE_2021,M_Nat_Phy_Sci_15_24,M_Nat_Phy_Sci_25_34,M_Nat_Phy_Sci_35_44,M_Nat_Phy_Sci_45_54,M_Nat_Phy_Sci_55_64,M_Nat_Phy_Sci_65_74,M_Nat_Phy_Sci_75_84,M_Nat_Phy_Sci_85ov,M_Nat_Phy_Sci_Tot,M_IT_15_24,M_IT_25_34,M_IT_35_44,M_IT_45_54,M_IT_55_64,M_IT_65_74,M_IT_75_84,M_IT_85ov,M_IT_Tot,M_Egnr_rel_Tech_15_24_yr,M_Egnr_rel_Tech_25_34_yr,M_Egnr_rel_Tech_35_44_yr,M_Egnr_rel_Tech_45_54_yr,M_Egnr_rel_Tech_55_64_yr,M_Egnr_rel_Tech_65_74_yr,M_Egnr_rel_Tech_75_84_yr,M_Egnr_rel_Tech_85_yr_over,M_Egnr_rel_Tech_Tot,M_Arc_Bld_15_24_yr,M_Arc_Bld_25_34_yr,M_Arc_Bld_35_44_yr,M_Arc_Bld_45_54_yr,M_Arc_Bld_55_64_yr,M_Arc_Bld_65_74_yr,M_Arc_Bld_75_84_yr,M_Arc_Bld_85_yr_over,M_Arc_Bld_Tot,M_Agric_Env_Rel_Stud_15_24,M_Agric_Env_Rel_Stud_25_34,M_Agric_Env_Rel_Stud_35_44,M_Agric_Env_Rel_Stud_45_54,M_Agric_Env_Rel_Stud_55_64,M_Agric_Env_Rel_Stud_65_74,M_Agric_Env_Rel_Stud_75_84,M_Agric_Env_Rel_Stud_85_over,M_Agric_Envir_Rel_Stud_Tot,M_Hlth_15_24_yr,M_Hlth_25_34_yr,M_Hlth_35_44_yr,M_Hlth_45_54_yr,M_Hlth_55_64_yr,M_Hlth_65_74_yr,M_Hlth_75_84_yr,M_Hlth_85_yr_over,M_Hlth_Tot,M_Edu_15_24_yr,M_Edu_25_34_yr,M_Edu_35_44_yr,M_Edu_45_54_yr,M_Edu_55_64_yr,M_Edu_65_74_yr,M_Edu_75_84_yr,M_Edu_85_yr_over,M_Edu_Tot,M_Mgmt_Cmrce_15_24_yr,M_Mgmt_Cmrce_25_34_yr,M_Mgmt_Cmrce_35_44_yr,M_Mgmt_Cmrce_45_54_yr,M_Mgmt_Cmrce_55_64_yr,M_Mgmt_Cmrce_65_74_yr,M_Mgmt_Cmrce_75_84_yr,M_Mgmt_Cmrce_85_yr_over,M_Mgmt_Cmrce_Tot,M_Scty_Cul_15_24_yr,M_Scty_Cul_25_34_yr,M_Scty_Cul_35_44_yr,M_Scty_Cul_45_54_yr,M_Scty_Cul_55_64_yr,M_Scty_Cul_65_74_yr,M_Scty_Cul_75_84_yr,M_Scty_Cul_85_yr_over,M_Scty_Cul_Tot,M_Crtve_Arts_15_24_yr,M_Crtve_Arts_25_34_yr,M_Crtve_Arts_35_44_yr,M_Crtve_Arts_45_54_yr,M_Crtve_Arts_55_64_yr,M_Crtve_Arts_65_74_yr,M_Crtve_Arts_75_84_yr,M_Crtve_Arts_85_yr_over,M_Crtve_Arts_Tot,M_FoodHos_PsnlSvcs_15_24_yr,M_FoodHos_PsnlSvcs_25_34_yr,M_FoodHos_PsnlSvcs_35_44_yr,M_FoodHos_PsnlSvcs_45_54_yr,M_FoodHos_PsnlSvcs_55_64_yr,M_FoodHos_PsnlSvcs_65_74_yr,M_FoodHos_PsnlSvcs_75_84_yr,M_FoodHos_PsnlSvcs_85_over,M_FoodHos_PsnlSvcs_Tot,M_Mix_Fld_Prog_15_24_yr,M_Mix_Fld_Prog_25_34_yr,M_Mix_Fld_Prog_35_44_yr,M_Mix_Fld_Prog_45_54_yr,M_Mix_Fld_Prog_55_64_yr,M_Mix_Fld_Prog_65_74_yr,M_Mix_Fld_Prog_75_84_yr,M_Mix_Fld_Prog_85_over,M_Mix_Fld_Prog_Tot,M_Fld_stud_inad_desc_15_24,M_Fld_stud_inad_desc_25_34,M_Fld_stud_inad_desc_35_44,M_Fld_stud_inad_desc_45_54,M_Fld_stud_inad_desc_55_64,M_Fld_stud_inad_desc_65_74,M_Fld_stud_inad_desc_75_84,M_Fld_stud_inad_desc_85_over,M_Fld_stud_inad_desc_Tot,M_Fld_stud_ns_15_24_yr,M_Fld_stud_ns_25_34_yr,M_Fld_stud_ns_35_44_yr,M_Fld_stud_ns_45_54_yr,M_Fld_stud_ns_55_64_yr,M_Fld_stud_ns_65_74_yr,M_Fld_stud_ns_75_84_yr,M_Fld_stud_ns_85_yr_over,M_Fld_stud_ns_Tot,M_Tot_15_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Nat_Phy_Sci_15_24_yr,F_Nat_Phy_Sci_25_34_yr,F_Nat_Phy_Sci_35_44_yr,F_Nat_Phy_Sci_45_54_yr,F_Nat_Phy_Sci_55_64_yr,F_Nat_Phy_Sci_65_74_yr,F_Nat_Phy_Sci_75_84_yr,F_Nat_Phy_Sci_85_yr_over,F_Nat_Phy_Sci_Tot,F_IT_15_24_yr,F_IT_25_34_yr,F_IT_35_44_yr,F_IT_45_54_yr,F_IT_55_64_yr,F_IT_65_74_yr,F_IT_75_84_yr,F_IT_85_yr_over,F_IT_Tot,F_Egnr_rel_Tech_15_24_yr,F_Egnr_rel_Tech_25_34_yr,F_Egnr_rel_Tech_35_44_yr,F_Egnr_rel_Tech_45_54_yr,F_Egnr_rel_Tech_55_64_yr,F_Egnr_rel_Tech_65_74_yr,F_Egnr_rel_Tech_75_84_yr,F_Egnr_rel_Tech_85_yr_over,F_Egnr_rel_Tech_Tot,F_Arc_Bld_15_24_yr,F_Arc_Bld_25_34_yr,F_Arc_Bld_35_44_yr,F_Arc_Bld_45_54_yr,F_Arc_Bld_55_64_yr,F_Arc_Bld_65_74_yr,F_Arc_Bld_75_84_yr,F_Arc_Bld_85_yr_over,F_Arc_Bld_Tot,F_Agric_Env_Rel_Stud_15_24,F_Agric_Env_Rel_Stud_25_34,F_Agric_Env_Rel_Stud_35_44,F_Agric_Env_Rel_Stud_45_54,F_Agric_Env_Rel_Stud_55_64,F_Agric_Env_Rel_Stud_65_74,F_Agric_Env_Rel_Stud_75_84,F_Agric_Env_Rel_Stud_85_over,F_Agric_Envir_Rel_Stud_Tot,F_Hlth_15_24_yr,F_Hlth_25_34_yr,F_Hlth_35_44_yr,F_Hlth_45_54_yr,F_Hlth_55_64_yr,F_Hlth_65_74_yr,F_Hlth_75_84_yr,F_Hlth_85_yr_over,F_Hlth_Tot,F_Edu_15_24_yr,F_Edu_25_34_yr,F_Edu_35_44_yr,F_Edu_45_54_yr,F_Edu_55_64_yr,F_Edu_65_74_yr,F_Edu_75_84_yr,F_Edu_85_yr_over,F_Edu_Tot,F_Mgmt_Cmrce_15_24_yr,F_Mgmt_Cmrce_25_34_yr
RA65,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,15,18,25,19,6,0,0,89,0,0,4,0,5,0,0,0,14,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,3,3,3,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,0,25,24,26,20,4,0,0,100,4,50,54,64,54,19,0,0,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,3,0,0
RA72,43,188,213,185,168,134,38,9,971,241,607,457,225,120,66,6,0,1729,791,2502,2184,2081,1866,1291,416,65,11191,214,726,657,536,525,358,144,22,3178,88,176,248,235,188,140,34,0,1114,101,561,550,395,300,171,45,11,2129,39,220,249,228,280,257,93,12,1373,335,1879,1372,1041,732,459,131,7,5955,277,791,822,635,456,325,92,17,3402,73,199,177,112,92,50,25,0,730,173,427,385,242,168,96,23,0,1516,11,9,11,9,3,4,0,0,45,44,149,176,183,107,72,16,3,746,1093,1741,1456,1399,1275,952,325,75,8313,3514,10171,8951,7503,6282,4367,1387,218,42402,81,287,277,194,128,63,13,0,1041,40,205,183,95,61,25,3,0,616,69,283,228,132,84,51,18,4,872,21,101,79,46,28,13,0,0,283,79,180,180,129,62,29,7,5,662,432,2211,1478,979,872,542,159,37,6716,189,953,1085,917,831,590,180,15,4763,623,2708
RA73,8,48,76,39,65,53,12,0,303,12,95,97,33,39,14,4,0,296,154,670,578,526,632,522,132,10,3221,60,242,213,183,215,160,40,3,1109,40,83,99,116,102,67,16,0,523,27,223,196,114,135,71,17,0,783,14,101,76,93,132,135,37,0,580,54,381,271,238,251,185,28,0,1404,55,263,283,236,185,134,25,3,1190,22,77,85,42,50,29,7,0,313,63,144,126,88,64,40,8,0,539,6,6,4,0,4,0,0,0,20,10,39,55,27,33,18,8,0,186,459,700,588,622,647,538,145,26,3731,986,3067,2750,2347,2556,1961,473,49,14193,18,83,58,50,41,24,3,0,285,3,41,21,16,19,11,0,0,106,14,60,43,30,33,12,3,0,195,11,23,17,15,15,0,0,0,76,36,85,60,57,40,18,6,0,308,126,806,513,401,496,275,41,17,2671,59,301,285,316,366,271,52,5,1657,113,605
RA74,5,37,18,27,31,31,12,0,163,6,17,19,9,17,14,0,0,85,133,433,404,387,419,350,63,3,2193,58,172,175,149,143,103,10,0,812,89,124,120,84,72,53,19,0,558,13,81,91,79,96,46,7,0,414,18,73,78,78,94,78,10,0,432,34,138,137,99,138,119,18,0,682,28,154,132,92,104,77,13,0,599,13,36,28,29,12,11,0,0,127,24,65,58,53,42,24,0,0,268,4,0,0,5,3,0,0,0,7,12,23,27,31,6,8,3,0,110,699,1018,782,757,668,383,88,4,4397,1131,2370,2062,1871,1855,1294,244,11,10840,10,36,18,16,24,15,0,0,126,0,11,9,3,7,0,0,0,37,19,37,24,14,12,15,0,0,121,3,22,12,11,4,0,0,0,46,90,62,56,35,28,4,0,0,275,56,304,194,189,348,153,15,0,1256,39,213,208,222,249,175,20,0,1129,75,263
RA75,0,0,5,4,0,0,0,0,14,0,0,0,0,0,0,0,0,0,10,24,41,52,36,4,0,0,158,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,3,0,4,0,0,11,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,4,15,41,40,32,3,0,0,137,16,38,92,101,90,15,4,0,361,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,8,0,0,9,0,0
RA80,489,1624,1406,1306,1222,1090,619,172,7924,1234,4261,4518,2637,1677,651,110,3,15097,843,4354,3955,3444,2943,2351,1284,474,19643,767,2291,1742,1433,1116,781,525,170,8827,107,511,510,488,431,286,171,51,2561,313,1509,1261,900,689,456,214,75,5420,100,796,871,771,634,597,359,84,4208,1132,5676,5637,4448,2990,1843,710,175,22612,1417,4885,4422,3762,2808,2452,1182,299,21220,511,1309,1183,720,422,282,101,20,4545,396,1095,934,664,363,166,87,18,3715,42,24,9,10,8,15,9,0,121,159,456,520,416,281,237,144,71,2280,1825,2465,1942,1355,1034,764,604,329,10315,9344,31256,28914,22363,16605,11970,6101,1937,128486,584,1757,1553,1243,863,587,208,57,6860,388,1455,1315,778,578,240,47,3,4806,117,739,711,368,279,195,90,47,2553,128,463,346,258,172,94,20,3,1482,152,450,381,372,199,100,45,12,1697,1232,4733,3622,2649,2289,1684,887,330,17431,555,2607,2800,2350,2091,2108,1193,304,14007,1633,7559
RA81,0,4,0,0,0,4,0,0,8,0,0,4,0,0,0,0,0,11,0,6,10,9,3,0,0,0,27,6,14,5,8,4,4,0,0,34,0,3,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,0,8,6,0,0,3,0,0,7,0,0,5,0,4,4,0,0,21,0,3,8,8,0,0,0,0,17,0,0,3,0,0,0,0,0,5,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,4,3,5,0,3,5,0,0,26,12,37,44,35,29,27,3,0,189,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,3,4,0,0,0,0,0,0,0,6,4,9,4,4,3,6,0,0,33,0,6,4,3,3,0,0,0,14,0,8
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA91,5,4,3,0,0,0,0,0,15,0,0,0,0,0,0,0,0,4,9,14,0,3,0,0,0,0,29,3,0,0,4,0,0,0,0,8,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,8,4,9,0,4,3,0,0,0,19,5,11,8,3,0,0,0,0,27,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,9,3,7,5,11,3,0,47,34,57,22,22,16,15,7,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,5,0,0,16,0,8,4,3,0,0,0,0,13,4,7
RA94,0,4,0,4,15,8,7,0,36,0,0,10,0,4,3,0,0,25,14,52,43,65,85,65,14,4,342,11,23,13,27,36,19,6,5,140,0,6,5,4,10,0,0,0,30,0,6,6,10,0,15,3,0,47,0,5,10,10,6,9,3,0,46,5,15,16,14,18,16,9,0,94,0,14,26,17,5,13,8,0,83,0,3,4,4,5,4,0,0,23,4,12,16,12,18,0,0,0,55,0,0,0,0,0,0,0,0,0,0,5,0,6,3,3,0,0,18,59,185,119,98,90,65,40,3,656,96,319,277,276,297,228,82,14,1587,0,5,12,8,0,0,0,0,23,0,7,5,6,0,0,0,0,12,0,0,4,6,4,0,0,0,19,4,0,0,0,0,0,0,0,11,0,5,3,4,5,0,0,0,16,7,26,17,23,27,31,9,5,145,4,20,31,26,30,25,11,0,151,16,35
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
