RA_CODE_2021,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,OS_vis_M,OS_vis_F,OS_vis_P,Tot_M,Tot_F,Tot_P
RA25,21,17,10,24,9,0,9,19,4,24,20,0,20,84,16,101,7,0,7,18,0,18,16,0,16,4,0,4,6,3,10,50,3,61,5,0,5,5,0,5,4,0,4,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,493,72,565
RA30,37796,18203,19501,37703,18665,20013,38674,18415,20223,38642,17988,19772,37759,91459,99109,190565,17938,19681,37613,17006,18437,35444,16462,18259,34726,15654,17866,33521,15396,17246,32643,82464,91483,173943,15323,16874,32195,14669,16425,31093,14098,16192,30286,14005,16076,30081,14009,15635,29645,72100,81200,153303,13649,15405,29058,13491,15190,28682,13175,14761,27937,13089,14341,27431,13764,15249,29011,67165,74944,142111,11198,12407,23613,10594,11888,22479,9772,10959,20725,8303,9453,17762,8239,9227,17465,48106,53936,102049,29954,35844,65798,15640,22075,37717,6782,12329,19110,1465,3789,5257,149,523,676,4425,4141,8567,1624803,1708724,3333530
RA31,12396,6084,6826,12914,6488,7181,13671,6690,7269,13957,6957,7471,14425,32174,35190,67364,6972,7411,14380,6646,7350,13999,6773,7144,13919,6629,7105,13731,6595,6831,13426,33617,35839,69452,6459,6930,13393,6437,6874,13311,6355,6669,13024,6573,6427,13000,6362,6403,12763,32191,33296,65483,6274,6295,12564,6116,6287,12399,5944,6035,11980,5900,5762,11660,6105,6025,12125,30334,30402,60740,5011,4888,9901,4808,4790,9592,4284,4301,8586,3720,3877,7594,3565,3679,7245,21392,21531,42923,12580,13950,26531,6212,8087,14293,2367,3983,6348,472,1119,1592,30,149,174,827,726,1561,490965,508087,999059
RA32,9256,4782,4691,9479,5032,4876,9909,5130,5115,10243,5084,5126,10208,24677,24416,49101,5149,5124,10276,5160,4989,10152,4961,4786,9751,4905,4711,9620,4714,4536,9247,24895,24143,49039,4653,4395,9050,4598,4456,9056,4460,4393,8855,4499,4215,8713,4420,3916,8344,22637,21378,44012,4298,3754,8054,4075,3800,7872,3842,3453,7294,3642,3409,7054,3840,3445,7290,19698,17856,37558,3116,2720,5834,2919,2723,5644,2600,2434,5045,2140,2126,4263,2001,2013,4012,12779,12013,24790,7291,7301,14592,3367,4093,7462,1227,2060,3286,233,570,804,10,81,95,2669,1298,3967,367483,357036,724519
RA33,1246,708,507,1216,765,587,1348,748,572,1320,817,584,1399,3724,2805,6532,744,602,1347,729,613,1339,692,566,1259,676,544,1219,735,494,1228,3577,2817,6390,620,503,1129,641,520,1164,594,480,1078,586,479,1070,593,447,1044,3048,2438,5486,507,414,928,523,392,914,506,359,866,455,322,770,486,346,835,2476,1834,4310,295,260,557,306,217,529,308,227,533,228,178,404,211,180,394,1343,1066,2413,725,577,1304,267,295,560,87,128,215,20,25,46,0,9,9,298,213,510,47272,38764,86045
RA34,906,486,490,977,554,452,1011,511,465,979,510,440,953,2537,2282,4823,542,548,1087,534,494,1027,591,510,1107,549,519,1070,546,475,1019,2763,2548,5312,568,443,1017,562,447,1006,548,424,973,480,454,937,495,378,871,2646,2147,4797,463,371,835,456,350,815,396,323,720,356,281,633,361,266,618,2030,1599,3624,294,206,500,229,196,423,219,153,374,198,132,324,167,132,303,1103,823,1923,494,393,886,171,223,395,73,103,180,11,22,38,0,6,9,181,97,274,35778,31340,67120
RA35,6,0,0,0,3,0,3,0,0,0,0,0,0,17,4,15,4,0,4,4,0,0,3,0,3,3,0,3,0,0,0,14,0,16,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,13,0,13,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,10,24,317,65,385
RA40,16076,7871,8380,16249,7924,8411,16334,7965,8459,16423,7817,8460,16275,39367,41997,81361,7906,8571,16476,7604,8300,15903,7427,8221,15647,7231,7837,15076,6916,7932,14849,37083,40865,77951,6738,7716,14458,6695,7374,14062,6369,7350,13720,6391,7255,13645,6262,7051,13314,32446,36741,69195,6044,7067,13111,6028,6868,12898,5724,6705,12429,5742,6572,12318,6214,6947,13162,29753,34157,63913,4883,5705,10584,4489,5383,9875,4225,4919,9143,3801,4599,8405,3646,4327,7967,21040,24935,45977,14063,18502,32570,8439,12240,20678,3922,7161,11084,959,2403,3360,113,331,442,1195,1273,2464,653302,683716,1337027
RA41,2286,1182,1296,2482,1265,1326,2583,1306,1395,2703,1246,1385,2636,6116,6570,12687,1386,1351,2739,1344,1356,2708,1291,1445,2731,1329,1321,2654,1323,1316,2639,6674,6790,13465,1252,1364,2615,1289,1297,2590,1218,1321,2541,1323,1309,2629,1246,1261,2505,6326,6548,12881,1217,1324,2541,1235,1230,2467,1192,1185,2381,1143,1190,2332,1230,1280,2503,6013,6215,12228,1068,1011,2089,954,956,1914,852,867,1712,755,769,1524,706,755,1464,4334,4364,8705,2611,2721,5334,1304,1584,2888,531,890,1426,130,294,417,11,37,48,72,71,140,85213,87432,172645
RA42,2744,1471,1342,2816,1512,1467,2979,1545,1520,3064,1605,1514,3117,7531,7190,14726,1611,1636,3245,1533,1570,3098,1557,1495,3058,1533,1450,2987,1512,1434,2952,7756,7592,15345,1570,1415,2986,1467,1411,2873,1536,1343,2875,1450,1403,2848,1357,1333,2688,7370,6899,14274,1375,1307,2681,1390,1309,2704,1372,1227,2608,1168,1174,2342,1326,1323,2652,6639,6347,12978,998,1081,2079,1001,1047,2050,931,943,1869,762,830,1592,723,790,1508,4414,4691,9101,2829,3267,6099,1448,1924,3374,625,1023,1652,123,338,465,11,48,64,760,147,902,102802,99757,202554
RA43,651,375,291,662,360,290,652,410,360,774,416,326,742,1913,1564,3477,415,328,743,394,336,730,372,346,717,344,320,661,351,338,687,1870,1667,3541,332,322,661,342,283,622,331,286,622,342,289,630,309,293,605,1660,1477,3138,301,267,564,269,247,521,272,266,537,259,252,509,268,260,531,1370,1289,2659,220,185,402,228,177,406,195,190,388,179,170,351,180,163,338,999,879,1881,549,546,1101,285,357,642,114,190,307,30,60,87,6,5,12,38,25,66,24945,21922,46869
RA44,254,157,114,274,157,116,269,167,109,278,206,137,344,828,593,1424,216,123,341,166,119,280,150,117,266,154,118,274,158,128,291,844,607,1451,154,120,270,160,130,293,144,116,254,143,128,271,126,118,247,728,606,1336,139,90,226,116,88,201,101,76,173,78,78,156,100,55,152,537,381,914,74,62,142,86,68,149,65,28,94,44,41,84,43,29,69,316,227,544,176,115,286,64,66,126,32,60,93,14,10,22,0,0,0,16,20,35,9968,7776,17743
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,40,0,40
RA50,23814,11416,12322,23736,11639,12414,24054,11662,12427,24087,11300,12080,23378,57522,61554,119071,11059,11955,23008,10651,11750,22405,10291,11383,21669,10039,10983,21018,9680,10748,20431,51716,56819,108533,9881,10759,20643,9257,10504,19765,8868,10168,19037,8821,9821,18647,8591,9531,18120,45427,50781,96208,8479,9216,17690,8136,8960,17097,7821,8870,16690,7888,8490,16380,8233,8908,17144,40555,44444,84999,6402,6886,13287,5944,6515,12457,5738,6345,12089,4902,5602,10506,4943,5521,10460,27926,30867,58797,18463,22885,41346,10186,14536,24720,4338,7684,12017,1018,2311,3329,85,349,438,2696,2595,5293,999236,1048770,2048011
RA51,3061,1487,1552,3038,1497,1606,3104,1504,1622,3130,1505,1660,3164,7513,7979,15490,1576,1694,3266,1461,1571,3028,1485,1572,3062,1432,1616,3049,1466,1454,2922,7419,7904,15329,1509,1545,3053,1356,1422,2778,1371,1361,2740,1276,1403,2677,1337,1272,2607,6842,7009,13853,1323,1296,2623,1222,1281,2514,1271,1153,2422,1200,1155,2357,1263,1262,2529,6287,6151,12441,936,935,1869,872,903,1774,831,822,1651,695,708,1406,689,711,1396,4024,4076,8100,2471,2691,5159,1169,1623,2797,483,794,1279,108,226,336,10,23,35,302,192,493,112330,113614,225941
RA52,2551,1274,1236,2514,1298,1286,2581,1418,1354,2777,1367,1395,2757,6646,6532,13183,1425,1370,2792,1319,1284,2601,1361,1360,2718,1317,1274,2586,1307,1194,2505,6730,6481,13206,1280,1196,2479,1246,1168,2413,1150,1104,2252,1146,1148,2295,1086,1138,2225,5911,5751,11665,1101,992,2092,1075,960,2038,1006,937,1945,1012,919,1932,987,931,1921,5186,4745,9930,759,760,1514,744,689,1434,708,652,1364,590,604,1199,599,631,1230,3395,3337,6735,2147,2302,4449,1111,1401,2513,437,630,1074,89,180,274,8,31,37,265,154,419,93609,91228,184833
RA53,1331,749,593,1344,823,649,1475,803,618,1417,745,592,1333,3876,3025,6900,865,603,1467,765,610,1374,709,667,1375,663,564,1230,734,564,1306,3739,3016,6747,649,573,1225,630,539,1165,566,505,1070,525,447,974,499,518,1023,2873,2588,5458,510,462,971,485,367,849,468,386,852,442,348,788,447,348,796,2355,1900,4251,290,263,549,332,238,565,263,236,497,216,205,422,229,185,409,1321,1125,2449,697,598,1296,285,317,598,99,128,229,13,30,36,0,3,4,224,152,379,55294,47341,102631
RA54,1686,1121,607,1733,1109,620,1732,1143,620,1761,1134,672,1807,5609,3110,8719,1059,659,1717,1044,650,1694,952,633,1587,892,619,1505,893,659,1549,4838,3218,8059,845,663,1512,720,618,1331,719,568,1287,708,561,1276,656,467,1122,3654,2875,6526,628,435,1065,607,423,1032,521,384,902,444,301,743,429,295,729,2631,1835,4464,296,239,541,296,200,499,240,194,436,187,131,318,201,115,318,1219,883,2101,501,344,844,147,106,254,34,47,78,10,27,34,3,3,6,490,300,789,70021,42058,112078
RA55,84,65,8,76,56,10,68,54,9,65,43,13,53,305,43,341,39,8,44,40,7,43,33,7,38,23,9,33,17,5,27,150,40,188,22,9,30,19,8,29,16,6,18,12,3,13,12,0,16,77,28,109,5,12,15,8,3,19,7,9,13,11,0,6,11,6,13,40,31,68,9,4,9,0,9,8,0,0,5,3,0,3,0,5,5,8,17,30,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,143,16,164,3003,413,3413
RA61,3775,1868,2107,3970,2054,2246,4298,1972,2172,4148,2146,2243,4390,9859,10731,20584,2055,2250,4308,1947,2188,4129,1962,2194,4156,1917,2087,4008,1856,2095,3948,9736,10818,20551,1863,2086,3951,1743,1975,3714,1623,1999,3627,1731,1925,3658,1655,1946,3598,8614,9931,18551,1579,1908,3483,1638,1787,3426,1512,1701,3212,1533,1687,3213,1724,1873,3592,7979,8955,16936,1215,1561,2775,1165,1407,2563,1159,1380,2533,990,1164,2155,976,1174,2154,5507,6682,12187,3783,4789,8576,1992,2981,4974,878,1588,2466,171,472,641,11,65,78,457,264,724,167861,176762,344620
RA62,2675,1380,1426,2808,1501,1539,3038,1588,1627,3215,1615,1645,3257,7336,7663,14996,1616,1750,3363,1587,1718,3300,1581,1571,3157,1564,1520,3078,1442,1597,3032,7778,8151,15934,1553,1462,3017,1480,1441,2924,1382,1450,2829,1463,1401,2857,1519,1346,2858,7388,7093,14486,1417,1291,2706,1321,1364,2680,1251,1292,2545,1263,1267,2537,1317,1281,2592,6568,6493,13060,1064,993,2056,914,990,1903,908,921,1832,780,772,1557,755,712,1462,4421,4384,8804,2656,2852,5510,1294,1644,2942,465,787,1252,93,210,297,4,17,19,158,100,259,97701,99791,197497
RA63,141,88,69,159,82,84,167,72,69,143,112,89,205,424,379,805,96,88,186,83,81,161,80,76,157,85,79,167,104,90,193,448,409,856,82,80,165,95,70,159,77,72,148,80,70,149,94,62,152,426,350,782,81,54,138,74,58,138,57,60,114,64,53,117,63,49,120,348,275,621,52,35,85,64,27,87,37,30,64,32,37,74,34,23,56,215,156,370,98,105,205,48,59,108,22,24,46,6,3,7,0,0,0,31,19,45,4781,4181,8965
RA64,25,20,22,43,14,26,39,25,30,54,24,26,49,97,115,208,22,12,28,19,20,41,21,18,33,20,18,38,17,19,37,101,78,179,26,21,45,30,16,48,30,29,55,22,17,43,15,21,35,125,100,227,20,19,35,19,15,38,19,10,35,26,26,54,20,22,38,103,92,197,23,10,38,12,15,25,17,10,21,16,4,18,12,10,25,78,51,129,41,51,90,13,20,35,6,11,14,0,0,5,0,0,0,6,5,3,1291,1164,2455
RA65,5,11,0,11,7,0,6,8,0,5,7,4,8,40,9,43,9,0,10,5,0,5,8,0,10,4,3,10,0,0,0,24,9,28,7,0,6,7,0,7,0,3,6,4,5,7,0,0,0,20,7,24,4,0,4,5,3,8,0,0,0,0,0,0,0,0,0,9,3,8,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,13,299,76,378
RA72,1894,918,880,1803,916,852,1763,968,933,1902,936,871,1811,4699,4467,9165,885,970,1859,833,852,1687,843,808,1652,824,773,1599,759,790,1551,4144,4201,8344,808,731,1543,761,750,1506,748,709,1458,704,678,1383,707,590,1298,3730,3458,7187,616,625,1238,633,556,1192,594,491,1081,535,460,994,529,467,993,2902,2601,5501,399,342,742,328,293,619,305,268,573,268,221,488,250,212,459,1550,1333,2884,739,790,1523,273,313,585,103,149,254,23,31,55,0,0,3,2077,552,2629,79131,76649,155778
RA73,719,354,375,724,385,409,792,375,390,761,379,428,808,1850,1960,3807,389,420,811,361,404,772,387,409,791,383,400,783,410,426,836,1937,2053,3993,391,374,759,357,340,695,365,320,686,331,295,626,320,306,625,1758,1635,3397,304,249,557,286,234,522,232,173,404,204,182,387,211,165,378,1240,1008,2244,153,119,275,124,98,215,97,82,181,101,67,174,85,67,149,557,427,985,242,221,467,69,100,172,28,60,86,4,9,14,0,4,5,122,118,238,28415,28156,56571
RA74,626,296,257,560,294,275,562,282,272,561,276,289,562,1479,1393,2871,348,280,627,266,280,546,269,296,559,285,268,550,255,275,529,1410,1398,2811,282,279,557,249,266,514,235,227,457,224,193,416,241,158,401,1228,1118,2352,195,175,369,194,155,349,164,128,291,132,85,213,126,97,216,804,631,1441,99,61,164,83,54,139,59,50,115,53,33,84,51,27,75,342,226,573,126,99,227,35,32,65,10,4,12,3,3,5,0,0,0,224,95,323,27015,24651,51671
RA75,13,11,0,15,12,0,18,8,3,11,12,0,12,55,3,63,8,3,9,5,0,5,13,0,13,6,0,7,5,0,5,37,3,42,0,3,4,0,3,3,8,3,12,0,5,9,0,5,0,15,17,31,0,4,3,4,0,4,0,0,0,0,0,0,3,0,3,9,6,7,0,0,0,0,0,0,0,0,3,0,0,0,4,0,4,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,17,429,73,494
RA80,4848,2358,2401,4756,2269,2436,4702,2292,2320,4605,2267,2458,4729,11511,12130,23643,2155,2322,4481,2125,2232,4353,1955,2204,4154,1912,2154,4062,1856,2109,3965,10010,11014,21021,1796,2059,3856,1653,1912,3564,1699,1891,3593,1704,1901,3599,1563,1901,3466,8415,9665,18079,1561,1878,3437,1542,1814,3358,1523,1715,3239,1541,1743,3287,1592,1829,3423,7762,8980,16744,1327,1443,2769,1105,1321,2422,1052,1264,2317,893,1095,1986,919,1086,2006,5293,6206,11500,3294,4239,7534,1848,2596,4436,806,1265,2075,193,427,621,11,53,59,553,597,1151,223380,229370,452747
RA81,7,8,0,9,6,4,10,3,5,5,9,8,12,27,16,45,9,6,10,0,11,11,0,8,10,5,3,12,0,0,7,14,31,43,3,6,9,5,0,6,3,0,10,3,0,3,4,4,4,23,15,34,4,6,9,0,0,0,0,3,3,3,3,7,5,0,5,12,9,24,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,5,7,7,4,0,4,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,367,342,708
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA91,9,0,0,3,0,4,0,0,0,0,0,0,0,16,5,21,5,4,5,0,0,3,0,0,5,4,3,4,0,0,0,8,11,12,4,3,0,0,7,5,0,0,0,3,0,3,6,0,5,13,6,21,0,0,0,0,0,0,6,0,6,0,3,5,0,0,0,3,7,10,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,4,8,13,8,5,7,0,0,0,0,0,0,0,0,0,0,0,0,6,0,9,251,209,456
RA94,80,32,35,69,40,37,78,51,35,93,46,56,95,203,202,406,36,41,83,53,40,96,47,46,94,51,39,88,36,53,91,223,226,445,41,39,75,40,55,95,29,25,52,33,36,67,32,30,67,180,176,355,46,25,72,48,35,80,29,26,54,27,20,43,16,15,38,170,121,285,17,22,34,24,17,48,20,8,32,19,16,34,8,8,15,90,80,168,51,53,105,23,24,40,13,12,19,0,0,0,0,0,0,13,5,17,2649,2343,4993
