RA_CODE_2021,M_15_19_Prov_unpaid_assist,M_15_19_No_unpaid_assist_prov,M_15_19_yr_Unpaid_assist_ns,M_15_19_Overseas_visitors,M_15_19_years_Total,M_20_24_Prov_unpaid_assist,M_20_24_No_unpaid_assist_prov,M_20_24_yr_Unpaid_assist_ns,M_20_24_Overseas_visitors,M_20_24_years_Total,M_25_34_Prov_unpaid_assist,M_25_34_No_unpaid_assist_prov,M_25_34_yr_Unpaid_assist_ns,M_25_34_Overseas_visitors,M_25_34_years_Total,M_35_44_Prov_unpaid_assist,M_35_44_No_unpaid_assist_prov,M_35_44_yr_Unpaid_assist_ns,M_35_44_Overseas_visitors,M_35_44_years_Total,M_45_54_Prov_unpaid_assist,M_45_54_No_unpaid_assist_prov,M_45_54_Unpaid_assist_ns,M_45_54_Overseas_visitors,M_45_54_years_Total,M_55_64_Prov_unpaid_assist,M_55_64_No_unpaid_assist_prov,M_55_64_yr_Unpaid_assist_ns,M_55_64_Overseas_visitors,M_55_64_years_Total,M_65_74_Prov_unpaid_assist,M_65_74_No_unpaid_assist_prov,M_65_74_yr_Unpaid_assist_ns,M_65_74_Overseas_visitors,M_65_74_years_Total,M_75_84_Prov_unpaid_assist,M_75_84_No_unpaid_assist_prov,M_75_84_yr_Unpaid_assist_ns,M_75_84_Overseas_visitors,M_75_84_years_Total,M_85_over_Prov_unpaid_assist,M_85ovr_No_unpaid_assist_prov,M_85ovr_over_Unpaid_assist_ns,M_85over_Overseas_visitors,M_85_yr_and_over_Total,M_Tot_Prov_unpaid_assist,M_Tot_No_unpaid_assist_prov,M_Tot_Unpaid_assist_ns,M_Total_Overseas_visitors,M_Total_Total,F_15_19_Prov_unpaid_assist,F_15_19_No_unpaid_assist_prov,F_15_19_yr_Unpaid_assist_ns,F_15_19_Overseas_visitors,F_15_19_years_Total,F_20_24_Prov_unpaid_assist,F_20_24_No_unpaid_assist_prov,F_20_24_yr_Unpaid_assist_ns,F_20_24_Overseas_visitors,F_20_24_years_Total,F_25_34_Prov_unpaid_assist,F_25_34_No_unpaid_assist_prov,F_25_34_yr_Unpaid_assist_ns,F_25_34_Overseas_visitors,F_25_34_years_Total,F_35_44_Prov_unpaid_assist,F_35_44_No_unpaid_assist_prov,F_35_44_yr_Unpaid_assist_ns,F_35_44_Overseas_visitors,F_35_44_years_Total,F_45_54_Prov_unpaid_assist,F_45_54_No_unpaid_assist_prov,F_45_54_Unpaid_assist_ns,F_45_54_Overseas_visitors,F_45_54_years_Total,F_55_64_Prov_unpaid_assist,F_55_64_No_unpaid_assist_prov,F_55_64_yr_Unpaid_assist_ns,F_55_64_Overseas_visitors,F_55_64_years_Total,F_65_74_Prov_unpaid_assist,F_65_74_No_unpaid_assist_prov,F_65_74_yr_Unpaid_assist_ns,F_65_74_Overseas_visitors,F_65_74_years_Total,F_75_84_Prov_unpaid_assist,F_75_84_No_unpaid_assist_prov,F_75_84_yr_Unpaid_assist_ns,F_75_84_Overseas_visitors,F_75_84_years_Total,F_85_over_Prov_unpaid_assist,F_85ovr_No_unpaid_assist_prov,F_85ovr_over_Unpaid_assist_ns,F_85over_Overseas_visitors,F_85_yr_and_over_Total,F_Tot_Prov_unpaid_assist,F_Tot_No_unpaid_assist_prov,F_Tot_Unpaid_assist_ns,F_Total_Overseas_visitors,F_Total_Total,P_15_19_Prov_unpaid_assist,P_15_19_No_unpaid_assist_prov,P_15_19_yr_Unpaid_assist_ns,P_15_19_Overseas_visitors,P_15_19_years_Total,P_20_24_Prov_unpaid_assist,P_20_24_No_unpaid_assist_prov,P_20_24_yr_Unpaid_assist_ns,P_20_24_Overseas_visitors,P_20_24_years_Total,P_25_34_Prov_unpaid_assist,P_25_34_No_unpaid_assist_prov,P_25_34_yr_Unpaid_assist_ns,P_25_34_Overseas_visitors,P_25_34_years_Total,P_35_44_Prov_unpaid_assist,P_35_44_No_unpaid_assist_prov,P_35_44_yr_Unpaid_assist_ns,P_35_44_Overseas_visitors,P_35_44_years_Total,P_45_54_Prov_unpaid_assist,P_45_54_No_unpaid_assist_prov,P_45_54_Unpaid_assist_ns,P_45_54_Overseas_visitors,P_45_54_years_Total,P_55_64_Prov_unpaid_assist,P_55_64_No_unpaid_assist_prov,P_55_64_yr_Unpaid_assist_ns,P_55_64_Overseas_visitors,P_55_64_years_Total,P_65_74_Prov_unpaid_assist,P_65_74_No_unpaid_assist_prov,P_65_74_yr_Unpaid_assist_ns,P_65_74_Overseas_visitors,P_65_74_years_Total,P_75_84_Prov_unpaid_assist,P_75_84_No_unpaid_assist_prov,P_75_84_yr_Unpaid_assist_ns,P_75_84_Overseas_visitors,P_75_84_years_Total,P_85_over_Prov_unpaid_assist,P_85ovr_No_unpaid_assist_prov,P_85ovr_over_Unpaid_assist_ns,P_85over_Overseas_visitors,P_85_yr_and_over_Total,P_Tot_Prov_unpaid_assist,P_Tot_No_unpaid_assist_prov,P_Tot_Unpaid_assist_ns,P_Total_Overseas_visitors,P_Total_Total
RA25,0,0,0,0,0,0,4,9,0,4,4,12,19,0,30,3,39,84,0,131,3,43,121,0,163,3,35,99,0,141,0,7,13,0,16,0,0,0,0,0,0,0,0,0,0,16,138,335,0,493,0,0,0,0,0,0,0,0,0,0,0,7,16,0,17,0,5,8,0,14,0,7,13,0,18,0,6,16,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,49,0,72,0,0,0,0,0,0,4,9,0,4,4,13,38,0,52,3,43,96,0,140,3,48,129,0,182,3,49,111,0,158,0,7,13,0,16,0,0,0,0,0,0,0,0,0,0,16,159,383,0,565
RA30,4257,94532,5632,135,104550,4895,98634,7431,350,111313,12518,203558,17177,1116,234367,19702,191895,13883,600,226077,24941,172961,11111,512,209522,24185,141486,8241,577,174501,16696,115516,7057,577,139842,8989,63559,5515,227,78287,2273,18695,3069,49,24090,118459,1100843,79114,4132,1302548,4899,90019,5327,143,100393,6352,98994,6838,318,112509,20143,211053,15598,829,247620,33769,195033,12593,456,241851,42586,172141,9929,448,225103,40655,142003,7931,738,191326,25379,123442,7326,641,156786,10275,72407,7101,215,90001,1628,30973,6113,55,38772,185679,1136065,78760,3842,1404353,9156,184554,10961,282,204945,11251,197633,14270,664,223817,32656,414614,32774,1945,481984,53474,386922,26475,1052,467925,67523,345105,21042,963,434623,64845,283491,16176,1314,365824,42074,238961,14373,1213,296623,19264,135965,12622,440,168288,3902,49668,9183,108,62861,304136,2236908,157880,7975,2706897
RA31,1504,26896,2586,20,31013,1363,22084,2532,64,26037,3372,44433,5920,262,53984,5445,43552,5181,143,54320,7704,47623,4958,78,60364,9272,52152,4370,79,65870,7559,50925,4034,88,62614,4000,27169,2801,44,34016,904,7008,1163,10,9085,41122,321830,33555,792,397297,1618,25416,2154,17,29205,1694,21406,1876,71,25042,6165,45815,4148,201,56338,10311,44908,4008,77,59304,13328,48081,4022,75,65500,15990,51147,3890,104,71128,10778,49091,3832,94,63796,4250,27964,3268,46,35524,647,10786,1900,7,13346,64771,324607,29107,694,419181,3126,52309,4741,43,60220,3055,43484,4412,130,51077,9540,90244,10074,465,110317,15750,88456,9194,220,113623,21029,95706,8980,149,125862,25255,103298,8263,182,136995,18339,100018,7870,186,126411,8250,55130,6071,88,69542,1550,17792,3067,21,22432,105897,646438,62663,1483,816483
RA32,931,17908,2502,24,21367,865,16768,3457,401,21502,2342,35520,7897,1303,47069,3776,33535,6995,416,44723,5096,36125,6684,172,48073,5675,37906,5992,131,49703,4226,33560,4542,121,42448,1949,15766,2356,48,20121,424,3680,736,13,4848,25284,230782,41162,2627,299859,1032,17126,2254,12,20417,1128,16150,2368,201,19847,3854,36260,5524,567,46207,6508,34498,4449,150,45606,8349,34712,4366,88,47519,8960,35385,4216,112,48679,5738,29891,3612,107,39340,2165,14967,2190,32,19346,302,5371,1118,8,6806,38039,224355,30100,1280,293768,1965,35030,4753,40,41786,1994,32919,5834,608,41353,6197,71786,13424,1872,93280,10278,68039,11444,562,90326,13442,70832,11051,261,95592,14640,73289,10211,243,98383,9962,63455,8150,223,81792,4110,30734,4548,87,39475,728,9055,1856,21,11653,63323,455133,71259,3907,593626
RA33,74,1618,378,0,2072,80,1886,533,41,2541,254,4792,1569,145,6762,367,4249,1481,46,6141,550,4496,1748,12,6806,626,5141,1532,22,7321,393,4232,896,14,5532,144,1626,300,3,2073,28,274,76,0,380,2510,28314,8509,292,39626,87,1359,283,0,1738,85,1892,391,26,2392,379,4464,864,117,5827,572,3472,655,21,4714,691,3529,715,8,4947,814,3983,829,12,5639,477,3218,580,9,4284,145,1246,252,3,1645,13,358,77,3,448,3264,23517,4654,208,31637,167,2982,660,8,3809,162,3777,927,67,4928,633,9252,2430,260,12582,935,7722,2137,63,10857,1238,8026,2460,23,11753,1443,9125,2358,40,12960,870,7449,1479,18,9820,289,2869,553,8,3719,38,628,159,3,830,5772,51834,13159,499,71263
RA34,81,1304,290,4,1676,74,1615,401,32,2123,264,3601,1048,74,4986,271,3032,903,39,4245,336,3396,1003,11,4742,393,3940,968,4,5307,284,3679,709,10,4678,70,1257,267,6,1608,16,203,46,0,263,1794,22025,5636,172,29631,98,1150,228,0,1470,110,1625,302,11,2056,363,3350,623,38,4383,403,2709,500,13,3619,486,2791,526,7,3817,559,3568,704,3,4837,359,2875,507,4,3750,80,953,179,4,1216,21,277,52,0,355,2485,19302,3626,87,25500,175,2456,515,4,3151,188,3241,704,44,4178,627,6953,1680,119,9369,672,5740,1394,47,7862,821,6190,1531,16,8559,953,7505,1678,13,10144,645,6556,1215,12,8433,153,2206,444,9,2818,39,483,97,0,617,4283,41326,9267,262,55129
RA35,0,0,0,0,8,0,6,5,0,8,0,24,40,6,69,3,29,74,6,107,0,32,45,0,77,0,7,16,0,26,0,8,6,4,23,0,0,0,0,0,0,0,0,0,0,9,102,187,17,317,0,3,4,0,6,0,3,4,5,9,0,9,12,7,35,0,3,3,0,7,0,3,0,0,3,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,29,10,65,0,8,10,0,11,0,5,8,5,18,0,30,57,15,102,3,28,77,6,114,0,31,45,0,79,4,14,16,0,34,0,8,6,4,23,0,0,0,0,0,0,0,0,0,0,10,121,220,24,380
RA40,1670,35592,1720,55,39036,2370,40582,2036,82,45071,5781,82781,4775,232,93576,8848,74537,4084,159,87629,11652,66873,3463,161,82153,13269,60386,2798,156,76608,8777,51100,2327,179,62387,4381,28928,1797,62,35165,1332,10995,1095,18,13447,58090,451781,24092,1103,535065,1880,33508,1562,48,36992,2935,38459,1825,63,43283,8953,81603,4129,194,94888,14202,73324,3544,148,91224,18656,63720,2873,143,85384,21261,59055,2540,256,83109,12973,55414,2514,258,71158,5275,35593,2570,75,43517,950,19256,1933,26,22165,87090,459934,23498,1196,571722,3554,69097,3280,101,76034,5307,79047,3857,140,88353,14739,164390,8908,429,188460,23050,147858,7632,306,178851,30311,130594,6337,296,167535,34531,119441,5337,411,159719,21755,106514,4840,437,133544,9658,64526,4367,138,78685,2284,30255,3025,44,35608,145178,911718,47587,2299,1106785
RA41,226,4264,369,0,4857,244,3498,287,8,4029,552,6726,617,19,7907,954,7144,655,13,8769,1526,8734,685,13,10954,1971,10144,669,7,12796,1628,10077,640,11,12356,847,5658,444,4,6954,202,1595,184,5,1982,8144,57833,4549,70,70594,280,4084,364,0,4721,283,3273,189,5,3747,957,6745,441,11,8158,1678,7275,433,6,9404,2587,8371,601,11,11567,3347,9442,576,12,13373,2326,9803,636,5,12769,843,5755,490,9,7095,151,2384,279,5,2817,12451,57126,4005,68,73647,503,8342,727,3,9575,519,6768,478,13,7774,1511,13469,1056,35,16062,2636,14423,1092,19,18170,4116,17101,1287,18,22521,5322,19589,1243,13,26167,3950,19881,1281,16,25122,1686,11417,930,11,14045,360,3970,460,8,4801,20598,114958,8551,135,144244
RA42,281,4837,548,10,5677,272,4377,524,88,5268,748,9297,1339,400,11784,1038,8495,1317,177,11020,1650,9972,1268,46,12939,2182,11854,1251,17,15300,1593,11351,1062,19,14024,760,5748,735,4,7243,200,1731,292,0,2219,8719,67664,8337,753,85470,282,4247,436,5,4970,340,3849,304,5,4496,1169,8832,776,45,10817,1836,8176,792,24,10827,2686,9187,832,14,12716,3347,10467,967,19,14803,2160,10155,930,18,13260,852,6307,799,7,7963,117,2763,463,0,3336,12793,63977,6288,140,83198,561,9088,982,13,10643,612,8226,826,96,9764,1915,18128,2115,443,22602,2874,16664,2105,200,21846,4342,19158,2097,62,25655,5530,22327,2219,33,30105,3758,21499,1999,33,27287,1609,12055,1533,12,15208,313,4487,749,0,5556,21508,131634,14625,893,168665
RA43,39,952,122,0,1117,51,927,149,5,1129,155,2642,505,6,3304,250,2426,478,3,3163,345,2514,478,6,3340,483,2880,418,6,3791,329,2436,263,11,3038,152,1234,162,0,1552,45,337,57,5,439,1849,16348,2640,38,20878,50,831,104,0,985,46,835,98,3,983,240,2221,241,0,2698,348,2002,208,5,2563,513,2037,251,3,2806,703,2305,223,6,3236,445,2118,215,3,2773,164,1134,134,4,1434,35,500,81,0,614,2544,13984,1551,25,18102,91,1788,227,0,2108,97,1765,244,7,2115,396,4861,747,11,6012,600,4428,691,7,5729,860,4556,727,7,6148,1188,5187,645,11,7029,769,4550,479,13,5815,316,2367,297,3,2984,85,830,133,5,1053,4399,30331,4190,66,38979
RA44,29,310,78,0,421,33,386,99,0,517,93,1031,288,3,1413,107,954,268,3,1327,121,1001,333,0,1454,156,1213,294,7,1676,97,991,167,0,1265,33,363,88,0,486,14,68,28,0,107,682,6312,1645,16,8663,23,235,85,0,347,40,316,56,5,407,120,791,181,9,1096,145,628,107,0,876,161,699,142,0,1005,196,850,159,5,1210,115,725,152,0,991,26,262,53,0,344,7,91,27,0,128,834,4597,963,20,6406,52,547,169,0,763,68,698,154,5,925,210,1817,468,11,2512,251,1579,372,3,2203,284,1703,472,0,2462,350,2065,457,11,2888,213,1719,323,0,2249,67,631,142,0,834,25,155,57,0,239,1521,10904,2610,35,15069
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,5,19,0,4,6,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,11,7,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,5,19,0,4,6,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,11,7,40
