RA_CODE_2021,P_55_64_Ud_wk_L_5_hrs,P_55_64_Ud_wk_5_14_hrs,P_55_64_Ud_wk_15_29_hrs,P_55_64_Ud_wk_30h_more,P_55_64_no_Ud_wk,P_55_64_Ud_wk_ns,P_55_64_OS_vis,P_55_64_yr_Tot,P_65_74_Ud_wk_L_5_hrs,P_65_74_Ud_wk_5_14_hrs,P_65_74_Ud_wk_15_29_hrs,P_65_74_Ud_wk_30h_more,P_65_74_no_Ud_wk,P_65_74_Ud_wk_ns,P_65_74_OS_vis,P_65_74_yr_Tot,P_75_84_Ud_wk_L_5_hrs,P_75_84_Ud_wk_5_14_hrs,P_75_84_Ud_wk_15_29_hrs,P_75_84_Ud_wk_30h_more,P_75_84_no_Ud_wk,P_75_84_Ud_wk_ns,P_75_84_OS_vis,P_75_84_yr_Tot,P_85ov_Ud_wk_L_5_h,P_85ov_Ud_wk_5_14_h,P_85ov_Ud_wk_15_29_h,P_85ov_Ud_wk_30h_more,P_85ov_no_Ud_wk,P_85ov_Ud_wk_ns,P_85ov_OS_vis,P_85_yr_over_Tot,P_Tot_Ud_wk_L_5_hrs,P_Tot_Ud_wk_5_14_hrs,P_Tot_Ud_wk_15_29_hrs,P_Tot_Ud_wk_30h_more,P_Tot_no_Ud_wk,P_Tot_Ud_wk_ns,P_Tot_OS_vis,P_Total_Tot
RA40,28545,55554,24318,13039,32489,5363,411,159719,17056,37439,24386,15734,33633,4851,437,133544,9368,17286,12176,8859,26542,4321,138,78685,4070,5102,2698,1962,18711,3011,44,35608,233133,319506,138093,88489,278588,46665,2299,1106785
RA41,4418,9000,4655,2715,4130,1231,13,26167,2905,6552,5109,4021,5251,1279,16,25122,1456,2906,2382,2102,4241,951,11,14045,507,691,394,339,2401,455,8,4801,27438,41644,22167,15956,28487,8420,135,144244
RA42,4884,9124,4654,2920,6280,2208,33,30105,3034,6263,4763,3939,7208,2036,33,27287,1473,2674,1990,2069,5446,1551,12,15208,518,714,464,354,2779,722,0,5556,29410,44220,22246,17049,40345,14507,893,168665
RA43,1075,2180,1109,655,1342,659,11,7029,696,1403,1019,875,1314,488,13,5815,313,570,438,458,912,290,3,2984,102,148,94,69,503,129,5,1053,6834,10507,5145,3940,8303,4189,66,38979
RA44,470,775,347,183,650,452,11,2888,313,482,299,244,599,314,0,2249,90,135,93,90,279,145,0,834,19,34,16,12,104,60,0,239,2604,3597,1678,1120,3471,2565,35,15069
RA45,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,19,8,7,40
RA50,41567,75602,32388,20051,49218,8781,927,228534,23601,48927,30585,22223,48234,7638,792,182000,11721,21404,14258,11609,33933,7222,263,100405,4692,5901,3027,2219,19092,5566,78,40577,355979,456489,188266,140849,420872,84013,4920,1651383
RA51,5003,9855,4968,3428,5518,2041,39,30855,3091,6571,4838,4094,6013,1679,26,26320,1452,2650,2058,1905,4025,1174,17,13278,515,660,376,329,1914,661,5,4449,34235,49565,24242,20091,38655,15625,465,182875
RA52,4333,8051,3833,2536,5193,2436,37,26422,2629,5133,3438,3234,5131,2024,41,21632,1235,2071,1510,1619,3504,1253,16,11204,442,530,349,300,1700,581,7,3908,27581,39287,18329,15278,33458,16282,400,150616
RA53,2349,3557,1398,991,2906,2437,45,13690,1293,2132,1241,1026,2573,1445,36,9748,484,720,442,407,1085,607,4,3751,99,145,56,62,351,166,0,870,15095,20244,7928,6397,17777,14973,367,82788
RA54,2540,3602,1315,785,4576,3954,66,16848,1609,2469,1199,899,3199,1623,39,11025,376,561,316,289,959,446,0,2952,47,49,25,23,162,64,3,380,15528,19343,7193,5053,25330,25426,781,98652
RA55,39,46,15,11,208,218,29,560,20,20,9,7,67,53,0,178,3,11,3,0,7,6,0,32,0,0,0,0,0,0,4,3,221,231,78,61,1268,1385,164,3410
RA61,7271,14458,6204,3277,8295,1624,77,41210,4315,9666,6502,4296,9005,1698,54,35536,2217,4416,2893,2489,7296,1441,27,20784,914,1220,610,466,4127,815,12,8170,59269,82865,35256,22508,70876,14599,691,286061
RA62,4773,9585,5098,3464,6304,1705,24,30953,2912,6566,4988,4201,7122,1757,23,27563,1340,2603,1983,2079,4981,1316,12,14322,467,595,331,282,2232,606,4,4518,28855,44600,23175,18114,39032,10970,254,164997
RA63,244,456,253,159,389,156,3,1668,161,330,223,219,356,119,4,1411,54,88,80,88,194,75,0,574,11,13,11,13,81,27,4,160,1243,1929,983,858,1911,860,41,7825
RA64,74,116,58,35,85,24,0,388,63,108,84,52,80,28,0,421,22,39,42,38,53,29,0,221,8,5,4,3,24,0,0,56,377,556,317,211,418,190,3,2081
RA65,7,15,3,3,16,25,0,77,3,13,0,0,7,0,0,33,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,35,53,20,13,125,116,13,374
RA72,3068,5275,2084,1174,3758,2146,150,17665,1844,3171,1668,1068,3391,1543,83,12766,584,922,514,363,1493,536,22,4433,112,129,44,36,431,138,6,904,24733,33039,12327,8053,30173,15402,2555,126296
RA73,1460,2089,754,394,1885,1224,39,7838,822,1317,615,407,1546,921,17,5657,192,280,136,109,492,237,10,1463,37,25,13,12,142,41,0,273,9554,10953,4119,2780,11386,7030,236,46061
RA74,1089,1480,613,333,1242,926,29,5712,622,872,422,224,1079,572,15,3810,120,119,66,51,325,124,0,800,20,12,7,5,42,0,0,85,8950,10170,4643,2663,8123,6132,321,40999
RA75,4,6,4,0,54,34,0,106,0,0,0,0,20,11,0,40,0,0,0,0,6,3,0,10,0,0,0,0,0,0,0,0,22,44,12,9,237,155,17,494
RA80,8256,17525,7445,3305,6640,1494,179,44848,4735,11561,6934,3777,6451,1355,152,34970,2500,5117,3274,2200,4860,1079,49,19076,1017,1313,679,434,2999,757,7,7201,85335,122075,46639,24446,73615,17050,1020,370173
RA81,23,32,15,4,11,12,0,88,5,11,10,12,5,11,0,56,0,3,4,0,0,0,0,12,0,0,0,0,0,0,0,7,139,181,77,33,65,43,0,542
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA91,3,7,7,0,3,8,0,38,3,6,0,5,3,14,0,27,0,0,0,0,7,9,0,16,0,0,0,0,0,0,0,0,62,65,20,34,133,78,9,396
RA94,140,258,113,61,138,146,5,856,67,167,79,75,149,96,0,642,28,59,20,37,85,43,0,271,8,6,10,8,17,7,0,63,656,1020,450,300,833,957,17,4232
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
