RA_CODE_2021,M_15_19_Marr_a_reg_marr,M_15_19_Marr_a_de_facto_marr,M_15_19_yr_N_married,M_15_19_yr_Tot,M_20_24_Marr_a_reg_marr,M_20_24_Marr_a_de_facto_marr,M_20_24_yr_N_married,M_20_24_yr_Tot,M_25_34_Marr_a_reg_marr,M_25_34_Marr_a_de_facto_marr,M_25_34_yr_N_married,M_25_34_yr_Tot,M_35_44_Marr_a_reg_marr,M_35_44_Marr_a_de_facto_marr,M_35_44_yr_N_married,M_35_44_yr_Tot,M_45_54_Marr_a_reg_marr,M_45_54_Marr_a_de_facto_marr,M_45_54_yr_N_married,M_45_54_yr_Tot,M_55_64_Marr_a_reg_marr,M_55_64_Marr_a_de_facto_marr,M_55_64_yr_N_married,M_55_64_yr_Tot,M_65_74_Marr_a_reg_marr,M_65_74_Marr_a_de_facto_marr,M_65_74_yr_N_married,M_65_74_yr_Tot,M_75_84_Marr_a_reg_marr,M_75_84_Marr_a_de_facto_marr,M_75_84_yr_N_married,M_75_84_yr_Tot,M_85_over_Marr_a_reg_marr,M_85ov_Marr_a_de_facto_marr,M_85_yr_over_N_married,M_85_yr_over_Tot,M_Tot_Marr_a_reg_marr,M_Tot_Marr_a_de_facto_marr,M_Tot_N_married,M_Tot_Tot,F_15_19_Marr_a_reg_marr,F_15_19_Marr_a_de_facto_marr,F_15_19_yr_N_married,F_15_19_yr_Tot,F_20_24_Marr_a_reg_marr,F_20_24_Marr_a_de_facto_marr,F_20_24_yr_N_married,F_20_24_yr_Tot,F_25_34_Marr_a_reg_marr,F_25_34_Marr_a_de_facto_marr,F_25_34_yr_N_married,F_25_34_yr_Tot,F_35_44_Marr_a_reg_marr,F_35_44_Marr_a_de_facto_marr,F_35_44_yr_N_married,F_35_44_yr_Tot,F_45_54_Marr_a_reg_marr,F_45_54_Marr_a_de_facto_marr,F_45_54_yr_N_married,F_45_54_yr_Tot,F_55_64_Marr_a_reg_marr,F_55_64_Marr_a_de_facto_marr,F_55_64_yr_N_married,F_55_64_yr_Tot,F_65_74_Marr_a_reg_marr,F_65_74_Marr_a_de_facto_marr,F_65_74_yr_N_married,F_65_74_yr_Tot,F_75_84_Marr_a_reg_marr,F_75_84_Marr_a_de_facto_marr,F_75_84_yr_N_married,F_75_84_yr_Tot,F_85_over_Marr_a_reg_marr,F_85ov_Marr_a_de_facto_marr,F_85_yr_over_N_married,F_85_yr_over_Tot,F_Tot_Marr_a_reg_marr,F_Tot_Marr_a_de_facto_marr,F_Tot_N_married,F_Tot_Tot,P_15_19_Marr_a_reg_marr,P_15_19_Marr_a_de_facto_marr,P_15_19_yr_N_married,P_15_19_yr_Tot,P_20_24_Marr_a_reg_marr,P_20_24_Marr_a_de_facto_marr,P_20_24_yr_N_married,P_20_24_yr_Tot,P_25_34_Marr_a_reg_marr,P_25_34_Marr_a_de_facto_marr,P_25_34_yr_N_married,P_25_34_yr_Tot,P_35_44_Marr_a_reg_marr,P_35_44_Marr_a_de_facto_marr,P_35_44_yr_N_married,P_35_44_yr_Tot,P_45_54_Marr_a_reg_marr,P_45_54_Marr_a_de_facto_marr,P_45_54_yr_N_married,P_45_54_yr_Tot,P_55_64_Marr_a_reg_marr,P_55_64_Marr_a_de_facto_marr,P_55_64_yr_N_married,P_55_64_yr_Tot,P_65_74_Marr_a_reg_marr,P_65_74_Marr_a_de_facto_marr,P_65_74_yr_N_married,P_65_74_yr_Tot,P_75_84_Marr_a_reg_marr,P_75_84_Marr_a_de_facto_marr,P_75_84_yr_N_married,P_75_84_yr_Tot,P_85_over_Marr_a_reg_marr,P_85ov_Marr_a_de_facto_marr,P_85_yr_over_N_married,P_85_yr_over_Tot,P_Tot_Marr_a_reg_marr,P_Tot_Marr_a_de_facto_marr,P_Tot_N_married,P_Tot_Tot
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA30,41,959,95077,96071,1941,14396,83213,99549,56872,57998,97056,211927,122611,33789,52481,208881,120853,23725,50327,194900,103822,15008,42710,161538,87586,7467,31735,126786,48912,2443,17454,68815,10604,353,7238,18199,553247,156136,477292,1186673,72,1719,89741,91531,3870,20680,75915,100462,78083,61547,87521,227149,134975,32180,60069,227226,123681,22496,66289,212470,101597,13319,63073,177985,80224,5591,57360,143168,35224,1526,42052,78796,4846,171,20835,25857,562565,159226,562852,1284639,110,2678,184818,187603,5805,35071,159130,200015,134953,119540,184581,439070,257588,65972,112547,436106,244534,46216,116618,407376,205416,28325,105778,339521,167810,13057,89090,269957,84135,3972,59501,147608,15456,524,28076,44059,1115809,315361,1040139,2471315
RA31,13,433,27268,27708,715,4188,17103,22001,14004,11960,19551,45516,26265,7560,13484,47310,30802,6990,15557,53344,35648,5951,16814,58413,36818,3437,14327,54589,20512,1182,7977,29667,4039,159,2892,7094,168817,41852,134975,345649,39,789,25054,25879,1393,5928,14322,21646,19199,12920,18293,50413,30877,8083,15409,54365,34423,7309,18225,59955,38399,5674,19990,64068,34086,2772,19478,56335,14843,770,15352,30968,1814,78,7289,9185,175079,44328,153411,372818,45,1222,52317,53586,2109,10113,31420,43653,33211,24874,37843,95925,57142,15644,28889,101673,65226,14297,33776,113296,74046,11625,36809,122486,70904,6212,33809,110924,35358,1951,23332,60639,5856,237,10185,16281,343894,86182,288388,718466
RA32,9,323,17836,18167,363,3315,12153,15828,9061,10224,14934,34223,18035,6437,9903,34374,20744,5578,11498,37814,21845,4317,12588,38756,19800,2203,10057,32061,10087,660,4831,15573,1939,89,1540,3568,101889,33130,95337,230363,18,621,16482,17125,701,4734,10185,15617,12877,11128,13579,37590,21647,6809,11160,39612,22611,5638,12817,41069,22684,3933,13266,39878,17451,1604,11491,30543,7087,409,7946,15435,807,31,3575,4410,105871,34905,100497,241278,26,948,34322,35291,1064,8046,22334,31445,21946,21351,28507,71810,39681,13238,21067,73983,43357,11212,24312,78880,44531,8249,25854,78634,37246,3810,21549,62601,17169,1062,12778,31014,2750,121,5112,7980,207769,68036,195833,471642
RA33,0,51,1538,1589,46,354,1132,1536,1032,1159,1459,3653,1751,688,938,3376,1883,549,1277,3707,2113,432,1529,4078,1646,232,1130,3008,773,60,558,1390,132,3,126,258,9378,3524,9690,22593,4,97,1265,1364,67,532,938,1536,1443,1267,1372,4083,1974,728,924,3627,2037,552,1048,3633,2084,384,1071,3544,1456,166,838,2468,513,36,603,1142,61,8,230,292,9638,3758,8287,21679,4,145,2803,2952,115,886,2065,3073,2474,2430,2834,7736,3728,1414,1865,7000,3917,1094,2325,7336,4199,819,2608,7619,3102,397,1971,5471,1284,90,1157,2535,189,7,357,553,19013,7280,17974,44276
RA34,3,46,1184,1230,22,326,948,1306,585,1027,1195,2809,941,686,681,2304,1062,584,861,2509,1287,375,955,2616,944,144,757,1851,398,34,351,781,71,0,80,151,5319,3230,7018,15561,3,72,1028,1103,48,455,898,1404,766,1109,1278,3151,1099,734,853,2681,1202,562,848,2609,1323,293,953,2565,743,111,673,1532,265,17,429,712,36,0,196,240,5476,3360,7153,15996,3,113,2215,2332,75,781,1849,2706,1352,2141,2467,5955,2035,1420,1533,4986,2262,1147,1712,5125,2610,667,1912,5182,1687,258,1432,3383,668,48,782,1495,113,4,276,392,10798,6588,14171,31559
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
RA40,13,228,36049,36288,686,4000,36562,41247,24273,19519,42749,86536,48094,11390,22447,81937,45504,8712,23002,77224,44136,6461,21633,72227,39982,3314,15228,58519,23233,1003,7872,32116,6156,158,4117,10430,232069,54792,209667,496525,33,402,33588,34019,1648,5967,31787,39404,33387,20808,34527,88726,51865,11255,23479,86594,46226,8443,26757,81430,43909,5912,29103,78925,37556,2764,26794,67110,17838,669,20746,39255,2782,80,12123,14985,235240,56308,238903,530453,39,628,69637,70304,2328,9973,68355,80654,57658,40326,77273,175260,99955,22647,45928,168529,91733,17158,49762,158650,88051,12369,50739,151152,77533,6078,42019,125631,41073,1677,28623,71368,8941,243,16238,25417,467309,111099,448566,1026973
RA41,0,34,4500,4531,84,429,3022,3537,2130,1839,3010,6983,4476,1384,2039,7901,5877,1432,2730,10045,7162,1376,3228,11772,7896,811,2644,11349,4653,244,1463,6361,963,29,610,1601,33247,7585,23244,64072,9,65,4253,4333,157,693,2410,3258,2945,2016,2525,7487,5289,1440,2102,8834,6460,1549,2740,10743,7620,1304,3432,12361,7570,675,3485,11724,3441,149,2828,6418,475,22,1408,1903,33967,7912,25182,67062,6,103,8750,8866,243,1118,5429,6794,5078,3858,5534,14472,9762,2822,4137,16732,12335,2978,5469,20785,14781,2685,6662,24132,15470,1486,6130,23079,8095,391,4287,12775,1436,55,2012,3503,67213,15495,48430,131138
RA42,0,67,5053,5122,102,806,3404,4313,2465,2701,4165,9336,4607,1516,2835,8955,5720,1458,3823,10995,7453,1356,4399,13206,7919,713,3511,12151,4390,220,1691,6294,949,24,760,1730,33598,8860,29644,72102,8,151,4318,4470,220,1162,2483,3869,3285,2829,3467,9578,5421,1610,2729,9751,6350,1512,3572,11425,7901,1247,3966,13114,7343,571,3840,11747,3304,146,3464,6917,435,15,1760,2209,34257,9226,29589,73079,4,216,9367,9589,328,1967,5889,8186,5751,5530,7633,18908,10022,3128,5560,18700,12066,2966,7397,22430,15354,2597,8367,26320,15256,1283,7352,23899,7696,359,5155,13208,1382,37,2518,3940,67858,18085,59234,145176
RA43,0,21,946,962,17,175,612,800,628,610,821,2056,1134,394,562,2093,1242,333,706,2273,1506,288,930,2727,1530,188,663,2385,898,36,360,1294,196,3,149,347,7148,2050,5746,14948,0,32,793,825,41,256,447,744,854,678,636,2172,1302,390,498,2188,1362,341,633,2338,1582,297,760,2644,1408,127,725,2260,655,19,554,1235,95,5,319,414,7303,2152,5370,14822,0,52,1739,1794,59,434,1056,1543,1481,1292,1458,4229,2438,782,1059,4276,2601,674,1339,4616,3087,590,1692,5369,2939,314,1394,4642,1554,58,920,2533,295,5,463,761,14450,4200,11113,29767
RA44,6,7,324,336,34,47,209,293,203,216,294,711,335,120,196,650,314,152,262,727,354,118,380,861,354,42,267,672,154,10,147,309,38,0,36,74,1794,720,2120,4630,9,17,265,291,38,76,187,307,287,228,295,810,347,130,198,676,346,147,235,730,367,105,246,713,307,33,201,540,110,9,118,232,20,0,62,78,1824,750,1812,4384,18,24,589,632,74,130,406,603,489,442,584,1519,679,251,396,1329,655,300,499,1460,721,225,628,1572,668,78,472,1210,259,15,264,540,55,0,94,148,3617,1468,3932,9016
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA50,23,405,57653,58084,990,6269,51715,58969,36169,31761,60695,128623,80628,19070,33143,132839,76077,12800,29778,118649,67408,8832,26503,102739,56866,4321,19586,80778,30639,1321,10446,42399,7458,223,4577,12262,356252,84998,294091,735348,32,742,54199,54979,2372,9987,45744,58103,54277,36237,50164,140672,90858,19086,34529,144468,79608,12859,36268,128741,67344,7943,37159,112443,51777,3299,34624,89705,22291,856,25214,48355,3538,106,13724,17365,372092,91118,331627,794838,55,1152,111855,113065,3359,16255,97459,117076,90443,68001,110850,269297,171484,38154,67670,277305,155682,25660,66051,247395,134754,16770,63661,215185,108645,7619,54212,170478,52926,2172,35656,90757,10994,333,18303,29633,728348,176118,625721,1530184
RA51,4,69,6151,6227,98,769,3534,4402,2676,2704,4051,9440,6371,2003,2902,11281,7670,1787,3314,12770,8258,1500,3273,13028,7968,831,2883,11679,4187,215,1364,5768,853,31,534,1413,38081,9915,27999,75998,7,134,5750,5888,191,1125,2709,4025,4104,3191,3511,10805,7978,2230,3389,13598,8662,2012,3984,14668,8799,1472,4068,14336,7374,597,3881,11844,2994,150,2866,6010,417,11,1487,1906,40529,10920,31635,83077,15,206,11897,12115,291,1892,6245,8427,6782,5902,7562,20249,14351,4232,6296,24877,16337,3799,7305,27432,17054,2970,7334,27359,15335,1426,6760,23523,7181,366,4225,11768,1262,42,2017,3322,78608,20833,59634,159077
RA52,3,98,4428,4530,94,787,2812,3696,2343,2473,3456,8270,4581,1592,2448,8619,5462,1420,2997,9878,6354,1306,3376,11039,5837,653,2720,9217,3138,181,1357,4672,737,33,523,1294,28550,8543,24119,61214,7,199,4014,4216,216,1167,2038,3414,3293,2675,2873,8837,5586,1728,2465,9786,6050,1562,2980,10599,6596,1179,3301,11079,5338,478,3067,8882,2299,130,2354,4787,333,12,1177,1524,29721,9131,24265,63114,9,292,8440,8746,315,1950,4851,7113,5634,5146,6330,17107,10170,3322,4918,18406,11511,2981,5980,20475,12950,2487,6679,22117,11177,1135,5784,18097,5434,312,3710,9462,1071,45,1700,2813,58272,17673,48387,124325
RA53,0,35,1782,1815,43,374,1198,1622,1369,1649,1777,4791,2968,1193,1272,5431,2546,841,1394,4783,2316,545,1462,4321,1543,206,885,2635,676,49,393,1110,147,3,116,269,11606,4893,10273,26779,5,71,1502,1578,74,571,886,1529,1992,1908,1549,5451,3221,1150,1124,5496,2572,777,1124,4466,2157,481,1114,3750,1296,130,804,2235,483,33,523,1034,71,5,204,282,11871,5119,8828,25823,5,106,3283,3391,116,947,2089,3150,3361,3557,3327,10243,6193,2341,2394,10926,5116,1613,2519,9251,4470,1024,2580,8072,2837,337,1688,4868,1163,82,910,2150,221,10,319,544,23476,10010,19106,52605
RA54,18,39,1094,1146,88,233,777,1096,768,941,1201,2903,1219,647,913,2781,1114,477,980,2576,1035,377,930,2351,639,153,678,1466,257,42,229,526,34,0,48,83,5172,2914,6844,14927,36,66,993,1098,103,351,766,1225,1034,1048,1284,3372,1360,672,897,2930,1100,503,884,2488,974,306,853,2134,494,100,553,1151,169,21,257,444,15,8,82,105,5291,3076,6581,14949,52,107,2084,2244,195,583,1547,2320,1803,1991,2483,6275,2586,1320,1812,5711,2220,978,1868,5065,2012,691,1786,4478,1129,261,1227,2619,430,59,492,978,42,8,135,182,10468,5984,13423,29875
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA61,0,78,8870,8952,205,1296,7847,9348,6541,5873,12148,24561,10277,3601,5336,19217,10224,2738,5379,18343,10702,2045,5353,18102,10299,1041,3979,15315,5837,340,2226,8405,1347,43,1023,2409,55434,17057,52159,124652,7,145,8270,8422,466,1898,6765,9128,8364,6324,10076,24761,10937,3528,6424,20890,10890,2671,6931,20490,10890,1815,7420,20130,9449,823,7342,17612,4442,203,5653,10295,651,22,2859,3531,56102,17427,61738,135266,10,222,17138,17374,668,3196,14605,18480,14905,12189,22222,49317,21218,7131,11763,40113,21115,5409,12304,38832,21594,3862,12779,38227,19749,1861,11318,32929,10276,543,7884,18705,2000,69,3875,5945,111537,34483,113890,259916
RA62,3,32,4896,4926,128,743,3320,4195,2467,2632,3974,9068,4535,1898,2558,8991,5860,1863,3401,11123,7994,1716,4044,13756,8234,963,3558,12761,4437,253,1786,6480,840,29,619,1486,34499,10139,28154,72792,6,78,4432,4518,249,1051,2634,3934,3292,2923,3406,9621,5298,1939,2879,10119,6635,1926,3622,12183,8523,1534,4424,14484,7522,695,4352,12570,3096,146,3314,6549,381,8,1499,1891,35004,10297,30565,75872,13,112,9327,9445,383,1796,5959,8130,5754,5553,7381,18692,9833,3839,5439,19112,12491,3789,7018,23305,16521,3250,8468,28235,15757,1664,7910,25340,7534,401,5097,13028,1226,40,2122,3382,69508,20433,58718,148664
RA63,0,0,114,117,0,19,104,129,105,100,187,394,142,86,127,357,197,76,206,480,304,72,264,638,358,44,232,634,163,9,92,263,23,0,31,55,1291,418,1363,3070,0,4,89,94,11,38,70,119,130,126,152,407,178,86,94,352,199,71,130,401,345,87,194,623,306,32,174,514,100,6,126,232,9,0,42,54,1273,449,1068,2795,0,5,207,216,14,65,168,247,239,225,338,804,316,175,219,712,390,153,338,877,650,155,458,1266,662,76,406,1146,263,15,217,495,32,0,70,108,2570,869,2432,5868
