RA_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_ns,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_yr_arr_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arr_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,USA_2016,USA_2017,USA_2018,USA_2019,USA_2020,USA_2021,USA_Yr_arrival_ns,USA_Tot,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arr_ns,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_ns,Tot_Tot
RA25,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,4,8,6,13,4,0,0,0,0,0,0,0,41
RA30,6,23,139,975,5254,4505,8825,6165,1289,1295,1646,2276,679,234,778,34080,199,144,205,424,1598,596,683,392,95,98,82,95,40,11,91,4764,9,61,225,625,741,831,1723,834,222,239,245,279,170,72,144,6419,20,110,406,1595,2779,5638,15742,5707,1236,1331,1237,1476,648,355,503,38783,27,113,333,475,1029,1246,2971,1818,242,320,349,481,186,60,159,9812,0,0,15,73,1643,3846,3329,2331,565,583,778,853,371,49,305,14746,0,3,30,198,809,1023,3120,2072,558,519,506,651,311,61,286,10142,3017,9815,27699,20936,18767,14975,38768,16104,2718,2415,2294,2512,1401,558,4136,166116,72,162,674,1272,1335,1848,3756,2455,547,551,584,719,663,204,288,15135,0,18,55,2579,5479,3101,3591,2858,653,738,673,849,491,122,794,21999,1202,3346,7932,11825,15454,18644,35171,22672,6484,6223,7231,9069,3530,778,3424,152990,7775,25309,52604,65472,102186,109882,239020,137458,29812,29893,33598,40244,17127,5801,21534,917716
RA31,0,6,22,198,1044,762,2166,2476,531,446,505,635,226,93,259,9370,23,27,41,54,155,58,54,43,0,11,0,0,9,0,11,489,4,16,53,97,47,41,116,70,25,33,35,54,42,29,22,686,7,36,118,297,361,761,3001,895,154,225,186,315,148,44,135,6678,3,18,58,58,50,51,307,313,66,65,57,98,82,34,19,1275,0,0,0,6,15,73,128,192,66,62,192,279,102,0,29,1145,0,0,9,31,96,111,435,455,102,76,102,133,52,7,84,1704,1026,3742,9704,5828,4137,2480,5255,1928,292,280,223,305,180,71,1412,36865,20,49,266,331,308,322,579,350,80,74,62,91,51,20,63,2663,0,0,4,56,116,107,413,229,68,75,44,62,32,4,86,1287,331,953,1912,2091,1829,1435,4139,2192,480,657,606,895,391,276,684,18859,2215,8051,15767,15025,15766,12010,26801,15508,3106,3604,4199,6044,2399,917,4791,136200
RA32,0,4,24,172,933,740,1839,1546,344,278,367,379,153,46,192,7028,12,14,27,39,169,49,92,57,15,9,6,20,6,0,19,529,5,11,44,89,60,42,71,49,6,12,8,9,0,4,17,419,7,20,83,179,251,365,1531,501,74,119,110,192,111,49,55,3648,6,7,44,64,95,62,210,136,41,27,44,46,33,9,13,854,0,0,0,4,11,39,110,193,46,47,65,113,22,4,14,663,0,0,6,39,172,230,617,358,96,66,89,112,37,18,86,1919,557,1997,5286,3345,2763,2156,3813,1647,288,273,270,419,182,63,805,23865,15,40,154,304,246,283,474,288,64,79,87,114,81,24,48,2279,0,0,0,50,120,101,261,202,43,49,58,56,36,11,57,1052,207,693,1566,2028,2214,1917,3944,2666,604,676,905,1814,837,420,813,21304,1499,5570,10333,10480,12454,10740,22409,13479,2703,2748,3467,5213,2330,927,3674,108043
RA33,0,0,5,6,96,82,232,202,33,37,54,55,21,12,24,865,5,0,0,0,3,0,0,5,0,0,5,7,0,0,0,26,0,0,3,12,0,4,3,11,0,0,0,0,0,0,0,34,0,4,13,16,28,32,190,76,11,20,19,55,21,4,19,511,0,0,3,0,4,0,4,28,3,4,3,4,4,0,0,68,0,0,0,0,5,5,5,6,3,5,6,9,4,0,0,43,0,0,0,7,4,10,29,23,8,5,8,7,0,0,4,114,32,186,445,235,188,138,231,125,12,28,21,44,27,8,75,1802,0,3,15,27,18,11,34,27,3,11,13,4,9,4,9,187,0,0,0,3,0,4,9,13,3,0,8,6,8,0,0,63,20,63,139,153,112,121,289,205,46,46,81,224,110,36,62,1710,107,453,829,803,924,828,1768,1322,235,276,330,611,291,112,375,9269
RA34,0,0,0,7,23,19,64,45,12,8,10,11,4,0,7,213,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,14,0,4,4,6,3,6,0,3,0,0,0,0,0,0,0,26,0,0,0,12,8,32,91,21,0,0,6,5,6,4,0,196,0,0,6,4,0,0,8,6,0,0,0,3,0,0,0,32,0,0,0,0,0,7,3,0,0,0,0,4,0,0,0,14,0,0,0,0,4,0,10,16,0,4,3,0,0,0,0,46,24,126,301,161,124,97,136,55,14,10,11,27,13,0,51,1154,3,0,9,11,4,18,26,16,7,4,5,9,0,4,3,108,0,0,0,0,0,0,19,23,18,13,9,43,4,0,9,139,10,38,80,140,107,84,134,81,19,26,38,58,30,10,60,912,68,301,547,561,603,483,837,471,108,121,139,262,102,28,205,4844
RA35,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,4,0,4,6,8,4,12,3,0,4,48
RA40,0,5,23,271,1637,1508,3323,2683,535,526,590,879,307,76,274,12656,205,217,304,293,1977,701,408,159,41,24,27,29,15,3,91,4495,4,30,100,261,282,249,637,373,125,138,133,164,82,21,35,2646,12,40,166,388,429,739,2366,904,248,206,409,487,258,47,95,6792,6,34,64,182,255,258,1094,1175,225,332,436,527,272,25,91,4966,0,0,0,11,97,176,320,434,92,103,118,109,57,8,33,1555,0,4,3,79,554,400,808,452,112,80,113,145,74,29,88,2946,1428,8214,27958,14385,7582,4800,13174,5208,615,570,602,712,419,211,2248,88129,15,42,230,457,466,545,979,660,156,144,173,161,180,58,94,4351,0,7,33,1875,4606,2395,2260,1783,527,522,639,721,415,66,514,16365,1173,2296,3521,3370,5334,7040,12464,8115,2776,2189,2522,2964,1256,259,1182,56463,5255,25962,45842,28631,32038,28134,75995,51871,13156,13706,16164,19507,8437,1780,8156,374637
RA41,0,0,5,23,86,64,233,327,54,73,45,80,26,5,37,1047,0,7,16,27,67,10,12,0,0,0,0,0,0,0,4,138,0,0,13,11,13,8,7,6,4,0,3,0,5,0,4,81,0,13,27,40,56,62,188,63,6,10,19,12,0,0,8,498,0,9,4,18,8,0,5,17,7,8,9,9,0,0,0,90,0,0,0,0,0,0,12,21,9,0,0,10,0,5,3,61,0,0,0,7,14,12,50,39,11,18,15,18,12,3,11,208,221,1488,4850,2278,1060,647,1331,457,51,46,30,47,38,4,521,13072,0,7,30,72,63,60,114,52,8,5,11,12,13,0,17,459,0,0,3,28,57,38,78,46,29,28,8,10,6,0,32,365,98,226,312,234,188,200,313,185,45,52,51,83,96,29,77,2198,561,2911,6029,3382,2222,1542,3125,1708,304,340,295,428,249,61,931,24084
RA42,0,0,0,35,135,104,262,352,78,79,78,93,34,23,54,1324,12,3,21,9,26,21,5,0,0,0,0,0,0,0,0,106,0,0,6,8,12,3,11,4,0,3,0,0,0,0,5,51,0,0,16,28,20,57,220,120,27,21,33,41,40,10,16,640,0,3,0,5,3,7,23,44,6,22,10,18,0,0,10,154,0,0,0,0,0,5,11,17,8,9,6,17,10,0,0,86,0,0,0,9,16,18,122,107,18,29,16,23,5,10,15,386,187,974,3656,1303,447,207,427,178,21,29,30,20,7,9,423,7908,0,5,24,36,33,34,51,26,6,0,8,10,8,8,11,270,0,0,4,10,28,31,38,60,5,9,8,22,11,0,20,242,55,204,336,261,154,125,408,330,90,75,124,184,102,103,216,2783,441,2444,4965,2271,1450,1076,2717,2145,561,670,718,903,391,183,1123,22061
RA43,0,0,0,4,38,25,110,96,14,33,20,28,7,7,18,391,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,15,0,0,4,0,5,0,0,4,0,0,0,0,0,0,0,12,0,0,5,16,4,20,68,40,5,6,11,24,16,0,14,228,0,0,0,0,0,0,11,7,5,0,3,0,0,0,0,30,0,0,0,0,0,3,0,7,0,5,3,0,6,0,0,32,0,0,0,6,3,5,19,13,3,0,4,0,7,0,3,66,40,225,628,229,110,67,178,71,10,12,11,9,3,0,80,1664,0,0,7,6,15,9,17,13,5,0,3,0,0,0,0,94,0,0,0,5,0,0,7,19,0,0,0,5,0,0,3,44,7,33,50,58,41,41,93,72,11,18,34,27,14,0,24,519,80,464,832,469,377,284,792,530,101,116,140,186,87,15,195,4661
RA44,0,0,0,4,0,13,21,20,0,9,0,4,0,0,0,77,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,4,0,5,10,4,4,0,0,0,0,0,0,29,0,0,0,0,0,0,14,18,12,16,8,6,4,0,0,64,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4,7,0,0,4,0,0,0,19,10,50,180,91,41,18,39,35,0,0,3,14,5,0,20,509,0,0,5,5,3,0,4,3,0,0,0,0,0,5,4,34,0,0,0,0,3,0,3,3,3,0,0,0,0,0,0,10,5,28,50,20,21,25,37,22,7,6,5,14,0,0,8,228,29,133,328,193,130,124,227,197,49,42,48,70,13,11,65,1654
RA45,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,9,3,0,4,0,0,0,0,0,17
