RA_CODE_2021,Australia_M,Australia_F,Australia_P,Afghanistan_M,Afghanistan_F,Afghanistan_P,Bangladesh_M,Bangladesh_F,Bangladesh_P,Canada_M,Canada_F,Canada_P,China_excl_SARs_Taiwan_M,China_excl_SARs_Taiwan_F,China_excl_SARs_Taiwan_P,Croatia_M,Croatia_F,Croatia_P,Egypt_M,Egypt_F,Egypt_P,Fiji_M,Fiji_F,Fiji_P,Germany_M,Germany_F,Germany_P,Greece_M,Greece_F,Greece_P,Hong_Kong_SAR_China_M,Hong_Kong_SAR_China_F,Hong_Kong_SAR_China_P,India_M,India_F,India_P,Indonesia_M,Indonesia_F,Indonesia_P,Iran_M,Iran_F,Iran_P,Iraq_M,Iraq_F,Iraq_P,Ireland_M,Ireland_F,Ireland_P,Italy_M,Italy_F,Italy_P,Japan_M,Japan_F,Japan_P,Korea_Republic_South_M,Korea_Republic_South_F,Korea_Republic_South_P,Lebanon_M,Lebanon_F,Lebanon_P,Malaysia_M,Malaysia_F,Malaysia_P,Nepal_M,Nepal_F,Nepal_P,Netherlands_M,Netherlands_F,Netherlands_P,New_Zealand_M,New_Zealand_F,New_Zealand_P,Pakistan_M,Pakistan_F,Pakistan_P,Philippines_M,Philippines_F,Philippines_P,Poland_M,Poland_F,Poland_P,Singapore_M,Singapore_F,Singapore_P,South_Africa_M,South_Africa_F,South_Africad_P,Sri_Lanka_M,Sri_Lanka_F,Sri_Lanka_P,Taiwan_M,Taiwan_F,Taiwan_P,Thailand_M,Thailand_F,Thailand_P,United_Kingdom_CI_IM_M,United_Kingdom_CI_IM_F,United_Kingdom_CI_IM_P,United_States_America_M,United_States_America_F,United_States_America_P,Vietnam_M,Vietnam_F,Vietnam_P,Born_elsewhere_M,Born_elsewhere_F,Born_elsewhere_P,Country_birth_not_stated_M,Country_birth_not_stated_F,Country_birth_not_stated_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
RA25,122,20,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,9,0,0,0,0,0,0,9,0,9,335,49,385,0,0,0,493,72,565
RA30,1108037,1148411,2256447,2539,1924,4462,1395,1313,2714,4334,5162,9499,21837,29543,51379,1455,1551,3005,1346,1111,2456,5531,6609,12137,6535,7319,13856,1546,1405,2952,5565,6207,11777,32747,27982,60732,2508,4209,6715,3911,3556,7469,1580,1407,2987,5267,4527,9794,5009,4147,9158,3120,7330,10448,7727,9513,17235,812,716,1519,6286,7764,14052,4275,4064,8340,4465,4396,8862,81138,83322,164462,3142,2520,5658,11470,22608,34080,1984,2781,4764,2887,3532,6419,19168,19617,38783,4932,4879,9812,6149,8596,14746,2838,7296,10142,84369,81757,166116,7388,7747,15135,9422,12577,21999,73017,81033,154048,74657,76148,150804,4425,4141,8567,1624803,1708724,3333530
RA31,393414,405177,798592,98,108,208,233,210,442,792,919,1712,909,1450,2355,172,151,325,181,124,304,556,629,1189,1763,1987,3757,108,70,173,243,268,511,3027,2533,5558,259,565,822,195,167,361,1131,1145,2279,750,664,1415,682,486,1166,208,452,655,468,543,1008,49,39,92,615,804,1414,660,707,1365,1613,1480,3091,12100,12367,24469,281,197,476,3089,6278,9370,209,284,489,310,378,686,3283,3393,6678,685,594,1275,431,715,1145,361,1340,1704,18195,18673,36865,1257,1400,2663,562,728,1287,9176,9722,18905,32094,30611,62703,827,726,1561,490965,508087,999059
RA32,271596,265756,537352,50,22,72,78,62,144,654,887,1542,762,1166,1925,171,138,310,123,99,224,398,497,891,1548,1767,3308,148,140,288,252,302,549,2780,2421,5198,399,651,1050,105,85,192,34,32,67,671,656,1326,1555,1366,2923,554,1536,2090,637,712,1355,35,27,64,521,609,1125,517,516,1037,996,906,1903,8419,8166,16586,145,120,262,2108,4916,7028,240,287,529,177,241,419,1813,1835,3648,453,403,854,228,436,663,511,1408,1919,12061,11801,23865,1027,1259,2279,428,625,1052,10323,11032,21349,42288,32870,75160,2669,1298,3967,367483,357036,724519
RA33,33279,29013,62292,0,0,0,0,0,0,64,77,142,37,77,115,11,13,17,10,3,14,107,75,184,122,108,231,8,8,13,17,7,24,135,117,255,34,54,82,14,3,10,0,0,0,75,48,121,90,79,170,11,22,31,17,17,36,0,0,3,30,49,83,28,17,50,98,65,163,1144,912,2053,27,9,35,303,555,865,8,15,26,19,16,34,269,244,511,44,29,68,16,26,43,18,99,114,963,843,1802,95,96,187,25,31,63,942,765,1715,8909,5053,13961,298,213,510,47272,38764,86045
RA34,27337,25064,52398,3,0,3,9,3,12,30,36,68,32,36,70,9,0,9,8,4,12,47,36,85,63,75,140,7,0,6,8,4,14,85,49,133,23,29,56,4,3,5,0,0,0,31,28,61,31,21,49,6,18,23,14,11,17,4,0,3,15,20,40,3,3,11,75,57,128,579,458,1032,6,5,7,65,153,213,4,6,14,9,11,26,108,88,196,24,12,32,4,8,14,3,46,46,587,565,1154,47,68,108,73,69,139,478,435,910,5773,3834,9607,181,97,274,35778,31340,67120
RA35,76,9,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,9,0,0,0,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,3,0,0,0,3,0,0,192,29,222,17,10,24,317,65,385
RA40,448921,464434,913358,4442,3443,7883,1134,1017,2157,1028,1175,2200,10728,14060,24785,1196,1299,2490,837,750,1586,526,600,1131,3313,4014,7326,3514,3982,7498,2086,2021,4108,23142,19693,42832,808,1243,2054,2640,2497,5134,857,729,1589,1453,1367,2821,7446,8017,15465,422,1073,1492,1672,2008,3676,884,886,1771,3752,4643,8392,3593,3459,7048,2098,2188,4290,4886,4894,9779,3049,2371,5420,4574,8083,12656,1956,2533,4495,1196,1447,2646,3255,3541,6792,2552,2418,4966,610,947,1555,916,2034,2946,42964,45166,88129,2173,2177,4351,7145,9217,16365,27142,29661,56801,23182,23382,46560,1195,1273,2464,653302,683716,1337027
RA41,69000,69957,138953,9,4,15,15,14,32,99,120,219,140,225,362,43,29,68,13,7,22,27,24,54,506,548,1053,73,48,131,23,36,51,220,178,397,27,62,91,15,4,26,6,5,10,122,133,252,283,191,472,16,50,64,27,31,57,13,14,31,65,100,161,16,18,36,402,438,841,710,688,1396,15,5,19,354,695,1047,55,85,138,28,50,81,235,264,498,50,38,90,15,46,61,60,151,208,6219,6853,13072,203,261,459,170,187,365,1101,1110,2205,4773,4695,9468,72,71,140,85213,87432,172645
RA42,83443,81120,164567,209,74,281,28,19,46,48,75,123,187,246,435,89,55,153,32,30,60,42,43,90,367,392,763,208,217,430,24,34,62,780,636,1413,71,91,158,28,16,42,14,18,34,78,87,158,325,275,603,12,33,51,31,41,68,4,12,19,239,219,453,69,68,140,382,375,755,843,724,1566,131,68,197,423,904,1324,46,57,106,14,35,51,313,331,640,91,60,154,24,61,86,141,247,386,3750,4159,7908,124,148,270,105,146,242,1507,1285,2794,7808,7215,15028,760,147,902,102802,99757,202554
RA43,19737,17804,37538,4,7,12,3,4,6,18,30,44,27,32,55,46,35,78,9,0,9,8,13,20,97,84,183,11,9,19,5,7,13,106,48,157,22,32,55,5,3,14,3,0,3,25,19,44,37,20,59,5,11,21,18,11,36,0,6,6,25,25,55,9,7,20,51,73,126,300,221,526,17,8,24,161,226,391,7,7,15,7,9,12,122,101,228,19,11,30,9,18,32,5,61,66,855,815,1664,37,55,94,20,24,44,296,228,523,2766,1840,4601,38,25,66,24945,21922,46869
RA44,7416,6096,13508,0,0,3,0,0,0,9,5,13,7,10,23,26,7,31,0,0,0,15,7,17,33,34,66,40,20,56,4,6,11,58,41,95,5,9,14,0,0,3,0,0,0,13,9,17,15,3,17,4,6,6,4,0,8,6,0,6,8,9,15,0,0,6,28,25,45,104,85,194,4,4,4,16,58,77,5,9,15,0,5,5,23,11,29,36,32,64,4,9,7,4,11,19,284,227,509,19,21,34,5,4,10,132,96,232,1638,905,2546,16,20,35,9968,7776,17743
RA45,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,8,0,8,7,0,7,40,0,40
RA50,601933,618812,1220741,3078,2307,5384,1388,1259,2658,2234,2900,5139,11570,15482,27056,2063,2185,4243,1243,1113,2361,474,555,1031,3902,4810,8714,958,1038,1995,2884,3329,6212,29942,27891,57833,4886,7985,12866,3168,2988,6156,1842,1668,3505,8128,7669,15798,8348,7936,16287,1238,3099,4338,2653,3335,5986,605,541,1150,13908,17054,30959,2145,2051,4194,3328,3479,6806,28876,27664,56546,4393,2755,7155,12559,17773,30329,2148,2971,5125,6830,8332,15162,18224,19551,37770,4395,4160,8549,1153,2229,3385,2196,6056,8254,98007,99075,197087,4230,4393,8616,7279,9761,17041,54687,62396,117088,39647,39564,79212,2696,2595,5293,999236,1048770,2048011
RA51,82943,83047,165995,90,29,115,35,29,60,193,268,463,155,252,410,52,28,80,38,22,67,58,27,85,461,617,1081,30,26,52,59,78,133,594,486,1080,115,270,383,78,25,98,44,21,67,435,439,871,513,419,930,54,130,183,124,117,235,42,22,61,218,266,485,53,48,95,437,446,890,3222,2939,6166,110,68,181,876,1300,2170,92,138,227,143,186,329,1457,1541,3004,108,93,192,91,208,297,84,358,450,8735,9611,18350,357,372,732,189,198,389,2454,2479,4936,7302,6817,14113,302,192,493,112330,113614,225941
RA52,68181,65857,134036,123,63,193,23,17,38,127,204,329,180,196,370,35,34,68,28,22,51,106,77,183,296,484,786,33,24,57,36,38,71,518,461,977,98,226,330,44,27,76,14,8,17,223,224,449,299,236,533,27,61,85,39,43,85,6,4,11,168,169,335,44,29,70,340,327,668,2872,2606,5486,79,65,149,1010,1490,2497,51,69,119,79,112,188,994,1103,2095,86,69,159,56,111,168,159,472,628,5128,5549,10681,232,276,507,132,165,295,2140,2032,4168,9327,8099,17430,265,154,419,93609,91228,184833
RA53,36505,32239,68751,10,8,17,19,16,35,56,114,169,104,182,286,18,15,33,25,9,33,43,33,71,157,221,385,13,13,25,32,35,67,405,286,692,80,160,243,24,7,30,6,5,15,217,181,397,98,73,174,9,44,50,18,28,51,3,5,6,103,100,200,28,23,56,120,123,243,1915,1425,3341,50,25,71,704,801,1497,28,32,57,75,73,150,536,475,1009,86,59,149,24,56,79,68,308,374,2305,2061,4361,93,132,220,42,80,125,1210,1063,2274,9839,6675,16510,224,152,379,55294,47341,102631
RA54,38360,27384,65753,23,0,22,16,3,25,80,99,179,192,102,290,48,30,78,13,4,18,79,41,113,247,200,446,19,6,24,25,24,44,335,132,470,112,115,232,55,12,66,18,3,20,423,174,595,167,95,262,13,48,57,45,26,66,11,7,18,171,106,274,28,4,36,163,128,288,2748,1394,4140,39,8,47,617,371,994,47,36,84,81,52,140,643,309,953,88,27,114,20,58,81,66,224,295,3397,1907,5303,155,135,286,109,103,208,1953,1125,3075,18922,7246,26169,490,300,789,70021,42058,112078
RA55,1000,174,1179,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,3,8,0,13,0,0,0,0,0,3,16,0,24,11,0,11,0,0,0,0,0,0,20,5,24,0,0,5,0,3,7,0,0,3,0,0,0,10,0,13,0,0,0,8,3,10,108,14,128,3,0,3,50,9,60,8,0,7,0,0,3,23,0,22,4,0,4,0,0,0,5,4,7,219,36,255,6,0,7,6,0,6,84,14,94,1234,123,1358,143,16,164,3003,413,3413
RA61,129638,137468,267109,135,149,283,341,216,563,329,389,713,2765,3525,6290,102,90,190,75,64,139,74,104,184,630,662,1294,200,219,415,338,391,729,3129,2255,5383,182,269,453,265,261,524,42,51,87,241,264,502,362,307,668,93,259,355,309,348,653,54,37,89,534,721,1246,2974,2567,5540,575,605,1180,1413,1502,2919,846,366,1204,515,1154,1668,169,269,441,208,262,473,688,733,1416,590,514,1104,205,272,477,176,439,613,6589,6478,13068,633,715,1352,541,713,1260,3985,4190,8168,7470,7660,15137,457,264,724,167861,176762,344620
RA62,80034,81855,161895,6,0,6,15,14,34,133,161,297,158,281,445,21,14,36,34,25,60,40,44,76,329,387,716,27,20,46,65,59,125,433,271,705,54,96,147,17,13,31,16,12,35,124,117,246,112,63,174,18,72,94,46,61,104,16,8,25,78,118,196,307,264,568,422,430,849,1208,1172,2375,181,50,230,137,575,708,54,67,123,34,66,103,293,314,613,121,113,228,62,120,185,37,183,216,4524,4395,8914,332,331,662,46,82,132,1167,1211,2373,6847,6630,13477,158,100,259,97701,99791,197497
RA63,3512,3069,6578,0,0,0,0,0,0,7,10,15,9,30,37,3,0,4,0,0,0,0,0,0,28,22,44,0,0,0,6,0,3,26,12,45,4,3,7,0,0,0,0,0,0,5,0,7,11,5,12,0,0,4,3,0,3,0,0,0,3,6,8,76,49,129,15,14,31,75,69,140,30,3,32,8,35,45,3,3,10,0,5,10,27,33,56,8,8,14,3,10,14,8,11,14,217,182,391,12,19,37,3,3,10,77,74,154,562,480,1042,31,19,45,4781,4181,8965
RA64,1017,893,1907,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,5,11,18,0,0,0,0,0,0,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,5,5,0,0,0,0,0,0,0,3,3,0,0,0,5,6,15,13,24,42,3,0,3,10,14,20,0,5,5,0,0,0,3,3,12,5,3,11,0,0,0,0,5,11,39,30,69,7,7,9,0,0,0,11,20,34,126,114,239,6,5,3,1291,1164,2455
RA65,224,61,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,7,4,11,0,0,0,0,0,0,4,5,5,36,0,35,8,0,13,299,76,378
RA72,49879,47412,97289,27,7,34,385,250,635,133,149,278,569,864,1425,17,11,25,43,20,66,140,163,308,296,380,674,642,508,1149,126,154,284,2135,1829,3960,409,872,1287,67,36,100,7,3,16,314,332,650,231,167,398,53,116,171,132,165,305,33,16,48,302,375,678,1368,1169,2531,147,161,305,1373,1229,2602,400,211,610,2136,3101,5233,46,64,115,118,178,292,361,329,691,562,520,1083,129,290,420,231,710,949,2714,2622,5332,219,241,462,463,679,1140,3068,3442,6508,7780,7320,15098,2077,552,2629,79131,76649,155778
RA73,19854,19623,39479,0,4,8,29,18,49,37,47,86,84,157,241,0,0,5,6,8,11,78,66,149,107,118,223,22,14,34,14,32,47,599,528,1131,37,65,98,9,10,13,14,3,14,74,66,141,65,56,121,8,32,44,21,36,56,3,4,11,47,42,91,213,168,387,56,69,121,634,633,1266,53,29,86,359,544,906,10,21,35,10,15,26,127,139,268,103,76,178,31,57,85,31,91,123,768,766,1534,411,345,754,96,105,196,928,892,1819,3320,3172,6494,122,118,238,28415,28156,56571
RA74,21306,20735,42042,4,0,4,12,3,10,16,39,59,33,46,77,6,3,7,0,0,3,53,42,89,47,63,110,11,8,15,8,11,16,79,52,130,32,37,67,4,0,3,8,4,11,38,23,64,29,19,47,7,9,10,15,8,19,0,0,0,23,29,46,45,28,74,35,40,77,317,256,567,4,7,7,83,155,233,11,13,23,11,14,18,71,63,135,31,15,43,3,6,9,15,36,51,396,350,751,19,37,56,16,12,30,366,309,681,3653,2108,5763,224,95,323,27015,24651,51671
RA75,204,37,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,17,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,18,3,24,0,0,0,0,0,0,15,3,16,133,17,146,12,7,17,429,73,494
RA80,151607,153438,305047,448,294,739,1001,927,1928,636,744,1375,5366,6802,12165,637,710,1345,296,251,544,488,568,1058,991,1181,2168,456,546,1003,930,962,1900,9149,8094,17248,489,826,1320,583,532,1115,402,344,742,466,438,898,953,949,1903,235,610,846,1163,1385,2552,252,221,464,1279,1557,2838,3068,2635,5699,459,527,990,2641,2451,5088,1671,1235,2907,1987,3069,5057,423,571,995,538,634,1173,1128,1214,2342,1597,1684,3282,292,401,693,503,1109,1614,8117,7728,15843,1573,1762,3338,1704,2377,4073,10932,12095,23029,8365,7912,16276,553,597,1151,223380,229370,452747
RA81,305,283,587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,0,0,0,0,4,5,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,9,11,19,3,3,3,0,0,0,3,11,18,25,20,48,0,0,0,367,342,708
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA91,161,148,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,17,5,16,0,0,0,0,0,0,3,5,7,49,45,96,6,0,9,251,209,456
RA94,1342,1292,2630,4,0,4,0,0,0,9,5,11,10,6,17,0,0,0,0,0,0,20,19,40,4,12,16,0,0,0,0,3,3,23,3,22,6,11,17,15,0,15,12,0,10,3,0,4,0,4,3,0,0,0,7,0,5,8,0,8,170,157,325,0,0,0,0,5,10,172,210,384,6,0,6,29,33,68,4,0,4,31,18,51,15,10,28,12,0,12,0,0,0,11,10,18,74,73,149,7,16,25,12,4,15,159,53,210,460,401,861,13,5,17,2649,2343,4993
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
