RA_CODE_2021,P_aged_15_yr_over_M,P_aged_15_yr_over_F,P_aged_15_yr_over_P,Lab_for_st_Empl_worked_ft_M,Lab_for_st_Empl_worked_ft_F,Lab_for_st_Empl_worked_ft_P,Lab_for_st_Empl_worked_pt_M,Lab_for_st_Empl_worked_pt_F,Lab_for_st_Empl_worked_pt_P,Lab_for_st_Empl_awy_frm_wrk_M,Lab_for_st_Empl_awy_frm_wrk_F,Lab_for_st_Empl_awy_frm_wrk_P,Lab_for_st_Unemp_lkg_fr_wrk_M,Lab_for_st_Unemp_lkg_fr_wrk_F,Lab_for_st_Unemp_lkg_fr_wrk_P,Lab_for_st_Tot_labour_force_M,Lab_for_st_Tot_labour_force_F,Lab_for_st_Tot_labour_force_P,Lab_for_st_N_the_lbour_frce_M,Lab_for_st_N_the_lbour_frce_F,Lab_for_st_N_the_lbour_frce_P,LFS_Percent_Unemployment_M,LFS_Percent_Unemployment_F,LFS_Percent_Unemployment_P,LFS_Percent_Lab_force_part_M,LFS_Percent_Lab_force_part_F,LFS_Percent_Lab_force_part_P,LFS_Percent_Emp_to_pop_M,LFS_Percent_Empl_to_pop_F,LFS_Percent_Emp_to_pop_P,High_N_sc_q_Postgrad_Deg_M,High_N_sc_q_Postgrad_Deg_F,High_N_sc_q_Postgrad_Deg_P,High_N_sc_q_Gra_Dip_Gra_Cer_M,High_N_sc_q_Gra_Dip_Gra_Cer_F,High_N_sc_q_Gra_Dip_Gra_Cer_P,High_N_sc_q_Bachelor_Deg_M,High_N_sc_q_Bachelor_Deg_F,High_N_sc_q_Bachelor_Deg_P,High_N_sc_q_Adv_Dip_Dip_M,High_N_sc_q_Adv_Dip_Dip_F,High_N_sc_q_Adv_Dip_Dip_P,High_N_sc_q_Cert3a4_Level_M,High_N_sc_q_Cert3a4_Level_F,High_N_sc_q_Cert3a4_Level_P,High_N_sc_q_Cert1a2_Level_M,High_N_sc_q_Cert1a2_Level_F,High_N_sc_q_Cert1a2_Level_P,High_N_sc_q_Certnfd_Level_M,High_N_sc_q_Certnfd_Level_F,High_N_sc_q_Certnfd_Level_P,High_N_sc_q_CertTot_Level_M,High_N_sc_q_CertTot_Level_F,High_N_sc_q_CertTot_Level_P,Mig_Lvd_same_add_1_yr_ago_M,Mig_Lvd_same_add_1_yr_ago_F,Mig_Lvd_same_add_1_yr_ago_P,Mig_Lvd_diff_add_1_yr_ago_M,Mig_Lvd_diff_add_1_yr_ago_F,Mig_Lvd_diff_add_1_yr_ago_P,Mig_Lvd_same_add_5_yr_ago_M,Mig_Lvd_same_add_5_yr_ago_F,Mig_Lvd_same_add_5_yr_ago_P,Mig_Lvd_diff_add_5_yr_ago_M,Mig_Lvd_diff_add_5_yr_ago_F,Mig_Lvd_diff_add_5_yr_ago_P
RA25,493,72,565,131,22,147,7,0,7,11,0,13,4,0,4,151,22,174,7,0,9,1.3,0,1.2,30.5,29.2,30.4,30.1,29.2,30,3,0,3,3,0,3,16,3,19,21,3,32,68,6,73,8,0,8,8,0,8,80,6,86,135,20,154,25,4,28,91,11,105,60,12,71
RA30,1298412,1400512,2698929,576030,376140,952170,188038,341742,529784,62167,92019,154192,50230,43123,93357,876474,853028,1729499,355058,477624,832682,5.7,5.1,5.4,67.5,60.9,64.1,63.6,57.8,60.6,78459,82492,160951,23216,44923,68141,203821,274273,478096,115564,162079,277648,297548,172057,469601,14764,20416,35179,19841,30233,50072,332149,222704,554853,1240474,1305160,2545634,280313,301553,581864,722244,757716,1479962,713795,768931,1482730
RA31,396508,418488,815000,154217,94357,248580,45338,97385,142721,14898,17677,32579,13897,11395,25300,228351,220821,449172,141363,171860,313224,6.1,5.2,5.6,57.6,52.8,55.1,54.1,50,52,9190,10645,19829,4321,9380,13700,29675,53297,82971,25545,41001,66548,115747,64386,180130,5531,8448,13974,5916,8707,14626,127191,81540,208733,375331,390745,766078,73785,80500,154286,240656,245699,486351,184976,203522,388492
RA32,297228,292488,589712,120766,76214,196974,32872,69425,102297,11875,12098,23978,9651,7791,17441,175162,165525,340693,85501,99248,184748,5.5,4.7,5.1,58.9,56.6,57.8,55.7,53.9,54.8,6790,8649,15442,2897,6907,9803,22781,40188,62970,18900,28008,46909,81055,41654,122707,3711,5306,9022,3990,5343,9327,88762,52299,141060,262096,260886,522983,54275,57853,112131,169752,165964,335715,129755,137130,266885
RA33,39331,31436,70764,16659,8978,25637,2661,5669,8332,1959,1637,3598,878,637,1517,22155,16929,39082,9034,10128,19166,4,3.8,3.9,56.3,53.8,55.2,54.1,51.8,53.1,609,706,1317,276,641,916,2220,3937,6156,1873,2661,4537,10211,4027,14233,416,588,1009,479,531,1011,11109,5144,16257,31228,27020,58251,6306,6067,12368,21297,17878,39176,14030,13154,27190
RA34,29455,25416,54871,11188,7104,18289,1899,3510,5409,1839,1581,3424,772,629,1402,15697,12825,28521,8464,9217,17677,4.9,4.9,4.9,53.3,50.5,52,50.7,48,49.4,428,511,936,220,558,778,1530,2828,4363,1511,2094,3607,7362,3401,10758,488,596,1083,368,412,781,8209,4405,12616,24891,22507,47396,4629,4650,9282,17428,15642,33069,10122,9652,19778
RA35,302,53,358,70,9,77,8,0,10,15,6,18,3,0,0,88,15,103,21,11,26,3.3,7.1,3.8,30.1,26.9,29.7,29.1,25,28.5,0,0,0,0,0,0,7,4,8,3,0,9,34,11,37,10,0,10,4,0,6,50,10,56,89,14,103,25,10,32,47,11,52,63,11,79
RA40,533968,570523,1104485,229284,140012,369295,84218,155863,240081,14963,19263,34226,21325,17048,38373,349788,332183,681973,164260,218107,382365,6.1,5.1,5.6,65.5,58.2,61.7,61.5,55.2,58.3,33586,35960,69544,9626,17713,27339,83309,108315,191620,43707,55570,99278,113863,67933,181797,6143,8300,14439,7793,11429,19224,127801,87660,215464,534602,561592,1096196,85303,88936,174244,352564,370993,723558,235560,249843,485398
RA41,70531,73581,144108,27142,14566,41709,9757,20173,29928,2338,2752,5093,1940,1530,3478,41184,39026,80209,25773,31040,56820,4.7,3.9,4.3,58.4,53,55.7,55.6,51,53.2,1606,2003,3609,836,1860,2695,5745,9427,15170,4923,7877,12800,19608,11227,30836,910,1445,2355,1248,1738,2985,21765,14415,36176,70248,72239,142485,9017,9789,18808,49238,49736,98974,26512,28911,55420
RA42,84713,83062,167775,33485,16824,50305,9416,21500,30916,2800,3052,5845,2713,1903,4620,48412,43277,91687,30055,34097,64151,5.6,4.4,5,57.1,52.1,54.6,53.9,49.8,51.9,1071,1371,2445,585,1509,2096,4375,8621,12994,4120,6891,11012,22123,12344,34459,1116,1744,2856,1233,1473,2707,24469,15563,40025,80383,79569,159948,11302,11715,23019,57710,56097,113808,29574,30951,60526
RA43,20841,18076,38917,9016,4077,13091,2381,4935,7315,972,835,1814,449,312,762,12820,10153,22977,5680,6462,12143,3.5,3,3.3,61.5,56.2,59,59.4,54.5,57.1,338,396,728,141,390,536,1339,2258,3589,1128,1701,2831,5771,2680,8449,273,353,634,312,353,671,6358,3394,9748,18674,16845,35518,3110,2979,6096,13017,11566,24587,7677,7267,14946
RA44,8643,6390,15030,3237,1495,4730,711,1200,1912,470,362,836,333,185,517,4750,3240,7997,2397,2362,4756,7,5.7,6.5,55,50.8,53.2,51.1,47.9,49.7,141,149,290,59,142,195,476,730,1208,424,550,973,1981,690,2674,104,106,203,134,108,249,2224,909,3128,7152,5745,12897,1093,1000,2094,5303,4226,9526,2538,2068,4607
RA45,34,0,34,19,0,19,0,0,0,0,0,0,0,0,0,22,0,22,6,0,6,4.3,0,4.3,67.6,0,67.6,64.7,0,64.7,0,0,0,0,0,0,3,0,3,3,0,3,4,0,4,0,0,0,0,0,0,7,0,7,22,0,22,5,0,5,16,0,16,13,0,13
RA50,793060,853403,1646460,382573,226714,609282,115897,240813,356712,26698,29578,56277,30316,28052,58370,555475,525156,1080634,202085,292364,494458,5.5,5.3,5.4,70,61.5,65.6,66.2,58.2,62.1,49640,49261,98901,14263,27691,41957,130376,171708,302082,70838,91031,161872,177689,98906,276593,10339,14921,25255,10268,19223,29491,198292,133044,331336,805677,847473,1653153,135052,145219,280277,519563,545128,1064692,365706,395027,760734
RA51,89739,92678,182418,38282,20640,58924,10785,26332,37113,3876,3495,7367,2543,2304,4846,55486,52767,108251,28282,34440,62720,4.6,4.4,4.5,61.8,56.9,59.3,59,54.4,56.7,1749,2064,3809,918,2360,3266,7178,12489,19666,6095,9365,15469,26234,14668,40903,1387,2338,3726,1254,2225,3479,28879,19230,48113,85295,89035,174333,15272,16489,31761,57827,59562,117390,37257,40858,78117
RA52,75738,74478,150213,33180,18195,51378,8581,18993,27569,3099,2822,5927,2118,1573,3696,46981,41588,88568,20970,26208,47185,4.5,3.8,4.2,62,55.8,59,59.2,53.7,56.5,1486,1672,3162,681,1723,2406,5260,9429,14691,4379,6979,11357,20074,10203,30277,1202,1956,3159,984,1558,2547,22265,13723,35981,69466,69029,138490,12583,12857,25435,47304,45890,93193,30300,31773,62069
RA53,44861,37555,82420,21440,11126,32566,3510,7842,11354,2294,2060,4349,838,683,1520,28083,21710,49794,8208,10362,18569,3,3.1,3,62.6,57.8,60.4,60.7,56,58.6,868,1057,1924,386,1003,1394,3259,5641,8906,2786,3461,6250,12202,4545,16745,535,879,1411,527,709,1238,13262,6132,19392,35858,31686,67542,8428,8220,16650,21811,18602,40417,19688,18787,38478
RA54,62628,35250,97879,25306,9629,34937,3189,4066,7257,4136,2856,6990,936,677,1609,33565,17223,50791,10891,11603,22497,2.8,3.9,3.2,53.6,48.9,51.9,52.1,47,50.2,1339,1066,2401,511,824,1336,4443,4685,9132,3544,2858,6399,15712,3821,19535,696,720,1417,561,647,1210,16970,5190,22156,40566,27144,67713,9302,6974,16273,26576,17515,44090,21212,14754,35968
RA55,2854,392,3249,1339,139,1478,54,20,77,115,31,147,7,0,7,1525,190,1711,87,81,165,0.6,0.5,0.6,53.3,48.1,52.7,53,47.8,52.4,43,16,55,15,15,31,208,68,277,257,34,292,659,43,703,22,9,28,39,4,41,722,57,776,1324,213,1540,286,55,345,925,147,1067,678,129,801
RA61,137359,148014,285368,56485,34841,91327,22580,41745,64328,4005,5407,9419,5861,4930,10794,88935,86934,175869,42359,54883,97240,6.6,5.7,6.1,64.7,58.7,61.6,60.5,55.4,57.8,10493,11670,22163,2596,4882,7484,20242,26643,46885,9793,13097,22884,30412,18072,48483,1590,2723,4305,1685,2863,4550,33688,23655,57342,133131,141431,274562,24191,25353,49546,87485,92977,180458,61901,66194,128101
RA62,80890,83855,164745,29817,15888,45707,10430,21777,32206,3024,3107,6133,2783,2171,4952,46058,42939,88996,29800,36088,65886,6,5.1,5.6,56.9,51.2,54,53.5,48.6,51,2137,2489,4627,810,1763,2572,6061,10019,16077,4971,7624,12588,22240,12582,34819,1050,2101,3147,1083,1863,2953,24376,16547,40919,78673,80207,158876,11425,12337,23758,54485,54606,109090,31338,33884,65226
RA63,4180,3599,7783,1494,648,2139,463,841,1304,195,163,354,130,124,256,2283,1771,4063,1445,1446,2891,5.8,6.9,6.3,54.6,49.3,52.2,51.5,45.9,48.9,165,145,310,37,66,112,377,435,815,265,322,588,1126,454,1581,35,81,118,66,67,136,1227,604,1835,3467,3036,6497,729,649,1373,2311,1958,4268,1703,1563,3263
RA64,1088,982,2074,475,246,718,192,283,472,41,41,88,20,8,36,729,586,1309,264,317,582,2.8,2.1,2.4,66.6,59.6,63.3,64.8,58.4,61.7,27,33,65,12,34,44,77,145,218,72,98,166,311,130,436,7,18,26,23,23,48,334,170,510,1036,914,1952,123,133,254,739,606,1340,373,401,782
RA65,289,73,362,208,30,237,11,11,19,10,9,19,4,0,3,230,50,282,31,24,58,0.9,2,1.1,79,67.1,76.6,78.4,65.8,75.8,0,3,3,0,3,4,33,10,46,37,7,44,63,15,76,7,0,6,9,4,13,76,25,98,158,48,207,33,11,50,117,28,146,76,32,107
RA72,62064,61675,123737,29637,22582,52225,7160,12270,19434,3053,3405,6459,1772,1571,3346,41625,39832,81457,13617,15430,29045,4.3,3.9,4.1,67.1,64.6,65.8,64.2,62,63.1,3815,4536,8350,1074,2364,3442,7913,11952,19867,5070,5835,10900,14631,7230,21855,777,1068,1840,823,996,1818,16232,9290,25518,53317,53268,106581,13782,14228,28015,30800,30205,61008,32052,33366,65422
RA73,22762,23059,45828,8749,7153,15905,1975,3215,5193,1336,1484,2821,613,557,1171,12671,12421,25093,7062,7682,14743,4.8,4.5,4.7,55.7,53.9,54.8,53,51.4,52.2,1042,1367,2414,301,795,1089,2299,3837,6138,1565,1877,3444,4805,2299,7103,237,355,586,294,362,659,5333,3015,8352,19412,19420,38832,4532,4981,9514,12409,12458,24865,9833,10463,20294
RA74,21186,19495,40684,5244,3892,9141,1187,1770,2962,1073,1031,2101,1162,972,2135,8675,7658,16338,8918,9742,18660,13.4,12.7,13.1,40.9,39.3,40.2,35.5,34.3,34.9,388,529,923,164,360,524,1156,1698,2855,833,999,1831,3358,1502,4856,362,448,807,310,337,648,4025,2293,6318,19361,18676,38039,3354,3464,6819,14827,14489,29316,6180,6111,12298
RA75,414,64,482,215,21,235,12,3,16,18,4,27,4,0,4,253,35,285,29,15,47,1.6,0,1.4,60.7,48.4,59.1,59.8,48.4,58.2,0,0,0,4,8,11,38,8,42,58,6,63,88,8,96,10,0,10,21,0,23,115,9,131,230,46,276,47,6,52,164,28,193,112,20,129
RA80,180321,188834,369155,93156,70483,163644,26884,44411,71295,5413,7701,13120,5463,4541,10002,130912,127143,258057,41666,54493,96155,4.2,3.6,3.9,72.6,67.3,69.9,69.6,64.9,67.2,27288,25141,52430,6370,10253,16621,40329,49019,89347,15115,19028,34142,25091,14568,39661,1468,2023,3487,1999,3579,5582,28559,20163,48724,170927,177330,348255,40298,40880,81177,102785,107955,210743,97144,99586,196724
RA81,271,273,542,152,100,255,40,73,109,18,20,40,5,4,12,214,198,413,32,57,88,1.9,2,1.9,79.6,72.4,76,78.1,71,74.5,12,18,31,5,14,22,41,69,108,22,43,62,78,28,107,0,0,8,5,8,9,85,40,118,287,276,564,40,36,73,187,182,370,114,119,229
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA91,226,165,390,141,58,201,0,19,18,5,9,19,0,0,3,150,88,239,34,36,71,0.7,4.5,2.1,67.4,53.9,61.7,67,51.5,60.4,10,8,26,9,5,16,49,23,65,16,10,27,26,18,45,4,0,12,0,3,5,35,25,61,145,126,273,48,33,79,75,74,154,103,73,177
RA94,2220,1989,4211,858,587,1446,268,486,747,92,90,184,25,23,51,1246,1185,2431,590,476,1064,2,2.1,2.1,56,59.4,57.6,54.9,58.1,56.4,54,65,121,19,58,72,155,250,406,121,195,317,526,187,711,32,55,89,22,36,54,578,283,854,1635,1605,3241,331,327,663,1178,1147,2324,686,710,1396
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
