RA_CODE_2021,F_Tot_LF_15_19_yr,F_Tot_LF_20_24_yr,F_Tot_LF_25_34_yr,F_Tot_LF_35_44_yr,F_Tot_LF_45_54_yr,F_Tot_LF_55_64_yr,F_Tot_LF_65_74_yr,F_Tot_LF_75_84_yr,F_Tot_LF_85_yr_over,F_Tot_LF_Tot,F_NILF_15_19_yr,F_NILF_20_24_yr,F_NILF_25_34_yr,F_NILF_35_44_yr,F_NILF_45_54_yr,F_NILF_55_64_yr,F_NILF_65_74_yr,F_NILF_75_84_yr,F_NILF_85_yr_over,F_NILF_Tot,F_LF_st_ns_15_19,F_LF_st_ns_20_24,F_LF_st_ns_25_34,F_LF_st_ns_35_44,F_LF_st_ns_45_54,F_LF_st_ns_55_64,F_LF_st_ns_65_74,F_LF_st_ns_75_84,F_LF_st_ns_85_yr_over,F_LF_st_ns_Total,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Emp_wrk_Ft_15_19,P_Emp_wrk_Ft_20_24,P_Emp_wrk_Ft_25_34,P_Emp_wrk_Ft_35_44,P_Emp_wrk_Ft_45_54,P_Emp_wrk_Ft_55_64,P_Emp_wrk_Ft_65_74,P_Emp_wrk_Ft_75_84,P_Emp_wrk_Ft_85_yr_over,P_Emp_wrk_Ft_Tot,P_Emp_wrk_Pt_15_19,P_Emp_wrk_Pt_20_24,P_Emp_wrk_Pt_25_34,P_Emp_wrk_Pt_35_44,P_Emp_wrk_Pt_45_54,P_Emp_wrk_Pt_55_64,P_Emp_wrk_Pt_65_74,P_Emp_wrk_Pt_75_84,P_Emp_wrk_Pt_85_yr_over,P_Emp_wrk_Pt_Tot,P_Emp_a_f_wrk_15_19,P_Emp_a_f_wrk_20_24,P_Emp_a_f_wrk_25_34,P_Emp_a_f_wrk_35_44,P_Emp_a_f_wrk_45_54,P_Emp_a_f_wrk_55_64,P_Emp_a_f_wrk_65_74,P_Emp_a_f_wrk_75_84,P_Emp_a_f_wrk_85_yr_over,P_Emp_a_f_wrk_Tot,P_Hr_wrk_ns_15_19,P_Hr_wrk_ns_20_24,P_Hr_wrk_ns_25_34,P_Hr_wrk_ns_35_44,P_Hr_wrk_ns_45_54,P_Hr_wrk_ns_55_64,P_Hr_wrk_ns_65_74,P_Hr_wrk_ns_75_84,P_Hr_wrk_ns_85_yr_over,P_Hr_wrk_ns_Tot,P_Tot_emp_15_19,P_Tot_emp_20_24,P_Tot_emp_25_34,P_Tot_emp_35_44,P_Tot_emp_45_54,P_Tot_emp_55_64,P_Tot_emp_65_74,P_Tot_emp_75_84,P_Tot_emp_85_yr_over,P_Tot_emp_Tot,P_UE_lk_fr_Ft_wrk_15_19,P_UE_lk_fr_Ft_wrk_20_24,P_UE_lk_fr_Ft_wrk_25_34,P_UE_lk_fr_Ft_wrk_35_44,P_UE_lk_fr_Ft_wrk_45_54,P_UE_lk_fr_Ft_wrk_55_64,P_UE_lk_fr_Ft_wrk_65_74,P_UE_lk_fr_Ft_wrk_75_84,P_UE_lk_for_Ft_wrk_85_over,P_UE_looking_for_Ft_wk_Tot,P_UE_lk_for_Pt_wk_15_19,P_UE_lk_for_Pt_wk_20_24,P_UE_lk_for_Pt_wk_25_34,P_UE_lk_for_Pt_wk_35_44,P_UE_lk_for_Pt_wk_45_54,P_UE_lk_for_Pt_wk_55_64,P_UE_lk_for_Pt_wk_65_74,P_UE_lk_for_Pt_wk_75_84,P_UE_looking_for_Pt_wk_85ov,P_UE_lk_for_Pt_wrk_Tot,P_Tot_unemp_15_19,P_Tot_unemp_20_24,P_Tot_unemp_25_34,P_Tot_unemp_35_44,P_Tot_unemp_45_54,P_Tot_unemp_55_64,P_Tot_unemp_65_74,P_Tot_unemp_75_84,P_Tot_unemp_85_yr_over,P_Tot_unemp_Total,P_Tot_LF_15_19_yr,P_Tot_LF_20_24_yr,P_Tot_LF_25_34_yr,P_Tot_LF_35_44_yr,P_Tot_LF_45_54_yr,P_Tot_LF_55_64_yr,P_Tot_LF_65_74_yr,P_Tot_LF_75_84_yr,P_Tot_LF_85_yr_over,P_Tot_LF_Tot,P_NILF_15_19_yr,P_NILF_20_24_yr,P_NILF_25_34_yr,P_NILF_35_44_yr,P_NILF_45_54_yr,P_NILF_55_64_yr,P_NILF_65_74_yr,P_NILF_75_84_yr,P_NILF_85_yr_over,P_NILF_Tot,P_LF_st_ns_15_19,P_LF_st_ns_20_24,P_LF_st_ns_25_34,P_LF_st_ns_35_44,P_LF_st_ns_45_54,P_LF_st_ns_55_64,P_LF_st_ns_65_74,P_LF_st_ns_75_84,P_LF_st_ns_85_yr_over,P_LF_st_ns_Total,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
RA25,0,0,7,5,7,5,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,16,8,13,16,0,0,0,49,0,0,17,14,18,24,0,0,0,72,0,4,12,42,45,44,5,0,0,147,0,0,0,5,0,0,0,0,0,7,0,0,0,0,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,4,16,44,56,44,5,0,0,170,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,20,44,52,44,5,0,0,174,0,0,0,0,0,3,0,0,0,9,0,9,38,96,129,106,13,0,0,385,0,4,52,140,182,158,16,0,0,565
RA30,59404,87834,192616,190185,176745,117344,26404,2337,163,853028,36676,18390,40354,40166,39155,66140,123053,80961,32742,477624,4166,5969,13821,11044,8758,7106,6693,6487,5817,69856,100249,112191,246794,241392,224650,190588,156148,89781,38713,1400512,14015,72036,230572,241737,229572,138227,24298,1658,65,952170,64617,67632,102133,101881,88076,72206,28745,4240,246,529784,16164,17588,30223,22261,18720,17168,5578,645,63,128419,1610,3569,7639,5371,4003,2483,722,273,99,25774,96405,160835,370575,371257,340371,230086,59337,6813,469,1636149,4072,8136,12312,8934,8727,6732,900,43,14,49865,13928,7084,7033,5296,4261,4384,1360,123,14,43493,18002,15216,19346,14233,12995,11117,2257,159,29,93357,114406,176050,389917,385489,353360,241200,61593,6981,502,1729499,81770,35012,62181,59080,62133,108964,220688,149319,53548,832682,8490,12093,27943,22309,18169,14349,13133,11546,8710,136741,204668,223154,480046,466872,433666,364513,295415,167844,62754,2698929
RA31,17439,18751,41081,44692,49084,39380,9233,1043,105,220821,10166,4607,11473,11048,12720,28110,50970,31342,11426,171860,1582,1613,3572,3485,3629,3537,3495,3098,1798,25807,29188,24970,56131,59226,65429,71025,63703,35480,13332,418488,7032,20688,50300,54121,61101,45336,8943,979,70,248580,20282,12308,22356,25302,25365,25476,9934,1562,135,142721,1936,1851,5089,3806,4362,5276,1550,201,19,24092,732,930,1879,1516,1547,1105,472,232,82,8490,29984,35774,79621,84745,92369,77188,20908,2978,311,423872,1666,2185,2979,2322,2483,2408,324,18,5,14395,3195,1296,1640,1320,1320,1668,422,27,9,10898,4861,3476,4624,3644,3806,4080,743,48,11,25300,34849,39251,84251,88388,96174,81264,21646,3022,322,449172,21879,8282,18055,17813,21825,48052,97405,60723,19195,313224,3450,3413,7552,7201,7718,7496,7170,5707,2892,52601,60175,50947,109855,113402,125718,136817,126225,69450,22410,815000
RA32,11916,14076,32640,34360,35778,28362,7410,913,72,165525,6727,3421,7920,7001,7589,16224,28435,16272,5668,99248,1768,2152,5084,4095,4056,3980,3390,2138,1056,27716,20408,19646,45644,45455,47420,48563,39234,19318,6799,292488,4955,16429,41800,43368,46823,34646,7842,1053,62,196974,14162,8987,16868,18113,17812,17493,7490,1265,108,102297,914,1183,3858,2874,2996,3907,1338,164,26,17270,544,760,1525,1218,1128,900,396,198,49,6710,20585,27363,64050,65571,68758,56948,17065,2678,241,323255,904,1423,2200,1695,1974,1760,217,3,0,10174,1912,851,1152,940,927,1115,331,32,6,7265,2821,2274,3349,2637,2898,2871,546,37,6,17441,23404,29630,67402,68210,71658,59825,17611,2717,248,340693,14634,5966,12226,11434,13563,28715,56311,32270,9625,184748,3711,5142,11784,10122,10107,9601,7642,4402,1767,64277,41747,40745,91407,89763,95326,98140,81568,39386,11634,589712
RA33,871,1549,3792,3279,3431,2941,868,172,22,16929,641,431,1093,794,835,1891,2852,1238,349,10128,223,386,821,628,670,795,558,233,75,4381,1735,2361,5709,4694,4940,5622,4279,1649,448,31436,711,2221,5842,5159,5531,4609,1316,227,10,25637,876,615,1526,1509,1403,1554,660,158,28,8332,81,147,506,420,472,644,206,31,6,2512,75,100,228,194,195,143,79,60,8,1086,1745,3086,8098,7276,7604,6955,2267,476,60,37570,72,130,221,170,195,179,31,0,0,986,97,52,93,73,76,92,34,5,0,529,172,181,314,239,268,268,62,4,0,1517,1915,3263,8413,7521,7871,7224,2330,485,63,39082,1410,704,1567,1214,1486,3418,6040,2714,617,19166,482,891,2342,2056,2370,2277,1430,520,148,12521,3802,4862,12319,10791,11729,12923,9798,3714,825,70764
RA34,628,1224,2736,2384,2587,2423,733,103,6,12825,680,538,1008,780,721,1738,2516,938,299,9217,161,279,599,445,497,671,502,167,53,3372,1470,2040,4341,3607,3806,4833,3743,1216,355,25416,633,1692,3979,3454,3931,3373,1062,162,4,18289,436,452,1053,1012,943,982,450,80,8,5409,57,112,460,394,505,757,231,23,0,2542,70,113,198,128,160,112,69,27,0,876,1196,2373,5696,4981,5527,5226,1812,287,19,27121,112,144,240,167,191,118,22,0,0,1002,64,45,76,58,57,69,27,0,0,400,178,188,314,227,249,190,45,3,0,1402,1372,2565,6011,5209,5780,5416,1857,293,19,28521,1406,931,1642,1305,1303,3102,5382,2096,508,17677,367,637,1600,1298,1458,1617,1173,420,96,8670,3152,4134,9251,7811,8546,10132,8419,2807,617,54871
RA35,0,0,5,5,0,4,0,0,0,15,0,3,3,0,0,0,0,0,0,11,4,4,12,3,0,0,0,0,0,29,6,3,23,7,3,5,0,0,0,53,0,0,19,23,25,6,3,0,0,77,0,3,0,3,0,3,0,0,0,10,0,0,3,4,0,3,0,0,0,10,0,0,0,5,3,0,0,0,0,11,0,3,19,27,27,17,6,0,0,99,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,24,29,29,17,6,0,0,103,6,4,11,4,3,6,3,0,0,26,10,8,57,76,45,16,6,0,0,219,11,15,87,111,79,34,14,0,0,358
RA40,20712,33956,74351,72029,67252,51046,11740,1004,96,332183,15108,7762,16859,16064,15543,29625,56914,40001,20226,218107,1127,1504,3486,2975,2453,2187,2248,2435,1807,20228,36948,43219,94692,91072,85245,82859,70902,43438,22135,570523,4292,26427,91176,90382,86563,59301,10435,678,36,369295,26952,32593,45916,44689,38674,35377,13735,2006,143,240081,1723,2462,7207,5067,3612,4309,1347,173,22,25919,488,1123,2363,1653,1275,904,332,133,50,8310,33460,62597,146654,141786,130125,99881,25851,2991,253,643599,1247,3300,5102,3748,3547,2666,342,16,4,19969,5281,3369,3112,2363,1900,1849,484,42,9,18405,6527,6673,8210,6106,5447,4512,822,60,14,38373,39991,69270,154865,147893,135571,104390,26673,3052,268,681973,33590,15819,25894,24396,26333,50284,102154,71396,32483,382365,2349,3126,7272,6248,5326,4636,4279,4095,2810,40148,75937,88213,188034,178540,167235,159310,133105,78545,35564,1104485
RA41,2733,2973,6132,7398,9081,8221,2156,315,20,39026,1751,612,1613,1625,1927,4609,10032,6340,2542,31040,239,157,399,373,557,525,582,431,245,3516,4723,3742,8142,9393,11557,13363,12767,7088,2810,73581,921,2928,7184,8669,10927,8766,2060,247,10,41709,3400,2467,3874,4786,5621,6525,2710,508,47,29928,247,234,755,548,589,847,323,69,3,3610,163,159,243,207,277,223,116,76,12,1481,4737,5783,12058,14210,17413,16367,5199,893,77,76737,160,284,387,288,381,362,38,0,6,1902,373,174,218,178,236,311,72,4,5,1572,529,458,603,463,616,671,118,14,6,3478,5267,6237,12663,14675,18033,17036,5315,909,80,80209,3847,1136,2555,2652,3370,8000,18653,12308,4302,56820,463,388,810,825,1104,1115,1143,820,408,7085,9577,7765,16028,18151,22500,26155,25107,14038,4787,144108
RA42,2903,3353,7850,8105,9573,8769,2358,324,33,43277,1761,856,2222,1980,2359,5139,10005,6905,2866,34097,304,277,697,716,769,875,879,726,439,5689,4968,4489,10773,10800,12703,14781,13247,7957,3336,83062,1391,4055,9915,9759,11953,10253,2619,327,31,50305,3559,2240,4885,5206,5561,6285,2631,514,40,30916,228,276,884,579,660,951,342,60,11,3989,177,181,334,280,335,311,155,72,16,1859,5351,6747,16014,15824,18508,17801,5752,975,93,87068,184,418,582,429,545,545,52,0,0,2761,358,232,303,248,277,350,69,8,0,1852,546,651,886,682,823,893,125,11,6,4620,5897,7393,16894,16505,19330,18698,5880,990,97,91687,4058,1619,3742,3638,4525,9431,19565,12818,4756,64151,681,655,1525,1502,1733,1941,1813,1394,697,11937,10636,9666,22161,21647,25591,30069,27254,15198,5555,167775
RA43,579,733,2018,2045,2208,1969,519,83,8,10153,333,153,448,321,364,1040,2045,1228,538,6462,81,93,235,190,232,220,201,124,75,1460,985,983,2700,2558,2804,3232,2774,1428,614,18076,316,987,2878,2823,2968,2414,612,88,6,13091,734,440,1206,1325,1342,1539,597,124,3,7315,53,76,325,209,242,309,103,24,0,1351,58,43,82,84,82,65,23,12,5,466,1157,1547,4503,4441,4647,4324,1342,248,18,22219,31,47,102,74,98,96,3,0,0,456,53,29,40,38,38,90,18,0,0,304,94,77,136,112,130,187,19,0,0,762,1244,1623,4638,4554,4778,4513,1358,248,18,22977,687,263,662,555,699,1910,3993,2456,907,12143,175,221,694,605,665,595,444,271,124,3803,2108,2111,6000,5718,6140,7019,5797,2980,1047,38917
