RA_CODE_2021,M_Yr_12_eq_15_19_yr,M_Yr_12_eq_20_24_yr,M_Yr_12_eq_25_34_yr,M_Yr_12_eq_35_44_yr,M_Yr_12_eq_45_54_yr,M_Yr_12_eq_55_64_yr,M_Yr_12_eq_65_74_yr,M_Yr_12_eq_75_84_yr,M_Yr_12_eq_85_yr_over,M_Yr_12_eq_Tot,M_Yr_11_eq_15_19_yr,M_Yr_11_eq_20_24_yr,M_Yr_11_eq_25_34_yr,M_Yr_11_eq_35_44_yr,M_Yr_11_eq_45_54_yr,M_Yr_11_eq_55_64_yr,M_Yr_11_eq_65_74_yr,M_Yr_11_eq_75_84_yr,M_Yr_11_eq_85_yr_over,M_Yr_11_eq_Tot,M_Yr_10_eq_15_19_yr,M_Yr_10_eq_20_24_yr,M_Yr_10_eq_25_34_yr,M_Yr_10_eq_35_44_yr,M_Yr_10_eq_45_54_yr,M_Yr_10_eq_55_64_yr,M_Yr_10_eq_65_74_yr,M_Yr_10_eq_75_84_yr,M_Yr_10_eq_85_yr_over,M_Yr_10_eq_Tot,M_Yr_9_eq_15_19_yr,M_Yr_9_eq_20_24_yr,M_Yr_9_eq_25_34_yr,M_Yr_9_eq_35_44_yr,M_Yr_9_eq_45_54_yr,M_Yr_9_eq_55_64_yr,M_Yr_9_eq_65_74_yr,M_Yr_9_eq_75_84_yr,M_Yr_9_eq_85_yr_over,M_Yr_9_eq_Tot,M_Yr_8_bel_15_19_yr,M_Yr_8_bel_20_24_yr,M_Yr_8_bel_25_34_yr,M_Yr_8_bel_35_44_yr,M_Yr_8_bel_45_54_yr,M_Yr_8_bel_55_64_yr,M_Yr_8_bel_65_74_yr,M_Yr_8_bel_75_84_yr,M_Yr_8_bel_85_yr_over,M_Yr_8_bel_Tot,M_Did_not_go_to_school_15_19,M_Did_not_go_to_school_20_24,M_Did_not_go_to_school_25_34,M_Did_not_go_to_school_35_44,M_Did_not_go_to_school_45_54,M_Did_not_go_to_school_55_64,M_Did_not_go_to_school_65_74,M_Did_not_go_to_school_75_84,M_Did_not_go_to_school_85ov,M_Did_not_go_to_school_Tot,M_High_yr_sch_ns_15_19_yr,M_High_yr_sch_ns_20_24_yr,M_High_yr_sch_ns_25_34_yr,M_High_yr_sch_ns_35_44_yr,M_High_yr_sch_ns_45_54_yr,M_High_yr_sch_ns_55_64_yr,M_High_yr_sch_ns_65_74_yr,M_High_yr_sch_ns_75_84_yr,M_High_yr_sch_ns_85_yr_over,M_High_yr_sch_ns_Tot,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Yr_12_eq_15_19_yr,F_Yr_12_eq_20_24_yr,F_Yr_12_eq_25_34_yr,F_Yr_12_eq_35_44_yr,F_Yr_12_eq_45_54_yr,F_Yr_12_eq_55_64_yr,F_Yr_12_eq_65_74_yr,F_Yr_12_eq_75_84_yr,F_Yr_12_eq_85_yr_over,F_Yr_12_eq_Tot,F_Yr_11_eq_15_19_yr,F_Yr_11_eq_20_24_yr,F_Yr_11_eq_25_34_yr,F_Yr_11_eq_35_44_yr,F_Yr_11_eq_45_54_yr,F_Yr_11_eq_55_64_yr,F_Yr_11_eq_65_74_yr,F_Yr_11_eq_75_84_yr,F_Yr_11_eq_85_yr_over,F_Yr_11_eq_Tot,F_Yr_10_eq_15_19_yr,F_Yr_10_eq_20_24_yr,F_Yr_10_eq_25_34_yr,F_Yr_10_eq_35_44_yr,F_Yr_10_eq_45_54_yr,F_Yr_10_eq_55_64_yr,F_Yr_10_eq_65_74_yr,F_Yr_10_eq_75_84_yr,F_Yr_10_eq_85_yr_over,F_Yr_10_eq_Tot,F_Yr_9_eq_15_19_yr,F_Yr_9_eq_20_24_yr,F_Yr_9_eq_25_34_yr,F_Yr_9_eq_35_44_yr,F_Yr_9_eq_45_54_yr,F_Yr_9_eq_55_64_yr,F_Yr_9_eq_65_74_yr,F_Yr_9_eq_75_84_yr,F_Yr_9_eq_85_yr_over,F_Yr_9_eq_Tot,F_Yr_8_bel_15_19_yr,F_Yr_8_bel_20_24_yr,F_Yr_8_bel_25_34_yr,F_Yr_8_bel_35_44_yr,F_Yr_8_bel_45_54_yr,F_Yr_8_bel_55_64_yr,F_Yr_8_bel_65_74_yr,F_Yr_8_bel_75_84_yr,F_Yr_8_bel_85_yr_over,F_Yr_8_bel_Tot,F_Did_not_go_to_school_15_19,F_Did_not_go_to_school_20_24,F_Did_not_go_to_school_25_34,F_Did_not_go_to_school_35_44,F_Did_not_go_to_school_45_54,F_Did_not_go_to_school_55_64,F_Did_not_go_to_school_65_74,F_Did_not_go_to_school_75_84,F_Did_not_go_to_school_85ov,F_Did_not_go_to_school_Tot,F_High_yr_sch_ns_15_19_yr,F_High_yr_sch_ns_20_24_yr,F_High_yr_sch_ns_25_34_yr,F_High_yr_sch_ns_35_44_yr,F_High_yr_sch_ns_45_54_yr,F_High_yr_sch_ns_55_64_yr,F_High_yr_sch_ns_65_74_yr,F_High_yr_sch_ns_75_84_yr,F_High_yr_sch_ns_85_yr_over,F_High_yr_sch_ns_Tot,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Yr_12_eq_15_19_yr,P_Yr_12_eq_20_24_yr,P_Yr_12_eq_25_34_yr,P_Yr_12_eq_35_44_yr,P_Yr_12_eq_45_54_yr,P_Yr_12_eq_55_64_yr,P_Yr_12_eq_65_74_yr,P_Yr_12_eq_75_84_yr,P_Yr_12_eq_85_yr_over,P_Yr_12_eq_Tot,P_Yr_11_eq_15_19_yr,P_Yr_11_eq_20_24_yr,P_Yr_11_eq_25_34_yr,P_Yr_11_eq_35_44_yr,P_Yr_11_eq_45_54_yr,P_Yr_11_eq_55_64_yr,P_Yr_11_eq_65_74_yr,P_Yr_11_eq_75_84_yr,P_Yr_11_eq_85_yr_over,P_Yr_11_eq_Tot,P_Yr_10_eq_15_19_yr,P_Yr_10_eq_20_24_yr,P_Yr_10_eq_25_34_yr,P_Yr_10_eq_35_44_yr,P_Yr_10_eq_45_54_yr,P_Yr_10_eq_55_64_yr,P_Yr_10_eq_65_74_yr,P_Yr_10_eq_75_84_yr,P_Yr_10_eq_85_yr_over,P_Yr_10_eq_Tot,P_Yr_9_eq_15_19_yr,P_Yr_9_eq_20_24_yr,P_Yr_9_eq_25_34_yr,P_Yr_9_eq_35_44_yr,P_Yr_9_eq_45_54_yr,P_Yr_9_eq_55_64_yr,P_Yr_9_eq_65_74_yr,P_Yr_9_eq_75_84_yr,P_Yr_9_eq_85_yr_over,P_Yr_9_eq_Tot
RA25,0,4,6,23,26,8,0,0,0,71,0,0,0,11,13,13,0,0,0,36,0,0,3,8,16,19,0,0,0,47,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,9,19,90,121,93,13,0,0,339,0,4,30,131,163,141,16,0,0,493,0,0,5,5,0,4,0,0,0,16,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,13,16,0,0,0,49,0,0,17,14,18,24,0,0,0,72,0,4,16,30,26,15,0,0,0,86,0,0,0,11,11,14,0,0,0,38,0,0,3,8,16,17,0,0,0,49,0,0,0,0,0,5,0,0,0,5
RA30,30689,91240,175885,165532,131817,84893,63415,29289,6996,779753,3394,5132,13308,13661,15940,14891,9088,4093,963,80476,5538,6371,22974,26266,40590,51963,41058,20458,5120,220331,1707,1197,3767,4788,6319,8190,8399,5593,1874,41828,542,433,1584,2193,2953,4316,8197,10913,4739,35866,93,266,1234,1183,1254,1312,1068,702,389,7500,4270,6159,14364,11762,10030,8250,7961,6966,3949,73696,46236,110802,233112,225376,208898,173816,139178,78009,24026,1239445,32597,95981,198590,191455,152071,94260,58851,25456,7685,856952,2445,3854,11428,11730,15911,15234,10383,4880,1318,77188,3816,4948,17601,20054,37831,59261,57149,29028,9724,239417,1021,775,2735,3513,5162,7722,9814,6788,3002,40537,301,304,1266,1857,2702,4222,9884,13689,8561,42789,67,226,1030,1305,1553,1548,1337,1010,725,8790,4150,5944,13997,11355,9306,8216,8620,8878,7672,78139,44398,112039,246646,241281,224538,190470,156034,89722,38688,1343817,63287,187225,374477,356988,283884,179157,122261,54744,14684,1636705,5838,8989,24733,25394,31861,30125,19473,8971,2281,157663,9356,11318,40580,46320,78417,111219,98204,49489,14844,459744,2724,1972,6500,8299,11482,15911,18217,12383,4871,82365
RA31,6935,18325,32542,30854,26908,19185,17647,8245,1670,162299,1529,1862,4154,4285,5378,5533,3900,1569,297,28512,2867,3086,10227,11388,18432,28401,24209,9566,1821,109994,839,512,1584,2289,3280,5217,5628,2928,807,23084,246,246,649,1000,1489,2674,6395,7983,2938,23618,33,81,280,243,285,314,340,263,111,1954,1845,1829,4254,4075,4474,4438,4389,3406,1428,30145,14294,25945,53687,54139,60250,65755,62505,33961,9069,379606,7126,19222,40081,40354,35274,24520,16580,7228,1825,192211,1051,1328,3634,4170,5825,6290,4040,1673,374,28384,1960,2166,6908,8512,16741,29588,27602,11585,3146,108211,586,391,1136,1603,2459,4472,5336,3057,1146,20181,135,135,387,588,1007,1813,5471,7707,4256,21501,38,94,282,304,282,315,295,236,133,1985,1578,1604,3667,3653,3802,4009,4359,3979,2444,29099,12471,24947,56099,59184,65387,71001,63684,35453,13331,401564,14058,37540,72625,71208,62183,43703,34226,15465,3496,354513,2574,3191,7787,8458,11204,11819,7940,3241,676,56892,4827,5256,17130,19902,35177,57980,51810,21150,4969,218204,1426,908,2722,3894,5737,9678,10967,5983,1950,43265
RA32,4877,14211,26936,24126,21215,14592,12267,4807,867,123897,1050,1306,3326,3584,4529,4581,2919,939,147,22381,1876,1954,6926,8146,12438,18787,14708,5271,970,71076,527,355,1028,1413,2143,3353,3523,1780,369,14502,125,146,433,606,970,1890,3878,4409,1523,13976,28,53,188,183,232,283,230,217,105,1518,1926,3031,6883,6221,6341,6064,4790,2648,851,38756,10420,21057,45725,44274,47870,49550,42311,20064,4832,286103,5194,14843,32080,30727,26379,17234,10670,3935,864,141946,674,915,2613,3146,4227,4793,2798,936,202,20297,1127,1335,4494,5734,10122,18001,15679,6064,1610,64164,359,238,814,952,1501,2657,2927,1627,525,11600,86,86,272,464,638,1294,2999,3983,2174,11995,20,32,179,195,253,247,259,189,114,1488,1752,2169,5172,4204,4273,4321,3867,2567,1302,29630,9222,19617,45621,45421,47394,48543,39206,19300,6790,281109,10077,29058,59016,54852,47588,31827,22940,8741,1734,265838,1720,2221,5942,6735,8753,9375,5712,1869,344,42671,3003,3294,11422,13878,22557,36783,30392,11331,2579,135237,892,594,1846,2363,3648,6008,6454,3410,893,26101
RA33,442,1435,3321,2692,2125,1651,1260,367,55,13341,109,167,474,465,539,517,355,83,8,2731,232,297,974,1149,1834,2688,1812,533,73,9589,63,47,202,216,361,509,490,188,16,2096,46,21,79,87,162,330,594,526,130,1983,4,14,23,18,26,35,47,29,0,194,266,509,1543,1471,1738,1554,961,346,86,8475,1168,2500,6607,6094,6786,7296,5517,2066,375,38416,460,1623,3700,2846,2340,1679,1023,296,66,14037,88,148,375,316,428,522,302,80,15,2276,148,162,622,697,1182,2044,1613,503,101,7065,52,36,112,134,197,336,321,121,31,1336,25,18,36,42,72,171,379,349,127,1222,3,4,10,4,12,23,23,19,9,112,220,380,847,656,696,852,617,273,102,4641,1007,2361,5709,4692,4929,5624,4271,1645,448,30684,898,3067,7021,5532,4462,3332,2276,664,122,27379,202,318,849,782,969,1043,659,161,25,5005,382,459,1599,1839,3013,4728,3428,1036,170,16660,119,86,311,347,556,845,808,307,41,3427
RA34,399,1097,2404,1812,1482,1194,1118,272,30,9811,123,195,365,342,419,413,308,65,7,2243,275,320,851,860,1367,1898,1474,357,40,7442,107,73,181,196,286,406,412,161,16,1849,63,29,78,92,163,354,596,415,90,1876,6,5,14,14,21,22,43,30,10,166,186,368,1010,885,995,1010,727,301,71,5548,1172,2089,4903,4204,4735,5300,4671,1594,263,28937,428,1303,2742,2039,1738,1505,856,203,40,10855,105,178,354,322,414,457,287,67,12,2182,182,224,506,594,918,1694,1332,320,70,5843,65,43,84,111,138,263,299,78,17,1097,32,21,44,47,66,191,396,332,132,1259,6,5,10,9,12,20,25,26,12,124,162,268,587,480,527,705,542,187,70,3531,984,2037,4334,3602,3800,4833,3745,1207,355,24895,835,2401,5145,3853,3216,2700,1978,471,72,20664,223,376,717,669,829,866,593,135,17,4429,458,540,1359,1456,2283,3585,2810,676,109,13284,177,122,266,306,426,666,705,241,31,2946
RA35,0,7,8,15,8,8,4,0,0,52,0,0,0,3,0,0,0,0,0,9,0,0,12,8,13,4,0,0,0,36,0,0,0,3,5,0,0,0,0,8,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,40,74,45,16,6,0,0,192,6,9,69,102,77,26,14,0,0,300,0,3,8,3,0,4,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,12,3,0,0,0,0,0,29,6,3,21,7,3,5,0,0,0,53,0,4,16,20,8,10,4,0,0,70,0,0,0,3,0,0,0,0,0,13,0,0,12,8,11,3,0,0,0,33,0,0,0,0,5,0,0,0,0,11
RA40,10379,35779,67677,59924,48623,35156,26865,12065,3540,300002,2010,4360,10868,11063,15250,18263,12308,4421,1159,79693,1357,2154,7580,8688,10214,13393,11953,7426,2337,65106,385,390,1616,2037,2332,3546,3395,2696,1224,17616,190,251,881,1237,1342,2093,4039,5357,3212,18605,37,159,609,844,993,982,838,649,419,5529,1224,1687,4012,3601,3186,2978,2762,2474,1527,23451,15578,44782,93231,87394,81935,76398,62168,35090,13416,509999,11076,36519,75517,69236,55690,40030,25491,11355,4200,329125,1251,2786,7429,8303,13775,19904,14577,5208,1932,75166,860,1565,5466,6574,8579,13610,17288,10759,4294,68997,244,301,1145,1571,1897,3301,4261,4096,2368,19189,105,136,716,1120,1210,2020,5003,7343,5621,23287,26,92,610,980,1288,1216,1056,1075,917,7270,1153,1567,3700,3215,2752,2726,3183,3564,2789,24657,14720,42968,94589,91004,85189,82817,70858,43411,22127,547680,21453,72303,143193,129161,104313,75180,52356,23421,7743,629121,3264,7142,18293,19365,29024,38166,26885,9629,3087,154852,2221,3722,13046,15262,18789,27002,29240,18190,6634,134100,633,691,2756,3611,4228,6846,7658,6794,3591,36802
RA41,1002,2721,4176,4328,4924,4128,4177,1953,399,27809,365,632,1568,1752,2681,3618,2606,882,190,14299,257,324,1298,1602,2004,3052,2989,1641,380,13557,82,65,267,383,501,934,951,721,226,4133,28,26,89,145,165,314,876,1134,515,3287,5,4,24,32,22,29,38,44,15,219,224,240,467,505,633,706,702,566,252,4293,1963,4016,7884,8754,10941,12789,12342,6948,1978,67605,1180,2946,5635,6251,6538,5244,4028,1673,414,33912,185,366,1066,1363,2507,3865,2925,926,258,13459,125,202,820,1030,1442,2712,3433,1977,562,12300,47,42,145,221,313,667,909,788,321,3445,12,9,63,83,98,215,674,1021,814,2988,0,5,18,23,32,30,32,34,26,197,247,159,394,422,617,621,762,664,416,4320,1794,3734,8137,9387,11553,13361,12763,7079,2810,70621,2186,5669,9809,10582,11462,9382,8196,3625,819,61726,554,1003,2627,3106,5186,7486,5532,1813,443,27753,380,527,2123,2633,3447,5765,6424,3620,944,25861,128,103,411,605,817,1598,1859,1514,548,7576
RA42,1009,2882,5503,4561,4648,3486,3153,1250,305,26793,629,1074,2391,2295,3466,4529,2972,823,153,18336,366,625,1905,2218,2539,3979,3659,1685,408,17383,107,83,372,500,724,1241,1438,884,284,5633,39,52,199,222,278,666,1514,1676,717,5352,5,24,71,93,114,92,65,66,34,569,385,424,934,949,1111,1287,1198,848,317,7457,2540,5160,11374,10832,12883,15286,14004,7232,2213,81519,1050,3194,6981,6370,6256,4494,2986,1245,403,32971,275,611,1552,1849,3138,4726,2953,952,218,16278,198,287,1112,1308,1753,3229,3880,2028,586,14377,59,53,221,310,425,869,1146,1010,404,4504,26,22,99,128,186,382,1107,1607,1116,4664,6,12,47,57,67,63,64,80,45,440,308,295,751,767,873,1010,1104,1036,575,6713,1920,4467,10762,10790,12697,14778,13244,7959,3336,79949,2061,6075,12487,10932,10899,7979,6136,2495,704,59769,900,1688,3941,4147,6602,9263,5926,1776,372,34619,560,912,3019,3526,4291,7208,7542,3710,990,31755,168,137,594,809,1146,2110,2586,1891,690,10137
RA43,204,654,1655,1494,1307,924,745,295,63,7343,105,207,605,587,792,1150,687,164,28,4333,83,112,436,505,589,935,774,405,78,3920,12,16,78,90,131,240,286,190,36,1095,7,0,28,29,46,94,243,306,150,899,0,4,10,3,5,6,8,4,6,48,91,137,481,445,464,434,285,173,71,2586,509,1132,3301,3159,3337,3778,3028,1547,436,20225,225,686,1874,1703,1503,1114,750,256,83,8201,41,133,280,335,614,1069,661,164,49,3350,33,50,237,234,354,599,748,408,130,2791,7,9,47,45,71,133,206,176,59,746,4,6,17,23,14,56,160,259,180,715,0,0,0,0,0,4,5,4,0,28,87,93,238,215,236,255,243,165,107,1642,399,979,2698,2558,2800,3232,2771,1428,614,17482,435,1338,3534,3200,2812,2036,1495,552,142,15548,147,342,887,927,1404,2227,1347,329,82,7679,116,160,677,743,945,1530,1522,816,207,6714,24,20,128,135,206,371,497,366,101,1842
RA44,73,215,579,496,396,381,319,101,11,2567,43,92,221,217,302,353,209,41,3,1489,52,72,222,235,290,383,325,94,14,1679,25,23,65,53,66,143,98,43,11,531,12,11,28,41,58,81,113,112,32,492,0,0,4,4,8,12,7,6,3,49,53,103,283,280,332,315,180,104,28,1674,266,515,1403,1326,1453,1672,1260,486,107,8488,64,218,612,467,434,371,250,67,7,2488,26,59,132,110,176,298,172,36,5,1012,35,47,114,130,142,238,253,75,15,1056,12,17,41,31,51,56,67,32,17,323,9,5,22,32,55,55,69,60,45,358,0,0,4,8,4,5,11,4,6,39,43,49,163,103,142,177,163,71,43,948,196,401,1086,871,1005,1203,991,344,128,6226,135,434,1190,963,831,757,568,162,15,5057,73,148,351,332,484,652,378,77,10,2509,90,120,335,365,433,618,578,170,31,2735,45,40,105,84,113,201,171,76,21,855
RA45,0,0,0,7,8,0,0,0,0,14,0,0,0,3,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,8,0,0,0,16,10,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,0,0,0,14,0,0,0,3,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
RA50,17941,50695,100376,100681,77192,55701,41511,18570,4783,467452,2755,4510,12082,12378,12633,10651,5874,2643,593,64124,3504,5189,16463,18068,25438,30769,24281,11360,3024,138098,997,727,2007,2515,3083,4120,4988,3967,1551,23957,260,273,876,1267,1528,2290,4081,5119,2721,18420,54,148,703,875,994,926,799,625,359,5480,2174,2923,7281,6706,5622,4691,4377,4062,2582,40418,27677,64463,139792,142489,126493,109153,85915,46348,15614,757948,18842,52807,118390,117229,88199,62357,39735,17383,5634,520578,1767,3289,9693,10147,13164,14050,8018,3389,959,64486,2587,3999,12811,14380,23352,30003,30894,15697,5742,139461,735,525,1405,1948,2436,3727,5514,4782,2584,23656,214,182,781,1341,1822,2630,4932,6100,4360,22367,48,89,622,997,1113,1243,1104,941,795,6956,2075,2664,6971,6054,4895,4271,4953,5401,4778,42063,26272,63559,150667,152106,134976,118278,95153,53699,24848,819564,36786,103498,218764,217914,165388,118057,81248,35952,10419,988028,4526,7803,21778,22528,25795,24700,13896,6032,1550,128605,6089,9191,29273,32450,48789,60773,55176,27063,8763,277561,1733,1251,3410,4464,5523,7847,10496,8752,4132,47615
RA51,1379,3286,5995,6732,6164,5124,4636,1928,381,35633,525,690,1526,1803,1976,1570,1014,410,76,9574,685,956,2996,3530,4753,5904,4721,1909,337,25789,145,98,297,384,537,872,1079,716,208,4339,40,42,128,134,184,312,692,819,437,2784,3,16,46,56,98,92,48,46,30,442,412,526,1218,1120,1181,1058,944,658,315,7426,3188,5605,12220,13766,14892,14929,13131,6492,1773,85987,1529,3381,7985,9510,8406,6588,4380,1809,483,44082,303,381,1299,1667,2077,2304,1342,456,113,9947,445,532,1824,2434,4068,5190,5049,2219,651,22399,114,81,206,231,336,622,891,685,327,3490,11,26,68,90,114,215,532,772,528,2355,3,9,39,25,27,33,38,33,35,244,342,333,826,817,906,931,924,787,526,6390,2752,4736,12248,14772,15935,15875,13154,6759,2670,88899,2907,6665,13980,16246,14565,11717,9014,3743,867,79709,824,1071,2831,3473,4056,3869,2356,866,186,19528,1123,1486,4820,5969,8820,11090,9767,4127,983,48190,263,173,512,612,873,1495,1964,1402,531,7825
RA52,1011,2601,5422,5302,4912,4288,3457,1348,321,28649,498,627,1319,1335,1526,1367,869,328,77,7954,678,783,2323,2493,3596,5086,3799,1532,354,20653,155,98,245,341,480,783,982,688,214,3982,42,41,111,132,189,349,737,862,396,2860,12,9,54,76,77,72,58,59,35,449,477,507,1270,1317,1374,1422,1195,727,252,8538,2864,4661,10742,10995,12155,13373,11095,5544,1648,73080,1020,2717,6726,6816,6019,5111,3312,1398,425,33544,286,382,1078,1139,1607,1950,1121,385,78,8022,396,560,1431,1827,2931,4030,3752,1662,540,17110,109,89,153,227,297,489,734,646,263,3005,26,23,68,96,136,247,464,703,449,2203,4,16,29,47,62,54,61,60,41,372,435,415,1015,1095,1053,1132,1040,798,453,7439,2272,4199,10494,11247,12112,13005,10489,5641,2246,71697,2031,5312,12153,12122,10933,9394,6769,2746,745,62196,781,1010,2390,2473,3137,3322,1991,711,158,15978,1069,1338,3753,4323,6528,9116,7555,3194,892,37762,263,183,398,568,781,1274,1712,1329,476,6987
RA53,491,1386,3991,4136,3062,2243,1541,515,78,17446,199,263,804,939,927,861,406,115,9,4533,218,315,1186,1544,1928,2391,1700,550,77,9908,65,52,179,216,244,371,439,196,48,1813,13,10,45,60,105,158,294,272,100,1059,6,3,16,35,28,28,13,19,11,153,339,505,1680,1826,1743,1556,825,354,79,8908,1320,2545,7904,8757,8051,7608,5217,2024,398,43821,451,1466,4873,4376,2868,2236,1337,420,89,18112,106,173,559,633,782,886,468,126,18,3751,133,200,728,869,1226,1675,1528,504,97,6953,39,37,86,108,157,219,262,180,63,1151,15,5,26,55,65,93,199,187,95,740,0,3,10,15,17,17,19,13,11,112,280,381,1170,1019,913,900,666,300,95,5724,1018,2261,7449,7065,6030,6032,4483,1721,472,36545,936,2852,8864,8514,5932,4483,2880,931,165,35556,302,434,1364,1574,1710,1748,881,239,33,8284,349,512,1919,2405,3153,4067,3224,1052,173,16862,101,90,257,322,404,588,706,379,114,2959
RA54,308,1539,5437,4875,3788,2826,1873,413,33,21077,170,310,1326,1364,1345,993,508,112,5,6126,222,479,1762,1948,2527,2860,1943,433,40,12218,94,83,229,303,377,481,473,200,19,2252,54,37,100,127,197,285,380,260,41,1479,8,7,33,38,63,50,48,44,17,301,330,1072,4398,4335,4146,2953,1056,266,33,18607,1192,3521,13287,12984,12451,10442,6277,1720,192,62058,346,1435,4122,2882,2136,2271,1449,277,28,14953,124,255,642,591,657,865,449,79,9,3668,181,306,810,833,1159,1705,1571,339,32,6942,91,49,122,149,183,240,325,125,15,1305,55,31,70,70,122,165,220,162,29,924,6,6,17,17,29,39,52,44,22,226,248,628,1625,1130,1168,1042,637,211,41,6727,1054,2696,7415,5671,5459,6332,4706,1230,179,34743,657,2968,9563,7755,5926,5096,3322,685,63,36033,288,561,1972,1949,2003,1860,959,189,15,9801,409,776,2577,2788,3689,4562,3521,766,72,19155,184,132,348,449,559,718,795,325,35,3556
RA55,0,37,164,325,243,122,47,6,0,942,0,3,33,72,81,43,8,0,0,246,6,7,31,96,118,83,22,3,0,366,0,0,5,5,8,10,0,0,0,32,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,4,6,28,190,414,378,198,35,4,0,1263,13,81,430,908,839,449,117,15,0,2854,7,19,53,29,29,38,22,7,0,198,0,0,3,0,0,7,3,0,0,22,0,6,0,0,4,7,12,3,0,40,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,29,20,23,24,12,5,0,124,8,36,89,49,60,77,61,17,0,392,5,59,216,349,273,156,75,7,0,1134,0,3,43,74,83,53,13,0,0,272,6,9,31,95,129,92,39,10,0,402,0,0,7,3,8,8,0,0,0,38
RA61,1971,7657,19302,13662,9753,7507,6479,2853,882,70062,650,946,1961,1874,1759,1196,749,414,120,9664,939,1404,3815,3809,6489,7990,5491,2572,694,33197,121,97,354,307,626,1338,1899,1480,304,6528,61,74,217,227,269,488,896,1063,603,3898,10,22,144,124,152,151,124,74,42,837,411,547,1396,1011,917,915,957,828,412,7388,4156,10741,27186,21016,19969,19585,16592,9283,3055,131575,2148,8049,20283,15813,11963,9108,6530,2872,986,77744,530,800,1930,1791,1998,1686,1139,531,161,10571,559,968,2880,3289,6177,8196,7039,3803,1426,34335,88,81,238,230,511,1120,2207,1907,553,6938,40,50,206,192,230,423,763,1092,1184,4184,8,24,130,151,189,126,105,94,50,881,345,506,1230,901,799,878,1097,1168,746,7672,3727,10486,26901,22368,21869,21539,18886,11460,5106,142327,4114,15705,39581,29475,21712,16610,13007,5728,1864,147805,1180,1749,3892,3667,3754,2887,1884,944,280,20235,1498,2369,6695,7098,12664,16180,12530,6375,2121,67529,206,180,591,543,1143,2453,4108,3389,856,13470
RA62,827,2596,4855,4446,3706,3769,3950,1640,318,26109,495,632,1219,1242,1057,894,739,303,53,6627,837,1134,3220,3249,5795,7355,4766,1883,312,28548,92,68,219,280,639,1521,2331,1477,253,6886,40,33,95,111,227,534,1013,970,568,3587,12,10,34,32,33,49,55,33,16,268,321,273,729,675,846,994,1087,765,336,6027,2616,4753,10368,10031,12307,15104,13944,7071,1856,78046,947,2909,6237,6181,5264,5050,3714,1452,387,32151,385,557,1306,1291,1453,1375,886,295,61,7609,462,695,2315,2670,5172,6940,5067,2317,613,26255,70,58,158,174,455,1197,2182,1487,361,6140,29,23,50,77,123,288,680,758,771,2796,6,8,26,10,32,46,37,25,21,212,282,262,648,642,725,914,1023,907,441,5835,2188,4514,10739,11045,13219,15814,13586,7231,2657,80994,1773,5513,11095,10624,8971,8817,7660,3092,704,58258,885,1186,2519,2538,2507,2271,1624,593,119,14236,1299,1829,5529,5917,10970,14295,9831,4207,932,54800,162,120,381,452,1091,2719,4514,2965,611,13018
