RA_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Prim_Other_Non_Govt_M,Prim_Other_Non_Govt_F,Prim_Other_Non_Govt_P,Primary_Tot_M,Primary_Tot_F,Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_Ed_Ft_15_24_yr_M,Tert_Voc_Ed_Ft_15_24_yr_F,Tert_Voc_Ed_Ft_15_24_yr_P,Tert_Voc_Ed_Ft_25_yr_over_M,Tert_Voc_Ed_Ft_25_yr_over_F,Tert_Voc_Ed_Ft_25_yr_over_P,Tert_Voc_Ed_Pt_15_24_yr_M,Tert_Voc_Ed_Pt_15_24_yr_F,Tert_Voc_Ed_Pt_15_24_yr_P,Tert_Voc_Ed_Pt_25_yr_over_M,Tert_Voc_Ed_Pt_25_yr_over_F,Tert_Voc_Ed_Pt_25_yr_over_P,Tert_Voc_Ed_Ft_Pt_st_ns_M,Tert_Voc_Ed_Ft_Pt_st_ns_F,Tert_Voc_Ed_Ft_Pt_st_ns_P,Tert_Voc_Ed_Tot_M,Tert_Voc_Ed_Tot_F,Tert_Voc_Ed_Tot_P,Tert_Uni_oth_edu_Ft_15_24_M,Tert_Uni_oth_edu_Ft_15_24_F,Tert_Uni_oth_edu_Ft_15_24_P,Tert_Uni_oth_edu_Ft_25ov_M,Tert_Uni_oth_edu_Ft_25ov_F,Tert_Uni_oth_edu_Ft_25ov_P,Tert_Uni_oth_edu_Pt_15_24_M,Tert_Uni_oth_edu_Pt_15_24_F,Tert_Uni_oth_edu_Pt_15_24_P,Tert_Uni_oth_edu_Pt_25ov_M,Tert_Uni_oth_edu_Pt_25ov_F,Tert_Uni_oth_edu_Pt_25ov_P,Tert_Uni_oth_edu_F_Pt_st_ns_M,Tert_Uni_oth_edu_F_Pt_st_ns_F,Tert_Uni_oth_edu_F_Pt_st_ns_P,Tert_Uni_oth_edu_Tot_M,Tert_Uni_oth_edu_Tot_F,Tert_Uni_oth_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Oth_type_Edu_inst_Ftime_stu_M,Oth_type_Edu_inst_Ftime_stu_F,Oth_type_Edu_inst_Ftime_stu_P,Oth_type_Edu_inst_Ptime_stu_M,Oth_type_Edu_inst_Ptime_stu_F,Oth_type_Edu_inst_Ptime_stu_P,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_M,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_F,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_P,Oth_type_educ_institut_Tot_M,Oth_type_educ_institut_Tot_F,Oth_type_educ_institut_Tot_P,Type_educ_institution_ns_M,Type_educ_institution_ns_F,Type_educ_institution_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
RA33,503,461,960,2458,2300,4762,679,670,1351,99,107,204,3250,3075,6324,1382,1229,2612,481,379,855,88,104,195,1953,1711,3669,37,44,82,65,62,126,135,122,257,209,335,542,3,5,5,459,558,1016,54,175,232,63,128,196,42,109,152,203,449,656,0,3,3,373,863,1237,828,1424,2257,66,85,152,137,184,317,8,8,13,214,270,480,8857,5005,13863,298,213,510,15894,12168,28059
RA34,408,416,828,2237,2165,4399,407,410,820,70,93,160,2706,2675,5380,1066,972,2039,79,67,142,73,80,148,1214,1116,2334,33,31,63,61,69,131,68,91,164,128,248,381,5,0,5,294,446,747,23,116,138,43,118,155,22,65,82,154,315,471,0,6,6,241,617,849,538,1065,1596,42,33,73,66,101,160,3,3,11,108,135,245,5943,3936,9879,181,97,274,11097,9441,20541
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,29,228,17,10,24,210,42,257
RA40,11383,10500,21886,38558,35522,74083,11026,10662,21692,8913,8876,17787,58570,55150,113719,20687,19290,39980,9621,9858,19481,9705,9774,19483,40060,38967,79030,2416,1880,4299,2779,4091,6870,3178,2154,5325,5629,8473,14098,75,59,131,14069,16652,30723,16702,21111,37816,7498,9447,16946,2101,2699,4799,5916,10038,15953,71,74,144,32285,43370,75655,46416,60097,106516,1999,2090,4081,3167,4638,7804,65,63,133,5228,6791,12020,24784,24386,49173,1195,1273,2464,187638,197169,384801
RA41,1242,1108,2344,5006,4583,9595,620,601,1218,1737,1685,3426,7370,6874,14242,3180,3099,6280,404,389,790,1405,1542,2949,4990,5035,10026,144,146,289,107,262,367,504,343,845,526,955,1481,9,12,23,1298,1717,3012,603,1138,1737,202,466,668,100,189,288,281,911,1193,0,8,11,1192,2708,3898,2495,4427,6919,127,139,263,219,447,674,8,3,12,355,596,944,4890,4378,9264,72,71,140,21400,22485,43885
RA42,1353,1351,2707,6276,5872,12155,1479,1459,2937,772,744,1519,8545,8083,16630,4156,3980,8137,856,882,1736,473,470,943,5489,5334,10825,118,170,291,116,304,417,602,354,963,558,1066,1619,14,17,25,1402,1910,3315,163,581,739,154,482,638,71,179,247,297,849,1144,4,4,12,687,2096,2772,2088,4007,6090,143,169,308,233,454,685,18,12,33,391,635,1024,8899,6877,15776,760,147,902,27519,26434,53951
RA43,323,291,612,1492,1369,2863,345,337,683,137,130,263,1974,1834,3811,887,741,1625,146,212,351,92,112,209,1132,1062,2193,28,26,59,29,31,65,97,64,163,128,225,353,3,4,8,287,357,650,34,83,113,32,73,107,17,38,53,91,224,311,0,3,3,173,419,594,464,779,1241,21,24,46,47,113,155,0,4,6,71,140,213,2826,1724,4542,38,25,66,6825,5855,12680
RA44,126,147,273,538,567,1106,17,10,25,49,53,104,604,630,1238,294,290,586,3,3,7,12,18,30,315,318,631,3,3,10,9,11,19,20,17,36,42,58,95,3,3,4,75,90,167,10,26,32,15,20,36,8,15,20,40,65,105,0,0,0,73,126,200,151,216,368,10,3,9,8,28,40,0,0,0,19,34,46,1660,926,2588,16,20,35,2887,2291,5177
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,7,0,7,12,0,12
RA50,19014,17493,36512,63291,59417,122706,14451,14365,28808,12201,12079,24281,90079,86028,176105,41034,38222,79259,15146,14935,30078,16039,15757,31795,72301,69006,141311,4864,4594,9452,3892,6594,10481,6125,3563,9694,6742,11930,18670,92,89,180,21708,26773,48481,22314,28609,50928,8879,11747,20628,3712,4658,8374,8526,14329,22855,101,121,220,43539,59466,102999,65372,86364,151735,3125,3406,6533,5238,8185,13423,97,97,193,8463,11688,20150,44825,43254,88079,2696,2595,5293,302757,316430,619184
RA51,1810,1754,3567,6663,6006,12674,1804,1759,3565,1454,1355,2811,9934,9132,19069,5104,4769,9866,1529,1613,3142,1412,1452,2863,8042,7841,15885,342,322,664,162,456,617,865,477,1341,559,1331,1892,20,7,26,1946,2594,4540,302,701,999,183,593,775,88,226,314,421,1219,1638,0,3,7,1004,2737,3736,2950,5342,8290,231,256,491,379,693,1073,13,14,22,623,963,1587,10408,6822,17231,302,192,493,34070,32056,66125
RA52,1477,1393,2869,5216,4765,9978,1279,1297,2579,808,866,1670,7319,6937,14258,3917,3677,7595,1073,1166,2241,761,872,1630,5768,5721,11486,270,292,562,147,283,428,674,409,1086,556,1257,1813,9,4,15,1663,2245,3910,197,344,534,178,371,553,75,160,234,362,956,1321,5,3,11,816,1829,2646,2481,4081,6567,166,162,327,313,502,814,14,7,23,491,671,1164,10089,8123,18209,265,154,419,27883,27088,54975
RA53,789,767,1551,3447,3328,6772,584,502,1079,156,136,293,4190,3973,8159,1925,1841,3771,349,362,714,147,142,294,2429,2352,4784,106,102,205,66,80,144,239,173,413,355,682,1041,11,8,17,778,1041,1821,59,190,241,71,216,286,22,81,97,242,545,791,0,4,6,394,1032,1425,1174,2078,3251,78,79,156,139,255,400,3,3,3,218,345,563,10106,6712,16815,224,152,379,19124,16373,35499
RA54,509,495,1002,2285,2046,4335,412,398,811,235,226,469,2940,2678,5617,974,933,1908,135,134,271,131,154,283,1235,1216,2455,49,28,83,65,68,131,124,82,202,384,349,730,0,0,9,635,528,1155,34,83,121,95,111,207,34,58,93,373,418,793,6,0,6,542,677,1221,1174,1201,2377,69,55,122,116,152,273,7,0,8,191,214,403,19299,7402,26698,490,300,789,25837,13509,39345
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,5,6,3,9,22,0,21,0,0,0,30,3,32,3,0,3,5,0,5,0,0,0,21,5,27,0,0,0,33,5,36,60,10,69,0,0,0,8,3,7,0,0,0,8,3,7,1252,127,1379,143,16,164,1464,160,1629
RA61,2292,2194,4481,10296,9364,19663,2813,2884,5699,1692,1684,3376,14814,13947,28768,5955,5658,11610,2432,2604,5036,2139,2038,4170,10534,10302,20836,693,710,1405,1571,1676,3244,1211,689,1901,1888,1977,3867,25,26,53,5385,5081,10468,2614,3261,5877,2017,2428,4441,398,574,973,1637,3002,4639,16,15,29,6684,9270,15959,12088,14371,26464,727,768,1497,741,1161,1903,18,14,31,1489,1946,3430,8154,7724,15872,457,264,724,49825,50741,100568
RA62,975,921,1893,6000,5750,11745,1293,1252,2544,668,701,1365,7969,7707,15672,3929,3725,7650,1004,1066,2065,640,613,1252,5578,5406,10981,338,335,675,236,360,602,672,405,1073,680,1015,1697,21,11,30,1954,2127,4081,321,697,1017,264,523,790,94,188,283,488,1087,1572,3,11,17,1174,2504,3674,3128,4645,7772,272,288,553,244,467,715,14,13,26,527,770,1297,6473,6183,12656,158,100,259,24801,25728,50532
RA63,48,41,90,173,186,358,70,60,131,3,7,11,248,260,501,115,102,220,3,13,10,6,5,11,131,123,247,8,4,11,24,14,39,21,12,35,27,44,72,0,0,0,78,72,156,6,14,22,15,22,45,4,4,4,29,47,78,0,3,3,61,91,153,144,168,308,19,14,33,10,29,44,0,0,0,24,43,72,525,434,959,31,19,45,1145,1084,2228
RA64,23,8,30,88,92,179,0,0,0,0,0,0,88,92,179,36,29,68,0,0,0,5,0,4,43,32,75,10,0,10,3,0,0,3,3,6,11,18,21,0,0,0,20,23,40,0,6,3,4,5,4,0,3,3,8,12,15,0,0,0,10,18,29,30,39,73,3,0,0,6,5,6,0,0,0,4,7,11,116,104,216,6,5,3,301,291,588
RA65,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,4,0,0,0,0,0,6,0,0,0,4,3,10,4,8,9,0,0,0,0,0,0,0,0,0,0,0,0,101,15,109,8,0,13,113,18,134
RA72,1395,1316,2706,4774,4513,9288,714,726,1444,795,871,1667,6291,6122,12414,2821,2827,5641,751,726,1472,800,845,1647,4374,4397,8771,183,142,327,326,349,680,307,246,552,648,1047,1691,4,5,16,1471,1787,3264,658,986,1648,812,1286,2104,229,379,607,996,2106,3094,8,11,19,2705,4765,7471,4187,6565,10748,359,370,732,362,685,1047,4,7,15,735,1065,1798,9015,7619,16639,2077,552,2629,28067,27630,55699
RA73,453,381,833,1581,1451,3035,514,500,1010,278,266,542,2379,2218,4599,637,580,1213,338,351,689,373,323,697,1348,1259,2610,30,15,44,53,66,117,91,57,151,200,304,507,4,0,8,373,446,816,35,105,137,103,210,315,26,73,102,312,624,937,3,0,3,484,1012,1499,855,1461,2323,85,77,162,95,165,263,6,5,13,181,257,438,4162,3527,7688,122,118,238,9503,9220,18720
RA74,434,412,847,2406,2130,4530,114,108,223,121,125,251,2642,2362,5003,1025,1029,2057,47,51,93,135,79,209,1199,1155,2357,11,18,33,19,18,36,30,28,61,109,125,232,0,4,5,170,194,366,18,48,65,38,78,116,12,35,51,129,253,384,4,3,6,205,416,625,374,615,985,35,39,73,47,74,126,0,3,5,88,114,204,4284,2650,6932,224,95,323,9242,7402,16646
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,7,0,0,0,3,0,9,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,135,19,151,12,7,17,154,19,172
RA80,4588,4217,8809,12902,11991,24891,4497,4187,8684,2171,2265,4440,19596,18462,38055,8443,7715,16163,3641,3454,7098,2231,2422,4648,14330,13607,27933,726,674,1398,1078,1145,2220,1572,956,2527,2469,3215,5686,18,14,28,5862,6002,11861,7762,9235,16996,3202,3518,6722,1149,1489,2636,4229,5870,10106,30,28,62,16373,20146,36512,22261,26170,48432,1065,946,2011,1633,2096,3733,11,18,30,2714,3062,5777,9226,8332,17564,553,597,1151,73267,74453,147719
RA81,11,9,24,22,20,41,9,5,12,7,4,11,38,23,65,15,3,14,10,8,22,0,4,10,27,17,47,0,3,3,0,0,0,5,6,9,0,10,12,0,0,0,3,18,21,8,13,15,3,6,7,0,0,0,6,5,14,0,0,0,16,17,32,18,35,50,0,5,0,0,4,5,0,0,0,0,5,8,29,29,53,0,0,0,130,118,247
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA91,6,3,7,3,13,21,0,0,0,0,0,0,7,13,21,4,5,13,0,4,3,0,0,0,4,12,16,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,5,3,5,0,3,4,0,5,5,0,0,0,8,4,13,0,0,0,11,8,19,14,9,22,0,0,0,0,0,0,0,0,0,4,0,4,50,44,97,6,0,9,86,86,168
RA94,47,30,74,177,156,335,0,0,0,0,0,0,180,156,334,107,107,218,0,0,0,0,0,3,108,109,216,6,0,7,4,0,3,14,6,24,14,21,40,0,0,0,42,37,79,0,4,10,0,8,9,0,10,5,8,16,28,0,0,3,16,40,59,57,73,132,3,0,3,5,8,17,0,0,0,9,10,21,657,383,1039,13,5,17,1061,767,1825
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
