RA_CODE_2021,Couple_fam_with_no_child_F,Couple_fam_with_no_child_P,Co_f_ch_u_15_de_st_no_de_ch_F,Co_f_ch_u_15_de_st_no_de_ch_P,Co_f_c_u_15_d_st_no_no_d_c_F,Co_f_c_u_15_d_st_no_no_d_c_P,Co_f_c_u_15_no_d_st_no_d_c_F,Co_f_c_u_15_no_d_st_no_d_c_P,Co_f_c_u_15_n_d_st_n_n_d_c_F,Co_f_c_u_15_n_d_st_n_n_d_c_P,Cou_fam_with_child_u_15_Tot_F,Cou_fam_with_child_u_15_Tot_P,Co_f_no_c_u_15_d_st_no_d_c_F,Co_f_no_c_u_15_d_st_no_d_c_P,Co_f_n_c_u_15_d_st_n_n_d_c_F,Co_f_n_c_u_15_d_st_n_n_d_c_P,Co_f_n_c_u_15_n_d_st_n_d_c_F,Co_f_n_c_u_15_n_d_st_n_d_c_P,Cou_fam_no_ch_u_15_Tot_F,Cou_fam_no_ch_u_15_Tot_P,Couple_family_Tot_F,Couple_family_Tot_P,OnePF_CU15_DS_no_de_c_F,OnePF_CU15_DS_no_de_c_P,OnePF_CU15_DS_no_no_d_c_F,OnePF_CU15_DS_no_no_d_c_P,OnePF_CU15_no_DS_no_d_c_F,OnePF_CU15_no_DS_no_d_c_P,OnePF_CU15_no_DS_n_n_d_c_F,OnePF_CU15_no_DS_n_n_d_c_P,OnePF_CU15_Tot_F,OnePF_CU15_Tot_P,OneFP_no_CU15_DS_no_d_c_F,OnePF_no_CU15_DS_no_d_c_P,OnePF_no_CU15_DS_n_n_d_c_F,OnePF_no_CU15_DS_n_n_d_c_P,OnePF_no_CU15_no_DS_n_d_c_F,OnePF_no_CU15_no_DS_n_d_c_P,OnePF_no_CU15_Tot_F,OnePF_no_CU15_Tot_P,OnePF_Tot_F,OnePF_Tot_P,Other_family_F,Other_family_P,Tot_F,Tot_P
RA52,21650,42408,343,1885,1682,7451,671,3009,10381,40531,13071,52882,629,2463,1080,3210,3106,9462,4816,15135,17891,68016,91,420,499,1741,352,1257,2945,8121,3889,11538,198,628,502,1043,2346,4955,3045,6629,6938,18166,620,1296,47101,129879
RA53,8279,16086,150,764,888,3740,279,1249,6138,24123,7453,29873,211,804,443,1221,1072,3315,1728,5336,9185,35213,38,204,200,708,144,551,1203,3360,1587,4819,50,160,194,385,726,1570,972,2112,2557,6929,263,554,20280,58791
RA54,4094,8099,82,467,332,1500,259,1382,3067,12172,3738,15531,73,266,154,412,497,1627,724,2307,4465,17835,34,192,117,460,210,966,1094,3269,1460,4884,38,103,87,180,643,1573,764,1864,2226,6745,312,751,11089,33426
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA61,38468,76898,591,3293,3463,15845,963,4377,19852,75233,24865,98752,1568,6446,2862,9439,6406,20314,10830,36193,35699,134947,210,919,1274,4250,595,2142,6859,17621,8934,24928,593,1830,1621,3514,5689,12297,7907,17644,16839,42574,1451,3038,92459,257466
RA62,26972,53565,371,2033,1783,8292,710,3222,9826,38074,12682,51618,817,3298,1350,4232,4118,12809,6280,20336,18970,71959,126,596,636,2184,353,1233,3580,9577,4700,13589,264,783,700,1480,3130,6657,4098,8921,8798,22507,639,1325,55376,149355
RA63,1202,2335,11,59,44,193,19,81,343,1305,418,1632,18,70,35,109,105,302,157,477,572,2114,4,17,12,58,11,52,115,308,147,431,6,12,11,31,110,237,135,277,283,708,26,52,2082,5206
RA64,370,726,3,14,21,74,0,17,130,511,160,615,3,18,8,16,27,90,44,121,203,736,0,0,4,10,0,0,33,81,35,91,4,9,6,9,32,58,42,75,71,165,8,19,657,1644
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA72,12828,25135,277,1568,1436,6574,507,2292,9762,36850,11974,47292,500,2052,978,3121,2212,7016,3693,12193,15671,59485,81,391,368,1298,243,902,2584,6873,3278,9469,177,548,430,928,1725,3780,2333,5260,5609,14728,578,1219,34687,100563
RA73,3946,7906,102,652,353,1670,280,1527,2877,11361,3614,15215,88,361,216,661,579,1875,881,2903,4496,18112,38,184,101,381,179,799,1020,2933,1346,4297,39,128,110,237,629,1531,774,1892,2119,6183,250,589,10807,32794
RA74,2173,4672,139,978,251,1395,592,3703,2547,10692,3529,16765,62,296,86,272,526,2131,674,2694,4208,19458,50,300,117,492,325,1839,1109,3483,1599,6114,32,112,50,117,668,1927,748,2157,2345,8271,289,808,9018,33207
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA80,46982,94268,659,3672,5272,23881,934,4233,32693,124935,39557,156719,2375,9967,4810,16523,7439,23954,14629,50439,54184,207163,224,1037,1289,4080,405,1407,6528,16073,8436,22598,715,2240,1888,4120,5579,12149,8185,18507,16629,41105,1773,3721,119568,346252
RA81,77,152,0,6,11,44,0,8,54,209,65,268,7,13,4,12,13,40,20,66,86,334,0,0,0,7,0,3,15,41,13,55,0,0,0,4,4,11,4,14,20,72,4,5,189,568
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA91,24,44,0,0,0,8,3,17,11,51,15,72,0,0,0,0,4,8,4,8,18,82,0,0,0,10,3,16,7,15,10,47,0,0,0,4,12,37,14,41,25,86,10,25,76,234
RA94,473,944,5,23,29,147,18,68,246,970,298,1201,10,48,19,56,60,205,97,312,396,1516,0,6,10,35,4,16,47,121,66,181,4,8,8,13,31,67,46,88,112,267,13,21,990,2744
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
