RA_CODE_2021,M_0_cond_0_14,M_0_cond_15_24,M_0_cond_25_34,M_0_cond_35_44,M_0_cond_45_54,M_0_cond_55_64,M_0_cond_65_74,M_0_cond_75_84,M_0_cond_85_over,M_0_cond_Tot,M_1_mo_con_0_14,M_1_mo_con_15_24,M_1_mo_con_25_34,M_1_mo_con_35_44,M_1_mo_con_45_54,M_1_mo_con_55_64,M_1_mo_con_65_74,M_1_mo_con_75_84,M_1_mo_con_85_over,M_1_mo_con_Tot,M_2_mo_con_0_14,M_2_mo_con_15_24,M_2_mo_con_25_34,M_2_mo_con_35_44,M_2_mo_con_45_54,M_2_mo_con_55_64,M_2_mo_con_65_74,M_2_mo_con_75_84,M_2_mo_con_85_over,M_2_mo_con_Tot,M_3_or_mo_cond_0_14,M_3_or_mo_cond_15_24,M_3_or_mo_cond_25_34,M_3_or_mo_cond_35_44,M_3_or_mo_cond_45_54,M_3_or_mo_cond_55_64,M_3_or_mo_cond_65_74,M_3_or_mo_cond_75_84,M_3_or_mo_cond_85_over,M_3_or_mo_cond_Tot,M_OM_Lterm_Health_Tot_0_14,M_OM_Lterm_Health_Tot_15_24,M_OM_Lterm_Health_Tot_25_34,M_OM_Lterm_Health_Tot_35_44,M_OM_Lterm_Health_Tot_45_54,M_OM_Lterm_Health_Tot_55_64,M_OM_Lterm_Health_Tot_65_74,M_OM_Lterm_Health_Tot_75_84,M_OM_Lterm_Health_Tot_85_ov,M_OM_Lterm_Health_Tot_Tot,M_cond_NS_0_14,M_cond_NS_15_24,M_cond_NS_25_34,M_cond_NS_35_44,M_cond_NS_45_54,M_cond_NS_55_64,M_cond_NS_65_74,M_cond_NS_75_84,M_cond_NS_85_over,M_cond_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_0_cond_0_14,F_0_cond_15_24,F_0_cond_25_34,F_0_cond_35_44,F_0_cond_45_54,F_0_cond_55_64,F_0_cond_65_74,F_0_cond_75_84,F_0_cond_85_over,F_0_cond_Tot,F_1_mo_con_0_14,F_1_mo_con_15_24,F_1_mo_con_25_34,F_1_mo_con_35_44,F_1_mo_con_45_54,F_1_mo_con_55_64,F_1_mo_con_65_74,F_1_mo_con_75_84,F_1_mo_con_85_over,F_1_mo_con_Tot,F_2_mo_con_0_14,F_2_mo_con_15_24,F_2_mo_con_25_34,F_2_mo_con_35_44,F_2_mo_con_45_54,F_2_mo_con_55_64,F_2_mo_con_65_74,F_2_mo_con_75_84,F_2_mo_con_85_over,F_2_mo_con_Tot,F_3_or_mo_cond_0_14,F_3_or_mo_cond_15_24,F_3_or_mo_cond_25_34,F_3_or_mo_cond_35_44,F_3_or_mo_cond_45_54,F_3_or_mo_cond_55_64,F_3_or_mo_cond_65_74,F_3_or_mo_cond_75_84,F_3_or_mo_cond_85_over,F_3_or_mo_cond_Tot,F_OM_Lterm_Health_Tot_0_14,F_OM_Lterm_Health_Tot_15_24,F_OM_Lterm_Health_Tot_25_34,F_OM_Lterm_Health_Tot_35_44,F_OM_Lterm_Health_Tot_45_54,F_OM_Lterm_Health_Tot_55_64,F_OM_Lterm_Health_Tot_65_74,F_OM_Lterm_Health_Tot_75_84,F_OM_Lterm_Health_Tot_85_ov,F_OM_Lterm_Health_Tot_Tot,F_cond_NS_0_14,F_cond_NS_15_24,F_cond_NS_25_34,F_cond_NS_35_44,F_cond_NS_45_54,F_cond_NS_55_64,F_cond_NS_65_74,F_cond_NS_75_84,F_cond_NS_85_over,F_cond_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_0_cond_0_14,P_0_cond_15_24,P_0_cond_25_34,P_0_cond_35_44,P_0_cond_45_54,P_0_cond_55_64,P_0_cond_65_74,P_0_cond_75_84,P_0_cond_85_over,P_0_cond_Tot,P_1_mo_con_0_14,P_1_mo_con_15_24,P_1_mo_con_25_34,P_1_mo_con_35_44,P_1_mo_con_45_54,P_1_mo_con_55_64,P_1_mo_con_65_74,P_1_mo_con_75_84,P_1_mo_con_85_over,P_1_mo_con_Tot,P_2_mo_con_0_14,P_2_mo_con_15_24,P_2_mo_con_25_34,P_2_mo_con_35_44,P_2_mo_con_45_54,P_2_mo_con_55_64,P_2_mo_con_65_74,P_2_mo_con_75_84,P_2_mo_con_85_over,P_2_mo_con_Tot,P_3_or_mo_cond_0_14,P_3_or_mo_cond_15_24,P_3_or_mo_cond_25_34,P_3_or_mo_cond_35_44,P_3_or_mo_cond_45_54,P_3_or_mo_cond_55_64,P_3_or_mo_cond_65_74,P_3_or_mo_cond_75_84,P_3_or_mo_cond_85_over,P_3_or_mo_cond_Tot,P_OM_Lterm_Health_Tot_0_14,P_OM_Lterm_Health_Tot_15_24,P_OM_Lterm_Health_Tot_25_34,P_OM_Lterm_Health_Tot_35_44,P_OM_Lterm_Health_Tot_45_54,P_OM_Lterm_Health_Tot_55_64,P_OM_Lterm_Health_Tot_65_74,P_OM_Lterm_Health_Tot_75_84,P_OM_Lterm_Health_Tot_85_ov,P_OM_Lterm_Health_Tot_Tot,P_cond_NS_0_14,P_cond_NS_15_24,P_cond_NS_25_34,P_cond_NS_35_44,P_cond_NS_45_54,P_cond_NS_55_64,P_cond_NS_65_74,P_cond_NS_75_84,P_cond_NS_85_over,P_cond_NS_Tot
RA25,0,3,10,29,39,27,7,0,0,120,0,0,0,10,9,8,0,0,0,27,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,9,0,0,0,34,0,4,19,90,121,100,13,0,0,338,0,9,30,131,163,141,16,0,0,493,0,0,4,3,4,5,0,0,0,18,0,0,3,0,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,16,8,13,16,0,0,0,49,0,0,17,14,18,24,0,0,0,72,0,3,10,36,44,36,7,0,0,133,0,0,4,8,8,10,0,0,0,34,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,9,10,15,0,0,0,45,0,4,38,98,129,111,13,0,0,389
RA30,264820,162642,171004,160495,136479,94644,55292,21864,4969,1072203,29605,30807,35652,38449,42220,44180,42517,24315,6961,294720,2101,3683,5689,7047,10300,15089,19892,14597,4888,83292,104,314,744,1652,3584,7573,12693,11794,4654,43107,31812,34811,42085,47155,56104,66842,75102,50707,16499,421115,25330,17929,20170,17833,16428,12440,8881,5490,2568,127062,321964,215385,233250,225479,209013,173920,139266,78061,24044,1620382,256494,146479,167433,162996,138917,99816,62303,24740,6899,1066074,22252,41438,48234,46744,48844,49024,47470,28889,11289,344186,1654,7284,10999,11715,15271,18919,22511,16486,8131,112975,103,569,1579,3049,6497,10504,14264,12995,7707,57280,24003,49287,60814,61516,70618,78446,84252,58377,27126,514436,23571,16672,18548,16883,15120,12327,9593,6669,4686,124069,304068,212437,246794,241392,224650,190588,156148,89781,38713,1704580,521309,309119,338432,323490,275399,194456,117595,46603,11870,2138278,51860,72243,83885,85197,91063,93210,89987,53205,18251,638901,3757,10963,16692,18768,25567,34007,42406,31087,13019,196269,209,887,2320,4704,10086,18072,26954,24789,12357,100384,55819,84095,102896,108670,126724,145287,159349,109080,43628,935554,48904,34597,38714,34716,31547,24758,18472,12160,7261,251135
RA31,73622,40751,36498,35154,35704,32144,22325,8931,1863,286993,10008,8551,8570,9954,12673,17017,18853,10192,2598,98427,778,1137,1549,2089,3764,6740,9625,6431,1819,33929,56,109,262,621,1596,4084,7016,5664,1810,21212,10838,9799,10381,12665,18038,27831,35496,22288,6226,153571,9170,6408,6842,6359,6544,5816,4698,2756,987,49576,93633,56961,53721,54175,60287,65789,62520,33976,9071,490143,71653,35718,35525,36221,36526,33266,22674,8907,2336,282828,7861,10902,12082,12738,14911,18529,19501,11321,3988,111827,636,2154,3047,3861,5628,8394,9973,6711,2874,43273,30,178,548,1225,2819,5511,6950,5557,2687,25517,8532,13232,15676,17817,23366,32429,36426,23586,9556,180614,8690,5206,4933,5188,5545,5335,4608,2987,1447,43925,88872,54158,56131,59226,65429,71025,63703,35480,13332,507360,145277,76473,72025,71374,72228,65408,45000,17834,4202,569822,17869,19458,20655,22692,27585,35546,38354,21514,6589,210255,1415,3294,4597,5949,9399,15127,19602,13138,4691,77206,86,287,808,1844,4419,9594,13965,11222,4498,46730,19363,23040,26059,30485,41398,60264,71922,45875,15778,334183,17863,11616,11774,11546,12085,11145,9303,5741,2432,93499
RA32,53613,30293,30618,28141,28085,24314,15815,5608,1047,217542,5647,4925,5663,6702,8730,11774,12122,5962,1417,62947,353,541,871,1286,2394,4247,5685,3452,890,19721,17,49,125,335,897,2290,3738,2683,852,10982,6022,5517,6661,8321,12013,18313,21539,12100,3160,93652,7957,6630,8482,7844,7799,6951,4978,2367,631,53626,67593,42436,45764,44305,47904,49576,42334,20072,4840,364816,51426,27134,29531,28834,27442,23674,14965,5411,1308,209742,4134,6557,8103,8508,9943,12014,11426,5922,1961,68568,230,1161,1729,2234,3224,4858,5354,3337,1396,23529,14,87,243,607,1458,2854,3446,2544,1229,12486,4387,7806,10078,11354,14626,19719,20215,11808,4587,104586,7432,5115,6030,5261,5355,5165,4050,2093,899,41410,63240,40056,45644,45455,47420,48563,39234,19318,6799,355734,105043,57425,60151,56980,55529,47992,30780,11022,2354,427282,9783,11485,13764,15216,18671,23790,23545,11885,3374,131515,586,1706,2601,3519,5620,9102,11034,6787,2289,43252,33,135,369,939,2353,5146,7181,5226,2083,23471,10407,13321,16738,19676,26643,38034,41760,23910,7746,198238,15387,11743,14515,13108,13155,12114,9027,4460,1531,95034
RA33,6061,3196,4256,3696,3596,3430,2072,597,86,26995,534,434,635,712,1004,1503,1440,591,105,6965,30,45,76,107,233,503,668,348,65,2071,4,7,15,18,85,242,405,213,47,1021,569,484,726,840,1317,2246,2506,1149,223,10058,1012,895,1628,1561,1875,1624,935,321,69,9923,7642,4568,6614,6096,6787,7296,5520,2067,375,46978,5846,2782,3797,2958,2828,2654,1651,496,101,23102,346,549,805,776,915,1252,1160,467,140,6416,12,74,158,183,282,524,541,264,83,2121,0,6,13,42,120,281,315,187,66,1041,362,627,986,1003,1317,2058,2014,918,289,9572,916,694,929,733,793,907,607,239,63,5875,7119,4101,5709,4694,4940,5622,4279,1649,448,38552,11906,5983,8048,6652,6423,6080,3725,1092,180,50098,881,981,1447,1494,1917,2760,2603,1054,249,13382,41,112,237,283,514,1026,1202,610,148,4189,7,12,27,65,203,524,715,404,113,2068,928,1111,1709,1843,2637,4306,4523,2068,509,19635,1925,1584,2559,2293,2667,2533,1549,556,136,15800
RA34,4799,2820,3366,2675,2735,2536,1838,483,66,21322,387,298,429,500,734,1172,1247,471,79,5308,17,16,37,86,157,355,527,233,40,1473,0,3,8,19,56,175,280,151,36,730,401,314,483,601,946,1703,2064,849,158,7519,933,632,1065,928,1057,1065,770,258,38,6758,6140,3768,4913,4205,4736,5302,4672,1598,263,35595,4720,2581,3030,2342,2170,2299,1461,371,77,19044,267,398,545,578,801,1155,1050,349,108,5260,6,48,100,119,216,399,454,175,60,1577,0,4,19,44,74,207,213,143,47,751,274,449,666,741,1090,1763,1715,674,225,7594,841,482,643,527,552,775,567,170,59,4609,5836,3515,4341,3607,3806,4833,3743,1216,355,31252,9519,5406,6397,5014,4908,4837,3302,856,136,40368,652,694,979,1074,1532,2334,2301,818,193,10571,21,61,144,208,373,755,983,410,105,3056,5,7,31,61,124,376,497,293,87,1480,678,764,1150,1342,2035,3463,3776,1524,380,15106,1772,1113,1709,1462,1611,1835,1339,434,99,11371
RA35,0,5,19,25,24,6,3,0,0,89,0,0,5,0,6,3,4,0,0,21,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,5,10,6,3,5,0,0,26,0,4,42,72,44,16,12,0,0,194,6,17,69,102,77,26,14,0,0,306,0,0,4,3,3,4,0,0,0,21,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,6,12,3,0,0,0,0,0,29,0,13,23,7,3,5,0,0,0,53,0,12,27,24,28,7,3,0,0,103,0,0,6,4,6,4,4,0,0,24,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,6,14,6,7,5,0,0,32,0,13,60,75,43,16,12,0,0,220
RA40,99062,65204,70514,63070,53505,40989,24422,9884,2786,429431,10711,11702,14234,15290,17004,20207,19812,11354,3975,124292,616,1370,2303,2861,4388,7088,9099,6647,2842,37205,37,114,316,630,1583,3526,5802,5307,2826,20139,11370,13182,16851,18779,22969,30823,34708,23306,9642,181628,7714,5593,5981,5616,5512,4639,3074,1915,1004,41049,118146,83979,93347,87471,81992,76453,62201,35104,13427,652114,96365,57163,66180,62300,52532,43117,27905,11639,3848,421054,7828,15038,18187,17754,18887,21673,22194,14683,6830,143060,584,2759,4512,4621,6125,8606,10745,8266,4943,51165,33,202,630,1261,2754,5027,6610,6272,4849,27629,8437,17996,23332,23632,27771,35305,39549,29219,16616,221857,7117,5011,5184,5143,4942,4437,3447,2584,1669,39535,111924,80168,94692,91072,85245,82859,70902,43438,22135,682446,195429,122369,136693,125370,106035,84109,52326,21525,6629,850490,18537,26740,32422,33042,35893,41887,42005,26034,10802,267350,1191,4125,6816,7481,10511,15696,19846,14910,7785,88365,74,314,945,1885,4339,8553,12412,11575,7671,47760,19809,31175,40180,42411,50744,66130,74256,52525,26255,403484,14835,10600,11167,10760,10457,9070,6526,4497,2677,80587
RA41,11864,6583,5505,5835,6822,6718,4821,1989,419,50556,1534,1306,1373,1679,2361,3336,3878,2206,621,18295,86,191,232,344,598,1178,1831,1330,429,6221,3,10,37,75,250,667,1067,977,367,3454,1628,1500,1635,2101,3215,5178,6782,4522,1414,27969,1122,798,746,822,903,895,747,437,141,6620,14612,8883,7890,8757,10944,12788,12347,6950,1976,85143,11456,5751,5155,5970,6680,6698,5073,2002,534,49327,1170,1729,1926,2052,2687,3532,3962,2306,835,20189,75,314,444,592,956,1468,1871,1320,644,7686,8,30,68,183,419,822,1072,984,554,4139,1252,2074,2437,2824,4063,5828,6903,4605,2033,32012,1066,638,551,597,821,837,790,479,239,6023,13781,8462,8142,9393,11557,13363,12767,7088,2810,87361,23325,12333,10657,11803,13509,13416,9891,3994,955,99883,2706,3028,3296,3725,5048,6872,7844,4515,1454,38484,161,507,677,936,1560,2643,3697,2653,1072,13904,17,40,100,263,666,1487,2134,1962,927,7589,2880,3572,4074,4923,7270,11005,13683,9124,3454,59986,2195,1435,1295,1419,1724,1727,1538,924,384,12640
RA42,13635,7732,7688,6854,7642,7393,5135,1900,459,58436,1863,1684,1831,1942,2610,4023,4161,2187,631,20921,109,205,312,406,778,1438,2061,1296,428,7032,12,19,55,120,342,884,1445,1161,436,4478,1984,1906,2205,2468,3729,6345,7661,4648,1501,32434,1712,1217,1497,1519,1523,1548,1211,692,255,11170,17329,10845,11384,10847,12890,15288,14009,7243,2216,102042,13473,6206,6764,6529,7212,6921,4957,2130,647,54843,1334,1964,2340,2373,2730,3864,3906,2381,966,21857,101,408,649,714,1072,1629,1969,1480,647,8677,0,36,112,241,602,1152,1352,1205,672,5377,1439,2407,3104,3331,4397,6650,7226,5066,2288,35908,1639,843,905,935,1096,1217,1061,761,404,8861,16551,9454,10773,10800,12703,14781,13247,7957,3336,99611,27109,13937,14447,13386,14853,14313,10091,4027,1109,113278,3197,3648,4177,4315,5335,7891,8062,4568,1601,42779,214,611,965,1124,1849,3068,4029,2777,1074,15709,8,54,168,362,943,2036,2795,2369,1116,9858,3420,4314,5306,5803,8129,12991,14890,9711,3784,68339,3350,2056,2401,2461,2617,2760,2270,1457,662,20032
RA43,3333,1592,2257,2100,2050,1934,1222,471,86,15049,332,333,424,456,561,898,874,472,135,4488,18,32,51,62,132,308,405,252,82,1338,0,0,10,15,42,137,221,183,88,697,346,365,486,533,729,1342,1501,912,299,6522,375,289,552,523,563,507,305,165,50,3334,4065,2248,3299,3158,3337,3784,3028,1547,436,24902,3210,1329,1803,1665,1703,1693,1160,441,126,13133,245,351,480,510,580,751,784,458,213,4375,12,68,121,133,179,316,366,221,110,1521,0,6,13,19,59,179,202,173,84,746,258,429,614,663,820,1250,1358,846,405,6637,355,214,285,233,280,285,251,139,83,2130,3822,1973,2700,2558,2804,3232,2774,1428,614,21900,6549,2917,4062,3767,3747,3626,2384,915,211,28177,574,682,909,967,1138,1649,1661,935,351,8861,28,101,172,198,307,621,773,471,192,2851,0,12,27,38,101,323,424,360,171,1444,609,789,1103,1199,1548,2592,2854,1759,708,13159,729,502,836,755,845,799,558,303,137,5467
RA44,1049,682,926,833,822,786,514,156,16,5787,72,82,168,187,220,362,359,148,31,1633,4,0,25,20,56,135,142,70,14,471,0,0,5,5,13,54,62,38,20,203,72,82,195,217,294,560,562,249,67,2300,182,170,287,278,337,330,178,82,29,1864,1305,934,1403,1324,1453,1672,1260,486,107,9952,1084,540,722,546,586,579,418,100,27,4585,86,101,165,169,204,278,255,93,29,1391,6,9,31,32,62,107,107,59,21,429,0,0,7,9,19,56,62,32,16,197,89,112,202,217,281,438,427,183,70,2021,197,103,168,117,139,188,149,62,30,1156,1366,754,1091,877,1005,1203,991,344,128,7755,2130,1219,1647,1376,1410,1360,932,252,45,10378,155,177,331,360,426,644,613,239,66,3025,8,7,53,57,121,240,242,126,37,896,0,0,15,11,31,112,127,71,31,398,160,191,396,434,576,995,990,435,133,4317,381,275,452,390,474,513,325,143,55,3015
RA45,0,0,0,9,4,4,0,0,0,18,0,0,0,0,3,0,0,0,0,6,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,8,0,0,0,4,5,0,0,0,0,6,0,0,0,16,10,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,4,0,0,0,18,0,0,0,0,3,0,0,0,0,6,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,8,0,0,0,4,5,0,0,0,0,6
RA50,171988,98576,105975,105700,86068,62700,36304,13770,3347,684424,16570,16686,19936,22010,23950,27165,26694,14726,4692,172429,918,1746,2722,3697,5466,8293,11476,8427,3044,45797,41,139,316,721,1682,3804,6511,6331,2767,22298,17526,18574,22977,26422,31093,39259,44684,29479,10505,240522,13963,9598,10959,10465,9416,7273,4992,3143,1776,71593,203477,126743,139912,142591,126586,109242,85978,46391,15624,996537,166554,87910,106811,107842,87386,65361,40649,15259,4677,682449,12209,22533,27433,27167,28172,30032,28998,18009,7817,202370,789,3671,5731,6268,7969,10744,12800,9684,5061,62722,48,288,708,1416,2900,5285,7358,6794,4414,29216,13050,26491,33867,34855,39051,46059,49160,34488,17299,294311,13172,8734,10093,9505,8635,6951,5417,4011,2901,69423,192775,123130,150769,152200,135068,118366,95229,53755,24875,1046174,338540,186480,212789,213542,173451,128066,76958,29027,8023,1366873,28778,39215,47373,49178,52128,57190,55692,32727,12508,374800,1706,5420,8449,9963,13434,19035,24281,18117,8111,108519,86,425,1021,2138,4584,9094,13864,13120,7180,51512,30575,45067,56836,61274,70144,85317,93842,63966,27796,534830,27134,18331,21056,19970,18059,14227,10413,7148,4678,141013
RA51,17817,9052,7926,8908,9266,7928,5261,1960,387,68505,2318,1664,1737,2181,2751,3611,4019,1954,514,20760,127,193,277,394,710,1233,1751,1148,366,6198,8,18,40,99,227,603,1011,870,290,3176,2456,1875,2054,2682,3683,5448,6784,3972,1168,30132,2017,1585,2242,2178,1944,1551,1089,566,212,13395,22290,12517,12223,13766,14897,14932,13132,6494,1771,112027,17174,7586,7918,9653,9511,8157,5219,1958,470,67646,1559,2157,2650,2929,3497,4063,3987,2221,846,23915,104,363,535,818,1165,1601,1850,1150,542,8119,7,37,84,222,462,814,1117,821,500,4054,1672,2558,3261,3965,5127,6482,6947,4183,1890,36089,1901,1089,1070,1156,1299,1241,996,628,311,9684,20747,11243,12254,14776,15936,15885,13155,6765,2669,113421,34992,16637,15839,18558,18778,16090,10474,3917,862,136147,3881,3823,4388,5116,6250,7676,8011,4174,1358,44679,230,553,808,1216,1873,2837,3599,2289,903,14318,15,60,124,318,685,1420,2122,1689,792,7230,4122,4437,5318,6655,8815,11934,13731,8156,3061,66225,3922,2676,3314,3331,3244,2794,2084,1189,525,23081
RA52,13716,7181,7235,7103,7355,6852,4347,1518,387,55698,1617,1390,1495,1774,2190,3199,3177,1697,522,17070,78,172,232,275,607,1073,1433,994,291,5156,4,11,40,59,214,548,874,721,288,2760,1699,1570,1765,2109,3013,4819,5482,3414,1100,24975,2189,1398,1748,1782,1798,1700,1269,613,163,12671,17606,10158,10749,10997,12166,13375,11095,5544,1655,93348,13354,5996,6587,7022,6898,6412,4048,1561,443,52320,1096,1703,2108,2186,2598,3255,3015,1795,662,18414,84,327,483,546,912,1248,1453,988,475,6519,3,22,63,164,375,751,872,707,410,3365,1178,2055,2647,2901,3879,5252,5344,3485,1541,28297,2050,1160,1257,1337,1336,1344,1104,591,260,10451,16593,9213,10494,11258,12114,13014,10501,5639,2246,91070,27071,13178,13823,14119,14256,13264,8393,3077,827,108019,2714,3095,3599,3961,4791,6456,6193,3493,1181,35482,163,499,715,821,1519,2320,2892,1984,764,11665,9,37,100,221,584,1298,1745,1422,696,6122,2878,3627,4414,5005,6898,10073,10829,6902,2645,53274,4245,2564,3006,3126,3136,3046,2375,1205,424,23126
RA53,7888,3307,5108,5525,4610,3702,2121,591,91,32938,659,481,828,1009,1193,1571,1366,585,119,7825,34,43,106,145,247,448,546,322,69,1963,0,4,9,31,61,199,328,185,46,858,690,531,942,1189,1499,2221,2235,1090,238,10645,1623,1048,1858,2043,1952,1686,865,341,69,11482,10205,4887,7909,8761,8050,7605,5218,2024,398,55065,7640,2799,4852,4510,3401,3077,1789,527,95,28694,489,584,1098,1112,1159,1298,1239,507,131,7616,26,91,191,250,300,437,504,256,93,2144,0,6,31,43,135,221,258,156,63,913,519,680,1312,1403,1595,1952,2000,923,290,10671,1474,795,1286,1159,1038,1010,694,282,88,7823,9630,4272,7451,7072,6035,6038,4490,1721,472,47187,15527,6104,9962,10031,8008,6776,3908,1116,188,61628,1148,1063,1925,2121,2357,2867,2608,1091,253,15437,54,133,296,393,544,889,1046,573,165,4103,0,9,35,74,193,416,582,340,109,1776,1209,1214,2256,2591,3092,4176,4244,2007,527,21316,3097,1839,3141,3207,2988,2696,1562,621,154,19302
RA54,5296,3328,7618,7056,6317,4772,2531,549,53,37530,352,382,972,1241,1450,1910,1657,495,50,8501,11,27,101,161,301,509,712,240,35,2092,3,5,18,29,85,181,305,172,23,823,361,420,1087,1437,1838,2602,2677,905,103,11419,1241,1491,4597,4497,4306,3076,1074,268,36,20578,6907,5239,13299,12990,12458,10451,6278,1721,192,69531,5028,2807,4713,3459,2985,3196,1963,368,30,24550,246,424,837,804,893,1316,1324,382,55,6285,6,66,153,182,273,471,501,170,25,1853,0,10,25,35,106,202,252,105,23,758,252,499,1016,1028,1271,1985,2087,653,109,8901,1216,936,1692,1190,1207,1144,660,210,41,8299,6502,4244,7420,5678,5464,6331,4706,1229,179,41750,10323,6137,12334,10518,9299,7967,4495,914,91,62081,593,804,1808,2050,2345,3228,2983,872,102,14788,21,95,254,341,568,976,1216,409,62,3945,8,13,35,67,188,387,560,278,44,1586,619,915,2100,2462,3104,4590,4761,1552,215,20322,2461,2428,6290,5691,5510,4220,1734,475,70,28883
RA55,0,58,206,427,380,184,41,0,0,1305,0,0,31,57,68,52,27,7,0,232,0,0,6,5,7,15,11,0,0,44,0,0,0,0,0,8,0,0,0,9,0,0,31,63,80,69,38,7,0,287,0,35,194,417,379,197,41,0,0,1268,0,91,430,908,842,449,117,15,0,2856,3,21,43,24,29,49,24,9,0,201,0,8,12,4,4,8,18,4,0,55,0,0,3,0,0,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,8,12,4,4,7,22,3,0,67,0,12,29,20,23,26,13,5,0,127,4,39,89,49,60,77,61,17,0,395,3,80,249,453,414,233,64,12,0,1503,0,4,41,64,72,56,47,9,0,292,0,0,3,5,7,18,13,0,0,53,0,0,0,0,0,8,0,0,0,12,0,4,45,73,80,74,57,17,0,350,0,51,220,435,397,221,57,6,0,1396
RA61,24262,14960,20481,14444,12266,10058,6250,2513,611,105861,3169,3309,3901,3974,4436,5337,5188,2937,936,33196,256,515,694,809,1209,1846,2530,1826,649,10342,9,42,91,198,458,955,1626,1384,606,5359,3440,3868,4682,4981,6100,8143,9340,6147,2194,48892,2341,1786,2030,1605,1612,1391,1003,623,250,12656,30045,20620,27201,21027,19981,19593,16590,9287,3053,167400,23697,12673,18413,13877,12301,10553,6972,2860,879,102233,2393,4611,5297,5202,5429,5863,5977,3917,1632,40327,212,940,1387,1428,1872,2413,2913,2211,1152,14535,11,84,196,412,895,1452,1949,1684,1000,7672,2612,5635,6875,7051,8198,9732,10841,7809,3788,62532,2174,1535,1618,1448,1375,1263,1074,799,434,11726,28480,19843,26909,22373,21872,21544,18889,11471,5109,176496,47962,27632,38897,28318,24569,20615,13220,5380,1491,208093,5566,7923,9203,9179,9868,11201,11164,6850,2568,73524,472,1458,2079,2239,3080,4258,5442,4041,1805,24873,11,118,281,610,1348,2407,3568,3069,1610,13030,6049,9503,11561,12030,14296,17865,20181,13959,5983,111427,4512,3327,3648,3052,2985,2657,2080,1426,689,24378
RA62,12991,7267,7333,6562,7284,7526,5216,1901,369,56449,1933,1678,1770,1953,2692,3957,4206,2151,545,20893,126,236,316,447,848,1564,2042,1337,379,7300,3,21,49,126,367,869,1405,1124,330,4299,2068,1931,2133,2523,3913,6390,7659,4615,1252,32490,1596,969,907,947,1113,1200,1078,560,228,8603,16654,10166,10372,10033,12316,15117,13950,7077,1856,97546,12741,6214,6660,6555,7179,7363,4861,1922,524,54022,1481,2028,2420,2592,3129,4269,4110,2356,822,23213,108,420,706,802,1261,1921,2167,1334,579,9298,6,33,131,233,650,1130,1474,1002,477,5144,1596,2480,3260,3634,5047,7326,7753,4699,1874,37660,1491,845,826,863,996,1131,980,620,256,8008,15835,9537,10747,11054,13218,15815,13591,7236,2657,99690,25726,13482,13990,13121,14468,14886,10075,3823,893,110475,3421,3702,4188,4544,5819,8224,8317,4515,1372,44105,232,657,1025,1249,2110,3489,4208,2668,960,16604,15,51,176,358,1021,1996,2879,2127,801,9437,3673,4414,5393,6161,8955,13715,15406,9310,3127,70143,3091,1812,1736,1814,2115,2323,2061,1182,484,16611
