RA_CODE_2021,F_Inad_desc_Ns_15_19,F_Inad_desc_Ns_20_24,F_Inad_desc_Ns_25_34,F_Inad_desc_Ns_35_44,F_Inad_desc_Ns_45_54,F_Inad_desc_Ns_55_64,F_Inad_desc_Ns_65_74,F_Inad_desc_Ns_75_84,F_Inad_desc_Ns_85_yr_over,F_Inad_desc_Ns_Tot,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Agr_fstry_fsh_15_19,P_Agr_fstry_fsh_20_24,P_Agr_fstry_fsh_25_34,P_Agr_fstry_fsh_35_44,P_Agr_fstry_fsh_45_54,P_Agr_fstry_fsh_55_64,P_Agr_fstry_fsh_65_74,P_Agr_fstry_fsh_75_84,P_Agr_fstry_fsh_85_yr_over,P_Agr_fstry_fsh_Tot,P_Min_15_19_yr,P_Min_20_24_yr,P_Min_25_34_yr,P_Min_35_44_yr,P_Min_45_54_yr,P_Min_55_64_yr,P_Min_65_74_yr,P_Min_75_84_yr,P_Min_85_yr_over,P_Min_Tot,P_Manf_15_19_yr,P_Manf_20_24_yr,P_Manf_25_34_yr,P_Manf_35_44_yr,P_Manf_45_54_yr,P_Manf_55_64_yr,P_Manf_65_74_yr,P_Manf_75_84_yr,P_Manf_85_yr_over,P_Manf_Tot,P_Elec_gas_wtr_wst_sv_15_19,P_Elec_gas_wtr_wst_sv_20_24,P_Elec_gas_wtr_wst_sv_25_34,P_Elec_gas_wtr_wst_sv_35_44,P_Elec_gas_wtr_wst_sv_45_54,P_Elec_gas_wtr_wst_sv_55_64,P_Elec_gas_wtr_wst_sv_65_74,P_Elec_gas_wtr_wst_sv_75_84,P_Elec_gas_wtr_wst_sv_85_ov,P_Elec_gas_wtr_wst_sv_Tot,P_Con_15_19_yr,P_Con_20_24_yr,P_Con_25_34_yr,P_Con_35_44_yr,P_Con_45_54_yr,P_Con_55_64_yr,P_Con_65_74_yr,P_Con_75_84_yr,P_Con_85_yr_over,P_Con_Tot,P_Whl_trd_15_19_yr,P_Whl_trd_20_24_yr,P_Whl_trd_25_34_yr,P_Whl_trd_35_44_yr,P_Whl_trd_45_54_yr,P_Whl_trd_55_64_yr,P_Whl_trd_65_74_yr,P_Whl_trd_75_84_yr,P_Whl_trd_85_yr_over,P_Whl_trd_Tot,P_Re_trd_15_19_yr,P_Re_trd_20_24_yr,P_Re_trd_25_34_yr,P_Re_trd_35_44_yr,P_Re_trd_45_54_yr,P_Re_trd_55_64_yr,P_Re_trd_65_74_yr,P_Re_trd_75_84_yr,P_Re_trd_85_yr_over,P_Re_trd_Tot,P_Acc_food_svc_15_19,P_Acc_food_svc_20_24,P_Acc_food_svc_25_34,P_Acc_food_svc_35_44,P_Acc_food_svc_45_54,P_Acc_food_svc_55_64,P_Acc_food_svc_65_74,P_Acc_food_svc_75_84,P_Acc_food_svc_85_yr_over,P_Acc_food_svc_Tot,P_Trp_pos_wh_15_19,P_Trp_pos_wh_20_24,P_Trp_pos_wh_25_34,P_Trp_pos_wh_35_44,P_Trp_pos_wh_45_54,P_Trp_pos_wh_55_64,P_Trp_pos_wh_65_74,P_Trp_pos_wh_75_84,P_Trp_pos_wh_85_yr_over,P_Trp_pos_wh_Tot,P_In_med_tcom_15_19,P_In_med_tcom_20_24,P_In_med_tcom_25_34,P_In_med_tcom_35_44,P_In_med_tcom_45_54,P_In_med_tcom_55_64,P_In_med_tcom_65_74,P_In_med_tcom_75_84,P_In_med_tcom_85_yr_over,P_In_med_tcom_Tot,P_Fin_in_svc_15_19,P_Fin_in_svc_20_24,P_Fin_in_svc_25_34,P_Fin_in_svc_35_44,P_Fin_in_svc_45_54,P_Fin_in_svc_55_64,P_Fin_in_svc_65_74,P_Fin_in_svc_75_84,P_Fin_in_svc_85_yr_over,P_Fin_in_svc_Tot,P_Rnt_hrg_rea_est_serv_15_19,P_Rnt_hrg_rea_est_serv_20_24,P_Rnt_hrg_rea_est_serv_25_34,P_Rnt_hrg_rea_est_serv_35_44,P_Rnt_hrg_rea_est_serv_45_54,P_Rnt_hrg_rea_est_serv_55_64,P_Rnt_hrg_rea_est_serv_65_74,P_Rnt_hrg_rea_est_serv_75_84,P_Rnt_hrg_rea_est_serv_85_ov,P_Rnt_hrg_rea_est_serv_Tot,P_Prof_sc_tech_serv_15_19,P_Prof_sc_tech_serv_20_24,P_Prof_sc_tech_serv_25_34,P_Prof_sc_tech_serv_35_44,P_Prof_sc_tech_serv_45_54,P_Prof_sc_tech_serv_55_64,P_Prof_sc_tech_serv_65_74,P_Prof_sc_tech_serv_75_84,P_Prof_sc_tech_serv_85_over,P_Prof_sc_tech_serv_Tot,P_Adm_sup_serv_15_19,P_Adm_sup_serv_20_24,P_Adm_sup_serv_25_34,P_Adm_sup_serv_35_44,P_Adm_sup_serv_45_54,P_Adm_sup_serv_55_64,P_Adm_sup_serv_65_74,P_Adm_sup_serv_75_84,P_Adm_sup_serv_85_over,P_Adm_sup_serv_Tot,P_PubAd_saf_15_19,P_PubAd_saf_20_24,P_PubAd_saf_25_34,P_PubAd_saf_35_44,P_PubAd_saf_45_54,P_PubAd_saf_55_64,P_PubAd_saf_65_74,P_PubAd_saf_75_84,P_PubAd_saf_85_yr_over,P_PubAd_saf_Tot,P_Ed_trng_15_19,P_Ed_trng_20_24,P_Ed_trng_25_34,P_Ed_trng_35_44,P_Ed_trng_45_54,P_Ed_trng_55_64,P_Ed_trng_65_74,P_Ed_trng_75_84,P_Ed_trng_85_yr_over,P_Ed_trng_Tot,P_Hlth_cre_socia_assist_15_19,P_Hlth_cre_socia_assist_20_24,P_Hlth_cre_socia_assist_25_34,P_Hlth_cre_socia_assist_35_44,P_Hlth_cre_socia_assist_45_54,P_Hlth_cre_socia_assist_55_64,P_Hlth_cre_socia_assist_65_74,P_Hlth_cre_socia_assist_75_84,P_Hlth_cre_socia_assist_85_ov,P_Hlth_cre_socia_assist_Tot,P_Arts_rec_svc_15_19,P_Arts_rec_svc_20_24,P_Arts_rec_svc_25_34,P_Arts_rec_svc_35_44,P_Arts_rec_svc_45_54,P_Arts_rec_svc_55_64,P_Arts_rec_svc_65_74,P_Arts_rec_svc_75_84,P_Arts_rec_svc_85_yr_over,P_Arts_rec_svc_Tot
RA25,0,0,0,0,0,0,0,0,0,0,0,0,7,5,7,5,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,7,0,0,0,40,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,3,3,4,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,4,7,26,20,27,5,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA30,1547,3101,7326,6798,5483,3508,1015,265,65,29110,51159,81418,183684,182771,170407,112404,25638,2284,143,809904,374,858,2370,1782,1852,1469,694,245,23,9658,58,555,3338,5020,4055,2138,395,44,4,15603,3601,7639,18779,21815,22134,15893,3315,345,16,93529,206,717,3004,4947,4707,2900,505,39,0,17021,6142,14908,38080,36569,30601,19403,4809,457,19,150988,1009,2825,7805,9734,10099,6958,1759,193,13,40395,22605,26245,33593,25221,23519,17133,4699,505,29,153536,38168,20716,23886,14561,10952,7069,1942,251,16,117568,1237,5147,16315,18158,18002,14855,4273,430,9,78425,652,2079,4783,4796,4110,2321,537,65,7,19342,388,3510,12636,15232,12488,6344,1518,247,30,52396,593,2315,6694,7418,7105,5269,2338,520,42,32296,1482,10972,34189,36157,28172,15823,5584,696,23,133101,1578,5528,13809,12981,12242,8613,2458,243,10,57465,621,5217,19872,25270,26140,16208,3051,208,11,96602,3680,9948,27982,35357,37132,25011,5745,485,22,145365,4509,22274,62167,59245,55478,41690,9646,738,21,255769,3022,4533,7100,5809,4869,3124,976,154,16,29605
RA31,544,627,1394,1419,1510,1118,410,140,45,7200,15257,17370,39074,42879,47209,37526,8972,1034,98,209421,867,1436,3660,3288,3930,4117,2578,937,119,20937,145,705,2871,3429,3079,2074,331,20,0,12654,1610,2679,6169,6371,6724,5290,1112,105,3,30070,146,397,1159,1553,1691,1361,198,9,0,6510,2249,3890,8572,8488,8184,6679,1553,120,9,39745,389,755,1848,2059,2343,1990,476,70,3,9935,7648,4933,7182,6447,7059,5880,1530,157,19,40859,9820,3772,4310,3276,3132,2606,759,93,9,27783,404,868,2850,3700,4912,4989,1529,162,6,19420,100,245,466,460,461,377,120,22,0,2245,80,453,1379,1534,1590,1065,254,38,4,6410,161,431,947,1075,1310,1163,536,103,16,5745,446,1446,3578,4107,3808,2969,1112,176,3,17662,459,971,2267,2470,3004,2517,661,61,0,12412,225,1165,4157,5281,6468,5146,902,68,4,23415,764,1943,5926,9172,10592,8257,1924,157,11,38740,1355,5461,13806,13991,15829,14227,3173,185,3,68038,551,475,775,779,784,619,241,45,5,4271
RA32,445,428,1054,1023,1087,824,354,121,25,5354,10643,13121,31108,33079,34441,27165,7203,903,67,157740,666,1300,3914,3457,4053,4374,2779,953,116,21622,234,1036,3781,4727,4330,2711,427,20,0,17283,807,1344,2710,3113,3265,2965,718,95,4,15023,84,238,830,1093,1101,942,160,20,0,4468,1288,2439,5752,5565,5619,4579,1216,126,10,26592,322,477,1148,1412,1541,1281,321,44,6,6562,5285,3508,4980,4514,4932,4165,1213,151,12,28770,6753,3356,4905,3691,3423,2726,861,99,5,25817,266,662,2403,3020,3872,3921,1228,135,8,15498,72,195,416,398,330,274,83,11,0,1789,65,248,790,896,880,608,192,16,4,3699,105,340,766,890,956,899,385,86,5,4444,320,973,2754,2940,2685,2121,825,112,3,12736,277,803,2132,2154,2448,2038,598,60,0,10510,319,2257,5761,5466,5932,4250,796,42,7,24839,531,1575,4744,6491,7308,5427,1414,119,3,27604,773,3502,9945,9970,10425,9058,2175,150,3,45991,473,414,707,633,647,553,207,35,0,3665
RA33,39,53,104,119,121,85,42,24,6,599,804,1486,3641,3164,3314,2838,846,172,26,16287,178,388,945,980,1227,1226,712,281,40,5973,126,489,1719,1701,1511,1051,140,5,0,6744,72,108,233,187,255,237,51,10,0,1161,13,38,134,105,123,103,16,0,0,526,102,209,584,520,518,515,131,7,0,2594,33,54,100,117,146,110,39,12,0,615,361,222,329,334,373,350,116,19,0,2091,381,450,873,445,422,395,108,17,0,3089,36,63,214,222,272,370,160,15,3,1366,11,4,19,13,24,15,10,0,0,104,9,11,54,45,59,48,11,3,0,233,10,22,74,84,87,80,31,8,0,401,17,52,228,146,145,170,65,4,0,837,34,93,228,191,221,206,47,3,3,1031,30,131,410,407,452,463,112,3,0,2006,39,214,593,612,533,452,131,7,0,2589,79,259,758,675,688,741,172,10,0,3379,11,31,48,44,49,45,24,3,0,249
RA34,22,46,89,74,80,82,28,16,0,432,550,1140,2597,2276,2470,2343,709,98,6,12199,342,532,818,692,769,886,517,152,12,4724,26,136,607,615,623,360,47,7,0,2421,52,99,181,125,144,148,46,4,0,794,4,17,49,60,68,64,22,0,0,289,85,182,446,353,434,386,108,8,0,1993,8,24,81,74,54,71,22,0,0,335,189,137,261,249,289,263,98,18,0,1515,146,219,380,264,295,313,114,9,0,1737,24,54,178,162,252,266,110,11,0,1050,0,5,13,17,25,25,11,0,0,103,0,11,33,41,23,33,13,0,0,159,3,13,39,33,51,48,29,0,0,220,14,32,138,98,129,123,52,8,0,599,18,67,127,126,162,147,42,3,0,696,63,229,744,678,752,636,168,5,0,3274,39,212,599,488,442,415,99,9,0,2303,52,208,586,552,648,685,182,8,0,2909,13,27,52,54,78,60,17,0,0,297
RA35,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,13,0,0,11,16,9,6,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,15,3,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA40,379,883,1857,1684,1461,1084,382,122,41,7886,17710,31243,70699,69010,64712,49229,11452,994,91,315134,179,454,1260,1406,1552,1203,544,121,25,6757,30,231,1273,1348,1135,704,160,9,0,4893,1319,3007,8486,9862,10494,8084,1802,202,10,43264,102,364,1866,2214,2126,1455,256,9,0,8406,1938,5649,13973,11627,10186,7553,1912,203,10,53051,366,1011,2867,3414,3944,2946,767,90,0,15408,10136,11114,13287,9792,9217,7387,1943,235,22,63121,11939,8728,9078,5478,3984,2865,691,101,5,42879,368,1789,5740,5995,5869,5414,1376,131,4,26695,189,649,1885,2149,1554,924,225,41,0,7612,131,1297,4948,5812,4865,2922,628,96,4,20696,118,589,1749,1786,1751,1548,609,165,22,8336,368,3402,11775,12424,9307,6019,2331,321,21,45972,516,2376,5949,5124,5192,4333,1174,104,6,24779,258,2461,9399,12263,11671,8398,1424,67,0,45938,1231,4225,12156,13979,13367,10523,2757,210,8,58450,1307,8816,27416,25500,23221,19688,4685,338,10,110978,1174,1522,2386,1764,1441,1020,367,69,6,9749
RA41,90,65,152,194,227,212,83,42,8,1064,2493,2782,5891,7172,8785,7932,2104,313,18,37496,261,372,880,1046,1349,1488,1101,373,47,6931,12,36,204,219,252,184,19,4,0,927,383,592,1271,1584,1895,1648,408,41,0,7822,14,44,178,213,266,241,35,4,0,988,316,701,1422,1529,1529,1372,357,24,0,7254,57,115,237,321,432,436,110,11,0,1729,1230,928,1112,1110,1339,1163,343,29,0,7250,1482,631,699,637,655,556,155,27,0,4827,51,119,373,469,725,881,293,37,0,2957,24,45,87,120,92,94,38,0,0,500,8,44,170,277,322,219,59,13,0,1120,10,50,117,151,205,187,101,13,0,839,34,182,532,687,710,665,281,53,0,3137,76,200,499,533,750,767,174,19,3,3028,39,147,547,890,1188,985,158,10,0,3974,108,338,945,1339,1564,1348,425,32,0,6099,171,647,1634,1871,2677,2865,650,40,0,10559,110,98,173,192,199,200,94,5,0,1073
RA42,78,90,188,218,224,210,120,53,9,1172,2647,3130,7502,7807,9202,8411,2308,319,31,41370,352,756,1900,2112,2489,2789,1742,518,56,12724,20,87,384,418,369,319,47,5,0,1656,384,699,1631,1629,1988,1682,316,25,5,8354,14,63,234,222,253,238,50,6,0,1075,405,663,1456,1281,1295,1202,334,32,6,6678,86,135,310,356,485,419,138,15,0,1945,1487,853,1480,1290,1502,1394,368,24,3,8411,1537,671,923,678,795,792,192,27,0,5622,45,161,470,567,845,950,330,42,6,3413,18,39,103,80,69,66,23,4,0,393,25,63,179,227,261,175,35,9,0,971,14,30,112,130,156,167,57,14,0,685,53,133,411,428,425,403,177,19,0,2048,64,205,520,499,682,674,208,19,3,2872,55,206,763,885,1155,957,219,16,0,4251,133,427,1425,1576,1666,1283,390,16,0,6914,221,913,2419,2263,2698,2976,613,37,0,12135,62,57,112,99,90,119,38,6,0,586
RA43,13,20,50,55,54,59,21,14,3,293,541,707,1958,1988,2151,1908,509,83,8,9848,125,244,669,711,787,776,445,135,14,3905,18,151,745,645,445,268,35,0,0,2309,49,47,129,147,148,147,43,8,0,727,3,16,55,51,63,56,16,0,0,264,74,175,475,428,463,388,82,3,0,2101,27,31,113,116,117,113,22,3,0,552,335,128,327,305,341,303,60,0,0,1808,270,167,282,218,222,214,64,3,0,1441,12,51,99,144,209,275,74,13,0,867,4,4,20,17,12,11,6,0,0,87,10,12,52,64,63,44,13,5,0,259,0,13,37,31,28,47,9,4,0,179,21,35,143,156,125,138,43,4,0,670,15,50,116,112,155,169,64,13,0,689,8,38,166,208,230,206,32,3,0,887,19,73,343,397,358,298,95,7,0,1589,47,154,446,415,543,607,123,4,0,2330,19,18,25,25,34,22,6,0,0,149
RA44,9,10,25,11,19,23,11,3,0,105,108,227,633,555,665,647,191,26,4,3055,55,89,173,227,200,227,131,37,0,1137,12,76,313,238,255,162,30,0,0,1097,0,13,23,14,36,23,11,0,0,123,0,0,24,25,24,20,4,0,0,102,10,29,114,107,137,142,26,0,0,557,3,3,16,21,14,21,8,0,0,89,54,28,86,84,77,100,44,5,0,472,34,55,107,75,94,122,24,4,0,509,5,18,45,48,74,79,31,0,0,302,0,0,0,0,3,3,3,0,0,20,0,3,6,11,16,9,0,3,0,48,0,0,6,5,12,5,0,0,0,25,3,4,26,42,33,36,13,0,0,158,4,10,28,42,44,37,28,0,0,194,4,24,95,92,110,108,22,0,0,446,16,57,178,133,163,119,34,5,0,708,17,50,158,148,172,226,55,0,0,817,3,4,24,20,40,20,12,6,0,125
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA50,902,1731,4298,4239,3498,2274,701,186,39,17874,29400,47701,111608,112806,102972,72960,17997,1563,103,497104,248,476,1268,1312,1432,1209,660,192,21,6816,407,2985,14581,17595,13746,7714,1385,97,5,58515,2145,3971,10563,12778,12821,9618,2292,260,13,54471,154,518,2367,3165,2753,1930,378,21,0,11289,3176,7727,22135,22263,17890,12848,3050,240,12,89349,721,1847,5335,6349,6148,4434,1121,140,15,26105,14626,16769,18802,14719,13629,10701,3147,334,23,92744,20100,12904,13418,8868,5976,4140,1123,110,9,66645,883,3054,9731,10751,10216,8937,2710,237,9,46524,431,899,2148,2173,1701,1118,315,54,0,8839,168,1309,5820,7321,6166,3637,981,161,12,25576,231,977,3048,3436,3376,2619,1234,265,26,15215,685,5717,19973,23017,17017,10295,3665,506,30,80901,921,3009,7623,7307,6416,5063,1550,180,10,32079,518,3249,12637,15295,15089,11669,2670,232,10,61370,2347,5770,17069,20833,22963,17626,4779,392,15,91792,2153,12035,35088,34156,31295,24782,6720,521,15,146764,2347,2840,4217,3455,2626,1904,724,126,8,18233
RA51,123,130,260,382,383,274,98,45,4,1698,3551,3418,8297,10996,12154,9378,2390,258,21,50463,213,296,800,796,917,1029,756,271,39,5108,98,404,1400,1958,1987,1297,204,11,0,7349,446,651,1599,1978,1912,1375,346,35,0,8342,27,103,270,395,468,415,70,8,0,1760,519,933,2117,2468,2428,1970,516,37,4,10993,94,136,310,405,523,403,123,17,0,2019,1635,1006,1531,1647,1818,1610,395,38,0,9670,2276,773,1167,1166,1021,762,265,26,6,7459,81,178,444,607,978,1070,415,36,3,3812,55,54,108,105,97,61,31,3,0,514,9,58,216,287,337,244,71,14,0,1232,30,84,220,244,324,267,134,25,3,1334,55,175,651,928,927,685,313,41,3,3780,95,208,503,688,806,655,201,22,0,3185,107,439,947,1162,1514,1294,281,21,0,5762,154,260,1118,1987,2515,1969,503,34,4,8542,286,763,2180,2861,3186,2881,684,41,0,12879,162,116,237,231,235,185,76,12,0,1258
RA52,103,110,214,245,283,260,119,34,4,1362,2547,2856,6996,8030,9000,7887,2346,340,10,40008,336,558,1432,1648,1914,2055,1431,482,64,9922,158,554,1797,1870,1725,1231,197,10,0,7548,232,341,791,752,749,688,201,33,0,3784,22,47,149,215,204,236,52,6,0,924,354,592,1358,1267,1229,1275,370,30,0,6483,80,221,457,467,518,435,105,11,0,2303,1333,803,1167,1162,1364,1215,394,46,0,7483,1434,552,858,771,710,675,230,49,0,5281,66,161,518,649,998,1127,418,55,0,3998,26,40,86,76,67,69,16,3,0,385,15,68,163,206,231,178,37,4,0,901,23,65,178,170,200,204,77,24,0,943,73,194,556,605,572,522,232,27,4,2793,58,126,341,389,483,439,129,22,0,1992,66,174,763,1008,1331,1197,290,19,0,4853,103,331,1131,1672,1985,1721,423,35,0,7407,204,663,1957,2093,2462,2341,655,45,0,10412,71,58,115,123,142,154,43,14,0,719
RA53,40,75,159,172,131,91,45,13,0,740,958,1447,4932,4970,4252,3366,978,136,8,21028,111,285,830,993,1077,1166,671,208,19,5366,77,357,1796,2151,1528,942,129,3,0,6993,70,94,321,303,267,188,55,9,0,1307,18,30,131,200,190,121,26,0,0,717,138,284,1037,943,779,693,179,8,0,4067,62,83,285,288,225,190,61,9,0,1199,483,270,534,522,514,486,140,18,0,2980,471,292,715,478,425,383,133,22,0,2919,67,144,615,796,790,668,203,17,0,3306,13,16,50,40,36,32,12,0,0,210,7,19,95,93,69,50,19,12,0,366,16,62,143,133,142,108,36,14,0,647,28,62,288,337,226,203,73,12,0,1235,48,102,318,320,299,247,77,6,0,1419,54,132,569,714,706,571,150,14,0,2910,37,179,838,1036,940,673,181,5,0,3885,103,307,1082,1045,912,867,206,15,0,4550,40,25,86,94,97,63,40,5,0,447
RA54,25,51,109,82,82,71,40,11,0,467,475,1372,4264,3358,3225,3040,735,70,3,16550,104,221,488,383,471,509,264,67,6,2515,124,1075,4927,4761,4260,2674,364,14,0,18197,18,60,188,223,201,188,52,3,0,935,4,12,105,101,99,99,16,0,0,443,66,294,1047,1053,990,893,183,7,0,4534,16,29,159,142,131,94,32,3,0,605,179,162,356,306,347,324,116,19,0,1806,164,321,823,491,482,482,142,6,0,2916,26,103,287,287,360,410,139,16,0,1624,4,4,27,39,29,32,12,0,0,161,0,6,46,59,57,39,13,4,0,235,13,32,120,73,109,98,30,10,0,487,7,79,352,352,340,300,90,4,0,1523,37,133,410,354,352,299,72,3,0,1670,36,113,513,552,572,537,121,5,0,2451,34,188,673,649,654,592,152,10,0,2949,54,145,747,659,600,772,210,12,0,3204,24,45,121,89,80,71,20,3,0,455
RA55,0,0,5,0,0,3,0,0,0,16,7,23,54,28,32,29,5,5,0,186,3,16,34,25,17,11,3,0,0,106,4,15,78,182,166,88,3,0,0,533,0,0,5,14,13,10,6,0,0,44,0,0,7,13,11,8,0,0,0,50,0,0,37,81,61,23,3,0,0,218,0,0,3,7,8,9,0,0,0,27,0,0,0,7,5,3,0,0,0,10,0,4,9,20,17,14,0,0,0,62,0,16,38,57,54,27,3,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,4,0,0,0,0,7,0,0,10,14,25,10,0,0,0,55,0,7,13,17,16,13,4,0,0,64,0,0,3,0,11,6,0,0,0,25,0,0,0,0,0,3,4,0,0,12,0,0,3,0,6,5,0,0,0,18,0,0,0,0,0,0,3,0,0,8
RA61,99,159,477,294,295,224,78,27,14,1666,4399,7262,19876,17116,16899,13036,3139,256,22,82001,94,293,1007,769,669,502,218,64,3,3622,0,21,109,128,124,81,21,3,0,488,431,711,2126,1916,1927,1541,359,41,4,9058,14,110,753,929,839,529,88,3,0,3274,687,1633,3804,2885,2344,2010,504,46,0,13920,85,268,789,716,805,610,168,24,0,3464,2147,2480,4144,2544,2327,1937,582,64,0,16227,2824,2010,4117,1752,1149,792,243,36,3,12935,91,353,1469,1154,1254,1295,374,44,4,6032,52,149,482,486,415,323,90,10,0,2014,32,210,958,1051,847,545,124,19,0,3790,35,176,427,342,421,343,165,44,3,1958,126,620,2553,2348,1992,1385,579,77,7,9685,116,365,1181,994,1020,803,243,26,0,4740,99,611,2733,3464,3953,2697,482,25,0,14069,299,896,3317,4020,4242,3188,843,41,0,16847,274,2170,7860,6059,5913,5317,1234,92,8,28928,364,360,776,601,612,499,184,22,4,3423
RA62,60,67,141,165,219,185,82,54,8,982,2350,3148,7363,7886,9372,8478,1903,250,16,40771,302,625,1756,1495,1677,1701,912,292,32,8793,5,77,339,373,361,336,78,4,0,1571,278,554,1381,1347,1578,1475,279,25,4,6920,11,36,199,239,287,263,49,7,0,1098,494,837,1642,1349,1442,1356,355,31,0,7504,97,155,354,440,558,475,134,11,0,2223,1189,931,1397,1280,1501,1223,325,31,4,7886,1288,775,1011,750,845,810,256,27,0,5758,54,166,516,721,993,1164,316,39,0,3972,20,34,104,108,116,113,32,4,0,535,15,61,198,239,222,188,47,10,0,969,12,58,161,134,170,173,73,12,6,809,66,186,597,672,674,620,259,50,0,3115,57,165,418,495,602,584,131,17,3,2462,37,170,647,969,1238,1016,189,13,0,4265,96,305,1071,1594,1790,1608,376,31,4,6870,139,793,2345,2310,2961,3148,634,26,6,12365,116,75,172,193,210,239,94,8,0,1107
RA63,0,0,7,13,6,10,6,0,0,46,55,104,391,291,328,363,113,11,0,1653,15,36,104,81,74,86,42,16,0,450,11,31,113,116,124,91,20,0,0,502,8,4,34,16,27,37,12,0,0,135,0,4,13,10,14,18,0,0,0,60,7,12,44,45,46,59,21,3,0,242,0,0,4,10,4,13,0,0,0,32,29,18,35,38,49,62,20,3,0,246,21,35,227,123,92,109,47,4,0,656,0,7,21,15,34,43,16,0,0,141,0,0,4,6,3,0,0,0,0,18,0,0,3,3,8,4,0,0,0,36,0,0,4,4,7,9,3,3,0,35,4,3,19,12,24,34,10,0,0,114,0,14,29,25,34,39,11,0,0,162,0,3,18,25,41,31,13,5,0,144,0,17,61,46,45,52,18,0,0,239,3,13,56,44,68,88,22,0,0,308,0,5,6,18,17,17,3,0,0,70
RA64,0,0,0,3,0,0,0,0,0,13,12,33,94,114,105,140,66,5,0,571,9,11,38,56,47,61,59,23,0,309,0,0,6,0,0,0,0,0,0,5,3,7,23,22,13,22,9,0,0,102,0,3,6,12,7,0,0,0,0,30,7,0,26,15,19,26,12,0,0,116,0,0,3,5,0,3,5,0,0,22,10,6,10,13,19,19,14,4,0,86,7,4,18,13,12,15,3,0,0,72,0,0,12,0,10,28,14,0,0,65,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,3,0,0,6,0,0,0,0,15,0,0,0,7,7,3,6,0,0,32,0,0,0,6,0,8,3,0,0,28,0,3,13,17,17,23,13,0,0,85,0,5,13,25,25,14,0,0,0,87,0,5,19,26,34,30,13,0,0,133,0,0,0,0,0,0,0,0,0,12
RA65,0,0,0,0,0,0,0,0,0,0,0,6,12,12,16,7,0,0,0,48,0,0,6,3,3,5,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,5,0,0,0,3,3,0,0,0,0,3,0,5,29,40,42,23,7,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,26,17,18,0,0,0,77,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3
