RA_CODE_2021,Uses_Eng_on_M,Uses_Eng_on_F,Uses_Eng_on_P,Uses_othr_lang_Afrikaans_M,Uses_othr_lang_Afrikaans_F,Uses_othr_lang_Afrikaans_P,Uses_othr_lang_Arabic_M,Uses_othr_lang_Arabic_F,Uses_othr_lang_Arabic_P,Uses_othr_lang_Aus_Ind_lang_M,Uses_othr_lang_Aus_Ind_lang_F,Uses_othr_lang_Aus_Ind_lang_P,Uses_othr_lan_Chin_lan_Cant_M,Uses_othr_lan_Chin_lan_Cant_F,Uses_othr_lan_Chin_lan_Cant_P,Uses_othr_lan_Chin_lan_Mand_M,Uses_othr_lan_Chin_lan_Mand_F,Uses_othr_lan_Chin_lan_Mand_P,Uses_othr_lan_Chin_lan_othr_M,Uses_othr_lan_Chin_lan_othr_F,Uses_othr_lan_Chin_lan_othr_P,Uses_othr_lan_Chin_lan_Tot_M,Uses_othr_lan_Chin_lan_Tot_F,Uses_othr_lan_Chin_lan_Tot_P,Uses_othr_lang_Croatian_M,Uses_othr_lang_Croatian_F,Uses_othr_lang_Croatian_P,Uses_othr_lang_French_M,Uses_othr_lang_French_F,Uses_othr_lang_French_P,Uses_othr_lang_German_M,Uses_othr_lang_German_F,Uses_othr_lang_German_P,Uses_othr_lang_Greek_M,Uses_othr_lang_Greek_F,Uses_othr_lang_Greek_P,Us_oth_lan_Indo_Ary_lan_Ben_M,Us_oth_lan_Indo_Ary_lan_Ben_F,Us_oth_lan_Indo_Ary_lan_Ben_P,Us_oth_lan_Indo_Ary_lan_Guj_M,Us_oth_lan_Indo_Ary_lan_Guj_F,Us_oth_lan_Indo_Ary_lan_Guj_P,Us_oth_lan_Indo_Ary_lan_Hin_M,Us_oth_lan_Indo_Ary_lan_Hin_F,Us_oth_lan_Indo_Ary_lan_Hin_P,Us_oth_lan_Indo_Ary_lan_Nep_M,Us_oth_lan_Indo_Ary_lan_Nep_F,Us_oth_lan_Indo_Ary_lan_Nep_P,Us_oth_lan_Ind_Ary_lan_Punj_M,Us_oth_lan_Ind_Ary_lan_Punj_F,Us_oth_lan_Ind_Ary_lan_Punj_P,Us_oth_lan_Ind_Ary_lan_Sinh_M,Us_oth_lan_Ind_Ary_lan_Sinh_F,Us_oth_lan_Ind_Ary_lan_Sinh_P,Us_oth_lan_Indo_Ary_lan_Urd_M,Us_oth_lan_Indo_Ary_lan_Urd_F,Us_oth_lan_Indo_Ary_lan_Urd_P,Us_oth_lan_Indo_Ary_lan_oth_M,Us_oth_lan_Indo_Ary_lan_oth_F,Us_oth_lan_Indo_Ary_lan_oth_P,Us_oth_lan_Indo_Ary_lan_Tot_M,Us_oth_lan_Indo_Ary_lan_Tot_F,Us_oth_lan_Indo_Ary_lan_Tot_P,Uses_othr_lang_Italian_M,Uses_othr_lang_Italian_F,Uses_othr_lang_Italian_P,Uses_othr_lang_Japanese_M,Uses_othr_lang_Japanese_F,Uses_othr_lang_Japanese_P,Uses_othr_lang_Khmer_M,Uses_othr_lang_Khmer_F,Uses_othr_lang_Khmer_P,Uses_othr_lang_Korean_M,Uses_othr_lang_Korean_F,Uses_othr_lang_Korean_P,Uses_othr_lang_Macedonian_M,Uses_othr_lang_Macedonian_F,Uses_othr_lang_Macedonian_P,Uses_othr_lang_Malayalam_M,Uses_othr_lang_Malayalam_F,Uses_othr_lang_Malayalam_P,Us_oth_lan_Persian_ex_Dari_M,Us_oth_lan_Persian_ex_Dari_F,Us_oth_lan_Persian_ex_Dari_P,Uses_othr_lang_Polish_M,Uses_othr_lang_Polish_F,Uses_othr_lang_Polish_P,Uses_othr_lang_Portugese_M,Uses_othr_lang_Portugese_F,Uses_othr_lang_Portugese_P,Uses_othr_lang_Russian_M,Uses_othr_lang_Russian_F,Uses_othr_lang_Russian_P,Uses_othr_lang_Samoan_M,Uses_othr_lang_Samoan_F,Uses_othr_lang_Samoan_P,Uses_othr_lang_Serbian_M,Uses_othr_lang_Serbian_F,Uses_othr_lang_Serbian_P,Us_oth_la_SE_As_Au_la_Fili_M,Us_oth_la_SE_As_Au_la_Fili_F,Us_oth_la_SE_As_Au_la_Fili_P,Us_oth_la_SE_As_Au_la_Indo_M,Us_oth_la_SE_As_Au_la_Indo_F,Us_oth_la_SE_As_Au_la_Indo_P,Us_oth_la_SE_As_Au_la_Tag_M,Us_oth_la_SE_As_Au_la_Tag_F,Us_oth_la_SE_As_Au_la_Tag_P,Us_oth_la_SE_As_Au_la_oth_M,Us_oth_la_SE_As_Au_la_oth_F,Us_oth_la_SE_As_Au_la_oth_P,Us_oth_la_SE_As_Au_la_Tot_M,Us_oth_la_SE_As_Au_la_Tot_F,Us_oth_la_SE_As_Au_la_Tot_P,Uses_othr_lang_Spanish_M,Uses_othr_lang_Spanish_F,Uses_othr_lang_Spanish_P,Uses_othr_lang_Tamil_M,Uses_othr_lang_Tamil_F,Uses_othr_lang_Tamil_P,Uses_othr_lang_Thai_M,Uses_othr_lang_Thai_F,Uses_othr_lang_Thai_P,Uses_othr_lang_Turkish_M,Uses_othr_lang_Turkish_F,Uses_othr_lang_Turkish_P,Uses_othr_lang_Vietnamese_M,Uses_othr_lang_Vietnamese_F,Uses_othr_lang_Vietnamese_P,Uses_othr_lang_Other_M,Uses_othr_lang_Other_F,Uses_othr_lang_Other_P,Uses_othr_lang_Tot_M,Uses_othr_lang_Tot_F,Uses_othr_lang_Tot_P,Lang_used_home_ns_M,Lang_used_home_ns_F,Lang_used_home_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
RA25,141,20,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,13,0,13,335,49,385,0,0,0,493,72,565
RA30,1278989,1331430,2610420,4961,5237,10195,7170,6857,14024,883,1086,1971,11715,13638,25351,34705,42033,76734,1544,1867,3411,47964,57539,105494,1562,1808,3370,4475,5054,9523,4745,5653,10405,4482,4778,9262,1989,1881,3870,4508,4136,8647,9521,9658,19180,4631,4336,8966,14116,12156,26274,3294,3271,6567,3657,3203,6863,1774,1715,3493,43492,40356,83848,6186,6486,12670,5796,8326,14117,1162,1397,2563,9010,10348,19362,618,692,1314,4959,4954,9918,4010,3903,7914,2078,2752,4831,6383,7039,13419,2793,3990,6781,7570,8196,15772,2383,2498,4882,3607,5997,9606,1872,2768,4635,5053,8802,13855,1431,2277,3710,11962,19846,31809,12138,13382,25518,3153,3008,6164,2304,5466,7770,1294,1169,2467,13083,15414,28493,42425,44994,87418,258388,291446,549832,83003,81710,164713,4425,4141,8567,1624803,1708724,3333530
RA31,429680,447850,877525,1392,1483,2873,790,719,1507,482,553,1032,421,507,933,1725,2333,4058,89,94,184,2238,2931,5173,124,129,255,559,645,1196,1030,1274,2305,217,212,428,275,247,522,466,379,843,596,605,1209,703,727,1428,971,825,1798,400,402,804,248,221,464,112,108,222,3782,3506,7282,653,648,1299,331,480,807,59,99,157,485,526,1011,22,14,34,745,746,1491,197,191,388,183,231,414,447,421,866,206,320,526,177,155,325,99,122,217,1150,1738,2880,158,272,426,1353,2189,3547,352,552,901,3010,4747,7759,707,846,1554,390,311,703,377,1060,1436,105,95,195,733,798,1528,6698,6962,13660,25899,29809,55715,34560,29700,64262,827,726,1561,490965,508087,999059
RA32,292530,290194,582723,782,807,1587,357,280,634,2432,2748,5177,523,623,1141,1171,1549,2720,81,93,175,1778,2261,4041,129,156,290,705,784,1481,1106,1348,2456,392,449,842,97,69,174,151,138,286,447,450,901,806,800,1605,1443,1233,2672,268,245,515,168,139,304,85,69,154,3467,3151,6613,1895,2075,3972,1134,1795,2924,49,84,131,713,765,1472,20,17,33,750,742,1494,108,80,189,192,213,405,308,315,621,177,259,433,235,183,419,77,68,146,716,1188,1904,277,386,662,971,1814,2782,263,369,632,2220,3755,5976,1048,1218,2269,223,219,444,351,997,1345,77,55,131,565,677,1247,9013,9693,18708,28068,32656,60726,44226,32882,77103,2669,1298,3967,367483,357036,724519
RA33,35221,30598,65817,144,124,266,19,9,26,982,1000,1985,25,18,41,69,101,173,7,3,8,98,122,222,11,12,25,59,78,137,63,74,140,32,18,57,5,5,6,10,14,22,39,29,68,32,21,50,47,32,78,35,24,62,20,10,31,4,3,5,195,131,324,106,103,206,20,28,46,3,0,3,15,9,29,0,0,3,29,36,69,9,7,14,13,11,21,23,21,50,11,14,26,53,39,91,7,9,21,105,162,270,25,37,61,139,188,330,32,58,93,305,452,755,146,150,297,17,11,30,23,65,93,9,3,11,27,30,54,1448,1379,2827,2962,3031,5998,8793,4922,13719,298,213,510,47272,38764,86045
RA34,24327,21703,46024,47,38,83,19,5,23,4566,4778,9347,14,8,21,50,42,89,0,0,9,63,59,115,5,4,12,31,33,62,38,71,114,18,17,28,6,10,14,9,0,10,12,5,24,3,6,7,14,10,17,14,3,16,9,5,14,9,0,6,70,40,107,27,27,57,17,13,33,4,7,11,11,13,18,0,0,0,13,16,28,3,0,0,8,14,18,10,11,16,0,6,18,10,4,19,5,5,8,21,37,52,16,23,37,30,48,78,9,14,23,69,112,186,37,40,78,8,4,13,9,34,42,0,0,0,66,72,140,4834,5049,9879,5471,5749,11226,5795,3801,9589,181,97,274,35778,31340,67120
RA35,89,19,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,8,0,8,0,0,0,18,0,18,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,7,29,189,29,220,17,10,24,317,65,385
RA40,485781,506099,991884,1061,1130,2187,5542,5208,10749,465,596,1065,4753,5184,9935,13951,16927,30882,768,839,1605,19473,22947,42423,1202,1396,2599,1099,1268,2365,1893,2414,4308,9630,10631,20255,1442,1323,2762,3889,3422,7312,5120,4523,9649,4796,4692,9487,10099,8632,18728,1988,1974,3971,2670,2148,4812,918,850,1767,30921,27563,58486,10248,12125,22371,911,1209,2112,2082,2356,4438,1682,1905,3587,285,295,578,2342,2310,4650,2713,2609,5326,2148,2711,4857,1225,1318,2543,1465,1888,3353,94,86,181,2030,2121,4151,1545,2337,3885,673,915,1591,2136,3281,5418,716,1050,1767,5071,7581,12655,3256,3600,6857,1650,1499,3146,616,1410,2032,345,374,715,9713,11372,21087,22840,22570,45415,141604,152009,293617,24719,24334,49055,1195,1273,2464,653302,683716,1337027
RA41,77395,79659,157057,84,103,189,48,40,82,92,92,185,29,46,75,206,289,496,0,11,17,237,349,584,26,22,45,81,83,165,267,369,632,168,148,317,17,14,34,3,0,8,32,22,54,21,20,40,80,76,157,28,28,50,13,14,27,5,5,9,198,172,369,288,264,552,34,70,99,38,51,87,17,23,42,9,8,18,12,14,25,15,11,26,71,78,156,22,22,47,47,62,113,3,4,6,32,26,56,123,194,322,25,24,52,176,265,442,37,72,112,362,555,926,76,79,159,15,16,29,50,110,155,25,23,53,191,211,405,679,731,1408,3127,3650,6777,4614,4050,8670,72,71,140,85213,87432,172645
RA42,87772,87293,175069,178,193,369,80,72,144,242,272,513,50,65,115,271,311,582,21,16,40,344,397,740,54,74,130,73,74,152,138,172,307,559,516,1075,28,28,54,39,26,60,89,70,165,61,63,128,552,481,1027,57,48,104,115,62,175,20,20,36,959,792,1750,374,392,764,24,30,57,33,42,75,22,25,49,5,12,16,56,49,101,22,20,45,40,46,86,29,26,54,23,35,55,36,0,36,25,25,50,156,268,423,46,60,108,160,239,398,193,235,431,556,803,1361,84,111,194,81,59,136,67,139,208,48,38,90,121,173,287,1625,1366,2992,5688,5708,11395,8584,6610,15194,760,147,902,102802,99757,202554
RA43,21095,19351,40445,70,59,127,31,8,41,50,49,99,13,7,18,51,60,110,0,3,3,69,64,130,44,42,88,22,25,45,38,46,83,48,28,79,3,3,7,13,6,20,19,8,28,14,6,18,39,23,60,22,13,34,13,10,21,0,0,0,123,76,193,46,37,88,6,9,15,7,0,7,18,3,23,0,0,4,7,0,7,4,3,11,0,0,5,14,25,42,7,4,17,0,0,0,11,11,13,52,46,100,20,23,44,85,75,165,13,19,28,173,158,333,32,25,55,7,0,6,3,43,46,11,0,11,19,28,47,203,163,361,1035,888,1919,2775,1662,4436,38,25,66,24945,21922,46869
RA44,6711,5165,11875,8,4,19,3,0,3,1228,1377,2604,7,6,10,20,19,35,0,3,3,27,29,54,26,12,41,7,7,14,27,27,49,79,45,118,0,0,0,4,0,4,0,0,5,0,8,4,25,21,49,38,33,67,6,0,6,0,0,0,75,64,142,24,7,28,0,3,7,0,0,0,6,3,8,0,0,0,13,4,16,0,0,5,9,13,21,6,0,5,3,7,9,0,0,0,18,3,22,3,14,16,3,12,8,7,15,21,0,4,4,10,42,54,3,4,6,3,3,5,6,10,14,0,0,0,3,6,16,1262,1402,2666,1668,1722,3387,1576,866,2439,16,20,35,9968,7776,17743
RA45,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,6,0,6,7,0,7,40,0,40
RA50,744826,770678,1515506,5539,6039,11579,7886,7533,15418,883,1047,1935,8743,10344,19093,22288,26992,49280,1695,2062,3756,32728,39397,72123,2228,2607,4832,3932,4421,8353,3128,3815,6944,1997,2169,4166,1847,1792,3641,4963,4759,9727,5853,5411,11261,2428,2327,4755,10576,9314,19887,2972,2970,5946,4632,3365,7996,1293,1299,2593,34554,31240,65792,10679,12200,22878,2312,3348,5661,636,880,1514,3069,3468,6538,2780,2913,5696,4516,4416,8931,3681,3644,7326,2239,2933,5177,3468,4133,7594,1346,2161,3510,419,361,782,2642,2762,5408,4392,5575,9966,4857,6612,11471,6226,8040,14272,3336,4410,7748,18815,24645,43458,5331,6277,11607,4220,4165,8382,1829,4523,6351,991,939,1929,9859,11735,21592,35241,38490,73739,206226,231372,437597,45480,44126,89601,2696,2595,5293,999236,1048770,2048011
