POA_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
POA3147,149,81,121,98,100,98,66,39,17,773,2732,1839,1736,2032,2177,1789,1280,818,481,14881
POA3148,90,62,177,82,73,55,51,28,11,626,1494,1108,2083,1548,1099,884,655,437,175,9478
POA3149,262,277,257,195,265,213,105,104,69,1748,6018,4726,4311,4824,4842,4096,2943,2339,1170,35259
POA3150,442,420,380,410,391,335,318,302,265,3268,10119,8159,6779,8280,8273,7258,6593,5170,2552,63173
POA3151,52,65,77,53,66,51,45,41,11,467,1468,1331,1605,1365,1369,1186,998,983,360,10671
POA3152,311,231,199,217,188,209,183,164,97,1811,5954,4038,3978,4887,4355,4420,4087,2162,1186,35071
POA3153,259,139,193,211,167,140,79,78,115,1389,3705,2177,3342,3400,2593,2355,1854,1123,593,21140
POA3154,53,43,44,27,41,38,16,17,11,286,851,499,527,600,650,544,418,228,125,4436
POA3155,320,179,250,218,198,154,133,53,29,1531,4043,2393,3726,3607,2973,2623,2284,1363,527,23536
POA3156,412,301,305,287,330,299,176,125,75,2295,6699,4720,4736,5299,5480,5090,3616,1952,675,38266
POA3158,70,44,46,57,53,54,39,10,3,376,1304,770,726,950,1027,952,690,219,59,6695
POA3159,43,32,18,30,40,21,9,6,0,194,503,329,218,380,405,351,239,97,19,2543
POA3160,93,86,71,54,68,63,42,12,3,491,1662,1068,966,1333,1359,1199,883,331,75,8874
POA3161,134,122,180,138,101,67,105,64,80,983,2649,2144,3008,2202,1859,1593,1717,858,571,16602
POA3162,144,101,167,126,147,114,113,80,49,1039,3101,1989,2219,2407,2441,2033,2065,1077,681,18022
POA3163,220,190,350,246,211,143,142,114,110,1721,4707,3693,6826,5264,3926,3266,2548,1495,699,32432
POA3165,285,196,134,213,238,178,127,65,35,1465,6106,3468,3076,4674,4703,3330,2347,1409,805,29929
POA3166,236,227,256,218,209,143,90,56,19,1447,3823,3226,4388,3574,3384,2634,1752,1222,688,24700
POA3167,92,58,92,93,64,50,53,36,16,552,1628,992,1466,1424,1227,1182,957,615,270,9764
POA3168,183,525,670,249,154,115,105,130,166,2296,1973,6041,6640,2570,1512,1272,979,779,559,22322
POA3169,156,185,245,166,163,125,119,83,24,1265,2984,2497,3983,2897,2347,2146,2009,1321,560,20751
POA3170,171,136,151,140,151,122,109,97,45,1117,3502,2171,2705,2894,2586,2090,1965,1443,553,19903
POA3171,269,214,369,180,197,177,102,70,33,1611,3236,2942,4520,2980,2507,2328,1814,1188,606,22111
POA3172,252,152,167,199,158,174,120,84,32,1342,3929,2947,2783,3060,3095,2974,2360,1412,544,23105
POA3173,330,175,225,248,181,171,110,62,28,1529,5895,3828,4258,4707,3828,3185,2486,1254,447,29895
