POA_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_ns,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_yr_arr_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arr_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,USA_2016,USA_2017,USA_2018,USA_2019,USA_2020,USA_2021,USA_Yr_arrival_ns,USA_Tot,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arr_ns,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_ns,Tot_Tot
POA2019,0,0,0,22,76,57,53,40,8,6,7,13,3,0,12,289,0,0,0,11,12,3,3,6,3,3,0,0,0,0,0,42,0,0,0,0,4,6,7,4,0,5,0,0,0,0,0,29,0,0,0,10,18,39,40,15,0,0,0,12,0,0,0,141,0,0,0,0,5,9,0,3,0,0,0,0,0,0,0,21,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,16,0,0,0,0,0,3,13,14,3,0,0,0,0,0,0,35,5,20,55,64,64,86,137,100,22,3,3,5,4,0,11,575,0,0,0,4,0,13,12,7,4,0,0,3,0,0,4,47,0,0,0,8,12,12,14,9,0,5,0,3,3,0,0,56,5,19,68,161,137,174,167,117,36,25,26,34,18,0,18,1013,8,87,296,437,538,719,1006,696,131,113,103,129,51,9,111,4446
POA2020,0,0,6,20,79,57,89,74,19,35,48,39,8,3,19,496,0,0,0,3,9,0,3,12,0,5,6,3,0,0,6,45,0,0,0,6,12,11,27,11,4,10,4,3,4,0,4,90,0,0,0,0,5,18,16,11,0,4,0,0,0,0,4,67,0,0,0,0,11,16,7,15,3,0,5,0,0,4,8,66,0,0,0,3,8,13,35,36,10,11,8,17,0,0,11,143,0,0,0,3,12,39,120,108,21,21,22,19,0,0,3,370,0,12,32,27,51,58,81,122,29,48,51,50,20,0,6,585,0,0,0,5,0,11,10,16,10,5,9,3,5,3,0,89,0,0,0,18,39,17,44,53,24,34,40,25,13,0,21,321,7,27,112,222,166,207,259,315,202,258,401,394,95,12,93,2770,21,115,369,508,824,1192,2178,2526,951,1094,1280,1261,415,79,426,13255
POA2021,0,0,5,0,14,11,19,10,4,3,11,5,0,0,0,88,4,0,0,0,20,0,4,0,0,4,0,6,0,0,0,37,0,0,0,3,8,7,6,10,0,3,0,7,0,0,3,49,0,3,4,21,31,34,43,15,6,5,3,11,3,0,0,182,0,0,0,3,5,6,0,0,0,0,0,0,0,0,0,16,0,0,0,0,3,0,3,6,0,3,0,0,0,0,0,13,0,0,0,0,9,11,28,16,4,5,0,5,4,3,0,80,13,32,112,109,155,171,262,143,53,47,41,60,38,7,35,1265,0,3,8,21,21,38,67,42,20,13,9,21,19,3,6,287,0,0,0,7,4,4,0,0,0,0,6,4,4,0,0,40,18,33,47,105,76,104,159,127,44,43,55,64,24,10,15,908,59,137,303,433,553,613,838,556,180,156,195,255,122,40,95,4546
POA2022,0,0,0,4,19,23,33,27,9,11,11,21,5,0,5,166,9,4,6,4,14,8,7,3,6,0,0,5,0,0,0,61,0,0,5,3,7,7,14,4,6,4,0,5,0,0,0,56,0,0,0,33,68,78,62,27,13,3,10,7,13,4,3,336,0,0,4,4,0,3,0,4,0,0,0,0,0,0,0,15,0,0,0,5,3,10,6,0,4,0,0,4,0,0,0,37,0,0,0,0,4,3,21,13,0,0,0,5,0,0,0,51,8,19,55,82,78,92,189,243,90,95,152,118,60,11,20,1310,4,0,3,15,9,17,43,21,10,9,9,17,7,3,9,178,0,0,0,13,3,7,0,6,0,10,0,0,0,0,0,61,33,81,74,166,167,140,185,207,101,166,177,207,79,11,24,1818,67,170,270,458,633,665,913,861,306,406,488,518,253,59,105,6170
POA2023,0,0,0,0,6,8,18,6,0,3,5,4,0,0,0,49,3,13,9,4,11,4,3,3,0,4,0,0,0,0,0,57,0,0,6,10,5,4,11,7,5,0,0,3,3,0,0,63,0,0,0,71,174,146,120,33,14,4,8,0,3,4,3,574,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,0,0,0,7,4,0,0,0,0,0,0,0,30,24,23,49,52,47,77,117,136,37,37,36,51,4,3,4,698,0,0,4,10,8,11,50,27,3,11,11,20,6,0,5,172,0,0,0,4,8,3,0,7,0,0,0,3,0,0,0,27,70,93,29,112,110,80,144,85,33,33,52,46,21,3,17,945,138,194,186,346,559,491,676,454,133,149,155,161,67,24,57,3785
POA2024,0,0,3,5,10,5,5,5,4,0,3,4,0,0,0,38,0,0,3,0,9,3,8,4,0,4,0,0,0,0,6,30,0,0,4,4,9,6,7,5,5,0,3,0,4,0,0,44,0,0,4,12,53,50,45,21,4,0,3,3,0,4,4,192,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,10,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,8,4,0,0,0,4,0,0,5,24,7,19,74,74,94,98,251,181,49,54,44,70,13,10,25,1064,0,0,3,4,10,19,43,27,7,16,12,13,10,6,0,176,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,14,9,44,70,98,75,92,138,154,38,45,38,40,12,4,39,892,25,130,277,311,415,412,688,558,146,156,142,178,65,26,142,3671
POA2025,0,0,4,0,0,7,12,3,6,0,8,10,5,0,0,57,3,5,3,0,3,0,0,4,0,0,0,0,0,0,3,27,0,0,3,4,8,15,4,5,4,0,0,0,4,0,0,50,0,0,0,23,43,56,31,17,6,3,0,6,5,0,19,213,0,0,0,5,5,4,5,0,0,0,0,0,0,0,0,22,0,0,0,0,4,5,4,4,0,0,0,0,0,0,0,19,0,0,0,0,0,3,8,0,0,4,0,0,0,0,0,22,20,22,40,61,48,64,98,62,14,20,27,17,3,0,23,527,0,0,8,3,12,17,29,21,3,7,8,8,10,4,0,125,0,0,0,3,7,0,7,4,0,0,0,0,0,0,0,24,25,21,37,49,43,50,65,80,18,10,20,23,13,3,36,485,69,82,143,231,295,313,393,291,79,68,111,92,41,18,134,2354
POA2026,0,0,0,10,21,22,26,36,8,6,12,17,6,0,3,175,9,9,8,4,26,9,24,24,5,0,3,6,0,0,4,130,0,16,13,14,8,6,15,11,0,4,0,0,8,4,0,98,0,3,14,85,252,353,244,93,22,19,27,29,7,0,8,1153,0,0,4,3,7,4,4,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,7,0,0,3,6,7,14,26,10,10,6,4,5,0,0,0,87,24,36,108,144,189,251,543,701,235,250,312,326,156,34,61,3370,0,0,12,26,41,56,130,145,45,44,56,105,37,12,5,709,0,0,0,8,13,4,0,0,5,0,0,0,0,0,0,42,39,112,152,390,326,347,507,636,275,314,422,580,214,27,71,4404,102,282,499,897,1229,1428,2163,2261,763,819,1034,1336,543,99,239,13684
POA2027,0,0,0,5,8,8,8,8,0,0,4,6,0,0,6,52,4,8,4,0,5,0,5,0,0,0,0,0,0,0,0,36,0,0,0,5,10,5,23,9,3,0,0,0,0,0,4,65,0,0,13,37,59,47,35,12,5,4,8,4,3,0,0,234,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,12,0,0,0,0,6,8,0,3,3,0,0,0,0,0,0,22,0,0,0,0,5,4,8,0,0,6,3,0,0,0,0,31,25,21,44,46,35,65,81,88,13,21,16,25,18,8,13,518,4,3,5,6,11,14,28,19,10,0,7,5,5,0,3,125,0,0,0,0,0,3,0,6,0,0,3,0,0,0,0,20,46,70,54,40,43,58,57,66,18,34,15,20,11,0,8,544,125,162,210,238,345,333,427,343,82,82,97,87,68,13,64,2685
POA2028,0,0,0,0,7,0,5,8,0,0,0,0,0,0,0,21,3,4,0,4,4,0,5,0,4,0,0,0,0,0,0,24,0,0,5,3,5,0,6,4,0,0,0,0,0,0,0,16,0,0,0,15,39,33,44,13,3,6,7,0,3,0,0,173,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,7,9,8,31,27,22,32,53,46,22,12,9,17,12,0,7,311,0,0,3,3,3,6,15,16,6,0,6,4,0,0,3,68,0,0,0,0,4,0,6,0,0,0,4,0,6,3,0,23,24,53,23,41,29,38,54,60,10,17,7,13,14,0,6,396,68,103,103,147,190,178,258,225,62,63,63,71,53,15,31,1634
POA2029,0,0,0,6,12,8,26,4,10,6,4,4,0,0,0,85,8,12,7,0,9,4,0,0,4,0,0,0,0,0,0,50,0,0,0,0,0,0,0,3,3,0,5,0,5,0,0,39,0,0,5,60,197,309,230,63,8,14,6,17,11,3,5,932,0,0,0,4,0,4,4,0,0,0,0,0,0,0,0,15,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,3,3,6,5,0,0,0,6,0,0,0,30,20,10,34,48,51,70,130,111,24,23,20,25,14,3,13,601,0,0,0,3,8,9,26,19,8,4,5,5,10,0,4,112,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,12,47,68,54,146,125,103,171,104,25,39,37,27,5,5,20,988,109,160,197,345,559,655,794,469,99,125,125,122,76,31,89,3955
POA2030,0,0,0,5,6,3,21,13,9,0,3,14,3,0,0,80,15,10,4,4,16,0,3,7,0,0,0,4,0,0,5,66,0,3,3,7,8,0,6,8,0,0,0,3,0,0,0,48,0,3,9,89,305,480,321,67,14,6,10,12,19,0,14,1347,0,0,0,7,3,6,0,0,0,0,0,0,0,0,0,17,0,0,0,4,11,5,0,0,0,3,4,0,0,0,0,30,0,0,0,4,0,4,3,6,0,0,0,0,0,0,0,15,30,35,61,63,55,100,189,113,11,9,18,19,17,3,14,729,0,0,7,8,13,24,59,28,3,7,11,10,4,0,8,185,0,0,0,13,9,3,3,0,0,0,0,0,0,0,0,25,52,107,86,184,180,187,227,127,31,11,18,32,15,0,30,1285,143,265,339,530,815,1037,1112,551,103,63,108,120,94,22,91,5390
POA2031,0,0,4,31,50,31,62,55,28,13,16,20,6,0,10,329,3,5,3,11,27,16,22,8,3,5,4,8,4,0,18,139,0,0,6,14,11,18,31,19,11,6,0,4,9,0,3,130,0,3,7,33,109,157,150,31,3,5,11,4,4,7,44,575,0,0,0,6,15,11,13,7,0,0,0,0,0,0,0,57,0,0,0,0,9,10,10,6,0,3,4,6,0,0,0,49,0,0,0,5,19,17,30,31,13,4,4,8,4,4,0,133,12,60,185,170,230,300,608,570,167,162,187,242,75,13,70,3040,0,6,12,26,34,38,78,60,22,25,33,26,36,14,10,420,0,0,4,21,13,10,15,17,8,8,5,8,5,0,4,124,41,105,133,277,252,378,440,416,110,145,161,188,80,11,121,2856,111,361,668,887,1302,1531,2361,2051,566,607,753,921,424,98,425,13066
POA2032,0,0,3,9,30,29,47,48,9,7,25,28,16,3,3,253,3,0,3,6,25,8,0,4,3,0,0,3,0,0,0,64,0,0,4,8,9,12,19,13,4,4,8,3,0,4,0,87,0,0,0,0,19,30,39,7,12,7,0,4,0,0,0,124,0,0,0,3,6,6,0,5,0,0,5,3,4,0,0,46,0,0,0,5,17,15,23,7,5,0,0,3,4,0,0,77,0,0,0,3,11,22,46,21,13,7,0,12,4,0,0,142,4,12,52,37,45,62,108,74,11,15,18,19,11,0,13,485,0,0,3,3,6,6,22,16,0,3,5,14,8,0,4,98,0,3,0,36,17,6,12,19,7,15,5,19,7,0,0,146,14,48,91,143,139,125,156,128,46,59,121,131,57,15,24,1291,41,255,450,458,755,774,1072,785,275,354,526,752,288,52,131,6983
