POA_CODE_2021,P_Sol_sp_En_Tot_2011_2015,P_Sol_sp_En_Tot_2016,P_Sol_sp_En_Tot_2017,P_Sol_sp_En_Tot_2018,P_Sol_sp_En_Tot_2019,P_Sol_sp_En_Tot_2020,P_Sol_sp_En_Tot_2021,P_Sol_sp_En_Tot_Yr_arr_ns,P_Sol_sp_En_Tot_YoA_Tot,P_LanProf_En_ns_B_2005,P_LanProf_En_ns_2005_2010,P_LanProf_En_ns_2011_2015,P_LanProf_En_ns_2016,P_LanProf_En_ns_2017,P_LanProf_En_ns_2018,P_LanProf_En_ns_2019,P_LanProf_En_ns_2020,P_LanProf_En_ns_2021,P_LanProf_En_ns_Yr_arr_ns,P_LanProf_En_ns_Tot,P_Tot_B_2005,P_Tot_2005_2010,P_Tot_2011_2015,P_Tot_2016,P_Tot_2017,P_Tot_2018,P_Tot_2019,P_Tot_2020,P_Tot_2021,P_Tot_Yr_arrival_ns,P_Tot_YoA_Tot
POA2075,896,225,188,172,222,164,32,72,5529,3,0,0,0,0,4,0,0,0,13,17,5542,1858,1379,331,253,258,301,190,46,134,10284
POA2076,809,154,144,185,152,94,18,73,5577,8,0,0,0,0,0,0,0,0,32,40,5499,1731,1191,211,219,222,221,141,41,172,9633
POA2077,3283,912,1042,1051,1067,397,114,189,16702,6,3,3,0,0,4,0,0,0,112,127,8166,4212,3773,1034,1143,1182,1169,447,148,357,21633
POA2079,283,74,47,61,69,18,5,14,1549,0,0,0,0,0,0,0,0,0,0,3,1409,434,362,94,56,72,68,19,5,22,2544
POA2080,34,10,5,3,5,0,0,0,226,0,0,0,0,0,0,0,0,0,0,0,284,87,59,20,8,3,7,5,0,0,471
POA2081,92,29,3,0,10,3,0,3,546,0,0,0,0,0,0,0,0,0,0,0,852,252,178,32,11,11,8,3,0,13,1368
POA2082,55,19,20,13,6,12,3,0,371,3,0,0,0,0,0,0,0,0,0,3,727,195,111,24,25,9,8,19,5,15,1138
POA2083,7,0,0,6,3,0,0,7,79,0,0,0,0,0,0,0,0,0,0,0,269,36,47,4,0,8,9,0,0,11,383
POA2084,18,16,4,5,0,3,0,4,244,0,0,0,0,0,0,0,0,0,0,0,617,119,82,17,10,8,8,3,3,13,878
POA2085,129,17,35,24,11,7,0,15,1189,4,0,0,0,0,0,0,0,0,3,12,2176,494,368,42,49,42,43,23,4,56,3303
POA2086,216,48,38,50,52,21,12,15,1722,0,0,0,0,0,0,0,0,0,92,92,2568,700,473,83,81,71,89,47,29,132,4280
POA2087,279,64,43,53,77,25,5,12,2245,5,0,0,0,0,0,0,0,0,5,7,2842,596,468,91,71,70,106,38,5,53,4341
POA2088,593,170,215,203,227,141,36,53,3584,5,0,0,0,0,0,0,0,0,3,12,5222,1354,1323,292,381,399,405,254,94,178,9894
POA2089,318,92,116,118,130,64,15,22,1775,6,0,0,0,0,0,0,0,0,0,3,2071,536,662,179,207,183,219,119,36,57,4265
POA2090,372,133,113,165,110,57,26,20,2161,0,0,0,0,0,0,0,0,0,0,3,2572,667,776,218,200,226,201,99,46,47,5058
POA2092,79,17,20,21,27,8,5,7,743,0,0,0,0,0,0,0,0,0,0,0,1311,427,335,37,47,61,60,33,8,31,2359
POA2093,408,131,107,115,117,65,14,31,2515,0,0,4,0,0,0,0,0,0,0,4,4004,1375,1079,249,213,205,211,135,26,105,7612
POA2094,85,22,42,34,31,19,0,5,443,0,0,0,0,0,0,0,0,0,0,0,888,306,329,82,111,81,91,48,17,18,1967
POA2095,378,143,164,184,300,119,22,23,2040,4,0,0,0,3,0,0,0,0,6,18,2285,826,1107,384,424,463,618,279,75,105,6565
POA2096,267,106,79,95,114,32,9,11,1331,0,0,0,0,0,0,0,0,0,0,4,1999,713,811,236,166,197,229,90,29,56,4515
POA2097,171,41,46,46,47,20,10,16,1276,0,0,0,0,0,0,0,0,0,0,3,2341,621,480,87,87,79,85,49,13,63,3898
POA2099,1423,490,567,672,721,185,27,125,8714,10,0,7,0,0,0,0,0,0,29,45,7179,2350,2362,657,741,843,892,264,46,242,15572
POA2100,378,116,98,99,112,52,15,113,2971,5,0,0,0,0,0,0,0,0,8,12,3877,1063,825,187,156,151,158,77,19,189,6700
POA2101,224,71,54,41,60,31,4,26,1351,5,0,0,0,0,0,0,0,0,13,17,2701,627,474,129,104,95,129,65,15,115,4447
POA2102,84,30,34,16,15,12,0,11,746,0,0,0,0,0,0,0,0,0,31,31,1210,353,245,56,46,32,39,31,5,71,2087
POA2103,69,23,26,34,28,18,6,12,753,3,0,0,0,0,0,0,0,0,25,28,1760,335,225,51,45,48,54,26,11,80,2641
POA2104,27,4,0,0,10,5,0,6,196,5,0,0,0,0,0,0,0,0,0,4,796,98,70,25,4,9,10,17,4,30,1059
POA2105,6,3,9,4,0,4,0,5,111,0,0,0,0,0,0,0,0,0,0,0,420,70,53,15,25,4,5,9,3,12,613
POA2106,67,24,23,22,18,5,0,4,470,0,0,4,0,0,0,0,0,0,0,5,1467,241,211,47,39,29,32,19,11,29,2126
POA2107,81,10,17,21,35,22,3,12,637,3,0,0,0,0,0,0,0,0,0,4,2504,473,374,66,38,61,88,78,12,45,3743
POA2108,3,3,0,0,4,3,0,0,71,0,0,0,0,0,0,0,0,0,0,0,283,48,32,4,4,11,8,3,0,10,406
POA2110,97,28,30,9,24,21,0,18,1105,3,0,0,0,0,0,0,0,0,206,209,1805,220,172,40,47,25,46,30,13,233,2625
POA2111,363,78,110,88,90,46,3,39,2808,5,0,0,0,0,0,0,0,0,48,46,3043,550,573,107,134,121,124,61,9,121,4852
POA2112,2315,663,693,650,742,325,81,208,13866,3,0,3,0,0,0,0,0,0,33,47,8284,2671,2711,762,800,745,860,399,92,310,17617
POA2113,2015,634,767,830,1100,516,103,146,11367,3,0,0,0,0,0,3,0,0,114,126,5354,1982,2351,739,858,927,1280,604,125,320,14544
POA2114,1806,468,499,525,551,203,63,155,10305,0,0,0,0,0,0,0,0,0,66,75,5871,1989,2082,549,560,594,610,239,63,264,12827
POA2115,596,160,126,102,105,53,13,83,4285,4,6,0,0,0,0,0,0,0,3,11,2970,905,695,183,139,110,122,65,12,110,5312
POA2116,355,118,93,61,65,30,7,32,2526,0,0,0,0,0,0,0,0,0,0,4,1669,532,398,127,101,72,80,36,13,44,3068
POA2117,1182,289,261,198,220,101,19,122,8273,4,0,0,0,0,0,0,0,0,3,10,5454,1840,1332,328,294,240,252,119,23,159,10035
POA2118,2198,536,527,556,571,206,99,173,13448,4,0,0,0,0,0,0,0,0,7,13,7409,2653,2406,573,571,624,633,222,105,222,15421
POA2119,432,70,118,80,96,38,16,50,3139,0,0,0,0,0,0,0,0,0,0,0,2728,652,521,81,138,96,119,63,20,84,4505
POA2120,765,160,160,142,165,58,25,57,5038,0,0,0,0,0,0,0,0,0,0,5,4495,1309,1011,228,196,163,209,72,33,90,7812
POA2121,2679,785,915,975,1050,444,156,204,16692,4,9,3,0,0,0,0,0,0,15,33,8335,3258,2964,851,1023,1064,1163,501,169,252,19576
POA2122,2233,616,632,686,870,339,69,247,15029,5,0,3,0,0,0,0,0,0,21,31,8667,2629,2472,660,705,763,962,389,81,296,17623
POA2125,472,79,73,66,94,62,12,41,4833,0,0,0,0,0,0,0,0,0,10,13,4642,974,621,113,85,76,105,83,12,69,6780
POA2126,980,223,223,198,213,78,45,56,7305,14,0,5,0,0,0,0,0,0,32,52,5520,1786,1241,282,289,266,272,117,53,123,9948
POA2127,2495,715,694,669,743,295,93,154,11415,0,0,0,0,0,0,0,0,3,5,11,4456,2571,2876,816,782,738,820,335,116,204,13708
POA2128,185,43,36,45,32,9,5,12,989,0,0,0,0,0,0,0,0,0,273,273,558,198,214,50,38,55,34,10,5,284,1447
POA2130,157,47,58,62,61,20,0,88,1329,0,0,0,0,0,0,0,0,0,0,3,1261,333,278,74,81,83,86,29,9,99,2326
POA2131,1406,469,621,712,675,180,49,275,9268,3,0,0,0,0,0,0,0,0,19,29,5165,1523,1672,534,672,772,732,204,52,361,11683
POA2132,343,106,84,116,128,38,6,61,3387,0,0,0,0,0,0,0,0,0,3,5,2835,521,417,121,89,130,150,43,12,96,4419
POA2133,215,59,58,66,36,22,0,65,3059,0,0,0,0,3,0,0,0,0,4,6,2978,402,295,76,66,78,41,30,0,84,4055
POA2134,1803,713,1016,1368,1208,345,26,304,11487,0,0,0,0,0,3,0,4,0,17,28,3943,1447,1924,748,1061,1432,1274,374,41,352,12591
POA2135,1370,562,964,1715,1462,431,32,346,13567,4,0,0,0,0,3,4,0,0,26,40,6630,1406,1533,614,1027,1818,1582,459,40,424,15538
POA2136,318,78,88,103,115,34,14,45,2894,0,0,0,0,0,0,0,0,0,15,13,2166,446,384,92,109,115,126,44,16,73,3570
POA2137,844,241,249,232,310,127,41,191,7385,8,0,0,0,0,0,0,0,0,7,13,6396,1191,1104,286,301,283,386,141,49,251,10389
POA2138,1922,584,610,608,745,260,85,113,9677,0,0,0,0,0,0,0,0,0,6,10,3991,1946,2183,645,688,685,800,288,113,156,11480
POA2140,2404,862,1037,1282,1381,386,106,189,12587,0,0,4,0,0,0,3,0,0,11,28,3463,2291,2616,950,1119,1370,1472,421,117,241,14066
POA2141,2662,776,1042,1258,1153,289,55,489,18807,6,3,8,0,4,3,5,0,0,92,124,9163,3139,2856,839,1093,1322,1215,312,58,638,20634
POA2142,2317,670,992,1428,1266,430,59,247,14303,10,3,4,0,3,6,0,0,0,29,59,5518,2317,2508,727,1061,1540,1355,459,61,328,15861
POA2143,543,130,185,167,187,59,13,95,4433,0,5,0,0,0,0,0,0,0,4,11,2774,688,592,144,194,183,198,63,14,118,4961
POA2144,3498,1018,1880,2686,2361,577,93,682,23845,10,3,7,3,0,10,9,0,0,42,98,8362,3476,3652,1049,1940,2776,2450,602,97,785,25175
POA2145,6438,2068,2312,2691,2824,1061,358,554,38314,6,6,7,9,0,4,6,6,0,210,252,17416,7217,7037,2272,2500,2925,3072,1148,408,914,44916
POA2146,1420,339,347,458,518,158,24,91,7676,6,0,0,0,0,0,0,0,0,9,19,3623,1865,1562,381,382,502,574,189,24,132,9232
POA2147,1564,414,407,467,555,170,33,141,10202,6,3,4,0,0,0,0,0,0,8,25,6937,2304,1905,471,468,536,601,191,38,220,13664
POA2148,4305,1297,1478,1829,1970,517,120,475,26940,16,5,0,0,0,0,3,4,0,35,66,13051,6027,4806,1425,1592,1944,2083,561,132,676,32293
POA2150,3927,1633,2273,2813,3119,1085,285,289,21600,9,0,3,0,0,8,0,13,5,28,65,4790,2765,4351,1831,2477,3060,3393,1211,338,376,24589
POA2151,1191,315,308,306,324,119,32,110,7179,4,0,3,0,0,3,0,0,0,34,44,4677,1453,1422,382,355,350,391,137,43,188,9402
POA2152,459,106,98,100,113,30,3,29,2730,0,0,0,0,0,0,0,0,0,0,0,2155,591,546,128,130,112,128,40,15,41,3884
POA2153,2777,565,617,580,696,300,123,248,18705,9,0,6,0,0,0,0,3,0,71,91,13825,4259,3321,693,734,723,849,422,159,456,25442
POA2154,1779,497,456,454,512,202,93,160,13171,7,0,0,0,0,0,0,0,0,120,129,9833,3057,2202,600,519,518,629,252,117,372,18095
POA2155,3943,980,904,755,782,425,110,228,23426,10,0,0,0,0,0,0,0,0,76,90,14893,6571,4962,1240,1221,1012,970,508,147,432,31964
POA2156,101,23,18,20,33,17,0,23,1294,4,0,0,0,0,0,0,0,0,0,4,2317,299,197,34,34,27,46,21,9,49,3018
POA2157,26,5,4,0,6,3,0,8,387,0,0,0,0,0,0,0,0,0,0,0,654,85,48,11,11,12,3,9,3,24,860
POA2158,198,47,37,23,42,15,0,51,1735,4,0,0,0,0,0,0,0,0,4,3,1845,451,297,57,52,39,46,18,10,74,2887
POA2159,42,14,6,0,7,0,0,3,309,0,0,0,0,0,0,0,0,0,0,0,717,100,79,22,7,11,22,6,0,16,973
POA2160,2817,687,805,943,889,336,84,378,17057,9,6,9,0,0,0,0,0,0,28,58,8908,2829,3029,750,865,1010,950,358,88,473,19247
POA2161,2054,465,506,537,570,171,70,321,13248,6,5,3,5,0,0,0,0,0,49,68,7529,2324,2178,502,535,572,604,186,79,429,14934
POA2162,982,211,285,235,219,76,31,184,7860,3,0,5,0,0,0,0,0,0,70,75,5233,1127,1045,220,292,244,236,80,38,280,8794
POA2163,549,159,114,121,137,58,10,128,4331,0,0,0,0,0,0,0,0,0,519,520,2741,663,591,168,127,138,152,60,13,663,5318
POA2164,1272,790,527,309,542,152,16,234,9579,9,0,3,4,0,0,0,0,0,8,24,5754,1074,1358,808,548,323,559,164,16,276,10875
POA2165,3550,2568,1653,1002,1791,472,36,493,25637,8,0,6,3,0,0,3,3,0,19,40,12568,2886,3707,2612,1685,1022,1816,495,41,567,27391
POA2166,3586,1063,920,796,916,449,126,966,30160,25,3,4,0,0,3,3,4,0,288,333,19319,3477,3797,1106,969,824,953,462,129,1337,32382
POA2167,669,158,114,118,128,30,17,87,4195,6,3,0,0,0,0,0,0,0,43,60,2358,1205,760,175,144,142,152,32,24,165,5153
POA2168,1926,684,433,284,487,157,47,380,17597,6,0,0,0,0,4,0,0,0,22,48,12481,2527,2112,718,460,327,516,162,47,495,19840
POA2170,6281,1806,1647,1529,1707,539,151,751,44148,20,7,8,0,0,5,0,3,0,632,674,27943,7710,6930,1958,1793,1670,1851,601,168,1588,52206
POA2171,1268,393,279,151,220,77,31,200,13810,8,0,0,0,0,0,0,0,0,10,22,11020,2243,1461,413,302,168,239,85,39,276,16247
POA2172,25,11,0,11,14,3,0,6,578,3,0,0,0,0,0,0,0,0,0,3,626,85,39,9,6,15,14,3,0,12,813
POA2173,471,99,99,72,99,33,9,37,3534,0,0,0,0,0,0,0,0,0,0,0,2760,806,589,113,115,98,113,39,12,53,4701
POA2174,1019,170,165,162,181,65,3,71,5308,0,5,0,0,0,0,0,0,0,9,11,2418,1640,1149,192,187,188,201,78,11,95,6155
POA2175,13,5,0,0,0,3,0,19,383,0,0,0,0,0,0,0,0,0,6,6,419,26,21,6,0,0,0,3,0,31,506
POA2176,2466,1570,859,530,1032,187,28,466,24267,15,0,0,3,0,0,0,0,0,182,212,17100,2201,2561,1601,876,555,1041,190,31,723,26887
POA2177,701,251,226,127,224,57,16,260,8436,4,0,0,0,0,0,0,0,0,18,28,6327,864,736,262,230,132,233,59,12,304,9159
POA2178,57,16,12,5,17,3,0,25,952,0,0,0,0,0,0,0,0,0,0,0,1002,71,68,15,15,5,13,3,0,29,1210
POA2179,1147,189,187,131,136,76,19,80,5412,4,0,0,0,4,0,0,0,0,156,158,3021,1322,1282,221,206,144,151,85,15,255,6715
POA2190,852,218,207,223,155,69,18,288,9805,6,0,0,0,0,0,0,0,0,13,26,7406,1302,906,235,221,238,173,79,19,360,10936
POA2191,165,30,48,40,28,11,3,38,2070,0,0,0,0,0,0,0,0,0,0,0,1824,256,195,29,51,38,36,7,3,51,2496
POA2192,663,179,198,193,216,73,8,116,5633,0,0,0,0,0,0,0,0,0,89,92,3816,784,747,195,229,218,241,96,14,231,6568
POA2193,782,279,353,328,330,83,8,105,6027,0,0,0,0,0,0,0,0,0,7,15,4221,881,979,311,408,372,377,93,10,142,7789
POA2194,2079,671,1199,1174,1081,233,37,453,15043,0,0,0,0,0,5,3,0,0,175,182,6554,2523,2262,707,1232,1237,1125,256,40,678,16611
POA2195,2875,609,754,986,1007,290,128,299,14506,7,0,5,4,3,3,0,0,3,150,172,5844,2510,3052,661,815,1040,1092,317,136,499,15969
POA2196,1585,374,401,397,529,147,41,272,13381,5,0,0,0,0,0,0,0,0,12,27,8978,1863,1732,406,444,437,554,162,49,332,14961
POA2197,336,89,49,62,70,23,16,77,3123,4,0,0,0,0,0,0,0,0,3,8,2339,420,359,91,51,73,79,29,16,97,3554
POA2198,230,46,55,44,32,14,8,59,2411,5,0,0,0,0,0,0,0,0,46,47,2116,259,279,53,62,46,41,15,8,120,2994
POA2199,856,223,193,225,174,53,26,261,7606,7,0,0,0,0,0,0,0,0,4,15,5252,1079,934,238,209,238,188,56,35,295,8529
POA2200,3438,942,954,910,872,373,122,541,22771,19,8,0,0,0,5,0,0,0,279,307,12802,3332,3632,984,1024,964,920,396,124,894,25075
POA2203,270,87,62,86,82,27,8,30,2534,4,0,0,0,0,0,0,0,0,3,5,2922,469,462,133,93,116,118,35,16,58,4409
POA2204,611,123,176,161,206,62,18,286,5973,4,0,4,0,0,0,0,0,0,9,18,5779,921,1061,210,259,240,277,106,34,356,9240
POA2205,2205,819,949,1132,1274,358,54,206,12076,3,0,6,0,0,4,0,3,0,62,76,4454,1993,2632,944,1093,1274,1394,406,75,338,14602
POA2206,243,68,55,52,82,33,10,93,5157,3,0,0,0,0,0,0,0,0,181,183,5474,401,346,86,69,67,99,43,9,303,6900
POA2207,827,197,189,232,217,73,24,342,9188,4,0,0,4,0,0,0,0,0,190,205,7690,1202,1010,238,232,255,236,71,25,594,11568
POA2208,353,75,58,93,73,39,13,85,4246,0,0,0,0,0,0,0,0,0,3,5,3708,483,425,91,70,103,76,49,13,105,5129
POA2209,635,167,182,204,196,74,18,124,6462,0,0,0,0,0,0,0,0,0,10,13,4758,960,714,198,199,234,220,75,16,161,7536
POA2210,1164,226,343,265,277,114,31,266,10040,6,0,0,0,0,0,0,0,0,58,65,7750,1724,1342,270,371,305,304,126,33,390,12620
POA2211,535,137,131,95,87,50,9,80,4914,0,0,0,0,0,0,0,0,0,3,8,4005,969,646,152,151,115,102,63,16,121,6329
POA2212,601,148,162,129,196,48,13,96,5254,8,3,0,0,0,0,0,0,0,3,9,3878,990,738,160,175,157,210,54,18,136,6507
POA2213,591,111,117,97,106,62,6,76,4804,0,0,0,0,0,0,0,0,0,7,7,4170,902,762,158,141,121,127,73,15,128,6594
POA2214,41,11,13,16,9,0,0,8,435,0,0,0,0,0,0,0,0,0,0,0,501,84,56,11,11,18,8,6,0,12,704
POA2216,1589,540,734,865,971,211,43,226,12089,0,0,3,0,0,0,3,0,0,75,93,7056,1696,1917,606,790,949,1049,242,49,361,14716
POA2217,1542,549,627,775,753,232,41,194,11319,3,0,3,0,0,3,0,0,0,391,402,6634,1825,1820,622,698,859,817,272,53,638,14227
POA2218,1019,312,366,440,387,106,30,107,7423,4,0,3,0,0,0,0,0,0,4,20,4406,1194,1131,350,390,477,412,114,32,153,8655
POA2219,243,52,35,38,22,18,12,60,2876,3,0,0,0,0,0,0,0,0,16,22,3161,327,349,74,42,62,39,42,10,108,4201
POA2220,2902,910,1404,1917,1799,458,53,350,20198,0,0,3,0,5,0,7,0,0,178,199,8636,3017,3066,941,1470,2009,1875,476,59,572,22115
POA2221,500,86,81,94,99,43,5,100,4889,0,0,0,0,0,0,0,0,0,5,8,4263,716,565,95,98,118,107,46,6,132,6140
