POA_CODE_2021,Median_age_persons,Med_mort_repaymnt_monthly,Med_tot_psnl_incom_weekly,Median_rent_weekly,Med_tot_family_inc_weekly,Avge_numbr_prsons_per_bedroom,Med_tot_hh_incom_weekly,Average_household_size
POA2072,39,3000,1069,580,2924,1,2457,2.7
POA2073,41,3500,1182,650,3810,0.8,3403,3
POA2074,44,3500,1081,617,3501,0.8,2996,2.8
POA2075,43,3500,1069,700,3314,0.8,2962,2.9
POA2076,44,3250,1021,600,3360,0.8,2921,2.9
POA2077,38,2350,948,460,2426,1,2105,2.6
POA2079,40,2544,1033,523,2805,0.9,2502,2.9
POA2080,42,2648,961,575,2643,0.8,2424,3
POA2081,41,2600,975,575,2986,0.8,2687,3
POA2082,42,2500,967,580,2804,0.8,2449,2.9
POA2083,51,2300,943,430,2585,0.8,1945,2.3
POA2084,47,3200,1031,605,3184,0.8,2873,3
POA2085,46,3332,932,900,3167,0.8,2764,2.9
POA2086,41,3467,1041,800,3301,0.8,3105,3.2
POA2087,43,3400,980,720,3328,0.8,2787,3
POA2088,44,3807,1474,591,4502,0.9,2882,2.3
POA2089,38,2900,1560,560,3667,1,2464,2
POA2090,41,3137,1516,600,3815,0.9,2527,2.1
POA2092,42,4333,1262,875,4620,0.8,4153,3.1
POA2093,40,3467,1232,600,3658,0.9,2951,2.7
POA2094,39,3467,1484,720,4187,0.9,3241,2.4
POA2095,38,3467,1586,725,4266,1,3164,2.2
POA2096,37,3207,1386,620,3469,1,2901,2.5
POA2097,41,3033,1058,625,3067,0.9,2702,2.8
POA2099,38,2700,1007,550,2604,1,2184,2.5
POA2100,40,3141,1036,600,3092,1,2715,2.9
POA2101,43,3000,1033,600,2827,0.9,2231,2.5
POA2102,41,3055,1055,750,2925,0.9,2591,2.9
POA2103,46,3033,1017,650,2824,0.9,2291,2.6
POA2104,58,3691,880,850,3050,0.7,1878,2.3
POA2105,52,3000,1132,595,3122,0.8,2642,2.5
POA2106,45,3000,1119,600,3054,0.9,2470,2.6
POA2107,47,3294,1046,750,2972,0.8,2643,2.8
POA2108,56,3900,1286,860,3261,0.7,2903,2.3
POA2110,46,4333,1254,535,4584,0.8,3363,2.7
POA2111,40,3000,1197,460,3178,0.9,2306,2.4
POA2112,37,2600,985,470,2509,1,2092,2.5
POA2113,34,2600,1016,480,2661,1.1,2147,2.4
POA2114,37,2478,987,430,2467,1,2086,2.5
POA2115,37,2600,807,420,2317,0.9,1988,2.8
POA2116,37,2500,790,430,2199,0.9,1866,2.8
POA2117,39,2600,757,415,2176,0.9,1859,2.8
POA2118,38,2500,787,500,2181,1,2080,3
POA2119,43,3467,1094,600,3368,0.8,3065,3
POA2120,42,2817,996,520,3025,0.8,2639,2.9
POA2121,37,2621,954,500,2538,1,2301,2.8
POA2122,39,2500,781,460,2248,0.9,1940,2.6
POA2125,43,3033,1032,640,3264,0.8,3074,3.1
POA2126,43,3000,940,695,3098,0.8,2925,3.1
POA2127,33,2300,1158,510,2385,1.2,2082,2.2
POA2128,35,2167,859,450,2055,1.1,1876,2.7
POA2130,36,2708,1317,460,3076,1,2254,2.1
POA2131,36,2214,890,440,2256,1,1886,2.3
POA2132,42,2660,838,480,2526,0.9,2157,2.7
POA2133,41,2524,804,409,2318,0.9,1838,2.7
POA2134,32,2449,707,500,1862,1.1,1664,2.5
POA2135,32,2764,816,480,2423,1.1,2255,2.8
POA2136,39,2375,823,460,2285,1,1936,2.7
POA2137,41,3000,1051,560,2784,0.9,2373,2.6
POA2138,34,2573,1068,550,2535,1.1,2240,2.4
POA2140,31,2119,909,450,2169,1.2,2039,2.6
POA2141,34,2253,703,465,1825,1.1,1797,2.9
POA2142,31,2000,667,400,1661,1.2,1544,2.8
POA2143,35,2167,592,400,1714,1,1559,3.1
POA2144,31,2000,581,410,1440,1.2,1529,3.3
POA2145,35,2236,849,425,2296,1,2087,2.9
POA2146,36,2167,852,425,2278,1,2114,2.9
POA2147,38,2207,794,390,2211,0.9,1921,2.8
POA2148,35,2142,761,400,1981,0.9,1798,2.9
POA2150,32,2000,971,425,2262,1.2,2052,2.4
POA2151,39,2376,897,420,2344,0.9,1955,2.6
POA2152,39,2300,942,420,2414,0.9,1924,2.5
POA2153,39,2758,976,540,2794,0.9,2494,3
POA2154,42,3000,931,560,2858,0.8,2547,3
POA2155,35,3000,1101,600,3128,0.9,3040,3.3
POA2156,46,3200,939,600,3019,0.7,2750,3.1
POA2157,41,3000,876,525,2612,0.8,2486,3.2
POA2158,45,3070,921,600,2898,0.8,2532,3
POA2159,46,2817,890,483,2727,0.8,2383,2.9
POA2160,33,2050,603,400,1661,1.1,1453,3
POA2161,32,2150,511,380,1493,1.1,1345,3.2
POA2162,34,2167,515,400,1580,1,1404,3.2
POA2163,36,1916,461,250,1271,1,994,2.8
POA2164,38,2167,497,420,1570,1,1400,3.1
POA2165,38,1950,456,395,1337,1.1,1222,3.2
POA2166,39,1733,473,346,1391,1.1,1321,3.2
POA2167,36,2167,844,420,2203,0.9,2070,3
POA2168,35,2000,501,350,1510,1,1385,3.3
POA2170,35,2160,644,395,1799,1,1561,2.9
POA2171,33,2383,784,530,2369,0.9,2377,3.6
POA2172,38,2708,1189,369,3233,0.8,3186,3.2
POA2173,33,2200,1061,500,2642,0.9,2494,3.2
POA2174,31,2800,1006,550,2619,0.9,2558,3.4
POA2175,44,3250,765,425,2337,0.8,2131,3.2
POA2176,41,2167,517,455,1714,0.9,1662,3.3
POA2177,38,2000,516,400,1611,1,1568,3.3
POA2178,43,2227,751,460,2320,0.8,2197,3.4
POA2179,32,2600,917,540,2303,0.8,2221,3.2
POA2190,34,2300,499,415,1651,1,1452,3.4
POA2191,40,2500,671,460,2056,1,1728,2.9
POA2192,38,2156,642,380,1737,1,1454,2.6
POA2193,37,2400,882,470,2316,1,2019,2.5
POA2194,36,2000,651,400,1600,1.2,1496,2.6
POA2195,32,1700,531,350,1298,1.3,1233,3.1
POA2196,35,2167,560,400,1635,1.1,1476,3.1
POA2197,34,2383,532,450,1575,1,1407,3.3
POA2198,36,2500,651,520,1923,0.9,1772,3.2
POA2199,34,2167,522,400,1592,1.1,1436,3.2
POA2200,34,1973,548,410,1490,1.1,1389,3
POA2203,38,2500,1157,470,2774,1,2092,2.2
POA2204,37,2600,1071,480,2711,1,2161,2.3
POA2205,32,2383,955,520,2259,1.2,2113,2.5
POA2206,44,2800,813,550,2464,0.9,2136,2.8
POA2207,40,2418,753,480,2214,1,1935,2.8
POA2208,42,2600,716,500,2167,0.9,1893,2.9
POA2209,40,2300,681,420,2002,0.9,1692,2.8
POA2210,41,2500,714,370,2111,0.9,1686,2.7
POA2211,40,2433,762,470,2261,0.9,1890,2.8
POA2212,38,2500,749,460,2211,0.9,1938,2.9
POA2213,39,2600,843,470,2440,0.8,2113,2.9
POA2214,39,2600,804,540,2326,0.8,2111,3
POA2216,37,2219,798,460,2050,1,1790,2.5
POA2217,38,2330,858,460,2211,1,1893,2.5
POA2218,37,2167,763,440,2036,1,1829,2.6
POA2219,45,2600,884,500,2422,0.8,1855,2.4
POA2220,34,2200,706,470,1846,1.1,1837,2.9
POA2221,42,3000,850,520,2512,0.9,2257,3
POA2222,38,2168,806,400,2094,1,1840,2.6
POA2223,40,2600,974,440,2699,0.9,2226,2.7
POA2224,45,2817,865,546,2442,0.8,2084,2.7
POA2225,40,3165,1114,653,3447,0.8,3200,3.1
POA2226,40,2800,1064,460,3028,0.9,2565,2.8
POA2227,40,2817,1026,528,2822,0.8,2334,2.7
POA2228,40,2600,937,490,2472,0.9,2006,2.5
POA2229,41,3000,1030,500,2870,0.8,2233,2.6
POA2230,42,2600,1156,500,2860,0.9,2196,2.3
POA2231,38,2600,813,550,2299,0.9,2164,3.1
POA2232,39,2500,1038,460,2655,0.9,2154,2.5
POA2233,40,2600,960,500,2683,0.8,2382,2.9
POA2234,41,2700,984,600,2901,0.8,2742,3.1
POA2250,41,2000,770,400,2102,0.8,1628,2.5
POA2251,46,2167,766,450,2192,0.8,1726,2.6
POA2256,48,2000,656,380,1758,0.8,1298,2.2
POA2257,47,2158,700,400,1871,0.8,1396,2.3
POA2258,41,2000,812,400,2234,0.8,1954,2.8
POA2259,40,1950,697,410,1875,0.8,1530,2.7
POA2260,42,2483,925,510,2528,0.8,2160,2.7
POA2261,42,2000,721,385,1908,0.8,1453,2.4
POA2262,39,1733,654,380,1596,0.8,1347,2.5
POA2263,44,1733,614,350,1492,0.8,1157,2.3
POA2264,46,1760,663,395,1656,0.7,1342,2.4
POA2265,40,2072,738,380,2030,0.8,1644,2.7
POA2267,53,1840,676,340,1670,0.8,1342,2.3
POA2278,38,1755,796,360,2070,0.8,1888,2.8
POA2280,44,2000,760,360,2096,0.8,1594,2.5
POA2281,49,2004,679,370,1825,0.8,1406,2.4
POA2282,45,2167,828,430,2287,0.8,1825,2.5
POA2283,47,1751,695,345,1810,0.7,1440,2.4
POA2284,41,1907,764,365,2063,0.8,1606,2.5
POA2285,36,1928,838,400,2171,0.8,1857,2.7
POA2286,36,1800,759,400,1985,0.8,1698,2.7
POA2287,36,1928,773,400,2117,0.8,1742,2.6
POA2289,38,2167,943,420,2545,0.8,2111,2.6
POA2290,40,1993,831,390,2242,0.8,1768,2.5
POA2291,40,2500,1087,430,3010,0.8,2303,2.5
POA2292,35,1961,924,400,2239,0.8,1757,2.3
POA2293,35,2000,1076,480,2556,0.9,1968,2.1
POA2294,37,1950,921,430,2324,0.8,1758,2.2
POA2295,45,2167,744,430,2097,0.8,1476,2.3
POA2296,34,2000,994,430,2315,0.9,1818,2.1
POA2297,36,1799,907,403,2433,0.9,2083,2.4
POA2298,37,1896,779,380,2129,0.8,1615,2.3
POA2299,34,1950,742,370,2035,0.9,1485,2.4
POA2300,38,2213,1153,440,2771,0.9,1935,1.9
POA2302,41,1929,1073,468,2319,0.9,1700,1.7
POA2303,41,2167,857,360,2460,0.8,1653,2.2
POA2304,37,1871,812,380,2104,0.8,1588,2.2
POA2305,41,2167,944,400,2565,0.8,1988,2.5
POA2306,37,1478,463,186,1007,0.9,775,2.3
POA2307,33,1679,678,375,1629,0.8,1341,2.3
POA2308,20,0,311,0,0,0,0,0
POA2311,46,1733,637,270,1687,0.8,1379,2.4
POA2312,48,1517,561,330,1379,0.8,1271,2.6
POA2315,54,1896,662,391,1640,0.7,1316,2.2
POA2316,52,1842,631,395,1579,0.7,1294,2.4
POA2317,56,1857,624,380,1498,0.7,1174,2.2
POA2318,40,1950,779,420,2052,0.8,1841,2.8
POA2319,50,1517,561,370,1365,0.7,1112,2.3
POA2320,37,1853,793,371,2108,0.8,1805,2.7
POA2321,34,1950,870,429,2176,0.8,1962,2.8
POA2322,34,1800,816,370,2090,0.8,1808,2.7
POA2323,39,1733,751,350,1967,0.8,1541,2.5
POA2324,46,1560,631,330,1482,0.7,1256,2.4
POA2325,39,1543,638,320,1646,0.8,1365,2.5
POA2326,38,1517,646,315,1655,0.8,1375,2.7
POA2327,38,1430,629,320,1589,0.8,1244,2.4
POA2328,42,1733,767,290,2042,0.7,1488,2.4
POA2329,44,1224,598,240,1478,0.8,1232,2.4
POA2330,37,1820,810,332,2272,0.8,1954,2.6
POA2331,21,0,950,0,3374,1,1625,3.3
POA2333,36,1517,775,300,2001,0.7,1662,2.5
POA2334,33,1755,798,360,2207,0.8,1925,2.8
POA2335,34,1972,915,415,2421,0.8,2199,2.9
POA2336,42,1600,753,270,2026,0.7,1497,2.4
POA2337,39,1653,831,290,2062,0.7,1557,2.4
POA2338,53,1092,576,250,1385,0.7,1014,2.1
POA2339,44,1500,692,190,1597,0.8,1335,2.4
POA2340,37,1517,784,300,1879,0.8,1470,2.5
POA2341,49,919,496,220,1214,0.7,940,2.2
POA2342,44,1543,751,260,1763,0.7,1474,2.6
POA2343,46,1138,651,240,1599,0.7,1227,2.3
POA2344,47,1562,768,320,1941,0.7,1694,2.5
POA2345,43,1300,756,290,1857,0.7,1476,2.5
POA2346,47,1165,579,260,1414,0.7,1089,2.3
POA2347,55,758,481,190,1204,0.7,853,2
POA2350,36,1500,745,290,1920,0.7,1458,2.3
POA2352,39,1400,742,320,1738,0.7,1394,2.5
POA2353,50,1492,665,220,1583,0.8,1346,2.4
POA2354,50,1109,691,200,1588,0.7,1237,2.2
POA2355,53,1083,529,300,1274,0.8,949,2.2
POA2356,54,745,461,23,974,0.8,880,2.2
POA2357,50,986,594,205,1409,0.7,1139,2.3
POA2358,47,1300,655,250,1535,0.7,1212,2.3
POA2359,49,910,466,190,1182,0.8,1007,2.5
POA2360,42,1257,652,270,1497,0.7,1210,2.4
POA2361,53,658,475,180,1159,0.7,920,2.2
POA2365,45,1192,645,250,1491,0.7,1143,2.4
POA2369,46,867,457,180,1039,0.8,887,2.4
POA2370,48,1083,547,226,1354,0.7,959,2.2
POA2371,57,867,462,168,1100,0.8,776,2
POA2372,55,1145,526,250,1248,0.7,940,2.1
POA2379,44,542,657,200,1642,0.8,1465,2.7
POA2380,37,1517,804,300,2041,0.7,1599,2.5
POA2381,41,968,662,250,1507,0.8,1298,2.5
POA2382,43,1200,815,300,1898,0.7,1578,2.3
POA2386,48,0,687,110,1687,0.8,1337,2.5
POA2387,33,0,935,50,2094,0.9,1660,2.6
POA2388,40,1040,682,200,1683,0.8,1276,2.4
POA2390,40,1452,833,260,2040,0.8,1603,2.5
POA2395,54,613,451,150,993,0.7,779,2.1
POA2396,50,672,524,157,1281,0.8,1045,2.2
POA2397,43,680,747,150,1775,0.8,1281,2.4
POA2398,41,618,864,225,1937,0.8,1625,2.9
POA2399,42,867,776,200,1937,0.8,1600,2.5
POA2400,39,1300,861,230,1989,0.8,1590,2.4
POA2401,42,815,720,160,1699,0.8,1385,2.8
POA2402,49,1000,502,225,1306,0.7,971,2.2
POA2403,43,1008,573,200,1205,0.8,1050,2.5
POA2404,57,1083,489,200,1120,0.7,896,2.1
POA2405,44,600,720,145,1875,0.7,1305,2.4
POA2406,42,884,821,170,1812,0.7,1178,2.2
POA2408,40,0,1056,150,2139,0.7,1821,2.4
POA2409,36,741,510,160,1266,0.9,1149,2.9
POA2410,48,600,506,150,1218,0.8,1014,2.3
POA2411,38,269,1109,225,2600,0.8,2333,3
POA2415,49,1560,607,220,1525,0.9,1383,2.6
POA2420,50,1600,644,300,1543,0.7,1239,2.3
POA2421,42,2167,760,300,2103,0.8,1882,2.7
POA2422,55,1300,564,273,1353,0.7,1063,2.2
POA2423,54,1300,531,300,1303,0.7,1058,2.3
POA2424,49,1133,460,230,1312,0.9,1118,2.5
POA2425,47,1733,625,310,1767,0.8,1364,2.5
POA2426,46,1387,512,300,1388,0.8,1142,2.5
POA2427,64,1517,483,340,1076,0.6,893,2
POA2428,57,1538,565,330,1300,0.7,993,2.1
POA2429,50,1387,572,300,1382,0.8,1134,2.4
POA2430,49,1500,582,301,1386,0.7,1108,2.3
POA2431,58,1517,553,340,1254,0.7,1033,2.1
POA2439,53,1600,580,350,1415,0.8,1240,2.4
POA2440,45,1300,559,300,1377,0.8,1131,2.4
POA2441,50,1500,543,290,1395,0.8,1126,2.5
POA2443,61,1517,518,330,1236,0.7,920,2
POA2444,47,1800,688,385,1708,0.7,1307,2.3
POA2445,52,1842,663,410,1579,0.7,1326,2.4
POA2446,44,1733,636,350,1567,0.8,1344,2.6
POA2447,50,1398,528,323,1339,0.8,1054,2.4
POA2448,56,1495,528,295,1324,0.7,936,2.1
POA2449,48,1083,492,250,1162,0.8,973,2.4
POA2450,44,1733,690,370,1730,0.8,1382,2.4
POA2452,44,1603,661,370,1582,0.8,1259,2.3
POA2453,54,1259,551,280,1296,0.7,975,2.1
POA2454,47,1517,633,370,1613,0.8,1315,2.5
POA2455,56,1647,589,350,1348,0.7,1073,2.2
POA2456,43,1797,686,395,1656,0.8,1390,2.6
POA2460,45,1300,590,300,1428,0.8,1163,2.4
POA2462,54,1207,542,300,1281,0.8,979,2.3
POA2463,52,1517,561,340,1381,0.7,1125,2.4
POA2464,57,1608,623,400,1435,0.7,1160,2.1
POA2465,44,1300,595,330,1346,0.8,1109,2.4
POA2466,63,1300,485,300,1073,0.7,871,1.9
POA2469,54,1047,467,240,1136,0.8,849,2.2
POA2470,43,1300,614,280,1432,0.8,1138,2.4
POA2471,44,1517,586,300,1503,0.8,1238,2.6
POA2472,45,1517,646,300,1555,0.9,1208,2.4
POA2473,56,1560,607,330,1424,0.8,1049,2.1
POA2474,51,1300,540,280,1341,0.8,1000,2.2
POA2475,54,867,467,210,1125,0.7,863,2.1
POA2476,53,1042,518,200,1264,0.7,912,2.1
POA2477,47,1733,719,390,1811,0.8,1446,2.4
POA2478,48,2000,739,430,1850,0.8,1393,2.3
POA2479,43,2330,881,550,2243,0.9,2052,2.7
POA2480,44,1517,686,310,1729,0.8,1324,2.4
POA2481,40,2383,835,600,2115,0.9,1817,2.4
POA2482,46,1950,631,450,1583,0.9,1321,2.5
POA2483,44,1900,702,480,1731,0.8,1435,2.4
POA2484,47,1733,611,350,1521,0.8,1254,2.5
POA2485,52,1700,634,390,1457,0.8,1094,2
POA2486,48,1889,632,420,1626,0.8,1267,2.4
POA2487,47,2236,766,490,2073,0.8,1523,2.4
POA2488,41,1879,764,460,1952,0.8,1612,2.5
POA2489,44,2037,697,500,1734,0.8,1423,2.6
POA2490,40,2141,770,350,2312,0.9,1989,2.7
POA2500,34,2058,785,400,2137,0.9,1618,2.2
POA2502,39,1761,523,330,1436,0.8,1136,2.5
POA2505,42,1950,651,340,1759,0.8,1309,2.4
POA2506,40,1733,564,288,1541,0.8,1218,2.5
POA2508,39,2554,1008,524,2784,0.9,2545,2.9
POA2515,43,2600,1012,550,2833,0.8,2421,2.7
POA2516,40,2518,939,370,2796,0.8,2330,2.8
POA2517,42,2167,785,399,2368,0.8,1803,2.5
POA2518,41,2167,730,335,2047,0.8,1432,2.3
POA2519,41,2240,756,400,2190,0.8,1679,2.5
POA2525,40,2228,817,430,2427,0.8,2039,2.8
POA2526,39,2167,786,370,2317,0.8,1995,2.7
POA2527,35,2167,794,450,2099,0.8,1880,2.8
POA2528,44,1842,592,350,1505,0.8,1165,2.4
POA2529,40,2167,775,470,2176,0.8,1874,2.7
POA2530,38,2000,723,410,1977,0.8,1650,2.7
POA2533,48,2221,830,480,2183,0.7,1806,2.5
POA2534,46,2167,846,500,2278,0.7,1949,2.5
POA2535,56,2167,736,400,1894,0.7,1418,2.2
POA2536,52,1551,634,350,1423,0.7,1209,2.2
POA2537,55,1517,650,325,1510,0.7,1238,2.2
POA2538,54,1733,588,380,1633,0.8,1360,2.4
POA2539,52,1642,612,350,1419,0.7,1156,2.2
POA2540,48,1733,639,360,1537,0.7,1285,2.3
POA2541,40,1690,637,320,1536,0.7,1234,2.4
POA2545,54,1300,618,250,1403,0.8,1178,2.2
POA2546,58,1460,584,300,1344,0.7,1040,2.1
POA2548,54,1625,703,350,1610,0.7,1244,2.1
POA2549,50,1517,653,330,1621,0.8,1302,2.4
POA2550,49,1421,651,300,1535,0.8,1248,2.3
POA2551,53,1517,580,270,1327,0.7,1046,2.2
POA2555,41,1300,496,505,1312,0.8,1292,3
POA2556,41,2167,686,500,1912,0.8,1828,3.2
POA2557,31,2600,1025,530,2508,0.8,2450,3.2
POA2558,36,1950,784,400,2025,0.8,1875,3
POA2559,29,2500,514,221,1309,0.9,1139,3.1
POA2560,35,2000,721,380,1876,0.8,1606,2.8
POA2563,37,2167,776,500,1968,0.8,1916,3
POA2564,36,1800,590,340,1580,0.9,1377,2.9
POA2565,34,2470,835,420,2195,0.9,2020,3
POA2566,35,2000,733,380,1937,0.9,1768,3.1
POA2567,34,2379,946,470,2567,0.8,2422,3.2
POA2568,54,2500,686,450,2034,0.8,1476,2.6
POA2569,42,2373,858,446,2407,0.8,2250,3.1
POA2570,33,2513,972,500,2434,0.8,2277,3
POA2571,36,2400,942,415,2529,0.8,2318,3
POA2572,39,2329,789,420,2077,0.8,1752,2.7
POA2573,34,2167,790,410,2030,0.8,1736,2.7
POA2574,40,2167,761,410,2101,0.8,1836,2.9
POA2575,41,2167,803,430,2123,0.8,1775,2.6
POA2576,55,2381,837,500,2204,0.7,1704,2.3
POA2577,47,2037,803,400,2070,0.7,1698,2.4
POA2578,59,1831,671,400,1650,0.6,1312,2.2
POA2579,46,2000,756,380,1903,0.7,1632,2.5
POA2580,42,1700,755,318,1948,0.7,1471,2.4
POA2581,42,1874,1030,300,2396,0.8,2093,2.7
POA2582,42,2100,1022,350,2596,0.8,2165,2.7
POA2583,52,1300,663,270,1690,0.7,1266,2.3
POA2584,45,1300,827,285,2046,0.7,1447,2.3
POA2585,44,1047,681,200,1583,0.7,1111,2.3
POA2586,49,1300,684,243,1672,0.7,1236,2.3
POA2587,49,1040,629,220,1485,0.7,1136,2.2
POA2588,51,1083,736,200,1847,0.7,1428,2.3
POA2590,51,1127,588,220,1426,0.7,1042,2.2
POA2594,41,1300,667,250,1551,0.7,1186,2.4
POA2619,37,2400,1473,490,3680,0.8,3396,3
POA2620,36,2159,1133,340,2683,0.8,2173,2.5
POA2621,39,2383,1293,500,3151,0.8,2926,2.9
POA2622,51,1733,786,350,1912,0.8,1445,2.2
POA2623,40,1309,988,300,2211,0.9,1651,2.4
POA2624,40,0,1093,252,1375,1.4,974,2.3
POA2625,41,2442,1396,2000,2388,1.1,2888,2
POA2626,45,1902,962,350,2411,0.8,2190,2.5
POA2627,31,1788,930,450,2415,0.9,2186,2.6
POA2628,45,1322,786,300,1993,0.8,1535,2.4
POA2629,50,1042,1066,363,1350,0.6,1386,1.9
POA2630,45,1300,791,290,1981,0.7,1460,2.3
POA2631,49,934,623,270,1625,0.7,1254,2.2
POA2632,46,1083,746,200,1807,0.7,1309,2.2
POA2633,55,806,549,150,1316,0.6,914,2
POA2640,39,1517,837,280,2061,0.7,1568,2.4
POA2641,38,1300,666,250,1557,0.8,1169,2.3
POA2642,40,1473,804,260,2072,0.8,1795,2.8
POA2643,48,1300,681,290,1612,0.7,1294,2.3
POA2644,49,1225,717,200,1726,0.7,1298,2.3
POA2645,58,490,546,110,1562,0.7,966,2.2
POA2646,51,1192,656,220,1605,0.7,1158,2.2
POA2647,52,1517,647,270,1562,0.7,1181,2.3
POA2648,50,932,639,200,1413,0.8,1060,2.2
POA2649,38,1000,754,0,1792,1.1,1656,2.8
POA2650,36,1517,839,300,2064,0.7,1629,2.5
POA2651,25,1300,943,310,2031,0.8,1775,2.8
POA2652,42,1257,744,220,1850,0.8,1490,2.6
POA2653,46,1160,701,220,1584,0.7,1301,2.3
POA2655,42,1300,639,250,1755,0.8,1380,2.6
POA2656,50,867,638,192,1664,0.7,1187,2.3
POA2658,49,999,593,200,1431,0.7,1067,2.3
POA2659,44,953,621,230,1583,0.7,1214,2.3
POA2660,44,1021,641,203,1544,0.8,1192,2.5
POA2661,21,0,948,254,2408,0.9,2386,3.4
POA2663,39,1244,740,260,1761,0.7,1375,2.4
POA2665,48,700,603,150,1413,0.8,1085,2.3
POA2666,47,1183,673,230,1642,0.7,1236,2.3
POA2668,48,650,475,190,1125,0.7,864,2.4
POA2669,44,520,670,100,1552,0.7,1171,2.4
POA2671,42,1200,816,225,1897,0.7,1476,2.3
POA2672,40,867,619,160,1426,0.8,1125,2.4
POA2675,36,876,896,220,1781,0.8,1552,2.4
POA2678,20,0,318,315,2750,0.6,2750,2
POA2680,37,1500,841,300,1998,0.8,1739,2.7
POA2681,40,1300,829,250,2105,0.8,1689,2.7
POA2700,43,1083,644,210,1513,0.7,1168,2.3
POA2701,42,1495,761,265,1868,0.7,1441,2.6
POA2702,48,867,623,200,1660,0.8,1170,2.4
POA2703,25,1083,477,200,1447,0.8,1255,2.5
POA2705,38,1300,765,250,1841,0.8,1426,2.5
POA2706,43,1083,752,210,1690,0.7,1327,2.3
POA2707,44,867,843,180,1812,0.7,1561,2.4
POA2710,47,1083,680,220,1627,0.7,1208,2.2
POA2711,47,884,719,175,1685,0.7,1269,2.3
POA2712,52,933,586,183,1320,0.7,1020,2.3
POA2713,49,953,648,167,1484,0.7,1086,2.2
POA2714,56,1300,566,245,1398,0.7,1067,2.2
POA2715,47,916,729,200,1704,0.8,1270,2.3
POA2716,50,860,715,175,1756,0.7,1255,2.2
POA2717,45,1083,550,180,1383,0.8,1088,2.5
POA2720,43,1387,707,250,1755,0.8,1347,2.4
POA2721,45,433,525,140,1271,0.7,959,2.5
POA2722,43,1218,721,220,1790,0.8,1333,2.4
POA2725,52,1013,534,155,1199,0.7,979,2.2
POA2726,43,964,780,185,1825,0.7,1267,2.4
