POA_CODE_2021,1_74_RE_agent,1_74_StateTeHAuthority,1_74_Com_house_prov,1_74_Person_not_same_hh,1_74_Oth_type,1_74_Not_stated,1_74_Total,75_99_RE_agent,75_99_StateTeHAuthority,75_99_Com_house_prov,75_99_Person_not_same_hh,75_99_Oth_type,75_99_Not_stated,75_99_Total,100_149_RE_agent,100_149_StateTeHAuthority,100_149_Com_house_prov,100_149_Person_not_same_hh,100_149_Oth_type,100_149_Not_stated,100_149_Total,150_199_RE_agent,150_199_StateTeHAuthority,150_199_Com_house_prov,150_199_Person_not_same_hh,150_199_Oth_type,150_199_Not_stated,150_199_Total,200_224_RE_agent,200_224_StateTeHAuthority,200_224_Com_house_prov,200_224_Person_not_same_hh,200_224_Oth_type,200_224_Not_stated,200_224_Total,225_274_RE_agent,225_274_StateTeHAuthority,225_274_Com_house_prov,225_274_Person_not_same_hh,225_274_Oth_type,225_274_Not_stated,225_274_Total,275_349_RE_agent,275_349_StateTeHAuthority,275_349_Com_house_prov,275_349_Person_not_same_hh,275_349_Oth_type,275_349_Not_stated,275_349_Total,350_449_RE_agent,350_449_StateTeHAuthority,350_449_Com_house_prov,350_449_Person_not_same_hh,350_449_Oth_type,350_449_Not_stated,350_449_Total,450_549_RE_agent,450_549_StateTeHAuthority,450_549_Com_house_prov,450_549_Person_not_same_hh,450_549_Oth_type,450_549_Not_stated,450_549_Total,550_649_RE_agent,550_649_StateTeHAuthority,550_649_Com_house_prov,550_649_Person_not_same_hh,550_649_Oth_type,550_649_Not_stated,550_649_Total,650_749_RE_agent,650_749_StateTeHAuthority,650_749_Com_house_prov,650_749_Person_not_same_hh,650_749_Oth_type,650_749_Not_stated,650_749_Total,750_849_RE_agent,750_849_StateTeHAuthority,750_849_Com_house_prov,750_849_Person_not_same_hh,750_849_Oth_type,750_849_Not_stated,750_849_Total,850_949_RE_agent,850_949_StateTeHAuthority,850_949_Com_house_prov,850_949_Person_not_same_hh,850_949_Oth_type,850_949_Not_stated,850_949_Total,950oveRE_agent,950oveStateTeHAuthority,950oveCom_house_prov,950ovePerson_not_same_hh,950oveOth_type,950oveNot_stated,950oveTotal,Rent_NS_RE_agent,Rent_NS_StateTeRent_Hauth,Rent_NS_Com_house_prov,Rent_NS_Person_not_same_hh,Rent_NS_Oth_type,Rent_NS_Not_stated,Rent_NS_Total,Total_RE_agent,Total_StateTer_HAuthority,Total_Com_house_prov,Total_Person_not_same_hh,Total_Oth_type,Total_NS,Total_Total
POA2035,0,34,0,0,0,0,34,0,83,9,0,0,0,90,5,495,17,7,0,0,533,6,144,21,18,0,0,189,8,82,9,15,0,0,115,27,65,18,22,0,0,142,73,40,15,36,9,0,178,300,35,11,54,8,0,412,883,15,0,98,3,0,1001,883,8,0,93,7,0,991,507,0,3,56,4,0,574,324,0,0,42,4,0,373,181,0,0,26,0,0,205,378,3,0,40,4,0,426,77,61,4,54,11,5,212,3658,1071,109,559,51,18,5466
POA2036,5,39,3,0,0,0,48,5,71,4,6,0,0,81,3,450,24,7,3,3,495,4,134,78,15,9,0,230,6,75,18,11,3,0,112,10,56,12,14,8,0,103,86,45,12,21,13,0,183,537,38,4,53,28,6,672,600,14,8,66,17,0,714,655,12,8,56,16,0,748,525,9,3,49,7,4,593,303,0,0,33,11,0,350,144,0,0,19,3,0,167,346,0,0,36,3,0,385,58,68,13,40,5,18,200,3287,1019,189,417,130,38,5076
POA2037,0,22,0,6,0,0,27,0,60,5,0,0,0,65,0,402,22,7,0,0,430,8,149,66,8,0,6,239,12,81,18,13,3,0,128,66,54,13,20,3,0,156,205,47,23,51,4,0,331,412,51,67,56,0,0,592,531,14,12,70,8,0,638,443,9,3,53,4,0,514,389,10,0,51,3,0,450,365,0,0,35,3,0,406,161,0,0,34,0,0,195,304,4,0,48,0,0,359,35,57,7,24,3,8,138,2933,963,238,479,25,18,4662
POA2038,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,22,11,0,0,0,40,4,9,11,0,0,0,27,10,3,3,11,0,0,32,49,0,5,9,0,0,63,127,0,0,18,4,0,150,192,4,5,27,0,0,226,153,0,0,33,0,0,186,150,0,0,27,0,0,180,163,0,0,21,0,0,181,136,0,0,18,0,0,155,108,0,0,8,0,0,116,167,0,0,33,0,0,200,16,3,0,11,3,4,31,1269,57,45,224,8,6,1607
POA2039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,4,0,4,23,0,10,4,4,0,0,20,4,3,0,7,0,0,19,12,7,0,12,7,0,26,42,4,0,18,8,0,64,87,0,0,23,6,0,117,178,4,0,23,5,0,208,192,0,0,25,3,0,214,175,0,0,18,0,0,196,173,0,0,19,0,0,196,123,0,0,14,0,0,136,179,0,0,19,0,0,200,17,0,0,8,3,0,28,1170,52,3,189,26,5,1444
POA2040,0,14,0,0,0,0,19,0,26,6,0,0,0,30,0,202,20,9,4,0,234,11,34,14,10,5,0,71,7,29,8,9,0,0,58,27,23,4,18,10,0,81,111,11,11,32,5,0,166,361,13,18,46,16,0,456,368,8,6,48,3,0,435,417,4,0,50,0,0,481,489,0,0,60,0,0,551,316,0,0,43,5,0,368,187,0,0,16,0,0,201,239,0,0,34,0,4,280,27,12,8,16,7,9,73,2567,394,87,386,49,11,3492
POA2041,3,15,0,0,0,0,17,0,20,0,0,0,0,20,0,143,13,4,0,0,165,11,33,19,4,0,0,62,27,16,4,7,4,0,55,56,19,0,9,0,0,82,62,13,0,11,0,0,92,145,11,5,54,6,0,219,205,3,0,39,0,0,249,270,0,0,35,0,0,301,384,3,0,46,0,0,431,205,0,0,34,0,0,242,146,0,0,15,0,5,169,346,0,0,47,0,0,398,23,20,4,16,5,0,70,1890,292,38,316,22,3,2562
POA2042,0,4,0,0,0,0,12,0,13,0,0,0,0,14,9,130,8,8,0,0,154,17,27,18,13,0,0,76,16,12,5,16,8,0,53,82,15,3,29,15,0,141,356,13,8,59,11,0,450,565,9,11,87,19,0,693,589,10,7,109,4,0,719,544,0,3,70,5,0,622,480,0,0,66,0,0,549,349,0,0,34,0,0,385,210,0,0,35,0,0,244,348,0,0,63,0,0,415,34,3,6,32,9,3,93,3601,251,60,620,79,10,4617
POA2043,0,9,0,3,0,0,14,0,5,0,0,0,0,12,0,61,3,0,0,0,64,0,11,12,8,0,0,24,0,3,9,0,0,0,12,9,4,3,13,4,0,25,29,6,9,17,0,0,60,100,8,0,27,0,0,133,409,7,3,39,3,0,458,423,0,0,44,5,0,471,504,0,0,39,4,0,541,302,0,0,30,0,0,332,101,0,0,10,0,0,111,118,0,0,16,0,0,134,16,5,3,12,4,0,46,2009,119,39,250,15,0,2434
POA2044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,6,0,0,0,9,0,0,12,6,0,0,4,0,0,16,10,0,6,9,0,0,25,42,0,0,13,0,0,57,75,0,4,22,0,0,111,111,0,0,30,0,0,140,194,0,0,31,0,0,225,200,0,5,22,4,0,226,114,0,0,14,0,0,134,78,0,0,11,0,0,84,80,0,0,16,0,0,101,13,0,0,19,4,0,36,939,11,14,200,10,5,1172
