POA_CODE_2021,P55_64_C_Own_chld_childr,P55_64_C_Oth_ch_chiln,P55_64_Ca_Ow_ch_ch_oth_ch_ch,P55_64_yr_C_for_Tot,P55_64_D_not_prov_ch_care,P55_64_U_ch_care_ns,P55_64_OS_vis,P55_64_yr_Tot,P65_74_C_Own_chld_childr,P65_74_C_Oth_ch_chiln,P65_74_Ca_Ow_ch_ch_oth_ch_ch,P65_74_yr_C_for_Tot,P65_74_D_not_prov_ch_care,P65_74_U_ch_care_ns,P65_74_OS_vis,P65_74_yr_Tot,P75_84_C_Own_chld_childr,P75_84_C_Oth_ch_chiln,P75_84_Ca_Ow_ch_ch_oth_ch_ch,P75_84_yr_C_for_Tot,P75_84_D_not_prov_ch_care,P75_84_U_ch_care_ns,P75_84_OS_vis,P75_84_yr_Tot,P85ovr_C_Own_chld_childr,P85ovr_C_Oth_ch_chiln,P85ov_Ca_Ow_ch_ch_oth_ch_ch,P85ovr_C_for_Tot,P85ovr_D_not_prov_ch_care,P85ovr_U_ch_care_ns,P85ovr_OS_vis,P85ovr_Tot,PTot_C_Own_chld_childrn,PTot_C_Oth_ch_chiln,PTot_Ca_Ow_ch_ch_oth_ch_ch,PTot_C_for_Tot,PTot_D_not_prov_ch_care,PTot_U_ch_care_ns,PTot_OS_vis,PTot_Tot
POA3060,73,95,3,172,1024,64,6,1267,12,96,0,105,732,55,3,899,5,24,0,28,701,58,0,787,0,0,0,0,484,43,0,528,2315,438,44,2801,7583,828,21,11231
POA3061,28,42,0,68,415,47,3,529,11,35,0,42,405,28,0,482,0,3,0,3,340,20,0,367,0,0,0,0,101,7,0,108,604,145,10,756,2894,326,4,3975
POA3062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,10
POA3063,4,0,0,7,75,13,0,89,0,11,0,12,37,5,0,58,0,0,0,0,24,5,0,33,0,0,0,0,4,3,0,10,76,25,3,109,338,41,0,488
POA3064,575,933,20,1530,7184,436,53,9210,132,600,10,741,3902,226,49,4925,6,74,0,92,1614,119,15,1835,0,0,0,0,438,82,0,522,22803,3390,408,26599,52979,5055,197,84823
POA3065,66,56,0,115,897,163,0,1179,10,74,0,86,554,151,6,796,0,23,0,24,268,89,0,379,0,0,0,0,119,45,0,164,920,300,24,1248,7290,1139,24,9707
POA3066,25,32,3,53,556,43,0,658,9,47,0,55,309,25,0,387,0,7,0,7,170,15,0,188,0,0,0,0,61,0,0,70,722,201,13,937,6631,550,16,8136
POA3067,46,39,0,85,540,43,3,670,6,84,0,88,374,28,5,491,0,26,0,24,209,11,0,244,0,0,0,0,93,5,0,97,910,270,13,1192,6516,488,29,8228
POA3068,157,112,5,277,1539,65,5,1887,23,271,6,296,1230,64,0,1594,3,76,0,77,773,48,0,900,0,3,0,3,341,21,0,370,2807,747,68,3630,12060,625,29,16339
POA3070,230,124,4,363,2126,86,3,2578,20,254,3,280,1277,60,8,1634,6,72,0,84,947,52,0,1089,0,4,0,7,485,25,0,514,4106,813,84,5003,15247,717,28,20996
POA3071,133,119,6,259,1529,54,3,1844,12,175,0,188,969,47,5,1209,6,49,0,58,706,78,0,841,3,12,0,10,350,118,0,480,3102,634,69,3800,11469,668,19,15957
POA3072,236,255,6,496,2762,142,10,3407,27,288,3,316,1847,113,7,2295,3,67,0,69,1322,78,5,1477,0,0,0,3,643,80,0,726,5386,1099,106,6600,20702,1342,50,28687
POA3073,271,431,9,707,4173,280,12,5171,49,472,0,528,3135,271,13,3945,15,119,0,129,2653,254,5,3044,3,13,0,15,1408,278,0,1702,7817,1648,132,9596,30434,2796,62,42880
POA3074,117,246,3,368,1769,103,8,2243,34,317,9,363,1792,93,8,2257,4,67,0,70,1430,60,0,1567,0,0,0,4,495,24,0,528,2646,907,51,3605,12492,900,36,17031
POA3075,79,230,4,319,1873,122,8,2318,27,246,0,271,1742,95,6,2117,9,70,0,81,1355,75,0,1519,0,5,0,5,589,29,0,622,3423,840,48,4319,13392,1187,27,18924
POA3076,172,445,6,617,2765,216,18,3622,32,327,4,361,1941,199,21,2515,7,44,0,52,862,292,9,1218,0,0,0,0,281,305,0,585,5912,1237,109,7259,17288,2300,98,26942
POA3078,108,86,0,195,1225,62,0,1484,7,194,0,201,724,35,5,963,3,40,0,40,404,21,0,466,0,4,0,4,203,8,0,209,2000,472,42,2509,7216,417,11,10151
POA3079,162,174,4,342,1871,57,6,2279,32,397,3,423,1252,62,4,1746,10,94,4,99,803,74,3,975,6,5,0,8,447,87,3,541,2833,861,63,3755,10194,581,49,14583
POA3081,97,101,3,197,1341,78,9,1621,18,107,0,124,857,64,0,1050,0,18,0,17,430,37,3,492,0,0,0,0,228,16,0,243,2136,444,58,2637,8175,757,24,11598
POA3082,180,560,4,741,3573,132,8,4454,51,522,0,574,2249,96,4,2926,5,59,0,63,1087,52,3,1200,0,6,0,3,398,10,0,415,4260,1483,85,5824,17355,958,40,24178
POA3083,188,360,6,558,2800,143,4,3509,31,451,0,483,2117,120,11,2737,9,110,0,117,1744,91,5,1959,0,6,0,10,738,90,0,832,4580,1299,67,5941,19804,1520,78,27343
POA3084,223,319,3,547,2509,127,8,3192,36,536,0,568,1904,147,12,2627,7,139,0,136,1646,123,6,1916,0,12,0,12,879,99,0,995,5105,1267,87,6461,14921,922,42,22351
POA3085,80,134,5,214,1209,38,0,1463,15,277,0,289,938,36,3,1276,4,57,0,65,679,21,0,758,0,0,0,0,429,15,3,446,2716,632,46,3388,7760,347,27,11523
POA3087,51,115,0,166,808,38,0,1008,12,179,0,189,649,29,0,877,0,34,0,32,509,16,0,559,0,6,0,5,183,3,0,194,1679,427,44,2145,5034,223,13,7417
POA3088,161,457,3,621,2552,55,0,3231,32,666,3,701,2140,84,7,2937,6,111,0,117,1443,88,5,1653,0,3,0,3,585,74,4,659,5208,1555,104,6873,14309,621,25,21828
POA3089,86,250,3,336,1321,30,0,1688,19,278,0,296,705,27,5,1030,4,33,0,35,388,7,0,434,0,0,0,0,118,8,0,123,2433,728,84,3249,6489,211,8,9954
POA3090,23,46,0,72,284,8,0,365,0,59,0,65,123,7,0,191,0,7,0,7,101,10,0,118,0,0,0,0,101,0,0,107,437,148,8,591,1470,61,3,2121
POA3091,5,41,0,46,204,12,0,261,5,33,0,42,108,9,0,160,0,8,0,8,87,3,0,98,0,0,0,0,21,4,0,20,218,110,5,333,949,58,0,1335
