POA_CODE_2021,Tot_Mgr,Tot_Pfn,Tot_Tch_trwk,Tot_Co_Pswk,Tot_Cl_Adwk,Tot_Sal,Tot_MchOp,Tot_Lab,Tot_Inad_ns,Tot_To
POA2068,1935,3373,425,502,1044,615,154,231,133,8409
POA2069,1576,2992,330,410,780,483,92,213,127,7010
POA2070,1509,2978,304,402,785,466,80,162,124,6813
POA2071,1272,2642,276,342,806,447,78,172,116,6147
POA2072,860,1850,259,277,499,328,66,110,75,4325
POA2073,1961,3545,402,484,1035,560,86,231,146,8450
POA2074,2405,4476,543,709,1358,691,142,294,159,10771
POA2075,2306,3764,553,623,1251,781,154,248,176,9848
POA2076,2399,4741,692,928,1543,782,167,381,177,11807
POA2077,2893,8002,2005,2197,2864,1415,639,1316,361,21689
POA2079,663,1313,479,426,583,299,142,255,42,4208
POA2080,141,275,109,84,126,60,28,53,3,872
POA2081,505,892,311,263,442,185,70,162,34,2866
POA2082,454,824,376,265,384,221,83,141,25,2771
POA2083,180,231,115,77,100,34,20,69,15,842
POA2084,401,470,260,156,226,157,58,92,16,1830
POA2085,1184,1598,524,413,785,487,146,229,60,5429
POA2086,1493,2185,769,572,934,581,202,339,81,7153
POA2087,1324,2091,501,523,811,500,158,242,68,6222
POA2088,3415,5774,594,825,1529,1003,141,289,322,13888
POA2089,1529,2885,367,418,796,445,71,137,97,6751
POA2090,1841,3234,383,427,860,446,89,163,116,7563
POA2092,966,1234,207,240,368,275,35,70,57,3445
POA2093,2809,4207,921,943,1388,950,270,369,179,12039
POA2094,817,1330,210,259,345,214,45,86,46,3355
POA2095,2284,3915,563,578,858,615,134,203,152,9301
POA2096,1910,3021,895,711,864,578,174,278,141,8573
POA2097,1648,2224,1137,778,1114,732,265,392,112,8404
POA2099,3794,5951,2900,2600,2769,1966,988,1739,363,23081
POA2100,2227,3083,1324,1035,1510,1018,402,646,148,11383
POA2101,1908,2688,1397,950,1252,800,317,486,135,9933
POA2102,796,1078,499,400,575,383,133,186,59,4107
POA2103,997,1388,747,487,702,461,162,258,93,5297
POA2104,385,410,119,105,177,118,41,54,32,1441
POA2105,229,312,100,68,98,70,10,44,26,952
POA2106,1092,1467,652,442,619,438,124,252,78,5164
POA2107,1658,2266,843,599,813,560,147,328,127,7333
POA2108,210,303,68,47,90,75,3,25,25,843
POA2110,1134,1627,216,259,561,298,59,94,84,4321
POA2111,1804,2873,663,590,1162,570,145,280,109,8198
POA2112,3165,6567,1850,1494,2823,1510,538,868,327,19150
POA2113,2199,6004,1165,993,1983,1184,338,599,236,14710
POA2114,1868,4963,1189,1017,1850,911,363,711,246,13113
POA2115,884,1563,756,464,859,428,251,359,90,5659
POA2116,446,866,400,262,550,278,201,216,70,3296
POA2117,1458,2794,1003,862,1532,743,455,572,220,9639
POA2118,1726,4305,1139,982,1828,906,425,614,255,12174
POA2119,1161,2490,340,358,802,423,75,161,69,5875
POA2120,1864,4011,852,836,1442,704,198,439,120,10466
POA2121,2444,7355,1186,1123,2178,1107,359,648,265,16662
POA2122,1976,5327,1303,1164,1965,1080,449,750,294,14307
POA2125,1661,3129,563,499,1185,595,140,286,121,8185
POA2126,1703,3551,633,638,1396,657,186,310,152,9225
POA2127,2350,4925,996,885,1865,906,395,449,254,13023
POA2128,129,265,138,100,169,76,83,67,37,1060
POA2130,697,1902,299,277,535,249,94,138,63,4251
POA2131,1400,4257,1107,1201,1478,824,436,925,209,11845
POA2132,787,1800,393,351,726,404,145,256,106,4968
POA2133,755,1464,518,401,813,394,209,281,98,4912
POA2134,915,2566,795,908,1009,733,363,919,255,8467
POA2135,1645,4385,1154,1261,1573,1182,425,1437,292,13353
POA2136,531,1108,345,291,590,268,154,232,85,3606
POA2137,2716,4502,1151,985,2191,1062,344,590,257,13801
POA2138,1716,4207,835,684,1445,738,256,434,200,10518
POA2140,1067,3569,1027,1079,1293,889,625,1095,300,10949
POA2141,1364,3578,1679,1394,1747,1058,1007,1692,479,13997
POA2142,887,2326,1168,1290,1288,912,1024,1451,315,10650
POA2143,329,824,395,376,498,233,309,359,116,3443
POA2144,861,2177,1663,1879,1271,1213,1276,2358,553,13258
POA2145,4438,12067,3504,3036,5876,2710,2926,2671,894,38122
POA2146,1007,2436,968,788,1367,625,773,712,185,8855
POA2147,1959,4042,2070,1617,2504,1189,1471,1346,308,16505
POA2148,2561,5779,3314,3054,4313,2297,4098,2986,715,29118
POA2150,1855,7433,1294,1579,2148,1192,1122,1425,388,18435
POA2151,1405,3292,932,830,1522,708,449,517,163,9811
POA2152,778,1710,472,445,841,378,257,288,100,5272
POA2153,5307,10351,2779,2232,4677,2270,944,1325,469,30349
POA2154,3745,6754,1538,1382,2825,1594,436,781,283,19348
POA2155,7232,12424,3651,3244,5909,3327,1309,1775,615,39484
POA2156,1423,1647,831,463,1002,548,172,321,99,6498
POA2157,451,425,358,135,264,165,77,140,42,2063
POA2158,884,1152,472,290,652,343,110,214,86,4190
POA2159,529,614,333,216,319,193,74,154,28,2462
POA2160,1242,2643,1562,1420,1929,1126,1178,1349,379,12823
POA2161,875,1721,1289,1061,1486,751,988,942,338,9453
POA2162,547,1238,741,634,899,481,674,647,173,6036
POA2163,162,421,309,313,327,196,384,350,92,2555
POA2164,624,1088,878,667,1016,555,841,655,154,6468
POA2165,816,1849,1378,1130,1628,1021,1595,1659,348,11419
POA2166,1205,2590,1798,1726,1939,1448,2688,2840,613,16850
POA2167,447,1257,485,528,693,277,426,396,117,4634
POA2168,1062,1952,1760,1542,1995,1194,2070,1797,386,13766
POA2170,4216,8395,4996,4451,6448,3406,4554,3994,985,41455
POA2171,2103,3410,1991,1476,2853,1503,1681,1368,328,16716
POA2172,306,435,189,146,262,104,57,57,26,1583
POA2173,975,1912,972,1238,1267,520,476,408,138,7884
POA2174,705,1648,511,576,821,413,420,374,104,5580
POA2175,131,108,106,40,152,45,67,57,30,731
POA2176,1736,3312,2104,1520,2735,1513,1773,1704,368,16765
POA2177,530,987,706,518,820,476,820,769,141,5759
POA2178,355,267,258,125,309,133,142,153,40,1786
POA2179,912,1763,840,650,1101,557,667,521,157,7166
POA2190,999,1836,947,750,1336,781,600,664,228,8134
POA2191,347,599,320,250,455,227,135,178,45,2556
POA2192,541,1131,607,634,768,449,388,474,144,5130
POA2193,1285,2798,805,742,1216,654,355,542,157,8550
POA2194,920,2102,1187,1322,1158,934,703,1332,290,9940
POA2195,537,1430,822,1003,833,955,955,979,234,7753
POA2196,1160,2209,1307,1212,1740,1135,1059,1024,322,11165
POA2197,314,592,359,303,463,274,292,276,74,2951
POA2198,445,708,478,297,597,288,226,229,86,3347
POA2199,585,1259,713,637,1020,551,561,675,165,6175
POA2200,1376,3290,1776,1794,2264,1382,1461,1745,452,15540
POA2203,1335,3048,687,573,970,478,221,315,95,7719
POA2204,2332,5588,1298,1066,1714,806,439,688,252,14182
POA2205,1658,4140,1311,1094,1814,1019,647,1086,296,13062
POA2206,1532,2567,912,624,1329,723,326,440,185,8648
POA2207,1651,3335,1361,1009,1926,1009,735,877,230,12136
POA2208,791,1419,590,416,881,520,311,353,109,5385
POA2209,816,1747,692,624,1039,561,430,480,146,6534
POA2210,1807,3587,1604,1292,2261,1149,826,899,282,13702
POA2211,983,1915,881,718,1336,604,525,566,147,7677
POA2212,935,1760,801,687,1218,604,521,504,146,7172
POA2213,1531,2589,1201,959,1929,871,577,637,200,10496
POA2214,260,368,288,176,334,167,91,116,33,1829
POA2216,1566,3109,1523,1539,1791,1256,801,1441,312,13334
POA2217,1738,3844,1446,1394,1927,1164,701,1166,254,13632
POA2218,814,2023,823,821,1086,737,441,756,170,7672
POA2219,1062,1557,689,502,1052,599,252,331,119,6176
POA2220,1532,3873,1652,2050,1935,1608,778,1836,379,15645
POA2221,1362,2295,700,533,1271,685,302,364,178,7695
POA2222,651,1683,642,648,902,526,303,558,89,5999
POA2223,1649,3325,1007,902,1642,823,370,541,182,10437
POA2224,1294,1573,752,505,1040,629,280,320,153,6550
POA2225,595,856,291,226,400,227,66,111,38,2810
POA2226,1190,2011,742,559,1007,473,191,288,73,6527
POA2227,1409,2024,1072,768,1239,657,244,347,109,7883
POA2228,1647,2579,1270,1055,1493,931,415,603,175,10165
POA2229,2904,3861,1929,1511,2433,1268,509,775,237,15409
POA2230,3076,4651,2032,1754,2376,1239,489,710,276,16597
POA2231,150,198,243,156,183,70,77,106,20,1206
POA2232,2740,5308,2379,1880,2797,1334,645,973,238,18292
POA2233,2097,3552,2353,1812,2467,1172,554,910,196,15110
POA2234,2708,4087,2081,1408,2742,1383,554,778,207,15954
POA2250,4234,7761,4369,3854,4417,2946,1698,3071,563,32911
POA2251,2166,3884,2098,1835,2022,1347,530,1095,241,15214
POA2256,785,1431,883,777,865,548,352,622,131,6410
POA2257,1753,2655,1808,1531,1675,1031,625,1051,199,12327
POA2258,388,590,363,316,385,216,153,210,46,2672
POA2259,3150,4408,4394,4027,3674,2803,2267,3158,500,28387
POA2260,2064,3636,1545,1359,1615,1058,363,712,191,12541
POA2261,2693,4384,3845,3249,3094,2222,1446,2466,395,23792
POA2262,752,1030,1403,1307,1062,915,829,1157,158,8601
POA2263,781,1262,1482,1429,1106,905,791,1166,169,9094
POA2264,721,1101,1023,879,794,535,511,685,130,6383
POA2265,335,760,548,382,395,229,238,322,61,3264
POA2267,135,215,196,139,145,88,76,109,26,1127
POA2278,115,134,295,176,177,106,146,176,16,1355
POA2280,1383,2646,2016,1607,1686,1105,679,1105,174,12407
POA2281,747,1261,1043,894,812,575,356,583,101,6364
POA2282,996,2123,1013,897,1095,675,327,531,77,7732
POA2283,1069,1907,1659,1383,1271,835,789,957,159,10032
POA2284,586,1135,895,815,722,509,434,511,97,5708
POA2285,1664,3247,2650,2302,2327,1580,1205,1589,234,16790
POA2286,169,336,423,327,272,226,205,261,34,2252
POA2287,1857,4655,2808,2708,2505,1779,1324,1823,317,19771
POA2289,1337,3302,1280,1226,1343,867,429,678,107,10574
POA2290,1817,4300,2538,2165,2302,1366,816,1330,211,16840
POA2291,1216,2859,732,875,841,561,206,358,86,7731
POA2292,159,400,179,223,168,104,64,115,29,1432
POA2293,298,672,214,275,236,113,51,114,34,2009
POA2294,148,353,125,136,103,66,47,72,21,1070
POA2295,409,808,523,426,416,227,203,269,47,3341
POA2296,149,391,151,174,118,91,33,81,25,1219
POA2297,118,363,122,145,107,60,33,70,7,1018
POA2298,477,1411,637,736,622,443,256,426,59,5071
POA2299,542,1558,685,782,592,509,333,513,72,5590
POA2300,1015,2740,616,868,737,438,190,297,77,6986
POA2302,139,278,67,95,92,58,31,33,8,802
POA2303,619,1574,434,653,514,375,148,325,68,4713
POA2304,758,2157,998,1102,921,591,440,686,136,7782
POA2305,849,2224,693,764,816,570,236,447,89,6689
POA2306,46,55,132,136,66,78,71,187,28,805
POA2307,127,389,318,346,253,220,176,229,22,2079
POA2308,6,46,5,112,28,116,11,51,5,383
POA2311,96,50,57,40,41,28,39,57,9,414
POA2312,86,69,98,82,67,68,56,85,11,621
POA2315,839,1100,926,885,693,576,248,610,112,5982
POA2316,298,448,486,375,319,267,154,260,53,2651
POA2317,303,386,400,338,305,249,126,243,44,2389
POA2318,697,964,1167,847,832,552,471,631,132,6293
POA2319,212,288,464,394,259,240,207,330,63,2468
POA2320,2192,3062,3046,2474,2169,1683,1803,1863,305,18599
POA2321,1051,1614,1663,1245,1280,839,989,945,164,9796
POA2322,1110,1833,1871,1643,1568,1058,1148,1463,201,11893
POA2323,1257,2253,1996,1552,1539,1118,992,1259,191,12153
POA2324,1019,1233,1566,1343,1247,915,1006,1285,200,9817
POA2325,1203,1402,2106,1823,1198,1089,1409,1648,234,12108
POA2326,265,300,615,426,386,294,440,474,47,3260
POA2327,186,302,611,464,337,322,408,478,68,3181
POA2328,174,127,244,121,107,73,223,175,28,1272
POA2329,210,88,89,85,70,48,116,151,22,876
POA2330,1098,1297,1935,1081,1146,868,1796,1087,200,10512
POA2331,31,6,3,420,5,0,10,3,0,478
POA2333,491,660,1213,632,572,507,1165,842,121,6200
POA2334,138,179,344,214,146,152,266,189,30,1658
POA2335,472,575,813,452,453,292,612,419,80,4173
POA2336,159,123,255,119,105,74,216,180,28,1245
POA2337,570,572,747,379,366,258,474,758,68,4182
POA2338,130,78,80,63,50,24,74,89,10,601
POA2339,106,42,50,24,23,13,33,59,11,345
POA2340,2872,4492,3339,3089,2781,2196,1584,3423,377,24153
POA2341,42,47,65,71,51,34,89,67,6,475
POA2342,77,32,22,19,23,5,27,20,9,240
POA2343,404,266,212,220,208,125,256,279,33,2000
POA2344,109,49,49,34,41,36,31,33,6,389
POA2345,63,42,59,36,36,34,38,44,5,360
POA2346,198,142,168,155,106,93,146,187,20,1219
POA2347,210,79,53,79,51,38,46,119,10,676
POA2350,1696,3096,1381,1533,1328,963,447,1284,171,11888
POA2352,149,194,231,187,179,132,114,184,23,1394
POA2353,60,80,91,49,80,48,41,60,3,517
POA2354,553,189,152,132,136,89,89,253,29,1621
POA2355,65,28,32,30,19,16,23,35,7,256
POA2356,10,3,6,3,4,0,5,4,0,41
POA2357,315,246,169,206,127,104,100,207,30,1507
POA2358,273,248,247,176,207,120,94,220,27,1605
POA2359,67,17,29,28,15,11,19,41,5,237
POA2360,821,896,810,856,580,643,322,1004,106,6046
POA2361,115,33,28,38,24,16,18,59,14,342
POA2365,435,188,171,129,153,106,89,289,42,1603
POA2369,35,19,33,49,19,19,22,52,6,249
POA2370,553,396,377,377,341,275,173,425,64,2983
POA2371,104,40,36,44,30,31,27,61,10,388
POA2372,398,262,238,208,209,154,129,223,57,1879
POA2379,77,12,5,10,7,0,11,28,5,158
POA2380,690,749,747,560,500,402,793,593,87,5132
POA2381,144,50,55,45,37,30,88,80,20,546
POA2382,116,55,93,66,44,26,181,96,6,684
POA2386,60,17,8,11,13,0,17,18,3,143
POA2387,41,7,4,0,14,0,14,19,0,107
POA2388,233,136,120,106,102,75,145,140,20,1076
POA2390,642,629,633,423,444,338,592,479,62,4246
POA2395,63,21,17,30,20,10,15,43,6,228
POA2396,72,42,23,45,26,15,16,65,4,299
POA2397,56,12,3,3,18,8,23,10,0,128
POA2398,34,8,6,5,18,0,16,17,0,104
POA2399,58,18,30,26,21,14,35,49,8,257
POA2400,709,699,530,449,513,326,445,470,93,4237
POA2401,58,20,8,5,13,5,19,18,3,157
POA2402,125,88,78,70,69,46,60,80,13,630
POA2403,101,41,19,31,18,15,10,41,6,292
POA2404,155,79,69,78,62,44,33,89,8,611
POA2405,80,19,14,13,13,0,11,28,11,193
POA2406,68,40,22,42,32,14,40,59,9,324
POA2408,70,11,7,6,17,0,11,31,6,145
POA2409,70,26,18,35,22,18,23,52,6,269
POA2410,45,4,4,6,13,6,11,10,5,97
POA2411,29,7,0,0,6,0,0,8,0,55
POA2415,47,16,30,25,14,8,23,26,4,193
POA2420,280,252,296,208,179,115,159,213,31,1732
POA2421,178,176,191,101,139,68,74,95,20,1041
POA2422,402,277,298,244,195,177,188,307,58,2143
POA2423,204,162,185,154,102,100,102,169,35,1214
POA2424,34,22,20,19,13,9,13,34,3,169
POA2425,151,113,150,93,91,48,83,117,23,867
POA2426,54,45,56,47,25,31,30,40,15,330
POA2427,103,175,120,128,117,79,64,118,7,907
POA2428,971,1607,1262,1421,986,987,354,993,182,8763
POA2429,583,530,514,565,361,336,293,556,72,3798
POA2430,1402,2481,1864,2089,1447,1458,749,1602,252,13335
POA2431,270,332,285,321,239,188,87,265,28,2019
POA2439,180,240,265,226,193,140,91,162,18,1515
POA2440,962,1238,1061,1416,831,740,565,1138,173,8134
POA2441,283,272,226,229,174,137,124,241,41,1730
POA2443,323,450,424,407,245,246,167,340,47,2636
POA2444,2474,5175,2827,3433,2728,2188,837,1936,368,21973
POA2445,333,642,444,469,380,268,150,288,47,3032
POA2446,766,921,1029,953,822,637,447,677,113,6368
POA2447,418,464,415,437,306,229,176,387,62,2885
POA2448,355,584,441,555,346,292,162,396,62,3198
POA2449,120,96,88,128,64,65,47,101,16,726
POA2450,2462,4184,2761,2892,2625,2058,931,2348,366,20624
POA2452,654,1233,844,1001,757,724,360,738,115,6426
POA2453,300,172,102,103,106,71,82,148,18,1111
POA2454,424,901,451,470,337,250,145,320,55,3355
POA2455,153,224,178,169,117,103,81,138,22,1188
POA2456,1082,1408,1015,1052,830,586,340,1152,116,7586
POA2460,1297,1749,1490,1919,1355,1091,888,1506,225,11521
POA2462,139,142,142,137,102,92,80,146,22,1006
POA2463,394,502,429,436,327,298,204,422,67,3082
POA2464,378,568,418,385,289,232,96,304,49,2719
POA2465,23,16,33,17,14,12,7,31,6,151
POA2466,42,76,83,67,50,49,20,78,7,479
POA2469,320,155,139,176,116,81,111,270,38,1408
POA2470,701,627,773,852,676,546,511,1262,93,6038
POA2471,178,125,163,164,104,82,104,197,24,1147
POA2472,118,113,130,116,78,53,75,153,23,858
POA2473,154,235,154,191,124,95,74,152,20,1202
POA2474,385,381,334,316,261,176,172,338,59,2429
POA2475,29,20,12,10,8,7,14,21,3,128
POA2476,88,38,23,34,26,17,28,48,13,333
POA2477,843,1247,806,787,690,517,278,667,90,5918
POA2478,1904,3310,2000,1961,1551,1422,542,1375,212,14277
POA2479,634,796,291,262,227,224,62,185,60,2741
POA2480,2551,4381,2665,2852,2453,1936,1054,2582,318,20790
POA2481,1302,1765,903,890,531,555,178,601,173,6898
POA2482,426,776,396,371,218,256,105,273,61,2875
POA2483,722,1241,817,694,487,437,200,525,119,5243
POA2484,1101,1478,1259,1087,874,680,520,1041,156,8203
POA2485,570,1100,996,971,652,600,315,696,125,6026
POA2486,1484,2311,2167,1984,1688,1504,694,1512,248,13596
POA2487,1074,1741,885,855,810,576,229,590,131,6886
POA2488,209,376,287,244,174,139,69,181,23,1690
POA2489,398,743,497,448,388,251,103,297,59,3191
POA2490,43,55,56,43,38,23,21,44,6,335
POA2500,2469,6563,2320,2840,2480,1775,1063,1509,325,21346
POA2502,360,588,682,594,526,399,391,636,123,4304
POA2505,187,410,303,253,251,154,167,288,27,2034
POA2506,195,388,488,393,345,274,290,435,47,2871
POA2508,672,1262,794,578,635,299,213,302,75,4824
POA2515,952,2136,653,599,588,294,141,228,78,5678
POA2516,525,1017,411,390,371,183,123,183,41,3253
POA2517,843,1714,899,794,771,432,305,441,77,6278
POA2518,912,2082,1353,1200,1144,620,552,771,121,8754
POA2519,958,2156,1026,974,978,605,422,569,118,7807
POA2525,751,1646,750,659,745,475,301,395,77,5807
POA2526,876,1873,1159,865,1100,610,511,660,110,7759
POA2527,1199,1974,2163,1869,1708,1178,1198,1226,192,12714
POA2528,748,1221,1498,1351,1091,810,798,1159,169,8845
POA2529,1530,2611,2205,1771,1898,1325,1017,1177,238,13776
POA2530,1508,2527,2709,2256,2191,1399,1384,1611,283,15866
POA2533,1136,2154,1105,896,846,498,325,457,102,7510
POA2534,481,806,424,322,275,151,71,189,48,2752
POA2535,576,853,480,344,338,232,117,245,55,3243
POA2536,934,1113,1152,1034,897,841,388,848,157,7367
POA2537,632,1039,833,694,612,450,275,524,111,5178
POA2538,173,233,161,110,106,90,36,99,14,1017
POA2539,1025,1393,1369,1049,850,833,307,890,127,7857
POA2540,2489,3460,3178,2872,2164,1663,934,1982,310,19055
POA2541,1075,1853,1716,1915,1122,1136,672,1344,183,11021
POA2545,82,65,78,62,49,22,27,57,16,458
POA2546,505,617,616,511,365,352,146,404,88,3601
POA2548,451,716,554,510,415,426,145,331,46,3596
POA2549,218,296,329,223,179,134,115,238,18,1750
POA2550,1096,1362,999,961,769,595,442,1073,141,7445
POA2551,159,150,197,196,130,124,126,248,23,1354
POA2555,26,6,3,0,8,0,4,3,5,57
POA2556,153,126,170,66,170,98,126,83,36,1025
POA2557,1396,2109,1343,963,1521,814,868,699,194,9905
POA2558,448,761,702,598,821,461,639,529,111,5072
POA2559,59,108,79,107,79,85,133,118,38,791
POA2560,3259,5812,4389,3961,4924,2999,3937,3606,740,33618
POA2563,12,15,19,18,18,3,9,19,3,118
POA2564,349,869,548,685,727,435,622,621,117,4965
POA2565,1558,3357,1440,1437,2091,1101,1287,1187,335,13790
POA2566,1071,1886,1430,1435,1767,1051,1383,1255,296,11572
POA2567,2981,3820,3139,2251,3371,2034,1709,1607,350,21265
POA2568,75,96,80,40,83,30,30,36,11,484
POA2569,91,100,130,75,94,54,57,65,22,679
POA2570,4302,6121,4690,3494,4603,2568,2472,2295,542,31088
POA2571,1015,1103,1198,667,974,521,547,573,133,6719
POA2572,326,371,488,291,325,204,236,257,28,2534
POA2573,271,350,496,304,353,233,268,332,36,2645
POA2574,350,332,537,270,361,228,301,332,84,2792
POA2575,1172,1597,1548,1039,942,791,583,924,140,8738
POA2576,1114,1708,649,549,659,499,169,367,98,5807
POA2577,1403,1639,1282,785,858,603,467,880,154,8078
POA2578,179,262,204,151,127,76,52,97,23,1167
POA2579,333,381,356,231,235,160,189,183,32,2095
POA2580,1923,2211,2063,2143,1664,1258,1160,1719,291,14434
POA2581,340,241,172,130,169,63,55,100,31,1295
POA2582,1339,1471,1015,798,952,435,314,567,139,7027
POA2583,571,265,277,217,202,113,129,250,44,2059
POA2584,68,32,38,24,34,13,17,20,4,249
POA2585,29,12,8,15,8,4,8,18,3,98
POA2586,309,140,169,116,115,66,61,169,14,1169
POA2587,254,165,167,134,127,73,105,188,23,1240
POA2588,40,21,11,12,14,6,8,14,6,139
POA2590,362,400,377,384,274,229,215,351,55,2646
POA2594,828,685,763,629,547,549,295,711,104,5114
POA2619,1317,1435,566,533,943,397,146,234,103,5675
POA2620,3982,5268,3475,2555,4062,1624,1241,1823,569,24598
POA2621,772,887,531,325,569,199,142,192,93,3713
POA2622,438,380,249,162,231,110,146,201,42,1961
POA2623,45,47,50,24,34,23,32,29,10,289
POA2624,266,220,107,161,75,35,88,100,11,1062
POA2625,205,150,69,114,54,38,25,56,18,728
POA2626,50,39,45,25,49,13,17,30,6,266
POA2627,709,817,595,965,408,409,324,526,81,4841
POA2628,235,180,174,141,114,93,64,133,19,1164
POA2629,80,63,89,26,23,5,32,57,10,377
POA2630,679,738,568,485,515,389,299,432,84,4198
POA2631,70,29,35,23,30,21,17,39,5,259
POA2632,175,96,103,89,71,64,136,157,19,908
POA2633,34,12,12,11,13,7,16,25,0,133
POA2640,2524,4488,2706,2557,2419,1738,1119,1618,289,19454
POA2641,613,870,1159,1114,804,757,656,985,152,7106
POA2642,547,395,433,268,295,181,158,288,53,2603
POA2643,158,136,207,148,132,105,149,188,37,1268
POA2644,291,131,119,97,113,61,83,142,21,1058
POA2645,41,14,13,11,9,14,14,9,8,133
POA2646,506,348,383,328,279,238,233,581,43,2932
POA2647,149,121,195,127,120,86,62,120,25,1007
POA2648,269,126,160,98,91,59,120,196,22,1148
POA2649,0,0,4,3,4,0,0,0,0,12
POA2650,3727,6574,4372,4124,3489,2794,1568,3074,517,30242
POA2651,130,205,445,485,132,131,95,134,52,1808
POA2652,677,255,289,215,215,141,214,286,30,2312
POA2653,208,123,132,159,87,54,138,189,21,1107
POA2655,92,88,114,71,61,35,48,55,12,569
POA2656,188,61,60,71,53,40,46,59,3,588
POA2658,133,75,68,57,46,38,57,71,11,560
POA2659,100,41,57,40,36,18,41,41,11,385
POA2660,121,88,91,70,78,43,56,78,10,639
POA2661,50,127,16,459,14,5,11,5,11,696
POA2663,237,225,248,300,192,124,208,388,24,1944
POA2665,323,104,70,69,56,39,67,98,15,859
POA2666,511,375,352,307,270,193,180,313,46,2542
POA2668,63,18,8,9,9,4,5,22,3,133
POA2669,303,60,57,42,52,27,58,83,12,693
POA2671,320,246,365,204,205,141,302,235,38,2056
POA2672,149,77,79,84,63,33,47,72,10,607
POA2675,216,73,119,76,71,22,127,225,13,942
POA2678,12,19,27,101,15,60,6,51,0,292
POA2680,1953,1762,1735,1191,1438,1120,893,2501,314,12910
POA2681,192,110,142,73,114,92,80,139,32,980
POA2700,308,242,277,258,186,137,149,339,42,1940
POA2701,231,177,170,160,132,81,88,110,21,1154
POA2702,68,37,42,60,34,13,26,35,8,325
POA2703,27,38,29,24,26,18,36,77,3,276
POA2705,717,624,692,531,533,331,410,856,107,4800
POA2706,91,32,61,51,50,17,75,94,12,477
POA2707,220,73,52,51,72,10,49,68,10,611
POA2710,799,592,545,539,476,337,299,519,112,4219
POA2711,358,147,203,130,143,113,119,271,26,1505
POA2712,135,53,59,52,49,29,55,77,14,531
POA2713,276,131,142,145,114,80,99,163,21,1170
POA2714,191,139,152,117,106,79,81,133,30,1016
POA2715,137,74,70,78,58,35,77,101,13,638
POA2716,110,43,58,35,49,29,44,47,11,426
POA2717,60,39,62,46,41,32,47,41,21,387
POA2720,498,559,591,455,377,297,373,606,73,3829
