POA_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
POA2045,1055,837,511,654,1038,926,697,438,278,6427
POA2046,4699,2456,3136,4116,4059,3378,2719,1673,864,27094
POA2047,1851,1066,1682,1762,1691,1480,1163,748,398,11833
POA2048,982,880,1603,1209,1148,739,468,312,127,7476
POA2049,1555,1384,2882,2062,1628,1174,812,433,192,12118
POA2050,756,1699,2628,1723,1170,835,553,287,157,9810
POA2060,1530,1270,3554,2668,1754,1573,1308,864,263,14797
POA2061,384,376,1345,933,706,831,719,499,145,5941
POA2062,1281,507,1012,1217,1054,739,633,352,80,6884
POA2063,1304,797,364,750,1021,829,653,409,273,6399
POA2064,1838,864,1447,1896,1218,846,678,336,151,9275
POA2065,4617,2642,6925,6322,4101,3175,2666,1463,602,32516
POA2066,6379,3308,4997,5922,4486,3356,2585,1531,692,33263
POA2067,4577,2969,4356,4877,3535,2611,2246,1225,668,27062
POA2068,3596,2023,1277,2440,2826,2120,1513,880,449,17114
POA2069,2892,1907,1189,1924,2197,1741,1380,831,379,14436
POA2070,2949,1813,1199,2052,2153,1694,1331,854,408,14465
POA2071,2444,1916,1123,1672,2069,1693,1244,814,428,13410
POA2072,1496,1202,1062,1290,1314,1028,753,420,181,8749
POA2073,3476,2311,1303,2331,2638,2211,1561,837,352,17027
POA2074,4287,2878,1530,2912,3428,2825,2212,1912,1168,23152
POA2075,4543,2417,1280,2974,3212,2589,2137,1669,732,21543
POA2076,4810,3207,1728,3298,3827,3041,2372,1899,1238,25412
POA2077,8242,4328,6074,8116,5570,4338,3474,1822,806,42761
POA2079,1550,937,831,1151,1188,1075,618,330,95,7771
POA2080,371,203,133,236,282,240,161,93,23,1737
POA2081,1120,722,395,686,876,758,446,284,53,5338
POA2082,1148,659,330,759,923,637,572,290,71,5399
POA2083,210,149,139,180,254,339,236,128,18,1656
POA2084,667,468,246,379,606,530,417,298,141,3742
POA2085,2133,1429,579,1258,1869,1260,1204,1133,486,11359
POA2086,3124,1864,1066,1914,2395,1606,1165,932,314,14380
POA2087,2785,1746,704,1581,2209,1576,1027,979,457,13062
POA2088,4496,2896,2922,3602,4109,3568,2961,2147,912,27598
POA2089,1450,941,2419,1999,1373,1176,967,594,236,11152
POA2090,1947,1089,2200,2180,1815,1547,1445,814,260,13297
POA2092,1688,940,427,893,1303,892,576,380,155,7258
POA2093,4952,2565,2301,3313,3855,2714,1836,1109,526,23170
POA2094,1023,544,926,962,828,763,501,307,98,5963
POA2095,2143,1316,3508,2782,1988,1798,1257,835,362,15994
POA2096,2581,1485,2684,2342,2199,1587,1023,546,190,14641
POA2097,2967,2067,1599,2054,2507,1944,1370,889,386,15783
POA2099,7431,4785,6446,6627,6076,4766,3223,2166,918,42440
POA2100,4368,2678,2153,3007,3476,2564,1755,1133,585,21715
POA2101,3467,2060,2085,2554,2728,2430,1953,1450,964,19691
POA2102,1815,947,647,1187,1295,886,670,529,300,8280
POA2103,1781,1208,950,1177,1509,1448,1354,924,437,10788
POA2104,450,354,179,240,455,540,610,622,298,3746
POA2105,271,226,97,168,339,388,298,148,33,1972
POA2106,1558,1183,952,988,1445,1572,1120,587,162,9561
POA2107,2837,1784,927,1607,2254,2359,1972,1072,401,15208
POA2108,221,161,126,147,224,360,353,242,40,1866
POA2110,1681,1235,608,1027,1451,1210,1064,725,592,9592
POA2111,2584,1586,2236,2295,2192,1778,1372,847,420,15306
POA2112,6534,3922,6744,6417,4490,4148,2992,1655,892,37799
POA2113,4112,3846,6285,4642,2933,2575,1797,1058,640,27891
POA2114,4004,2586,4844,4360,2960,2799,2132,1065,450,25201
POA2115,2472,1377,1913,2034,1575,1457,1037,487,226,12575
POA2116,1387,870,1039,1062,1007,920,542,297,111,7241
POA2117,4137,2623,2664,3250,3077,2902,1905,1000,454,22006
POA2118,5817,3009,3167,4746,3376,3169,2442,1440,556,27730
POA2119,2344,1583,861,1564,1833,1592,1302,874,337,12294
POA2120,4020,2640,1740,2882,3271,2622,1970,1234,426,20804
POA2121,6478,4009,5205,5639,4158,3725,2817,1369,637,34031
POA2122,4884,3418,4925,4813,3664,3695,3036,1651,860,30947
POA2125,3009,2088,1348,2110,2183,2425,2135,880,286,16471
POA2126,3506,2601,1360,2550,2808,2618,2049,1009,504,18999
POA2127,3658,2021,7207,4899,2309,1633,1062,322,61,23164
POA2128,473,403,937,885,480,267,146,53,16,3666
POA2130,983,699,1610,1240,982,752,505,234,131,7125
POA2131,2691,2693,5216,3531,2565,2358,1820,1236,815,22925
POA2132,1688,1242,1403,1394,1461,1337,1000,702,448,10670
POA2133,1899,1283,1289,1438,1624,1380,1082,582,243,10816
POA2134,1719,3348,5123,2330,1747,1667,1172,661,415,18183
POA2135,2942,5103,5854,2899,2560,2705,1907,1255,702,25927
POA2136,1295,930,1125,1113,1032,980,658,446,196,7777
POA2137,4456,2980,3675,3843,3829,3468,2779,1688,716,27442
POA2138,2911,2153,5360,3582,2026,1783,1412,730,307,20264
POA2140,3101,2698,6850,3705,1596,1369,783,339,122,20575
POA2141,4591,4153,7621,4660,3671,3746,2340,1064,443,32296
POA2142,5115,4083,6537,4296,2805,2394,1671,757,249,27914
POA2143,1868,1331,1610,1267,1122,1213,795,339,145,9694
POA2144,6876,6464,8991,5322,3985,3650,2282,1205,531,39302
POA2145,18783,9572,14845,16143,9673,7910,6293,3858,1594,88674
POA2146,3926,2227,3073,3320,2341,1903,1439,851,256,19345
POA2147,7098,4498,5105,5592,4706,4240,3528,1755,641,37155
POA2148,13039,8638,11746,10579,7528,6765,5116,2849,1290,67544
POA2150,5608,3988,11058,7350,2581,2115,1442,663,276,35084
POA2151,3820,2233,2918,3668,2811,2360,1791,1081,438,21118
POA2152,2154,1123,1460,1830,1505,1099,932,749,339,11189
POA2153,12898,7115,6238,10380,8472,6794,5914,3601,1330,62744
POA2154,7655,5065,3417,5819,5807,4886,4166,2517,1358,40696
POA2155,17843,10477,8510,13742,11235,6754,4308,2062,559,75479
POA2156,2289,1936,900,1308,1957,1772,1532,1127,438,13267
POA2157,810,555,340,481,612,534,425,222,62,4044
POA2158,1573,1195,737,889,1369,1223,932,703,324,8941
POA2159,882,647,436,514,737,732,578,414,183,5130
POA2160,8066,5214,7106,5772,4397,3986,2634,1448,627,39244
POA2161,7950,4912,5892,4507,3608,3365,2243,1215,549,34237
POA2162,4476,3005,2687,2503,2421,2362,1554,756,470,20233
POA2163,2044,1491,1550,1367,1314,1210,914,375,227,10495
POA2164,4212,2714,2795,2553,2624,2581,2103,1174,484,21235
POA2165,8394,6166,5708,5712,5926,5764,4081,2224,797,44767
POA2166,8921,7870,7230,6489,7582,7468,4733,2227,1202,53721
POA2167,2200,1202,1521,1759,1258,1054,708,416,319,10437
POA2168,9821,6874,5703,5598,5583,5909,3379,1595,469,44930
POA2170,24116,15149,17020,16394,14188,12391,8560,4862,1953,114636
POA2171,9271,5987,4716,5941,5517,4024,2209,821,263,38759
POA2172,572,400,318,383,477,403,210,84,17,2862
POA2173,3258,2233,2237,2286,2061,1554,716,315,89,14755
POA2174,3271,1575,2199,2435,1345,729,379,108,38,12079
POA2175,310,245,178,183,256,262,191,149,48,1808
POA2176,8527,6852,6002,5642,6256,7077,5766,2704,1068,49892
POA2177,3141,2493,2296,2031,2204,2392,1692,630,264,17144
POA2178,680,634,419,432,626,552,477,230,105,4142
POA2179,4141,1623,3330,2773,1452,1145,951,565,229,16211
POA2190,6501,4103,3387,3467,3210,2957,2110,1187,502,27422
POA2191,1232,800,746,842,926,811,586,395,151,6494
POA2192,2207,1678,2199,1889,1805,1610,1166,769,333,13645
POA2193,2665,1985,3289,2738,2263,2043,1410,870,330,17595
POA2194,3368,3218,5467,4107,3368,3014,1902,1000,528,25979
POA2195,6548,2990,5417,4373,2604,2227,1490,846,390,26887
POA2196,7043,4776,4947,4401,4122,3693,2525,1507,611,33620
POA2197,2432,1379,1303,1251,1162,1102,795,472,221,10117
POA2198,2297,1260,1118,1252,1179,886,803,671,329,9796
POA2199,4312,2724,2804,2454,2253,2214,1615,781,388,19554
POA2200,10109,6408,8047,6640,5446,5106,3471,1897,908,48036
POA2203,1965,1366,2680,2393,2036,1566,950,608,230,13787
POA2204,3479,2536,5698,4359,3572,2700,1918,1269,555,26080
POA2205,3182,3298,8488,4251,2211,1738,1173,665,270,25276
POA2206,3283,2259,1944,2436,3094,2473,1875,1522,740,19615
POA2207,5030,3307,3450,3894,3667,3353,2715,1786,1031,28218
POA2208,2290,1498,1410,1738,1800,1541,1281,836,387,12778
POA2209,2618,1805,2186,2223,1987,2031,1601,882,424,15753
POA2210,5579,3960,4109,4198,4221,4246,3306,2261,1108,32986
POA2211,2977,2154,2206,2301,2272,2389,1593,1004,585,17481
POA2212,3249,2126,2325,2374,2152,2061,1480,796,524,17086
POA2213,4551,2862,2686,3249,3185,2908,2036,1086,474,23046
POA2214,849,510,455,509,547,412,438,270,49,4045
POA2216,4013,3238,5444,4471,3344,2928,2370,1495,636,27939
POA2217,4418,3173,5195,4415,3596,3127,2351,1786,1032,29101
POA2218,2412,1968,2878,2400,1967,1972,1467,752,284,16094
POA2219,2233,1356,1500,1740,2008,1836,1507,1074,442,13681
POA2220,4539,5153,7630,4429,3487,3718,2682,1425,672,33737
POA2221,2963,2232,1718,2049,2417,2289,1676,1043,578,16964
POA2222,1912,1575,2101,1749,1574,1593,1161,590,285,12535
POA2223,3761,2463,2504,3078,2849,2697,2105,1104,563,21126
POA2224,2506,1645,1289,1716,2072,1781,1525,1322,639,14487
POA2225,1231,710,378,757,930,614,519,254,80,5472
POA2226,2706,1432,1319,1880,1946,1523,1196,627,293,12927
POA2227,2987,1823,1570,2068,2263,1842,1326,887,367,15132
POA2228,3687,2250,2736,2959,2707,2261,1854,1477,917,20844
POA2229,5847,3499,3592,4011,4195,3712,3072,1952,1107,30991
POA2230,4403,3342,4476,3692,4065,4349,3490,1685,788,30284
POA2231,594,308,234,361,367,289,207,120,33,2521
POA2232,6329,3928,4784,5084,4734,3835,3000,2227,1001,34921
POA2233,6188,3637,2713,4146,4174,3281,2893,1885,710,29630
POA2234,5705,4103,3063,3619,4149,4628,3389,1296,475,30424
POA2250,12577,8214,8782,9051,9074,8912,7274,4737,2468,71089
POA2251,6162,3648,2701,3832,4503,4611,4307,2771,1132,33674
