POA_CODE_2021,Separate_house_NB0_i_sa_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Sd_r_or_t_h_t_1_s_NB0_i_sa_b,Sd_r_or_t_h_t_1_st_NofB_1,Sd_r_or_t_h_t_1_st_NofB_2,Sd_r_or_t_h_t_1_st_NofB_3,Sd_r_or_t_h_t_1_st_NofB_4,Sd_r_or_t_h_t_1_st_NofB_5,Sd_r_or_t_h_t_1_st_NofB_6_m,Sd_r_or_t_h_t_1_st_NofB_NS,Sd_r_or_t_h_t_1_st_Total,Sd_r_or_t_h_t_2m_s_NB0_i_sa_b,Sd_r_or_t_h_t_2m_sts_NofB_1,Sd_r_or_t_h_t_2m_sts_NofB_2m,Sd_r_or_t_h_t_2m_sts_NofB_3,Sd_r_or_t_h_t_2m_sts_NofB_4,Sd_r_or_t_h_t_2m_sts_NofB_5,Sd_r_or_t_h_t_2m_st_NofB_6_m,Sd_r_or_t_h_t_2m_sts_NofB_NS,Sd_r_or_t_h_t_2m_sts_Total,Sd_r_or_t_h_t_T_NB0_i_sa_b,Sd_r_or_t_h_t_Total_NofB_1,Sd_r_or_t_h_t_Total_NofB_2,Sd_r_or_t_h_t_Total_NofB_3,Sd_r_or_t_h_t_Total_NofB_4,Sd_r_or_t_h_t_Total_NofB_5,Sd_r_or_t_h_t_Tot_NofB_6_m,Sd_r_or_t_h_t_Tot_NofB_NS,Sd_r_or_t_h_t_Total_Total,Fl_a_1_or2_st_bl_NB0_i_sa_b,Fl_a_1_or2_st_bl_NofB_1,Fl_a_1_or2_st_bl_NofB_2,Fl_a_1_or2_st_bl_NofB_3,Fl_a_1_or2_st_bl_NofB_4,Fl_a_1_or2_st_bl_NofB_5,Fl_a_1_or2_st_bl_NofB_6_m,Fl_a_1_or2_st_bl_NofB_NS,Fl_a_1_or2_st_bl_Total,Fl_a_3_st_bl_NB0_i_sa_b,Fl_a_In_3_st_bl_NofB_1,Fl_a_In_3_st_bl_NofB_2,Fl_a_In_3_st_bl_NofB_3,Fl_a_In_3_st_bl_NofB_4,Fl_a_In_3_st_bl_NofB_5,Fl_a_In_3_s_bl_NofB_6_m,Fl_a_In_3_st_bl_NofB_NS,Fl_a_In_3_st_bl_Total,Fl_a_4_to_8_s_b_NB0_i_sa_b,Fl_a_4_to_8_s_b_NofB_1,Fl_a_4_to_8_s_b_NofB_2,Fl_a_4_to_8_s_b_NofB_3,Fl_a_4_to_8_s_b_NofB_4,Fl_a_4_to_8_s_b_NofB_5,Fl_a_4_to_8_s_b_NofB_6_m,Fl_a_4_to_8_s_b_NofB_NS,Fl_a_4_to_8_s_b_Total,Fl_a_9_or_m_s_b_NB0_i_sa_b,Fl_a_9_or_m_s_b_NofB_1,Fl_a_9_or_m_s_b_NofB_2,Fl_a_9_or_m_s_b_NofB_3,Fl_a_9_or_m_s_b_NofB_4,Fl_a_9_or_m_s_b_NofB_5,Fl_a_9_or_m_s_b_NofB_6_m,Fl_a_9_or_m_s_b_NofB_NS,Fl_a_9_or_m_s_b_Total,Fl_a_At_to_a_h_NB0_i_sa_b,Fl_a_At_to_a_hse_NofB_1,Fl_a_At_to_a_hse_NofB_2,Fl_a_At_to_a_hse_NofB_3,Fl_a_At_to_a_hse_NofB_4,Fl_a_At_to_a_hse_NofB_5,Fl_a_At_to_a_hse_NofB_6_m,Fl_a_At_to_a_hse_NofB_NS,Fl_a_At_to_a_hse_Total,Fl_a_Total_NB0_i_sa_b,Fl_a_Total_NofB_1,Fl_a_Total_NofB_2,Fl_a_Total_NofB_3,Fl_a_Total_NofB_4,Fl_a_Total_NofB_5,Fl_a_Tot_NofB_6_or_m,Fl_a_Total_NofB_NS,Fl_a_Total_Total,Other_dwelling_NB0_i_sa_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dw_struct_NS_NB0_i_sa_b,Dw_struct_NS_NofB_1,Dw_struct_NS_NofB_2,Dw_struct_NS_NofB_3,Dw_struct_NS_NofB_4,Dw_struct_NS_NofB_5,Dw_struct_NS_NofB_6_or_m,Dw_struct_NS_NofB_NS,Dw_struct_NS_Total,Total_NB0_i_sa_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
POA4225,6,6,85,257,166,46,18,27,610,0,6,16,7,5,0,0,7,37,3,39,52,95,26,0,0,16,229,3,41,66,101,31,3,0,22,265,11,128,504,73,18,5,0,63,799,0,129,805,138,10,6,3,65,1154,0,85,344,160,16,0,0,43,650,9,45,360,135,10,4,0,39,598,0,0,0,0,0,0,0,0,0,14,389,2018,502,48,8,9,210,3207,26,65,32,13,0,0,0,33,171,3,8,14,0,6,0,0,4,32,52,516,2215,877,250,60,25,295,4281
POA4226,7,25,83,2879,3453,784,137,202,7568,0,11,65,577,38,0,0,27,721,5,24,497,2731,445,25,11,184,3918,5,32,560,3313,483,25,11,214,4640,5,104,28,4,0,0,0,49,186,0,42,355,150,6,0,0,20,575,0,8,197,51,0,0,0,14,272,60,255,322,92,3,0,0,86,824,0,0,4,0,0,0,0,0,10,62,411,905,303,10,0,4,173,1863,0,0,0,0,0,0,0,0,0,0,9,3,5,5,0,0,4,20,71,477,1545,6494,3947,810,148,586,14087
POA4227,4,17,62,1439,2175,472,88,149,4407,0,24,204,451,23,0,0,38,740,0,47,323,1472,174,4,0,97,2125,0,72,529,1924,194,4,0,136,2866,0,0,19,10,0,0,0,5,35,8,171,256,71,0,0,0,28,538,3,65,256,70,18,0,0,20,437,26,82,386,50,5,0,0,41,593,0,0,0,0,0,0,0,0,5,35,327,912,209,21,0,0,101,1607,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,15,47,421,1500,3573,2391,480,91,394,8892
POA4228,6,18,100,389,600,264,144,77,1598,0,7,15,0,0,0,0,4,27,0,0,3,9,5,8,0,0,22,0,7,14,4,7,7,4,5,54,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,3,0,0,6,19,0,5,11,3,3,0,0,6,21,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,6,32,126,401,615,271,148,85,1681
POA4270,7,16,79,414,539,178,96,77,1401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,3,0,5,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,11,7,16,78,413,544,180,96,77,1410
POA4272,8,69,332,1404,758,208,56,136,2971,0,8,87,21,3,0,0,6,123,0,0,4,8,0,3,0,7,26,0,6,95,31,3,4,0,11,150,0,0,6,0,0,0,0,0,6,0,0,10,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,14,0,0,0,0,0,18,0,5,11,9,8,0,0,3,30,0,5,0,6,0,3,0,0,15,9,81,445,1446,772,221,59,149,3181
POA4275,9,31,99,437,463,97,51,86,1272,0,0,3,0,0,0,0,0,4,0,0,3,6,0,0,0,0,10,0,0,3,7,0,0,0,0,15,0,0,13,0,0,0,0,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,5,14,16,13,0,0,0,0,0,3,32,0,4,0,0,0,0,0,3,12,28,50,110,446,463,97,57,95,1341
POA4280,11,31,156,1388,3385,774,329,410,6483,0,0,23,9,0,0,0,0,32,0,0,15,10,0,0,0,0,27,0,0,35,19,0,0,0,3,57,0,0,0,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,20,7,4,0,0,3,42,0,11,20,20,7,0,0,6,50,0,0,0,0,0,5,0,0,6,0,3,0,0,5,0,0,0,10,11,41,207,1425,3394,774,335,419,6614
POA4285,9,73,442,2329,2972,655,212,384,7082,20,85,223,135,14,0,0,50,525,9,20,79,97,4,0,0,32,236,24,104,299,229,16,0,0,84,758,0,0,9,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,5,13,0,0,11,8,0,0,0,5,22,12,39,6,6,9,0,0,15,86,0,0,5,0,3,5,3,0,15,52,230,767,2571,2992,658,215,487,7970
POA4287,0,15,40,115,71,16,4,15,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,5,0,0,0,8,28,5,0,0,0,0,0,0,0,4,12,29,42,122,79,16,4,22,316
POA4300,12,118,558,6141,11370,1380,232,891,20699,4,113,340,305,98,0,0,94,959,0,14,149,576,171,9,0,106,1021,3,128,490,886,267,9,0,199,1983,0,16,11,9,3,0,0,8,53,0,10,10,13,0,0,0,3,33,0,15,60,0,0,0,0,5,85,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,3,19,0,46,90,23,3,0,0,20,188,4,46,20,3,0,0,0,35,105,0,0,0,4,4,0,0,0,21,24,345,1156,7055,11650,1391,233,1136,22992
POA4301,13,212,150,3190,5616,375,73,579,10208,0,131,314,262,84,3,3,89,882,0,15,131,482,39,0,0,98,767,0,145,443,742,126,3,3,190,1648,0,84,21,20,10,0,0,18,151,0,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,9,24,0,86,27,32,11,0,0,29,181,0,0,0,0,0,0,0,4,3,0,0,3,0,0,0,0,0,6,13,443,626,3952,5757,375,78,803,12048
POA4303,0,21,128,847,195,32,10,159,1385,0,13,11,0,0,0,0,4,33,0,0,10,107,0,0,0,12,133,0,13,25,106,0,0,0,19,161,0,0,14,23,0,0,0,5,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,23,0,0,0,5,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,25,166,976,201,32,10,180,1583
POA4304,6,92,732,3218,1424,241,59,297,6072,0,9,126,71,8,0,0,25,234,0,82,178,312,0,0,0,71,658,0,93,302,376,10,0,0,98,889,0,100,109,16,0,0,0,41,267,0,33,22,4,0,0,0,12,69,0,9,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,6,148,133,20,0,0,0,49,351,0,0,0,4,3,0,0,0,6,0,0,0,0,0,0,0,0,5,17,336,1168,3615,1434,240,60,454,7328
POA4305,29,316,1630,10097,7308,973,202,942,21493,35,416,723,644,60,3,6,233,2120,7,93,248,291,26,3,0,58,718,38,508,973,933,86,4,6,296,2839,6,166,239,77,7,0,3,83,577,0,0,27,0,0,0,0,6,34,0,0,0,0,0,0,0,0,0,4,19,18,9,0,0,0,3,51,0,9,0,5,0,0,5,3,24,5,196,286,83,8,0,0,93,679,6,16,13,12,6,0,0,68,121,8,9,8,9,8,0,0,10,45,85,1047,2905,11130,7416,978,210,1408,25186
POA4306,29,158,510,3644,7644,1366,348,504,14193,0,24,24,122,27,0,0,14,206,0,0,23,34,15,0,0,7,88,0,20,51,156,41,0,4,19,293,0,5,6,33,10,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,0,4,0,0,4,21,0,12,13,36,14,0,0,3,76,16,36,34,18,7,4,0,36,151,5,20,3,4,3,7,0,0,48,46,240,611,3857,7712,1379,348,569,14761
POA4307,5,12,57,232,160,52,8,40,573,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,57,234,163,54,8,40,573
POA4309,12,39,132,522,391,76,15,92,1272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,21,3,5,6,0,0,20,53,3,0,0,4,0,0,0,0,3,21,59,134,526,387,73,15,112,1330
POA4310,12,46,301,1021,632,118,30,127,2293,0,7,60,13,0,0,0,9,90,0,0,9,0,0,0,0,0,6,0,7,69,13,0,0,0,10,97,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,16,29,4,4,5,0,6,6,61,0,0,0,3,0,0,0,0,5,29,76,374,1040,642,120,36,146,2461
POA4311,12,58,364,1373,1369,215,71,239,3703,0,11,16,21,38,0,0,7,92,0,0,0,7,0,0,0,0,4,0,11,16,23,39,0,0,7,91,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,10,21,0,3,0,0,0,3,38,0,3,4,0,0,0,0,0,9,29,97,387,1403,1411,215,71,246,3847
POA4312,10,37,192,506,232,38,23,66,1112,0,4,0,11,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,4,0,11,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,28,15,5,0,0,0,4,56,0,0,0,0,0,0,0,0,4,20,70,211,522,232,38,23,70,1185
POA4313,9,17,168,418,240,36,19,48,948,0,0,19,3,0,0,0,3,24,0,0,0,0,0,0,0,0,0,0,0,19,3,0,0,0,3,24,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,8,9,5,0,0,0,0,4,23,0,0,0,0,0,0,0,0,0,10,34,193,417,240,36,19,60,1002
POA4314,27,83,287,628,256,33,20,141,1476,0,0,6,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,4,3,3,0,0,9,33,0,0,0,0,0,0,0,0,6,30,94,291,639,265,31,16,152,1525
POA4340,17,67,190,910,648,100,32,202,2162,0,26,27,24,0,0,0,18,106,0,0,0,0,0,0,0,0,9,0,26,26,27,0,0,0,18,109,0,0,4,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,8,0,0,0,0,0,0,0,0,5,5,3,0,0,0,0,0,5,12,20,98,220,941,653,105,32,231,2301
POA4341,11,66,415,1976,2360,403,133,325,5685,0,13,66,26,5,0,0,33,140,0,0,0,7,9,0,0,3,20,0,13,65,38,5,0,0,38,162,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,5,11,3,3,6,3,0,0,0,0,20,3,0,4,4,0,0,0,45,55,15,85,494,2016,2366,402,133,415,5936
POA4342,4,11,108,417,279,78,18,66,988,0,0,0,3,0,0,0,0,4,0,0,4,3,0,0,0,0,8,0,0,4,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,111,425,285,82,18,71,1005
POA4343,13,48,225,1557,1378,228,80,197,3713,0,12,140,104,20,5,0,26,305,0,0,22,38,13,0,0,10,86,0,10,156,145,33,11,0,38,387,0,15,73,25,7,0,0,18,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,19,75,25,7,0,0,14,137,9,16,0,17,20,6,5,20,89,3,5,0,3,6,3,0,0,18,18,95,463,1736,1434,241,84,269,4342
POA4344,5,13,86,337,346,56,19,93,967,0,0,13,9,0,0,0,6,29,0,0,0,0,0,0,0,0,0,0,0,13,9,0,0,0,6,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,9,17,105,340,347,59,18,101,1001
POA4346,0,0,44,172,124,18,5,27,387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,5,0,13,44,172,124,18,5,27,398
POA4347,0,8,47,213,161,34,12,12,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,51,216,161,34,9,14,494
POA4350,36,246,2639,16092,12422,2182,413,1247,35268,23,633,3323,2001,92,18,8,420,6521,13,200,863,554,47,8,7,129,1808,35,838,4183,2554,138,17,10,553,8334,10,188,1497,459,36,4,0,119,2308,12,9,41,0,0,0,0,5,66,0,0,36,8,0,0,0,0,50,0,0,14,13,12,0,0,58,102,0,5,7,0,4,0,0,5,15,16,207,1589,479,47,3,4,188,2538,43,95,21,13,8,4,0,143,328,10,12,12,18,12,8,0,23,93,137,1393,8447,19159,12630,2217,426,2145,46561
POA4352,40,118,404,2704,5390,1135,261,380,10434,0,8,83,75,11,0,0,4,181,0,0,9,20,20,0,0,5,54,0,7,90,98,23,0,0,10,231,0,0,3,7,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,5,0,0,0,11,0,4,7,7,5,0,0,3,28,3,10,0,3,3,0,0,5,30,3,0,0,4,9,0,0,4,19,47,132,507,2822,5433,1135,261,402,10744
POA4353,0,4,10,52,34,4,6,18,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,52,34,4,6,18,134
POA4354,0,13,58,225,116,24,8,25,470,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,14,61,227,116,24,8,28,485
POA4355,4,26,149,559,234,39,9,102,1125,0,5,19,3,0,0,0,3,39,0,0,0,0,0,0,0,0,0,0,5,19,3,0,0,0,3,39,0,7,0,0,0,0,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,6,9,9,18,0,6,0,0,0,0,32,3,5,0,0,0,0,0,0,8,19,63,173,567,232,39,9,115,1212
POA4356,0,19,132,754,619,97,32,163,1818,0,4,57,3,0,0,0,11,76,0,0,8,0,0,0,0,0,8,0,4,60,8,0,0,0,11,84,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,15,7,0,0,0,0,5,34,0,0,0,0,0,0,0,0,0,6,36,204,762,625,99,32,175,1936
POA4357,9,54,160,376,222,33,10,83,946,0,5,11,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,5,11,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,30,5,0,6,0,6,41,95,0,0,0,0,0,3,0,0,4,20,93,180,381,220,37,15,124,1079
POA4358,4,47,54,422,365,56,27,65,1031,0,12,6,35,4,0,0,15,79,0,0,0,0,0,0,0,0,0,0,12,6,35,4,0,0,15,79,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,61,66,455,370,56,27,80,1115
POA4359,8,12,37,240,127,37,9,39,507,0,3,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,8,11,41,239,126,34,9,44,519
POA4360,4,6,30,88,60,16,0,32,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,27,88,60,16,0,29,236
POA4361,8,32,124,488,279,42,12,67,1044,0,7,18,5,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,7,18,5,0,0,0,0,32,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,4,4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,6,6,41,147,494,285,42,12,75,1100
POA4362,15,33,164,432,247,66,16,70,1031,0,8,9,0,0,0,0,3,17,0,0,0,0,0,0,0,0,5,0,8,8,0,0,0,0,3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0,6,8,16,43,180,434,247,64,13,75,1068
POA4363,0,10,23,87,60,12,4,26,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,23,87,60,13,4,26,224
POA4364,0,0,12,22,22,3,0,13,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,22,22,3,0,13,73
POA4365,3,21,52,96,31,6,3,41,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,25,52,96,31,6,3,41,258
POA4370,31,111,747,2908,2264,390,84,430,6963,0,56,384,127,10,0,0,65,651,0,0,21,12,0,5,0,0,49,0,55,410,144,13,6,0,73,694,0,12,75,13,0,0,0,26,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,75,13,0,0,0,26,132,14,24,7,5,0,3,0,20,73,0,6,9,13,4,6,0,9,39,48,210,1242,3081,2285,399,87,555,7906
POA4371,0,6,42,130,81,14,5,14,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,46,128,83,14,5,14,294
POA4372,0,5,11,33,14,0,0,3,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,33,14,0,0,3,61
