POA_CODE_2021,P_Oth_svc_15_19_yr,P_Oth_svc_20_24_yr,P_Oth_svc_25_34_yr,P_Oth_svc_35_44_yr,P_Oth_svc_45_54_yr,P_Oth_svc_55_64_yr,P_Oth_svc_65_74_yr,P_Oth_svc_75_84_yr,P_Oth_svc_85_yr_over,P_Oth_svc_Tot,P_Inad_desc_Ns_15_19,P_Inad_desc_Ns_20_24,P_Inad_desc_Ns_25_34,P_Inad_desc_Ns_35_44,P_Inad_desc_Ns_45_54,P_Inad_desc_Ns_55_64,P_Inad_desc_Ns_65_74,P_Inad_desc_Ns_75_84,P_Inad_desc_Ns_85_yr_over,P_Inad_desc_Ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
POA2071,4,12,22,27,43,21,10,4,3,144,7,27,38,60,81,30,14,0,0,255,248,601,912,1319,1557,1077,366,66,10,6147
POA2072,0,13,21,14,21,15,14,3,0,101,9,8,50,61,52,26,8,0,0,215,167,389,881,982,998,665,203,41,7,4325
POA2073,7,19,35,33,42,32,13,0,0,185,17,20,44,95,95,56,22,6,0,359,408,730,1037,1953,2156,1549,510,95,6,8450
POA2074,11,26,43,45,53,46,25,3,0,244,8,29,49,111,110,73,23,14,0,409,508,909,1259,2454,2847,1952,685,144,15,10771
POA2075,9,26,40,50,65,53,16,3,0,271,12,13,56,128,114,79,29,5,0,437,416,771,1041,2414,2606,1768,681,139,8,9848
POA2076,17,41,42,63,81,49,17,3,0,310,15,31,56,111,132,81,16,7,0,446,610,1014,1423,2747,3142,2063,653,137,11,11807
POA2077,25,59,135,162,145,84,29,0,0,632,15,71,223,292,165,118,33,5,6,930,625,1651,4862,6533,4403,2764,765,81,11,21689
POA2079,11,15,26,27,38,24,5,0,0,150,6,8,22,34,32,33,4,0,0,141,226,309,672,1009,1016,786,173,12,0,4208
POA2080,0,0,5,5,10,9,0,0,0,38,0,0,3,3,8,9,0,0,0,27,50,65,112,196,237,172,35,5,0,872
POA2081,9,6,12,21,27,26,9,0,0,110,3,9,16,22,19,19,8,0,0,99,196,236,338,603,788,572,128,15,0,2866
POA2082,10,5,9,23,22,22,3,0,0,95,3,5,16,34,31,16,3,3,0,105,170,206,281,684,817,477,126,12,0,2771
POA2083,0,3,10,5,5,10,0,0,0,32,0,6,0,9,16,7,7,0,0,46,20,51,113,149,201,214,79,17,0,842
POA2084,7,11,11,14,27,19,3,0,0,90,3,7,10,15,15,19,7,0,0,76,115,162,200,319,489,382,133,40,0,1830
POA2085,9,20,24,43,61,44,24,4,0,219,8,21,24,49,70,39,9,0,0,235,339,475,481,1120,1655,957,338,63,5,5429
POA2086,21,32,38,53,75,46,11,4,0,273,16,19,52,78,106,47,14,0,0,330,470,595,873,1650,2024,1172,299,63,0,7153
POA2087,12,17,27,38,72,36,9,0,0,212,20,20,26,66,80,47,12,9,0,276,415,545,578,1322,1883,1125,300,44,3,6222
POA2088,15,33,60,65,77,46,35,4,0,336,10,38,115,140,132,93,40,23,3,601,458,966,2516,2959,3215,2422,1047,288,27,13888
POA2089,0,19,41,46,28,19,4,0,0,166,3,12,90,72,40,25,16,3,0,261,108,466,2136,1700,1119,803,325,75,6,6751
POA2090,5,9,57,35,36,29,7,0,0,185,4,19,89,67,49,42,12,6,0,293,133,465,1936,1838,1474,1083,524,94,4,7563
POA2092,6,13,13,14,30,13,6,0,0,91,4,9,26,45,45,30,5,0,0,164,197,260,345,746,1069,597,196,31,3,3445
POA2093,11,24,77,60,77,54,7,0,0,318,25,32,113,129,131,75,20,5,0,528,622,813,1947,2816,3252,1930,558,91,9,12039
POA2094,8,7,14,16,12,15,3,0,0,73,9,12,30,42,28,8,4,0,0,133,112,199,804,816,692,547,158,16,5,3355
POA2095,3,12,87,57,20,30,13,0,0,218,4,34,179,123,66,44,16,3,0,459,206,561,3049,2293,1559,1171,378,76,9,9301
POA2096,19,21,85,59,40,40,9,0,0,274,12,27,148,103,85,41,12,7,0,439,322,580,2350,2025,1823,1125,303,39,0,8573
POA2097,14,26,63,70,67,48,7,3,0,297,13,31,55,95,109,64,18,6,0,390,540,768,1355,1760,2093,1408,409,63,4,8404
