POA_CODE_2021,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
POA4507,2141,2701,1589,454,10292
POA4508,1265,964,514,196,8400
POA4509,1849,1015,494,165,18304
POA4510,3489,2994,1541,527,24797
POA4511,770,892,463,75,4595
POA4512,333,227,91,24,1810
POA4514,595,472,156,44,3502
POA4515,363,299,121,24,2112
POA4516,332,211,73,18,2008
POA4517,85,59,44,9,484
POA4518,479,325,140,24,2697
POA4519,732,611,268,93,4541
POA4520,1596,1063,379,70,7811
POA4521,543,349,110,20,2784
POA4550,443,277,123,23,2450
POA4551,5595,4797,2795,1011,35330
POA4552,1192,1249,622,162,5503
POA4553,753,452,151,32,5552
POA4554,227,164,47,6,1076
POA4555,711,485,242,88,3989
POA4556,3842,3131,1896,852,25077
POA4557,1686,1251,518,131,10906
POA4558,2236,2173,1247,510,14223
POA4559,710,517,202,56,3930
POA4560,3142,2551,1363,456,18727
POA4561,859,515,175,39,4317
POA4562,1044,676,263,30,4757
POA4563,1006,974,460,146,5279
POA4564,1373,1120,544,119,6714
POA4565,1578,1412,798,327,8062
POA4566,1050,1275,844,233,5622
POA4567,1599,1520,690,160,8198
POA4568,450,327,132,13,2050
POA4569,237,140,49,7,952
POA4570,4274,3166,1347,325,21291
POA4571,121,67,23,9,487
POA4572,518,390,195,68,2791
POA4573,3006,2274,999,285,17357
POA4574,175,147,42,7,752
POA4575,2509,1804,1032,361,15183
POA4580,542,743,340,63,2449
POA4581,333,291,76,8,1370
POA4600,97,86,40,3,421
POA4601,128,79,44,4,534
POA4605,342,283,99,30,1781
POA4606,210,163,111,29,1085
POA4608,87,80,31,5,406
POA4610,1122,871,377,113,6731
POA4611,11,6,3,0,60
POA4612,16,29,11,5,109
POA4613,74,66,34,9,366
POA4614,102,113,71,11,522
POA4615,660,648,277,51,3171
POA4620,53,43,17,6,202
POA4621,145,149,89,16,787
POA4625,217,179,75,17,1222
POA4626,161,101,55,15,960
POA4627,68,58,24,3,352
POA4630,181,184,76,28,1023
POA4650,3044,2754,1157,319,15379
POA4655,6269,6397,3437,916,33196
POA4659,675,704,263,49,2591
POA4660,907,970,400,52,4059
POA4662,78,60,24,0,374
POA4670,6649,5808,3153,869,38475
POA4671,674,596,209,27,2850
POA4673,73,90,23,6,351
POA4674,215,186,63,9,794
POA4676,25,13,3,0,72
POA4677,734,666,178,18,2995
POA4678,98,63,35,4,358
POA4680,4129,2248,838,244,25781
POA4694,16,0,4,0,55
POA4695,87,75,13,8,454
POA4697,12,12,6,0,66
POA4699,24,24,12,0,159
POA4700,1446,904,533,242,8849
POA4701,2719,1792,865,366,18725
POA4702,2235,1546,538,116,12947
POA4703,2322,1885,809,191,12373
POA4704,10,6,4,0,53
POA4705,59,41,10,0,271
POA4706,5,14,0,0,35
POA4707,28,21,12,0,134
POA4709,66,7,0,0,437
POA4710,488,485,219,82,2462
