POA_CODE_2021,0_299_Separate_house,0_299_Sd_rw_tce_hse_th,0_299_Flat_apartment,0_299_Other_dwelling,0_299_Dwelling_structure_NS,0_299_Tot,300_449_Separate_house,300_449_Sd_rw_tce_hse_th,300_449_Flat_apartment,300_449_Other_dwelling,300_449_Dwg_structure_NS,300_449_Tot,450_599_Separate_house,450_599_Sd_rw_tce_hse_th,450_599_Flat_apartment,450_599_Other_dwelling,450_599_Dwg_structure_NS,450_599_Tot,600_799_Separate_house,600_799_Sd_rw_tce_hse_th,600_799_Flat_apartment,600_799_Other_dwelling,600_799_Dwg_structure_NS,600_799_Tot,800_999_Separate_house,800_999_Sd_rw_tce_hse_th,800_999_Flat_apartment,800_999_Other_dwelling,800_999_Dwg_structure_NS,800_999_Tot,1000_1399_Separate_house,1000_1399_Sd_rw_tce_hse_th,1000_1399_Flat_apartmnt,1000_1399_Other_dwelling,1000_1399_Dwg_structure_NS,1000_1399_Tot,1400_1799_Separate_house,1400_1799_Sd_rw_tce_hse_th,1400_1799_Flat_apartmnt,1400_1799_Other_dwelling,1400_1799_Dwg_structure_NS,1400_1799_Tot,1800_2399_Separate_house,1800_2399_Sd_rw_tce_hse_th,1800_2399_Flat_apartmnt,1800_2399_Other_dwelling,1800_2399_Dwg_structure_NS,1800_2399_Tot,2400_2999_Separate_house,2400_2999_Sd_rw_tce_hse_th,2400_2999_Flat_apartmnt,2400_2999_Other_dwelling,2400_2999_Dwg_structure_NS,2400_2999_Tot,3000_3999_Separate_house,3000_3999_Sd_rw_tce_hse_th,3000_3999_Flat_apartmnt,3000_3999_Other_dwelling,3000_3999_Dwg_structure_NS,3000_3999_Tot,4000_over_Separate_house,4000_over_Sd_rw_tce_hse_th,4000_over_Flat_apartmnt,4000_over_Other_dwelling,4000_over_Dwg_structure_NS,4000_over_Tot,M_rep_NS_Sep_house,M_rep_NS_Sd_rw_tce_hse_th,M_rep_NS_Flat_apart,M_rep_NS_Other_dwelling,M_rep_NS_Dwg_structu_ns,M_rep_NS_Tot,Tot_Sep_hse,Tot_Sd_row_tce_hse_th,Tot_Flat_apartment,Tot_Other_dwelling,Tot_Dwelling_structure_NS,Tot_Tot
POA6175,19,0,0,0,0,19,14,0,0,0,0,14,9,0,0,0,0,9,11,0,0,0,0,11,18,0,0,0,0,18,83,0,0,0,0,83,160,0,0,0,0,160,211,0,0,0,0,211,94,0,0,0,0,94,51,0,0,0,0,51,36,0,0,0,0,36,62,0,0,0,0,62,773,0,0,0,0,773
POA6176,9,0,0,0,0,9,5,0,0,0,0,5,0,0,0,0,0,0,9,0,0,0,0,9,10,0,0,0,0,10,40,0,0,0,0,40,117,0,0,0,0,117,126,0,0,0,0,126,32,0,0,0,0,32,24,0,0,0,0,24,25,0,0,0,0,25,19,0,0,0,0,19,406,0,0,0,0,406
POA6180,24,0,0,0,0,23,10,0,0,0,0,10,14,0,0,0,0,14,26,0,0,0,0,26,22,0,0,0,0,22,176,0,0,0,0,182,330,0,0,0,0,329,392,0,0,0,0,392,101,0,0,0,0,101,55,0,0,0,0,55,45,0,0,0,0,45,61,0,0,0,0,61,1255,3,0,0,0,1257
POA6181,9,0,0,0,0,9,0,0,0,0,0,0,4,0,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,7,5,0,0,0,0,5,19,0,0,0,0,19,14,0,0,0,0,14,10,0,0,0,0,10,10,0,0,0,0,10,3,0,0,0,0,3,92,0,0,0,0,92
POA6182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6207,11,0,0,0,0,12,0,0,0,5,0,4,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,14,0,0,0,0,14,25,0,0,0,0,25,51,0,0,0,0,51,39,0,0,0,0,42,36,0,0,0,0,41,18,0,0,0,0,18,20,0,0,0,0,20,233,0,0,5,6,241
POA6208,66,0,0,0,0,64,38,0,0,0,0,41,29,0,0,0,0,29,56,4,0,0,0,62,97,0,0,0,0,99,295,0,0,0,0,303,387,4,0,5,0,389,436,4,0,0,0,440,175,0,0,0,0,173,127,0,0,0,0,130,70,0,0,0,0,70,103,0,0,0,0,103,1873,18,0,5,0,1896
POA6209,17,0,0,0,0,17,3,0,0,0,0,3,8,0,0,0,0,8,12,0,0,0,0,12,4,0,0,0,0,3,25,0,0,0,0,22,37,0,0,0,0,37,41,0,0,0,0,41,29,0,0,0,0,29,29,0,0,0,0,29,19,0,0,0,0,19,18,0,0,0,0,18,243,0,0,4,0,247
POA6210,397,41,15,0,0,451,180,25,5,0,0,215,151,32,3,0,0,190,306,40,7,0,0,348,432,57,18,3,0,503,1584,127,26,0,0,1737,1991,72,21,0,0,2080,2187,52,19,0,0,2271,773,18,3,0,0,803,549,20,21,0,0,580,376,8,11,0,0,392,576,25,11,0,0,622,9503,523,160,3,0,10186
POA6211,49,3,0,0,0,57,31,0,0,0,0,32,18,0,0,0,0,21,33,0,0,3,0,37,47,0,0,0,0,46,151,3,0,0,0,158,254,0,0,0,0,256,394,0,0,0,0,395,132,0,5,0,0,138,97,0,0,0,0,97,57,0,0,0,0,62,76,0,0,0,0,78,1343,11,9,3,0,1365
POA6213,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15,10,0,0,0,0,14,19,0,0,0,0,19,7,0,0,0,0,7,9,0,0,0,0,9,7,0,0,0,0,7,0,0,0,0,0,0,74,0,0,0,0,75
POA6214,5,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,0,4,0,0,0,0,0,0,14,0,0,0,0,17,10,0,0,0,0,10,25,0,0,0,0,25,9,0,0,0,0,9,12,0,0,0,0,12,5,0,0,0,0,5,11,0,0,0,0,11,96,0,0,0,0,98
POA6215,24,0,0,0,0,24,8,0,0,0,0,9,14,0,0,0,0,12,31,0,0,0,0,31,39,0,0,0,0,39,98,0,0,0,0,96,116,0,0,0,0,118,108,0,0,0,0,111,51,0,0,0,0,51,37,0,0,0,0,37,16,0,0,0,0,16,38,0,0,0,0,37,580,7,0,0,3,588
POA6218,0,0,0,0,0,0,3,0,0,0,0,3,8,0,0,0,0,8,4,0,0,0,0,4,0,0,0,0,0,0,9,0,0,0,0,9,15,0,0,0,0,15,16,0,0,0,0,16,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,0,4,70,0,0,0,0,70
