POA_CODE_2021,OneMeth_Train_M,OneMeth_Train_F,OneMeth_Train_P,OneMeth_Bus_M,OneMeth_Bus_F,OneMeth_Bus_P,OneMeth_Ferry_M,OneMeth_Ferry_F,OneMeth_Ferry_P,OneMeth_Tram_lt_rail_M,OneMeth_Tram_lt_rail_F,OneMeth_Tram_lt_rail_P,OneMeth_Taxi_rs_serv_M,OneMeth_Taxi_rs_serv_F,OneMeth_Taxi_rs_serv_P,OneMeth_Car_as_driver_M,OneMeth_Car_as_driver_F,OneMeth_Car_as_driver_P,OneMeth_Car_as_passenger_M,OneMeth_Car_as_passenger_F,OneMeth_Car_as_passenger_P,OneMeth_Truck_M,OneMeth_Truck_F,OneMeth_Truck_P,OneMeth_Motorbike_scooter_M,OneMeth_Motorbike_scooter_F,OneMeth_Motorbike_scooter_P,OneMeth_Bicycle_M,OneMeth_Bicycle_F,OneMeth_Bicycle_P,OneMeth_Other_M,OneMeth_Other_F,OneMeth_Other_P,OneMeth_Walked_only_M,OneMeth_Walked_only_F,OneMeth_Walked_only_P,OneMeth_Tot_OneMeth_M,OneMeth_Tot_OneMeth_F,OneMeth_Tot_OneMeth_P,TwoMeth_Train_Bus_M,TwoMeth_Train_Bus_F,TwoMeth_Train_Bus_P,TwoMeth_Train_Ferry_M,TwoMeth_Train_Ferry_F,TwoMeth_Train_Ferry_P,TwoMeth_Trn_Trm_lt_rl_M,TwoMeth_Trn_Trm_lt_rl_F,TwoMeth_Trn_Trm_lt_rl_P,TwoMeth_Train_Car_as_drvr_M,TwoMeth_Train_Car_as_drvr_F,TwoMeth_Train_Car_as_drvr_P,TwoMeth_Trn_Car_as_pass_M,TwoMeth_Trn_Car_as_pass_F,TwoMeth_Trn_Car_as_pass_P,TwoMeth_Train_Other_M,TwoMeth_Train_Other_F,TwoMeth_Train_Other_P,TwoMeth_Train_Tot_M,TwoMeth_Train_Tot_F,TwoMeth_Train_Tot_P,TwoMeth_Bus_Ferry_M,TwoMeth_Bus_Ferry_F,TwoMeth_Bus_Ferry_P,TwoMeth_Bus_Trm_lt_rl_M,TwoMeth_Bus_Trm_lt_rl_F,TwoMeth_Bus_Trm_lt_rl_P,TwoMeth_Bus_Car_as_driver_M,TwoMeth_Bus_Car_as_driver_F,TwoMeth_Bus_Car_as_driver_P,TwoMeth_Bus_Car_as_pass_M,TwoMeth_Bus_Car_as_pass_F,TwoMeth_Bus_Car_as_pass_P,TwoMeth_Bus_Other_M,TwoMeth_Bus_Other_F,TwoMeth_Bus_Other_P,TwoMeth_Bus_Tot_M,TwoMeth_Bus_Tot_F,TwoMeth_Bus_Tot_P,TwoMeth_Other_TwoMeth_M,TwoMeth_Other_TwoMeth_F,TwoMeth_Other_TwoMeth_P,TwoMeth_Tot_TwoMeth_M,TwoMeth_Tot_TwoMeth_F,TwoMeth_Tot_TwoMeth_P,ThreeMeth_Trn_2_othr_mthd_M,ThreeMeth_Trn_2_othr_mthd_F,ThreeMeth_Trn_2_othr_mthd_P,ThreMth_Bu_2_ot_met_exc_tra_M,ThreMth_Bu_2_ot_met_exc_tra_F,ThreMth_Bu_2_ot_met_exc_tra_P,ThreeMeth_Oth_ThreeMeth_M,ThreeMeth_Oth_ThreeMeth_F,ThreeMeth_Oth_ThreeMeth_P,ThreeMeth_Tot_ThreeMeth_M,ThreeMeth_Tot_ThreeMeth_F,ThreeMeth_Tot_ThreeMeth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Meth_travel_to_work_NS_M,Meth_travel_to_work_NS_F,Meth_travel_to_work_NS_P,Tot_M,Tot_F,Tot_P
POA2019,0,6,11,73,62,135,0,0,0,0,0,0,3,3,7,1652,1178,2832,89,140,225,47,0,47,66,5,76,33,4,34,22,11,34,87,65,154,2073,1485,3556,34,48,79,0,0,0,0,0,0,5,0,4,3,6,9,0,0,0,40,49,94,0,0,0,3,0,3,4,6,9,0,7,7,0,0,3,12,17,25,23,12,36,74,79,150,4,3,7,0,0,0,0,0,0,8,10,12,1112,1485,2589,340,561,898,17,3,21,3618,3616,7234
POA2020,484,467,952,148,207,357,0,0,0,3,0,3,16,16,40,2018,1034,3052,108,205,311,37,0,37,120,17,139,78,28,104,36,25,61,300,263,567,3350,2267,5612,133,162,298,0,0,0,7,14,17,24,7,34,5,10,18,13,3,15,190,199,385,0,0,0,0,0,0,3,0,4,0,5,10,8,3,8,9,19,28,38,13,59,235,230,470,29,44,75,3,3,3,3,3,4,37,48,88,2208,2414,4627,736,867,1603,40,26,70,6608,5864,12473
POA2021,51,24,73,160,121,278,0,0,0,8,3,6,12,7,22,727,559,1284,55,62,120,6,0,6,47,8,54,79,30,107,26,16,38,308,327,639,1470,1160,2633,23,29,54,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,30,28,62,0,0,4,4,0,4,5,0,5,0,5,3,3,3,7,15,5,22,13,12,23,53,47,103,4,3,10,5,0,4,0,0,0,11,3,15,2465,2661,5123,320,494,816,9,4,15,4326,4373,8706
POA2022,211,162,370,85,102,184,0,0,0,0,0,0,11,7,17,781,437,1210,42,51,94,22,0,28,59,18,75,68,22,90,13,13,25,168,260,429,1464,1069,2527,43,40,85,0,0,6,0,0,6,4,3,12,3,0,3,11,7,11,66,48,117,0,0,0,0,0,0,6,5,5,0,0,0,4,4,9,6,11,17,13,5,16,84,61,148,8,0,8,0,0,0,0,0,0,8,0,8,1814,2014,3825,273,431,706,11,14,29,3656,3588,7243
POA2023,40,24,62,23,39,60,12,4,13,0,0,0,6,0,12,826,486,1318,46,76,123,11,0,11,31,6,42,18,11,26,10,14,25,63,86,146,1098,750,1845,33,31,58,0,0,0,0,0,0,0,0,0,0,5,5,6,6,7,37,37,74,0,0,0,0,0,0,0,5,4,0,5,5,3,4,8,3,14,16,19,9,23,59,57,111,4,5,3,0,0,0,0,0,0,5,5,10,1374,1538,2909,197,318,508,14,11,30,2738,2674,5408
POA2024,31,16,48,22,50,75,0,0,0,0,0,0,3,8,16,777,503,1278,31,58,93,13,0,13,35,17,53,47,29,76,11,14,25,73,129,204,1062,816,1873,42,32,73,0,0,0,0,0,0,7,0,7,0,3,3,3,0,3,46,32,81,0,0,0,0,0,0,0,0,0,0,3,3,4,4,4,4,7,7,11,13,24,65,47,115,9,4,12,0,0,0,0,0,0,11,4,15,1576,1749,3325,221,341,559,9,8,21,2940,2965,5907
POA2025,67,35,100,19,28,44,7,0,7,0,0,0,4,3,11,341,262,606,19,45,60,6,0,6,16,5,19,22,5,30,12,9,18,78,89,164,576,481,1062,8,9,19,0,0,0,0,0,0,8,0,8,0,0,0,8,0,3,20,11,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,3,3,19,10,30,4,0,9,0,0,0,0,0,0,4,0,5,990,1175,2165,119,210,328,7,5,16,1727,1881,3606
POA2026,89,73,157,173,249,422,16,5,22,0,5,5,28,20,46,2195,1305,3501,90,135,225,64,0,64,250,54,301,127,50,174,44,36,77,268,411,682,3345,2332,5678,228,176,406,0,3,4,0,0,0,0,5,5,3,0,5,4,5,5,231,186,420,0,0,0,0,0,0,7,0,3,4,0,10,10,6,22,23,14,31,37,11,46,289,211,498,36,23,65,0,0,0,0,0,0,39,23,69,5051,5676,10721,693,1119,1816,63,45,112,9476,9407,18888
POA2027,71,59,125,3,8,12,5,3,10,0,0,0,6,4,14,446,320,765,30,35,64,3,0,3,13,5,24,14,10,19,5,10,18,72,91,170,679,543,1227,15,24,41,0,0,0,0,0,0,4,0,5,0,5,5,0,0,0,20,27,48,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,5,8,9,0,10,31,36,66,4,0,4,0,0,0,0,0,0,4,0,4,1098,1151,2255,165,211,375,16,20,40,1999,1961,3962
POA2028,24,27,55,9,10,16,5,3,13,0,0,0,4,0,8,245,176,427,17,26,43,5,0,5,8,0,13,9,0,9,8,3,8,52,86,141,391,334,723,3,8,11,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6,8,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,10,12,25,8,3,10,0,0,0,0,0,0,5,3,10,737,804,1536,92,145,232,6,11,16,1238,1318,2553
POA2029,3,4,13,23,46,70,34,16,52,0,0,0,6,6,5,772,509,1284,34,61,95,10,0,10,45,11,57,17,6,30,14,13,28,57,101,159,1022,779,1803,25,25,49,0,0,4,0,0,0,4,0,4,0,0,0,0,0,0,33,27,59,3,0,3,0,0,0,0,0,0,4,0,4,0,0,0,7,7,12,5,10,17,45,38,87,9,3,14,0,0,0,0,0,0,10,3,14,1178,1400,2577,206,283,491,6,13,23,2476,2517,4995
POA2030,8,0,8,37,42,77,23,7,31,0,0,0,5,4,12,1184,734,1924,58,98,152,16,0,16,31,3,38,8,6,10,16,17,35,119,84,200,1511,1000,2507,11,12,26,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,12,13,27,4,6,4,0,0,0,0,4,5,0,0,0,0,0,0,4,9,14,19,5,22,40,30,67,13,9,18,0,0,0,5,0,5,15,9,21,1728,1650,3386,250,426,672,14,15,27,3556,3124,6683
POA2031,30,14,46,272,399,666,3,0,3,66,41,108,21,26,51,2401,1634,4036,99,164,267,65,3,70,139,33,170,171,76,248,38,39,79,409,782,1188,3717,3212,6935,62,70,130,0,0,0,18,13,35,7,0,7,3,0,0,3,5,5,87,88,177,4,0,0,8,24,42,14,7,14,3,6,9,9,13,17,35,49,85,41,18,57,160,155,318,15,24,46,3,5,11,3,3,5,23,31,58,4335,5168,9503,745,1313,2052,39,18,65,9024,9910,18926
POA2032,17,15,28,162,167,327,0,0,0,54,30,83,6,10,21,1060,735,1798,74,132,207,24,0,24,71,10,82,56,26,77,22,12,29,150,212,370,1696,1340,3039,31,27,55,0,0,0,12,6,16,0,0,0,0,0,0,0,0,0,43,40,75,0,0,0,15,13,27,0,0,0,7,10,15,6,10,17,34,27,63,24,12,37,101,79,179,18,20,32,4,4,8,0,0,0,18,17,40,1296,1375,2672,393,507,896,16,12,27,3528,3329,6854
POA2033,9,8,19,103,132,240,0,0,0,64,54,117,3,9,16,842,522,1362,45,88,134,15,0,15,46,15,58,54,22,78,12,17,27,127,130,263,1333,995,2330,16,15,28,0,0,0,20,9,29,3,0,3,0,0,0,0,0,0,43,24,63,0,0,0,15,18,40,5,0,3,0,4,7,3,3,13,30,35,60,15,10,29,89,67,150,14,16,26,5,6,12,0,0,0,22,25,42,1246,1406,2653,325,439,769,6,3,16,3026,2932,5959
POA2034,8,3,15,170,270,444,0,0,0,4,3,7,8,19,26,1642,1087,2728,59,123,185,44,3,44,89,21,108,75,36,110,17,18,27,126,275,401,2242,1861,4099,25,34,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,33,60,0,0,0,0,3,7,3,3,12,0,6,8,8,3,11,12,23,35,26,13,40,69,64,139,6,4,11,0,4,5,0,0,0,9,3,14,2585,3342,5921,433,733,1170,23,24,47,5364,6027,11393
POA2035,20,5,22,279,375,650,0,0,0,9,10,13,8,21,30,3195,2174,5369,167,302,465,95,0,95,138,20,159,86,37,129,35,33,66,187,250,432,4221,3220,7436,47,50,97,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,59,50,105,0,0,0,12,10,19,20,8,30,7,13,21,12,11,20,49,37,89,47,19,68,148,109,258,15,19,28,0,3,12,0,0,0,14,27,37,3181,3705,6893,780,1211,1986,43,32,74,8387,8301,16684
POA2036,7,11,18,232,279,511,0,0,3,6,7,13,11,13,23,3588,2416,6002,195,349,544,118,0,119,122,19,139,66,24,89,45,23,71,161,198,354,4552,3341,7892,27,29,60,0,0,0,0,0,0,3,7,6,0,0,0,0,0,0,35,32,64,0,0,0,8,11,16,12,5,16,6,21,23,5,13,18,23,48,76,60,33,88,113,108,229,6,14,23,6,9,13,0,0,0,16,23,42,2310,2965,5274,807,1104,1910,43,27,64,7838,7572,15406
POA2037,18,16,34,151,153,302,0,0,0,26,28,57,15,28,43,752,546,1299,35,77,117,13,0,13,62,8,70,103,37,150,13,18,25,288,294,579,1472,1209,2685,39,52,88,0,0,0,5,0,5,0,0,3,0,0,0,3,0,7,54,51,105,0,0,0,15,14,20,0,0,0,0,3,6,6,6,13,20,24,46,25,5,29,97,79,179,14,9,19,0,3,4,0,0,4,15,13,25,2392,2581,4965,412,579,997,12,21,29,4404,4475,8878
POA2038,15,4,22,56,62,119,0,0,0,8,7,19,8,12,19,593,432,1025,31,55,85,10,0,11,39,4,45,42,15,58,8,8,20,101,136,230,905,743,1648,23,25,49,0,0,0,0,5,5,4,0,3,0,0,0,0,0,0,21,26,50,0,0,0,5,0,4,0,5,3,0,0,0,3,6,0,7,5,17,7,3,14,38,41,75,5,0,5,0,0,0,0,0,0,6,0,8,1381,1602,2975,238,343,580,6,4,10,2578,2731,5305
POA2039,4,0,4,58,57,121,0,0,5,0,0,0,4,0,5,536,385,924,23,36,61,10,0,10,26,9,29,58,14,75,10,4,15,82,72,154,812,591,1399,14,16,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,32,0,3,5,0,3,6,4,0,6,0,6,3,6,0,3,6,8,20,7,9,15,29,31,62,4,0,0,0,0,0,0,0,0,7,0,7,1328,1590,2919,188,282,475,11,10,19,2376,2505,4878
POA2040,42,21,61,119,146,263,0,0,0,19,17,44,9,11,22,1481,1146,2621,61,142,203,33,0,33,74,17,94,98,39,133,18,25,47,186,212,397,2150,1778,3921,30,26,52,0,0,0,4,3,3,4,6,8,3,0,0,0,0,0,43,37,74,0,0,0,5,6,11,8,7,10,3,4,5,3,3,4,19,14,34,22,16,40,84,63,145,11,8,22,7,0,10,0,0,0,27,8,31,3107,3689,6798,526,873,1405,19,12,33,5900,6425,12326
POA2041,0,0,4,79,78,154,52,20,76,0,0,0,3,4,10,892,615,1509,36,61,97,14,0,11,34,0,40,58,23,82,26,3,30,119,154,277,1319,962,2277,22,11,38,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,17,19,40,11,12,24,4,0,3,4,0,4,0,0,0,6,0,3,23,12,38,17,7,21,61,44,100,13,5,13,3,7,8,0,0,0,12,10,23,2360,2690,5049,295,497,789,12,7,21,4055,4216,8264
POA2042,263,202,463,95,110,210,0,0,0,0,0,0,13,15,31,1022,640,1657,52,86,134,7,0,7,65,15,85,147,76,227,31,16,47,392,436,830,2093,1595,3694,69,51,122,0,0,3,6,5,8,4,0,4,0,3,6,9,12,25,91,72,159,3,0,3,0,0,3,3,0,3,0,5,4,5,5,12,11,14,24,19,11,30,118,94,214,15,8,25,3,0,3,0,0,0,19,8,30,3162,3267,6421,598,748,1344,15,11,30,6005,5731,11736
POA2043,154,136,291,11,24,41,0,0,0,0,0,0,12,7,20,508,338,849,18,35,46,8,0,8,32,0,31,71,29,104,9,9,17,140,121,265,961,703,1667,19,24,47,0,0,0,0,0,0,4,0,8,0,0,3,6,7,10,30,36,67,0,0,0,0,0,0,4,0,4,0,0,4,0,0,0,5,4,4,11,0,10,47,40,87,5,0,8,0,0,0,0,0,0,8,9,12,2158,2120,4274,286,328,611,8,3,16,3469,3197,6670
POA2044,139,120,256,30,29,59,0,0,0,0,0,0,4,8,11,655,373,1027,19,54,77,23,0,22,35,3,36,48,24,65,11,8,21,104,63,162,1063,673,1736,25,25,50,0,0,0,4,0,3,0,0,0,0,0,0,7,0,9,35,28,63,0,0,0,0,0,0,0,0,0,0,5,3,0,3,3,0,6,13,10,0,15,48,35,87,4,0,7,0,0,0,0,0,0,4,0,7,1123,1280,2402,239,333,574,5,8,13,2493,2329,4818
POA2045,14,7,16,21,29,52,0,0,0,8,0,8,0,0,0,534,337,874,29,46,75,14,0,14,13,3,15,28,12,36,12,6,20,33,37,65,699,479,1177,11,4,7,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,11,5,16,0,0,0,0,4,4,0,0,0,0,0,0,0,0,5,4,7,8,3,0,6,14,19,31,0,0,4,0,0,0,0,0,0,0,0,4,730,809,1538,164,240,406,3,4,4,1612,1539,3153
POA2046,10,10,20,115,147,262,21,14,35,0,0,0,8,11,13,2597,1745,4341,88,213,300,59,0,62,59,3,65,42,11,51,33,19,55,99,118,221,3134,2292,5425,31,25,57,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,38,25,68,0,4,8,0,4,3,8,12,16,9,9,16,0,0,6,20,27,45,31,18,46,84,69,158,12,3,9,4,0,0,4,0,3,11,4,20,2925,3627,6552,626,985,1614,29,19,46,6808,7005,13809
POA2047,4,4,6,79,86,163,12,7,19,0,0,0,3,4,8,1025,699,1721,34,73,104,15,0,15,22,0,26,26,9,40,11,6,21,66,67,127,1298,954,2253,12,13,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,21,0,5,4,3,5,5,0,0,0,3,3,10,3,5,10,17,16,25,8,7,9,33,30,59,8,5,8,0,0,0,5,0,5,13,0,14,1532,1810,3342,243,458,703,11,10,18,3125,3261,6390
POA2048,86,69,158,28,22,54,0,0,0,0,0,0,4,4,9,494,356,849,22,38,57,6,0,6,33,3,35,54,12,69,11,5,16,88,106,189,820,614,1435,18,20,38,0,0,0,7,0,8,0,0,6,0,5,4,7,3,5,26,33,61,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,7,5,7,4,11,40,39,79,3,13,14,0,0,0,0,0,0,3,13,14,1150,1302,2450,222,318,539,4,6,6,2237,2283,4524
POA2049,166,158,328,34,66,104,0,0,0,4,6,10,4,10,16,736,571,1308,39,59,97,10,0,10,29,5,38,61,18,84,17,12,32,83,92,179,1191,1010,2208,35,29,59,0,0,0,3,12,15,7,4,8,0,4,4,3,0,5,46,51,93,0,0,0,0,3,4,0,0,0,0,3,4,3,0,5,6,7,10,15,11,22,67,64,130,12,0,17,0,0,0,0,0,0,12,0,17,1793,2131,3925,333,467,797,10,8,21,3404,3687,7091
POA2050,48,35,85,90,94,181,0,0,0,0,0,0,11,0,12,556,350,911,34,40,75,6,0,6,32,10,40,56,16,76,19,12,39,249,308,562,1112,879,1986,39,40,75,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,43,41,85,0,0,0,8,8,11,0,5,3,0,0,0,9,0,9,13,12,26,10,6,18,73,58,131,7,0,8,0,3,5,0,0,0,9,8,17,1523,1602,3123,292,370,664,8,10,18,3011,2928,5940
POA2060,197,188,385,44,67,113,7,9,18,0,0,0,4,9,9,735,489,1222,40,77,121,9,0,9,37,7,41,33,11,42,28,10,35,288,256,549,1423,1115,2539,41,35,79,0,0,3,0,3,4,7,9,16,0,4,6,6,0,8,63,57,118,0,0,5,0,0,0,0,0,5,0,3,3,0,3,4,3,4,9,9,4,16,76,70,149,8,10,20,6,0,0,0,0,0,10,11,20,2647,2792,5433,315,460,774,9,11,15,4471,4465,8937
POA2061,96,99,189,6,10,18,10,5,16,0,0,0,8,6,14,298,201,503,16,34,44,0,0,0,9,0,11,7,0,10,4,5,7,74,47,118,531,401,929,6,12,20,4,3,9,0,0,3,0,0,0,0,0,0,3,3,7,14,26,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,6,6,14,25,40,3,0,8,0,0,0,0,0,0,3,0,8,1056,1124,2178,107,141,253,4,8,10,1714,1702,3415
