POA_CODE_2021,P_aged_15_yr_over_M,P_aged_15_yr_over_F,P_aged_15_yr_over_P,Lab_for_st_Empl_worked_ft_M,Lab_for_st_Empl_worked_ft_F,Lab_for_st_Empl_worked_ft_P,Lab_for_st_Empl_worked_pt_M,Lab_for_st_Empl_worked_pt_F,Lab_for_st_Empl_worked_pt_P,Lab_for_st_Empl_awy_frm_wrk_M,Lab_for_st_Empl_awy_frm_wrk_F,Lab_for_st_Empl_awy_frm_wrk_P,Lab_for_st_Unemp_lkg_fr_wrk_M,Lab_for_st_Unemp_lkg_fr_wrk_F,Lab_for_st_Unemp_lkg_fr_wrk_P,Lab_for_st_Tot_labour_force_M,Lab_for_st_Tot_labour_force_F,Lab_for_st_Tot_labour_force_P,Lab_for_st_N_the_lbour_frce_M,Lab_for_st_N_the_lbour_frce_F,Lab_for_st_N_the_lbour_frce_P,LFS_Percent_Unemployment_M,LFS_Percent_Unemployment_F,LFS_Percent_Unemployment_P,LFS_Percent_Lab_force_part_M,LFS_Percent_Lab_force_part_F,LFS_Percent_Lab_force_part_P,LFS_Percent_Emp_to_pop_M,LFS_Percent_Empl_to_pop_F,LFS_Percent_Emp_to_pop_P,High_N_sc_q_Postgrad_Deg_M,High_N_sc_q_Postgrad_Deg_F,High_N_sc_q_Postgrad_Deg_P,High_N_sc_q_Gra_Dip_Gra_Cer_M,High_N_sc_q_Gra_Dip_Gra_Cer_F,High_N_sc_q_Gra_Dip_Gra_Cer_P,High_N_sc_q_Bachelor_Deg_M,High_N_sc_q_Bachelor_Deg_F,High_N_sc_q_Bachelor_Deg_P,High_N_sc_q_Adv_Dip_Dip_M,High_N_sc_q_Adv_Dip_Dip_F,High_N_sc_q_Adv_Dip_Dip_P,High_N_sc_q_Cert3a4_Level_M,High_N_sc_q_Cert3a4_Level_F,High_N_sc_q_Cert3a4_Level_P,High_N_sc_q_Cert1a2_Level_M,High_N_sc_q_Cert1a2_Level_F,High_N_sc_q_Cert1a2_Level_P,High_N_sc_q_Certnfd_Level_M,High_N_sc_q_Certnfd_Level_F,High_N_sc_q_Certnfd_Level_P,High_N_sc_q_CertTot_Level_M,High_N_sc_q_CertTot_Level_F,High_N_sc_q_CertTot_Level_P,Mig_Lvd_same_add_1_yr_ago_M,Mig_Lvd_same_add_1_yr_ago_F,Mig_Lvd_same_add_1_yr_ago_P,Mig_Lvd_diff_add_1_yr_ago_M,Mig_Lvd_diff_add_1_yr_ago_F,Mig_Lvd_diff_add_1_yr_ago_P,Mig_Lvd_same_add_5_yr_ago_M,Mig_Lvd_same_add_5_yr_ago_F,Mig_Lvd_same_add_5_yr_ago_P,Mig_Lvd_diff_add_5_yr_ago_M,Mig_Lvd_diff_add_5_yr_ago_F,Mig_Lvd_diff_add_5_yr_ago_P
POA2019,5269,5546,10813,2559,2047,4598,726,1141,1870,333,427,763,121,126,248,3737,3737,7476,1210,1468,2680,3.2,3.3,3.3,71,67.4,69.2,68.7,65.2,66.9,379,457,839,76,141,213,907,1351,2259,484,683,1164,1132,468,1596,40,48,88,99,114,213,1266,637,1903,5065,5100,10170,1063,1195,2261,2903,2933,5834,2853,3000,5848
POA2020,10167,9679,19843,4084,3174,7259,1729,1889,3621,793,799,1589,408,376,783,7013,6236,13251,2303,2706,5006,5.8,6,5.9,69,64.4,66.8,65,60.6,62.8,1194,1364,2560,118,194,308,2639,2857,5496,1105,1121,2229,1201,504,1697,54,62,118,118,141,260,1373,706,2084,7026,6762,13785,3474,3279,6747,3292,3252,6551,6716,6343,13057
POA2021,5971,6490,12461,3252,2804,6055,806,1194,2005,264,378,642,150,181,332,4479,4558,9032,1212,1641,2856,3.3,4,3.7,75,70.2,72.5,72.5,67.4,69.9,1092,1115,2208,185,239,418,2268,2613,4883,402,593,993,376,197,568,29,25,57,76,114,186,485,331,818,4988,5237,10224,1530,1806,3338,2766,2990,5759,3484,3775,7260
POA2022,5460,5913,11378,2617,2116,4740,751,1118,1863,287,357,644,170,142,315,3827,3732,7557,1276,1802,3078,4.5,3.8,4.1,70.1,63.1,66.4,66.9,60.7,63.7,757,802,1560,120,183,304,1810,2125,3930,419,597,1013,579,273,854,18,42,58,77,115,187,671,424,1100,4456,4783,9239,1533,1596,3128,2445,2695,5143,3259,3417,6673
POA2023,3990,4529,8521,1878,1390,3267,669,1019,1684,194,272,458,95,82,179,2832,2758,5591,990,1616,2608,3.5,2.9,3.2,71,60.9,65.6,68.6,59.1,63.5,667,627,1298,101,155,264,1442,1682,3119,291,467,762,245,156,401,13,29,40,38,88,129,297,273,574,3792,4080,7870,876,1062,1932,2452,2644,5099,2005,2305,4306
POA2024,4266,4815,9076,2173,1688,3859,590,1000,1592,181,273,457,64,82,144,3010,3041,6052,963,1358,2319,2.2,2.6,2.4,70.6,63.2,66.7,69,61.6,65.1,618,681,1302,98,172,267,1415,1688,3103,332,466,797,461,158,620,12,37,53,60,80,143,535,277,812,3958,4254,8217,931,1062,1994,2442,2666,5108,2201,2415,4617
POA2025,2604,3291,5893,1252,1119,2373,366,614,978,106,149,258,54,64,114,1775,1949,3722,710,1142,1848,2.9,3.4,3.1,68.1,59.2,63.2,66.2,57.2,61.2,478,535,1015,73,107,182,980,1260,2238,170,298,465,157,94,249,4,9,20,39,65,106,197,176,372,2328,2799,5123,614,789,1404,1370,1727,3093,1420,1722,3144
POA2026,13253,14084,27337,6855,5634,12490,1932,2825,4760,687,951,1643,384,390,773,9857,9801,19658,2535,3443,5977,3.9,4,3.9,74.4,69.6,71.9,71.5,66.8,69.1,1829,1931,3765,280,442,722,4668,5568,10235,1074,1432,2507,1309,534,1839,56,95,150,185,242,422,1544,869,2412,10830,11120,21951,3672,4052,7720,5782,5946,11732,7978,8515,16497
POA2027,3060,3639,6696,1396,1168,2565,473,604,1075,132,190,320,73,73,142,2070,2033,4104,809,1357,2170,3.5,3.4,3.5,67.6,55.9,61.3,65.3,54,59.2,521,518,1038,79,124,203,1097,1251,2344,220,374,594,191,104,298,15,19,34,40,75,117,243,205,446,2586,3011,5599,624,743,1366,1521,1829,3349,1593,1820,3413
POA2028,1754,2242,3998,893,826,1727,255,355,605,85,140,224,34,56,93,1275,1373,2644,418,769,1186,2.9,3.9,3.4,72.6,61.2,66.2,70.5,58.8,63.9,325,320,645,42,82,126,686,830,1516,124,207,327,97,66,163,7,9,17,14,43,60,120,129,244,1490,1788,3283,444,588,1031,827,1056,1879,1025,1230,2257
POA2029,3709,4405,8113,1710,1355,3065,588,913,1497,174,250,428,84,92,175,2558,2613,5168,940,1515,2453,3.3,3.6,3.4,69,59.3,63.7,66.7,57.2,61.5,484,498,989,86,180,264,1220,1411,2632,316,527,840,344,171,515,17,36,51,67,105,173,429,305,740,3380,3850,7225,830,980,1806,2008,2378,4384,2012,2248,4261
POA2030,5467,5998,11462,2496,1400,3897,827,1381,2213,232,339,571,126,126,253,3681,3254,6936,1556,2465,4018,3.4,3.9,3.6,67.4,54.2,60.5,65.1,52.1,58.3,786,714,1501,106,208,307,1870,1997,3866,369,643,1011,388,204,589,20,32,55,61,115,170,470,353,818,5588,6014,11600,920,961,1877,3830,4103,7934,2369,2586,4953
POA2031,13313,15258,28568,6545,5916,12463,1797,2994,4791,680,999,1677,359,317,681,9383,10227,19611,3079,4055,7136,3.8,3.1,3.5,70.5,67.1,68.6,67.8,65,66.3,2012,2351,4366,288,593,879,3997,5336,9332,956,1430,2386,1595,651,2252,47,90,131,161,272,434,1805,1013,2813,11523,12682,24206,3322,3856,7180,6819,7593,14417,7255,8221,15479
POA2032,6283,6237,12519,2175,1639,3813,1010,1274,2278,348,411,758,270,200,468,3794,3529,7320,2137,2379,4525,7.1,5.6,6.4,60.4,56.6,58.5,56.1,53.4,54.8,997,876,1877,86,167,253,1528,1638,3171,444,589,1037,664,326,994,46,53,99,89,108,191,793,485,1281,5045,4994,10041,1837,1759,3592,3123,3305,6429,3473,3215,6680
POA2033,5098,5129,10228,1945,1540,3488,776,1061,1841,302,329,632,214,176,392,3240,3108,6348,1572,1745,3320,6.5,5.7,6.1,63.5,60.6,62,59.4,57.2,58.3,779,698,1472,85,146,230,1338,1575,2912,376,503,877,477,226,706,37,43,76,47,94,142,565,357,923,3930,3988,7917,1534,1475,3008,2161,2217,4373,3089,3029,6113
POA2034,7776,9063,16836,3885,3638,7517,1070,1804,2878,414,582,997,216,211,428,5581,6239,11824,1794,2351,4139,3.9,3.4,3.6,71.8,68.9,70.2,69,66.5,67.7,1126,1311,2436,196,357,552,2330,3172,5501,618,919,1537,1015,437,1447,34,76,112,106,168,274,1152,680,1835,6910,7701,14607,1802,2236,4045,4103,4603,8698,4180,4922,9106
POA2035,13642,15002,28651,5566,4290,9858,2029,3042,5074,790,962,1758,432,373,810,8825,8672,17496,4172,5555,9722,4.9,4.3,4.6,64.7,57.8,61.1,61.5,55.3,58.3,1601,1741,3346,236,460,694,3256,3995,7251,1126,1661,2782,2077,846,2923,72,134,206,202,327,534,2349,1309,3658,12941,13963,26898,2641,2712,5354,8693,9688,18385,6134,6300,12436
POA2036,14032,13714,27746,5148,3891,9043,1882,2802,4683,803,880,1690,408,325,725,8239,7892,16133,4756,4999,9758,4.9,4.1,4.5,58.7,57.6,58.1,55.9,55.2,55.5,1166,1213,2377,165,329,496,2281,3014,5300,1086,1581,2663,2570,1059,3625,91,142,238,214,386,599,2874,1590,4462,12123,12757,24881,2677,2679,5350,7874,8337,16210,6152,6342,12492
POA2037,7024,7524,14545,3060,2668,5729,977,1337,2311,364,476,839,255,237,493,4656,4717,9374,1919,2369,4282,5.5,5.1,5.3,66.3,62.7,64.5,62.7,59.5,61.1,1251,1473,2723,211,284,491,2153,2377,4530,515,641,1155,562,335,896,24,56,82,82,97,181,666,489,1159,5391,5745,11128,1963,2083,4043,2949,3156,6102,4131,4412,8541
POA2038,3711,4086,7805,1836,1622,3457,537,870,1405,202,237,436,108,111,218,2685,2835,5520,778,1040,1814,4,3.8,3.9,72.2,69.4,70.7,69.4,66.8,68,594,750,1339,92,199,297,1197,1477,2672,317,347,664,345,178,517,19,30,51,53,61,119,423,273,690,3350,3618,6966,791,930,1719,2082,2298,4376,1863,2059,3916
POA2039,3263,3671,6936,1827,1604,3437,401,687,1087,148,210,352,81,88,171,2453,2594,5051,715,981,1698,3.3,3.5,3.4,75.2,70.6,72.8,72.7,68.2,70.3,518,622,1139,113,186,308,1059,1271,2330,312,385,695,325,166,493,22,32,50,42,75,119,394,272,661,3088,3375,6463,745,835,1577,1781,2018,3794,1814,1995,3805
POA2040,8555,9696,18245,4361,3770,8132,1098,2014,3113,446,640,1088,255,241,500,6160,6667,12825,2023,2609,4631,4.2,3.6,3.9,72,68.8,70.3,69,66.3,67.6,1061,1493,2552,268,456,727,2407,3035,5447,789,982,1767,1053,511,1560,58,85,146,130,174,308,1246,770,2014,8291,9099,17395,1901,2085,3982,5114,5754,10869,4443,4831,9276
POA2041,6033,6673,12706,3007,2546,5549,800,1293,2092,252,378,629,170,159,330,4224,4371,8596,1551,2044,3589,4.1,3.5,3.8,70,65.5,67.6,67.2,63.1,65.1,1058,1268,2329,190,353,542,2034,2303,4335,450,663,1110,541,241,775,24,42,72,81,127,208,648,411,1056,5751,6233,11987,1211,1295,2507,3554,3973,7531,3067,3244,6307
POA2042,8382,7972,16360,4209,3504,7713,1281,1643,2923,519,587,1102,284,221,509,6292,5953,12245,1636,1662,3296,4.6,3.7,4.2,75.1,74.7,74.9,71.6,71.9,71.8,1276,1350,2625,235,357,596,2744,2886,5634,697,673,1369,749,400,1143,50,62,109,79,111,185,876,572,1444,6318,5926,12248,2433,2471,4901,3443,3303,6750,5012,4862,9872
POA2043,4299,4112,8407,2741,2304,5046,506,678,1183,221,214,439,105,121,226,3576,3318,6894,566,661,1227,2.9,3.6,3.3,83.2,80.7,82,80.7,77.8,79.3,779,854,1631,143,191,335,1613,1690,3297,392,332,723,356,155,511,24,23,44,55,59,111,428,234,663,3151,2900,6053,1478,1504,2977,1494,1428,2922,2924,2810,5739
POA2044,3526,3401,6922,1768,1383,3148,512,693,1212,207,248,459,107,93,202,2602,2427,5020,787,870,1655,4.2,3.8,4,73.8,71.2,72.5,70.7,68.5,69.6,350,469,812,79,127,206,962,1109,2070,322,305,632,464,211,674,28,41,69,57,60,116,549,310,862,3084,2944,6027,883,848,1733,1949,1925,3879,1816,1704,3516
POA2045,2628,2749,5372,1068,727,1797,405,628,1030,145,183,328,65,46,114,1677,1589,3269,881,1104,1984,4,3,3.5,64,57.8,60.8,61.5,56.1,58.7,277,319,596,59,98,155,643,685,1322,226,283,507,364,153,519,13,33,37,40,77,118,417,257,675,2779,2832,5611,311,327,640,2136,2191,4326,846,877,1720
POA2046,10425,11971,22402,4781,3798,8580,1411,2421,3831,610,785,1397,280,179,462,7087,7189,14268,2934,4241,7173,3.9,2.5,3.2,67.9,60,63.7,65.3,58.5,61.7,1105,1216,2320,226,401,624,2478,3170,5643,1022,1361,2381,1632,776,2412,72,124,198,210,340,551,1910,1250,3158,10619,11721,22344,1600,1807,3405,7092,8085,15176,4443,4886,9332
POA2047,4608,5371,9978,2261,1874,4138,631,1058,1681,238,334,569,108,99,207,3235,3367,6598,1185,1702,2891,3.3,3,3.1,70.2,62.6,66.1,67.9,60.7,64,596,666,1266,118,228,345,1369,1604,2977,418,622,1042,585,290,873,27,38,66,95,141,234,705,471,1173,4364,4911,9272,913,973,1889,2736,3144,5878,2282,2498,4771
POA2048,3205,3287,6493,1562,1411,2971,499,651,1159,180,221,396,101,88,187,2339,2372,4708,702,794,1495,4.3,3.7,4,73,72.2,72.6,69.8,69.5,69.7,464,540,1007,92,152,244,981,1183,2161,266,310,577,316,174,490,16,17,33,44,64,105,382,251,632,2727,2804,5531,780,810,1589,1686,1745,3427,1688,1751,3435
POA2049,5076,5480,10558,2364,2219,4582,748,1101,1849,293,369,661,169,136,301,3574,3817,7394,1160,1328,2485,4.6,3.5,4.1,70.3,69.7,70,67.1,67.2,67.1,639,869,1513,163,245,404,1492,1796,3291,385,485,875,513,276,793,34,45,81,74,93,165,621,411,1036,4205,4438,8638,1255,1360,2619,2475,2611,5084,2746,2993,5743
POA2050,4597,4458,9056,2074,1797,3874,678,822,1505,259,307,564,177,150,326,3187,3075,6263,843,898,1741,5.5,4.9,5.2,69.4,69,69.2,65.6,65.6,65.6,730,822,1551,115,155,263,1397,1440,2838,303,322,618,316,140,454,25,22,53,46,51,96,388,212,598,2942,2850,5794,1391,1418,2805,1382,1358,2740,2844,2801,5642
POA2060,6339,6923,13262,3484,2943,6423,718,1173,1892,270,345,617,189,168,357,4662,4630,9294,1306,1934,3240,4,3.7,3.8,73.5,66.9,70.1,70.6,64.5,67.4,1340,1376,2720,187,323,514,2305,2569,4880,464,682,1140,406,256,661,24,31,57,84,116,200,518,397,922,4765,5207,9969,1887,2015,3905,2269,2619,4890,4134,4373,8505
POA2061,2595,2961,5556,1283,1169,2453,350,413,764,82,119,199,68,70,142,1784,1774,3556,623,945,1570,3.9,4.1,4,68.7,59.9,64,66,57.5,61.5,550,518,1066,85,128,219,914,1057,1971,196,288,482,152,72,223,8,21,29,28,58,86,183,148,336,1908,2138,4046,652,737,1390,1009,1186,2200,1488,1636,3125
POA2062,2604,3000,5604,1448,1250,2693,332,618,954,99,163,263,70,57,124,1941,2095,4037,585,844,1430,3.5,2.8,3.1,74.7,69.7,72.1,72.1,67.8,69.8,419,483,903,95,165,257,957,1099,2058,226,336,561,199,115,314,12,26,37,38,54,87,250,191,445,2536,2769,5305,599,718,1312,1462,1644,3111,1495,1697,3191
POA2063,2413,2683,5093,1072,683,1755,352,593,941,101,123,225,61,55,113,1586,1454,3036,762,1151,1906,3.8,3.8,3.8,65.7,54.1,59.6,63.2,52,57.3,439,376,816,83,94,185,822,879,1704,156,300,459,136,81,218,8,15,19,28,71,101,174,165,338,2593,2784,5372,382,400,783,1839,1981,3820,1001,1065,2064
POA2064,3618,3816,7437,1829,1365,3196,489,798,1289,148,192,345,135,112,245,2597,2475,5079,889,1204,2097,5.2,4.5,4.8,71.8,64.9,68.3,68.1,61.9,64.9,686,726,1408,105,176,282,1232,1287,2519,300,371,663,231,156,393,15,21,31,42,65,114,290,243,531,3419,3538,6959,991,925,1917,2048,2171,4217,2132,2099,4228
POA2065,13239,14656,27900,7404,6243,13642,1635,2549,4185,558,853,1417,331,303,634,9934,9951,19880,2498,3737,6237,3.3,3.1,3.2,75,67.9,71.3,72.5,65.8,69,2569,2661,5224,423,658,1083,4871,5443,10315,1068,1361,2426,880,540,1419,39,81,124,151,238,389,1074,862,1937,10979,11986,22964,3487,3746,7229,5769,6604,12377,7967,8440,16406
POA2066,12878,14009,26883,6731,5244,11973,1838,2917,4756,617,841,1455,364,320,681,9545,9325,18866,2955,4235,7200,3.8,3.4,3.6,74.1,66.6,70.2,71.3,64.3,67.7,2258,2276,4530,394,633,1026,4287,4992,9274,1083,1458,2539,1089,586,1672,59,104,160,190,317,515,1340,1009,2349,12787,13511,26303,2752,2816,5573,7657,8175,15823,7038,7345,14381
POA2067,10569,11918,22484,4562,3371,7933,1496,2184,3679,563,734,1301,366,369,734,6991,6662,13652,3170,4779,7948,5.2,5.6,5.4,66.1,55.9,60.7,62.7,52.8,57.4,1959,2053,4012,251,331,579,3418,3842,7263,851,1223,2074,668,387,1056,51,84,137,163,201,364,879,675,1556,9516,10478,19992,2842,3097,5940,5375,6076,11445,6373,6925,13294
POA2068,6404,7122,13525,3051,2123,5175,934,1631,2561,270,401,675,153,159,311,4410,4317,8724,1835,2598,4436,3.5,3.8,3.6,68.9,60.6,64.5,66.5,58.3,62.2,953,964,1917,185,304,489,2109,2316,4427,492,749,1239,539,264,804,26,62,85,95,151,248,662,473,1140,6943,7504,14448,988,1146,2134,4840,5161,10004,2690,3100,5794
POA2069,5568,5978,11549,2487,1692,4179,878,1343,2229,262,340,607,164,132,297,3796,3509,7305,1647,2301,3949,4.3,3.7,4,68.2,58.7,63.3,65.2,56.5,60.7,1031,955,1988,180,248,436,1907,2016,3923,392,640,1033,360,150,507,21,42,66,64,136,201,445,325,771,5927,6191,12118,918,962,1882,4175,4358,8527,2406,2528,4932
POA2070,5391,6123,11516,2434,1687,4123,790,1308,2093,239,354,593,157,119,280,3621,3473,7088,1657,2522,4180,4.4,3.5,4,67.2,56.7,61.6,64.2,54.7,59.1,1121,1049,2164,154,280,431,1812,2050,3860,387,608,1000,289,183,478,14,21,41,71,135,210,379,347,727,5845,6355,12199,876,967,1844,3881,4206,8094,2534,2833,5364
POA2071,5196,5768,10960,2130,1517,3651,754,1191,1948,235,311,553,174,127,296,3300,3147,6447,1787,2458,4247,5.2,4.1,4.7,63.5,54.6,58.8,60.2,52.4,56.1,1046,935,1986,132,207,335,1728,1961,3686,401,585,983,248,148,399,19,37,54,55,142,193,324,325,647,5375,5731,11100,939,1008,1942,3689,3963,7658,2383,2559,4940
POA2072,3428,3828,7255,1547,1103,2650,488,820,1313,161,202,360,129,102,228,2325,2232,4553,1001,1468,2464,5.5,4.5,5,67.8,58.2,62.7,64.1,55.6,59.6,742,686,1425,92,139,228,1152,1282,2424,240,420,659,169,117,286,23,28,48,50,66,112,247,201,447,3249,3541,6792,778,858,1640,1853,2056,3906,2015,2186,4202
POA2073,6386,7160,13548,3014,2050,5061,962,1689,2649,313,428,743,213,169,379,4497,4337,8836,1760,2670,4428,4.7,4,4.3,70.4,60.6,65.2,67.1,58.2,62.4,1315,1208,2527,204,372,578,2185,2386,4567,436,684,1116,361,188,551,25,44,68,85,148,233,468,386,851,6859,7514,14370,1019,1189,2208,4814,5287,10099,2732,3068,5804
POA2074,8896,9973,18870,3919,2546,6462,1220,2186,3412,376,522,894,254,204,456,5763,5460,11228,2961,4233,7187,4.4,3.8,4.1,64.8,54.8,59.5,62,52.7,57.1,1689,1381,3073,273,420,693,2820,3129,5951,726,1153,1875,639,366,1003,39,70,110,147,265,416,827,706,1531,9524,10255,19777,1343,1431,2777,6533,7100,13632,3838,4076,7914
POA2075,8032,8967,16999,3605,2345,5951,1119,1917,3039,335,519,856,222,209,433,5284,4996,10278,2619,3815,6438,4.2,4.1,4.2,65.8,55.7,60.5,63,53.4,57.9,1496,1363,2858,207,334,539,2528,2747,5270,735,1057,1798,590,336,922,37,78,118,144,228,375,776,642,1412,8788,9492,18277,1372,1432,2808,5962,6469,12432,3716,4029,7742
POA2076,9786,10820,20606,4262,2814,7081,1292,2361,3650,449,626,1073,294,196,488,6291,6005,12295,3226,4435,7655,4.6,3.3,4,64.3,55.5,59.7,61.3,53.7,57.3,1702,1446,3152,295,454,742,2927,3254,6181,807,1209,2017,861,422,1285,50,75,124,145,284,428,1060,784,1841,10399,10960,21361,1503,1605,3103,7321,7719,15036,4038,4334,8377
POA2077,16638,17879,34521,7877,5599,13472,2402,3896,6300,859,1067,1922,533,491,1029,11666,11052,22719,4312,6133,10440,4.6,4.5,4.5,70.1,61.8,65.8,66.9,59.1,62.8,2562,2550,5107,384,635,1021,4682,5337,10018,1574,2038,3605,1990,1185,3176,96,155,253,240,430,677,2334,1772,4103,16412,17226,33636,3531,3634,7162,9378,9957,19337,9405,9807,19212
