POA_CODE_2021,Num_mot_veh_per_dwg_None_Dwgs,Nu_mo_veh_pe_dw_1_mo_veh_Dwgs,Nu_mo_ve_pe_dw_2_mot_veh_Dwgs,Nu_mo_ve_pe_dw_3_mot_veh_Dwgs,Nu_mo_ve_pe_dw_4_mo_veh_Dwgs,Num_mot_veh_per_dwg_Tot_Dwgs,Num_mot_veh_ns_Dwgs,Total_Dwellings
POA2840,86,309,242,108,76,819,186,1001
POA2842,8,93,105,41,29,271,37,304
POA2843,18,138,161,62,50,427,81,509
POA2844,32,191,171,70,61,530,58,589
POA2845,26,243,284,123,77,748,38,785
POA2846,3,33,47,22,10,116,12,134
POA2847,51,305,327,169,97,943,75,1022
POA2848,54,324,209,69,45,706,81,786
POA2849,17,200,235,123,87,655,78,736
POA2850,311,2102,2797,1131,684,7022,617,7641
POA2852,48,425,496,235,177,1387,121,1512
POA2864,5,73,124,60,37,305,23,328
POA2865,12,84,134,64,54,349,31,372
POA2866,44,331,436,188,120,1122,92,1215
POA2867,10,53,97,45,22,218,23,245
POA2868,4,74,80,25,24,208,11,221
POA2869,48,193,196,81,47,569,109,676
POA2870,289,1652,1679,544,386,4553,341,4895
POA2871,190,1253,1262,466,254,3424,348,3771
POA2873,7,74,70,46,30,228,28,253
POA2874,10,38,39,30,19,133,16,149
POA2875,13,94,97,62,49,317,30,341
POA2876,5,40,38,44,34,162,24,179
POA2877,85,455,451,181,118,1288,162,1453
POA2878,10,44,30,16,18,119,22,140
POA2879,27,109,68,17,18,246,50,302
POA2880,723,3309,2459,757,354,7599,660,8260
POA2898,45,85,30,3,0,170,31,193
POA3000,15582,5519,534,53,49,21742,2341,24085
POA3002,469,1308,559,75,47,2458,142,2598
POA3003,1402,1968,401,61,20,3853,230,4079
POA3004,1214,3588,850,98,27,5790,460,6244
POA3006,4863,6050,967,82,32,11987,765,12752
POA3008,3094,3587,771,97,36,7588,808,8397
POA3011,1812,5161,1955,346,122,9398,651,10047
POA3012,1133,4927,3384,724,279,10455,666,11117
POA3013,571,2756,2142,431,143,6042,232,6276
POA3015,393,2874,2826,563,241,6888,258,7146
POA3016,523,2444,2281,597,267,6117,227,6343
POA3018,457,2384,2018,472,229,5561,246,5811
POA3019,435,1431,1057,314,137,3382,279,3661
