POA_CODE_2021,P_Yr_8_bel_15_19_yr,P_Yr_8_bel_20_24_yr,P_Yr_8_bel_25_34_yr,P_Yr_8_bel_35_44_yr,P_Yr_8_bel_45_54_yr,P_Yr_8_bel_55_64_yr,P_Yr_8_bel_65_74_yr,P_Yr_8_bel_75_84_yr,P_Yr_8_bel_85_yr_over,P_Yr_8_bel_Tot,P_Did_not_go_to_school_15_19,P_Did_not_go_to_school_20_24,P_Did_not_go_to_school_25_34,P_Did_not_go_to_school_35_44,P_Did_not_go_to_school_45_54,P_Did_not_go_to_school_55_64,P_Did_not_go_to_school_65_74,P_Did_not_go_to_school_75_84,P_Did_not_go_to_school_85ov,P_Did_not_go_to_school_Tot,P_High_yr_sch_ns_15_19_yr,P_High_yr_sch_ns_20_24_yr,P_High_yr_sch_ns_25_34_yr,P_High_yr_sch_ns_35_44_yr,P_High_yr_sch_ns_45_54_yr,P_High_yr_sch_ns_55_64_yr,P_High_yr_sch_ns_65_74_yr,P_High_yr_sch_ns_75_84_yr,P_High_yr_sch_ns_85_yr_over,P_High_yr_sch_ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
POA2037,3,0,11,17,24,53,68,59,22,257,0,3,9,0,14,28,29,13,10,104,35,98,228,153,123,129,111,61,14,955,278,1549,3728,2682,1956,1821,1441,660,168,14286
POA2038,0,0,0,6,0,5,25,23,29,84,0,0,0,0,0,9,10,8,8,26,23,25,89,79,65,62,67,40,23,478,157,522,1607,1553,1424,1039,797,334,128,7559
POA2039,0,0,0,0,5,4,23,23,9,67,0,0,0,0,0,4,3,4,3,16,11,7,34,48,44,25,30,17,8,224,107,335,1270,1585,1321,931,785,333,57,6716
POA2040,0,0,11,12,18,45,117,162,116,480,0,0,6,6,8,13,21,44,37,127,29,55,149,146,125,85,91,127,110,913,371,1087,3244,4010,3572,2358,1664,845,424,17569
POA2041,0,0,0,6,13,28,30,51,23,149,0,0,0,6,3,3,6,3,9,32,23,21,65,103,79,80,78,66,54,568,221,559,1763,2423,2518,2049,1643,831,233,12243
POA2042,0,0,9,14,12,42,61,71,45,240,0,0,16,3,8,9,14,24,12,88,36,91,230,149,120,109,64,41,22,850,267,1686,5126,3199,2481,1774,1006,388,137,16065
POA2043,0,0,5,7,0,19,20,17,3,71,0,0,5,0,3,6,3,3,0,28,10,8,113,67,30,34,27,11,3,301,92,466,3041,2190,1209,780,347,139,35,8291
POA2044,0,0,7,7,14,29,70,74,36,237,0,0,5,5,9,8,40,29,22,121,10,16,83,58,31,27,35,19,7,283,119,437,1821,1641,1074,747,563,255,102,6757
POA2045,0,0,0,0,4,7,76,162,143,388,0,0,0,0,0,0,15,23,30,70,15,0,12,12,24,11,43,24,10,150,171,365,511,654,1038,926,697,436,278,5068
POA2046,0,0,12,13,21,68,215,389,271,990,0,0,7,11,18,19,51,91,59,262,20,47,147,154,93,110,150,146,175,1048,458,1114,3137,4116,4049,3369,2711,1670,864,21492
POA2047,0,0,0,0,9,19,38,81,60,205,0,0,0,0,4,3,10,16,18,50,14,20,81,63,52,38,46,79,109,505,187,543,1682,1762,1685,1480,1163,748,398,9644
POA2048,0,0,4,0,4,11,38,73,40,166,0,0,4,3,0,10,9,26,13,71,6,30,60,47,33,34,37,39,19,302,120,547,1603,1209,1148,740,468,312,127,6283
POA2049,5,0,3,12,5,32,68,94,48,269,0,0,9,10,9,7,20,31,16,98,18,58,193,117,82,75,76,64,61,745,187,894,2879,2058,1628,1167,810,433,192,10254
POA2050,0,0,3,0,3,10,17,16,6,56,0,0,0,9,0,3,0,6,0,26,18,64,185,147,143,120,143,120,115,1059,412,1179,2628,1723,1169,835,553,287,157,8950
POA2060,0,0,10,11,0,6,16,11,12,64,0,0,8,0,5,11,11,5,9,44,25,34,196,157,92,91,68,77,34,767,173,826,3555,2666,1754,1573,1308,864,263,12996
POA2061,0,0,3,0,0,3,4,11,12,41,0,0,4,0,0,4,8,5,8,24,0,22,103,60,60,79,71,61,28,476,30,274,1345,933,704,831,720,499,145,5483
POA2062,0,0,0,0,6,0,16,12,8,44,0,0,0,0,0,0,0,0,4,11,9,7,13,22,30,15,25,29,7,154,85,226,1012,1217,1054,739,630,352,80,5408
POA2063,0,0,0,5,3,3,12,22,16,63,0,0,0,0,0,0,0,7,3,14,9,8,21,19,22,12,25,26,42,180,138,293,364,750,1019,829,653,411,269,4718
POA2064,0,0,5,3,6,11,22,16,20,88,0,0,5,18,6,7,10,9,10,54,12,8,67,73,42,19,34,20,6,288,128,463,1441,1897,1218,847,678,334,151,7152
POA2065,0,0,6,8,9,20,60,60,41,204,0,0,8,15,6,15,19,16,8,86,40,70,331,327,193,220,259,232,210,1881,394,1596,6926,6319,4099,3171,2667,1463,601,27232
POA2066,3,0,5,14,10,28,58,69,48,230,0,0,5,14,15,10,19,21,23,107,32,36,183,199,97,82,95,81,103,905,564,1567,4992,5925,4486,3350,2581,1534,694,25683
POA2067,0,7,11,14,40,43,110,97,72,383,0,0,45,37,35,40,43,31,29,267,39,61,222,206,131,95,114,98,50,1012,432,1661,4351,4876,3531,2605,2237,1224,668,21585
POA2068,0,0,3,3,10,23,58,100,64,256,0,0,7,4,3,7,23,24,19,80,16,17,38,62,57,51,43,48,73,407,351,827,1274,2440,2824,2116,1511,880,449,12672
POA2069,0,4,4,4,3,9,33,28,17,98,0,0,7,7,3,3,21,7,10,54,9,27,29,43,33,43,47,51,55,334,323,837,1189,1919,2197,1734,1378,827,379,10790
POA2070,0,0,0,8,5,13,33,28,19,112,0,0,3,10,0,13,14,9,14,53,14,12,33,50,41,30,37,45,15,275,321,796,1199,2052,2153,1692,1326,857,408,10801
POA2071,0,0,0,0,9,13,29,27,21,97,0,0,3,0,13,11,16,7,8,58,23,18,24,30,40,37,45,50,83,345,311,859,1118,1669,2069,1694,1244,814,428,10215
POA2072,0,0,0,0,0,10,15,4,11,54,0,0,8,12,8,14,8,6,6,62,26,26,43,45,46,29,30,17,9,257,206,573,1056,1291,1318,1024,750,421,181,6823
POA2073,0,0,7,4,3,13,34,21,14,100,0,0,9,14,8,11,7,6,10,57,22,21,38,44,51,47,52,35,14,315,398,994,1305,2331,2641,2210,1563,837,352,12625
POA2074,0,0,0,7,5,11,15,46,45,139,0,0,0,9,14,3,9,9,14,58,21,14,43,44,37,64,67,127,153,573,539,1221,1533,2911,3428,2825,2207,1912,1168,17742
POA2075,0,0,0,3,4,11,40,57,38,156,0,0,7,8,0,8,7,4,5,52,13,10,21,45,52,51,67,59,46,356,390,1019,1281,2974,3212,2584,2130,1669,732,15994
POA2076,0,0,0,4,16,17,46,47,57,196,0,0,11,13,14,25,17,9,9,94,33,18,48,75,83,75,90,156,236,814,636,1363,1728,3296,3823,3042,2366,1899,1238,19388
POA2077,0,3,17,21,48,86,148,112,79,521,0,0,45,45,43,49,56,34,30,304,50,88,246,293,183,136,183,174,174,1528,729,2297,6071,8111,5562,4333,3469,1820,804,33193
POA2079,0,0,5,0,8,17,14,20,24,81,0,3,0,5,5,7,3,5,0,29,0,5,26,23,21,12,17,12,5,120,193,410,831,1151,1188,1075,616,330,95,5885
POA2080,0,0,0,0,5,0,0,6,9,15,0,0,0,0,0,0,0,0,0,0,5,0,5,3,4,11,4,3,0,30,50,81,133,236,278,240,161,92,23,1294
POA2081,0,0,3,6,7,4,15,16,6,53,0,0,0,3,0,3,0,0,0,4,0,4,3,9,9,4,13,9,0,50,155,300,395,686,876,758,446,284,53,3954
POA2082,0,0,3,0,0,7,13,19,10,58,0,0,0,3,0,0,5,0,0,10,6,0,3,3,13,9,7,14,8,68,141,265,327,759,923,637,572,290,71,3988
POA2083,0,0,0,0,0,9,11,8,5,27,0,0,0,0,0,0,0,0,0,0,7,3,9,9,19,16,18,9,0,95,27,77,139,180,254,339,236,128,18,1398
POA2084,0,5,0,4,0,8,7,21,11,57,0,0,0,0,7,5,3,3,0,19,5,4,11,5,16,17,12,3,6,77,91,207,246,379,606,530,417,298,141,2905
POA2085,0,0,5,4,13,14,54,59,48,186,0,0,0,0,5,0,6,3,6,29,8,5,11,4,20,21,30,89,54,242,290,592,579,1258,1870,1260,1204,1133,486,8681
POA2086,0,0,8,11,15,12,32,47,21,144,0,0,0,7,9,7,5,5,7,51,24,22,49,48,65,66,75,90,72,519,377,769,1066,1905,2395,1601,1162,932,314,10530
POA2087,0,0,3,0,10,25,38,53,33,159,0,0,0,0,4,14,6,10,14,51,12,16,27,38,33,49,30,59,79,339,328,716,704,1581,2213,1573,1025,979,457,9571
POA2088,0,0,7,4,8,9,20,35,44,122,0,0,8,7,9,12,5,7,10,54,43,39,90,120,122,101,94,133,100,842,494,1310,2922,3598,4102,3568,2961,2148,910,22007
POA2089,0,0,0,4,0,8,9,14,7,46,0,0,4,3,4,5,4,0,0,17,11,12,70,79,33,39,60,53,60,420,131,581,2419,1994,1373,1176,967,594,236,9475
POA2090,0,0,0,4,0,6,22,13,10,62,0,0,5,4,6,8,3,5,0,24,17,16,60,76,49,49,46,38,28,387,179,593,2195,2181,1815,1545,1443,815,260,11022
POA2092,0,0,0,0,0,0,12,23,13,54,0,0,3,0,0,0,0,3,0,7,11,10,21,23,26,23,19,13,10,159,168,360,427,891,1303,892,577,379,155,5157
POA2093,3,0,3,3,4,17,37,52,47,175,0,0,0,3,3,9,4,6,15,49,30,29,80,67,82,66,56,46,35,476,465,1062,2301,3313,3855,2714,1832,1106,526,17187
POA2094,0,0,0,0,3,0,0,9,3,19,0,0,0,0,0,0,0,0,0,3,3,8,34,50,22,16,7,0,0,148,98,257,926,962,829,763,501,307,98,4747
POA2095,0,4,3,0,3,5,17,28,27,100,0,0,0,5,3,0,5,9,4,24,27,37,168,130,93,67,60,65,52,697,227,732,3508,2782,1988,1799,1257,835,362,13495
POA2096,0,0,6,3,5,17,20,27,16,99,0,0,4,6,3,0,3,5,3,25,11,18,69,72,69,32,27,22,8,337,244,694,2680,2342,2199,1587,1019,546,190,11512
POA2097,0,0,0,9,5,19,55,71,38,210,0,0,3,0,8,10,17,11,4,53,26,22,59,61,89,58,38,41,29,419,435,935,1599,2054,2503,1944,1369,890,386,12119
POA2099,4,6,22,67,64,94,175,208,116,761,0,5,27,69,81,59,55,50,43,380,48,78,277,258,182,164,166,157,113,1451,830,2532,6444,6620,6073,4765,3221,2160,918,33557
POA2100,6,0,9,19,16,55,102,100,79,371,3,0,7,8,24,17,22,21,25,120,29,28,75,93,78,58,81,120,146,704,510,1235,2151,3001,3474,2559,1753,1133,585,16408
POA2101,3,0,3,3,13,27,39,80,82,251,3,0,6,4,7,5,6,3,3,35,38,27,85,95,87,81,98,117,166,794,415,934,2085,2554,2721,2430,1953,1450,957,15497
POA2102,0,0,0,0,4,9,20,21,15,60,0,0,3,0,3,3,0,0,3,16,18,9,10,48,40,23,40,97,166,463,201,397,647,1187,1295,886,670,529,300,6111
POA2103,0,0,0,4,9,20,35,48,34,141,0,0,0,3,7,6,0,10,8,34,22,15,45,47,52,51,69,112,103,525,239,584,948,1177,1506,1448,1354,926,437,8619
POA2104,0,0,0,0,0,0,13,16,26,49,0,0,0,0,0,0,0,5,9,12,6,3,8,9,16,27,34,61,47,205,78,147,179,240,455,542,610,617,298,3158
POA2105,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,3,3,8,9,9,15,12,19,15,0,84,48,79,97,168,339,388,298,148,33,1607
POA2106,0,0,6,5,0,5,10,15,13,54,0,0,3,0,5,5,0,0,0,18,13,17,34,32,38,48,24,39,15,263,227,548,952,988,1440,1572,1120,591,162,7604
POA2107,0,0,0,3,0,9,13,20,13,69,0,0,0,0,0,4,3,0,0,10,23,22,37,47,55,53,49,58,73,412,351,753,927,1607,2254,2359,1972,1072,401,11698
POA2108,0,0,0,0,0,0,0,6,3,14,0,0,0,0,0,0,0,0,0,0,3,3,6,3,10,13,6,13,9,73,40,68,126,147,224,360,353,242,40,1598
POA2110,6,0,0,3,0,17,24,31,38,114,0,0,4,0,5,3,5,3,0,18,20,16,33,40,51,48,66,125,247,651,248,516,608,1033,1451,1208,1064,725,592,7441
POA2111,0,0,7,7,8,31,84,133,83,349,0,0,0,6,8,10,9,28,20,81,15,18,62,70,60,47,41,81,116,506,262,795,2228,2295,2189,1771,1372,843,413,12186
POA2112,5,0,9,36,41,109,215,270,186,870,3,4,35,46,28,54,59,69,59,360,41,73,300,256,141,177,158,149,169,1466,651,2177,6743,6410,4485,4147,2975,1655,892,30139
POA2113,5,3,14,11,12,47,92,92,73,350,0,6,47,22,17,40,31,27,26,210,60,169,422,253,211,183,117,66,64,1542,675,2513,6282,4641,2933,2572,1792,1054,640,23101
POA2114,0,6,3,22,27,82,115,112,64,431,3,4,31,29,25,33,47,39,28,239,16,60,176,171,85,90,106,92,82,879,386,1527,4839,4354,2954,2790,2122,1065,448,20487
POA2115,0,0,11,19,31,71,111,69,22,339,0,0,3,15,14,39,30,22,17,144,34,33,108,84,84,62,67,64,48,586,290,717,1913,2026,1577,1453,1033,492,226,9726
POA2116,0,0,5,7,21,17,44,30,22,157,0,0,8,3,7,20,15,14,5,81,22,11,71,69,32,47,39,35,11,335,187,429,1038,1061,1004,922,547,297,108,5588
POA2117,3,7,17,35,58,88,103,119,76,494,0,3,12,25,20,57,45,36,17,214,47,63,121,151,122,138,124,74,73,920,525,1349,2659,3242,3066,2895,1898,999,454,17086
POA2118,0,8,18,25,40,51,118,115,57,427,0,0,20,25,29,52,55,35,26,247,33,46,118,148,96,98,76,65,28,700,497,1555,3168,4745,3366,3162,2432,1442,553,20918
POA2119,0,0,4,0,3,7,20,17,7,62,0,0,0,5,8,4,10,3,3,35,19,15,23,45,34,44,27,50,60,319,307,683,861,1564,1833,1587,1296,874,338,9349
POA2120,0,0,9,0,13,29,56,69,42,215,5,0,7,16,13,19,17,42,21,135,17,34,50,57,51,41,46,44,17,360,450,1264,1738,2882,3266,2622,1968,1229,426,15851
POA2121,0,4,9,10,24,46,97,67,60,316,0,11,40,26,30,43,39,28,23,249,25,62,210,186,86,65,101,63,41,836,619,2149,5206,5634,4156,3711,2808,1370,637,26284
POA2122,0,0,20,29,46,82,188,168,149,680,0,7,45,24,34,56,40,66,49,332,46,86,249,178,146,138,107,99,58,1105,525,2058,4913,4806,3657,3689,3028,1651,862,25186
POA2125,0,3,6,6,3,23,63,45,42,185,0,0,5,8,4,9,14,19,22,80,7,10,37,47,38,26,50,46,16,281,374,1005,1348,2110,2183,2425,2128,877,286,12737
POA2126,0,0,0,4,7,22,57,41,33,179,0,0,5,3,9,18,14,8,16,85,19,7,26,49,38,39,53,88,120,436,518,1108,1357,2550,2811,2614,2045,1002,504,14509
POA2127,0,0,16,18,21,23,47,29,5,156,0,9,57,45,23,20,23,10,3,182,34,60,371,227,84,53,48,23,4,901,255,1390,7198,4893,2303,1624,1054,319,61,19091
POA2128,0,0,5,9,9,10,9,3,5,50,0,0,13,14,9,0,6,5,3,57,23,151,516,455,226,75,33,15,4,1495,64,287,939,885,480,267,146,53,16,3137
POA2130,0,0,0,4,7,14,24,34,37,122,0,5,3,9,12,4,11,19,25,86,6,27,60,48,26,34,39,23,5,263,91,445,1611,1240,982,752,505,234,131,5982
POA2131,5,4,21,30,58,72,172,241,172,768,0,6,44,32,25,46,48,50,52,307,24,94,269,132,107,118,115,134,192,1185,309,1931,5208,3525,2560,2353,1819,1233,816,19752
POA2132,0,3,11,14,18,47,110,151,97,443,0,0,15,21,8,14,44,58,43,206,8,18,35,49,33,49,75,75,116,462,210,658,1403,1394,1458,1337,998,700,448,8607
POA2133,0,0,0,7,20,54,146,179,69,489,0,3,10,7,13,16,51,49,38,192,22,16,53,57,70,50,44,31,19,367,262,621,1288,1438,1624,1380,1076,578,245,8511
POA2134,0,13,54,39,48,58,115,144,103,569,0,26,97,46,53,38,48,40,55,401,26,197,380,150,106,92,83,77,84,1188,310,2691,5112,2325,1743,1659,1168,659,415,16082
POA2135,0,7,18,17,24,61,111,185,104,522,0,23,64,18,19,44,50,47,50,317,50,258,408,157,115,103,103,87,87,1354,516,3861,5842,2897,2554,2697,1904,1251,702,22239
POA2136,0,0,5,8,14,25,67,97,55,280,0,0,11,3,5,14,15,29,19,97,14,13,58,69,46,32,41,69,37,384,186,497,1125,1111,1030,973,658,445,196,6221
POA2137,0,0,0,14,22,62,205,262,223,792,0,0,11,17,16,28,50,72,54,252,31,52,155,125,116,89,110,104,73,853,507,1552,3668,3842,3831,3464,2776,1685,716,22033
POA2138,0,6,9,6,13,36,89,112,40,299,0,5,48,18,10,18,28,32,17,180,45,84,310,191,138,142,201,191,144,1452,320,1405,5354,3581,2024,1779,1405,731,307,16911
POA2140,0,0,27,31,51,48,51,45,20,275,0,11,54,25,28,47,21,18,14,229,31,162,474,253,73,75,49,26,6,1149,269,2069,6839,3702,1592,1364,782,341,122,17082
POA2141,3,10,91,110,182,299,306,228,96,1330,0,15,142,112,114,205,163,108,73,937,66,170,564,304,240,195,133,80,67,1822,613,2790,7601,4652,3653,3741,2334,1061,443,26881
POA2142,4,4,79,121,167,198,243,145,57,1011,5,14,109,111,105,164,157,113,55,839,110,273,641,414,266,237,152,82,21,2198,649,2764,6523,4286,2796,2388,1672,754,248,22081
POA2143,0,3,24,48,59,113,98,61,34,435,3,5,30,30,34,98,70,28,29,336,21,50,98,82,58,58,53,32,14,465,263,732,1602,1263,1123,1209,790,339,145,7476
POA2144,3,46,221,304,401,413,430,286,116,2218,6,56,309,290,391,342,259,184,77,1920,138,436,865,504,379,346,263,163,119,3202,889,4544,8955,5299,3971,3640,2277,1200,524,31295
POA2145,4,14,92,152,220,366,688,687,303,2525,0,25,107,122,122,177,190,176,129,1060,254,373,1223,1088,637,568,584,586,493,5799,1804,5232,14824,16122,9660,7895,6279,3853,1596,67264
POA2146,0,3,21,36,40,73,134,135,60,498,0,0,23,23,35,26,38,25,16,188,43,86,210,170,113,86,54,70,23,864,435,1176,3070,3313,2339,1900,1433,851,256,14779
POA2147,8,10,44,63,113,195,326,256,151,1158,0,6,23,29,34,60,64,64,42,323,100,153,363,289,225,203,209,163,81,1796,926,2362,5101,5591,4698,4231,3520,1751,641,28814
POA2148,11,25,89,145,214,346,607,561,344,2341,3,24,108,92,154,164,166,130,71,907,207,381,933,672,481,435,401,360,231,4102,1609,5081,11727,10563,7511,6753,5105,2845,1285,52492
POA2150,0,3,43,44,73,91,126,118,49,545,0,19,68,38,30,49,61,35,29,325,52,284,799,476,180,153,117,75,51,2194,401,3156,11049,7345,2577,2100,1433,661,276,29003
POA2151,0,0,14,22,29,67,115,115,63,423,0,3,16,22,17,24,36,35,19,178,44,50,187,203,132,124,105,110,97,1065,406,1151,2914,3664,2812,2353,1789,1075,439,16607
POA2152,0,3,0,8,16,15,47,56,39,192,0,0,6,10,6,7,9,3,10,47,10,23,61,63,41,31,72,70,58,425,213,542,1460,1830,1499,1099,932,747,340,8667
POA2153,11,4,11,15,39,109,261,288,178,925,7,3,18,32,39,41,66,47,50,297,64,67,209,273,182,188,212,213,200,1616,1405,3370,6226,10369,8464,6785,5911,3602,1328,47467
POA2154,0,0,7,9,26,59,125,130,100,469,0,0,14,25,20,37,35,27,32,201,66,51,90,134,133,95,156,223,295,1246,936,2335,3418,5815,5807,4880,4159,2510,1338,31195
POA2155,7,11,15,33,52,95,251,218,85,765,0,7,30,30,44,69,57,40,34,305,94,124,283,355,218,151,135,143,127,1637,2143,4810,8505,13735,11226,6745,4303,2057,559,54076
POA2156,6,0,3,0,9,19,55,76,52,216,0,0,9,0,0,3,4,9,7,30,14,21,16,26,51,34,37,58,29,278,408,872,903,1307,1957,1772,1531,1128,438,10315
POA2157,5,0,0,4,6,12,25,28,17,104,0,0,0,0,0,0,3,15,7,25,6,6,10,10,13,17,12,14,3,95,133,250,340,481,612,534,425,222,62,3065
POA2158,0,0,0,3,7,15,32,52,30,142,0,3,8,6,15,10,0,10,11,70,13,18,27,26,31,49,35,62,60,319,247,550,737,889,1370,1225,930,698,306,6950
POA2159,3,0,5,0,0,4,11,38,23,88,0,0,0,0,4,0,5,7,5,24,14,7,15,32,28,19,20,20,13,171,154,253,436,514,737,732,578,414,183,4003
POA2160,4,25,167,210,234,300,407,329,165,1850,3,31,218,253,243,235,206,154,82,1413,197,291,797,628,408,355,219,157,74,3127,1046,2935,7088,5749,4383,3964,2619,1448,626,29851
POA2161,7,20,151,243,269,341,325,240,147,1750,3,33,178,204,244,270,207,169,47,1362,209,230,564,499,338,269,221,152,123,2607,1124,2497,5867,4497,3597,3355,2239,1217,549,24931
POA2162,4,13,44,115,163,232,221,152,109,1052,8,15,42,76,95,161,117,86,53,638,113,127,224,263,209,176,145,99,106,1474,675,1464,2684,2490,2417,2356,1549,754,470,14850
POA2163,0,10,19,90,104,152,130,76,61,648,5,3,39,51,76,101,80,41,21,417,70,97,303,279,204,149,110,79,66,1362,350,764,1545,1358,1311,1206,915,375,227,8055
POA2164,7,35,140,166,212,262,391,335,136,1681,8,25,111,97,150,205,242,175,139,1152,52,70,136,146,123,140,171,116,75,1024,579,1318,2785,2544,2610,2575,2100,1170,484,16170
