POA_CODE_2021,OO_DS_Sep_hse,OO_DS_Sde_row_or_ter_h_t,OO_DS_Flt_apt,OO_DS_Oth_dwel,OO_DS_NS,Owned_Outright_Total,OWM_DS_Sep_hse,OWM_DS_Sde_row_or_ter_h_t,OWM_DS_Flt_apt,OWM_DS_Oth_dwel,OWM_DS_NS,Owned_with_mortgage_Total,R_REA_DS_Sep_hse,R_REA_DS_Sde_row_or_ter_h_t,R_REA_DS_Flt_apt,R_REA_DS_Oth_dwel,R_REA_DS_NS,R_Real_estate_agent_Total,R_SteTer_h_auth_DS_Separat_hs,R_ST_h_aut_DS_Sd_r_ter_h_t,R_SteT_h_auth_DS_Flt_apt,R_SteTer_h_auth_DS_Oth_dwel,R_SteTer_h_auth_DS_NS,R_SteTer_h_auth_Total,R_Com_hs_pr_DS_Sep_hse,R_Com_hs_pr_DS_Sd_ro_ter_h_t,R_Com_hs_pr_DS_Flt_apt,R_Com_hs_pr_DS_Oth_dwel,R_Com_hs_pr_DS_NS,R_Com_hs_pr_Total,R_Psn_ns_HH_DS_Sep_hse,R_Psn_ns_HH_DS_Sd_r_te_h_t,R_Psn_ns_HH_DS_Flt_apt,R_Psn_ns_HH_DS_Oth_dwe,R_Psn_ns_HH_DS_NS,R_Psn_ns_HH_Total,R_Oth_llord_type_DS_Sep_hse,R_Oth_lld_typ_DS_S_ro_ter_h_t,R_Oth_lld_type_DS_Flt_apt,R_Oth_llord_type_DS_Oth_dwel,R_Oth_llord_type_DS_NS,R_Oth_llord_type_Total,R_Llord_type_NS_DS_Sep_hse,R_Lld_ty_NS_DS_Sd_row_ter_h_t,R_Llord_typ_NS_DS_Flt_apt,R_Llord_type_NS_DS_Oth_dwel,R_Llord_type_NS_DS_NS,R_Llord_type_NS_Total,R_Total_DS_Sep_hse,R_Total_DS_Sde_row_or_ter_h_t,R_Total_DS_Flt_apt,R_Total_DS_Oth_dwel,R_Total_DS_NS,R_Total_Total,Oth_tenu_typ_DS_Sep_hse,Oth_ten_typ_DS_Sd_row_ter_h_t,Oth_tenu_typ_DS_Flt_apt,Oth_tenu_typ_DS_Oth_dwel,Oth_tenu_typ_DS_NS,Oth_tenu_typ_Total,Tenu_typ_NS_DS_Sep_hse,Ten_ty_NS_DS_Sd_row_ter_h_t,Tenu_typ_NS_DS_Flt_apt,Tenu_typ_NS_DS_Oth_dwel,Tenu_typ_NS_DS_NS,Tenu_typ_NS_Total,Total_DS_Sep_hse,Total_DS_Sde_row_or_ter_h_t,Total_DS_Flt_apt,Total_DS_Oth_dwel,Total_DS_NS,Total_Total
POA2019,488,232,254,4,4,988,604,468,902,5,0,1982,138,190,1101,20,3,1448,6,68,100,0,0,177,6,5,19,0,0,35,37,19,81,8,0,148,4,25,63,5,0,98,0,0,6,0,0,8,200,306,1378,29,5,1911,18,4,21,0,0,43,46,29,206,6,0,290,1360,1048,2764,38,13,5220
POA2020,743,99,464,5,0,1314,597,114,1267,5,3,1992,232,63,3629,23,14,3953,7,20,45,0,0,73,5,0,24,0,0,30,68,19,350,4,5,445,6,4,133,0,4,143,4,0,17,0,0,22,325,100,4197,26,21,4668,19,4,80,0,0,108,61,20,378,0,11,476,1754,341,6387,35,34,8553
POA2021,183,1172,379,8,0,1745,183,1073,375,9,0,1643,73,929,1509,24,0,2536,0,7,35,0,0,43,0,4,11,0,0,16,17,209,226,8,0,458,8,11,15,0,0,37,0,0,7,0,0,8,91,1166,1802,37,4,3098,12,32,82,0,0,129,13,88,130,3,0,244,484,3538,2762,60,4,6850
POA2022,311,513,637,61,0,1520,216,539,416,26,0,1198,80,314,1670,129,6,2212,0,6,51,0,0,53,0,6,36,0,4,47,24,77,235,26,0,365,4,6,33,3,0,48,0,0,9,4,0,9,110,412,2035,166,10,2736,7,17,54,6,0,91,20,42,303,35,0,400,662,1522,3440,300,16,5941
POA2023,742,79,623,0,0,1442,497,51,622,0,0,1161,69,25,1026,13,0,1138,0,0,0,0,0,0,0,0,6,0,0,6,34,10,157,0,0,194,6,0,11,0,0,13,0,0,3,0,0,6,103,38,1198,12,5,1359,27,5,46,0,3,79,42,4,123,0,0,164,1401,171,2610,16,6,4213
POA2024,547,312,345,5,0,1212,413,380,376,3,0,1173,56,158,1092,30,4,1349,0,0,62,0,0,68,0,0,7,0,0,13,34,27,194,6,3,262,0,0,9,0,0,11,0,0,7,0,0,10,93,191,1378,39,9,1706,20,9,30,0,0,53,39,37,161,5,4,239,1112,925,2290,54,11,4393
POA2025,285,402,389,0,0,1072,178,249,301,5,0,730,44,195,598,0,3,838,0,0,13,0,0,13,0,6,6,0,0,12,16,53,113,4,6,181,0,5,9,0,0,12,0,0,0,0,0,0,53,257,739,4,4,1057,8,21,94,0,0,121,25,32,59,5,0,124,552,965,1576,11,9,3114
POA2026,565,727,1410,15,0,2709,494,850,1535,14,0,2892,128,354,5626,44,12,6164,0,0,213,0,0,209,7,4,39,0,0,47,58,117,998,14,0,1192,3,0,83,5,4,92,0,5,30,0,0,31,197,481,6988,59,19,7740,14,19,192,0,0,221,69,88,696,10,3,871,1342,2160,10812,94,27,14436
POA2027,194,194,1018,0,5,1413,94,107,439,0,5,649,23,78,1049,0,0,1156,0,0,0,0,0,0,0,0,3,0,0,3,9,20,226,0,0,260,0,0,3,0,0,11,0,0,5,0,0,5,32,103,1297,0,8,1440,5,3,63,0,4,81,25,22,184,0,11,241,353,438,3002,0,30,3823
POA2028,173,80,478,0,0,731,70,59,284,0,0,414,34,37,669,10,5,752,0,0,0,0,0,0,0,0,0,0,0,0,10,11,145,3,0,169,0,0,4,0,0,4,0,0,0,0,0,0,44,44,822,14,5,925,4,3,43,0,0,52,10,7,78,0,0,100,303,195,1699,21,3,2220
POA2029,428,104,669,9,0,1214,289,144,506,13,0,954,55,53,1221,29,5,1363,0,0,9,0,0,9,0,3,10,0,0,17,28,15,240,7,0,290,3,0,15,0,0,22,0,3,9,0,0,7,82,76,1505,37,5,1710,10,16,63,0,0,101,32,23,148,9,0,212,852,371,2893,71,8,4194
POA2030,1364,175,415,27,3,1986,917,201,459,14,4,1591,176,61,602,27,3,862,0,0,6,0,0,3,0,0,8,0,0,13,75,23,118,13,0,236,16,3,6,5,5,29,0,0,3,0,0,3,257,89,741,48,10,1146,33,5,95,3,0,139,90,20,103,13,3,225,2662,480,1822,99,21,5083
POA2031,973,914,1439,36,0,3354,768,917,1595,30,4,3316,205,418,4725,155,4,5501,3,4,126,0,0,135,6,0,62,0,0,69,61,87,679,30,5,863,37,8,50,3,0,99,3,0,15,0,0,16,314,520,5661,185,9,6690,30,20,192,5,0,243,43,73,431,13,3,559,2126,2439,9313,266,19,14157
POA2032,880,251,270,4,0,1406,551,206,288,3,0,1044,265,200,1612,24,3,2100,58,271,163,0,0,487,10,7,40,0,0,55,82,39,203,4,0,332,14,8,15,0,0,29,7,0,4,0,0,11,428,528,2029,28,10,3014,32,36,27,0,0,95,61,68,157,0,5,289,1942,1083,2770,38,12,5850
POA2033,475,103,488,3,0,1071,287,69,459,0,0,814,97,104,1791,3,5,1999,5,0,44,0,0,52,0,0,36,0,0,36,32,21,227,0,5,283,3,0,40,0,0,46,0,0,4,0,0,4,140,128,2137,7,8,2416,8,6,40,0,0,63,25,13,181,0,3,213,934,314,3307,8,14,4582
POA2034,724,288,946,4,0,1962,555,350,876,4,0,1785,120,176,2819,21,0,3135,0,13,568,0,0,582,0,0,65,0,0,65,31,31,422,9,0,495,3,59,16,0,0,86,0,0,13,0,0,12,161,282,3905,25,4,4378,21,10,91,0,3,118,47,41,377,7,0,475,1504,964,6189,50,13,8717
POA2035,2324,850,885,20,0,4074,1446,972,912,8,4,3346,453,508,2622,63,9,3658,45,139,882,0,4,1071,10,21,77,0,0,109,134,97,323,4,3,559,12,15,26,0,0,51,8,0,16,0,0,18,661,785,3939,70,16,5466,59,29,188,4,0,281,143,106,447,11,0,714,4635,2737,6375,113,20,13882
POA2036,2028,464,795,3,3,3284,1556,653,1165,0,5,3377,407,375,2492,5,8,3287,67,383,568,0,0,1019,28,41,117,0,0,189,117,65,230,4,0,417,17,28,76,0,5,130,4,4,27,0,0,38,643,897,3520,10,15,5076,53,25,88,0,0,162,160,137,464,0,6,765,4431,2167,6022,16,24,12668
POA2037,106,803,495,9,4,1414,86,668,513,11,0,1288,68,796,1999,54,17,2933,39,662,270,0,0,963,4,30,202,0,0,238,16,217,220,14,7,479,0,10,11,0,0,25,0,15,7,0,0,18,126,1722,2714,69,25,4662,9,60,72,4,0,142,17,191,228,10,5,452,347,3445,4017,103,33,7949
POA2038,336,518,122,8,0,980,311,668,190,5,0,1169,151,463,623,28,4,1269,3,5,45,0,0,57,0,0,40,0,0,45,51,105,64,7,0,224,0,4,10,0,0,8,0,0,0,0,0,6,204,578,777,31,4,1607,15,18,12,0,0,46,30,56,88,5,0,186,895,1839,1191,51,7,3987
POA2039,327,317,296,8,0,945,393,557,217,5,0,1174,116,372,653,30,6,1170,0,33,17,0,0,52,0,0,0,0,0,3,36,80,58,9,0,189,0,17,9,4,0,26,4,0,0,0,0,5,158,505,738,42,3,1444,5,19,11,0,0,33,30,44,35,4,0,109,907,1443,1301,59,3,3707
POA2040,1319,654,284,6,0,2254,1477,1067,482,4,3,3036,624,722,1189,28,5,2567,24,27,344,0,0,394,22,19,45,0,0,87,127,139,117,3,0,386,7,16,20,5,0,49,0,4,5,0,0,11,809,915,1720,34,10,3492,28,30,24,0,0,82,82,69,198,8,0,363,3708,2740,2707,49,15,9225
POA2041,681,1060,338,0,0,2089,531,963,332,0,0,1834,177,609,1100,3,3,1890,5,35,252,0,0,292,0,0,38,0,0,38,50,131,133,9,0,316,0,6,12,0,0,22,0,4,0,0,0,3,234,784,1530,14,8,2562,17,30,32,0,0,79,33,96,126,10,0,261,1494,2932,2362,26,12,6826
POA2042,193,976,260,16,0,1447,225,1313,479,10,0,2028,146,1364,1915,165,12,3601,9,99,140,0,3,251,0,12,44,0,0,60,36,319,223,33,4,620,3,24,40,7,6,79,0,0,4,0,0,10,197,1815,2372,206,20,4617,13,47,21,10,0,90,22,159,167,30,0,378,644,4311,3299,268,24,8558
POA2043,48,298,233,0,0,582,59,600,826,0,0,1484,26,514,1461,10,3,2009,4,25,81,4,3,119,0,17,25,0,0,39,7,101,137,0,0,250,0,7,15,0,0,15,0,0,0,0,0,0,38,653,1720,12,5,2434,3,14,13,0,0,31,0,38,131,0,3,178,147,1607,2924,19,12,4711
POA2044,460,253,50,4,3,773,508,484,203,5,0,1200,247,282,382,21,4,939,5,4,0,0,0,11,4,0,5,0,0,14,77,68,42,0,0,200,0,6,0,0,0,10,0,5,0,0,0,5,337,369,434,24,0,1172,13,9,4,0,0,33,48,42,26,0,3,121,1365,1156,719,38,8,3289
POA2045,996,87,19,0,0,1104,578,87,27,0,0,692,133,45,93,3,0,286,0,32,0,0,0,36,0,0,0,0,0,0,42,7,13,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,172,92,111,11,3,386,24,3,0,0,0,32,33,14,8,5,0,57,1805,289,167,18,5,2280
POA2046,2358,400,903,14,0,3665,1714,413,1020,20,0,3176,518,312,1733,82,0,2643,46,98,260,0,0,398,3,4,103,0,0,113,114,44,218,18,0,398,11,3,11,0,0,26,3,0,9,0,0,11,696,466,2332,104,3,3595,53,21,59,3,0,145,131,53,206,4,7,407,4952,1352,4524,144,10,10984
POA2047,696,185,774,4,0,1660,595,201,594,11,5,1405,143,112,1185,44,8,1488,0,0,51,0,0,51,0,0,12,0,0,14,37,28,143,0,0,209,5,0,8,0,0,11,0,0,0,0,0,0,189,143,1396,46,5,1779,18,11,49,0,0,71,41,11,135,8,0,192,1529,547,2943,76,13,5103
POA2048,246,383,97,8,0,737,201,485,223,4,0,919,96,289,733,45,6,1164,4,4,34,0,0,43,5,0,4,0,0,10,26,57,93,13,4,191,0,9,5,0,0,9,0,0,3,0,0,7,131,363,864,53,7,1422,6,17,17,0,4,42,11,25,60,10,0,113,598,1282,1266,78,8,3228
POA2049,497,297,184,11,0,992,467,488,543,11,4,1509,198,248,1470,67,13,2000,5,4,75,0,0,89,18,11,93,5,0,112,50,55,164,22,3,290,3,13,25,0,0,40,0,5,8,0,0,7,271,322,1826,102,17,2539,15,10,25,0,0,49,30,25,176,14,4,241,1274,1147,2750,137,23,5339
POA2050,35,233,323,0,0,593,46,290,598,3,0,935,27,306,1703,11,4,2046,0,16,115,0,0,128,0,3,64,0,0,68,4,59,143,4,0,214,0,0,15,0,0,23,0,4,9,0,0,9,35,384,2047,15,4,2490,0,8,27,0,0,45,4,23,198,0,5,233,128,938,3197,21,10,4294
POA2060,361,463,909,0,7,1738,188,271,769,0,0,1227,98,328,3054,5,13,3500,0,10,21,0,0,29,5,4,32,0,0,40,20,82,362,0,4,461,5,3,46,0,4,56,0,0,16,0,0,19,124,428,3530,8,19,4111,7,29,121,0,0,171,19,55,273,0,0,349,703,1246,5605,11,26,7595
POA2061,69,65,666,0,0,805,22,25,338,0,0,384,10,21,1392,0,0,1429,0,0,176,0,6,184,0,0,70,0,0,77,0,10,217,0,0,230,0,0,6,0,0,6,0,0,7,0,0,7,17,31,1866,0,11,1921,0,4,53,0,0,69,3,6,244,0,3,262,115,140,3167,4,18,3443
POA2062,352,154,382,0,0,890,293,145,417,0,0,854,84,125,813,7,0,1021,0,0,19,0,0,23,0,0,13,0,0,18,26,30,140,0,0,205,0,0,3,0,0,6,0,0,4,0,0,4,105,153,996,9,0,1275,5,4,22,0,0,36,15,7,45,0,0,72,769,478,1868,17,7,3131
POA2063,850,55,128,0,0,1037,548,35,63,0,0,644,123,34,191,4,0,350,0,0,0,0,0,0,0,0,4,0,0,4,38,6,15,5,0,70,4,0,0,0,0,4,0,0,0,0,0,0,168,41,209,6,0,427,16,6,8,0,0,32,37,4,15,0,0,55,1619,139,424,6,0,2196
POA2064,438,75,386,0,0,906,282,112,445,0,0,840,61,112,1255,0,5,1434,0,0,120,0,0,121,0,0,67,0,0,71,28,10,129,3,0,173,0,0,5,0,0,10,0,0,6,0,0,6,90,130,1594,3,5,1817,9,3,54,0,0,65,7,8,124,0,0,148,828,333,2606,3,0,3771
POA2065,1188,612,1671,0,0,3470,913,571,1939,0,7,3431,359,424,5309,24,12,6126,0,6,110,0,0,116,0,10,84,0,0,89,114,88,558,5,0,762,4,0,41,0,0,48,0,0,14,0,0,17,485,520,6114,34,19,7164,33,23,158,0,0,211,41,34,370,8,4,456,2658,1766,10239,40,31,14740
POA2066,2361,199,1091,0,0,3666,2170,279,2129,0,0,4577,449,165,3013,9,4,3642,16,48,40,0,0,108,12,39,96,0,0,150,119,27,361,0,0,513,8,8,67,0,3,83,0,0,15,0,0,12,608,290,3593,9,14,4515,42,10,162,0,5,223,77,26,304,0,3,406,5264,809,7279,11,22,13387
POA2067,1438,142,1151,0,0,2728,1034,138,938,0,0,2108,421,112,3581,0,4,4125,5,0,54,0,0,66,0,3,48,0,0,55,128,24,383,0,4,544,13,5,80,0,0,102,0,0,18,0,0,23,573,146,4173,7,10,4906,62,17,189,0,0,265,83,29,277,0,3,386,3186,465,6724,4,14,10398
POA2068,1908,192,225,0,0,2331,1583,194,265,3,4,2053,400,132,570,29,5,1132,0,0,40,0,0,42,6,3,46,0,0,52,113,36,79,13,0,242,13,0,6,6,0,16,0,0,0,0,0,3,527,169,739,43,5,1484,51,12,15,3,0,73,73,5,46,4,5,137,4146,581,1290,52,9,6076
POA2069,1758,62,192,0,0,2013,1401,33,229,0,0,1667,331,28,489,0,3,861,8,0,0,0,0,3,3,0,0,0,0,5,99,4,55,3,0,166,5,0,0,0,0,8,5,0,0,0,0,7,447,45,556,5,5,1055,43,30,36,0,0,110,73,7,38,0,0,120,3728,170,1059,3,5,4966
POA2070,1420,41,507,0,0,1970,1204,27,397,0,0,1637,274,33,684,4,10,1000,0,0,3,0,0,3,0,0,14,0,0,14,61,9,80,0,0,149,10,8,37,0,0,54,6,0,7,0,0,10,347,47,825,4,11,1235,38,5,110,0,0,154,54,11,66,0,5,134,3066,140,1904,5,7,5126
POA2071,1435,33,410,3,0,1879,1120,8,415,0,0,1543,247,14,623,0,3,891,0,0,0,0,0,0,0,0,5,0,0,5,50,0,82,0,0,141,9,3,8,0,0,21,0,0,0,0,0,7,309,27,719,0,4,1056,32,30,32,0,0,91,54,5,34,0,0,97,2944,115,1606,0,4,4671
POA2072,699,40,294,6,0,1034,506,39,390,45,0,974,162,29,771,40,0,1003,0,0,3,0,0,3,0,0,4,0,0,4,47,4,64,3,0,116,0,0,14,0,0,12,0,0,3,0,0,3,213,37,848,45,0,1143,10,0,17,0,0,31,44,0,53,15,0,100,1473,116,1592,104,5,3286
POA2073,1950,57,178,0,0,2181,1989,30,313,0,0,2334,384,25,424,3,0,833,4,0,0,0,0,4,4,11,3,0,0,18,73,3,47,0,0,125,10,0,0,0,0,9,0,0,0,0,0,0,468,35,481,3,0,990,42,8,23,0,0,75,83,9,33,0,0,132,4536,138,1024,3,0,5708
POA2074,2627,167,621,3,0,3419,2532,109,392,0,0,3032,363,67,559,0,0,994,4,0,3,0,0,6,0,0,32,0,0,44,110,12,56,0,0,174,3,0,4,0,0,13,3,0,9,0,0,9,490,84,670,3,0,1244,110,6,168,0,4,286,88,5,75,0,0,166,5848,367,1919,10,7,8152
POA2075,2174,314,585,0,0,3073,2400,117,472,0,4,2993,384,51,505,0,0,937,0,0,0,0,0,0,3,0,6,0,0,7,91,11,60,0,0,159,7,0,6,0,0,19,0,0,0,0,0,0,487,60,573,0,3,1127,39,6,24,0,0,69,77,5,42,0,0,127,5179,506,1702,0,10,7399
POA2076,2559,243,352,0,0,3151,2926,177,272,0,0,3371,578,96,336,0,0,1011,8,31,36,0,0,78,9,25,33,0,0,69,129,22,60,0,0,211,26,3,4,0,0,44,0,3,3,0,0,15,749,183,481,4,3,1417,90,23,148,0,3,259,104,28,60,0,0,193,6424,659,1299,4,10,8390
POA2077,2418,165,1288,3,0,3872,2760,261,2604,3,0,5637,749,215,4026,17,3,5008,29,32,221,0,0,281,26,13,148,0,0,183,185,40,458,3,4,685,29,0,67,0,0,99,6,0,20,0,0,28,1020,302,4934,26,5,6282,67,18,107,0,0,192,146,19,365,4,0,534,6407,772,9302,34,18,16522
POA2079,840,25,22,0,0,890,1074,41,172,4,0,1290,227,24,119,0,0,371,3,0,0,0,0,6,6,0,0,0,0,6,69,6,9,0,0,88,8,0,0,0,0,7,4,0,0,0,0,4,310,26,131,0,0,470,7,0,0,0,0,9,34,3,22,0,0,62,2262,102,348,5,0,2716
POA2080,212,4,0,0,0,217,275,4,0,0,0,281,39,10,0,0,0,45,0,5,0,0,0,5,0,5,0,0,0,5,15,0,0,0,0,20,3,0,0,0,0,3,0,0,0,0,0,0,55,15,0,0,0,72,3,0,0,0,0,3,7,6,0,0,0,15,559,27,0,0,0,592
POA2081,650,32,0,0,0,683,830,33,0,0,0,866,136,15,5,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,41,8,0,0,0,49,3,0,0,0,0,3,0,0,0,0,0,0,185,25,5,0,0,209,8,0,0,0,0,8,24,0,0,0,0,24,1695,81,10,0,3,1795
POA2082,738,15,5,0,0,758,818,43,9,0,0,872,117,12,4,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,52,6,5,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,170,17,10,0,0,197,7,0,0,0,0,7,22,0,0,0,0,21,1759,84,19,0,0,1866
POA2083,261,0,3,5,4,274,247,0,3,0,4,256,70,0,11,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,37,4,0,3,0,47,0,0,0,0,0,4,0,0,0,0,0,0,115,4,20,8,0,138,16,0,0,0,0,19,48,0,0,0,0,53,681,9,32,12,8,736
POA2084,468,19,40,26,0,551,429,4,12,0,0,441,65,9,6,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,73,8,3,0,4,87,7,0,4,15,0,19,0,0,0,0,0,0,144,15,13,10,3,189,15,0,3,0,0,19,22,0,0,5,0,33,1075,39,66,52,5,1231
POA2085,1331,129,203,0,0,1669,1489,71,18,0,0,1580,243,29,29,0,0,302,0,0,0,0,0,0,3,4,0,0,0,9,68,3,9,0,0,82,3,3,0,0,0,4,0,0,0,0,0,0,315,42,42,0,0,397,11,40,52,0,0,100,42,8,27,0,0,73,3191,292,339,0,3,3820
POA2086,1540,52,23,0,0,1621,1950,63,28,0,0,2034,406,47,42,0,0,499,6,0,0,0,0,6,5,0,22,0,0,25,109,12,16,0,5,139,9,7,0,0,0,13,0,0,6,0,0,6,531,64,83,0,7,690,29,3,4,0,0,38,64,3,14,0,0,86,4120,186,153,0,7,4467
POA2087,1612,122,79,0,0,1811,1532,54,27,0,0,1614,362,48,73,0,0,488,0,54,0,0,0,57,4,46,0,0,0,55,100,10,19,0,0,137,10,3,0,0,0,14,0,0,0,0,0,0,482,169,95,0,4,747,26,70,6,0,0,107,68,27,16,0,0,112,3723,445,222,0,9,4400
POA2088,2146,682,1614,24,7,4469,1438,435,1112,12,0,2995,297,198,2626,39,4,3165,4,5,41,0,0,51,0,9,37,0,3,43,90,44,414,12,4,562,9,0,12,0,0,21,0,0,5,0,0,8,409,249,3130,57,13,3856,42,17,147,0,0,212,78,43,239,16,14,386,4114,1428,6236,114,33,11921
POA2089,247,206,895,0,0,1348,157,169,806,0,3,1133,55,130,2222,9,17,2437,0,0,3,0,0,3,0,0,10,0,0,18,18,34,301,0,0,355,0,4,15,0,0,21,0,0,0,0,0,0,77,174,2560,9,17,2831,13,14,58,4,0,75,17,9,143,0,0,171,499,564,4462,15,19,5563
POA2090,529,246,1123,0,0,1896,371,207,813,0,0,1389,82,149,2148,10,4,2384,0,6,18,0,0,24,0,4,11,0,0,21,34,26,307,0,0,369,0,0,3,0,0,7,0,0,5,0,0,5,117,187,2490,5,4,2807,7,8,60,0,0,76,37,13,144,0,0,202,1057,654,4636,10,8,6370
