SOS_CODE_2021,P_15_19_Mgrs,P_15_19_Profnls,P_15_19_Techs_trades_workers,P_15_19_Comm_psnl_serv_wrkrs,P_15_19_Cler_admin_wrkrs,P_15_19_Sales_wrkrs,P_15_19_Mach_oper_dvrs,P_15_19_Labrs,P_15_19_Inad_desc_Ns,P_15_19_Tot,P_20_24_Mgrs,P_20_24_Profnls,P_20_24_Techs_trades_wrkrs,P_20_24_Comm_psnl_serv_wrkrs,P_20_24_Cler_admin_wrkrs,P_20_24_Sales_wrkrs,P_20_24_Mach_oper_dvrs,P_20_24_Labrs,P_20_24_Inad_desc_Ns,P_20_24_Tot,P_25_34_Mgrs,P_25_34_Profnls,P_25_34_Techs_trades_wrkrs,P_25_34_Comm_psnl_serv_wrkrs,P_25_34_Cler_admin_wrkrs,P_25_34_Sales_wrkrs,P_25_34_Mach_oper_dvrs,P_25_34_Labrs,P_25_34_Inad_desc_Ns,P_25_34_Tot,P_35_44_Mgrs,P_35_44_Profnls,P_35_44_Techs_trades_wrkrs,P_35_44_Comm_psnl_serv_wrkrs,P_35_44_Cler_admin_wrkrs,P_35_44_Sales_wrkrs,P_35_44_Mach_oper_dvrs,P_35_44_Labrs,P_35_44_Inad_desc_Ns,P_35_44_Tot,P_45_54_Mgrs,P_45_54_Profnls,P_45_54_Techs_trades_wrkrs,P_45_54_Comm_psnl_serv_wrkrs,P_45_54_Cler_admin_wrkrs,P_45_54_Sales_wrkrs,P_45_54_Mach_oper_dvrs,P_45_54_Labrs,P_45_54_Inad_desc_Ns,P_45_54_Tot,P_55_64_Mgrs,P_55_64_Profnls,P_55_64_Techs_trades_wrkrs,P_55_64_Comm_psnl_serv_wrkrs,P_55_64_Cler_admin_wrkrs,P_55_64_Sales_wrkrs,P_55_64_Mach_oper_dvrs,P_55_64_Labrs,P_55_64_Inad_desc_Ns,P_55_64_Tot,P_65_74_Mgrs,P_65_74_Profnls,P_65_74_Techs_trades_wrkrs,P_65_74_Comm_psnl_serv_wrkrs,P_65_74_Cler_admin_wrkrs,P_65_74_Sales_wrkrs,P_65_74_Mach_oper_dvrs,P_65_74_Labrs,P_65_74_Inad_desc_Ns,P_65_74_Tot,P_75_84_Mgrs,P_75_84_Profnls,P_75_84_Techs_trades_wrkrs,P_75_84_Comm_psnl_serv_wrkrs,P_75_84_Cler_admin_wrkrs,P_75_84_Sales_wrkrs,P_75_84_Mach_oper_dvrs,P_75_84_Labrs,P_75_84_Inad_desc_Ns,P_75_84_Tot,P_85_yr_over_Mgrs,P_85_yr_over_Profnls,P_85ov_Techs_trades_wrkrs,P_85ov_Com_psnl_serv_wrkrs,P_85_yr_over_Cler_admin_wrkrs,P_85_yr_over_Sales_wrkrs,P_85_yr_over_Mach_oper_dvrs,P_85_yr_over_Labrs,P_85_yr_over_Inad_desc_Ns,P_85_yr_over_Tot,P_Tot_Mgrs,P_Tot_Profnls,P_Tot_Techs_trades_wrkrs,P_Tot_Comm_psnl_serv_wrkrs,P_Tot_Cler_admin_wrkrs,P_Tot_Sales_wrkrs,P_Tot_Mach_oper_dvrs,P_Tot_Labrs,P_Tot_Inad_desc_Ns,P_Tot_Tot
SOS72,4,22,31,74,13,31,11,48,13,254,18,112,78,154,58,44,8,76,28,589,161,425,197,388,146,97,85,193,34,1713,232,410,199,342,154,78,85,163,40,1693,268,346,193,277,161,55,93,145,40,1580,259,412,156,199,164,52,97,125,22,1470,99,135,40,43,42,17,23,28,14,448,7,6,0,0,5,0,4,7,9,40,0,0,0,0,0,0,0,0,0,0,1055,1859,894,1472,743,382,418,788,184,7785
SOS73,23,22,161,115,51,202,34,285,27,919,54,145,284,207,115,88,89,371,35,1395,402,693,717,417,381,123,261,438,64,3496,664,707,638,383,403,97,257,291,82,3539,798,683,653,435,572,144,400,367,45,4102,648,610,510,312,487,122,329,316,68,3406,221,186,131,65,142,55,83,89,33,1005,36,16,10,3,14,0,6,11,5,108,0,4,0,0,0,0,0,0,0,7,2839,3060,3113,1943,2171,836,1470,2178,377,17978
SOS77,0,0,0,0,0,0,0,3,0,0,0,0,0,11,0,0,0,11,0,17,0,9,0,4,0,0,3,26,0,42,0,29,21,0,0,0,0,16,0,59,3,20,19,0,0,0,6,25,0,79,0,23,23,0,0,0,0,14,0,62,6,3,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,85,63,17,0,0,8,86,4,282
SOS80,537,565,1175,3450,834,4006,295,1873,165,12898,1895,5438,3374,5547,4222,3220,580,1595,519,26389,8672,23168,7494,6948,8778,3375,1597,3305,1477,64807,13551,21742,5153,4717,8080,1641,1108,2176,1336,59524,12159,15310,3726,3579,7618,1353,1068,1624,1024,47465,6026,8774,2259,2249,5112,1112,980,1343,538,28384,1107,2559,578,557,1210,428,347,407,145,7343,138,295,71,49,134,65,27,48,27,858,13,25,5,0,7,10,0,11,12,76,44105,77875,23832,27095,36004,15213,6000,12372,5249,247742
SOS82,0,3,0,8,0,5,0,3,0,26,0,5,7,10,4,3,3,0,0,26,7,14,8,0,5,0,0,0,0,46,16,32,12,0,14,3,0,5,4,88,24,31,6,11,14,0,0,0,0,93,10,14,3,0,3,0,5,8,5,45,0,4,0,0,4,0,0,0,0,15,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,62,104,37,31,46,18,14,18,10,332
SOS83,15,0,0,10,0,0,0,0,0,31,34,7,3,9,9,0,0,3,0,67,42,21,16,13,6,4,0,4,5,106,19,19,8,4,4,0,0,0,0,53,18,5,8,3,7,5,0,0,0,50,13,6,12,0,3,6,0,8,0,46,15,3,0,0,0,0,0,0,0,26,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,142,60,50,37,33,15,0,29,5,378
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS91,0,0,0,21,0,0,0,4,0,30,0,4,8,11,0,0,9,0,0,37,12,24,39,38,17,3,5,12,3,158,16,35,25,29,23,0,13,19,0,156,28,29,25,30,14,0,14,12,7,164,33,25,22,8,23,7,9,19,4,149,7,10,18,8,7,0,13,12,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,127,137,146,87,13,71,84,14,777
SOS92,25,0,14,29,0,12,0,13,0,89,31,19,20,22,7,8,5,13,0,120,68,49,29,38,15,13,7,16,0,236,56,33,34,29,25,14,13,17,10,242,59,31,46,26,41,20,13,29,0,268,76,61,68,36,40,31,14,32,5,355,15,25,14,11,16,18,8,14,6,130,8,5,0,8,3,6,0,4,0,29,0,0,0,0,0,0,0,0,0,0,334,223,224,208,156,115,56,145,15,1470
SOS93,0,0,6,6,0,0,4,0,0,15,0,4,0,4,3,0,0,6,0,23,10,7,14,14,7,0,0,6,4,55,7,9,4,11,4,0,3,4,5,61,23,14,10,8,15,5,7,8,0,90,11,9,9,4,10,12,4,6,0,71,5,12,7,6,0,0,5,9,0,46,4,3,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,63,51,59,48,50,20,18,41,9,361
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
