SOS_CODE_2021,Separate_house_Dwellings,Separate_house_Persons,sd_rw_tce_hse_th_wth_1_sty_Dw,sd_row_tce_hse_th_wth_1_sty_P,sd_rw_tce_hs_th_wth_2m_sty_Dw,sd_rw_tce_hs_th_wth_2m_stys_P,sd_row_tce_hse_th_wth_Tot_Dwg,sd_row_tce_hse_th_with_Tot_P,Flt_apart_In_1_2_stry_blck_D,Flt_apart_In_1_2_stry_blck_P,Flt_apart_In_a_3_stry_blck_D,Flt_apart_In_a_3_stry_blck_P,Flt_apart_In_4_8_stry_blck_D,Flt_apart_In_4_8_stry_blck_P,Flt_apart_In_9m_stry_blck_D,Flt_apart_In_9m_stry_blck_P,Flt_apart_Attachd_to_a_hse_D,Flt_apart_Attachd_to_a_hse_P,Flat_apartment_Tot_Dwe,Flat_apartment_Tot_Per,Oth_dwg_Caravan_D,Oth_dwg_Caravan_P,Oth_dwg_Cabin_hboat_D,Oth_dwg_Cabin_hboat_P,Oth_dwg_improv_hme_tnt_so_D,Oth_dwg_improv_hme_tnt_so_P,Oth_dwg_Hse_flt_att_shp_off_D,Oth_dwg_Hse_flt_att_shp_off_P,Other_dwelling_Tot_Dwellings,Other_dwelling_Tot_Persons,Dwelling_structure_ns_Dwgs,Dwelling_structure_ns_Persons,Tot_occupie_private_dwgs_Dwgs,Tot_occupie_private_dwgs_Psns,Unoccupied_private_dwgs_Dwgs,Unoccupied_private_dwgs_Psns,Total_Dwellings,Total_Persons
SOS63,41506,102565,144,334,42,89,182,423,55,105,0,0,0,0,0,0,28,65,84,166,264,467,149,269,66,115,25,72,504,918,157,285,42432,104364,10634,..,53067,104364
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SOS70,26172,78469,2960,5820,2391,5310,5349,11126,4424,8911,2143,4491,3581,7546,2959,5917,33,53,13137,26926,1429,3155,323,670,276,424,18,45,2047,4296,357,627,47064,121440,4217,..,51284,121440
SOS71,10731,36209,2475,5538,1121,2366,3600,7901,594,1008,64,102,18,45,0,0,18,39,698,1194,874,1701,78,133,108,191,33,68,1095,2090,416,760,16531,48161,2146,..,18680,48161
SOS72,4961,20251,914,2277,14,30,932,2308,314,627,0,0,0,0,0,0,3,18,323,645,890,1873,80,157,72,138,18,28,1055,2191,308,545,7570,25947,1407,..,8976,25947
SOS73,9652,29999,93,267,8,40,103,303,33,104,0,0,0,0,0,0,9,18,46,120,2571,5336,285,515,585,1190,20,34,3462,7081,942,1778,14198,39290,2631,..,16834,39290
SOS77,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,6,6,0,3,7,12,0,..,7,12
SOS80,108743,309603,14308,28101,15821,36409,30126,64506,6015,10877,8201,15003,13663,23839,6695,11796,519,1036,35098,62550,64,103,239,381,58,56,10,29,365,566,254,515,174586,437742,11952,..,186537,437742
SOS82,193,588,13,16,3,3,14,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,614,15,..,223,614
SOS83,156,456,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,35,176,503,25,..,203,503
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SOS91,223,580,92,227,17,34,106,268,94,151,54,155,9,20,0,0,0,0,152,329,0,0,0,0,0,0,0,0,3,3,6,11,497,1186,109,..,605,1186
SOS92,991,2321,10,21,4,3,14,19,8,16,0,0,0,0,0,0,11,20,22,31,0,0,0,0,0,0,0,6,5,8,29,42,1051,2420,188,..,1242,2420
SOS93,250,601,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,4,0,0,5,10,4,11,256,617,31,..,285,617
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
