SOS_CODE_2021,0_299_Separate_house,0_299_Sd_rw_tce_hse_th,0_299_Flat_apartment,0_299_Other_dwelling,0_299_Dwelling_structure_NS,0_299_Tot,300_449_Separate_house,300_449_Sd_rw_tce_hse_th,300_449_Flat_apartment,300_449_Other_dwelling,300_449_Dwg_structure_NS,300_449_Tot,450_599_Separate_house,450_599_Sd_rw_tce_hse_th,450_599_Flat_apartment,450_599_Other_dwelling,450_599_Dwg_structure_NS,450_599_Tot,600_799_Separate_house,600_799_Sd_rw_tce_hse_th,600_799_Flat_apartment,600_799_Other_dwelling,600_799_Dwg_structure_NS,600_799_Tot,800_999_Separate_house,800_999_Sd_rw_tce_hse_th,800_999_Flat_apartment,800_999_Other_dwelling,800_999_Dwg_structure_NS,800_999_Tot,1000_1399_Separate_house,1000_1399_Sd_rw_tce_hse_th,1000_1399_Flat_apartmnt,1000_1399_Other_dwelling,1000_1399_Dwg_structure_NS,1000_1399_Tot,1400_1799_Separate_house,1400_1799_Sd_rw_tce_hse_th,1400_1799_Flat_apartmnt,1400_1799_Other_dwelling,1400_1799_Dwg_structure_NS,1400_1799_Tot,1800_2399_Separate_house,1800_2399_Sd_rw_tce_hse_th,1800_2399_Flat_apartmnt,1800_2399_Other_dwelling,1800_2399_Dwg_structure_NS,1800_2399_Tot,2400_2999_Separate_house,2400_2999_Sd_rw_tce_hse_th,2400_2999_Flat_apartmnt,2400_2999_Other_dwelling,2400_2999_Dwg_structure_NS,2400_2999_Tot,3000_3999_Separate_house,3000_3999_Sd_rw_tce_hse_th,3000_3999_Flat_apartmnt,3000_3999_Other_dwelling,3000_3999_Dwg_structure_NS,3000_3999_Tot,4000_over_Separate_house,4000_over_Sd_rw_tce_hse_th,4000_over_Flat_apartmnt,4000_over_Other_dwelling,4000_over_Dwg_structure_NS,4000_over_Tot,M_rep_NS_Sep_house,M_rep_NS_Sd_rw_tce_hse_th,M_rep_NS_Flat_apart,M_rep_NS_Other_dwelling,M_rep_NS_Dwg_structu_ns,M_rep_NS_Tot,Tot_Sep_hse,Tot_Sd_row_tce_hse_th,Tot_Flat_apartment,Tot_Other_dwelling,Tot_Dwelling_structure_NS,Tot_Tot
SOS30,15896,1516,1603,17,25,19053,5670,828,564,6,6,7073,4807,803,621,10,9,6255,9069,1585,1286,27,12,11985,13816,2466,2131,11,22,18444,47760,8367,6911,49,57,63141,67969,8917,7553,41,85,84565,95404,7056,6617,40,76,109195,46514,2280,2321,13,26,51151,36829,1524,1863,16,44,40272,24850,925,1461,10,33,27277,22395,2025,1809,21,31,26280,390983,38296,34746,256,418,464691
SOS31,4225,165,83,50,24,4547,2325,128,57,12,4,2531,2365,143,61,10,5,2583,4984,192,140,30,3,5351,7536,276,180,28,18,8036,21546,617,303,79,23,22568,22099,435,205,38,25,22805,20959,237,129,46,39,21407,6912,80,38,28,5,7064,4207,43,37,12,14,4301,2294,34,32,18,20,2388,6230,130,82,23,17,6474,105685,2481,1342,366,194,110066
SOS32,788,3,5,19,5,821,561,4,0,8,0,573,534,9,0,4,0,548,1051,8,5,25,4,1094,1284,11,0,13,4,1321,3112,24,11,22,9,3177,2896,14,9,27,4,2951,2646,15,4,15,6,2694,947,9,6,10,0,961,620,0,4,12,3,638,368,0,0,16,8,394,1022,14,3,11,7,1058,15834,102,53,179,54,16230
SOS33,3398,37,14,57,51,3549,1272,6,0,23,8,1309,1236,8,0,22,6,1268,2209,12,8,39,8,2278,2996,17,3,37,16,3074,8313,38,12,71,20,8450,8608,55,10,58,22,8751,10469,65,23,63,26,10644,4942,25,6,27,18,5021,4167,21,8,14,10,4225,3287,15,7,24,25,3364,3954,24,7,51,24,4060,54852,332,104,491,221,55998
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS40,7172,1016,311,13,15,8534,3207,521,167,8,0,3896,3048,509,184,4,4,3746,5856,986,413,7,6,7274,8587,1464,765,3,6,10835,27644,4037,1799,23,59,33557,30654,4021,1209,10,52,35953,28720,3606,741,15,52,33127,11137,1309,216,4,24,12687,9202,943,160,6,13,10329,6569,600,139,8,16,7335,7361,942,299,6,12,8617,149151,19954,6406,104,263,175875
SOS41,1869,129,15,9,6,2023,1450,195,17,0,0,1664,1528,189,11,5,7,1739,3166,337,44,9,8,3561,4504,326,27,6,5,4858,10270,390,36,23,26,10740,8576,138,9,0,14,8740,6452,67,3,14,20,6559,1986,22,4,5,9,2025,1289,10,0,4,0,1305,889,15,7,0,0,912,1968,107,18,3,7,2103,43944,1923,192,79,93,46235
SOS42,374,5,0,4,0,395,441,6,0,0,0,447,398,5,0,4,5,408,734,8,3,6,0,748,809,10,0,0,0,827,1512,9,5,3,5,1530,1046,4,0,8,4,1059,721,0,0,5,0,733,217,0,0,3,0,218,170,6,0,0,0,176,98,0,0,3,0,101,336,6,0,4,0,343,6850,65,13,39,16,6988
SOS43,1332,9,0,14,0,1359,671,4,0,3,0,684,634,5,0,0,4,649,1162,6,0,10,3,1180,1418,4,0,9,3,1442,3280,23,3,8,13,3325,2746,12,0,14,0,2776,2796,12,0,10,4,2825,1263,4,0,7,3,1275,1059,4,0,6,3,1077,793,0,0,3,0,799,1007,7,0,8,9,1029,18167,91,8,93,58,18423
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS50,11518,1352,482,9,5,13366,3817,456,173,4,0,4449,3413,451,216,0,0,4086,6066,934,404,12,3,7417,8869,1353,663,15,3,10904,32558,4929,2230,11,19,39746,48708,5862,2295,19,27,56913,69203,5875,1949,17,51,77094,31821,2341,785,7,20,34969,25293,1980,708,5,8,27990,20009,1281,498,10,11,21806,15488,1428,530,6,14,17461,276766,28235,10926,109,159,316201
SOS51,1778,80,9,15,5,1893,914,55,7,6,0,982,852,60,9,5,5,936,1846,113,18,20,6,1992,2660,155,18,24,0,2860,8320,397,36,22,6,8788,9642,263,25,23,13,9970,9938,243,19,35,11,10242,3531,72,3,11,3,3628,2490,61,5,15,3,2572,1454,54,10,14,8,1527,2460,93,10,22,4,2595,45889,1650,165,206,72,47975
SOS52,312,4,0,12,3,328,258,0,0,3,0,265,278,0,0,5,0,285,458,3,0,3,0,471,495,8,0,9,0,507,1095,7,4,13,0,1125,899,3,0,14,0,915,820,0,5,11,0,841,329,3,0,6,0,339,222,0,0,4,0,227,157,0,0,4,4,162,349,0,6,8,0,364,5674,42,17,83,9,5824
SOS53,1264,6,0,27,13,1314,375,0,0,12,0,392,322,5,0,11,3,341,525,8,0,18,10,552,629,3,0,26,3,665,1996,16,5,47,13,2071,2132,14,4,44,14,2203,3317,22,5,38,21,3401,1928,10,0,23,9,1974,2011,17,0,19,10,2057,1461,7,3,26,26,1522,1173,5,0,28,5,1213,17137,106,24,310,122,17706
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS60,1195,55,46,5,3,1294,588,28,25,0,0,644,525,21,36,0,0,580,1012,48,60,0,0,1122,1485,61,91,0,0,1637,4497,194,246,4,0,4941,4758,145,153,3,0,5065,4348,108,85,4,5,4547,1643,49,22,5,0,1717,1210,30,22,3,0,1273,879,24,17,4,0,919,990,32,44,0,4,1070,23126,794,846,25,15,24810
SOS61,1287,55,25,0,7,1373,934,33,15,0,0,991,927,35,13,5,0,981,1962,89,51,3,0,2100,3034,84,51,4,3,3171,7630,170,93,11,4,7909,5345,101,38,9,0,5496,3224,75,18,8,5,3319,820,15,8,0,3,846,585,13,0,0,0,592,356,11,3,0,0,378,1262,32,16,0,0,1310,27363,704,334,49,21,28472
SOS62,210,6,0,0,4,218,188,3,0,0,0,192,188,0,0,0,0,189,354,3,0,0,4,357,449,0,0,0,0,453,960,5,0,0,3,972,722,3,0,0,0,729,473,3,0,3,0,480,164,0,0,0,0,168,138,0,0,0,0,144,70,0,0,0,0,69,237,0,0,0,0,241,4146,30,10,18,13,4210
