SOS_CODE_2021,F_Tot_LF_15_19_yr,F_Tot_LF_20_24_yr,F_Tot_LF_25_34_yr,F_Tot_LF_35_44_yr,F_Tot_LF_45_54_yr,F_Tot_LF_55_64_yr,F_Tot_LF_65_74_yr,F_Tot_LF_75_84_yr,F_Tot_LF_85_yr_over,F_Tot_LF_Tot,F_NILF_15_19_yr,F_NILF_20_24_yr,F_NILF_25_34_yr,F_NILF_35_44_yr,F_NILF_45_54_yr,F_NILF_55_64_yr,F_NILF_65_74_yr,F_NILF_75_84_yr,F_NILF_85_yr_over,F_NILF_Tot,F_LF_st_ns_15_19,F_LF_st_ns_20_24,F_LF_st_ns_25_34,F_LF_st_ns_35_44,F_LF_st_ns_45_54,F_LF_st_ns_55_64,F_LF_st_ns_65_74,F_LF_st_ns_75_84,F_LF_st_ns_85_yr_over,F_LF_st_ns_Total,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Emp_wrk_Ft_15_19,P_Emp_wrk_Ft_20_24,P_Emp_wrk_Ft_25_34,P_Emp_wrk_Ft_35_44,P_Emp_wrk_Ft_45_54,P_Emp_wrk_Ft_55_64,P_Emp_wrk_Ft_65_74,P_Emp_wrk_Ft_75_84,P_Emp_wrk_Ft_85_yr_over,P_Emp_wrk_Ft_Tot,P_Emp_wrk_Pt_15_19,P_Emp_wrk_Pt_20_24,P_Emp_wrk_Pt_25_34,P_Emp_wrk_Pt_35_44,P_Emp_wrk_Pt_45_54,P_Emp_wrk_Pt_55_64,P_Emp_wrk_Pt_65_74,P_Emp_wrk_Pt_75_84,P_Emp_wrk_Pt_85_yr_over,P_Emp_wrk_Pt_Tot,P_Emp_a_f_wrk_15_19,P_Emp_a_f_wrk_20_24,P_Emp_a_f_wrk_25_34,P_Emp_a_f_wrk_35_44,P_Emp_a_f_wrk_45_54,P_Emp_a_f_wrk_55_64,P_Emp_a_f_wrk_65_74,P_Emp_a_f_wrk_75_84,P_Emp_a_f_wrk_85_yr_over,P_Emp_a_f_wrk_Tot,P_Hr_wrk_ns_15_19,P_Hr_wrk_ns_20_24,P_Hr_wrk_ns_25_34,P_Hr_wrk_ns_35_44,P_Hr_wrk_ns_45_54,P_Hr_wrk_ns_55_64,P_Hr_wrk_ns_65_74,P_Hr_wrk_ns_75_84,P_Hr_wrk_ns_85_yr_over,P_Hr_wrk_ns_Tot,P_Tot_emp_15_19,P_Tot_emp_20_24,P_Tot_emp_25_34,P_Tot_emp_35_44,P_Tot_emp_45_54,P_Tot_emp_55_64,P_Tot_emp_65_74,P_Tot_emp_75_84,P_Tot_emp_85_yr_over,P_Tot_emp_Tot,P_UE_lk_fr_Ft_wrk_15_19,P_UE_lk_fr_Ft_wrk_20_24,P_UE_lk_fr_Ft_wrk_25_34,P_UE_lk_fr_Ft_wrk_35_44,P_UE_lk_fr_Ft_wrk_45_54,P_UE_lk_fr_Ft_wrk_55_64,P_UE_lk_fr_Ft_wrk_65_74,P_UE_lk_fr_Ft_wrk_75_84,P_UE_lk_for_Ft_wrk_85_over,P_UE_looking_for_Ft_wk_Tot,P_UE_lk_for_Pt_wk_15_19,P_UE_lk_for_Pt_wk_20_24,P_UE_lk_for_Pt_wk_25_34,P_UE_lk_for_Pt_wk_35_44,P_UE_lk_for_Pt_wk_45_54,P_UE_lk_for_Pt_wk_55_64,P_UE_lk_for_Pt_wk_65_74,P_UE_lk_for_Pt_wk_75_84,P_UE_looking_for_Pt_wk_85ov,P_UE_lk_for_Pt_wrk_Tot,P_Tot_unemp_15_19,P_Tot_unemp_20_24,P_Tot_unemp_25_34,P_Tot_unemp_35_44,P_Tot_unemp_45_54,P_Tot_unemp_55_64,P_Tot_unemp_65_74,P_Tot_unemp_75_84,P_Tot_unemp_85_yr_over,P_Tot_unemp_Total,P_Tot_LF_15_19_yr,P_Tot_LF_20_24_yr,P_Tot_LF_25_34_yr,P_Tot_LF_35_44_yr,P_Tot_LF_45_54_yr,P_Tot_LF_55_64_yr,P_Tot_LF_65_74_yr,P_Tot_LF_75_84_yr,P_Tot_LF_85_yr_over,P_Tot_LF_Tot,P_NILF_15_19_yr,P_NILF_20_24_yr,P_NILF_25_34_yr,P_NILF_35_44_yr,P_NILF_45_54_yr,P_NILF_55_64_yr,P_NILF_65_74_yr,P_NILF_75_84_yr,P_NILF_85_yr_over,P_NILF_Tot,P_LF_st_ns_15_19,P_LF_st_ns_20_24,P_LF_st_ns_25_34,P_LF_st_ns_35_44,P_LF_st_ns_45_54,P_LF_st_ns_55_64,P_LF_st_ns_65_74,P_LF_st_ns_75_84,P_LF_st_ns_85_yr_over,P_LF_st_ns_Total,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
SOS30,65078,95941,209837,205734,191038,127921,29128,2566,184,927433,39886,20354,43985,43115,41903,70974,132442,87789,35971,516429,4846,7000,16032,12608,10126,8435,7805,7386,6399,80638,109809,123301,269863,261455,243062,207333,169375,97742,42553,1524497,15838,80739,252439,260792,247931,151094,26592,1784,76,1037288,71712,73514,111211,109907,94578,78054,31363,4614,275,575221,16065,17898,31695,23006,19407,18140,5891,682,66,132852,1800,3922,8254,5739,4226,2612,806,289,99,27750,105414,176074,403596,399451,366146,249898,64658,7364,516,1773114,4504,8894,13529,9826,9567,7404,974,43,15,54751,15156,7651,7664,5816,4713,4771,1507,133,21,47434,19659,16542,21192,15644,14280,12174,2478,182,32,102179,125078,192618,424786,415093,380428,262068,67135,7549,549,1875296,88541,38411,68035,64169,67218,117567,238148,161354,58517,901957,9990,14632,32681,25563,21154,17116,15603,13257,9610,159602,223606,245667,525498,504823,468803,396753,320885,182152,68675,2936856
SOS31,16044,18559,43140,43650,44221,34832,7889,748,76,209156,9117,4723,11882,10654,11314,24643,45945,29193,11295,158769,1724,2045,4765,4027,3851,3757,3597,3095,1953,28812,26886,25326,59791,58328,59387,63232,57426,33034,13321,396735,6769,21257,54353,54675,56827,40879,7553,600,29,242949,18563,11247,22412,23651,22131,21665,8331,1125,83,129209,1702,1765,5296,3909,4088,5064,1566,158,26,23574,675,949,2125,1561,1364,1026,335,157,50,8239,27707,35221,84184,83800,84410,68628,17781,2040,193,403966,1624,2121,3054,2317,2456,2225,288,11,5,14104,2801,1194,1649,1315,1227,1485,401,37,4,10110,4428,3316,4705,3624,3681,3710,689,49,14,24221,32137,38539,88887,87423,88099,72344,18476,2085,207,428187,19850,7970,17561,16352,19264,41740,87366,55890,18786,284779,3664,4530,11095,9657,9411,8989,7763,5783,3111,64001,55655,51041,117540,113431,116765,123073,113604,63758,22098,776964
SOS32,1816,2051,4913,5794,6845,6296,1479,148,15,29362,1371,756,1805,1603,1990,5050,8563,4190,1108,26443,301,318,691,630,695,867,846,490,159,4996,3492,3124,7413,8032,9528,12215,10880,4825,1283,60803,836,2314,5898,6817,8289,6969,1495,146,0,32766,1976,1230,2597,3193,3611,4110,1530,234,19,18508,278,275,676,660,835,1166,381,41,0,4317,114,149,286,257,324,261,99,25,6,1527,3212,3967,9452,10931,13060,12507,3509,450,31,57114,228,309,474,421,481,466,66,3,0,2455,284,130,219,164,204,296,77,3,0,1376,513,436,694,585,686,760,144,5,0,3828,3723,4405,10148,11513,13750,13267,3654,455,31,60943,3009,1382,2931,2783,3608,8972,17424,8973,1987,51080,624,637,1481,1394,1593,1822,1793,1018,291,10646,7356,6421,14563,15692,18948,24061,22869,10444,2310,122664
SOS33,7328,6885,14975,19718,25526,21402,6151,1102,93,103178,4512,1547,4170,4407,5811,13429,20876,9575,2104,66441,1024,1030,2404,2428,2938,3029,2392,1162,295,16692,12859,9461,21550,26557,34269,37865,29417,11838,2494,186310,3895,8760,19809,25549,33904,27240,7821,1553,113,128649,8123,4003,7717,11061,13269,13888,6057,1336,151,65601,1109,942,2472,2176,2730,3388,1060,185,26,14091,457,467,816,859,1103,851,499,308,71,5425,13583,14171,30810,39654,51010,45370,15438,3379,359,213770,470,687,897,734,1068,1108,157,5,0,5125,965,350,464,402,495,778,183,16,0,3656,1430,1037,1362,1129,1564,1893,343,20,0,8777,15012,15204,32175,40784,52573,47260,15784,3398,362,222551,9689,3132,7142,7539,10223,23967,42889,20909,4194,129683,2226,2387,5959,6366,7666,7410,5391,2546,610,40560,26922,20722,45278,54695,70455,78639,64062,26853,5159,392792
SOS37,0,0,5,5,0,4,0,0,0,15,0,3,3,0,0,0,0,0,0,11,4,4,12,3,0,0,0,0,0,29,6,3,23,7,3,5,0,0,0,53,0,0,19,23,25,6,3,0,0,77,0,3,0,3,0,3,0,0,0,10,0,0,3,4,0,3,0,0,0,10,0,0,0,5,3,0,0,0,0,11,0,3,19,27,27,17,6,0,0,99,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,24,29,29,17,6,0,0,103,6,4,11,4,3,6,3,0,0,26,10,8,57,76,45,16,6,0,0,219,11,15,87,111,79,34,14,0,0,358
SOS40,18875,31674,69877,66866,61406,46833,10689,908,87,307232,14085,7400,15964,15148,14580,27568,52529,36956,18995,203220,1037,1435,3297,2785,2285,2016,2061,2257,1673,18846,33998,40510,89134,84806,78270,76421,65282,40119,20757,529289,3846,24358,85638,84140,79217,54426,9538,617,31,341811,24572,30621,43312,41555,35397,32334,12399,1795,132,222118,1556,2299,6653,4685,3291,3893,1206,163,22,23778,432,1056,2223,1541,1157,808,291,118,47,7667,30412,58322,137826,131917,119063,91466,23439,2697,223,595366,1161,3091,4879,3600,3355,2514,314,14,4,18922,4886,3201,2984,2260,1794,1718,434,42,9,17344,6049,6295,7859,5856,5152,4238,746,56,14,36263,36459,64622,145686,137773,124218,95701,24188,2751,237,631632,31196,15123,24594,23070,24807,46830,94257,65843,30422,356144,2169,2975,6899,5860,4979,4278,3910,3786,2591,37440,69824,82717,177179,166703,154004,146810,122359,72376,33254,1025212
SOS41,5322,6510,14535,14898,16689,13660,3222,352,27,75222,3106,1434,3752,3368,3728,8245,18050,13069,5786,60531,406,368,990,902,923,899,1053,998,650,7192,8838,8313,19269,19165,21342,22798,22321,14423,6469,142942,1766,6751,17728,17753,20285,14937,2839,209,13,82276,6731,4879,8865,9362,9589,10017,3973,624,38,54082,445,509,1715,1104,1089,1512,509,75,7,6973,247,283,539,399,435,364,135,86,15,2522,9182,12425,28851,28625,31394,26837,7459,1002,75,145857,330,712,964,699,843,740,88,9,3,4389,865,468,520,426,446,551,133,14,3,3433,1203,1179,1485,1125,1290,1297,225,17,6,7825,10385,13604,30335,29748,32685,28131,7682,1022,88,153684,7062,2658,5984,5625,6681,14308,33211,23993,9484,109009,870,849,2065,1923,2064,2026,2011,1804,1054,14663,18318,17106,38388,37298,41431,44468,42908,26815,10623,277355
SOS42,647,757,1842,1958,2369,2524,637,72,7,10815,471,206,568,505,544,1423,2976,1812,790,9293,79,69,162,178,212,283,280,204,157,1627,1198,1030,2566,2637,3126,4234,3900,2082,955,21731,276,850,2164,2277,2802,2679,620,54,5,11731,759,548,1152,1300,1507,1878,801,123,7,8079,61,57,223,161,198,308,118,29,7,1173,39,27,88,67,103,72,28,15,3,454,1143,1487,3632,3809,4606,4934,1576,221,22,21432,69,108,151,103,127,165,11,0,0,726,79,50,73,51,70,95,30,0,0,446,153,153,225,155,192,258,38,4,0,1173,1290,1643,3858,3962,4798,5190,1610,224,22,22606,1035,381,843,814,1023,2648,5903,3526,1329,17510,165,147,337,386,454,597,624,404,248,3366,2496,2171,5035,5163,6277,8441,8139,4153,1601,43484
SOS43,2206,2323,4779,6446,8338,7658,2419,415,41,34623,1480,454,1127,1169,1540,3567,6092,2896,702,19020,252,211,521,478,695,764,657,324,115,4013,3940,2983,6418,8090,10575,11994,9164,3638,853,57661,1139,2772,6659,8385,11171,9679,2987,488,37,43314,2704,1813,2894,4137,5048,5870,2702,633,65,25867,199,209,681,552,651,859,320,64,6,3545,170,149,232,249,330,295,182,84,12,1704,4220,4950,10460,13324,17199,16697,6196,1267,119,74441,101,189,265,203,303,301,36,6,0,1406,252,101,118,112,164,266,65,0,0,1080,357,287,384,317,468,562,100,6,0,2478,4578,5235,10844,13636,17672,17263,6300,1272,119,76919,3259,895,1866,2106,2798,6633,12388,6235,1389,37566,546,557,1409,1353,1752,1808,1428,735,204,9778,8378,6688,14123,17090,22217,25707,20110,8245,1710,124267
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,0,0,0,0,22,0,0,0,4,0,0,0,0,0,6,0,0,0,4,7,0,0,0,0,8,0,0,0,16,10,0,0,0,0,34
SOS50,34123,50371,115401,116105,104897,74284,18029,1551,108,514862,21896,9693,26423,27737,22646,37635,71486,47465,21131,286120,2014,2599,6647,5648,4331,3433,3392,3688,3299,35048,58036,62657,148478,149485,131874,115347,92912,52702,24539,836033,9125,42190,146267,151666,138740,91505,16996,1010,50,597549,43433,46428,62067,67443,56307,48695,21688,3177,201,349444,1792,2819,11299,8778,6067,6549,2019,237,24,39585,837,2065,4559,3203,2431,1538,497,171,63,15375,55182,93507,224191,231089,203550,148292,41198,4597,334,1001946,2214,4235,6890,5617,5520,4306,650,44,3,29481,9190,3988,4289,3702,2887,2756,932,88,8,27840,11405,8222,11181,9316,8410,7061,1585,133,11,57316,66589,101731,235374,240404,211963,155352,42783,4724,346,1059262,47982,18823,37485,37542,34307,58940,127201,86803,34409,483491,4116,5439,13546,11859,9354,7324,6544,6413,5130,69726,118685,125988,286403,289808,255624,221618,176529,97942,39885,1612479
