SOS_CODE_2021,Iran_2016,Iran_2017,Iran_2018,Iran_2019,Iran_2020,Iran_2021,Iran_Yr_arrival_ns,Iran_Tot,Iraq_Before_1951,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2010,Iraq_2011_2015,Iraq_2016,Iraq_2017,Iraq_2018,Iraq_2019,Iraq_2020,Iraq_2021,Iraq_Yr_arrival_ns,Iraq_Tot,Ireland_Before_1951,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2010,Ireland_2011_2015,Ireland_2016,Ireland_2017,Ireland_2018,Ireland_2019,Ireland_2020,Ireland_2021,Ireland_Yr_arrival_ns,Ireland_Tot,Italy_Before_1951,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2010,Italy_2011_2015,Italy_2016,Italy_2017,Italy_2018,Italy_2019,Italy_2020,Italy_2021,Italy_Yr_arr_ns,Italy_Tot,Japan_Before_1951,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2010,Japan_2011_2015,Japan_2016,Japan_2017,Japan_2018,Japan_2019,Japan_2020,Japan_2021,Japan_Yr_arrival_ns,Japan_Tot,Korea_Rep_South_Before_1951,Korea_Rep_South_1951_1960,Korea_Rep_South_1961_1970,Korea_Rep_South_1971_1980,Korea_Rep_South_1981_1990,Korea_Rep_South_1991_2000,Korea_Rep_South_2001_2010,Korea_Rep_South_2011_2015,Korea_Rep_South_2016,Korea_Rep_South_2017,Korea_Rep_South_2018,Korea_Rep_South_2019,Korea_Rep_South_2020,Korea_Rep_South_2021,Korea_Rep_South_Yr_arrival_ns,Korea_Rep_South_Tot,Lebanon_Before_1951,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2010,Lebanon_2011_2015,Lebanon_2016,Lebanon_2017,Lebanon_2018,Lebanon_2019,Lebanon_2020,Lebanon_2021,Lebanon_Yr_arrival_ns,Lebanon_Tot,Malaysia_Before_1951,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2010,Malaysia_2011_2015,Malaysia_2016,Malaysia_2017,Malaysia_2018,Malaysia_2019,Malaysia_2020,Malaysia_2021,Malaysia_Yr_arrival_ns,Malaysia_Tot,Nepal_Before_1951,Nepal_1951_1960,Nepal_1961_1970,Nepal_1971_1980,Nepal_1981_1990,Nepal_1991_2000,Nepal_2001_2010,Nepal_2011_2015,Nepal_2016,Nepal_2017,Nepal_2018,Nepal_2019,Nepal_2020,Nepal_2021,Nepal_Yr_arrival_ns,Nepal_Tot,Netherlands_Before_1951,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2010,Netherlands_2011_2015,Netherlands_2016,Netherlands_2017,Netherlands_2018,Netherlands_2019,Netherlands_2020,Netherlands_2021,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1951,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2010,New_Zealand_2011_2015,New_Zealand_2016,New_Zealand_2017,New_Zealand_2018,New_Zealand_2019,New_Zealand_2020,New_Zealand_2021,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,North_Macedonia_Before_1951,North_Macedonia_1951_1960,North_Macedonia_1961_1970,North_Macedonia_1971_1980,North_Macedonia_1981_1990,North_Macedonia_1991_2000,North_Macedonia_2001_2010,North_Macedonia_2011_2015,North_Macedonia_2016,North_Macedonia_2017,North_Macedonia_2018,North_Macedonia_2019,North_Macedonia_2020,North_Macedonia_2021,North_Macedonia_Yr_arrival_ns,North_Macedonia_Tot,Pakistan_Before_1951,Pakistan_1951_1960,Pakistan_1961_1970,Pakistan_1971_1980,Pakistan_1981_1990,Pakistan_1991_2000,Pakistan_2001_2010,Pakistan_2011_2015,Pakistan_2016,Pakistan_2017,Pakistan_2018,Pakistan_2019,Pakistan_2020,Pakistan_2021,Pakistan_Yr_arrival_ns,Pakistan_Tot
SOS30,340,353,349,401,151,93,132,7694,3,10,25,30,43,390,939,742,465,268,646,1234,238,22,147,5205,81,306,706,920,1469,848,2792,2047,170,190,203,226,109,41,226,10332,422,2765,2116,624,306,360,834,1221,219,238,191,290,124,20,437,10166,13,78,69,168,969,2432,4083,1771,350,415,429,579,352,99,307,12102,0,0,5,131,807,1877,7293,3834,773,804,867,1124,410,78,434,18437,21,59,225,299,239,157,250,121,32,26,25,32,21,7,54,1569,26,163,933,1400,2398,1513,3557,2036,513,472,546,496,332,82,337,14789,0,0,0,7,27,137,1996,2075,682,1097,1642,1535,366,26,162,9758,373,3464,1113,754,944,559,989,445,105,100,94,120,56,24,244,9388,230,641,4254,15127,27784,29228,45905,23609,3250,2947,3421,3471,1554,1449,4889,167765,5,24,170,222,187,192,127,62,14,30,6,17,4,0,24,1068,3,9,31,61,157,356,1449,1868,430,372,376,403,211,61,91,5891
SOS31,9,20,8,14,7,3,7,264,0,0,7,4,0,22,22,27,0,6,0,6,0,7,4,101,20,53,174,166,194,112,290,287,27,14,17,47,33,11,46,1497,172,783,463,123,37,25,81,137,17,26,32,73,32,7,137,2141,3,13,3,10,40,111,183,95,20,29,53,107,36,5,28,747,0,0,4,7,23,49,274,154,50,48,99,174,64,8,18,984,3,4,16,18,8,3,8,5,4,3,0,0,0,0,5,65,0,43,157,172,128,89,146,119,83,88,89,96,50,9,62,1339,0,0,0,0,3,6,205,163,94,133,161,137,40,4,18,968,147,1221,334,206,207,142,199,64,13,11,12,20,16,8,99,2705,58,159,1227,3897,5240,4341,5623,2955,326,335,342,403,191,180,1017,26298,0,0,9,12,8,7,3,0,0,0,0,0,0,0,0,42,0,5,11,0,12,11,97,163,15,41,37,40,17,9,6,452
SOS32,0,0,0,0,0,0,6,16,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,5,30,33,25,25,35,33,3,0,8,0,4,5,4,208,15,93,53,19,4,8,4,18,0,4,3,9,0,0,51,279,0,3,0,0,7,21,32,12,0,0,0,0,0,0,0,83,0,0,0,0,0,6,20,10,5,0,3,14,0,0,5,67,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,0,8,26,28,18,9,13,6,7,4,8,0,4,0,0,122,0,0,0,0,0,0,5,9,6,9,6,5,0,0,0,39,23,220,67,46,42,27,34,20,0,0,0,4,5,0,11,502,7,40,244,674,892,587,571,211,42,17,28,34,22,20,159,3541,0,0,4,3,6,0,0,0,0,0,0,0,0,0,0,13,0,0,0,9,0,0,3,5,3,4,0,3,0,0,0,20
SOS33,0,0,0,4,0,0,0,58,0,0,3,0,0,14,3,0,0,0,0,0,0,0,5,22,8,34,76,82,87,47,197,87,6,9,8,16,7,0,20,691,84,350,198,31,24,23,36,26,9,6,10,20,14,3,62,883,0,12,0,10,24,69,77,42,9,5,12,28,9,0,14,317,0,0,0,0,16,21,68,25,9,6,5,14,4,0,9,170,0,6,3,15,0,0,0,0,0,0,0,3,0,0,3,36,0,20,102,76,75,35,41,24,17,11,11,23,7,0,26,464,0,0,0,0,0,0,16,10,6,0,0,6,3,0,3,40,61,575,210,146,162,91,149,51,5,10,15,25,5,0,55,1554,24,76,660,2197,2869,1745,1815,630,58,80,86,67,36,37,618,11002,0,0,5,9,4,0,0,0,0,0,0,0,0,0,0,24,0,0,5,0,7,14,28,12,3,4,3,0,0,0,0,79
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS40,240,242,231,374,104,51,72,5071,0,0,7,3,4,343,614,360,52,65,29,41,9,14,33,1578,23,150,458,372,404,156,437,381,30,33,34,31,19,6,72,2611,587,6486,4919,876,274,192,333,411,96,71,90,84,34,6,543,15005,3,27,17,23,91,223,476,218,49,47,48,103,55,14,36,1419,0,0,7,34,195,264,1534,744,153,147,186,180,90,4,68,3618,22,55,170,374,278,188,283,126,39,35,40,31,30,6,62,1731,6,44,315,612,1097,655,1916,1360,414,470,466,451,250,38,90,8180,0,0,0,6,10,27,1282,1551,691,1017,1008,1002,303,26,101,7026,125,2021,626,241,161,96,251,115,17,32,10,24,16,0,110,3856,62,105,516,1453,2007,1403,1663,863,120,130,137,117,82,90,262,9006,17,41,79,69,32,42,25,18,0,0,0,5,4,0,4,335,5,0,12,24,20,170,831,1792,351,504,563,640,292,79,98,5385
SOS41,9,9,0,0,0,3,5,96,0,0,0,0,0,0,8,3,3,0,0,17,11,0,0,45,8,34,97,67,48,25,54,47,3,3,5,8,3,0,19,435,60,440,301,68,17,9,23,29,3,5,0,4,5,0,67,1037,0,4,0,4,5,25,52,26,5,0,5,11,0,0,0,141,0,0,0,3,26,12,53,33,8,9,12,6,6,0,7,171,3,0,3,8,8,6,16,5,3,0,4,0,0,0,0,57,6,3,46,52,44,42,94,48,64,76,73,52,19,3,13,636,0,0,0,3,4,0,30,19,18,42,10,23,15,0,11,173,44,857,181,97,49,14,67,17,6,6,0,0,0,0,50,1394,13,22,187,459,581,399,504,276,41,27,39,37,26,22,117,2750,0,4,3,8,0,6,4,0,0,0,0,0,0,0,0,29,0,0,0,0,4,3,45,101,20,26,14,21,20,0,4,256
SOS42,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,8,6,0,13,9,0,0,0,0,0,0,0,57,0,24,15,3,3,0,5,3,0,0,0,0,0,0,3,57,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,3,0,0,0,5,3,0,0,0,26,0,0,0,0,0,0,5,5,3,4,8,0,0,0,0,27,4,129,41,12,11,3,19,0,0,0,0,0,0,0,8,226,4,5,35,109,96,54,47,22,9,4,0,0,0,3,31,417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,11
SOS43,0,5,0,4,0,0,3,39,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,9,0,11,34,29,21,21,31,23,0,3,5,0,8,0,7,187,25,226,175,28,10,11,0,8,0,0,4,0,0,0,31,514,0,0,0,0,0,12,12,8,0,0,0,4,6,0,5,51,0,0,0,0,7,8,27,7,0,0,0,0,0,0,5,52,0,0,5,3,5,3,3,0,0,0,0,0,0,0,0,25,0,3,10,20,13,14,24,18,22,31,29,18,3,0,11,234,0,0,0,0,0,0,3,8,0,0,0,4,0,0,4,25,8,293,97,38,33,25,31,13,0,3,4,13,0,0,8,581,3,6,96,200,284,193,220,103,24,24,14,13,20,4,68,1285,0,0,4,7,5,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,4,4,0,0,0,3,0,0,0,11
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS50,220,185,218,288,81,46,66,6144,0,9,29,10,34,936,1158,766,128,114,120,80,31,14,78,3495,52,215,901,1002,2629,1008,3557,4522,234,211,286,395,251,110,222,15592,731,5288,4169,1064,474,386,836,1561,237,157,153,197,108,24,567,15967,8,26,22,80,300,758,1378,613,138,152,221,280,145,88,108,4310,0,3,4,112,352,456,2381,1467,233,243,201,274,70,25,130,5956,3,16,89,194,268,144,188,98,30,15,12,20,16,3,43,1135,63,205,1007,2379,6830,3169,7640,4392,1014,974,1029,934,563,72,564,30827,0,0,0,0,12,59,1010,860,319,390,594,630,233,18,65,4190,255,2585,622,458,651,379,772,384,54,70,61,94,44,16,160,6608,61,179,1617,4954,9739,7903,13908,10924,822,757,846,1002,496,442,1498,55156,38,153,535,663,646,519,354,150,41,23,28,34,16,8,93,3296,11,15,60,92,161,328,1451,2214,441,518,521,737,414,59,110,7144
SOS51,10,12,7,4,5,0,5,159,0,0,0,0,6,14,15,23,3,6,0,0,0,0,0,75,10,32,89,148,224,82,322,442,12,18,10,29,10,0,26,1456,87,457,265,62,10,21,58,129,14,19,20,28,16,0,90,1275,6,4,3,5,18,38,90,51,3,9,15,22,6,9,0,271,0,0,0,8,18,20,112,93,26,7,26,34,15,5,13,364,0,0,4,7,16,16,11,6,0,0,4,3,3,0,4,74,4,24,72,93,119,71,191,107,31,48,52,28,11,3,33,876,0,0,0,0,0,0,56,44,37,20,32,15,12,0,0,221,51,563,140,85,124,60,120,65,10,4,10,14,18,0,37,1303,18,52,419,1288,2092,1778,3312,2137,156,216,200,229,116,94,520,12624,4,9,16,14,8,12,7,0,0,0,0,0,0,0,3,87,0,3,3,7,4,10,81,143,19,21,23,28,9,16,5,373
