SOS_CODE_2021,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Agr_fstry_fsh_15_19,F_Agr_fstry_fsh_20_24,F_Agr_fstry_fsh_25_34,F_Agr_fstry_fsh_35_44,F_Agr_fstry_fsh_45_54,F_Agr_fstry_fsh_55_64,F_Agr_fstry_fsh_65_74,F_Agr_fstry_fsh_75_84,F_Agr_fstry_fsh_85_yr_over,F_Agr_fstry_fsh_Tot,F_Min_15_19_yr,F_Min_20_24_yr,F_Min_25_34_yr,F_Min_35_44_yr,F_Min_45_54_yr,F_Min_55_64_yr,F_Min_65_74_yr,F_Min_75_84_yr,F_Min_85_yr_over,F_Min_Tot,F_Manf_15_19_yr,F_Manf_20_24_yr,F_Manf_25_34_yr,F_Manf_35_44_yr,F_Manf_45_54_yr,F_Manf_55_64_yr,F_Manf_65_74_yr,F_Manf_75_84_yr,F_Manf_85_yr_over,F_Manf_Tot,F_Elec_gas_wtr_wst_sv_15_19,F_Elec_gas_wtr_wst_sv_20_24,F_Elec_gas_wtr_wst_sv_25_34,F_Elec_gas_wtr_wst_sv_35_44,F_Elec_gas_wtr_wst_sv_45_54,F_Elec_gas_wtr_wst_sv_55_64,F_Elec_gas_wtr_wst_sv_65_74,F_Elec_gas_wtr_wst_sv_75_84,F_Elec_gas_wtr_wst_sv_85_over,F_Elec_gas_wtr_wst_sv_Tot,F_Con_15_19_yr,F_Con_20_24_yr,F_Con_25_34_yr,F_Con_35_44_yr,F_Con_45_54_yr,F_Con_55_64_yr,F_Con_65_74_yr,F_Con_75_84_yr,F_Con_85_yr_over,F_Con_Tot,F_Whl_trd_15_19_yr,F_Whl_trd_20_24_yr,F_Whl_trd_25_34_yr,F_Whl_trd_35_44_yr,F_Whl_trd_45_54_yr,F_Whl_trd_55_64_yr,F_Whl_trd_65_74_yr,F_Whl_trd_75_84_yr,F_Whl_trd_85_yr_over,F_Whl_trd_Tot,F_Re_trd_15_19_yr,F_Re_trd_20_24_yr,F_Re_trd_25_34_yr,F_Re_trd_35_44_yr,F_Re_trd_45_54_yr,F_Re_trd_55_64_yr,F_Re_trd_65_74_yr,F_Re_trd_75_84_yr,F_Re_trd_85_yr_over,F_Re_trd_Tot,F_Acc_food_svc_15_19,F_Acc_food_svc_20_24,F_Acc_food_svc_25_34,F_Acc_food_svc_35_44,F_Acc_food_svc_45_54,F_Acc_food_svc_55_64,F_Acc_food_svc_65_74,F_Acc_food_svc_75_84,F_Acc_food_svc_85_yr_over,F_Acc_food_svc_Tot,F_Trp_pos_wh_15_19,F_Trp_pos_wh_20_24,F_Trp_pos_wh_25_34,F_Trp_pos_wh_35_44,F_Trp_pos_wh_45_54,F_Trp_pos_wh_55_64,F_Trp_pos_wh_65_74,F_Trp_pos_wh_75_84,F_Trp_pos_wh_85_yr_over,F_Trp_pos_wh_Tot,F_In_med_tcom_15_19,F_In_med_tcom_20_24,F_In_med_tcom_25_34,F_In_med_tcom_35_44,F_In_med_tcom_45_54,F_In_med_tcom_55_64,F_In_med_tcom_65_74,F_In_med_tcom_75_84,F_In_med_tcom_85_yr_over,F_In_med_tcom_Tot,F_Fin_in_svc_15_19,F_Fin_in_svc_20_24,F_Fin_in_svc_25_34,F_Fin_in_svc_35_44,F_Fin_in_svc_45_54,F_Fin_in_svc_55_64,F_Fin_in_svc_65_74,F_Fin_in_svc_75_84,F_Fin_in_svc_85_yr_over,F_Fin_in_svc_Tot,F_Rnt_hrg_rea_est_serv_15_19,F_Rnt_hrg_rea_est_serv_20_24,F_Rnt_hrg_rea_est_serv_25_34,F_Rnt_hrg_rea_est_serv_35_44,F_Rnt_hrg_rea_est_serv_45_54,F_Rnt_hrg_rea_est_serv_55_64,F_Rnt_hrg_rea_est_serv_65_74,F_Rnt_hrg_rea_est_serv_75_84,F_Rnt_hrg_rea_est_serv_85_ov,F_Rnt_hrg_rea_est_serv_Tot,F_Prof_sc_tech_serv_15_19,F_Prof_sc_tech_serv_20_24,F_Prof_sc_tech_serv_25_34,F_Prof_sc_tech_serv_35_44,F_Prof_sc_tech_serv_45_54,F_Prof_sc_tech_serv_55_64,F_Prof_sc_tech_serv_65_74,F_Prof_sc_tech_serv_75_84,F_Prof_sc_tech_serv_85_over,F_Prof_sc_tech_serv_Tot,F_Adm_sup_serv_15_19,F_Adm_sup_serv_20_24,F_Adm_sup_serv_25_34,F_Adm_sup_serv_35_44,F_Adm_sup_serv_45_54,F_Adm_sup_serv_55_64,F_Adm_sup_serv_65_74,F_Adm_sup_serv_75_84,F_Adm_sup_serv_85_over,F_Adm_sup_serv_Tot,F_PubAd_saf_15_19,F_PubAd_saf_20_24,F_PubAd_saf_25_34,F_PubAd_saf_35_44,F_PubAd_saf_45_54,F_PubAd_saf_55_64,F_PubAd_saf_65_74,F_PubAd_saf_75_84,F_PubAd_saf_85_over,F_PubAd_saf_Tot,F_Ed_trng_15_19,F_Ed_trng_20_24,F_Ed_trng_25_34,F_Ed_trng_35_44,F_Ed_trng_45_54,F_Ed_trng_55_64,F_Ed_trng_65_74,F_Ed_trng_75_84,F_Ed_trng_85_yr_over,F_Ed_trng_Tot,F_Hlth_cre_socia_assist_15_19,F_Hlth_cre_socia_assist_20_24,F_Hlth_cre_socia_assist_25_34,F_Hlth_cre_socia_assist_35_44,F_Hlth_cre_socia_assist_45_54,F_Hlth_cre_socia_assist_55_64,F_Hlth_cre_socia_assist_65_74,F_Hlth_cre_socia_assist_75_84,F_Hlth_cre_socia_assist_85ov,F_Hlth_cre_socia_assist_Tot,F_Arts_rec_svc_15_19,F_Arts_rec_svc_20_24,F_Arts_rec_svc_25_34,F_Arts_rec_svc_35_44,F_Arts_rec_svc_45_54,F_Arts_rec_svc_55_64,F_Arts_rec_svc_65_74,F_Arts_rec_svc_75_84,F_Arts_rec_svc_85_yr_over,F_Arts_rec_svc_Tot,F_Oth_svc_15_19_yr,F_Oth_svc_20_24_yr,F_Oth_svc_25_34_yr,F_Oth_svc_35_44_yr,F_Oth_svc_45_54_yr,F_Oth_svc_55_64_yr,F_Oth_svc_65_74_yr,F_Oth_svc_75_84_yr,F_Oth_svc_85_yr_over,F_Oth_svc_Tot
SOS30,49373,87112,203496,201804,182036,127340,36390,4853,355,892748,160,335,1155,849,821,604,258,70,9,4262,13,209,1008,1264,867,421,68,5,0,3859,1426,2115,5631,6547,6677,4555,947,88,6,27996,52,203,987,1573,1354,593,114,8,0,4889,473,1633,5580,6368,5346,3475,929,95,3,23910,351,1034,2969,3465,3531,2320,560,50,6,14276,14947,15467,18948,14451,14823,11161,2775,224,13,92808,23725,12822,13960,8500,6757,4252,1040,79,4,71143,313,1455,4415,5147,5020,3542,808,75,3,20781,362,1020,2077,1871,1535,824,195,21,0,7908,233,1990,7331,8521,6728,3413,619,69,9,28910,351,1472,3938,4047,3843,2739,1064,185,13,17662,888,6265,17817,16952,12608,6865,2004,212,6,63619,723,2971,7927,7501,7150,4930,1243,99,6,32545,332,2865,10806,14058,13957,8062,1378,87,0,51549,2575,7319,21882,28564,30923,19909,4018,284,9,115482,3979,20124,53257,50020,47016,35553,7578,384,10,217934,1727,2477,3689,3032,2459,1561,470,64,4,15488,1728,3891,8980,7811,6946,4120,1100,128,3,34711
SOS31,13612,17979,43157,41986,42006,35448,10147,1307,122,205759,160,426,1463,777,724,637,269,73,4,4529,111,484,1329,1068,850,407,39,5,0,4276,404,574,1435,1513,1401,1035,213,15,0,6592,33,79,304,342,332,206,26,7,0,1334,144,354,1188,1279,1203,928,238,26,5,5363,100,273,588,619,641,490,91,10,0,2814,4263,2602,4249,4102,4476,3664,860,80,5,24304,5366,2412,3311,2599,2355,1891,450,45,0,18424,101,284,928,963,1141,933,260,36,0,4646,53,119,217,180,162,122,28,6,0,885,64,265,893,888,814,510,85,3,0,3526,89,290,617,671,681,580,215,35,4,3175,217,727,1892,1932,1550,1191,357,35,0,7899,175,560,1538,1551,1706,1313,328,22,0,7195,100,562,2125,2601,2688,1822,333,21,0,10253,457,1540,4941,6940,7254,5054,1084,70,4,27345,1034,3991,10212,10360,11209,10116,2066,97,7,49094,251,223,420,400,338,262,80,17,0,1998,462,830,1948,1664,1539,1087,276,21,0,7835
SOS32,1610,2089,4866,5411,6547,6537,2085,300,10,29453,40,69,150,181,176,170,59,23,4,866,4,38,112,105,80,52,18,4,0,412,58,81,141,181,201,205,51,12,0,922,4,7,17,31,38,34,7,0,0,139,16,36,148,175,179,179,37,0,0,771,9,20,67,81,102,80,20,0,0,381,462,276,455,512,682,636,158,12,0,3194,553,267,384,322,446,385,105,13,0,2475,16,30,96,157,195,187,66,6,0,754,6,10,15,29,31,33,16,0,0,143,6,28,81,128,120,71,8,5,0,446,8,27,62,68,96,86,39,5,0,382,27,73,231,266,255,198,64,10,0,1121,28,53,158,185,280,232,54,3,0,1004,29,86,362,481,528,391,74,3,3,1953,59,237,645,978,1046,912,168,10,0,4056,124,375,1020,1197,1568,1667,338,15,0,6304,27,35,51,54,79,46,28,5,0,323,47,69,207,176,197,173,41,6,0,909
SOS33,6899,7722,16413,20459,26205,24794,9406,2287,267,114454,468,673,1506,1885,2519,2601,1774,626,55,12102,24,126,385,353,335,209,22,6,0,1464,222,250,490,667,952,736,191,20,4,3539,18,38,116,149,165,114,26,0,0,623,96,149,614,939,1035,709,170,19,0,3728,65,89,232,328,474,313,86,14,0,1596,1838,918,1209,1417,2072,1747,373,41,0,9611,2062,751,908,809,1046,934,237,19,0,6762,70,97,299,470,709,635,187,17,0,2488,26,38,67,100,111,81,29,3,0,459,29,84,340,416,441,322,62,3,0,1699,34,87,225,264,369,306,123,18,0,1440,141,358,954,1244,1239,888,239,29,0,5088,107,185,433,582,773,686,163,19,0,2952,61,199,715,1051,1430,981,160,8,0,4602,263,525,1550,3164,4015,3029,644,39,0,13236,442,1215,2898,3634,5052,4650,1005,57,0,18951,132,125,217,225,273,206,64,9,0,1242,252,267,645,729,807,639,158,14,0,3506
SOS37,0,3,16,28,25,10,6,0,0,90,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS40,14314,29203,71441,67944,60047,46326,13005,1794,146,304224,29,113,382,421,442,313,114,20,6,1849,5,67,282,257,212,109,18,0,0,954,580,830,2177,2552,2635,1939,453,35,0,11199,14,92,490,628,457,238,46,0,0,1959,163,507,1499,1526,1496,1040,339,26,3,6609,74,256,842,933,1138,784,184,23,0,4232,5301,5613,6071,4534,4802,3963,888,74,8,31262,6219,4631,4138,2495,1934,1353,289,33,0,21093,71,293,943,1126,1143,879,165,13,0,4636,93,256,716,696,485,264,78,15,0,2602,67,660,2670,2990,2620,1560,269,20,0,10847,57,271,813,811,806,688,236,60,4,3743,158,1568,5086,5020,3678,2377,740,60,3,18695,200,1133,2932,2579,2686,2174,544,33,0,12279,94,950,4012,5488,4975,3447,604,16,0,19586,732,2557,7774,9109,8811,6803,1555,98,0,37437,918,6486,19780,17927,16344,14056,2966,151,3,78637,516,760,1061,813,660,478,163,23,3,4477,472,1229,2959,2503,2342,1687,456,63,3,11713
SOS41,4433,6358,14934,14249,15312,13708,4330,652,48,74031,55,136,338,316,324,294,200,62,6,1739,7,59,199,133,115,61,14,0,0,594,225,294,692,786,824,632,122,17,0,3590,5,22,76,77,84,46,9,0,0,316,39,99,356,380,379,283,96,10,5,1648,28,61,153,170,256,195,43,8,0,911,1553,1078,1644,1426,1723,1458,298,27,3,9210,1829,896,1063,847,871,685,138,17,0,6354,16,75,166,197,287,257,81,10,0,1097,26,38,101,99,97,74,16,0,0,442,23,88,314,406,416,216,44,6,0,1509,9,70,202,205,232,169,56,6,0,949,47,196,622,721,701,457,147,19,0,2903,43,207,520,595,756,721,185,13,0,3041,31,203,761,1001,1173,723,136,3,0,4028,161,634,1908,2292,2428,1763,405,26,0,9619,332,1427,3697,3649,4398,4276,855,32,0,18665,87,100,171,180,170,127,31,4,0,869,116,234,600,546,523,385,126,20,0,2553
SOS42,556,798,1867,1926,2320,2515,949,149,18,11104,16,28,100,66,84,122,73,22,3,518,4,4,9,12,13,3,0,0,0,47,24,32,85,80,104,111,22,0,0,454,0,0,6,11,11,11,6,0,0,47,4,11,55,57,60,65,15,0,0,270,3,3,26,38,35,48,8,0,0,171,179,115,172,176,254,257,67,0,0,1229,218,111,137,118,158,170,35,8,0,945,3,12,29,46,63,87,18,7,0,266,3,3,13,15,4,5,3,0,0,48,3,14,32,40,58,37,3,0,0,190,3,5,7,23,26,19,8,0,0,93,7,16,81,70,74,73,25,4,0,356,10,21,65,78,143,138,38,5,0,491,4,20,91,146,135,103,16,4,0,522,22,102,292,366,331,299,80,3,0,1489,38,118,402,406,562,716,154,0,0,2405,12,21,28,23,23,26,11,4,0,137,9,33,67,59,70,54,23,0,0,316
SOS43,2157,2733,5833,7021,9073,9259,3814,853,81,40829,142,205,484,804,1027,1182,829,240,23,4936,11,53,168,68,63,43,0,0,0,409,134,114,246,358,475,386,110,12,0,1845,0,9,20,28,50,22,9,0,0,137,19,44,123,205,238,212,56,3,0,892,20,26,82,98,132,111,32,5,0,510,577,327,387,474,660,586,121,13,0,3139,659,263,278,279,334,359,79,11,0,2265,8,43,77,115,204,206,44,5,3,709,11,8,20,45,29,32,14,0,0,161,10,26,90,151,176,94,18,3,0,565,8,10,49,65,95,78,20,8,0,334,35,89,281,373,362,271,83,12,0,1503,18,72,162,196,320,286,76,6,0,1134,23,66,232,398,485,322,50,6,0,1574,84,212,597,1008,1199,909,252,19,0,4281,116,453,968,1187,1714,1826,356,14,0,6641,41,38,58,78,88,82,28,7,0,433,63,82,181,189,270,214,62,12,0,1071
SOS47,0,0,0,8,9,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS50,26535,46594,114114,120217,102999,77192,23675,3075,232,514630,65,146,506,530,570,403,169,40,4,2442,85,846,3939,4245,2813,1276,176,17,0,13404,783,1008,2913,3462,3399,2291,537,62,5,14457,39,168,792,1073,787,416,74,4,0,3349,200,926,3678,3756,2987,2036,482,37,0,14093,193,587,1682,1972,1934,1315,295,32,4,8009,8495,9082,10132,8189,8280,6671,1609,120,6,52595,11085,7164,6985,4554,3385,2139,522,29,4,35874,184,786,2314,2480,2505,1766,442,41,0,10511,219,389,886,723,590,405,102,13,0,3327,113,711,3346,4057,3250,1855,389,38,9,13766,107,557,1757,1844,1759,1312,484,78,8,7895,303,2741,9527,9832,6792,3827,1181,122,6,34334,352,1481,4170,4005,3460,2491,637,46,0,16646,243,1507,5965,7483,7162,5221,1046,66,0,28699,1424,3877,12131,15614,17710,12736,2975,197,6,66671,1723,9571,27667,26535,24640,19385,4751,260,8,114542,1120,1427,2150,1798,1361,909,302,41,0,9115,1036,2241,5303,4562,3761,2446,664,84,3,20106
SOS51,5591,7180,19569,20693,19889,16658,5055,646,56,95336,49,112,269,234,240,260,195,49,6,1422,82,350,1170,1047,773,330,34,3,0,3794,178,235,613,645,528,332,90,12,0,2624,15,30,134,164,122,94,19,0,0,575,54,148,579,622,543,426,101,8,0,2477,51,86,244,241,263,187,48,5,0,1133,1708,1018,1804,2008,2092,1724,401,36,0,10804,1986,881,1530,1362,1194,844,231,18,0,8047,71,147,435,468,534,474,128,10,0,2269,56,59,104,77,72,58,22,0,0,449,20,80,331,329,307,217,47,4,0,1332,41,140,324,307,320,237,79,11,0,1466,64,202,707,843,670,470,179,17,0,3150,83,215,646,801,772,562,137,15,0,3234,90,236,978,1256,1309,915,186,13,0,4985,185,552,2209,3095,3442,2382,508,38,0,12416,443,1352,4095,4376,4450,3885,901,45,0,19545,118,88,240,252,215,164,31,0,0,1121,211,322,857,756,719,470,114,7,0,3457
SOS52,553,929,2590,2580,2842,3014,1043,166,22,13738,21,32,150,90,71,91,68,17,0,558,8,40,154,136,111,76,12,0,0,536,25,31,86,97,80,53,7,0,0,381,0,0,7,9,16,8,0,0,0,40,4,13,51,61,48,69,12,0,0,261,7,27,51,33,36,34,13,0,0,193,116,95,171,195,250,237,60,5,0,1136,166,109,230,174,177,203,47,12,0,1119,5,21,39,61,83,102,46,5,0,362,0,0,6,16,11,10,3,0,0,44,0,5,22,35,31,17,0,4,0,119,5,8,18,24,21,28,6,3,0,114,4,25,61,61,56,71,27,4,0,310,10,36,55,74,102,98,26,6,0,412,14,49,175,185,243,187,32,5,0,889,30,94,359,431,460,416,112,5,0,1911,50,107,344,421,468,576,123,10,0,2095,15,12,28,23,42,30,18,4,0,168,23,24,70,73,83,71,17,0,0,361
SOS53,2216,3716,10028,11632,13539,12395,4529,963,126,59138,157,235,630,870,1100,1206,788,228,17,5242,36,344,892,657,638,392,33,4,0,2988,98,75,203,240,308,282,82,13,0,1298,0,15,39,35,56,45,8,0,0,202,25,66,246,324,383,334,77,3,0,1448,48,54,120,145,173,134,30,10,0,716,494,312,328,442,694,680,152,12,0,3111,642,317,494,392,490,483,149,13,0,2986,13,35,106,163,273,274,91,12,0,967,9,8,17,26,19,33,12,0,0,124,3,34,94,138,140,122,13,0,0,547,18,37,85,106,129,129,48,6,0,550,25,99,285,410,387,317,107,12,0,1633,31,79,203,231,306,259,74,6,0,1193,37,124,328,461,602,501,96,14,0,2166,79,185,611,1127,1482,1274,275,7,0,5055,103,327,844,1101,1488,1547,375,19,0,5797,70,67,121,107,113,103,43,6,0,639,75,102,206,266,293,227,58,0,0,1228
SOS57,3,54,237,494,451,234,32,6,0,1517,0,3,5,0,0,5,0,0,0,15,4,3,13,15,6,6,0,0,0,42,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,4,5,8,3,0,0,0,22,0,10,14,10,0,4,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0,0,10,0,0,9,0,4,0,0,0,0,13,0,0,0,0,0,5,0,0,0,7,0,0,0,0,0,0,4,0,0,9,0,0,3,0,4,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3
SOS60,1931,4125,13531,10031,8782,6812,2158,288,15,47668,12,33,146,79,77,46,21,6,0,407,0,0,3,10,4,0,0,0,0,25,112,123,305,237,215,149,51,7,0,1201,3,34,162,199,146,52,8,0,0,612,12,39,201,184,165,134,45,0,0,785,10,30,100,98,104,70,28,3,0,444,663,822,1261,725,629,581,150,11,0,4846,854,648,1334,560,339,216,79,7,0,4040,16,53,141,146,147,118,33,0,0,651,14,43,145,132,92,92,28,0,0,541,13,50,327,304,263,152,31,0,0,1146,10,59,141,91,114,84,35,12,0,546,29,191,820,675,516,350,111,8,0,2699,27,116,384,322,295,239,67,9,0,1462,39,237,1039,1409,1463,915,166,7,0,5272,111,354,1480,1611,1675,1291,324,14,0,6860,110,987,3463,2501,2412,2234,452,38,3,12193,112,118,232,203,176,144,56,12,0,1053,52,183,549,375,329,211,60,13,0,1765
SOS61,2565,4398,11352,9259,9279,8354,2344,302,29,47888,29,84,286,220,192,137,46,8,0,1004,0,7,31,30,30,6,5,0,0,109,130,150,383,331,384,348,68,0,0,1790,3,12,95,109,77,43,7,0,0,348,17,85,195,186,174,170,35,5,0,869,18,71,121,109,161,106,29,0,0,618,958,840,1189,966,1097,877,203,11,0,6143,1170,682,902,555,551,435,86,15,0,4397,21,54,153,168,239,204,60,8,0,902,16,31,82,77,68,68,11,0,0,342,15,94,293,302,251,171,30,3,0,1155,13,78,153,122,118,107,27,8,0,631,54,172,497,430,371,267,90,7,0,1890,32,125,302,348,406,295,65,11,0,1581,26,137,499,633,724,537,83,0,0,2642,72,323,1081,1486,1698,1213,267,20,0,6166,169,1057,3198,2593,2888,2777,572,24,0,13278,58,64,152,102,131,122,33,0,0,657,94,225,504,373,341,243,76,8,0,1849
SOS62,283,487,1268,1330,1497,1515,521,83,7,6992,6,14,53,36,46,51,25,6,0,236,3,9,25,8,8,3,0,0,0,55,30,22,49,57,55,57,14,3,0,273,0,0,17,13,11,9,0,0,0,50,3,4,26,35,16,30,8,6,0,127,0,4,17,16,15,11,4,0,0,72,108,66,126,113,162,135,34,3,0,749,110,63,141,104,114,149,28,0,0,701,5,10,16,25,42,43,11,4,0,156,0,4,11,7,17,11,7,0,0,45,0,3,15,32,32,22,9,0,0,112,3,8,23,14,22,19,4,0,0,92,3,20,53,52,65,66,29,0,0,278,7,9,50,46,68,64,14,4,0,255,5,10,48,97,133,83,14,0,0,387,16,38,149,225,230,203,33,3,0,895,18,85,245,251,350,391,76,3,0,1417,5,9,16,23,26,17,12,0,0,113,6,15,49,42,41,42,12,0,0,216
SOS63,1374,1767,4093,4937,5938,5940,2146,410,51,26660,75,114,293,348,388,457,265,87,7,2046,0,7,30,21,20,23,10,5,0,105,54,79,173,195,242,215,46,3,4,1015,0,0,34,50,60,43,6,0,0,188,22,28,97,169,137,106,32,4,0,582,16,29,56,77,73,67,19,0,0,344,356,250,347,380,518,389,71,10,0,2320,426,212,312,272,323,298,82,4,0,1942,4,30,66,98,146,155,17,5,0,530,10,5,25,26,46,42,9,0,0,173,6,23,94,110,96,68,8,0,0,403,9,25,55,53,67,57,28,0,0,286,24,58,219,291,289,199,68,7,0,1156,22,39,91,169,202,175,36,4,0,732,10,60,243,364,478,343,62,0,0,1567,53,110,429,787,880,718,147,5,0,3116,62,303,848,1052,1401,1408,228,9,0,5315,43,43,69,89,96,87,29,3,0,454,48,77,156,177,203,145,41,0,0,845
SOS67,0,8,52,60,58,44,10,0,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,5,4,3,8,5,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS70,1462,3256,9513,8007,6409,4731,1525,147,14,35058,3,12,42,43,49,45,12,3,0,209,3,13,71,55,37,34,5,0,0,224,26,46,91,107,105,58,18,0,0,454,0,10,76,101,78,41,3,0,0,325,16,54,232,232,209,147,27,0,0,917,5,25,70,73,69,39,12,0,0,297,376,364,698,466,442,328,103,10,0,2796,531,346,910,511,298,198,55,3,0,2849,26,61,162,157,138,116,26,3,0,696,10,26,70,55,19,23,6,0,0,219,4,36,196,142,116,54,21,0,0,559,9,38,125,112,110,74,31,9,0,510,31,141,638,475,333,255,82,8,0,1966,23,81,296,271,259,156,44,3,0,1126,63,457,1526,1594,1337,844,156,10,0,5983,81,245,924,1103,974,705,163,12,0,4201,94,555,2511,1777,1203,933,254,11,0,7339,83,118,244,144,108,66,26,0,0,783,60,107,360,323,203,133,47,4,0,1230
SOS71,431,715,2799,2514,1932,1782,568,53,4,10792,5,5,8,5,10,16,4,0,0,57,3,9,16,22,14,7,0,0,0,65,6,7,16,19,19,14,0,0,0,88,3,0,9,8,8,3,0,0,0,39,7,21,60,56,47,36,11,4,0,245,3,5,23,19,17,14,6,0,0,86,129,72,215,127,108,115,33,3,0,809,86,57,220,102,75,75,18,0,0,633,0,12,45,23,39,34,6,0,0,160,8,10,25,22,12,16,3,0,0,94,3,10,34,30,9,10,5,0,0,103,7,8,27,19,16,21,8,0,0,105,8,13,143,102,91,63,18,6,0,441,0,21,73,62,58,49,11,0,0,278,22,95,404,374,365,254,50,0,0,1561,57,102,403,365,381,298,77,6,0,1688,50,225,1071,772,616,510,130,5,0,3390,27,27,67,52,36,30,18,0,0,265,16,31,100,103,76,54,17,0,0,402
SOS72,111,292,846,858,777,721,264,28,0,3890,7,10,10,15,9,16,10,0,0,72,0,5,21,23,11,6,0,0,0,70,0,0,7,10,6,8,0,0,0,39,0,0,4,0,5,0,0,0,0,10,6,8,14,15,18,16,3,0,0,75,0,0,5,9,9,8,3,0,0,25,24,19,79,64,60,49,12,0,0,304,34,63,90,55,38,46,11,0,0,343,5,3,21,12,15,6,3,0,0,66,0,0,10,5,5,3,0,0,0,22,0,0,5,14,7,11,3,0,0,35,0,0,4,3,0,12,3,0,0,27,0,0,22,24,31,25,3,0,0,112,4,10,24,23,23,27,7,0,0,121,11,42,128,159,155,97,31,0,0,623,14,51,188,174,200,173,35,0,0,840,10,35,162,134,136,196,38,6,0,714,0,23,34,36,30,26,14,5,0,164,3,3,32,25,31,16,5,0,0,112
SOS73,455,774,1884,1865,2167,1855,605,81,5,9689,76,144,164,115,113,99,44,10,0,775,9,15,47,43,48,20,3,0,0,184,17,18,25,20,34,25,13,0,0,145,0,4,8,20,24,11,0,0,0,66,11,8,77,98,111,80,23,0,0,402,3,13,27,27,34,29,5,0,0,126,95,54,77,81,128,105,29,0,0,567,94,43,113,83,93,83,23,3,0,538,4,8,26,30,54,44,6,0,0,183,0,0,5,13,7,10,0,0,0,36,0,6,19,15,20,17,3,0,0,91,0,7,29,30,25,23,5,0,0,133,11,21,92,100,101,64,28,0,0,418,7,14,44,63,69,65,8,0,0,260,15,84,264,302,313,214,33,0,0,1228,36,55,198,263,297,231,53,0,0,1137,32,71,243,233,305,300,68,5,0,1232,15,19,60,37,48,27,15,0,0,213,13,17,43,52,57,48,11,0,0,245
